fi_abscissa,fi_pdf,fi_cdf,V_abscissa,V_pdf,V_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,split
1.59259,0.0180751,0.998278,90.9723,0.000228515,0.998977,19.7017,0.00231171,0.996177,All
1.61036,0.0150737,0.998572,91.9482,0.000184932,0.999178,19.9356,0.00201185,0.996682,All
1.62813,0.0125545,0.998817,92.9241,0.000149383,0.99934,20.1694,0.00174989,0.997121,All
1.64589,0.0104436,0.99902,93.9,0.000120453,0.999471,20.4032,0.00152122,0.997503,All
1.66366,0.00867754,0.99919,94.8759,9.69612e-05,0.999577,20.6371,0.00132177,0.997835,All
1.68143,0.00720219,0.99933,95.8517,7.79239e-05,0.999662,20.8709,0.00114794,0.998123,All
1.6992,0.00597142,0.999447,96.8276,6.25271e-05,0.99973,21.1048,0.000996546,0.998374,All
1.71697,0.00494606,0.999544,97.8035,5.00981e-05,0.999785,21.3386,0.000864771,0.998591,All
1.73474,0.0040929,0.999624,98.7794,4.00828e-05,0.999829,21.5725,0.000750144,0.99878,All
1.75251,0.00338387,0.99969,99.7553,3.20262e-05,0.999864,21.8063,0.000650489,0.998943,All
1.77027,0.0027953,0.999745,100.731,2.55559e-05,0.999892,22.0402,0.000563897,0.999085,All
1.78804,0.00230724,0.99979,101.707,2.03675e-05,0.999914,22.274,0.000488691,0.999208,All
1.80581,0.00190295,0.999827,102.683,1.62134e-05,0.999932,22.5079,0.000423404,0.999314,All
1.82358,0.00156837,0.999858,103.659,1.2892e-05,0.999946,22.7417,0.000366751,0.999406,All
1.84135,0.00129173,0.999883,104.635,1.024e-05,0.999957,22.9756,0.00031761,0.999486,All
1.85912,0.00106321,0.999904,105.611,8.12515e-06,0.999966,23.2094,0.000274999,0.999555,All
1.87689,0.000874579,0.999921,106.586,6.44081e-06,0.999973,23.4433,0.000238063,0.999615,All
1.89466,0.000719003,0.999936,107.562,5.10087e-06,0.999979,23.6771,0.000206056,0.999667,All
1.91242,0.000590783,0.999947,108.538,4.03612e-06,0.999983,23.911,0.000178328,0.999712,All
1.93019,0.000485182,0.999957,109.514,3.19092e-06,0.999987,24.1448,0.000154313,0.999751,All
1.94796,0.000398266,0.999964,110.49,2.52068e-06,0.99999,24.3787,0.000133518,0.999784,All
1.96573,0.000326773,0.999971,111.466,1.98971e-06,0.999992,24.6125,0.000115516,0.999813,All
1.9835,0.000268002,0.999976,112.442,1.56944e-06,0.999994,24.8464,9.99333e-05,0.999839,All
2.00127,0.000219714,0.99998,113.418,1.23709e-06,0.999995,25.0802,8.64481e-05,0.99986,All
2.01904,0.00018006,0.999984,114.394,9.74479e-07,0.999996,25.3141,7.47795e-05,0.999879,All
2.0368,0.000147513,0.999987,115.369,7.6714e-07,0.999997,25.5479,6.4684e-05,0.999895,All
2.05457,0.00012081,0.999989,116.345,6.03561e-07,0.999998,25.7818,5.59506e-05,0.99991,All
2.07234,9.89115e-05,0.999991,117.321,4.74598e-07,0.999998,26.0156,4.83962e-05,0.999922,All
2.09011,8.09604e-05,0.999993,118.297,3.72994e-07,0.999999,26.2495,4.18622e-05,0.999932,All
2.10788,6.62505e-05,0.999994,119.273,2.92996e-07,0.999999,26.4833,3.6211e-05,0.999941,All
2.12565,5.42007e-05,0.999995,120.249,2.30048e-07,0.999999,26.7171,3.13236e-05,0.999949,All
2.14342,4.43331e-05,0.999996,121.225,1.80544e-07,0.999999,26.951,2.7097e-05,0.999956,All
