iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_centeredCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,b
114,310.435,1,2.81096,0.508058,21.6883,4.69268,45.6224,0.221943,0.255583,0.497002,0.785436,0.0239807
115,315.407,1,2.79641,0.516733,21.8196,4.71907,46.6317,0.218337,0.272738,0.488826,0.775584,0.0244663
116,309.056,1,2.80538,0.517468,21.7801,4.64734,45.7956,0.217752,0.265832,0.476449,0.798255,0.0242733
117,307.731,1,2.87348,0.503084,22.4475,4.70807,46.5906,0.212238,0.259101,0.464385,0.779876,0.0242834
118,313.715,1,2.85182,0.514239,22.3765,4.70242,45.242,0.215837,0.261088,0.452626,0.782885,0.0250664
119,308.4,1,2.83539,0.520249,22.2853,4.74508,42.1574,0.214735,0.254477,0.441781,0.834843,0.0241516
120,304.937,1,2.75099,0.551371,21.848,4.90431,37.4878,0.210244,0.248034,0.430595,0.830801,0.0239187
121,311.548,1,2.80161,0.541211,21.601,4.95875,37.6236,0.207865,0.241754,0.419692,0.809764,0.0251497
122,303.006,1,2.78222,0.551719,21.9458,5.05066,38.2621,0.207496,0.235632,0.409065,0.789261,0.0244876
123,311.589,1,2.80459,0.542268,22.2184,5.02602,40.756,0.214765,0.243792,0.422628,0.779775,0.0250283
124,312.796,1,2.86464,0.520455,22.4687,4.97717,42.1908,0.209327,0.249273,0.441996,0.792816,0.0250346
125,310.142,1,2.83443,0.52648,22.244,4.96458,42.1483,0.212598,0.249559,0.462439,0.806921,0.0243218
126,308.882,1,2.77291,0.547705,22.1289,4.88246,39.7159,0.214551,0.260563,0.453538,0.805798,0.0240412
127,307.267,1,2.72358,0.568127,22.3451,4.94175,38.0877,0.218874,0.259973,0.442054,0.800188,0.0239213
128,303.377,1,2.70968,0.573176,21.9491,5.04602,38.1205,0.217529,0.253744,0.46416,0.782155,0.0234309
129,304.53,1,2.68302,0.582727,22.2674,5.00563,38.8632,0.218917,0.251872,0.475102,0.781238,0.0235195
130,307.923,1,2.70823,0.569433,21.8893,4.86041,37.641,0.216553,0.249311,0.537718,0.783049,0.0235135
131,303.584,1,2.76893,0.546048,21.7789,4.90944,39.5033,0.217895,0.252061,0.524103,0.779295,0.0233574
132,307.747,1,2.71234,0.557762,21.477,4.74932,40.3797,0.219655,0.256472,0.510832,0.782829,0.0237652
133,296.875,1,2.63935,0.584986,21.8903,4.65267,41.2302,0.227934,0.25291,0.497898,0.763007,0.0226865
134,300.144,1,2.67826,0.572117,21.9176,4.66142,40.5588,0.225143,0.258518,0.485291,0.787166,0.0228999
135,299.507,1,2.696,0.571857,21.9403,4.63728,40.7558,0.221695,0.251972,0.474814,0.767234,0.0229957
136,305.861,1,2.67819,0.565747,21.9633,4.68788,40.1779,0.225578,0.245592,0.462791,0.780786,0.0236785
137,302.57,1,2.65687,0.575809,21.7808,4.69816,38.5627,0.230928,0.24296,0.459024,0.821594,0.0231106
138,295.366,1,2.60951,0.597554,21.9991,4.57011,37.9891,0.225081,0.238645,0.461968,0.80079,0.0226821
139,296.172,1,2.57676,0.611581,21.9237,4.64465,37.3759,0.219382,0.251069,0.450271,0.780514,0.0227621
140,296.096,1,2.56037,0.617303,21.9638,4.61965,37.5168,0.216401,0.258857,0.457242,0.798389,0.0224763
141,303.255,1,2.65159,0.588685,22.2518,4.6532,35.9803,0.2134,0.262233,0.445664,0.806253,0.0233867
142,307.735,1,2.62645,0.591713,21.9704,4.39282,35.2618,0.21427,0.255593,0.449986,0.785838,0.0240813
143,306.033,1,2.61339,0.602859,22.2874,4.43003,36.5259,0.220242,0.2607,0.44975,0.76594,0.023875
144,299.456,1,2.73686,0.564227,22.3983,4.28125,33.7329,0.214665,0.254099,0.452237,0.746546,0.0235654
145,305.263,1,2.65561,0.587538,22.2502,4.57914,35.3598,0.221284,0.247665,0.442456,0.765663,0.02404
146,312.108,1,2.63471,0.591278,22.0608,4.60957,39.153,0.222322,0.25469,0.437979,0.74993,0.0247847
147,310.831,1,2.61715,0.600677,22.007,4.60976,38.7117,0.222301,0.25365,0.469235,0.730942,0.0246073
148,312.566,1,2.46129,0.654962,21.9306,4.6162,36.7213,0.223525,0.247228,0.487449,0.724968,0.0247157
149,312.018,1,2.55364,0.6204,21.9327,4.47237,37.835,0.217865,0.265892,0.475107,0.721318,0.0246955
150,305.963,1,2.51534,0.63465,22.0961,4.75588,36.465,0.223215,0.25916,0.496571,0.732459,0.0235213
151,304.257,1,2.6632,0.598221,22.238,4.82421,36.2201,0.220165,0.257467,0.483998,0.713912,0.0239931
152,306.266,1,2.63511,0.603479,22.0549,4.83044,34.5611,0.222394,0.255809,0.471742,0.695836,0.0241493
153,306.339,1,2.70592,0.577478,21.9077,4.9026,34.0238,0.220365,0.249332,0.471886,0.73993,0.023984
154,303.197,1,2.79797,0.552584,21.8158,4.68649,32.8681,0.214785,0.268766,0.459938,0.721195,0.0237241
155,315.853,1,2.74946,0.565063,22.1399,4.66399,33.3445,0.212075,0.261961,0.455545,0.710688,0.0253935
156,308.607,1,2.79293,0.557262,21.9195,4.81393,31.3111,0.214488,0.300057,0.450761,0.731256,0.0241238
157,305.19,1,2.77157,0.563745,21.6685,4.80387,32.8551,0.22071,0.292459,0.484143,0.715136,0.023574
158,309.298,1,2.68332,0.585999,21.8997,4.79775,34.0102,0.226109,0.285054,0.519671,0.706636,0.0238685
159,311.301,1,2.57225,0.620138,21.9393,4.77662,35.7549,0.233989,0.277836,0.506513,0.706072,0.0243747
160,312.535,1,2.76099,0.558181,21.6051,5.22522,34.9181,0.235403,0.270801,0.562652,0.755251,0.0238086
161,314.471,1,2.85437,0.526452,21.7751,5.11484,34.2182,0.229443,0.263944,0.573564,0.768152,0.0239137
162,304.401,1,2.81902,0.540163,21.7509,4.96281,32.6897,0.223633,0.257261,0.559041,0.778504,0.023257
163,310.11,1,2.72836,0.566935,21.4627,4.93037,33.4738,0.223508,0.251013,0.544886,0.778773,0.0238579
164,320.814,1,2.71037,0.572658,21.8714,4.96661,31.723,0.218326,0.244657,0.559561,0.7894,0.0250431
165,315.902,1,2.71614,0.570036,22.1643,4.54416,32.7009,0.216696,0.262546,0.545392,0.795897,0.0244121
166,312.898,1,2.7826,0.551757,22.1677,4.53301,34.2308,0.212456,0.268689,0.545819,0.775744,0.0241594
167,309.802,1,2.75815,0.558105,22.0167,4.62891,31.6298,0.223797,0.261886,0.556497,0.760818,0.023543
168,306.081,1,2.69039,0.57907,21.7706,4.57416,35.2233,0.224012,0.255255,0.568601,0.741554,0.0234092
169,306.611,1,2.72568,0.561723,21.7105,4.84746,36.9843,0.223148,0.27195,0.5847,0.722777,0.0229765
170,308.112,1,2.73138,0.566765,21.8297,4.80304,36.775,0.21885,0.275311,0.569895,0.718556,0.0234813
171,308.681,1,2.73506,0.573458,21.6476,5.03658,35.8436,0.214529,0.270544,0.556951,0.74974,0.0234793
172,303.744,1,2.66332,0.591586,21.6301,5.07069,35.7465,0.228734,0.299479,0.542849,0.733431,0.0226846
173,302.226,1,2.69588,0.582286,22.1225,5.06691,36.013,0.222943,0.291896,0.529104,0.732282,0.0229604
174,301.265,1,2.64037,0.604001,22.5786,4.96434,35.7312,0.221346,0.284505,0.515706,0.761095,0.0232025
175,303.989,1,2.65492,0.597954,21.7109,4.8144,36.0932,0.21824,0.283827,0.502648,0.746497,0.023541
176,305.859,1,2.64095,0.600253,22.1414,4.92795,35.6957,0.219382,0.296739,0.489921,0.754998,0.0234431
177,305.101,1,2.68525,0.581638,21.8059,5.00004,33.7899,0.221472,0.289226,0.477516,0.81155,0.0230315
178,307.71,1,2.74125,0.564218,21.6449,5.07284,30.6606,0.215864,0.284635,0.488081,0.804115,0.0233074
179,306.472,1,2.65037,0.59181,21.748,4.96122,33.2048,0.225825,0.277848,0.475722,0.783755,0.0232969
180,305.222,1,2.58365,0.616645,21.3886,4.72207,34.9713,0.224534,0.29856,0.48418,0.763909,0.0230655
181,305.241,1,2.61606,0.607219,21.8664,4.93489,35.0497,0.224082,0.296794,0.492075,0.75905,0.0229208
182,300.962,1,2.64841,0.596844,21.2782,5.02203,35.2345,0.221847,0.294994,0.501945,0.751986,0.0224482
183,303.955,1,2.74276,0.561452,21.3088,5.08179,35.4581,0.220283,0.289464,0.50049,0.745159,0.0228968
184,301.241,1,2.68354,0.587895,21.3089,5.24319,35.076,0.229194,0.283256,0.487818,0.736003,0.0227759
185,303.108,1,2.73137,0.57718,21.5484,5.40524,32.6135,0.22599,0.276083,0.477768,0.764418,0.0230458
186,301.511,1,2.74241,0.578072,21.9127,5.32981,32.7562,0.222133,0.271896,0.465671,0.745062,0.0231577
187,307.686,1,2.72103,0.582005,21.6858,5.31862,31.9395,0.227887,0.265012,0.505508,0.782291,0.0234978
188,302.437,1,2.76118,0.567326,21.5575,5.48458,32.6743,0.230536,0.261641,0.492708,0.762483,0.0229875
189,301.768,1,2.66715,0.602892,21.3338,5.4797,32.2853,0.229059,0.281196,0.486129,0.755285,0.0227079
190,303.748,1,2.74127,0.574145,21.5612,5.48463,31.0158,0.223259,0.274076,0.498191,0.785867,0.023092
191,298.266,1,2.69684,0.589818,21.2836,5.32977,30.0791,0.217606,0.267136,0.485576,0.778196,0.0228173
192,297.321,1,2.68647,0.585988,21.316,5.11331,32.6973,0.216603,0.260372,0.473281,0.758491,0.0227299
193,300.431,1,2.72636,0.573059,21.5051,4.98374,33.8816,0.221992,0.265441,0.461298,0.769593,0.0232571
194,296.232,1,2.70624,0.579265,21.6161,5.11816,32.4477,0.22356,0.260744,0.450568,0.768586,0.0225267
195,292.7,1,2.76767,0.559182,21.5389,5.24935,32.4276,0.2179,0.262435,0.439159,0.769211,0.0223845
196,290.727,1,2.81374,0.547555,21.3476,5.21249,33.4691,0.212382,0.272552,0.428039,0.765565,0.0224961
197,291.419,1,2.75778,0.565309,21.3799,5.19227,33.7107,0.207005,0.265651,0.417201,0.786813,0.0227987
198,293.832,1,2.83471,0.541831,21.0505,5.44532,32.8791,0.209972,0.271838,0.483805,0.779765,0.022073
199,304.677,1,2.80484,0.550988,21.5335,5.3874,33.7273,0.224486,0.275182,0.504683,0.765622,0.0229931
200,304.114,1,2.79866,0.557957,21.3547,5.32517,30.4885,0.222297,0.268215,0.491905,0.758559,0.0233619
201,306.769,1,2.74903,0.573389,21.0768,5.67235,31.9416,0.221213,0.281456,0.510819,0.751496,0.0232281
202,295.436,1,2.7653,0.56647,21.2145,5.57693,29.7076,0.220586,0.292043,0.497885,0.791174,0.0220667
203,291.629,1,2.79947,0.555093,21.4457,5.47732,30.7469,0.21605,0.284648,0.512808,0.771141,0.021555
204,296.388,1,2.7432,0.570272,21.3247,5.38185,32.3644,0.210579,0.277441,0.52126,0.751615,0.0224849
205,300.979,1,2.78753,0.555895,21.6466,5.36333,33.0687,0.207461,0.270416,0.527098,0.76426,0.0229564
206,308.616,1,2.70181,0.582605,21.0788,5.39657,33.343,0.21516,0.263568,0.535554,0.775078,0.0235443
207,306.163,1,2.74883,0.567245,20.7993,5.87339,34.2325,0.228108,0.262897,0.578718,0.769976,0.022812
208,295.893,1,2.71411,0.582142,20.8076,5.96418,34.4948,0.222332,0.256241,0.601647,0.75048,0.0219478
209,297.985,1,2.77273,0.565095,21.0819,5.76874,34.7316,0.216702,0.260904,0.586413,0.737349,0.0223937
210,300.527,1,2.68034,0.594863,21.0471,5.62297,32.962,0.212134,0.27384,0.571565,0.756602,0.0225536
211,302.711,1,2.65597,0.60546,21.2473,5.54056,32.0603,0.218534,0.276779,0.557093,0.760941,0.0229291
212,298.639,1,2.74118,0.576772,21.2014,5.33112,30.4343,0.213001,0.271584,0.542987,0.798633,0.0225531
213,296.448,1,2.66258,0.594163,21.2621,5.31675,33.2225,0.216299,0.278619,0.529238,0.794935,0.0220044
214,296.899,1,2.72004,0.580485,21.5597,5.1796,34.5847,0.210822,0.276619,0.515837,0.774806,0.0224861
215,296.225,1,2.69389,0.583757,21.2299,5.18611,33.2996,0.205484,0.272207,0.502776,0.797329,0.0223665
216,304.612,1,2.63997,0.59939,20.9385,5.35373,32.0076,0.209568,0.265315,0.490046,0.787532,0.0233915
217,305.303,1,2.70451,0.578079,21.3025,5.30745,33.4586,0.213213,0.273939,0.477637,0.78077,0.0233983
218,309.426,1,2.89906,0.514424,20.8688,5.17799,33.3665,0.210644,0.275108,0.488834,0.799623,0.0237594
219,304.283,1,2.77292,0.553733,21.4223,5.17089,32.2889,0.213847,0.268142,0.476456,0.836787,0.0234763
220,305.285,1,2.76635,0.556722,21.6719,5.27552,33.1076,0.215054,0.261353,0.464392,0.815599,0.0235912
221,305.138,1,2.65175,0.59791,21.5985,5.19759,31.5268,0.215617,0.270987,0.452634,0.817834,0.0234569
222,300.188,1,2.61249,0.613908,21.6875,5.23262,35.1881,0.218184,0.267735,0.464915,0.797126,0.0229591
223,300.207,1,2.77026,0.564059,21.4811,5.58228,31.9038,0.21477,0.269439,0.464637,0.776942,0.0229114
224,301.37,1,2.76189,0.566643,21.3756,5.55976,33.2534,0.219361,0.274979,0.466544,0.75727,0.023061
225,301.286,1,2.78145,0.561678,21.75,5.43934,32.6906,0.217566,0.268975,0.472524,0.752526,0.0230711
226,297.097,1,2.6659,0.598893,21.5042,5.35217,33.6335,0.235956,0.262164,0.506394,0.733472,0.0224682
227,298.074,1,2.65179,0.604546,21.6991,5.33212,34.5979,0.237309,0.260481,0.524633,0.7149,0.0224783
228,303.659,1,2.66152,0.611701,21.9037,5.51887,31.8173,0.231301,0.253886,0.547428,0.741487,0.0231088
229,306.397,1,2.71634,0.583033,21.7068,5.235,30.483,0.225444,0.278055,0.533566,0.740321,0.023333
230,308.048,1,2.71716,0.59121,21.9444,5.15034,30.1922,0.219735,0.275876,0.520056,0.738148,0.0237809
231,298.209,1,2.82478,0.55302,21.9232,5.26383,29.853,0.216674,0.268891,0.506888,0.734777,0.0226686
232,308.752,2,2.73511,0.577219,21.7189,5.31271,29.3531,0.215552,0.262083,0.494053,0.779756,0.0238461
233,304.064,2,2.82299,0.550874,21.5752,5.37931,28.6302,0.210097,0.255447,0.481544,0.760012,0.0238915
234,299.328,2,2.79314,0.563436,21.3552,5.46855,31.5043,0.211835,0.241671,0.486981,0.755795,0.023174
235,306.322,2,2.69244,0.590668,21.3136,5.44629,30.9951,0.217265,0.269663,0.485576,0.722755,0.0236456
236,309.964,2,2.63955,0.611411,21.4876,5.53613,31.7799,0.228365,0.271828,0.520057,0.682087,0.0238585
