iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q2_pop,V2_pop,Q3_pop,V3_pop,omega_Cl,omega_V1,omega_Q2,omega_V2,omega_Q3,omega_V3,a1,a2
28,1788.55,1,5.60227,62.5411,14.4334,497.978,0.173867,1.24575,0.783105,0.846125,0.922593,0.919557,1.74264,1.50289,1.50103,1.50103
29,1781.41,1,5.60127,59.1993,17.7024,625.867,0.188082,1.21437,0.763276,0.8247,0.907659,0.896274,1.80343,1.46484,1.46302,1.46302
30,1765.96,1,4.93602,64.2245,16.6036,582.188,0.139613,1.0459,0.743949,0.803818,0.884677,0.896398,1.75777,1.42775,1.42598,1.42598
31,1756.85,1,4.90727,70.8515,17.4403,619.776,0.105157,0.82837,0.725112,0.783465,0.862276,0.875463,1.71326,1.45873,1.38987,1.38987
32,1742.43,1,4.77454,68.5445,15.6423,798.788,0.0804462,0.822568,0.706752,0.763628,0.843292,0.853296,1.66988,1.47239,1.35468,1.35468
33,1725.38,1,5.82885,71.8984,15.115,711.768,0.0750434,0.965828,0.688857,0.744292,0.82194,0.83169,1.6276,1.43511,1.32038,1.32038
34,1715.48,1,5.17261,75.7247,15.5505,727.56,0.0824631,0.899133,0.671414,0.725446,0.801128,0.810631,1.58638,1.58687,1.28695,1.28695
35,1702.3,1,5.24583,87.3403,14.8235,658.677,0.114809,1.28196,0.654414,0.707077,0.857194,0.790106,1.54622,1.54669,1.25436,1.25436
36,1697.87,1,5.55719,80.0009,16.0447,595.346,0.124795,1.38772,0.637844,0.689174,0.835489,0.780694,1.74725,1.60032,1.2226,1.2226
37,1680.21,1,5.00179,64.5622,15.8747,617.063,0.0874031,1.54956,0.621693,0.671724,0.814334,0.791044,1.70431,1.5598,1.19164,1.19164
38,1660.53,1,4.97652,68.1487,16.0432,644.495,0.0798963,1.61161,0.605951,0.654715,0.793715,0.771014,1.66116,1.52031,1.16147,1.16147
39,1668.27,1,5.75178,66.6566,14.1172,603.717,0.0632238,1.187,0.590608,0.638137,0.783553,0.762241,1.65883,1.71221,1.13206,1.13206
40,1649.21,1,5.91224,62.7686,15.4022,568.484,0.0512816,1.03936,0.575654,0.621979,0.763713,0.742941,1.61683,1.66886,1.1034,1.1034
41,1637.85,1,6.33909,62.3726,11.8152,569.084,0.0413832,1.064,0.561078,0.606231,0.744375,0.727655,1.68246,1.6266,1.07546,1.07546
42,1616.95,1,6.59193,58.7952,13.3089,599.545,0.0274416,1.4735,0.546871,0.59088,0.725527,0.70923,1.64579,1.58541,1.04823,1.04823
43,1620.73,1,5.89797,55.0206,11.186,607.999,0.0240942,2.02958,0.533024,0.575919,0.707157,0.691272,1.62493,1.82808,1.02168,1.02168
44,1622.96,1,6.38311,60.8944,10.4246,633.548,0.0250058,2.25806,0.519528,0.578272,0.794918,0.69629,1.76559,1.7818,0.995815,0.995815
45,1597.6,1,6.45704,59.1853,10.5912,604.518,0.0302381,3.17045,0.506373,0.56363,0.77479,0.67866,1.80139,1.73668,0.970601,0.970601
46,1574.46,1,5.82526,67.5667,9.74459,661.878,0.0282935,3.47492,0.493551,0.549358,0.755172,0.661476,1.75577,1.69271,0.946024,0.946024
47,1582.24,1,5.76594,69.1316,9.12234,670.192,0.0241489,3.30862,0.481054,0.535448,0.736051,0.677809,1.71132,1.81644,0.922071,0.922071
48,1565.3,1,5.96716,64.6108,7.59726,646.143,0.0282683,2.14652,0.468874,0.52189,0.717414,0.698067,1.85469,1.77044,0.898723,0.898723
49,1546.94,1,6.1257,67.305,9.01976,615.757,0.016082,1.75185,0.457001,0.508676,0.699248,0.680392,1.80773,1.72562,0.875967,0.875967
50,1544.68,1,6.06341,65.699,7.90182,677.257,0.0149587,1.94499,0.44543,0.495796,0.681543,0.691756,1.76195,2.1259,0.853787,0.853787
51,1538.76,1,6.07778,72.8056,7.42692,759.89,0.0196701,1.38511,0.434151,0.483242,0.664286,0.718077,1.71734,2.07207,0.832169,0.832169
52,1524.55,1,6.11506,72.3331,8.05833,732.402,0.0255201,2.20414,0.423158,0.473466,0.650458,0.699895,1.67386,2.01961,0.811098,0.811098
53,1504.13,1,6.34237,72.6839,7.22077,854.742,0.0446952,1.88707,0.412444,0.461477,0.633988,0.682173,1.7218,2.04117,0.79056,0.79056
54,1506.92,1,6.46658,73.9417,7.87744,971.73,0.0283567,1.39032,0.402001,0.449792,0.617935,0.6649,1.8338,2.34684,0.770543,0.770543
55,1492.78,1,6.28821,74.2053,7.67943,902.019,0.0265817,1.36665,0.391822,0.438403,0.602289,0.715041,1.78737,2.28741,0.751032,0.751032
56,1482.12,1,6.34742,75.6995,7.84173,819.401,0.0297209,1.1093,0.3819,0.427303,0.587038,0.696936,1.74211,2.2295,0.732016,0.732016
57,1479.03,1,6.81837,74.7001,7.55253,795.846,0.0272455,0.585715,0.376895,0.416483,0.59472,0.679289,1.8443,2.17304,0.713481,0.713481
58,1475.37,1,6.56964,75.5871,6.46969,839.052,0.0218309,0.423706,0.367352,0.405938,0.630958,0.662089,1.7976,2.37483,0.695415,0.695415
59,1454.12,1,6.53541,69.3097,6.99542,798.294,0.015026,0.421086,0.35805,0.395659,0.614982,0.645324,2.01938,2.31469,0.677807,0.677807
60,1453.14,1,6.53309,65.3769,7.71216,856.623,0.0126634,0.559356,0.370424,0.385641,0.599411,0.668127,1.99081,2.41097,0.660644,0.660644
61,1442.97,1,6.12745,64.0844,7.90345,1050.48,0.00851075,0.252313,0.361045,0.375876,0.585604,0.65121,1.96273,2.42069,0.643916,0.643916
62,1428.12,1,5.66053,60.0799,8.39578,979.469,0.0181399,0.270813,0.358278,0.366359,0.570776,0.64672,1.91304,2.3594,0.627612,0.627612
63,1409.75,1,5.51633,64.2557,8.81397,931.838,0.013963,0.327289,0.349206,0.357082,0.556324,0.683464,1.8646,2.29966,0.61172,0.61172
64,1405.61,1,5.80713,64.6929,8.89207,835.561,0.0193223,0.291725,0.3435,0.348041,0.542237,0.666158,1.9942,2.24143,0.596231,0.596231
65,1394.62,1,6.02455,62.2461,8.76718,838.874,0.0203145,0.302268,0.334802,0.339228,0.528508,0.64929,2.07008,2.36888,0.581134,0.581134
66,1386.42,1,6.33181,61.3339,8.21855,775.572,0.018804,0.31732,0.326325,0.330639,0.515126,0.63285,2.23591,2.53327,0.56642,0.56642
67,1382.56,1,6.2667,63.7826,7.47363,795.954,0.0155488,0.629095,0.318062,0.322267,0.502082,0.616826,2.1793,3.30887,0.552078,0.552078
68,1373.22,1,6.73852,63.4548,7.46686,749.12,0.0173791,1.09486,0.310008,0.314107,0.489369,0.601207,2.18456,3.54825,0.538099,0.538099
69,1363.99,1,6.72867,60.5892,7.56418,664.912,0.00997909,0.898921,0.302159,0.306153,0.47708,0.590808,2.49702,3.45841,0.524474,0.524474
70,1354.17,1,6.62477,59.2055,8.24931,670.728,0.00928829,0.689075,0.294508,0.298401,0.506832,0.577158,2.49155,3.37357,0.511194,0.511194
71,1340.13,1,6.60882,60.5505,8.29173,692.127,0.00438632,0.831246,0.287051,0.290846,0.493999,0.608486,2.5207,3.28815,0.49825,0.49825
72,1320.52,1,6.24158,59.4856,8.55793,705.268,0.00350793,0.915272,0.279783,0.283481,0.481491,0.593079,2.45687,3.20489,0.485634,0.485634
73,1325.43,1,5.799,58.1047,8.57153,831.247,0.00405704,1.61608,0.272698,0.276303,0.474258,0.578061,2.39466,3.2044,0.473338,0.473338
74,1316.54,1,5.99804,58.549,8.81812,795.885,0.00208375,2.23656,0.287474,0.269307,0.493036,0.576522,2.33403,3.39873,0.461352,0.461352
75,1308.09,1,5.6015,57.3017,9.16291,821.472,0.00128768,4.16536,0.280195,0.262488,0.482222,0.561924,2.45244,3.71932,0.449671,0.449671
76,1292.63,1,5.79052,57.0209,8.67928,813.975,0.00153308,1.55884,0.2731,0.255842,0.470012,0.547695,2.39035,3.70656,0.438285,0.438285
77,1284.68,1,5.84214,56.351,9.15054,752.919,0.00218214,1.93513,0.266185,0.249364,0.458111,0.570119,2.32982,3.80321,0.427187,0.427187
78,1289.68,1,5.82692,61.5187,9.10641,796.86,0.00291591,1.69098,0.286196,0.24305,0.446511,0.555683,2.62744,3.88958,0.416371,0.416371
79,1283.55,1,6.20285,62.6402,9.24806,711.788,0.00192764,1.35156,0.278949,0.236896,0.435205,0.541613,2.87438,3.79109,0.405828,0.405828
80,1262.22,1,6.25064,60.1608,8.70852,661.616,0.00165331,1.16882,0.271886,0.230897,0.424186,0.527899,2.8016,3.93899,0.395552,0.395552
81,1249.18,1,6.25851,57.0963,8.46587,655.69,0.000977363,0.721384,0.265002,0.225051,0.413445,0.514532,2.73066,3.83925,0.385536,0.385536
82,1241.84,1,6.28227,56.8386,9.30047,652.116,0.00131127,0.435011,0.258292,0.219352,0.402976,0.533274,3.03144,3.74204,0.375774,0.375774
83,1240.26,1,6.41055,56.5139,9.81122,649.198,0.00200214,0.496121,0.251752,0.213798,0.392773,0.549694,3.06031,3.64729,0.36626,0.36626
84,1241.83,1,6.5137,59.0852,8.48442,634.045,0.0025139,0.348897,0.311267,0.214792,0.382827,0.566672,2.98282,3.55494,0.356986,0.356986
85,1224.55,1,6.83834,59.1529,8.30523,612.711,0.00281147,0.318251,0.303385,0.209353,0.373134,0.613807,2.90729,3.46493,0.347947,0.347947
86,1236.3,1,6.50618,60.8859,7.91663,647.597,0.00268751,0.282181,0.310919,0.221141,0.363686,0.679514,3.09327,3.37719,0.339136,0.339136
87,1227.45,1,6.2527,58.6198,8.22273,679.77,0.00208451,0.285816,0.313237,0.215541,0.354477,0.736413,3.01494,3.29168,0.330549,0.330549
88,1214.84,1,6.43752,58.3335,7.97499,696.596,0.00282583,0.21859,0.305306,0.210084,0.345502,0.77522,2.9386,3.52814,0.32218,0.32218
89,1210.32,1,6.40311,57.6042,8.17822,714.201,0.00400297,0.147902,0.297575,0.204764,0.343851,0.799665,2.8642,3.62989,0.314022,0.314022
90,1198.08,1,6.24364,58.1841,8.1755,726.983,0.00523798,0.066006,0.290041,0.199579,0.36095,0.779417,2.79167,3.53797,0.306071,0.306071
91,1204.56,1,6.58796,57.4611,7.56205,631.328,0.005586,0.0527826,0.282697,0.194526,0.408488,0.759681,3.19397,3.84821,0.298321,0.298321
92,1191.39,1,6.78302,57.273,7.43199,613.141,0.00683309,0.0996567,0.275539,0.1896,0.398145,0.740446,3.1131,3.75077,0.290767,0.290767
93,1181.24,1,7.02801,57.2896,8.48333,544.965,0.006095,0.162632,0.268562,0.1848,0.388064,0.721697,3.03427,3.6558,0.283405,0.283405
94,1180.65,1,6.98334,58.6823,7.61284,540.845,0.00494524,0.370405,0.261762,0.18012,0.419312,0.732051,2.95744,3.56323,0.276229,0.276229
95,1169.79,1,7.14627,55.703,7.87112,487.815,0.00930844,0.513772,0.255134,0.17556,0.408695,0.713515,2.88256,3.47301,0.269234,0.269234
96,1166.31,1,7.16991,56.1673,7.78051,506.392,0.0102484,0.35713,0.249426,0.171114,0.398347,0.742723,2.8764,3.92846,0.262417,0.262417
97,1156.86,1,7.31694,54.6221,7.5828,476.459,0.0109495,0.566226,0.24944,0.166782,0.38826,0.723917,2.80356,4.41009,0.255773,0.255773
98,1160.9,1,7.25684,52.907,7.89329,423.559,0.0135623,0.458482,0.243124,0.162559,0.378429,0.705587,2.97398,4.29843,0.249296,0.249296
99,1149.01,1,7.54288,54.6319,8.02148,405.453,0.0115188,0.487024,0.256302,0.158443,0.368847,0.700407,2.93811,4.31102,0.242984,0.242984
100,1140.3,1,7.48039,55.0355,7.94163,401.656,0.0224748,0.400195,0.249812,0.158155,0.359508,0.682672,2.87944,4.20187,0.236832,0.236832
101,1130.37,1,7.70387,55.236,7.89615,390.799,0.0206105,0.500649,0.245236,0.154151,0.350405,0.69188,2.80653,4.09547,0.230835,0.230835
102,1127.68,1,7.89329,55.2058,8.17307,342.722,0.0341112,0.437046,0.251259,0.150247,0.341532,0.674361,2.73546,3.99177,0.22499,0.22499
103,1124.06,1,8.31687,54.8482,8.41462,299.36,0.0282173,0.392944,0.244897,0.146443,0.374297,0.669863,2.85462,4.59359,0.219293,0.219293
104,1123.23,1,8.24837,56.0662,8.31432,310.177,0.0258241,0.261504,0.238696,0.142735,0.389139,0.676843,2.78233,4.47728,0.213741,0.213741
105,1123.61,1,8.21331,55.0669,8.08817,331.672,0.0320235,0.141696,0.232653,0.139121,0.382251,0.676487,2.71188,5.29973,0.209432,0.208329
106,1122.46,1,8.02025,55.0681,8.68687,364.464,0.0411022,0.43597,0.226762,0.135598,0.396549,0.706949,2.64322,5.95772,0.207545,0.203054
107,1129.88,1,7.92778,55.2232,9.35456,374.616,0.0621624,0.110188,0.227034,0.132165,0.455706,0.822051,2.57629,6.59738,0.20229,0.197912
108,1122.93,1,8.16894,55.2056,8.34388,342.477,0.0464958,0.0345416,0.221286,0.128818,0.449064,0.852412,2.51106,7.2176,0.207247,0.192901
109,1129.53,1,8.2284,54.7536,8.84624,310.545,0.0284736,0.0370781,0.224119,0.125557,0.437694,0.830829,2.56129,7.03484,0.216918,0.188016
110,1130.33,1,8.11092,54.3226,9.50783,323.067,0.0212468,0.0427992,0.218444,0.125984,0.426611,0.855951,2.5621,6.85672,0.219027,0.183256
111,1123.67,1,8.18707,52.9079,9.81826,298.295,0.0360053,0.0210002,0.216166,0.122794,0.415809,0.934246,2.7171,6.6831,0.224676,0.178616
112,1123.36,1,8.17387,52.8431,10.1219,296.173,0.0360127,0.104482,0.214061,0.120307,0.40528,0.910591,2.6483,6.60504,0.227139,0.174093
113,1125.12,1,8.1224,53.0334,9.62622,315.938,0.0186521,0.085141,0.208641,0.11726,0.395018,0.887534,2.83593,7.31812,0.224132,0.169685
114,1114.94,1,8.24665,52.9855,9.46405,294.333,0.0233234,0.104666,0.206508,0.118245,0.385016,0.865061,2.93526,7.13282,0.228924,0.165388
115,1112.45,1,8.59627,52.611,9.51137,260.261,0.0313863,0.0935124,0.205407,0.115251,0.375268,0.906406,2.99153,7.10635,0.227981,0.161201
116,1115.54,1,8.43589,50.8,9.7633,259.777,0.027985,0.0755411,0.200206,0.112333,0.396486,0.985722,2.91578,6.92642,0.241336,0.157119
117,1111.54,1,8.23938,51.4064,9.33072,277.368,0.0332841,0.0813572,0.195137,0.109488,0.386447,0.998516,2.84196,6.75103,0.246824,0.153141
118,1104.41,1,7.89779,52.0633,9.5507,317.699,0.0261718,0.234361,0.190196,0.106716,0.376662,0.983199,2.99767,6.72575,0.247077,0.149263
119,1103.27,1,7.81955,51.5869,9.67952,334.37,0.024745,0.513902,0.18538,0.104014,0.367125,0.958304,2.94409,6.59199,0.256229,0.145484
120,1103.71,1,7.72759,50.6417,10.0365,333.251,0.0292803,0.972904,0.180686,0.10138,0.357829,1.07396,2.86955,6.76689,0.264812,0.1418
121,1100.12,1,7.74228,49.7813,9.78885,301.68,0.0444005,0.936224,0.176111,0.105766,0.348768,1.16633,2.95667,6.59555,0.26488,0.138209
122,1100.43,1,7.83912,49.8149,10.2361,265.336,0.064031,0.28398,0.171652,0.103088,0.339937,1.21628,3.09564,6.42855,0.264383,0.13471
123,1104.49,1,7.77325,50.2988,10.351,291.675,0.0519788,0.152986,0.178362,0.104321,0.344106,1.18549,3.29665,7.18554,0.271646,0.131299
124,1100.51,1,7.73012,49.5385,10.0916,302.129,0.0469043,0.0949469,0.176643,0.121331,0.335393,1.17259,3.24171,7.0036,0.273884,0.127974
125,1092.85,1,7.88516,49.7421,10.3363,291.031,0.03192,0.0280693,0.188049,0.122016,0.326901,1.1429,3.15962,6.82627,0.274282,0.124734
126,1101.01,1,7.98481,49.7907,10.0987,286.545,0.0533105,0.022029,0.188896,0.141371,0.318624,1.18852,3.07962,6.65342,0.267337,0.124757
127,1111.12,1,8.10216,51.0346,9.56897,252.387,0.0251465,0.0271798,0.215023,0.137791,0.310556,1.19271,3.00164,7.76117,0.284024,0.121598
128,1103.6,1,8.00283,51.3877,9.41351,290.733,0.0225826,0.0267928,0.209579,0.134646,0.322218,1.16251,3.12884,8.10948,0.276832,0.118519
129,1091.61,1,8.04052,50.7114,9.3828,284.947,0.0274384,0.0346067,0.204272,0.131237,0.314059,1.13307,3.07663,7.90414,0.278536,0.115518
130,1102.7,1,8.12172,51.1366,9.30253,273.987,0.0184432,0.0667834,0.1991,0.146732,0.306107,1.10438,2.99873,7.76086,0.275108,0.119533
131,1110.27,1,8.14496,51.0795,9.62325,266.095,0.022747,0.0404008,0.217901,0.143016,0.298356,1.07642,3.5261,7.56435,0.274908,0.121385
132,1108.16,1,8.28908,50.2031,10.0223,216.563,0.012631,0.00747191,0.215362,0.139395,0.290802,1.17929,3.7175,7.37282,0.269173,0.122919
133,1102.09,1,8.60175,50.879,9.37055,192.624,0.0144427,0.00758669,0.209909,0.135866,0.283438,1.14943,3.81792,7.18614,0.278074,0.119807
134,1106.85,1,8.6502,50.4009,9.50074,212.986,0.00845776,0.020936,0.206478,0.134597,0.294102,1.12033,3.72125,7.63451,0.275283,0.116773
135,1108.19,1,8.60905,51.0798,9.54021,218.887,0.00321553,0.0212447,0.21165,0.137835,0.291933,1.09196,3.69421,8.07675,0.270039,0.117786
136,1105.63,1,8.71346,51.1248,9.38974,215.8,0.00157033,0.032011,0.206291,0.135501,0.284541,1.06431,3.92811,7.87225,0.276716,0.117413
137,1105.49,1,8.53289,52.2049,8.69031,220.634,0.000894663,0.0341177,0.214199,0.13207,0.297385,1.04506,3.82864,7.75182,0.282153,0.11444
138,1110.59,1,8.57498,51.0349,8.62672,228.32,0.000873503,0.0217051,0.208775,0.149004,0.30891,1.10052,3.85011,7.91193,0.276803,0.112451
139,1116.27,1,8.45167,51.8519,8.76321,224.976,0.000494695,0.0448097,0.230695,0.158013,0.31598,1.07266,3.75262,8.56408,0.285379,0.110538
140,1112.46,1,8.42696,51.8355,8.8639,225.602,0.000402986,0.0523548,0.238871,0.154012,0.336051,1.06037,3.6576,9.01476,0.291789,0.107739
141,1109.43,1,8.3215,50.7025,9.19235,251.027,0.000251279,0.0420884,0.245135,0.150113,0.340244,1.03352,4.27768,8.7865,0.2844,0.106178
142,1116.99,1,8.2707,50.6472,9.36452,234.058,0.000218729,0.0279535,0.255948,0.146312,0.331629,1.1781,5.12981,8.94746,0.301304,0.103489
143,1122.49,1,8.20936,49.3713,9.58521,237.652,0.000127479,0.00782324,0.249467,0.142607,0.337084,1.24338,5.16872,8.72091,0.293675,0.102863
144,1118.34,1,8.37938,48.4065,9.4131,211.499,0.00010262,0.0098996,0.24315,0.138996,0.342763,1.23918,5.37274,10.096,0.286239,0.102671
145,1118.12,1,8.29909,49.3691,9.71757,239.103,5.62154e-05,0.0977634,0.236994,0.135477,0.393937,1.2078,5.2367,9.84036,0.293217,0.100071
146,1115.5,1,8.18946,48.7372,9.4475,251.354,3.48175e-05,0.0239434,0.251476,0.132046,0.383962,1.17722,5.1041,9.59119,0.29467,0.0990566
147,1113.81,1,8.21742,49.1097,9.72631,246.517,3.41314e-05,0.052388,0.248935,0.131222,0.416361,1.16378,4.97486,9.34834,0.292118,0.0990609
148,1117.94,1,8.4053,49.5226,9.93407,221.83,3.1788e-05,0.0415417,0.242632,0.127899,0.415893,1.32744,5.26215,9.11163,0.288446,0.100471
149,1111.83,1,8.38026,49.2396,9.97192,217.3,6.17592e-05,0.0283873,0.236488,0.124661,0.451351,1.29383,5.12891,8.88092,0.292298,0.0994135
150,1117.2,1,8.45405,50.2341,10.0929,237.134,4.96635e-05,0.0414061,0.2305,0.123271,0.439996,1.30683,4.99904,8.65605,0.29039,0.100892
151,1109.06,1,8.43434,49.9885,10.3096,235.903,0.00014514,0.0129424,0.228309,0.124109,0.431924,1.27374,4.87246,8.43688,0.287961,0.0995463
152,1130,1,8.47294,49.4794,9.63065,222.899,4.96977e-05,0.0113446,0.222528,0.130756,0.441386,1.24149,5.25249,8.22325,0.288656,0.108071
153,1114.66,1,8.41658,48.5223,10.2424,219.289,9.84665e-05,0.0099591,0.234025,0.127446,0.43021,1.21005,5.41684,8.01782,0.294182,0.105335
154,1119.99,1,8.26306,48.4242,9.8399,231.595,6.12846e-05,0.0051229,0.2281,0.129353,0.419317,1.17941,5.50118,8.33661,0.297283,0.102667
155,1114.34,1,8.34916,48.5034,9.91558,227.444,2.63993e-05,0.00214539,0.222324,0.132019,0.408699,1.14955,5.36189,8.12553,0.289756,0.103852
156,1114.66,1,8.39064,49.7253,9.50857,241.478,4.80076e-05,0.00904102,0.222583,0.149597,0.398351,1.12044,5.22612,8.21317,0.295536,0.101223
157,1111.42,1,8.38549,50.6917,9.43932,243.714,3.68799e-05,0.0108574,0.216947,0.150627,0.388264,1.09207,5.24011,8.53511,0.291293,0.100266
158,1122.09,1,8.34666,50.2911,9.4156,227.463,1.17635e-05,0.0227935,0.218521,0.162138,0.378433,1.16138,5.50728,8.319,0.288436,0.103915
159,1119.22,1,8.46342,49.934,9.57846,209.479,2.74351e-05,0.025478,0.226023,0.158032,0.368851,1.19615,5.36783,8.45221,0.288037,0.102594
160,1120.16,1,8.36568,50.3737,9.9299,218.981,1.6569e-05,0.0412861,0.232383,0.154031,0.359512,1.1712,5.4226,8.2382,0.282117,0.106331
161,1118.99,1,8.33083,50.8533,9.57259,219.416,1.39406e-05,0.243862,0.232549,0.150131,0.350409,1.14154,5.86856,8.0296,0.288506,0.104491
162,1134.88,1,8.30991,50.8018,9.12458,214.487,2.47686e-05,0.238472,0.239337,0.146329,0.38798,1.16549,6.58572,7.82629,0.300945,0.103448
163,1135.61,1,8.26923,49.1759,9.24144,224.534,2.50077e-05,0.0465936,0.237075,0.166334,0.378513,1.16083,7.44129,7.62812,0.294933,0.102633
164,1122.12,1,8.45614,49.493,9.53923,204.687,1.33167e-05,0.0890879,0.237956,0.162123,0.370651,1.161,7.25287,7.43498,0.287465,0.103543
165,1123.47,1,8.67579,49.9185,9.27685,192.82,9.84134e-06,0.441006,0.240112,0.158017,0.361266,1.13628,7.49109,7.46016,0.280186,0.104409
166,1126.54,1,8.61831,49.2479,9.58363,188.375,6.87973e-06,0.192445,0.234033,0.154016,0.367954,1.11228,7.40022,7.43593,0.279453,0.107873
167,1128.51,1,8.77483,49.3722,9.91625,190.346,8.33093e-06,0.196166,0.232572,0.150117,0.374703,1.10965,7.81177,7.24765,0.288315,0.107311
168,1128.72,1,8.66868,50.7811,9.57027,191.94,7.42905e-06,0.0455335,0.233836,0.146316,0.371213,1.18063,7.61398,7.33017,0.28448,0.106212
169,1119.73,1,8.62787,50.2408,9.51583,199.785,8.50006e-06,0.0656798,0.251988,0.142611,0.37702,1.15074,7.42119,7.34478,0.2893,0.103523
170,1125.6,1,8.63746,49.0018,9.9403,196.151,3.91825e-06,0.0559155,0.245607,0.152072,0.367794,1.1216,7.23328,7.1588,0.284737,0.105372
171,1129.75,1,8.46266,48.2215,9.91211,213.832,4.55166e-06,0.111615,0.239388,0.154886,0.373677,1.0932,7.05013,7.19266,0.292496,0.105534
172,1126.11,1,8.47668,48.8544,9.0422,204.579,3.237e-06,0.163554,0.233702,0.150964,0.364215,1.06552,6.87161,8.55086,0.289099,0.106576
173,1131.53,1,8.63181,49.2614,9.28999,188.422,1.68517e-05,0.0126269,0.228066,0.147142,0.354993,1.13362,6.69762,8.33435,0.289636,0.108606
174,1130.8,1,8.60545,50.0041,9.41458,188.077,3.08995e-05,0.0209264,0.222291,0.152875,0.360183,1.14993,6.82044,8.12332,0.282302,0.109615
