Cl_abscissa,Cl_pdf,Cl_cdf,Q_abscissa,Q_pdf,Q_cdf,split
13.9282,0.0536999,0.884087,92.2796,0.000308562,0.989628,All
14.1706,0.0486624,0.896488,94.4678,0.00028489,0.990277,All
14.4131,0.0439834,0.907712,96.6561,0.000263366,0.990877,All
14.6555,0.0396576,0.917844,98.8443,0.000243764,0.991431,All
14.898,0.0356756,0.926969,101.032,0.000225886,0.991945,All
15.1404,0.0320245,0.935169,103.221,0.000209558,0.992421,All
15.3828,0.0286891,0.942522,105.409,0.000194623,0.992863,All
15.6253,0.0256523,0.949104,107.597,0.000180944,0.993274,All
15.8677,0.0228961,0.954983,109.785,0.0001684,0.993656,All
16.1102,0.0204017,0.960227,111.974,0.000156882,0.994011,All
16.3526,0.0181504,0.964895,114.162,0.000146293,0.994343,All
16.595,0.0161236,0.969046,116.35,0.000136547,0.994652,All
16.8375,0.0143032,0.97273,118.538,0.000127566,0.994941,All
17.0799,0.0126717,0.975996,120.726,0.00011928,0.995211,All
17.3224,0.0112125,0.978888,122.915,0.000111629,0.995463,All
17.5648,0.0099099,0.981446,125.103,0.000104556,0.9957,All
17.8072,0.00874911,0.983705,127.291,9.80097e-05,0.995921,All
18.0497,0.00771642,0.985698,129.479,9.19462e-05,0.996129,All
18.2921,0.00679912,0.987456,131.667,8.63239e-05,0.996324,All
18.5346,0.0059855,0.989003,133.856,8.11059e-05,0.996507,All
18.777,0.00526482,0.990365,136.044,7.62588e-05,0.996679,All
19.0194,0.00462728,0.991563,138.232,7.17522e-05,0.996841,All
19.2619,0.00406394,0.992615,140.42,6.75585e-05,0.996994,All
19.5043,0.00356674,0.993539,142.608,6.36528e-05,0.997137,All
19.7468,0.00312835,0.994349,144.797,6.00122e-05,0.997272,All
19.9892,0.0027422,0.99506,146.985,5.66162e-05,0.9974,All
20.2317,0.00240238,0.995683,149.173,5.34457e-05,0.99752,All
20.4741,0.00210357,0.996228,151.361,5.04836e-05,0.997634,All
20.7165,0.00184104,0.996706,153.55,4.7714e-05,0.997741,All
20.959,0.00161055,0.997123,155.738,4.51227e-05,0.997843,All
21.2014,0.00140833,0.997489,157.926,4.26965e-05,0.997939,All
21.4439,0.00123103,0.997808,160.114,4.04231e-05,0.99803,All
21.6863,0.00107567,0.998087,162.302,3.82916e-05,0.998116,All
21.9287,0.000939616,0.998331,164.491,3.62919e-05,0.998198,All
22.1712,0.000820523,0.998544,166.679,3.44144e-05,0.998275,All
22.4136,0.00071633,0.99873,168.867,3.26508e-05,0.998348,All
22.6561,0.000625212,0.998893,171.055,3.09929e-05,0.998418,All
22.8985,0.000545563,0.999035,173.243,2.94336e-05,0.998484,All
23.1409,0.000475964,0.999158,175.432,2.79662e-05,0.998547,All
23.3834,0.000415169,0.999266,177.62,2.65843e-05,0.998606,All
23.6258,0.000362081,0.99936,179.808,2.52823e-05,0.998663,All
23.8683,0.000315737,0.999442,181.996,2.40549e-05,0.998717,All
24.1107,0.000275291,0.999514,184.184,2.28972e-05,0.998768,All
24.3531,0.000240001,0.999576,186.373,2.18046e-05,0.998817,All
24.5956,0.000209216,0.99963,188.561,2.0773e-05,0.998864,All
24.838,0.000182366,0.999678,190.749,1.97984e-05,0.998908,All
25.0805,0.000158953,0.999719,192.937,1.88772e-05,0.998951,All
25.3229,0.00013854,0.999755,195.126,1.80061e-05,0.998991,All
25.5653,0.000120745,0.999786,197.314,1.71819e-05,0.999029,All
25.8078,0.000105233,0.999814,199.502,1.64018e-05,0.999066,All
26.0502,9.17145e-05,0.999838,201.69,1.56631e-05,0.999101,All
26.2927,7.99329e-05,0.999858,203.878,1.49631e-05,0.999135,All
26.5351,6.96661e-05,0.999877,206.067,1.42997e-05,0.999167,All
26.7775,6.07198e-05,0.999892,208.255,1.36706e-05,0.999197,All
27.02,5.29245e-05,0.999906,210.443,1.30738e-05,0.999227,All
27.2624,4.61323e-05,0.999918,212.631,1.25074e-05,0.999255,All
27.5049,4.02143e-05,0.999929,214.819,1.19696e-05,0.999281,All
27.7473,3.50578e-05,0.999938,217.008,1.14587e-05,0.999307,All
