Cl_abscissa,Cl_cdf,Q_abscissa,Q_cdf,split
4.91031,0.0265714,1.13562,0.0267143,All
4.91031,0.0267143,1.13562,0.0268571,All
4.9113,0.0268571,1.14248,0.027,All
4.9142,0.027,1.14248,0.0271429,All
4.91595,0.0271429,1.14509,0.0272857,All
4.91646,0.0272857,1.14614,0.0274286,All
4.91777,0.0274286,1.14806,0.0275714,All
4.91826,0.0275714,1.14872,0.0277143,All
4.92164,0.0277143,1.15444,0.0278571,All
4.92397,0.0278571,1.15539,0.028,All
4.92446,0.028,1.15539,0.0281429,All
4.92671,0.0281429,1.16349,0.0282857,All
4.92673,0.0282857,1.16349,0.0284286,All
4.93077,0.0284286,1.16524,0.0285714,All
4.93154,0.0285714,1.16524,0.0287143,All
4.93231,0.0287143,1.18809,0.0288571,All
4.93404,0.0288571,1.18908,0.029,All
4.93572,0.029,1.19531,0.0291429,All
4.93572,0.0291429,1.20651,0.0292857,All
4.93587,0.0292857,1.20769,0.0294286,All
4.93926,0.0294286,1.20769,0.0295714,All
4.94019,0.0295714,1.20788,0.0297143,All
4.94259,0.0297143,1.21181,0.0298571,All
4.94337,0.0298571,1.21371,0.03,All
4.94337,0.03,1.21444,0.0301429,All
4.94515,0.0301429,1.21444,0.0302857,All
4.94598,0.0302857,1.22474,0.0304286,All
4.9463,0.0304286,1.22777,0.0305714,All
4.9476,0.0305714,1.23392,0.0307143,All
4.95029,0.0307143,1.23709,0.0308571,All
4.9539,0.0308571,1.23809,0.031,All
4.95481,0.031,1.23818,0.0311429,All
4.95558,0.0311429,1.24021,0.0312857,All
4.96107,0.0312857,1.24196,0.0314286,All
4.96203,0.0314286,1.24325,0.0315714,All
4.96778,0.0315714,1.24325,0.0317143,All
4.97034,0.0317143,1.24618,0.0318571,All
4.97034,0.0318571,1.25058,0.032,All
4.97133,0.032,1.25188,0.0321429,All
4.97183,0.0321429,1.25232,0.0322857,All
4.97343,0.0322857,1.25232,0.0324286,All
4.97427,0.0324286,1.25232,0.0325714,All
4.97531,0.0325714,1.25232,0.0327143,All
4.97607,0.0327143,1.25232,0.0328571,All
4.97645,0.0328571,1.25232,0.033,All
4.97936,0.033,1.25793,0.0331429,All
4.97936,0.0331429,1.25946,0.0332857,All
4.97936,0.0332857,1.25946,0.0334286,All
4.98057,0.0334286,1.25946,0.0335714,All
4.98311,0.0335714,1.25946,0.0337143,All
4.98354,0.0337143,1.25981,0.0338571,All
4.98469,0.0338571,1.26475,0.034,All
4.98527,0.034,1.26503,0.0341429,All
4.98664,0.0341429,1.26503,0.0342857,All
4.98721,0.0342857,1.26893,0.0344286,All
4.98784,0.0344286,1.26941,0.0345714,All
4.98922,0.0345714,1.26941,0.0347143,All
4.99064,0.0347143,1.26991,0.0348571,All
4.99089,0.0348571,1.26991,0.035,All
4.9929,0.035,1.27324,0.0351429,All
4.99482,0.0351429,1.27493,0.0352857,All
4.99522,0.0352857,1.27658,0.0354286,All
4.99592,0.0354286,1.27677,0.0355714,All
4.99625,0.0355714,1.27973,0.0357143,All
4.99625,0.0357143,1.27973,0.0358571,All
4.99703,0.0358571,1.28275,0.036,All
4.99799,0.036,1.28684,0.0361429,All
4.99962,0.0361429,1.28684,0.0362857,All
5.00404,0.0362857,1.28847,0.0364286,All
5.00732,0.0364286,1.28847,0.0365714,All
5.00777,0.0365714,1.2886,0.0367143,All
5.00868,0.0367143,1.2886,0.0368571,All
5.00875,0.0368571,1.28868,0.037,All
5.01014,0.037,1.29267,0.0371429,All
5.01014,0.0371429,1.29331,0.0372857,All
5.01188,0.0372857,1.29386,0.0374286,All
5.01242,0.0374286,1.29724,0.0375714,All
5.01333,0.0375714,1.30887,0.0377143,All
5.01424,0.0377143,1.30991,0.0378571,All
5.01498,0.0378571,1.31095,0.038,All
5.01611,0.038,1.31216,0.0381429,All
5.01623,0.0381429,1.3181,0.0382857,All
5.01653,0.0382857,1.3384,0.0384286,All
5.01969,0.0384286,1.34048,0.0385714,All
5.02278,0.0385714,1.34261,0.0387143,All
5.02397,0.0387143,1.34703,0.0388571,All
5.02434,0.0388571,1.35401,0.039,All
5.02549,0.039,1.35426,0.0391429,All
5.02568,0.0391429,1.35426,0.0392857,All
5.02717,0.0392857,1.35426,0.0394286,All
5.02717,0.0394286,1.35426,0.0395714,All
5.02724,0.0395714,1.35583,0.0397143,All
5.03146,0.0397143,1.35691,0.0398571,All
5.03516,0.0398571,1.35841,0.04,All
5.03529,0.04,1.3587,0.0401429,All
