iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
114,837.749,1,10.1485,11.9604,47.3335,46.5742,2.22045e-16,0.103289,0.163686,0.954517,0.26111,0.3455,0.191982,1.08733,0.255414
115,842.2,1,10.166,11.5833,46.9033,47.8813,2.22045e-16,0.104971,0.165237,0.942996,0.254499,0.336752,0.198195,1.14197,0.262716
116,838.54,1,10.0605,11.8442,48.0398,47.5261,2.22045e-16,0.102333,0.165596,0.939886,0.261156,0.328225,0.193176,1.11306,0.266519
117,835.536,1,10.0972,11.6094,47.2281,46.6882,2.22045e-16,0.101191,0.170651,0.940283,0.260134,0.319914,0.188285,1.09867,0.265902
118,837.266,1,10.0259,11.8963,46.8933,46.7189,2.22045e-16,0.097834,0.168037,0.94594,0.263964,0.321961,0.192653,1.11519,0.268368
119,839.007,1,10.0816,11.8706,46.3435,46.2532,2.22045e-16,0.0992497,0.16933,0.945046,0.262887,0.374054,0.187775,1.08695,0.263745
120,837.745,1,10.1403,11.9551,46.7119,45.3076,2.22045e-16,0.100085,0.173728,0.947596,0.256231,0.364583,0.18302,1.05943,0.257067
121,850.513,1,10.0808,11.9289,46.4733,46.6744,2.22045e-16,0.100852,0.17025,0.9634,0.267101,0.420936,0.181616,1.06787,0.25134
122,834.72,1,10.0902,11.8111,47.2563,52.6448,2.22045e-16,0.0964798,0.173674,0.946229,0.260338,0.410278,0.177018,1.04083,0.263037
123,834.847,1,10.1371,11.2383,46.3797,51.4668,2.22045e-16,0.0975682,0.1764,0.948434,0.253746,0.39989,0.172536,1.01447,0.256377
124,838.652,1,10.0507,11.7137,46.2609,51.1833,2.22045e-16,0.0990519,0.172602,0.942989,0.252508,0.404081,0.174297,0.988786,0.250211
125,840.14,1,10.0178,10.8941,46.1446,52.8929,2.22045e-16,0.10009,0.172199,0.946508,0.252893,0.393849,0.169883,1.00692,0.254414
126,840.469,1,10.0668,11.1535,47.2329,47.1703,2.22045e-16,0.102614,0.169704,0.952499,0.262063,0.383877,0.165582,1.04309,0.251423
127,842.036,1,9.96121,10.5372,48.0105,53.6683,2.22045e-16,0.106229,0.164876,0.958206,0.260256,0.378343,0.161389,1.02727,0.251591
128,844.683,1,10.0068,11.0043,48.2059,54.4646,2.22045e-16,0.107911,0.165573,0.951954,0.2544,0.40908,0.157303,1.04584,0.24522
129,838.044,1,10.0467,11.216,48.1603,57.8404,2.22045e-16,0.104303,0.166215,0.950168,0.257497,0.398722,0.177185,1.01936,0.239011
