iteration,E_Cl,sd_Cl,E_Q,sd_Q,E_V2,sd_V2
84,10.5045,0.0392995,15.0029,0.381092,56.1775,9.62458e-08
85,10.5042,0.0393326,15.0164,0.381056,56.1775,9.7099e-08
86,10.5046,0.0394011,15.0114,0.381113,56.1775,9.48175e-08
87,10.5049,0.0394981,15.0083,0.381036,56.1775,1.02651e-07
88,10.5064,0.0395306,15.0123,0.380755,56.1775,9.53455e-08
89,10.5068,0.0396105,15.0226,0.380929,56.1775,1.03361e-07
90,10.5069,0.0397496,15.0063,0.381139,56.1775,9.80831e-08
91,10.5073,0.0397704,15.0008,0.381138,56.1775,1.00764e-07
92,10.5079,0.0398161,15.0061,0.381657,56.1775,1.01788e-07
93,10.5076,0.0398068,15.0065,0.382293,56.1775,1.01584e-07
94,10.5079,0.0398182,15.0128,0.382342,56.1775,9.02969e-08
95,10.5076,0.0398003,15.0155,0.381977,56.1775,9.14043e-08
96,10.5076,0.0397822,15.0184,0.381356,56.1775,8.57741e-08
97,10.5078,0.0397645,15.0052,0.38125,56.1775,9.39241e-08
98,10.5076,0.0397179,14.9909,0.381,56.1775,9.12339e-08
99,10.5083,0.0397217,14.9866,0.381032,56.1775,8.25032e-08
100,10.5084,0.0397596,14.9852,0.381613,56.1775,8.67039e-08
101,10.5088,0.0397538,14.9759,0.381131,56.1775,8.73453e-08
102,10.5096,0.0397856,14.9725,0.380881,56.1775,8.89883e-08
103,10.5106,0.0397489,14.9813,0.380606,56.1775,8.91091e-08
104,10.5101,0.0397167,14.9917,0.380387,56.1775,9.63895e-08
105,10.5099,0.0396828,15.0121,0.380503,56.1775,9.71472e-08
106,10.5102,0.0396657,15.0145,0.38057,56.1775,8.9734e-08
107,10.5092,0.0396207,15.0036,0.379867,56.1775,8.70261e-08
108,10.5083,0.0396152,14.9958,0.37969,56.1775,9.09497e-08
109,10.5086,0.0396133,14.9971,0.380198,56.1775,8.64357e-08
110,10.5089,0.0396233,15.0062,0.380211,56.1775,8.96562e-08
111,10.5078,0.0396462,15.0093,0.380772,56.1775,9.83453e-08
112,10.5075,0.0396775,15.0098,0.380744,56.1775,9.5623e-08
113,10.507,0.0396977,15.0208,0.380824,56.1775,8.6271e-08
114,10.5069,0.0397568,15.0316,0.381169,56.1775,9.01941e-08
115,10.5058,0.0397881,15.0248,0.381618,56.1775,9.24623e-08
116,10.5048,0.0398014,15.0133,0.381854,56.1775,9.15938e-08
117,10.5049,0.0397959,15.02,0.382146,56.1775,9.20764e-08
118,10.5046,0.0398473,15.0191,0.382826,56.1775,8.6744e-08
119,10.5044,0.0398794,15.0245,0.382967,56.1775,8.29515e-08
120,10.5042,0.0398361,15.0354,0.383064,56.1775,8.53167e-08
121,10.5044,0.0397731,15.0363,0.382341,56.1775,7.98637e-08
122,10.5039,0.0397557,15.0543,0.382169,56.1775,8.86671e-08
123,10.5031,0.0397708,15.0638,0.38236,56.1775,8.58563e-08
124,10.5025,0.0398133,15.0661,0.381838,56.1775,9.14437e-08
125,10.5025,0.0397653,15.0623,0.381718,56.1775,8.44922e-08
126,10.5028,0.0397392,15.058,0.381689,56.1775,9.30576e-08
127,10.5026,0.0397262,15.0529,0.381183,56.1775,9.86874e-08
128,10.5026,0.0397082,15.0512,0.381257,56.1775,9.30519e-08
129,10.503,0.039681,15.0518,0.381444,56.1775,8.6621e-08
130,10.5032,0.0396637,15.0412,0.380966,56.1775,8.59885e-08
131,10.5035,0.0396389,15.0339,0.381009,56.1775,8.1809e-08
132,10.5034,0.0396477,15.0398,0.381446,56.1775,8.71479e-08
133,10.5029,0.0396661,15.0403,0.381757,56.1775,9.04871e-08
134,10.5028,0.0396481,15.0414,0.381528,56.1775,8.68561e-08
135,10.5025,0.0396596,15.0345,0.381839,56.1775,8.40749e-08
136,10.5021,0.0396363,15.0327,0.381781,56.1775,8.09247e-08
137,10.5021,0.0396064,15.0274,0.381936,56.1775,8.2863e-08
138,10.502,0.039614,15.0328,0.382439,56.1775,8.50769e-08
139,10.502,0.0396025,15.0219,0.382135,56.1775,8.96344e-08
140,10.5019,0.0395707,15.011,0.382048,56.1775,7.56891e-08
141,10.5024,0.0396082,15.0225,0.38237,56.1775,7.19772e-08
142,10.5023,0.0396228,15.0182,0.382474,56.1775,7.01713e-08
143,10.5029,0.0396505,15.016,0.382352,56.1775,7.00334e-08
144,10.5032,0.0396378,15.0159,0.38202,56.1775,7.61817e-08
145,10.5032,0.0396391,15.0073,0.3817,56.1775,6.99676e-08
146,10.5035,0.039625,15.0015,0.381423,56.1775,6.55239e-08
147,10.5032,0.0396217,14.9892,0.381527,56.1775,7.22967e-08
148,10.503,0.0396071,14.9812,0.381718,56.1775,6.86674e-08
