iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,p_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a1,a2
132,846.352,1,5.13015,20.2582,5.8697,25.6111,5.61096e-16,0.263097,0.275643,0.659398,0.330961,0.308787,0.0596633
133,840.103,1,5.1779,20.429,6.09853,24.8026,5.8915e-16,0.263635,0.268664,0.654644,0.322581,0.310278,0.0585232
134,839.514,1,5.16376,20.419,6.14725,25.116,5.8915e-16,0.260798,0.261861,0.679754,0.315691,0.307531,0.0585241
135,834.678,1,5.175,20.9405,6.08707,25.8418,6.18608e-16,0.261768,0.25523,0.686974,0.333418,0.307485,0.0571565
136,835.521,1,5.12776,20.2124,6.06238,25.5206,6.18608e-16,0.259877,0.248768,0.699445,0.368133,0.30896,0.0563367
137,827.303,1,5.13861,20.0918,5.94123,24.8192,6.18608e-16,0.261398,0.242469,0.681734,0.358812,0.310385,0.0541423
138,832.037,1,5.13605,20.4167,5.71583,24.2957,6.18608e-16,0.257235,0.23633,0.732394,0.356284,0.308049,0.0555008
139,841.002,1,5.1269,20.5727,5.72953,24.0642,6.18608e-16,0.261321,0.23845,0.713849,0.347263,0.305534,0.059128
140,846.527,1,5.12701,20.7916,5.63742,25.1464,6.49538e-16,0.258182,0.249581,0.69647,0.345081,0.304101,0.0608302
141,856.302,1,5.16329,20.5814,5.63843,23.2168,6.49538e-16,0.251645,0.279663,0.678835,0.375418,0.302704,0.0631179
142,855.494,1,5.16241,20.6785,5.70194,22.7801,6.82015e-16,0.254174,0.272582,0.661647,0.393093,0.305764,0.0627828
143,858.64,1,5.15438,21.3614,5.72764,23.4245,7.16116e-16,0.261392,0.26568,0.666199,0.383139,0.30483,0.0639684
144,850.168,1,5.15588,21.105,5.5348,23.4834,7.16116e-16,0.254773,0.260033,0.649331,0.373438,0.300381,0.063755
145,845.939,1,5.16083,20.4785,6.19216,23.0262,7.16116e-16,0.256521,0.253449,0.662598,0.363982,0.305559,0.0609286
146,848.283,1,5.16438,20.2709,6.11962,23.4206,7.16116e-16,0.257554,0.253111,0.655739,0.354766,0.308774,0.0610318
147,851.925,1,5.13519,20.3803,5.99272,23.2678,7.16116e-16,0.255782,0.269262,0.639136,0.345783,0.306315,0.0629094
148,839.644,1,5.15509,20.3339,6.27169,23.1291,7.51922e-16,0.264484,0.262444,0.66816,0.337028,0.305503,0.059764
149,838.238,1,5.14781,20.206,6.19708,23.0463,7.51922e-16,0.258299,0.270078,0.651242,0.328494,0.307522,0.0582043
150,845.602,1,5.13305,19.9381,6.41696,23.3686,7.51922e-16,0.259064,0.268451,0.666356,0.320176,0.309383,0.0601499
151,843.312,1,5.18815,20.046,6.55785,24.6438,7.51922e-16,0.259639,0.267223,0.649483,0.328673,0.302506,0.0605807
152,852.475,1,5.18015,20.0577,6.56083,24.5386,7.89518e-16,0.25421,0.270798,0.662968,0.348529,0.301052,0.0631331
153,849.992,1,5.12909,20.1075,6.44888,23.4559,7.89518e-16,0.258761,0.263941,0.648326,0.339704,0.304123,0.063682
154,855.201,1,5.14694,19.9686,6.23383,23.4219,7.89518e-16,0.252633,0.257379,0.661135,0.380406,0.298747,0.0642723
155,858.445,1,5.15052,20.1049,6.40083,23.7339,7.89518e-16,0.2563,0.256954,0.657426,0.385659,0.301593,0.0645515
156,849.767,1,5.18853,20.2302,6.69239,21.8445,8.28994e-16,0.259139,0.283462,0.658247,0.377225,0.304063,0.0613239
157,853.335,1,5.17265,20.0927,6.62854,22.8395,8.28994e-16,0.265845,0.276284,0.657198,0.383439,0.304321,0.0616326
158,856.787,1,5.15838,20.0129,6.75553,22.6731,8.28994e-16,0.266495,0.269289,0.699593,0.37373,0.303343,0.0627591
159,854.449,1,5.1484,19.6335,6.98731,24.1039,8.28994e-16,0.266538,0.26247,0.737556,0.364267,0.301593,0.0627599
160,851.72,1,5.15743,19.2164,7.21345,24.9895,8.28994e-16,0.259789,0.255824,0.718881,0.374674,0.302094,0.0621997
161,853.791,1,5.16155,19.4329,7.18093,24.958,8.28994e-16,0.25433,0.249347,0.700679,0.408573,0.301371,0.0626989
162,854.671,1,5.16233,19.4505,7.07607,23.5427,8.28994e-16,0.254636,0.256591,0.682937,0.398228,0.302351,0.0640493
163,857.315,1,5.17728,19.7676,6.66413,23.4344,8.28994e-16,0.25885,0.274704,0.665645,0.402112,0.305682,0.0621589
164,858.587,1,5.18011,20.2177,6.535,23.8694,8.28994e-16,0.255836,0.267748,0.69849,0.39193,0.305775,0.0639986
165,854.754,1,5.18746,20.5939,6.39068,23.3336,8.70444e-16,0.258632,0.265465,0.686995,0.382006,0.304087,0.0622236
166,852.179,1,5.16801,20.034,6.26199,22.9397,8.70444e-16,0.257606,0.271666,0.6696,0.372334,0.304302,0.0619375
167,844.929,1,5.131,20.2316,6.33802,22.7151,8.70444e-16,0.265091,0.264787,0.652645,0.362906,0.303648,0.0603825
168,842.114,1,5.15467,20.12,6.38428,23.114,8.70444e-16,0.260848,0.258082,0.636645,0.353717,0.304144,0.0600308
169,849.407,1,5.13798,20.3404,6.60522,24.5391,9.13966e-16,0.265859,0.251548,0.625713,0.37016,0.303849,0.0619513
170,845.421,1,5.2037,20.4478,6.63954,25.2822,9.13966e-16,0.259127,0.251308,0.609869,0.366817,0.299398,0.0622537
171,857.224,1,5.22574,20.5592,6.66593,24.2655,9.13966e-16,0.255007,0.282319,0.615062,0.390532,0.302253,0.0636755
172,847.204,1,5.17484,20.5497,6.48179,23.9662,9.59664e-16,0.25895,0.278446,0.599488,0.380643,0.304454,0.0610646
173,846.472,1,5.15951,20.7742,6.13038,23.2532,1.00765e-15,0.257182,0.271395,0.584308,0.371928,0.306142,0.0611956
174,847.181,1,5.1969,21.0227,6.3457,23.1855,1.05803e-15,0.258039,0.264523,0.569513,0.388415,0.30666,0.0610936
175,853.663,1,5.19997,20.4585,6.24427,22.5057,1.05803e-15,0.25178,0.289564,0.558933,0.384356,0.302753,0.0633106
176,849.578,1,5.19606,20.3484,6.39054,20.8086,1.05803e-15,0.251545,0.291155,0.576838,0.383916,0.30219,0.0617776
177,847.95,1,5.17234,20.5469,6.50912,20.8248,1.05803e-15,0.249574,0.283783,0.562232,0.426584,0.301484,0.0612626
178,851.561,1,5.18671,19.8958,6.79717,21.8495,1.05803e-15,0.251629,0.278406,0.548079,0.415783,0.303257,0.062955
179,850.607,1,5.14816,20.0904,6.65171,22.9752,1.05803e-15,0.262382,0.279739,0.550333,0.412108,0.310078,0.0603002
180,858.915,1,5.1567,20.1439,6.43228,21.7002,1.11093e-15,0.264227,0.303524,0.607687,0.434819,0.307262,0.0613431
181,858.071,1,5.15132,20.6406,6.2511,21.2628,1.11093e-15,0.257536,0.303322,0.5923,0.446016,0.300199,0.0634306
182,858.191,1,5.13548,20.4281,6.17112,22.2677,1.11093e-15,0.256659,0.295641,0.577303,0.434723,0.308872,0.0620977
183,856.214,1,5.15761,20.0646,6.44029,22.8122,1.11093e-15,0.253337,0.290371,0.562685,0.423715,0.306881,0.0630785
184,851.574,1,5.15348,20.1537,6.07714,21.0909,1.11093e-15,0.261406,0.283018,0.548438,0.412987,0.304429,0.0626564
185,852.856,1,5.14032,20.5481,6.11795,21.282,1.11093e-15,0.263619,0.275852,0.567451,0.40253,0.303773,0.0632451
186,848.37,1,5.15194,21.0111,5.79517,22.6106,1.16648e-15,0.261514,0.268867,0.576626,0.423746,0.301327,0.0619021
187,849.301,1,5.16712,21.1353,5.81272,23.4956,1.16648e-15,0.260798,0.262059,0.59495,0.420762,0.302769,0.0615199
188,843.099,1,5.15338,20.9401,5.96585,23.3301,1.16648e-15,0.261565,0.259029,0.579885,0.410108,0.304688,0.0597793
189,840.095,1,5.17561,20.8356,5.8792,23.9153,1.2248e-15,0.25956,0.253014,0.565202,0.399724,0.303332,0.0605804
190,838.369,1,5.17654,20.8234,5.86742,23.1254,1.28604e-15,0.254146,0.25457,0.630925,0.389603,0.303775,0.0593229
191,833.167,1,5.18071,20.6019,5.86892,22.4926,1.28604e-15,0.252471,0.25331,0.625484,0.379738,0.306406,0.0570633
192,844.248,1,5.13665,20.5696,5.88339,22.9737,1.35034e-15,0.254783,0.2564,0.609647,0.390198,0.30631,0.0596513
193,853.724,1,5.15509,20.493,5.8203,23.0818,1.41786e-15,0.255561,0.264636,0.629444,0.441034,0.305319,0.0611593
194,852.196,1,5.14667,20.342,5.80195,22.7168,1.41786e-15,0.258352,0.264735,0.633517,0.454531,0.305199,0.0602774
195,854.13,1,5.13433,20.3248,6.01724,24.4167,1.48875e-15,0.25181,0.258031,0.647485,0.443022,0.303103,0.0624208
196,855.207,1,5.17452,20.5399,5.91577,25.9151,1.48875e-15,0.25311,0.254938,0.655381,0.431805,0.297024,0.063979
197,855.432,1,5.1707,20.6145,5.83462,25.6213,1.56319e-15,0.247522,0.248483,0.638786,0.420871,0.296576,0.066428
198,852.784,1,5.14184,20.2853,5.99508,24.9579,1.64135e-15,0.253791,0.242191,0.67599,0.410214,0.303503,0.0631066
199,860.578,1,5.16254,20.6725,5.96412,24.46,1.72342e-15,0.258365,0.254766,0.677964,0.402772,0.299903,0.064939
200,864.721,1,5.16067,20.5171,5.64914,22.9487,1.80959e-15,0.263025,0.248315,0.719618,0.417573,0.308834,0.0636659
201,857.534,1,5.1831,20.2114,6.45651,23.7891,1.80959e-15,0.25933,0.268616,0.701397,0.407,0.303269,0.0630831
202,852.966,1,5.17442,20.2861,6.40331,22.1259,1.90007e-15,0.256612,0.263132,0.683637,0.40563,0.307094,0.0610732
203,848.502,1,5.17078,20.2542,6.49355,22.3042,1.90007e-15,0.250114,0.256469,0.690721,0.395359,0.305965,0.0604005
204,850.317,1,5.14305,20.3122,6.29831,21.5837,1.99507e-15,0.248269,0.249975,0.673231,0.413957,0.301579,0.0623412
205,848.159,1,5.14447,20.4394,5.92516,22.6415,2.09483e-15,0.248683,0.248942,0.656185,0.407841,0.306095,0.0611443
206,849.45,1,5.13979,20.343,5.82471,22.8031,2.19957e-15,0.254316,0.255555,0.63957,0.397514,0.310911,0.0607678
207,849.837,1,5.17487,20.5616,6.13669,22.7327,2.19957e-15,0.256136,0.255974,0.636503,0.405544,0.302249,0.0614661
208,841.454,1,5.1674,20.6545,6.07835,22.5409,2.30955e-15,0.24965,0.268252,0.620387,0.395275,0.301398,0.0604811
