iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
73,864.667,1,9.98967,11.9219,43.712,50.0795,2.22045e-16,0.454244,0.108734,0.130326,0.950291,0.244464,0.699875,0.157779,0.936318,0.252644
74,867.425,1,10.0343,11.6466,43.8633,51.3958,2.22045e-16,0.430391,0.110028,0.132484,0.954487,0.240409,0.86091,0.153784,0.919521,0.246535
75,873.452,1,10.0342,11.1113,45.0226,50.9103,2.22045e-16,0.458947,0.111597,0.130419,0.968932,0.247169,0.839111,0.14989,0.905271,0.25092
76,867.946,1,10.0235,11.2516,45.1928,50.5536,2.22045e-16,0.404051,0.110289,0.135661,0.971453,0.240911,0.817864,0.146095,0.909111,0.252874
77,863.584,1,9.93761,11.7741,44.5922,54.6575,0.0151661,0.276362,0.109797,0.138888,0.973468,0.250999,0.797155,0.142396,0.918616,0.258268
78,863.479,1,9.99008,12.7341,44.8069,51.5898,2.22045e-16,0.346716,0.108749,0.137919,0.970524,0.246348,0.776971,0.13879,0.912543,0.251728
79,866.063,1,9.97149,12.3294,44.5771,56.2442,2.22045e-16,0.400595,0.106725,0.141589,0.972182,0.246364,0.757297,0.135276,0.8943,0.271339
80,868.332,1,9.94315,12.497,45.3918,54.5135,2.22045e-16,0.426338,0.10975,0.133588,0.974654,0.241812,0.796694,0.131851,0.970663,0.272927
81,872.233,1,9.88052,11.3968,45.6833,52.5815,2.22045e-16,0.446655,0.111144,0.129541,0.973457,0.243569,0.876946,0.128512,1.0796,0.266017
82,865.931,1,9.90126,11.1591,45.7394,56.5417,2.22045e-16,0.33668,0.113527,0.134845,0.979219,0.240193,0.854741,0.125258,1.11401,0.259281
83,862.29,1,9.89989,11.1953,45.3822,51.1308,2.10942e-16,0.385459,0.107851,0.136927,0.962274,0.240259,0.833099,0.122087,1.0858,0.264667
84,861.562,1,9.93789,12.0452,45.5881,52.8171,2.22045e-16,0.36486,0.107781,0.136679,0.95934,0.237619,0.812004,0.118995,1.09234,0.259434
