iteration,E_fi,sd_fi,E_Cl,sd_Cl,E_V1,sd_V1,E_Q2,sd_Q2,E_V2,sd_V2,E_Q3,sd_Q3,E_V3,sd_V3
19,0.931602,0.062449,10.4527,0.0545242,44.6885,0.0952225,15.7118,3.82975e-08,52.0733,0.545616,3.65167,4.1495e-08,1.74978,4.90516e-08
20,0.931875,0.0624624,10.451,0.054476,44.6605,0.0941686,15.7118,3.88197e-08,52.0577,0.542534,3.65167,4.0812e-08,1.74978,4.89775e-08
21,0.931527,0.0623682,10.4506,0.0543306,44.6623,0.0943527,15.7118,3.12179e-08,52.0939,0.540365,3.65167,3.99715e-08,1.74978,4.8943e-08
22,0.931579,0.06189,10.4443,0.0544053,44.7108,0.0943851,15.7118,3.94636e-08,52.1124,0.538156,3.65167,3.79149e-08,1.74978,4.90878e-08
23,0.931804,0.0617628,10.4392,0.054552,44.7688,0.0942435,15.7118,4.46542e-08,52.8551,0.543214,3.65167,3.93288e-08,1.74978,4.90802e-08
24,0.931477,0.0615967,10.435,0.054556,44.7962,0.0943077,15.7118,4.52443e-08,53.1283,0.546248,3.65167,3.95636e-08,1.74978,4.87428e-08
25,0.931282,0.061122,10.4337,0.0547544,44.816,0.0947747,15.7118,3.92378e-08,53.108,0.545743,3.65167,3.86131e-08,1.74978,4.87193e-08
26,0.930863,0.0613467,10.429,0.0549808,44.8043,0.094481,15.7118,4.24787e-08,53.187,0.543957,3.65167,4.02082e-08,1.74978,4.85642e-08
27,0.930567,0.0615913,10.4274,0.0554805,44.7918,0.0941372,15.7118,4.22926e-08,53.0907,0.543592,3.65167,3.96669e-08,1.74978,4.83945e-08
28,0.930673,0.0612078,10.4289,0.0557336,44.7465,0.0945295,15.7118,4.4471e-08,52.9582,0.542959,3.65167,4.0639e-08,1.74978,4.83593e-08
29,0.930439,0.0611357,10.4276,0.0561455,44.7365,0.0943412,15.7118,4.24906e-08,53.0047,0.544,3.65167,4.10177e-08,1.74978,4.82166e-08
30,0.930241,0.061137,10.4242,0.0563207,44.7335,0.0942797,15.7118,4.25749e-08,53.153,0.543732,3.65167,4.10842e-08,1.74978,4.7961e-08
31,0.929587,0.0613229,10.4246,0.0562066,44.7184,0.0942133,15.7118,4.02273e-08,53.2764,0.544099,3.65167,4.08652e-08,1.74978,4.79773e-08
32,0.929598,0.061938,10.4256,0.0561136,44.7207,0.0949953,15.7118,4.20533e-08,53.3159,0.544294,3.65167,4.02242e-08,1.74978,4.79778e-08
33,0.92941,0.0618632,10.4263,0.0560501,44.7047,0.0946377,15.7118,4.36704e-08,53.2787,0.542687,3.65167,4.01851e-08,1.74978,4.80385e-08
34,0.92923,0.0618437,10.4245,0.0561853,44.7198,0.0945252,15.7118,3.96336e-08,53.2654,0.543671,3.65167,3.99559e-08,1.74978,4.78609e-08
35,0.929437,0.0622241,10.4216,0.056675,44.7254,0.0942802,15.7118,3.64019e-08,53.2526,0.544397,3.65167,4.00473e-08,1.74978,4.81358e-08
36,0.929814,0.0624259,10.4202,0.0567915,44.7259,0.0940003,15.7118,3.79734e-08,53.3047,0.544645,3.65167,3.9945e-08,1.74978,4.81385e-08
37,0.929982,0.0624021,10.4193,0.0567701,44.7144,0.0941249,15.7118,3.98e-08,53.2511,0.544984,3.65167,4.10063e-08,1.74978,4.79921e-08
38,0.929929,0.0624128,10.4196,0.0566192,44.6989,0.0939594,15.7118,4.09417e-08,53.1167,0.545852,3.65167,4.17765e-08,1.74978,4.7982e-08
39,0.929755,0.0623439,10.4215,0.0565363,44.6869,0.0938194,15.7118,4.33211e-08,52.8403,0.544115,3.65167,4.16712e-08,1.74978,4.83937e-08
40,0.929587,0.0622484,10.4227,0.0564616,44.6783,0.0938678,15.7118,4.1731e-08,52.6947,0.541601,3.65167,4.16295e-08,1.74978,4.85338e-08
41,0.929586,0.0620533,10.4215,0.0568873,44.6741,0.0935917,15.7118,4.29576e-08,52.9492,0.542738,3.65167,4.09746e-08,1.74978,4.87712e-08
42,0.929602,0.0619262,10.42,0.0570863,44.658,0.093387,15.7118,4.70087e-08,53.1446,0.544512,3.65167,4.04225e-08,1.74978,4.86196e-08
43,0.929371,0.0619042,10.4211,0.0569993,44.6413,0.0934643,15.7118,4.22179e-08,53.2305,0.545126,3.65167,4.0936e-08,1.74978,4.84887e-08
44,0.929044,0.0617795,10.4207,0.0571328,44.634,0.0932131,15.7118,4.68275e-08,53.2561,0.546288,3.65167,4.073e-08,1.74978,4.8672e-08
45,0.92891,0.0618225,10.4199,0.0573857,44.6428,0.0929969,15.7118,4.77347e-08,53.4556,0.548526,3.65167,4.02874e-08,1.74978,4.85931e-08
46,0.928968,0.0617952,10.4204,0.0575314,44.6369,0.0929228,15.7118,4.6187e-08,53.349,0.549392,3.65167,4.03376e-08,1.74978,4.85756e-08
47,0.929009,0.0616823,10.419,0.0574646,44.6412,0.0927706,15.7118,4.66655e-08,53.3657,0.548481,3.65167,4.15054e-08,1.74978,4.86088e-08
48,0.929062,0.0615834,10.4196,0.0575683,44.6343,0.0926338,15.7118,4.63738e-08,53.3831,0.549806,3.65167,4.10761e-08,1.74978,4.84233e-08
49,0.929286,0.0616306,10.4209,0.0575972,44.6386,0.0928962,15.7118,4.3882e-08,53.4264,0.549557,3.65167,4.0515e-08,1.74978,4.83256e-08
50,0.929507,0.0617635,10.4204,0.0578201,44.6507,0.0932981,15.7118,4.1233e-08,53.5726,0.549136,3.65167,4.01239e-08,1.74978,4.81692e-08
51,0.929672,0.061803,10.4219,0.0582952,44.6495,0.0935696,15.7118,3.76778e-08,53.7109,0.550984,3.65167,4.09272e-08,1.74978,4.81938e-08
52,0.929622,0.0616894,10.42,0.0583281,44.6488,0.0935594,15.7118,4.17834e-08,53.7681,0.550599,3.65167,4.09076e-08,1.74978,4.82393e-08
53,0.929983,0.0616981,10.4204,0.0583475,44.6687,0.0938001,15.7118,4.72877e-08,53.8,0.550681,3.65167,4.04774e-08,1.74978,4.81658e-08
54,0.930145,0.0617231,10.4225,0.0586095,44.6798,0.0937175,15.7118,4.35271e-08,53.807,0.549713,3.65167,4.09331e-08,1.74978,4.81448e-08
55,0.930213,0.061747,10.4224,0.0586551,44.6897,0.093522,15.7118,3.91852e-08,53.8264,0.549598,3.65167,4.11113e-08,1.74978,4.8017e-08
56,0.930105,0.0618761,10.4231,0.0586118,44.6924,0.0935982,15.7118,4.22235e-08,53.7428,0.550495,3.65167,3.99865e-08,1.74978,4.8143e-08
57,0.930074,0.0620664,10.4231,0.0585192,44.6779,0.093602,15.7118,4.23612e-08,53.7545,0.550525,3.65167,4.09025e-08,1.74978,4.8309e-08
58,0.929941,0.0619769,10.4243,0.0584589,44.6851,0.0934866,15.7118,4.28932e-08,53.7104,0.550349,3.65167,4.16389e-08,1.74978,4.84384e-08
59,0.92971,0.0620454,10.4244,0.0583037,44.6834,0.093673,15.7118,3.9734e-08,53.5567,0.550761,3.65167,4.1654e-08,1.74978,4.83204e-08
60,0.929668,0.0619357,10.4255,0.0582553,44.6692,0.0938385,15.7118,4.19279e-08,53.5055,0.552937,3.65167,4.10478e-08,1.74978,4.81827e-08
61,0.9298,0.0619815,10.426,0.0580571,44.6565,0.0937861,15.7118,4.47746e-08,53.4462,0.552535,3.65167,4.1225e-08,1.74978,4.82818e-08
62,0.929861,0.0618474,10.4257,0.0579013,44.6609,0.0936425,15.7118,4.54746e-08,53.4592,0.552473,3.65167,4.15892e-08,1.74978,4.82678e-08
63,0.930187,0.0619481,10.4257,0.0578997,44.6783,0.0935221,15.7118,4.35895e-08,53.4831,0.55165,3.65167,4.07451e-08,1.74978,4.82637e-08
64,0.930273,0.062061,10.4258,0.057804,44.682,0.0936086,15.7118,3.87655e-08,53.4069,0.55136,3.65167,4.03721e-08,1.74978,4.81939e-08
65,0.930462,0.0619572,10.426,0.0576677,44.687,0.0937303,15.7118,4.0723e-08,53.2936,0.549379,3.65167,4.09203e-08,1.74978,4.81937e-08
66,0.930477,0.0618307,10.4263,0.0574851,44.6875,0.0935814,15.7118,4.7474e-08,53.1504,0.547885,3.65167,4.08901e-08,1.74978,4.81004e-08
67,0.930514,0.061735,10.4274,0.0572816,44.7097,0.0939179,15.7118,4.70207e-08,53.0363,0.547732,3.65167,4.18095e-08,1.74978,4.80816e-08
68,0.930453,0.0617912,10.4266,0.0572629,44.7117,0.0940372,15.7118,5.12771e-08,52.9484,0.548672,3.65167,4.10593e-08,1.74978,4.81721e-08
69,0.930309,0.0617917,10.4269,0.0572341,44.719,0.0940072,15.7118,4.83229e-08,53.0353,0.548712,3.65167,4.09778e-08,1.74978,4.80604e-08
70,0.930291,0.0618469,10.4262,0.0571864,44.7067,0.0938458,15.7118,4.83418e-08,53.0028,0.548146,3.65167,4.10119e-08,1.74978,4.83018e-08
71,0.930367,0.0619574,10.4264,0.0573207,44.7107,0.0937868,15.7118,4.24349e-08,52.9748,0.54782,3.65167,4.09614e-08,1.74978,4.8112e-08
72,0.930295,0.0620352,10.4261,0.0573626,44.7108,0.0937788,15.7118,4.94808e-08,52.9469,0.547517,3.65167,3.9736e-08,1.74978,4.81395e-08
73,0.930299,0.0620324,10.4251,0.0574389,44.7122,0.0938277,15.7118,4.83278e-08,52.98,0.5473,3.65167,3.99644e-08,1.74978,4.80428e-08
74,0.930379,0.0619592,10.4236,0.0574953,44.7211,0.0936833,15.7118,5.12329e-08,53.0636,0.548111,3.65167,4.0248e-08,1.74978,4.7959e-08
75,0.930387,0.0619795,10.4235,0.0574809,44.7166,0.0935355,15.7118,4.67288e-08,53.0587,0.547572,3.65167,4.08362e-08,1.74978,4.7913e-08
76,0.930268,0.0619653,10.4227,0.0574259,44.7133,0.0934338,15.7118,4.38014e-08,53.0033,0.547013,3.65167,4.10587e-08,1.74978,4.80777e-08
77,0.93007,0.0619283,10.4215,0.0574001,44.713,0.0935753,15.7118,5.34066e-08,52.9833,0.547767,3.65167,4.20374e-08,1.74978,4.79027e-08
78,0.929941,0.062055,10.4199,0.0573182,44.7225,0.0938529,15.7118,5.06956e-08,52.9743,0.547891,3.65167,4.16601e-08,1.74978,4.80615e-08
