iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
73,820.61,1,5.69804,20.8673,8.39113,26.3082,0.166423,0.267545,0.660215,0.269596,0.998761,0.206923,0.157779
74,814.105,1,5.68911,20.626,8.33228,26.0064,0.162209,0.264647,0.643498,0.265941,0.998761,0.210188,0.153784
75,801.866,1,5.68007,21.0325,7.27585,26.5259,0.158102,0.257946,0.627204,0.260532,0.998761,0.223644,0.14989
76,795.641,1,5.64192,21.1216,7.06284,26.6034,0.154099,0.251864,0.611323,0.255138,0.998761,0.228687,0.146095
77,800.29,1,5.65557,21.5879,6.67166,27.1671,0.150197,0.254857,0.595844,0.25902,0.998761,0.222896,0.142396
78,801.843,1,5.67277,21.4645,6.68476,26.9897,0.146394,0.253806,0.580757,0.261105,0.998499,0.229746,0.13879
79,802.852,1,5.62566,21.4183,6.94958,26.9464,0.147123,0.252359,0.567502,0.2567,0.998515,0.229558,0.135276
80,799.176,1,5.60965,21.0343,6.63531,26.513,0.151364,0.261279,0.611488,0.267641,0.998861,0.224318,0.131851
81,785.799,1,5.60479,20.439,6.70899,25.8013,0.147531,0.265469,0.596005,0.272759,0.999,0.232092,0.128512
82,784.339,1,5.66194,21.2353,6.3925,26.7656,0.146087,0.265553,0.580913,0.273975,0.999,0.234198,0.125258
83,787.742,1,5.61769,21.3242,6.66497,26.8646,0.143395,0.26557,0.602738,0.273572,0.998715,0.228268,0.122087
84,778.438,1,5.66685,21.6166,6.97211,27.285,0.142245,0.270782,0.608124,0.277981,0.999,0.222488,0.118995
85,780.19,1,5.68013,21.1476,7.1311,26.61,0.138643,0.263925,0.602616,0.270942,0.998636,0.233298,0.115982
86,771.983,1,5.65437,21.0635,6.5547,26.4826,0.141137,0.257243,0.587357,0.264082,0.999,0.232356,0.113045
87,768.62,1,5.63827,21.1645,6.52579,26.6118,0.139798,0.260595,0.572485,0.269799,0.999,0.238492,0.110183
88,770.979,1,5.66601,20.8616,6.78506,26.2325,0.136258,0.253996,0.588775,0.262968,0.998921,0.246667,0.107393
89,768.511,1,5.61895,20.5476,7.12884,25.8716,0.140276,0.251988,0.622378,0.257183,0.998714,0.247461,0.104674
90,764.597,1,5.66221,20.5136,7.05253,25.8532,0.137055,0.254854,0.656638,0.257844,0.998623,0.253087,0.102024
91,757.083,1,5.64249,20.2821,7.16804,25.4969,0.133585,0.263163,0.640012,0.263508,0.99855,0.251818,0.0994403
92,753.757,1,5.64153,20.6989,6.79811,26.0489,0.131645,0.26733,0.623806,0.270825,0.998876,0.259732,0.0969224
93,754.808,1,5.63325,20.6739,6.93568,26.0035,0.133033,0.260611,0.608011,0.263968,0.998963,0.261289,0.0944682
94,747.012,1,5.61087,20.7386,6.99829,26.0747,0.132875,0.254012,0.592616,0.257284,0.999,0.262972,0.0920763
95,746.094,1,5.62231,20.6816,6.98678,26.0684,0.12951,0.257405,0.577611,0.262711,0.998872,0.261715,0.0897448
96,742.827,1,5.60479,20.6331,7.06693,25.9485,0.126231,0.270042,0.562985,0.275101,0.998949,0.255088,0.0874724
97,743.065,1,5.57799,20.5556,6.9343,25.9052,0.126718,0.270109,0.598979,0.275334,0.99886,0.257405,0.0852576
98,745.856,1,5.57698,20.5053,6.83116,25.883,0.123509,0.274638,0.596372,0.276652,0.998746,0.263644,0.0830988
99,745.292,1,5.55971,20.5342,6.59125,25.9614,0.128886,0.280015,0.581271,0.286244,0.998508,0.258711,0.0809947
100,738.844,1,5.58507,20.2117,6.76161,25.558,0.125623,0.302651,0.566553,0.308709,0.998575,0.261879,0.0789439
101,739.188,1,5.54189,20.2189,6.54669,25.5826,0.128117,0.294988,0.552208,0.302252,0.998243,0.263628,0.076945
102,740.05,1,5.56314,19.8452,6.87662,25.1232,0.127005,0.288418,0.538225,0.294599,0.997933,0.269622,0.0749967
103,733.909,1,5.56158,19.8287,7.04632,25.2531,0.12379,0.286833,0.547589,0.290748,0.998848,0.272511,0.0730977
104,737.397,1,5.55169,19.7557,6.89696,25.1894,0.122344,0.27957,0.54285,0.286357,0.998813,0.272226,0.0715508
105,730.61,1,5.53577,19.7486,6.88327,25.2258,0.122034,0.285769,0.529105,0.290082,0.99888,0.270031,0.0703588
106,722.358,1,5.58204,19.7576,6.97855,25.209,0.130803,0.278533,0.515708,0.282737,0.998924,0.26888,0.0685773
107,726.305,1,5.58808,19.4333,7.07106,24.7921,0.132063,0.287487,0.50265,0.289265,0.998763,0.269851,0.0676888
108,726.654,1,5.55805,19.47,7.08161,24.8666,0.134157,0.280208,0.540869,0.282048,0.998569,0.268603,0.0670016
109,718.984,1,5.55986,19.4202,7.08862,24.7774,0.130761,0.283677,0.533773,0.286755,0.998468,0.269854,0.0653051
110,716.72,1,5.57122,19.543,7.16772,24.9684,0.128419,0.285094,0.550941,0.289828,0.998562,0.268266,0.0636515
111,708.803,1,5.58946,19.5427,7.34378,24.8936,0.131234,0.286856,0.536991,0.291594,0.999,0.270457,0.0626434
