standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
-0.0123987,0.414286,-0.184561,0.414286,All
0.0141838,0.421429,-0.177756,0.421429,All
0.0156667,0.428571,-0.160186,0.428571,All
0.0166839,0.435714,-0.138133,0.435714,All
0.019887,0.442857,-0.10275,0.442857,All
0.0536822,0.45,-0.082345,0.45,All
0.0615653,0.457143,-0.0674483,0.457143,All
0.0648521,0.464286,-0.0485815,0.464286,All
0.0731763,0.471429,-0.0358624,0.471429,All
0.0775745,0.478571,-0.00247554,0.478571,All
0.104125,0.485714,0.0111225,0.485714,All
0.10638,0.492857,0.0303898,0.492857,All
0.122019,0.5,0.141887,0.5,All
0.127323,0.507143,0.144285,0.507143,All
0.129108,0.514286,0.146935,0.514286,All
0.131859,0.521429,0.152076,0.521429,All
0.151845,0.528571,0.193284,0.528571,All
0.153007,0.535714,0.19728,0.535714,All
0.153651,0.542857,0.197958,0.542857,All
0.15808,0.55,0.200687,0.55,All
0.180654,0.557143,0.261903,0.557143,All
0.195248,0.564286,0.262609,0.564286,All
0.19769,0.571429,0.2781,0.571429,All
0.213239,0.578571,0.287925,0.578571,All
0.235367,0.585714,0.300304,0.585714,All
0.237003,0.592857,0.304818,0.592857,All
0.241866,0.6,0.323735,0.6,All
0.256201,0.607143,0.329816,0.607143,All
0.279309,0.614286,0.335968,0.614286,All
0.287626,0.621429,0.348286,0.621429,All
0.311077,0.628571,0.349255,0.628571,All
0.320358,0.635714,0.410031,0.635714,All
0.326969,0.642857,0.438879,0.642857,All
0.327424,0.65,0.441328,0.65,All
0.327609,0.657143,0.496678,0.657143,All
0.333226,0.664286,0.504456,0.664286,All
0.350827,0.671429,0.529602,0.671429,All
0.353876,0.678571,0.544317,0.678571,All
0.375987,0.685714,0.553345,0.685714,All
0.386055,0.692857,0.580228,0.692857,All
0.397214,0.7,0.588965,0.7,All
0.416994,0.707143,0.594982,0.707143,All
0.427825,0.714286,0.597892,0.714286,All
0.430367,0.721429,0.642738,0.721429,All
0.465045,0.728571,0.644682,0.728571,All
0.505658,0.735714,0.68443,0.735714,All
0.514252,0.742857,0.689621,0.742857,All
0.515813,0.75,0.69755,0.75,All
0.518341,0.757143,0.71108,0.757143,All
0.523588,0.764286,0.756885,0.764286,All
0.523911,0.771429,0.773661,0.771429,All
0.527163,0.778571,0.774407,0.778571,All
0.53937,0.785714,0.852186,0.785714,All
0.577335,0.792857,0.852268,0.792857,All
0.585319,0.8,0.853586,0.8,All
0.60562,0.807143,0.913346,0.807143,All
0.672683,0.814286,0.972583,0.814286,All
0.696725,0.821429,0.999515,0.821429,All
0.702442,0.828571,1.00341,0.828571,All
0.731058,0.835714,1.01535,0.835714,All
0.738764,0.842857,1.07296,0.842857,All
0.744778,0.85,1.08287,0.85,All
0.745846,0.857143,1.09373,0.857143,All
0.758556,0.864286,1.1259,0.864286,All
0.784552,0.871429,1.13915,0.871429,All
0.800989,0.878571,1.17134,0.878571,All
0.822536,0.885714,1.18252,0.885714,All
0.888082,0.892857,1.18739,0.892857,All
0.895476,0.9,1.20572,0.9,All
0.931446,0.907143,1.22867,0.907143,All
0.955391,0.914286,1.30003,0.914286,All
0.964797,0.921429,1.30857,0.921429,All
0.991576,0.928571,1.35121,0.928571,All
0.993884,0.935714,1.39435,0.935714,All
1.00187,0.942857,1.3953,0.942857,All
1.01242,0.95,1.39601,0.95,All
1.03378,0.957143,1.42206,0.957143,All
1.04824,0.964286,1.5337,0.964286,All
1.15204,0.971429,1.55083,0.971429,All
1.21192,0.978571,1.61017,0.978571,All
1.38263,0.985714,1.94794,0.985714,All
1.48319,0.992857,1.97635,0.992857,All
1.71356,1,2.2714,1,All
4,1,4,1,All
