iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCRMLMIN,V1_pop,Q_pop,V2_pop,bias_pop,beta_bias_lcat_2,omega_Cl,omega_V1,omega_Q,omega_V2,bias_sd,corr_V2_V1,a1,a2,plcat_1,plcat_2
11,1393.58,1,5.44039,0.752482,24.8007,8.56661,34.332,-0.753306,0.272138,0.159206,0.435459,0.595726,0.544905,0.330654,0.9,0.898105,0.898105,0.512518,0.487482
12,1364.7,1,5.27559,0.586215,23.6243,8.07837,33.3904,-0.794769,0.3569,0.14828,0.374156,0.556359,0.482661,0.345603,0.9,0.8532,0.8532,0.529617,0.470383
13,1348.68,1,5.22471,0.504983,23.7727,7.1771,33.9321,-0.789772,0.293181,0.1491,0.408061,0.571714,0.522,0.345592,0.9,0.81054,0.81054,0.525082,0.474918
14,1327.5,1,5.30962,0.564254,24.6188,6.46122,34.7703,-0.817512,0.436334,0.13622,0.403211,0.568719,0.468147,0.335236,0.9,0.770013,0.770013,0.556881,0.443119
15,1307.21,1,5.35562,0.591162,26.2104,6.56325,36.9473,-0.925302,0.361965,0.131618,0.335031,0.59141,0.384061,0.356194,0.9,0.731512,0.731512,0.477125,0.522875
16,1276.3,1,5.52112,0.465477,26.7565,6.73795,37.4713,-0.91753,0.383,0.123681,0.246279,0.610666,0.301456,0.397441,0.9,0.694937,0.694937,0.480649,0.519351
17,1256.11,1,5.442,0.476905,26.8769,6.90829,37.7354,-0.861387,0.312948,0.131157,0.261378,0.562703,0.342538,0.393431,0.9,0.66019,0.66019,0.524002,0.475998
18,1233.43,1,5.39982,0.525353,25.5155,7.50407,34.7734,-0.905537,0.360267,0.152691,0.256074,0.458055,0.36016,0.330019,0.9,0.627181,0.627181,0.532905,0.467095
19,1204.21,1,5.38931,0.451049,24.2332,6.90476,32.241,-0.976927,0.401946,0.149453,0.227606,0.421517,0.332602,0.278555,0.9,0.595821,0.595821,0.579866,0.420134
20,1195.9,1,5.37146,0.514597,24.0684,6.80938,29.8736,-0.900653,0.383276,0.148507,0.208276,0.489601,0.332299,0.253395,0.9,0.56603,0.56603,0.641817,0.358183
21,1173.66,1,5.29343,0.548802,23.2637,6.60238,28.1147,-0.954079,0.345916,0.158861,0.207814,0.514129,0.320426,0.265308,0.9,0.537729,0.537729,0.622326,0.377674
22,1143.24,1,5.2987,0.469802,23.3675,6.65936,28.2628,-0.881654,0.267438,0.147137,0.220012,0.411157,0.322425,0.230528,0.9,0.510842,0.510842,0.630291,0.369709
23,1128.61,1,5.21326,0.444391,22.2806,6.44589,25.9815,-0.855131,0.171021,0.159133,0.227253,0.379424,0.352057,0.208584,0.9,0.4853,0.4853,0.540772,0.459228
24,1101.21,1,5.3609,0.491781,22.7405,6.73425,26.7556,-0.89137,0.179712,0.144848,0.192349,0.334705,0.316763,0.179657,0.9,0.461035,0.461035,0.484832,0.515168
25,1061.54,1,5.37143,0.437868,22.4372,6.94899,26.0839,-0.810557,0.0807265,0.159093,0.172378,0.265755,0.296612,0.152059,0.9,0.437984,0.437984,0.498975,0.501025
26,1049.54,1,5.44738,0.564712,22.8769,7.55248,26.6131,-0.83119,0.101918,0.176237,0.178807,0.265861,0.32648,0.139169,0.9,0.416084,0.416084,0.489478,0.510522
27,1034.83,1,5.45452,0.505761,22.3127,7.68881,26.3034,-0.85837,0.132936,0.172977,0.179398,0.232558,0.299173,0.131485,0.9,0.39528,0.39528,0.567794,0.432206
28,1008.56,1,5.40571,0.471288,22.7797,7.46708,27.5807,-0.852158,0.165486,0.175853,0.165769,0.23443,0.299603,0.119083,0.9,0.375516,0.375516,0.52003,0.47997
29,994.526,1,5.36229,0.46213,22.9414,7.29543,27.373,-0.819984,0.152549,0.183067,0.166121,0.223709,0.319576,0.12183,0.9,0.35674,0.35674,0.506578,0.493422
30,987.959,1,5.41129,0.513589,22.5968,7.21588,26.5897,-0.824158,0.156514,0.186176,0.176064,0.21792,0.348986,0.153107,0.9,0.338903,0.338903,0.457276,0.542724
31,965.267,1,5.44061,0.532155,23.2648,7.14156,28.4756,-0.828352,0.148302,0.162703,0.174734,0.174164,0.355043,0.145599,0.9,0.321958,0.321958,0.42043,0.57957
32,946.258,1,5.38691,0.429273,22.813,7.29766,26.9427,-0.816554,0.126386,0.16992,0.186131,0.191027,0.347503,0.141364,0.9,0.30586,0.30586,0.425783,0.574217
33,946.687,1,5.39727,0.47705,22.6636,6.96188,26.3841,-0.850506,0.155795,0.171912,0.200588,0.177787,0.374251,0.169481,0.9,0.290567,0.290567,0.46986,0.53014
34,928.234,1,5.3931,0.50912,23.5132,6.7164,28.422,-0.85651,0.191882,0.172114,0.19011,0.181703,0.36173,0.152148,0.9,0.276039,0.276039,0.537939,0.462061
35,928.915,1,5.39789,0.486962,23.0117,6.60924,27.8684,-0.850498,0.23773,0.17835,0.189113,0.201441,0.39042,0.163732,0.9,0.262237,0.262237,0.575822,0.424178
36,915.402,1,5.38229,0.502064,23.1109,6.63889,27.3947,-0.80089,0.187963,0.18674,0.185943,0.196936,0.337987,0.167656,0.9,0.249125,0.249125,0.56716,0.43284
37,903.081,1,5.38244,0.452155,23.4653,6.6255,27.7158,-0.772985,0.170116,0.183322,0.164988,0.20865,0.324669,0.160976,0.9,0.236669,0.236669,0.579677,0.420323
38,899.184,1,5.41922,0.531339,23.1221,6.91424,26.9401,-0.816483,0.219571,0.186902,0.176807,0.223514,0.344092,0.181809,0.9,0.224835,0.224835,0.558168,0.441832
39,898.392,1,5.3463,0.527633,23.3085,6.84894,27.5906,-0.833765,0.222111,0.188507,0.180544,0.238128,0.330455,0.176195,0.9,0.213594,0.213594,0.578789,0.421211
40,886.766,1,5.32258,0.518064,23.3925,6.79876,27.845,-0.886404,0.198177,0.188668,0.200567,0.250513,0.362832,0.192477,0.9,0.202914,0.202914,0.564354,0.435646
41,874.984,1,5.32352,0.499207,23.2295,6.84558,27.4175,-0.925334,0.224058,0.197601,0.193736,0.220478,0.367135,0.177764,0.9,0.192768,0.192768,0.575422,0.424578
42,872.182,1,5.36703,0.478759,23.5384,6.85686,28.2068,-0.929869,0.242782,0.211164,0.200205,0.21251,0.35434,0.170344,0.9,0.18651,0.18313,0.589064,0.410936
43,861.222,1,5.36343,0.476082,23.5255,7.10897,27.8338,-0.936222,0.210737,0.193754,0.218098,0.248841,0.380086,0.173094,0.9,0.177185,0.173973,0.578058,0.421942
44,858.672,1,5.36634,0.480001,22.8967,7.13901,26.4711,-0.916919,0.195522,0.194677,0.242885,0.228367,0.366613,0.18465,0.9,0.176361,0.165275,0.497689,0.502311
45,874.014,1,5.30635,0.467971,23.1516,6.84554,26.7073,-0.88525,0.217761,0.200579,0.258657,0.260427,0.366754,0.207526,0.9,0.174865,0.168311,0.526924,0.473076
46,866.714,1,5.32368,0.4761,23.2003,6.51385,26.6707,-0.853679,0.247326,0.189329,0.249617,0.270415,0.355112,0.227757,0.9,0.173336,0.165067,0.567497,0.432503
47,871.15,1,5.29773,0.432597,23.2394,6.77039,26.381,-0.888372,0.225567,0.177839,0.252667,0.297059,0.355982,0.24904,0.9,0.178331,0.164022,0.546878,0.453122
48,873.318,1,5.27267,0.422637,22.3861,6.78456,24.7777,-0.88946,0.255257,0.179931,0.250638,0.322575,0.34113,0.279616,0.9,0.17959,0.15948,0.558768,0.441232
49,872.19,1,5.25472,0.424571,22.0874,7.02238,24.2127,-0.973942,0.329937,0.179806,0.238621,0.286213,0.346549,0.314261,0.9,0.17061,0.167645,0.521975,0.478025
50,871.972,1,5.26326,0.447368,22.6748,6.44195,24.7105,-1.04916,0.46995,0.186142,0.249158,0.303017,0.378051,0.358008,0.9,0.171279,0.159263,0.418503,0.581497
51,872.29,1,5.35642,0.394499,22.9572,6.51296,25.0673,-1.04967,0.53928,0.1845,0.264525,0.24939,0.416991,0.429513,0.9,0.163732,0.162824,0.390336,0.609664
52,870.682,1,5.34047,0.40699,23.3485,6.51133,25.8433,-1.00125,0.525299,0.178745,0.292077,0.293535,0.438556,0.527651,0.9,0.162123,0.154683,0.409176,0.590824
53,876.357,1,5.30725,0.402866,23.3824,6.74424,26.0332,-1.21166,0.870739,0.184356,0.289247,0.277496,0.440358,0.651536,0.9,0.156127,0.156823,0.354087,0.645913
54,873.291,1,5.34697,0.397902,22.7134,6.76881,24.5259,-1.03966,0.854373,0.183478,0.284021,0.263689,0.421368,0.840863,0.9,0.155271,0.148982,0.39593,0.60407
55,868.74,1,5.3205,0.475494,22.4489,6.85964,24.0894,-1.15197,1.13529,0.189311,0.277726,0.234253,0.468344,0.924862,0.9,0.159894,0.141533,0.429873,0.570127
56,854.79,1,5.31248,0.460534,22.7289,6.79049,24.1483,-1.24306,1.50279,0.179452,0.253252,0.214815,0.401944,1.08241,0.9,0.151899,0.143086,0.422991,0.577009
57,833.517,1,5.33986,0.473593,23.0803,6.89134,25.6944,-1.45032,1.58287,0.179131,0.259574,0.200355,0.414473,1.56036,0.9,0.144304,0.137477,0.403827,0.596173
58,819.487,1,5.35003,0.485705,22.4163,6.84113,24.8759,-1.70563,1.88608,0.185827,0.245614,0.205955,0.377685,1.77629,0.9,0.137089,0.130603,0.337674,0.662326
59,806.745,1,5.36578,0.497415,22.6705,6.87099,24.7458,-1.82487,2.28859,0.180387,0.250842,0.212907,0.401017,1.97859,0.9,0.133565,0.124073,0.322297,0.677703
60,798.468,1,5.37423,0.499282,22.5763,6.81814,24.2012,-2.11036,2.80674,0.17825,0.257897,0.218511,0.427898,2.32786,0.9,0.128026,0.117869,0.305214,0.694786
61,799.221,1,5.36773,0.521271,22.1118,7.02822,23.7177,-3.23945,3.82308,0.179317,0.256392,0.273184,0.438206,2.58463,0.9,0.121625,0.113307,0.228188,0.771812
62,797.446,1,5.36665,0.539655,22.1127,7.08108,24.6681,-6.19268,6.56918,0.185679,0.254879,0.278831,0.407372,2.73557,0.9,0.118295,0.11035,0.127634,0.872366
63,771.662,1,5.35463,0.540611,21.8027,7.29184,23.7093,-12.4331,12.8522,0.197157,0.265931,0.322283,0.441014,2.94841,0.9,0.117712,0.104833,0.0714361,0.928564
64,767.738,1,5.35418,0.558189,22.0556,6.87725,24.4663,-13.6899,14.2039,0.199436,0.261936,0.293493,0.455068,3.17306,0.9,0.114329,0.0995913,0.0713679,0.928632
65,753.438,1,5.39354,0.556556,21.7238,6.79579,23.7822,-14.1437,14.8268,0.202266,0.26305,0.28924,0.418279,3.29893,0.9,0.1128,0.0946117,0.0713301,0.92867
66,748.066,1,5.35807,0.559246,22.0233,6.80107,23.4394,-14.9124,15.5014,0.2078,0.262912,0.360091,0.41466,3.37687,0.9,0.110211,0.0898812,0.0713435,0.928656
67,738.818,1,5.36867,0.599131,22.065,6.90319,24.0348,-15.1132,15.7573,0.210251,0.263566,0.382031,0.426743,3.47308,0.9,0.108435,0.0853871,0.0713405,0.928659
68,744.379,1,5.36311,0.58078,21.9697,7.08877,24.4326,-15.0078,15.6335,0.209389,0.271876,0.345689,0.424767,3.41801,0.9,0.108427,0.0864474,0.0712839,0.928716
69,738.676,1,5.36336,0.58231,21.604,7.25735,24.1351,-14.8125,15.3783,0.207698,0.275354,0.353859,0.394232,3.37865,0.9,0.110738,0.084984,0.0713489,0.928651
70,734.732,1,5.37156,0.600287,21.4574,7.32189,23.6852,-16.0139,16.6164,0.212133,0.269769,0.364563,0.382564,3.61618,0.9,0.10766,0.0831017,0.0713135,0.928687
71,735.838,1,5.3324,0.635433,21.4582,7.27886,23.4129,-15.6694,16.2376,0.209831,0.28266,0.361535,0.392286,3.62191,0.9,0.11069,0.0814682,0.0712084,0.928792
72,736.211,1,5.35371,0.634026,21.6145,7.09765,23.9116,-16.3659,16.8401,0.212695,0.281887,0.363342,0.391103,3.63235,0.9,0.111718,0.0804355,0.0713584,0.928642
73,735.876,1,5.34083,0.652494,21.6077,7.34611,24.1824,-16.5539,17.0981,0.210884,0.284166,0.352885,0.389062,3.71106,0.9,0.109955,0.0812786,0.0713888,0.928611
74,736.786,1,5.33433,0.646729,21.3439,7.11797,23.7965,-16.2827,16.9653,0.213742,0.285727,0.399301,0.374776,3.6899,0.9,0.112836,0.0780168,0.0713327,0.928667
75,732.755,1,5.33216,0.657322,21.0013,7.4134,24.009,-16.3634,17.0819,0.218564,0.263648,0.447945,0.38041,3.72297,0.9,0.113652,0.0769493,0.0713441,0.928656
76,725.089,1,5.33072,0.654106,21.5044,7.23478,24.3252,-17.3727,17.9748,0.21822,0.264219,0.421332,0.403946,3.87589,0.9,0.10901,0.0774856,0.0714122,0.928588
77,722.402,1,5.33575,0.659539,21.6476,7.24633,24.9768,-17.5232,18.2269,0.222823,0.248787,0.438569,0.410207,3.94616,0.9,0.107293,0.0762175,0.0713812,0.928619
78,719.426,1,5.30994,0.660792,21.967,7.1226,25.0439,-18.3835,18.9873,0.224044,0.265049,0.408663,0.426518,4.0631,0.9,0.105883,0.0748942,0.0714065,0.928593
79,724.943,1,5.30207,0.675064,22.1006,6.59305,24.4867,-18.8256,19.5424,0.228477,0.263002,0.38332,0.402593,4.19525,0.9,0.110236,0.0741564,0.0714142,0.928586
80,728.356,1,5.3047,0.680074,22.1263,6.74454,24.5105,-18.7263,19.3701,0.225132,0.279351,0.365897,0.399441,4.123,0.9,0.110991,0.0767874,0.0714129,0.928587
81,728.602,1,5.29029,0.672384,22.1146,6.51287,23.8644,-18.6885,19.2658,0.226482,0.277934,0.402516,0.379635,4.1017,0.9,0.112747,0.0753711,0.0714128,0.928587
82,727.763,1,5.29196,0.643051,22.0303,6.65669,23.012,-18.302,18.8566,0.222086,0.283471,0.375299,0.389789,4.00903,0.9,0.111621,0.0758159,0.0713987,0.928601
83,729.094,1,5.259,0.63553,22.0271,6.45521,22.6754,-18.6226,19.1684,0.222838,0.269446,0.391022,0.376569,4.04022,0.9,0.110372,0.0764291,0.071374,0.928626
84,725.559,1,5.28598,0.658027,21.767,6.71512,22.6045,-18.572,19.1312,0.219074,0.274507,0.403496,0.374039,4.04279,0.9,0.115245,0.072736,0.0713427,0.928657
85,722.724,1,5.29632,0.64701,21.9242,6.56428,22.9914,-18.3595,18.871,0.216689,0.264914,0.398,0.38561,4.02376,0.9,0.112918,0.0734168,0.0713512,0.928649
86,729.722,1,5.31249,0.614383,21.6892,6.79848,22.7478,-17.8328,18.4322,0.217753,0.274777,0.377544,0.416854,3.94061,0.9,0.115303,0.0737745,0.0714085,0.928592
87,729.192,1,5.2966,0.63142,21.7278,6.8378,22.5099,-18.2215,18.7308,0.223326,0.277695,0.421801,0.386946,3.9825,0.9,0.114236,0.073257,0.0713916,0.928608
88,725.506,1,5.29275,0.635724,21.5671,6.72351,22.9621,-18.3771,18.9847,0.225484,0.273647,0.441048,0.386881,4.0678,0.9,0.111337,0.0745349,0.0714035,0.928596
89,722.117,1,5.28338,0.645778,21.7091,6.86099,23.106,-18.3444,19.036,0.215687,0.282938,0.48207,0.3985,4.13072,0.9,0.112529,0.0710757,0.0713771,0.928623
90,728.758,1,5.27285,0.665347,21.6128,6.51385,23.4347,-18.0987,18.8052,0.223817,0.276226,0.470705,0.400318,4.07568,0.9,0.115458,0.070045,0.071392,0.928608
91,736.559,1,5.28388,0.670182,21.6989,6.52637,23.4063,-18.8897,19.6105,0.222734,0.257337,0.488934,0.37699,4.2209,0.9,0.118003,0.0719718,0.0714028,0.928597
92,736.768,1,5.29309,0.645019,21.741,6.536,23.4722,-18.6252,19.3323,0.220599,0.263449,0.436735,0.373971,4.14377,0.9,0.116298,0.0747131,0.0714097,0.92859
93,732.941,1,5.31757,0.646384,21.7781,6.88854,23.6333,-18.0795,18.7374,0.221909,0.264879,0.362147,0.414702,4.03093,0.9,0.114668,0.0761815,0.0713931,0.928607
94,730.136,1,5.28915,0.647852,21.8402,6.86609,24.4431,-17.4664,18.016,0.215778,0.268375,0.366153,0.429435,3.91083,0.9,0.113731,0.0752382,0.0713003,0.9287
95,731.483,1,5.28682,0.621349,21.8195,6.78276,24.9103,-17.5766,18.0822,0.21247,0.273514,0.367008,0.421602,3.89916,0.9,0.112461,0.0775217,0.0714046,0.928595
96,733.034,1,5.29449,0.625042,21.6202,6.7242,25.2239,-17.8301,18.4432,0.21586,0.255635,0.408599,0.443707,3.9817,0.9,0.112809,0.075606,0.0714137,0.928586
97,730.401,1,5.30324,0.617479,21.5247,6.94694,24.7686,-17.9324,18.4542,0.218028,0.258104,0.438578,0.457803,3.98444,0.9,0.113285,0.072934,0.0714123,0.928588
98,727.59,1,5.31252,0.62668,21.6997,6.91532,24.067,-17.7908,18.3986,0.21991,0.260943,0.445797,0.471871,3.95301,0.9,0.112056,0.0721,0.0714106,0.928589
99,739.578,1,5.30542,0.644091,21.6187,6.97326,23.7433,-18.1222,18.7649,0.214251,0.25067,0.470005,0.449406,4.04264,0.9,0.116383,0.0746044,0.0713919,0.928608
100,741.277,1,5.30383,0.622482,21.3915,6.90315,23.2026,-17.9232,18.6399,0.214593,0.267761,0.469935,0.461357,4.05087,0.9,0.119499,0.0736274,0.071396,0.928604
101,732.228,1,5.30431,0.637833,21.474,7.06142,22.6733,-17.9877,18.5668,0.213815,0.275435,0.492148,0.455286,3.99287,0.9,0.115989,0.0706824,0.0713939,0.928606
102,723.267,1,5.29818,0.620531,21.4812,6.91232,23.3622,-17.7031,18.3704,0.210984,0.274102,0.496577,0.434379,3.97593,0.9,0.113045,0.0704904,0.0713604,0.92864
103,729.582,1,5.32298,0.616545,21.3892,6.95597,22.6627,-18.1336,18.7708,0.214308,0.28405,0.449927,0.438808,4.02301,0.9,0.114485,0.0722381,0.0713862,0.928614
104,726.848,1,5.30165,0.63207,21.4212,6.89916,22.6093,-17.2389,17.9097,0.208452,0.288016,0.425319,0.442973,3.89745,0.9,0.116401,0.0707498,0.0714009,0.928599
105,726.587,1,5.28895,0.649313,21.5925,6.77108,23.0004,-17.1301,17.7477,0.208297,0.293404,0.438349,0.440484,3.88288,0.9,0.11496,0.07079,0.0714069,0.928593
106,733.726,1,5.3073,0.641734,21.2044,6.93612,23.7116,-17.9925,18.7265,0.210061,0.296185,0.423476,0.418494,4.08052,0.9,0.114103,0.0737897,0.0713969,0.928603
107,736.815,1,5.35876,0.63031,21.5245,7.28003,23.7051,-17.3524,17.9689,0.214805,0.289037,0.430527,0.395849,3.93303,0.9,0.115551,0.0750394,0.0713767,0.928623
108,735.386,1,5.30066,0.612603,21.4819,7.03577,22.7169,-16.8665,17.4336,0.219382,0.268411,0.417135,0.374721,3.81267,0.9,0.115116,0.0754017,0.0711694,0.928831
109,736.858,1,5.34127,0.629512,21.5681,7.22232,22.4559,-17.5879,18.0903,0.219493,0.26609,0.403591,0.366717,3.85513,0.9,0.112604,0.0785312,0.0714041,0.928596
110,730.917,1,5.29548,0.635454,21.9989,6.8365,22.4827,-18.1509,18.7025,0.226114,0.271399,0.379098,0.396402,3.99757,0.9,0.109707,0.0779463,0.0713877,0.928612
111,732.367,1,5.33221,0.659773,22.1583,6.49026,22.2745,-18.7073,19.2231,0.22546,0.280856,0.369156,0.411306,4.08897,0.9,0.112024,0.0766433,0.0713519,0.928648
112,732.548,1,5.28627,0.66642,22.1627,6.6029,22.1643,-18.7294,19.2874,0.224552,0.28853,0.358723,0.403638,4.12145,0.9,0.113995,0.0759735,0.0713669,0.928633
113,737.267,1,5.27743,0.662246,22.2285,6.46591,22.4235,-18.7617,19.2416,0.224365,0.275661,0.393275,0.408212,4.0796,0.9,0.118128,0.0741636,0.0713813,0.928619
114,731.153,1,5.30182,0.6396,22.2733,6.36604,22.7584,-19.2241,19.9215,0.222437,0.243305,0.428033,0.365841,4.24002,0.9,0.114904,0.0752423,0.0713972,0.928603
115,741.24,1,5.32117,0.655451,22.6534,6.16576,23.6828,-19.2502,19.9172,0.219965,0.252386,0.445954,0.382169,4.2346,0.9,0.113511,0.0785042,0.0713985,0.928601
116,733.341,1,5.28821,0.671391,22.5108,6.44576,24.0322,-19.0516,19.667,0.219302,0.236176,0.460858,0.399116,4.23061,0.9,0.111081,0.0788763,0.0714008,0.928599
117,739.125,1,5.30497,0.658005,22.4491,6.50081,23.7289,-18.748,19.4277,0.220258,0.240309,0.439498,0.383589,4.16695,0.9,0.11166,0.0795912,0.0714132,0.928587
118,736.409,1,5.28421,0.65153,22.304,6.44774,22.7521,-18.8034,19.3519,0.224494,0.241986,0.492781,0.392158,4.10057,0.9,0.110262,0.0778054,0.071393,0.928607
119,736.252,1,5.26752,0.654116,22.2481,6.19125,23.2253,-18.3967,18.8926,0.216387,0.253321,0.479142,0.425032,4.06545,0.9,0.115312,0.0753753,0.0714083,0.928592
120,745.831,1,5.3035,0.670988,22.3481,6.72426,23.8707,-18.6114,19.1107,0.216112,0.261883,0.451306,0.449209,4.09712,0.9,0.115099,0.0788234,0.0714057,0.928594
121,744.428,1,5.2878,0.658584,22.3687,6.68565,23.6947,-18.6226,19.2305,0.217491,0.258011,0.423312,0.472303,4.12986,0.9,0.110647,0.0791447,0.0714078,0.928592
122,740.468,1,5.3065,0.646447,22.3329,6.72773,23.7819,-18.7993,19.1828,0.219633,0.246843,0.355736,0.450662,4.07649,0.9,0.11102,0.0803955,0.0713814,0.928619
123,738.434,1,5.29293,0.637677,22.2081,6.33712,24.5716,-17.7541,18.195,0.215484,0.261266,0.36874,0.415908,3.9382,0.9,0.110401,0.0794916,0.0713604,0.92864
124,731.401,1,5.27694,0.675823,21.5635,6.90925,22.8252,-17.5995,18.1377,0.214898,0.25827,0.343635,0.40089,3.95906,0.9,0.114421,0.0769945,0.0713637,0.928636
125,732.914,1,5.27284,0.658552,21.7028,6.53047,23.3905,-18.221,18.8194,0.220603,0.260957,0.362056,0.399586,4.08048,0.9,0.114497,0.0762329,0.0713874,0.928613
126,739.829,1,5.28128,0.658595,21.4605,6.50586,24.0677,-18.3741,18.8702,0.222746,0.269272,0.376496,0.404284,4.04415,0.9,0.111685,0.0788876,0.0714159,0.928584
127,728.668,1,5.31304,0.638245,21.7047,6.83583,24.19,-18.0876,18.7454,0.223247,0.290102,0.43212,0.410941,4.03781,0.9,0.108962,0.0755198,0.071388,0.928612
128,730.336,1,5.2967,0.649849,21.7821,6.8368,24.6261,-18.1891,18.8078,0.220311,0.279419,0.423934,0.423773,4.00764,0.9,0.107889,0.0763153,0.0714018,0.928598
129,724.913,1,5.30199,0.645639,21.3817,6.85433,24.1422,-18.4094,19.154,0.225217,0.283107,0.437236,0.405615,4.09702,0.9,0.109517,0.0733591,0.0714044,0.928596
130,729.954,1,5.26688,0.652912,21.264,6.43131,24.2857,-19.0321,19.7162,0.225071,0.281361,0.445023,0.407334,4.22495,0.9,0.112999,0.0727616,0.0713852,0.928615
131,736.738,1,5.25553,0.670706,21.5535,6.72147,24.1321,-18.8409,19.4694,0.223928,0.282698,0.48232,0.409153,4.21327,0.9,0.11763,0.0717586,0.0713528,0.928647
132,733.509,1,5.25388,0.643649,21.6689,6.3838,24.466,-18.9709,19.5047,0.225635,0.283763,0.483927,0.407488,4.17584,0.9,0.114859,0.0715636,0.0713854,0.928615
133,734.9,1,5.27376,0.646819,21.9529,6.33108,25.1829,-18.5217,19.1785,0.224504,0.286081,0.456693,0.409038,4.14413,0.9,0.114495,0.0723714,0.0714241,0.928576
134,729.293,1,5.26258,0.629952,22.1931,6.24068,25.703,-18.1913,18.5268,0.222164,0.275646,0.455421,0.416612,3.90871,0.9,0.111969,0.0736219,0.0714099,0.92859
135,728.636,1,5.27012,0.659667,22.1357,6.24017,25.1615,-18.7463,19.2174,0.220268,0.25708,0.509124,0.425768,4.09973,0.9,0.110705,0.0739125,0.0714139,0.928586
136,732.031,1,5.29468,0.666172,22.1296,6.21652,25.237,-18.2279,18.6812,0.223588,0.270023,0.486236,0.425343,4.00793,0.9,0.111942,0.0737823,0.0714134,0.928587
137,729.463,1,5.29467,0.652006,22.4267,6.05126,25.904,-17.591,18.1367,0.219236,0.270562,0.493676,0.440711,3.90869,0.9,0.108581,0.075477,0.0714075,0.928592
138,732.803,1,5.29278,0.64607,22.2189,6.34485,25.1351,-17.6931,18.2579,0.2184,0.261765,0.529091,0.447639,3.91458,0.9,0.113438,0.0729536,0.0714085,0.928592
139,742.913,1,5.27747,0.6676,21.8926,6.47247,24.7679,-18.0462,18.7742,0.230696,0.266605,0.563384,0.428653,4.07475,0.9,0.113157,0.0741848,0.0713871,0.928613
140,738.479,1,5.28497,0.629921,22.2991,6.11452,24.7857,-18.0302,18.7543,0.223949,0.279997,0.511048,0.424571,4.06486,0.9,0.110546,0.0757341,0.071367,0.928633
141,745.784,1,5.28615,0.642472,22.2413,6.16784,25.4637,-17.5272,18.1835,0.229568,0.273639,0.517829,0.443312,3.97185,0.9,0.111657,0.0771691,0.0713852,0.928615
142,730.975,1,5.25912,0.656624,22.1756,5.95483,26.2567,-18.2064,18.8128,0.21918,0.266208,0.495167,0.421615,4.06307,0.9,0.113604,0.0733107,0.0713925,0.928607
143,730.613,1,5.26606,0.652792,22.6215,5.94256,26.429,-18.2643,18.7345,0.218696,0.274777,0.466376,0.45234,3.99233,0.9,0.113342,0.0737621,0.0713921,0.928608
144,725.328,1,5.26483,0.664797,22.2127,5.70791,25.0128,-18.4357,18.9922,0.220028,0.256981,0.479766,0.426414,4.07508,0.9,0.117772,0.070074,0.0713969,0.928603
145,729.543,1,5.25372,0.67357,22.3213,5.818,25.3585,-18.7561,19.3488,0.220719,0.252381,0.509815,0.439872,4.16553,0.9,0.114222,0.0719501,0.0713655,0.928635
146,723.342,1,5.26583,0.639391,22.0474,5.93412,24.5162,-18.0299,18.6023,0.221174,0.244358,0.501354,0.431968,4.00014,0.9,0.114202,0.0690896,0.0714043,0.928596
