iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,p_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a
24,619.442,1,4.47137,21.9709,5.36045,53.686,2.22045e-16,0.554398,0.554398,1.03536,1.18119,0.307357
25,598.271,1,4.6549,20.9502,5.54308,57.8553,2.22045e-16,0.54036,0.54036,1.00915,1.15128,0.291989
26,594.882,1,4.58996,21.1572,5.51546,54.3505,2.22045e-16,0.526678,0.526678,0.983596,1.12213,0.27739
27,588.725,1,4.58285,22.1512,5.25049,50.7825,2.22045e-16,0.513342,0.513342,0.95869,1.09544,0.26352
28,563.062,1,4.76547,22.5244,4.9953,46.2685,2.22045e-16,0.500344,0.500344,0.934416,1.06771,0.250344
29,551.47,1,4.75279,22.4541,5.08077,42.2787,2.22045e-16,0.487675,0.487675,0.910756,1.04491,0.237827
30,548.456,1,4.80994,23.616,4.744,38.4525,2.22045e-16,0.475327,0.475327,0.887695,1.01845,0.225936
31,538.342,1,4.91069,23.8848,4.25464,45.4621,2.22045e-16,0.463291,0.463291,0.865218,0.992661,0.214639
32,529.277,1,4.82293,23.9606,4.03055,41.6526,2.22045e-16,0.45156,0.45156,0.84331,1.00343,0.203907
33,515.306,1,4.7383,24.6964,4.02126,41.4082,2.22045e-16,0.440127,0.440127,0.821957,1.07688,0.193711
34,505.858,1,4.74401,23.7303,4.75321,39.6374,2.22045e-16,0.428982,0.428982,0.801145,1.144,0.184026
35,495.996,1,4.79393,23.0896,4.82153,38.6285,2.22045e-16,0.41812,0.41812,0.780859,1.11504,0.174825
36,492.605,1,4.8035,23.6494,5.57286,43.3282,2.22045e-16,0.407533,0.407533,0.761088,1.0868,0.166083
37,480.846,1,4.74364,22.7645,5.04339,52.1525,2.22045e-16,0.397214,0.397214,0.741816,1.05928,0.157779
38,461.956,1,4.74751,22.6261,4.57011,43.5196,2.22045e-16,0.387157,0.387157,0.723033,1.03246,0.14989
39,456.52,1,4.7422,22.8115,4.53113,46.9465,2.22045e-16,0.377354,0.377354,0.704726,1.00632,0.142396
40,450.32,1,4.81353,23.3173,4.48638,49.1488,2.22045e-16,0.367799,0.367799,0.693219,0.980839,0.135276
41,445.514,1,4.87593,23.3593,4.50911,42.0628,2.22045e-16,0.358486,0.358486,0.675666,0.956003,0.128512
42,437.285,1,4.77402,23.3079,4.1271,37.251,2.22045e-16,0.349409,0.349409,0.658558,1.05742,0.122087
43,423.914,1,4.76286,22.1741,4.2585,39.5084,2.22045e-16,0.340562,0.340562,0.641883,1.03064,0.115982
44,408.795,1,4.77601,22.1638,4.44341,40.6466,2.22045e-16,0.331938,0.331938,0.62563,1.00454,0.110183
45,398.682,1,4.80494,21.5933,4.85254,43.9521,2.22045e-16,0.323534,0.323534,0.609789,0.979109,0.104674
46,380.6,1,4.81805,21.9836,4.80266,41.336,2.22045e-16,0.315341,0.315341,0.594348,0.954318,0.0994403
47,371.748,1,4.81972,21.5693,4.75442,40.9206,2.22045e-16,0.307357,0.307357,0.579299,0.930154,0.0944682
48,371.572,1,4.78993,21.8077,4.73037,44.0858,2.22045e-16,0.299574,0.299574,0.564631,0.906602,0.0897448
49,371.056,1,4.79568,21.8664,4.83497,41.2815,2.22045e-16,0.291989,0.291989,0.550334,0.883646,0.0852576
50,360.037,1,4.81248,21.558,4.8619,39.7093,2.22045e-16,0.284596,0.284596,0.536399,0.868484,0.0809947
51,348.138,1,4.82503,22.0371,4.48842,41.7981,2.22045e-16,0.27739,0.27739,0.522817,0.868265,0.076945
52,343.107,1,4.84504,22.2269,4.37409,43.0968,2.22045e-16,0.270366,0.275316,0.518834,0.84628,0.0730977
53,340.625,1,4.87133,22.2157,4.503,44.0288,2.22045e-16,0.26352,0.271199,0.545821,0.824852,0.0697969
54,341.466,1,4.87244,22.1539,4.63595,42.7785,2.22045e-16,0.262452,0.264332,0.544818,0.803966,0.0707536
55,325.044,1,4.86921,22.1932,4.97923,44.2322,2.22045e-16,0.273567,0.264835,0.531023,0.78506,0.0672159
56,325.495,1,4.87701,21.9274,4.9593,41.481,2.22045e-16,0.279721,0.260259,0.518155,0.768856,0.0651955
57,322.705,1,4.88899,21.7726,4.93825,41.9956,2.22045e-16,0.280512,0.253669,0.543667,0.749388,0.0644451
58,318.172,1,4.86834,21.7985,4.63285,44.8037,2.22045e-16,0.276287,0.256905,0.537099,0.730413,0.0638538
59,313.677,1,4.86031,21.6723,4.82785,45.6093,2.22045e-16,0.277856,0.265374,0.524602,0.711919,0.0628275
60,313.47,1,4.8517,21.6,4.84044,44.213,2.22045e-16,0.286601,0.259296,0.554809,0.693892,0.0618209
61,311.695,1,4.8939,21.8724,4.9617,43.4172,2.22045e-16,0.281561,0.256507,0.540761,0.679527,0.0617815
62,311.937,1,4.89126,21.9392,4.93432,41.9523,2.22045e-16,0.274432,0.250012,0.527069,0.709741,0.0623145
63,315.691,1,4.89031,21.5002,4.86119,41.0393,2.22045e-16,0.270796,0.246471,0.555074,0.69177,0.0632295
64,312.927,1,4.93078,22.0222,4.84976,42.0791,2.22045e-16,0.267037,0.258791,0.541019,0.706794,0.0620177
65,308.124,1,4.94623,21.5983,4.98653,38.5383,2.22045e-16,0.263416,0.252238,0.538055,0.702262,0.0610199
66,302.425,1,4.94101,21.6494,5.13146,39.4872,2.22045e-16,0.265764,0.282439,0.524431,0.75302,0.0579689
67,306.659,1,4.93392,21.8328,5.13894,40.794,2.22045e-16,0.266176,0.282741,0.520277,0.733953,0.0593401
68,302.76,1,4.92918,21.7716,5.22363,42.2075,2.22045e-16,0.263306,0.275582,0.52082,0.752875,0.0585704
69,311.134,1,4.90401,21.0703,5.39087,40.0513,2.22045e-16,0.268345,0.275591,0.548541,0.738216,0.0602151
70,303.878,1,4.91014,21.7374,5.19037,43.3664,2.22045e-16,0.271302,0.27678,0.534652,0.719524,0.0583366
71,310.804,1,4.89941,21.8831,5.02515,43.149,2.22045e-16,0.270614,0.276509,0.554417,0.729523,0.060019
72,307.757,1,4.92121,22.2341,4.83839,40.4229,2.22045e-16,0.266824,0.280932,0.540378,0.748116,0.0593508
73,306.423,1,4.91469,21.7377,4.93326,39.4291,2.22045e-16,0.260068,0.273819,0.55609,0.744847,0.0595984
74,307.925,1,4.90108,21.6737,4.88278,39.5443,2.22045e-16,0.25965,0.272581,0.54201,0.74157,0.0597796
75,311.438,1,4.91345,21.7893,4.91033,41.081,2.22045e-16,0.258344,0.265679,0.537929,0.764871,0.0609725
76,310.822,1,4.91432,21.6819,4.95788,37.6106,2.22045e-16,0.255098,0.291869,0.538655,0.759077,0.0599733
77,317.339,1,4.88052,21.821,4.75448,39.9653,2.22045e-16,0.262339,0.284479,0.575,0.75167,0.0617232
78,309.415,1,4.91014,22.0386,4.82193,39.069,2.22045e-16,0.261372,0.277863,0.560441,0.753004,0.0595715
79,300.942,1,4.91036,21.6673,4.99244,40.6369,2.22045e-16,0.259218,0.289379,0.54625,0.733937,0.0579941
80,310.807,1,4.89722,21.7773,5.01179,41.7284,2.22045e-16,0.265056,0.282052,0.532419,0.72335,0.0618696
81,314.878,1,4.9161,21.6594,4.96126,42.12,2.22045e-16,0.265852,0.289084,0.518938,0.712801,0.0625708
82,316.807,1,4.90588,21.962,5.03368,39.3065,2.22045e-16,0.267501,0.281764,0.505798,0.755062,0.0634503
83,318.822,1,4.92746,21.8215,5.258,38.0048,2.22045e-16,0.260728,0.27463,0.492991,0.779559,0.0647617
84,317.002,1,4.95326,21.7267,5.40835,37.4895,2.22045e-16,0.260654,0.267676,0.529055,0.776916,0.062502
85,320.565,1,4.93518,21.8571,5.32925,40.9853,2.22045e-16,0.267032,0.281154,0.547839,0.761616,0.0628328
86,312.945,1,4.92166,21.5278,5.15077,37.9488,2.22045e-16,0.260509,0.274035,0.54882,0.814744,0.0603129
87,310.26,1,4.95051,21.8569,5.2411,37.7857,2.22045e-16,0.253913,0.270299,0.544434,0.805173,0.0599044
88,307.059,1,4.97182,21.7939,5.12929,39.0687,2.22045e-16,0.259208,0.274107,0.530649,0.784785,0.0597338
89,316.786,1,4.94514,21.8973,5.21571,38.5197,2.22045e-16,0.259481,0.274774,0.517213,0.811841,0.0627216
90,310.915,1,4.95164,21.7849,4.91227,38.1384,2.22045e-16,0.252911,0.279029,0.504116,0.793161,0.0610314
91,302.879,1,4.97391,21.8117,4.98585,37.8315,2.22045e-16,0.254202,0.284253,0.494218,0.773078,0.058881
92,295.498,1,4.98486,21.774,4.99352,35.8,2.22045e-16,0.25237,0.277056,0.503079,0.753503,0.0568906
93,316.518,1,4.95032,22.2484,4.85166,37.2292,2.22045e-16,0.256809,0.270041,0.533262,0.73569,0.0628663
94,320.07,1,4.97135,21.7827,4.96344,34.6137,2.22045e-16,0.259478,0.277473,0.526563,0.771255,0.0633036
95,314.478,1,4.94562,22.0838,4.95548,36.3393,2.22045e-16,0.262945,0.273214,0.51323,0.751727,0.0623634
96,312.167,1,4.91884,21.8058,5.02244,34.8661,2.22045e-16,0.263182,0.273117,0.512992,0.78418,0.0608501
97,306.907,1,4.94119,21.6675,4.98985,35.5937,2.22045e-16,0.260967,0.272601,0.528258,0.764324,0.0596067
98,317.137,1,4.95229,21.7837,5.01835,35.7797,2.22045e-16,0.257545,0.265699,0.547976,0.760925,0.0629079
99,309.816,1,4.97195,21.7371,5.36112,35.1539,2.22045e-16,0.263592,0.263014,0.535025,0.755078,0.0603898
100,307.606,1,4.97267,21.7352,5.12769,33.4533,2.22045e-16,0.263487,0.306207,0.535124,0.735959,0.0589223
101,309.865,1,4.94089,21.4554,4.99193,35.103,2.22045e-16,0.260718,0.298454,0.567964,0.759208,0.0589367
102,309.374,1,4.9542,21.6201,5.13487,35.192,2.22045e-16,0.267236,0.292147,0.553582,0.739985,0.0592522
103,307.777,1,4.98784,21.4355,5.20194,36.3573,2.22045e-16,0.260469,0.297523,0.560328,0.721248,0.0595032
104,316.162,1,5.01416,21.1295,5.28794,36.5889,2.22045e-16,0.259962,0.289989,0.597564,0.702985,0.0621582
105,312.861,1,4.98215,21.3518,5.56216,37.4592,2.22045e-16,0.253556,0.282646,0.59815,0.711648,0.0612777
106,302.037,1,4.94573,20.8544,5.60291,37.9891,2.22045e-16,0.263477,0.27549,0.583005,0.75082,0.0582138
107,306.881,1,4.93867,21.1025,5.38854,39.449,2.22045e-16,0.260198,0.269262,0.568243,0.766064,0.0590563
108,310.301,1,4.90156,21.3435,5.26335,40.2911,2.22045e-16,0.262982,0.27063,0.573176,0.775871,0.0594729
109,314.302,1,4.92755,21.53,5.16632,36.9461,2.22045e-16,0.256323,0.277502,0.581883,0.80946,0.0602233
110,316.184,1,4.89822,21.4052,5.19412,38.5123,2.22045e-16,0.265791,0.270476,0.56715,0.788964,0.062452
111,316.684,1,4.9258,21.5688,5.20905,38.9652,2.22045e-16,0.265816,0.27071,0.552789,0.775981,0.0622064
112,312.303,1,4.91914,21.6028,5.05097,37.8278,2.22045e-16,0.265353,0.268099,0.538792,0.814486,0.0607292
113,308.227,1,4.91746,21.6235,5.085,38.027,2.22045e-16,0.262543,0.273388,0.56266,0.793862,0.0588461
114,308.206,1,4.94809,21.2121,5.32213,39.8631,2.22045e-16,0.258905,0.285949,0.612296,0.773761,0.0585593
115,318.169,1,4.92823,20.978,5.17476,41.3907,2.22045e-16,0.259381,0.289495,0.62187,0.754169,0.061518
116,315.974,1,4.95415,21.3825,5.08381,41.9894,2.22045e-16,0.256837,0.282165,0.606124,0.735073,0.0624873
117,317.141,1,4.93883,21.7239,5.303,41.8774,2.22045e-16,0.251105,0.27931,0.591052,0.74108,0.0618977
118,319.774,1,4.91096,21.6273,5.09237,42.1597,2.22045e-16,0.257625,0.281074,0.576086,0.722315,0.0632678
119,321.361,1,4.92984,22.1848,4.94611,41.7323,2.22045e-16,0.25407,0.28011,0.561499,0.735185,0.0639065
120,314.553,1,4.96534,21.7435,5.07173,36.0589,2.22045e-16,0.251576,0.284512,0.547281,0.71657,0.0621468
121,310.504,1,4.97233,21.2836,5.11293,37.9188,2.22045e-16,0.248689,0.277308,0.533424,0.698426,0.0623333
122,306.33,1,4.98908,21.4996,5.19682,35.3287,2.22045e-16,0.256189,0.270286,0.519917,0.709137,0.0607595
123,317.331,1,5.02296,21.3991,5.25465,34.9115,2.22045e-16,0.25441,0.27335,0.506753,0.703869,0.0639952
124,312.685,1,5.0439,21.3929,5.33784,30.2373,2.22045e-16,0.247968,0.293644,0.510417,0.704015,0.0620265
125,308.431,1,5.02777,21.3078,5.25518,30.9597,2.22045e-16,0.253568,0.294418,0.511542,0.699468,0.0603709
126,310.995,1,5.02768,21.7438,5.03607,31.0752,2.22045e-16,0.258598,0.289826,0.524197,0.691675,0.0610301
127,311.624,1,5.02337,21.5671,5.20852,30.4332,2.22045e-16,0.252754,0.288609,0.523206,0.733756,0.0609621
128,306.614,1,5.05895,21.2396,5.31564,31.4429,2.22045e-16,0.252841,0.291255,0.55766,0.715177,0.0594861
129,306.194,1,5.05758,21.2367,5.47388,31.5424,2.22045e-16,0.254724,0.297648,0.579611,0.697068,0.0587957
130,314.14,1,5.03065,21.1068,5.44762,32.4064,2.22045e-16,0.258793,0.290112,0.583147,0.68613,0.061476
131,301.84,1,5.02421,21.2845,5.32522,33.8456,2.22045e-16,0.257527,0.282766,0.568381,0.668757,0.0584022
132,302.108,1,5.01264,21.1807,5.2459,33.4719,2.22045e-16,0.25729,0.28734,0.553989,0.669691,0.0584342
133,307.958,1,4.99156,21.6891,5.08178,34.1892,2.22045e-16,0.263779,0.281556,0.539962,0.68373,0.0605206
134,314.381,1,5.00694,21.4621,5.0728,33.9291,2.22045e-16,0.259074,0.274427,0.54844,0.683695,0.0623543
135,317.818,1,5.04642,21.3026,5.18392,35.3693,2.22045e-16,0.270994,0.267479,0.56578,0.666383,0.0636423
136,320.079,1,4.97755,21.1348,5.20463,33.1664,2.22045e-16,0.266308,0.260706,0.585569,0.671153,0.0640943
137,313.634,1,5.01445,20.9153,5.24066,31.9748,2.22045e-16,0.27485,0.259965,0.608297,0.664277,0.0613302
138,313.662,1,5.01236,21.2222,5.21711,30.9618,2.22045e-16,0.276672,0.259049,0.645353,0.647457,0.0611408
139,310.819,1,5.00567,21.5873,5.0466,31.1146,2.22045e-16,0.276303,0.273903,0.629012,0.631063,0.0607395
140,317.9,1,5.03108,21.4897,5.11631,30.9734,2.22045e-16,0.272055,0.289546,0.613085,0.675062,0.0622522
141,312.51,1,5.03574,21.8685,5.07779,29.3849,2.22045e-16,0.265166,0.28309,0.597561,0.722428,0.0609046
142,304.231,1,5.02295,21.4131,5.09642,30.4692,2.22045e-16,0.261547,0.275922,0.582431,0.717605,0.0588566
143,305.259,1,5.02531,22.0574,5.0671,30.678,2.22045e-16,0.268556,0.28237,0.567683,0.699435,0.059205
144,295.94,1,5.04532,21.507,5.05217,30.1853,2.22045e-16,0.261756,0.27522,0.553309,0.681725,0.0577872
145,302.011,1,5.04441,21.3248,5.56887,30.2972,2.22045e-16,0.26814,0.268252,0.58118,0.664463,0.0586019
146,298.757,1,5.03953,21.331,5.47717,31.2018,2.22045e-16,0.267336,0.272524,0.589226,0.647638,0.0571857
147,304.152,1,5.04166,21.1806,5.44708,31.3169,2.22045e-16,0.261579,0.267442,0.594189,0.63124,0.0594499
148,306.288,1,5.02575,20.8688,5.52473,31.4048,2.22045e-16,0.268501,0.2622,0.653221,0.658449,0.0586194
149,302.411,1,5.02811,20.7559,5.68358,31.6481,2.22045e-16,0.263285,0.265967,0.636681,0.641777,0.0581173
150,309.844,1,5.01704,20.7398,5.81311,32.8946,2.22045e-16,0.276708,0.268502,0.676496,0.625527,0.0600565
151,303.085,1,5.05464,20.7244,5.89068,33.0504,2.22045e-16,0.272444,0.261703,0.659367,0.609688,0.0589338
152,305.689,1,5.03721,20.7569,5.87237,32.6571,2.22045e-16,0.270742,0.271452,0.642671,0.636143,0.0587724
153,299.047,1,5.03382,20.7624,5.9907,30.3007,2.22045e-16,0.269941,0.264578,0.626564,0.623012,0.0572287
154,309.103,1,5.07286,20.365,5.75982,29.4179,2.22045e-16,0.266948,0.288601,0.610699,0.635967,0.0597926
155,307.278,1,5.05261,20.7395,5.73819,29.5201,2.22045e-16,0.272449,0.283032,0.595235,0.626519,0.059528
156,304.347,1,5.05921,20.389,6.02574,29.1556,2.22045e-16,0.277938,0.31297,0.620316,0.623802,0.057141
157,295.868,1,5.03879,20.5992,5.85249,30.4089,2.22045e-16,0.282179,0.305046,0.623852,0.608007,0.0549803
158,300.264,1,5.02271,20.6292,5.90459,30.58,2.22045e-16,0.281866,0.299731,0.638277,0.597106,0.0563022
159,300.107,1,5.01629,20.6103,6.043,33.1833,2.22045e-16,0.290648,0.292142,0.664287,0.607747,0.0561965
160,298.447,1,5.00482,20.0289,6.23912,33.0862,2.22045e-16,0.284827,0.284744,0.648219,0.65109,0.0556252
161,298.609,1,5.00837,20.2066,6.02899,31.4405,2.22045e-16,0.28508,0.277535,0.658117,0.652138,0.0555604
162,303.184,1,5.05538,20.5882,5.91926,30.2628,2.22045e-16,0.277861,0.277549,0.641453,0.635626,0.0580397
163,310.038,1,5.02814,20.5835,5.61476,31.2673,2.22045e-16,0.277025,0.279416,0.645841,0.630303,0.0594298
164,313.723,1,5.021,20.7428,5.64391,28.8904,2.22045e-16,0.270011,0.272341,0.658235,0.623336,0.0611955
165,300.399,1,5.05221,20.8652,5.64139,30.3893,2.22045e-16,0.269088,0.265445,0.663003,0.607553,0.0581357
166,301.778,1,5.07275,20.4704,6.02999,30.2111,2.22045e-16,0.265168,0.261622,0.668948,0.592169,0.0588461
167,305.72,1,5.04975,20.4692,6.16364,30.2858,2.22045e-16,0.272352,0.254997,0.688043,0.577175,0.0600039
168,299.233,1,5.05779,20.1781,6.03038,29.9438,2.22045e-16,0.268468,0.248541,0.687418,0.562561,0.0587671
169,297.934,1,5.04533,20.5614,6.08033,30.7505,2.22045e-16,0.276041,0.242247,0.670012,0.548316,0.0587329
170,294.126,1,5.08833,20.6427,5.88161,31.4923,2.22045e-16,0.270777,0.248676,0.653047,0.534433,0.0575194
171,287.936,1,5.10074,20.7588,5.77765,30.4781,2.22045e-16,0.266623,0.24999,0.643793,0.521022,0.0556853
172,279.357,1,5.07318,20.8019,5.78335,29.1163,2.22045e-16,0.26482,0.2634,0.627492,0.526691,0.0533129
173,286.021,1,5.05354,21.041,5.65135,29.2308,2.22045e-16,0.266241,0.263156,0.611603,0.526794,0.055441
174,294.944,1,5.09261,21.1311,5.55864,29.4872,2.22045e-16,0.266716,0.260918,0.619302,0.513455,0.058036
175,306.806,1,5.08172,20.7468,5.56013,28.3638,2.22045e-16,0.262764,0.272027,0.609878,0.500454,0.0617108
176,301.966,1,5.0852,20.8422,5.71069,26.6699,2.22045e-16,0.265935,0.266887,0.603325,0.487782,0.0605774
177,301.796,1,5.0943,20.8369,5.65447,27.395,2.22045e-16,0.261327,0.279668,0.588048,0.51255,0.0601617
178,299.976,1,5.10631,20.4308,5.83726,27.7325,2.22045e-16,0.260894,0.282482,0.61496,0.499572,0.0591986
179,302.865,1,5.08859,20.4795,5.70651,27.8059,2.22045e-16,0.270335,0.28022,0.638747,0.496348,0.0595625
180,296.496,1,5.07826,20.3073,5.55778,26.9809,2.22045e-16,0.268786,0.303514,0.645613,0.483781,0.0572102
181,294.897,1,5.11387,20.5958,5.72223,25.7882,2.22045e-16,0.262905,0.30537,0.629266,0.479054,0.0572009
182,291.75,1,5.1051,20.2057,5.83036,26.9409,2.22045e-16,0.263542,0.303813,0.630205,0.466924,0.0565952
183,290.531,1,5.13296,20.4805,6.10472,26.9806,2.22045e-16,0.261172,0.314915,0.671164,0.455102,0.0559638
184,288.497,1,5.12733,20.1001,6.04522,25.1192,2.22045e-16,0.265919,0.306941,0.666888,0.443578,0.0561104
185,290.695,1,5.12081,20.2911,6.05017,25.6354,2.22045e-16,0.267643,0.299169,0.707673,0.432347,0.0568319
186,296.95,1,5.12188,20.6401,5.97732,27.4152,2.22045e-16,0.269969,0.291594,0.714608,0.439193,0.0583298
187,290.643,1,5.12907,20.6204,6.00425,27.2095,2.22045e-16,0.265625,0.284211,0.696917,0.428072,0.0571238
188,297.215,1,5.12312,20.3211,6.0808,26.7255,2.22045e-16,0.263828,0.277014,0.697729,0.434578,0.0590452
189,282.422,1,5.15532,20.3946,6.0615,25.3621,2.22045e-16,0.264329,0.27,0.689915,0.423574,0.0561829
190,279.871,1,5.14008,20.3152,5.9475,25.1836,2.22045e-16,0.265639,0.263789,0.706825,0.412849,0.0548659
191,273.308,1,5.14155,20.1161,5.93071,22.9467,2.22045e-16,0.264022,0.258249,0.707247,0.402395,0.0538193
192,287.037,1,5.11467,19.942,5.94053,24.9656,2.22045e-16,0.262609,0.259104,0.691602,0.392206,0.0570354
193,290.694,1,5.15965,20.4267,5.96818,25.0659,2.22045e-16,0.26373,0.252543,0.67409,0.422686,0.0581974
194,290.211,1,5.12215,20.1486,5.85979,24.6919,2.22045e-16,0.263106,0.261702,0.679473,0.422309,0.0573743
195,288.804,1,5.1066,20.0626,6.27496,26.1827,2.22045e-16,0.260467,0.267463,0.704999,0.421081,0.0565773
196,287.872,1,5.12397,20.5328,6.07432,26.9501,2.22045e-16,0.258752,0.26069,0.707106,0.436813,0.05628
197,288.004,1,5.13299,20.566,5.79209,28.3939,2.22045e-16,0.252986,0.255169,0.689202,0.45048,0.0570343
198,288.311,1,5.12116,20.5706,5.90916,27.4863,2.22045e-16,0.259311,0.25588,0.677705,0.448169,0.0566449
199,291.888,1,5.12612,20.7434,5.92813,27.199,2.22045e-16,0.270476,0.281361,0.660545,0.436822,0.057834
200,292.06,1,5.14513,20.4546,5.90523,25.8029,2.22045e-16,0.269291,0.274999,0.674276,0.425761,0.0574327
201,284.883,1,5.14631,20.1272,6.30103,24.259,2.22045e-16,0.265359,0.282893,0.657203,0.41498,0.0566983
202,285.655,1,5.15209,20.2828,6.22646,23.1752,2.22045e-16,0.265072,0.279215,0.640563,0.404473,0.0568206
203,281.582,1,5.14004,20.3511,6.32597,24.8182,2.22045e-16,0.264443,0.272145,0.669151,0.394231,0.0557245
204,287.528,1,5.11299,20.1208,6.44613,24.5112,2.22045e-16,0.257748,0.265254,0.707334,0.408693,0.0565951
205,288.91,1,5.11872,20.077,6.01352,24.8704,2.22045e-16,0.254407,0.277086,0.692375,0.421972,0.0566429
206,294.995,1,5.13475,19.8498,6.0182,24.5509,2.22045e-16,0.257882,0.286973,0.674843,0.411287,0.0588619
207,301.743,1,5.15888,20.391,6.36935,23.9856,2.22045e-16,0.261346,0.294574,0.662407,0.416849,0.0602795
208,280.629,1,5.17035,20.2486,6.3105,23.1542,2.22045e-16,0.260285,0.287115,0.690974,0.406294,0.0572655
209,287.819,1,5.16814,20.4446,6.15979,23.6608,2.22045e-16,0.261078,0.279845,0.673478,0.396006,0.0588303
210,290.45,1,5.13917,20.4168,6.05318,23.5421,2.22045e-16,0.265321,0.2925,0.676577,0.385979,0.0583772
211,290.423,1,5.13211,20.2314,6.16452,23.7835,2.22045e-16,0.275141,0.285094,0.659446,0.412899,0.0575022
212,289.574,1,5.1182,19.9962,6.10827,23.393,2.22045e-16,0.268675,0.277875,0.679217,0.403375,0.0569897
213,293.111,1,5.12548,20.2911,6.01637,24.4576,2.22045e-16,0.273532,0.308494,0.662019,0.399008,0.0573606
214,289.979,1,5.10026,20.1729,5.75001,24.6105,2.22045e-16,0.266606,0.303993,0.654852,0.388905,0.0574901
215,294.319,1,5.10098,20.3252,5.75443,24.9828,2.22045e-16,0.262622,0.296296,0.650312,0.379058,0.0602772
216,296.051,1,5.12029,20.2526,6.07889,25.017,2.22045e-16,0.266726,0.288794,0.635451,0.36946,0.0607536
217,297.552,1,5.12885,20.5696,5.93332,26.1399,2.22045e-16,0.272972,0.300544,0.665168,0.360105,0.0603172
218,302.073,1,5.15113,20.0539,5.97328,25.3492,2.22045e-16,0.26606,0.292934,0.648325,0.360383,0.0619348
219,290.788,1,5.16589,20.6712,5.92966,27.0111,2.22045e-16,0.264524,0.297637,0.631909,0.351258,0.0602829
220,291.491,1,5.13197,20.7549,5.79741,27.4267,2.22045e-16,0.262829,0.290101,0.646732,0.342364,0.0601854
221,307.943,1,5.14309,20.8702,6.01836,26.5136,2.22045e-16,0.261605,0.284396,0.651176,0.35101,0.064317
222,295.395,1,5.12677,20.266,5.93099,26.6846,2.22045e-16,0.257633,0.297155,0.654964,0.342596,0.0611012
223,297.936,1,5.1427,20.4511,5.87545,25.1924,2.22045e-16,0.26123,0.301713,0.680279,0.360453,0.0599224
224,294.927,1,5.12127,20.3837,5.86253,26.9806,2.22045e-16,0.259438,0.294074,0.689707,0.36172,0.0592504
225,290.951,1,5.14244,20.6885,5.97208,24.8605,2.22045e-16,0.257445,0.286628,0.672243,0.357578,0.0589925
