iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,b1,a2,b2
118,918.641,1,9.3685,44.5634,9.97715,120.356,0.237805,0.284449,0.402641,0.973017,0.14039,0.0333431,0.0134406
119,913.945,1,9.37734,45.2953,9.7641,116.726,0.238677,0.277247,0.406764,0.94838,0.140146,0.0354498,0.011747
120,903.339,1,9.40338,44.4105,9.88076,110.605,0.240571,0.281233,0.396464,0.927992,0.140992,0.0336773,0.0111596
121,908.165,1,9.45005,44.1405,9.96054,110.535,0.234527,0.274112,0.395429,0.908676,0.139792,0.044135,0.00827832
122,911.027,1,9.44021,45.139,9.64154,108.907,0.234297,0.267171,0.412459,0.911612,0.138965,0.0378732,0.010892
123,919.644,1,9.47841,45.1383,9.57766,108.705,0.235436,0.260406,0.402016,0.922814,0.141194,0.0348508,0.0132845
124,918.458,1,9.46503,45.8199,9.55351,109.159,0.229475,0.269299,0.408928,0.926836,0.138581,0.0401933,0.0111503
125,914.07,1,9.49408,45.6711,9.50482,105.726,0.227971,0.293065,0.399469,0.938848,0.140722,0.0293378,0.0140064
126,915.713,1,9.41219,45.7462,9.46975,110.389,0.241184,0.285644,0.398213,0.949094,0.140283,0.0306458,0.0137715
127,923.703,1,9.44518,45.9764,9.55039,113.531,0.239758,0.280764,0.405338,0.935206,0.140754,0.0393949,0.0115197
128,920.291,1,9.42025,45.725,9.68991,116.291,0.24451,0.277872,0.433357,0.911526,0.139748,0.0478702,0.00783803
129,915.919,1,9.36015,45.6354,9.90339,114.585,0.25004,0.277193,0.441466,0.948018,0.139009,0.0555554,0.00414751
130,921.951,1,9.35389,45.5165,9.89006,111.497,0.246362,0.284465,0.448048,0.940621,0.139633,0.053045,0.00559121
131,912.223,1,9.28234,45.0313,9.80248,120.963,0.244577,0.284283,0.436703,0.925283,0.139369,0.050089,0.00591524
132,912.427,1,9.22809,44.9581,9.24455,118.113,0.246967,0.280114,0.435064,0.941266,0.140726,0.0340871,0.0115281
133,915.707,1,9.28406,45.5891,9.49182,120.382,0.244556,0.282571,0.424048,0.92313,0.141962,0.0420785,0.00926119
134,915.68,1,9.31898,46.1122,9.34216,116.095,0.243279,0.283551,0.413311,0.963544,0.1404,0.0387782,0.0104942
135,906.649,1,9.41767,46.0878,9.35015,124.125,0.237119,0.276371,0.414568,0.939146,0.140627,0.0360259,0.0110163
136,914.107,1,9.31161,44.9901,9.63855,120.027,0.240866,0.269373,0.448261,0.915366,0.14047,0.0341189,0.012031
137,918.337,1,9.39577,45.3563,9.49856,110.126,0.240799,0.266721,0.436911,0.946817,0.142394,0.0411143,0.00989213
138,919.477,1,9.40931,45.0655,9.29588,106.647,0.234702,0.260117,0.425848,0.922843,0.140784,0.0407738,0.0108568
139,909.911,1,9.45275,44.8681,9.21267,105.269,0.248193,0.276981,0.416468,0.905938,0.141587,0.0387351,0.010314
140,921.976,1,9.5374,45.0525,9.26896,99.7226,0.246332,0.298171,0.421617,0.917649,0.141503,0.0383655,0.0110283
141,916.066,1,9.61175,45.1565,9.03328,90.7748,0.240095,0.290621,0.410942,0.906367,0.141829,0.0314907,0.0133448
142,913.836,1,9.52865,45.6622,8.49813,93.2128,0.240297,0.283263,0.418809,0.883417,0.140401,0.024525,0.0159625
143,915.789,1,9.58052,46.6295,8.85347,96.2943,0.250892,0.278866,0.423533,0.861048,0.140945,0.0292634,0.014174
144,906.157,1,9.66897,46.1281,8.89415,93.0192,0.244539,0.271805,0.412808,0.871604,0.140148,0.0264068,0.0150031
145,906.972,1,9.69915,45.9953,9.57008,90.6365,0.250032,0.264923,0.402356,0.899776,0.140451,0.0443307,0.00798555
146,910.471,1,9.67051,45.8622,9.43817,91.1813,0.247429,0.272281,0.404825,0.911315,0.139688,0.0405261,0.00952966
147,909.101,1,9.66189,45.4436,9.47287,93.8924,0.241164,0.265386,0.397806,0.88824,0.140521,0.0305887,0.0134626
148,910.701,1,9.67351,45.0437,9.64051,85.8356,0.244894,0.258667,0.413039,0.928285,0.141556,0.0368289,0.0107003
149,904.53,1,9.66959,45.0289,9.58239,87.7822,0.246737,0.265196,0.40258,0.928574,0.142394,0.0292472,0.0127161
150,904.15,1,9.67919,44.9282,9.68312,88.9565,0.251367,0.258481,0.413453,0.905062,0.141916,0.0369311,0.00995339
151,901.575,1,9.76897,45.071,9.60756,95.1075,0.246105,0.261899,0.432833,0.882145,0.142526,0.0223436,0.0154176
152,904.374,1,9.68092,44.7088,9.59964,95.4448,0.249532,0.268155,0.428931,0.859809,0.142008,0.0293564,0.0127837
153,908.83,1,9.70729,44.5171,9.89845,90.93,0.243214,0.261365,0.446712,0.880828,0.141517,0.0359922,0.0107421
154,903.327,1,9.81326,43.5511,9.76106,81.3611,0.239439,0.268595,0.476672,0.858525,0.140769,0.0361831,0.00995642
155,904.242,1,9.77614,43.8407,9.77998,81.583,0.24794,0.261794,0.491261,0.836787,0.141947,0.0230227,0.0149726
156,902.307,1,9.81255,42.7838,10.1833,81.2898,0.248326,0.304358,0.525905,0.815599,0.141337,0.0399479,0.00759373
157,895.815,1,9.89283,43.6387,10.3039,77.4541,0.259263,0.296651,0.512589,0.80189,0.143061,0.0325451,0.00976254
158,909.126,1,9.85423,43.5682,10.5048,74.9953,0.262281,0.28914,0.541225,0.788153,0.141442,0.0371642,0.00969202
159,907.953,1,9.79281,43.5216,10.0625,78.7847,0.263374,0.281818,0.542364,0.784869,0.139068,0.0352499,0.0105602
160,906.213,1,9.75063,43.5685,10.4086,82.6568,0.263758,0.276244,0.528631,0.790711,0.14141,0.0344157,0.0103427
161,905.86,1,9.73518,43.6905,9.76646,85.4259,0.264343,0.278038,0.515246,0.77069,0.141277,0.0384152,0.00896717
162,900.627,1,9.78198,44.6035,9.62705,83.0395,0.257649,0.277036,0.502199,0.755281,0.140608,0.0403461,0.00804564
163,912.686,1,9.77835,44.3272,9.21903,83.5213,0.259058,0.292413,0.50681,0.754598,0.142241,0.0444511,0.00729027
164,911.187,1,9.80795,44.7092,9.52495,80.4399,0.252499,0.285009,0.515623,0.799134,0.142198,0.0359462,0.0103156
165,906.404,1,9.85377,44.6358,9.70517,85.7175,0.249128,0.282748,0.503477,0.7789,0.140341,0.0365044,0.0102021
166,911.274,1,9.82048,44.5276,9.76897,83.476,0.254834,0.276391,0.508113,0.759178,0.140899,0.0383133,0.00998037
167,912.387,1,9.72009,44.3327,10.0429,85.7753,0.269514,0.269392,0.524819,0.769057,0.141017,0.0467955,0.00655951
168,902.507,1,9.71716,43.0718,9.83549,82.2447,0.270135,0.271865,0.533695,0.766055,0.141143,0.0444558,0.00623154
169,900.128,1,9.73562,44.0525,10.103,84.7943,0.271795,0.282628,0.520181,0.767009,0.14224,0.0357776,0.00891303
170,893.016,1,9.80495,43.5676,10.0544,78.0716,0.264913,0.288917,0.50701,0.801424,0.139996,0.0413596,0.00639099
171,894.403,1,9.87502,43.2555,10.5153,75.8898,0.258205,0.299459,0.499168,0.799025,0.140657,0.0388148,0.00735398
172,890.087,1,9.86985,43.7132,10.2955,76.1169,0.265261,0.305682,0.498794,0.778793,0.140284,0.0502062,0.00260617
173,897.53,1,9.88942,44.1785,10.4586,77.7107,0.258935,0.297941,0.513987,0.759074,0.141255,0.0490832,0.00389235
174,890.291,1,9.89117,43.897,10.6986,74.48,0.273264,0.290397,0.542028,0.769203,0.142045,0.0466291,0.00369773
175,902.447,1,9.9169,42.4727,10.9798,74.72,0.272591,0.294364,0.56083,0.764187,0.142578,0.041628,0.0065607
176,902.031,1,9.87689,42.8061,11.0336,71.4455,0.270014,0.293136,0.548679,0.784819,0.141173,0.0474459,0.00450174
177,904.292,1,9.93566,43.3069,11.0831,74.6388,0.265061,0.294576,0.534787,0.769389,0.139547,0.0547585,0.00265582
178,908.762,1,9.94718,42.4765,10.7912,73.2229,0.263353,0.289825,0.559674,0.755408,0.140941,0.0601849,0.000837481
179,898.879,1,9.92161,42.458,11.3037,73.3647,0.270492,0.287043,0.563812,0.768562,0.141309,0.0571757,0.000795607
180,892.966,1,9.87434,42.1753,10.8214,71.9588,0.263643,0.279775,0.557961,0.749101,0.141098,0.0363808,0.00798881
181,892,1,9.9485,43.1465,10.8317,72.7953,0.25982,0.287552,0.543833,0.737804,0.141425,0.0404363,0.00647899
182,893.519,1,9.88077,42.2163,10.7537,72.6043,0.266148,0.289558,0.530063,0.764443,0.142898,0.0375379,0.00731202
183,889.168,1,9.89016,42.3456,10.8866,68.781,0.259409,0.293253,0.534907,0.783913,0.142417,0.0383343,0.0065223
184,895.318,1,9.93403,42.1378,10.726,70.5205,0.255462,0.290697,0.521363,0.765817,0.141984,0.0376715,0.00778458
185,895.35,1,9.9783,42.9819,10.9619,70.7325,0.25821,0.288167,0.552512,0.746426,0.141189,0.0326319,0.00979737
186,889.335,1,9.99846,43.2617,10.8125,71.0939,0.252819,0.28087,0.550797,0.754503,0.141041,0.0375591,0.00733131
187,895.762,1,10.0527,43.78,10.694,69.6488,0.254867,0.280352,0.585683,0.744239,0.142161,0.0396823,0.00693419
188,892.682,1,10.0766,42.7556,11.0755,65.9091,0.248413,0.276983,0.570853,0.725396,0.142024,0.0408897,0.00658556
189,879.241,1,10.111,43.0222,11.1212,67.232,0.251556,0.278345,0.556399,0.707028,0.141073,0.0388452,0.00625629
190,878.941,1,10.1476,43.1961,10.9044,62.7469,0.251227,0.271297,0.560293,0.689126,0.14218,0.0331773,0.00805017
191,879.631,1,10.1416,42.4757,11.2025,61.2977,0.246451,0.267177,0.573552,0.692249,0.142265,0.0383498,0.00613175
192,884.408,1,10.1117,42.5107,10.4377,63.6386,0.249624,0.267532,0.55903,0.674721,0.143512,0.039353,0.00650856
193,896.481,1,10.1383,43.0413,10.7265,64.1491,0.253196,0.260757,0.544875,0.657636,0.14264,0.0373825,0.0087598
194,893.892,1,10.0931,42.3928,10.4769,61.4843,0.25395,0.265865,0.531078,0.640984,0.142336,0.0379487,0.00829116
195,893.988,1,10.0956,42.8137,10.832,59.9964,0.252302,0.259133,0.545654,0.65263,0.142007,0.0394994,0.00766909
196,891.879,1,10.1225,42.9797,10.5922,61.6224,0.25042,0.262889,0.531838,0.636105,0.138784,0.051923,0.00362529
197,887.774,1,10.127,43.4202,10.3152,63.6393,0.250107,0.259662,0.518372,0.619999,0.140096,0.0475917,0.0051313
198,887.646,1,10.1572,43.1131,10.6747,64.9,0.253839,0.273739,0.505246,0.6043,0.138929,0.0472862,0.0053612
199,885.439,1,10.1603,43.654,10.7512,61.6498,0.262507,0.268448,0.503045,0.588999,0.139705,0.0429417,0.00637974
200,883.079,1,10.2275,42.9173,10.9416,59.2543,0.261228,0.261651,0.534674,0.574085,0.140671,0.0430644,0.0059455
201,882.832,1,10.2297,41.6446,11.8081,55.8554,0.261775,0.274322,0.576033,0.559549,0.141481,0.0389209,0.00703124
202,894.936,1,10.2108,41.6114,11.5827,51.6276,0.262637,0.277202,0.568972,0.593068,0.142271,0.0477857,0.00448391
203,881.163,1,10.1771,42.0182,11.1704,53.8138,0.256398,0.272372,0.633197,0.578051,0.140993,0.0453964,0.00425971
204,885.064,1,10.1289,42.0474,10.8031,51.5945,0.251843,0.272375,0.617164,0.593508,0.14093,0.0407268,0.00612817
205,887.483,1,10.126,41.8962,10.9352,53.6589,0.247818,0.265478,0.633704,0.647563,0.141414,0.0321752,0.00934666
206,894.734,1,10.0676,42.0302,10.7297,55.1738,0.257217,0.265335,0.617658,0.631166,0.142603,0.0292432,0.011203
207,897.853,1,10.105,42.165,11.437,57.3377,0.266187,0.265376,0.616465,0.629277,0.139659,0.0396632,0.00790953
208,890.204,1,10.1842,41.5806,11.8835,57.1377,0.261415,0.258656,0.617081,0.613343,0.140661,0.0321298,0.0103724
209,895.97,1,10.1815,41.902,11.7526,60.078,0.255604,0.252107,0.624176,0.597813,0.141153,0.0242284,0.0140111
210,902.256,1,10.1703,41.6693,11.555,58.7811,0.266008,0.268571,0.644918,0.582676,0.14204,0.0282894,0.0126492
211,898.474,1,10.132,42.3818,11.0574,56.3156,0.270681,0.263905,0.628589,0.579765,0.142252,0.0400662,0.00775139
212,891.313,1,10.14,42.3436,11.0069,56.8606,0.26741,0.265672,0.612673,0.565085,0.141364,0.0329124,0.00996035
213,902.332,1,10.0924,43.2037,10.9639,58.0642,0.274057,0.275593,0.597159,0.6254,0.14184,0.0378991,0.00879086
214,897.09,1,10.1704,43.1815,10.8335,56.1816,0.267118,0.268615,0.582039,0.609565,0.140893,0.0412927,0.00779155
215,901.43,1,10.0987,42.2412,11.0873,55.9163,0.265123,0.261813,0.571048,0.597833,0.14314,0.0344894,0.0102371
216,904.505,1,10.1014,41.8311,10.7517,55.9267,0.264673,0.259221,0.556588,0.582696,0.143441,0.0365852,0.0102972
