rep,ID,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q2_simulated,standEta_V2_simulated,standEta_Q3_simulated,standEta_V3_simulated,filter
8,6,0.833458,0.94946,-0.441293,-0.11128,-1.10173,0.626257,0
9,6,-0.762569,1.82567,0.518365,-0.299028,-1.14642,1.82366,0
10,6,0.119328,0.946763,-0.973431,-0.310673,-1.07697,1.45819,0
1,7,1.24262,-2.38441,-1.39836,-1.50785,-0.189456,-0.462396,0
2,7,-1.2675,-1.95134,-0.984144,2.07984,0.306521,0.159659,0
3,7,1.37574,-2.55428,-0.45971,0.00809431,-0.525044,-2.05916,0
4,7,-1.99437,-1.87597,1.19444,2.40231,-1.40722,-1.72859,0
5,7,1.25314,-2.60831,-0.876536,-0.313159,-0.492927,-0.175163,0
6,7,-1.41329,-2.02513,0.964058,2.21072,1.00997,-0.35364,0
7,7,1.34257,-2.51533,-0.277368,-1.46836,0.734229,-0.568765,0
8,7,-2.14259,-2.24795,0.522628,2.30197,1.5822,-0.758792,0
9,7,1.05862,-2.56901,-0.915579,-0.951272,0.550685,-0.714228,0
10,7,-1.31359,-2.1628,-0.61312,1.91943,-0.0742408,-1.94989,0
1,8,0.327502,0.999091,1.26915,1.69508,-0.412557,-1.60338,0
2,8,-0.242488,-0.163478,-0.249775,2.27693,0.651083,0.608733,0
3,8,2.08212,0.555519,0.462352,1.32056,-1.13103,0.873176,0
4,8,2.11074,-0.512282,-1.19333,0.908352,0.579614,-0.451067,0
5,8,0.648328,0.896769,-1.23748,1.73911,0.826848,0.0930366,0
6,8,2.1659,-0.0244604,-0.588994,0.672182,1.70369,-0.979382,0
7,8,1.10993,0.0305694,0.662809,1.46608,-0.794268,0.0604717,0
8,8,1.30739,-0.737385,0.15427,-0.292481,-0.269274,1.51511,0
9,8,-0.492961,-0.676328,-0.77662,2.0659,-0.594667,0.999924,0
10,8,1.10527,0.335382,-0.331526,-0.956503,0.110095,1.84288,0
1,9,0.0160421,1.67711,1.46954,-1.00547,-0.159927,0.600551,0
2,9,-0.123724,-0.0200987,-2.00454,0.756757,-1.79152,1.08939,0
3,9,-0.401584,0.138352,-0.750209,0.832228,1.61697,-0.360444,0
4,9,-0.270871,0.530209,-1.20239,0.961473,-0.0679838,1.20705,0
5,9,-0.171557,-0.239514,1.05436,0.498638,-0.374748,0.645468,0
6,9,-0.458281,-0.553144,0.374665,0.247067,0.5382,1.15112,0
7,9,-0.550387,0.820806,0.478785,1.03576,1.20045,-0.147984,0
8,9,-0.0806789,0.806326,-0.546752,0.939249,-1.26981,-1.92225,0
9,9,-1.0981,0.295046,-1.51459,0.95573,-2.97626,1.42712,0
10,9,-0.319966,0.138053,-0.61875,0.387693,0.997809,0.896375,0
1,10,-1.62789,-0.529215,-0.0221889,0.570145,-1.30641,0.678361,0
2,10,-1.41565,1.57016,-0.0917619,0.29708,-1.52659,-0.587169,0
3,10,-2.06572,-0.305522,1.90763,0.762879,-0.689476,-1.68824,0
4,10,-2.23665,0.438371,-0.0677473,-0.556402,-0.854011,1.12433,0
5,10,-1.96352,-0.596356,0.805304,0.892719,0.0416124,0.621743,0
6,10,-1.74822,1.14664,-0.479658,-0.588149,-0.399698,-0.411544,0
7,10,-1.55234,1.77929,0.348724,-0.506346,0.651908,-0.0278686,0
8,10,-1.38648,0.0154416,0.471087,0.826759,-0.288465,0.864393,0
9,10,-1.48993,0.79154,-0.739296,0.779799,0.414511,0.235511,0
10,10,-1.93419,0.25533,-0.951348,-1.79078,1.79505,0.999713,0
1,11,0.227061,0.683958,0.63123,-1.03752,0.294688,-1.38475,0
2,11,-0.272206,0.792365,0.0725209,0.114434,0.965539,1.45322,0
3,11,0.321281,0.462391,-1.3234,-0.829336,1.60916,-0.446166,0
4,11,0.304863,1.01828,-1.25665,-1.1931,-0.778338,-1.90286,0
5,11,0.270695,0.664149,-0.889375,0.441774,1.32966,-0.670434,0
6,11,0.11695,0.0672852,2.31247,0.29309,1.51504,0.38655,0
7,11,0.0152262,-0.308677,0.533796,0.318562,0.171448,0.697686,0
8,11,-0.0603655,0.368828,0.06844,-2.19686,-0.326065,0.165321,0
9,11,0.0221255,0.2594,-0.687384,-0.217539,0.59558,0.494962,0
10,11,0.334005,0.217835,-1.03315,0.243338,-0.429571,0.108088,0
1,12,-1.41715,0.0197079,-0.0840761,1.199,-1.17647,-1.91461,0
2,12,-0.663794,-0.0204734,-2.68409,-0.0970102,-0.745122,0.829582,0
3,12,-0.720335,0.432647,-0.905719,1.11602,0.183043,-0.492813,0
4,12,-0.364411,0.279188,-0.94284,0.694853,-1.29151,0.481742,0
5,12,-0.561066,0.53904,0.335696,0.0371506,1.87265,-0.487201,0
6,12,-0.497463,0.763913,-1.32009,0.868302,-0.134068,-1.5981,0
7,12,-0.704456,0.564114,2.06235,-1.79167,-0.348055,1.01796,0
8,12,-0.682279,0.5235,-1.86523,-0.779456,-1.0361,0.136687,0
9,12,-0.546836,-0.0274623,1.159,0.418515,1.07328,0.663617,0
10,12,-0.615463,-0.305301,0.778797,0.183811,0.234277,1.0091,0
1,13,-0.91339,0.258276,-0.24405,0.425089,0.65285,0.550303,0
2,13,-1.45635,0.694682,0.713903,1.14725,0.330144,-1.36758,0
3,13,-1.10566,-0.421161,0.825538,0.565101,1.9123,-2.77003,0
4,13,-0.78518,0.782367,0.394656,0.7707,-1.39449,-0.972498,0
5,13,-0.832106,-0.141175,-1.69301,0.566363,0.312966,-0.580767,0
6,13,-0.686942,-0.373428,-1.90303,0.56059,1.20948,1.00688,0
7,13,-0.925587,0.11244,1.91677,1.1036,-1.0593,0.433315,0
8,13,-0.86292,0.267362,-0.633498,0.883096,-0.386907,0.341957,0
9,13,-0.811417,0.0543831,1.3494,0.95718,-0.815375,0.937295,0
10,13,-0.95421,-0.539248,-0.0209052,0.408499,1.25998,1.15678,0
1,14,-1.21734,-0.265795,1.53893,1.58961,-2.34083,-0.440857,0
2,14,-0.134393,0.0966763,-0.37877,1.63712,-0.748676,0.593741,0
3,14,-0.167518,-0.191231,0.598543,0.967158,0.971835,2.73457,0
4,14,1.16895,-0.909964,-0.876734,0.105934,-0.640774,1.24572,0
5,14,-0.2059,-0.170928,-1.8557,-0.320412,1.45396,1.8359,0
6,14,0.0407047,0.356406,1.59679,-0.2845,-0.109319,1.91755,0
7,14,1.37984,-0.674149,-1.77291,-0.0119095,-1.24155,0.582971,0
8,14,-0.802665,-0.777158,0.0310231,0.607417,2.3352,3.16548,0
9,14,1.85275,1.40829,0.972911,-0.859683,-0.175961,0.0808277,0
10,14,-0.7469,-0.209806,0.859005,0.206715,0.482306,2.19961,0
