standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q2_abscissa,standEta_Q2_cdf,standEta_V2_abscissa,standEta_V2_cdf,standEta_Q3_abscissa,standEta_Q3_cdf,standEta_V3_abscissa,standEta_V3_cdf,split
-1.08049,0.171429,-0.77398,0.171429,-1.13761,0.171429,-0.942324,0.171429,-1.27265,0.171429,-0.847746,0.171429,All
-0.981647,0.178571,-0.769851,0.178571,-1.09367,0.178571,-0.900351,0.178571,-1.21658,0.178571,-0.845757,0.178571,All
-0.909918,0.185714,-0.721398,0.185714,-1.00945,0.185714,-0.900288,0.185714,-1.18444,0.185714,-0.837076,0.185714,All
-0.857243,0.192857,-0.678224,0.192857,-0.965354,0.192857,-0.856539,0.192857,-1.04981,0.192857,-0.741038,0.192857,All
-0.84681,0.2,-0.666362,0.2,-0.942099,0.2,-0.843938,0.2,-1.03265,0.2,-0.688342,0.2,All
-0.816193,0.207143,-0.642521,0.207143,-0.905519,0.207143,-0.809898,0.207143,-1.02832,0.207143,-0.671592,0.207143,All
-0.795492,0.214286,-0.621858,0.214286,-0.894843,0.214286,-0.769944,0.214286,-0.977645,0.214286,-0.666993,0.214286,All
-0.744163,0.221429,-0.614379,0.221429,-0.872778,0.221429,-0.7629,0.221429,-0.957024,0.221429,-0.638347,0.221429,All
-0.741138,0.228571,-0.546161,0.228571,-0.857739,0.228571,-0.728865,0.228571,-0.948944,0.228571,-0.632943,0.228571,All
-0.702273,0.235714,-0.533733,0.235714,-0.77515,0.235714,-0.725134,0.235714,-0.890969,0.235714,-0.628889,0.235714,All
-0.700175,0.242857,-0.499624,0.242857,-0.76185,0.242857,-0.712447,0.242857,-0.865923,0.242857,-0.599757,0.242857,All
-0.673892,0.25,-0.467552,0.25,-0.744514,0.25,-0.699587,0.25,-0.801715,0.25,-0.580927,0.25,All
-0.666315,0.257143,-0.406152,0.257143,-0.707684,0.257143,-0.663237,0.257143,-0.79628,0.257143,-0.580712,0.257143,All
-0.662875,0.264286,-0.392765,0.264286,-0.707459,0.264286,-0.655754,0.264286,-0.793864,0.264286,-0.576134,0.264286,All
-0.66245,0.271429,-0.371888,0.271429,-0.696216,0.271429,-0.647296,0.271429,-0.782278,0.271429,-0.529215,0.271429,All
-0.657771,0.278571,-0.318787,0.278571,-0.686317,0.278571,-0.618298,0.278571,-0.773791,0.278571,-0.527166,0.278571,All
-0.652873,0.285714,-0.297268,0.285714,-0.667917,0.285714,-0.613422,0.285714,-0.67471,0.285714,-0.525229,0.285714,All
-0.527645,0.292857,-0.281628,0.292857,-0.666328,0.292857,-0.61098,0.292857,-0.620558,0.292857,-0.50446,0.292857,All
-0.525629,0.3,-0.279013,0.3,-0.651532,0.3,-0.592339,0.3,-0.620196,0.3,-0.499807,0.3,All
-0.523416,0.307143,-0.274655,0.307143,-0.647912,0.307143,-0.56158,0.307143,-0.580374,0.307143,-0.499777,0.307143,All
-0.508762,0.314286,-0.244491,0.314286,-0.636831,0.314286,-0.542113,0.314286,-0.541942,0.314286,-0.494673,0.314286,All
-0.502234,0.321429,-0.192996,0.321429,-0.636522,0.321429,-0.541703,0.321429,-0.538511,0.321429,-0.465718,0.321429,All
-0.49558,0.328571,-0.185025,0.328571,-0.628211,0.328571,-0.517955,0.328571,-0.537324,0.328571,-0.439713,0.328571,All
-0.48647,0.335714,-0.184383,0.335714,-0.598105,0.335714,-0.464858,0.335714,-0.536726,0.335714,-0.406956,0.335714,All
-0.474526,0.342857,-0.142092,0.342857,-0.568082,0.342857,-0.462602,0.342857,-0.470565,0.342857,-0.404309,0.342857,All
-0.470324,0.35,-0.137192,0.35,-0.532213,0.35,-0.415158,0.35,-0.455993,0.35,-0.392634,0.35,All
-0.452094,0.357143,-0.135539,0.357143,-0.450544,0.357143,-0.412369,0.357143,-0.436457,0.357143,-0.37392,0.357143,All
-0.441332,0.364286,-0.107472,0.364286,-0.389978,0.364286,-0.393689,0.364286,-0.433809,0.364286,-0.362105,0.364286,All
-0.427243,0.371429,-0.0962849,0.371429,-0.371329,0.371429,-0.261108,0.371429,-0.430293,0.371429,-0.362077,0.371429,All
-0.41858,0.378571,-0.0731442,0.378571,-0.363117,0.378571,-0.246674,0.378571,-0.424077,0.378571,-0.354107,0.378571,All
-0.417933,0.385714,-0.0117483,0.385714,-0.358305,0.385714,-0.208247,0.385714,-0.396142,0.385714,-0.332752,0.385714,All
-0.413826,0.392857,-0.00536283,0.392857,-0.349771,0.392857,-0.206347,0.392857,-0.392191,0.392857,-0.326754,0.392857,All
-0.4135,0.4,-0.00478644,0.4,-0.299919,0.4,-0.201818,0.4,-0.349569,0.4,-0.304403,0.4,All
-0.394003,0.407143,0.0017374,0.407143,-0.29719,0.407143,-0.172839,0.407143,-0.346111,0.407143,-0.279029,0.407143,All
-0.389872,0.414286,0.0040492,0.414286,-0.284825,0.414286,-0.172678,0.414286,-0.333029,0.414286,-0.268149,0.414286,All
-0.380351,0.421429,0.0221638,0.421429,-0.263569,0.421429,-0.16255,0.421429,-0.297967,0.421429,-0.24761,0.421429,All
-0.357097,0.428571,0.023448,0.428571,-0.244723,0.428571,-0.162423,0.428571,-0.272984,0.428571,-0.235958,0.428571,All
-0.349205,0.435714,0.0389904,0.435714,-0.226941,0.435714,-0.142959,0.435714,-0.248493,0.435714,-0.20227,0.435714,All
-0.345232,0.442857,0.0531501,0.442857,-0.145267,0.442857,-0.133533,0.442857,-0.202069,0.442857,-0.131015,0.442857,All
-0.323369,0.45,0.0701364,0.45,-0.137606,0.45,-0.122869,0.45,-0.19537,0.45,-0.130584,0.45,All
-0.261787,0.457143,0.0718099,0.457143,-0.109605,0.457143,-0.111946,0.457143,-0.175345,0.457143,-0.0786335,0.457143,All
-0.257384,0.464286,0.0849023,0.464286,-0.0422669,0.464286,-0.110248,0.464286,-0.146641,0.464286,-0.057879,0.464286,All
-0.227338,0.471429,0.094257,0.471429,-0.0294829,0.471429,-0.100615,0.471429,-0.135236,0.471429,-0.0431699,0.471429,All
-0.221019,0.478571,0.09612,0.478571,-0.0111801,0.478571,-0.0803722,0.478571,-0.107338,0.478571,-0.0418493,0.478571,All
-0.176745,0.485714,0.0995253,0.485714,0.00758797,0.485714,-0.0659285,0.485714,-0.0936798,0.485714,-0.0366776,0.485714,All
-0.156889,0.492857,0.121203,0.492857,0.0099241,0.492857,-0.0630598,0.492857,-0.0919292,0.492857,-0.0301077,0.492857,All
-0.142676,0.5,0.145193,0.5,0.0289587,0.5,-0.0476107,0.5,-0.0840539,0.5,-0.0216738,0.5,All
-0.137769,0.507143,0.153687,0.507143,0.0348526,0.507143,-0.0359602,0.507143,-0.0440473,0.507143,-0.00473573,0.507143,All
-0.112802,0.514286,0.186556,0.514286,0.0379039,0.514286,0.00852046,0.514286,0.00835674,0.514286,0.0461212,0.514286,All
-0.0749657,0.521429,0.189562,0.521429,0.0399493,0.521429,0.0155121,0.521429,0.0457499,0.521429,0.056019,0.521429,All
-0.0569607,0.528571,0.190091,0.528571,0.0572199,0.528571,0.0179582,0.528571,0.054434,0.528571,0.0756629,0.528571,All
-0.0522068,0.535714,0.192535,0.535714,0.0709503,0.535714,0.0558472,0.535714,0.0595831,0.535714,0.107745,0.535714,All
-0.0360893,0.542857,0.23936,0.542857,0.10914,0.542857,0.0565089,0.542857,0.0762801,0.542857,0.108658,0.542857,All
-0.0262509,0.55,0.253125,0.55,0.117099,0.55,0.0580055,0.55,0.0767757,0.55,0.110683,0.55,All
-0.0132564,0.557143,0.261378,0.557143,0.193519,0.557143,0.0680719,0.557143,0.0872003,0.557143,0.123904,0.557143,All
-0.00576575,0.564286,0.271409,0.564286,0.232003,0.564286,0.0850084,0.564286,0.0881819,0.564286,0.127509,0.564286,All
0.00734735,0.571429,0.291167,0.571429,0.237033,0.571429,0.105627,0.571429,0.0999496,0.571429,0.131778,0.571429,All
0.0132689,0.578571,0.293313,0.578571,0.253993,0.578571,0.108516,0.578571,0.106391,0.578571,0.149574,0.578571,All
0.0305385,0.585714,0.303973,0.585714,0.267783,0.585714,0.111562,0.585714,0.108801,0.585714,0.149883,0.585714,All
0.0768801,0.592857,0.326982,0.592857,0.276498,0.592857,0.112177,0.592857,0.140843,0.592857,0.157396,0.592857,All
0.081444,0.6,0.351079,0.6,0.287218,0.6,0.141196,0.6,0.141694,0.6,0.158707,0.6,All
0.0825221,0.607143,0.355743,0.607143,0.303436,0.607143,0.147495,0.607143,0.151596,0.607143,0.167877,0.607143,All
0.106446,0.614286,0.374772,0.614286,0.31231,0.614286,0.150256,0.614286,0.227825,0.614286,0.197376,0.614286,All
0.137717,0.621429,0.417302,0.621429,0.345335,0.621429,0.190433,0.621429,0.244803,0.621429,0.222357,0.621429,All
0.155647,0.628571,0.419262,0.628571,0.348555,0.628571,0.196701,0.628571,0.253551,0.628571,0.224788,0.628571,All
0.176863,0.635714,0.419986,0.635714,0.376722,0.635714,0.219756,0.635714,0.257874,0.635714,0.251703,0.635714,All
0.181904,0.642857,0.428631,0.642857,0.409998,0.642857,0.250274,0.642857,0.267297,0.642857,0.254892,0.642857,All
0.215497,0.65,0.437877,0.65,0.413,0.65,0.259864,0.65,0.273383,0.65,0.286911,0.65,All
0.247779,0.657143,0.439755,0.657143,0.464945,0.657143,0.27059,0.657143,0.332132,0.657143,0.29995,0.657143,All
0.250065,0.664286,0.456758,0.664286,0.472234,0.664286,0.278303,0.664286,0.332927,0.664286,0.311556,0.664286,All
0.260815,0.671429,0.504093,0.671429,0.473785,0.671429,0.285568,0.671429,0.342472,0.671429,0.315439,0.671429,All
0.276235,0.678571,0.504922,0.678571,0.477218,0.678571,0.312519,0.678571,0.343774,0.678571,0.315932,0.678571,All
0.286785,0.685714,0.544882,0.685714,0.504965,0.685714,0.325089,0.685714,0.367764,0.685714,0.318923,0.685714,All
0.326887,0.692857,0.547366,0.692857,0.534989,0.692857,0.338589,0.692857,0.395121,0.692857,0.326285,0.692857,All
0.360278,0.7,0.568907,0.7,0.565032,0.7,0.342354,0.7,0.399295,0.7,0.35947,0.7,All
0.409913,0.707143,0.574621,0.707143,0.610171,0.707143,0.354613,0.707143,0.404713,0.707143,0.384522,0.707143,All
0.445884,0.714286,0.577843,0.714286,0.617107,0.714286,0.363278,0.714286,0.439167,0.714286,0.414703,0.714286,All
0.461022,0.721429,0.623063,0.721429,0.62195,0.721429,0.375384,0.721429,0.440987,0.721429,0.426729,0.721429,All
0.497276,0.728571,0.644937,0.728571,0.629751,0.728571,0.39746,0.728571,0.441972,0.728571,0.457787,0.728571,All
0.51271,0.735714,0.6484,0.735714,0.661527,0.735714,0.397956,0.735714,0.482954,0.735714,0.499599,0.735714,All
0.518488,0.742857,0.658235,0.742857,0.66588,0.742857,0.405602,0.742857,0.497532,0.742857,0.535654,0.742857,All
0.553986,0.75,0.686714,0.75,0.678037,0.75,0.425392,0.75,0.5048,0.75,0.582978,0.75,All
0.630783,0.757143,0.731727,0.757143,0.706598,0.757143,0.461994,0.757143,0.529861,0.757143,0.610455,0.757143,All
0.639238,0.764286,0.747743,0.764286,0.711964,0.764286,0.592079,0.764286,0.586009,0.764286,0.626973,0.764286,All
0.725902,0.771429,0.756433,0.771429,0.71562,0.771429,0.636396,0.771429,0.604121,0.771429,0.633401,0.771429,All
0.847743,0.778571,0.767107,0.778571,0.724995,0.778571,0.650974,0.778571,0.619546,0.778571,0.646789,0.778571,All
0.865639,0.785714,0.773745,0.785714,0.72708,0.785714,0.652816,0.785714,0.621129,0.785714,0.689719,0.785714,All
0.904021,0.792857,0.780949,0.792857,0.748994,0.792857,0.663363,0.792857,0.623726,0.792857,0.739172,0.792857,All
0.910456,0.8,0.782906,0.8,0.768595,0.8,0.692839,0.8,0.708775,0.8,0.741299,0.8,All
0.916581,0.807143,0.820794,0.807143,0.869877,0.807143,0.713231,0.807143,0.717426,0.807143,0.794556,0.807143,All
0.964821,0.814286,0.832081,0.814286,0.879473,0.814286,0.789077,0.814286,0.720211,0.814286,0.819776,0.814286,All
1.06452,0.821429,0.844761,0.821429,0.889056,0.821429,0.802624,0.821429,0.731853,0.821429,0.858003,0.821429,All
1.10504,0.828571,0.885006,0.828571,0.896474,0.828571,0.828637,0.828571,0.759083,0.828571,0.866923,0.828571,All
1.13946,0.835714,0.905616,0.835714,0.900456,0.835714,0.829568,0.835714,0.794516,0.835714,0.908442,0.835714,All
1.17797,0.842857,0.911696,0.842857,0.943516,0.842857,0.921495,0.842857,0.835386,0.842857,0.990729,0.842857,All
1.19714,0.85,0.914657,0.85,0.999952,0.85,0.9291,0.85,0.859235,0.85,1.00772,0.85,All
1.206,0.857143,0.974258,0.857143,1.06762,0.857143,0.934264,0.857143,0.882313,0.857143,1.01122,0.857143,All
1.22268,0.864286,0.993537,0.864286,1.08954,0.864286,0.96063,0.864286,0.981155,0.864286,1.01979,0.864286,All
1.27702,0.871429,1.00044,0.871429,1.0962,0.871429,0.978251,0.871429,1.01581,0.871429,1.06243,0.871429,All
1.28663,0.878571,1.00856,0.878571,1.11054,0.878571,1.00115,0.878571,1.0331,0.878571,1.07747,0.878571,All
1.38144,0.885714,1.01938,0.885714,1.11362,0.885714,1.06411,0.885714,1.08172,0.885714,1.07781,0.885714,All
1.43223,0.892857,1.08557,0.892857,1.14631,0.892857,1.12421,0.892857,1.12668,0.892857,1.19867,0.892857,All
1.51021,0.9,1.09047,0.9,1.17182,0.9,1.15851,0.9,1.1926,0.9,1.27087,0.9,All
1.55436,0.907143,1.10834,0.907143,1.20248,0.907143,1.18749,0.907143,1.19491,0.907143,1.29644,0.907143,All
1.571,0.914286,1.11818,0.914286,1.22121,0.914286,1.19449,0.914286,1.22289,0.914286,1.34227,0.914286,All
1.59415,0.921429,1.18056,0.921429,1.26103,0.921429,1.58834,0.921429,1.32894,0.921429,1.42623,0.921429,All
1.63266,0.928571,1.18884,0.928571,1.35126,0.928571,1.71958,0.928571,1.5057,0.928571,1.43298,0.928571,All
1.76417,0.935714,1.26944,0.935714,1.53887,0.935714,1.78875,0.935714,1.69238,0.935714,1.45089,0.935714,All
1.84143,0.942857,1.41673,0.942857,1.5413,0.942857,1.78996,0.942857,1.82243,0.942857,1.52404,0.942857,All
1.85427,0.95,1.42188,0.95,1.55504,0.95,1.92179,0.95,1.90357,0.95,1.59722,0.95,All
1.90342,0.957143,1.43409,0.957143,1.68646,0.957143,2.08783,0.957143,1.9179,0.957143,1.65247,0.957143,All
1.97666,0.964286,1.44551,0.964286,1.71986,0.964286,2.09576,0.964286,1.93889,0.964286,1.67119,0.964286,All
2.00658,0.971429,1.4598,0.971429,1.77712,0.971429,2.13569,0.971429,1.94498,0.971429,1.71474,0.971429,All
2.08078,0.978571,1.66549,0.978571,1.80203,0.978571,2.34668,0.978571,2.04155,0.978571,2.03446,0.978571,All
2.29267,0.985714,1.83275,0.985714,1.803,0.985714,2.5654,0.985714,2.17903,0.985714,2.08825,0.985714,All
2.40976,0.992857,1.83396,0.992857,1.90777,0.992857,2.61735,0.992857,2.17987,0.992857,2.10697,0.992857,All
2.44532,1,1.84626,1,1.97918,1,2.96384,1,2.75602,1,2.31458,1,All
4,1,4,1,4,1,4,1,4,1,4,1,All
