iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCRMLMIN,V1_pop,Q_pop,V2_pop,bias_pop,omega_Cl,omega_V1,omega_Q,omega_V2,bias_sd,corr_V2_V1,a1,a2
34,1331.94,1,5.38245,0.728971,25.6384,6.06577,32.918,0.00235318,0.643474,0.643474,1.4146,0.643474,1.81589,0.999,0.643474,0.643474
35,1319.97,1,5.33325,0.93129,27.5386,6.80924,35.4582,0.0044054,0.627181,0.627181,1.37878,0.627181,1.76991,0.999,0.627181,0.627181
36,1312.4,1,5.51786,0.558611,27.7209,5.44628,35.6956,0.00398227,0.6113,0.6113,1.34387,0.6113,1.74172,0.999,0.6113,0.6113
37,1288.31,1,5.63078,0.695124,26.4525,6.44944,34.1078,0.00493986,0.595821,0.595821,1.30984,0.595821,1.69762,0.999,0.595821,0.595821
38,1287.11,1,5.31447,0.813537,29.3398,6.73074,37.6851,0.00559517,0.580735,0.580735,1.27667,0.580735,1.90993,0.999,0.580735,0.580735
39,1276.91,1,5.25943,0.533971,26.0636,6.5818,33.371,0.003599,0.56603,0.56603,1.3107,0.56603,2.22676,0.999,0.56603,0.56603
40,1269.83,1,5.34035,0.670475,25.0607,8.39207,32.2739,0.00352515,0.551698,0.551698,1.27751,0.551698,2.17038,0.999,0.551698,0.551698
41,1256.71,1,5.42405,0.617789,25.6059,8.13709,32.8376,0.00234635,0.537729,0.537729,1.24517,0.537729,2.11543,0.999,0.537729,0.537729
42,1244.38,1,5.601,0.640577,25.9487,7.55179,33.1834,0.00356333,0.524113,0.524113,1.21364,0.524113,2.22345,0.999,0.524113,0.524113
43,1238.68,1,5.47694,0.537536,25.8365,7.3732,33.0573,0.00282383,0.510842,0.510842,1.18291,0.510842,2.16715,0.999,0.510842,0.510842
44,1219.37,1,5.57472,0.418636,24.7266,8.5026,31.6747,0.00249578,0.497908,0.497908,1.15296,0.497908,2.11228,0.999,0.497908,0.497908
45,1207.76,1,5.48025,0.611613,23.6409,7.16384,30.4278,0.00329748,0.4853,0.4853,1.12376,0.4853,2.09963,0.999,0.4853,0.4853
46,1192.66,1,5.46865,0.547566,22.9874,7.55961,29.5358,0.00321061,0.473012,0.473012,1.09531,0.473012,2.23755,0.999,0.473012,0.473012
47,1175.45,1,5.49586,0.441366,22.986,7.67918,29.4952,0.00403542,0.461035,0.461035,1.06757,0.461035,2.1809,0.999,0.461035,0.461035
48,1159.49,1,5.40845,0.410941,22.5188,7.01244,28.9256,0.003064,0.449362,0.449362,1.04054,0.449362,2.45142,0.999,0.449362,0.449362
49,1160.58,1,5.47222,0.395331,22.3434,7.1148,28.7549,0.00334453,0.437984,0.437984,1.0142,0.437984,2.62632,0.999,0.437984,0.437984
50,1166.59,1,5.30961,0.507846,23.8228,6.50037,30.6925,0.00526634,0.426894,0.426894,0.988515,0.426894,2.63296,0.999,0.426894,0.426894
51,1149.37,1,5.40618,0.334178,22.9764,6.2757,29.5864,0.0048434,0.416084,0.416084,0.963486,0.416084,2.5663,0.999,0.416084,0.416084
52,1130.65,1,5.40642,0.404391,23.2015,6.71081,29.8737,0.00581121,0.405549,0.405549,0.93909,0.405549,2.54737,0.999,0.405549,0.405549
53,1120.85,1,5.39538,0.276354,23.4939,7.26669,30.2776,0.00420056,0.39528,0.39528,0.915311,0.39528,2.80088,0.999,0.39528,0.39528
54,1103.67,1,5.454,0.313542,23.6838,6.79025,30.5607,0.00253712,0.385271,0.385271,0.892135,0.385271,3.27185,0.999,0.385271,0.385271
55,1096.22,1,5.59354,0.479386,24.0847,6.50664,31.1399,0.0010991,0.375516,0.375516,0.869546,0.375516,3.189,0.999,0.375516,0.375516
56,1102.81,1,5.51844,0.536537,24.8994,7.68595,32.0403,0.000702275,0.366008,0.366008,0.847528,0.366008,3.67051,0.999,0.366008,0.366008
57,1089.6,1,5.50533,0.4854,24.7575,7.42745,31.7598,0.000752486,0.35674,0.35674,0.826068,0.35674,3.57757,0.999,0.35674,0.35674
58,1075.35,1,5.62373,0.483007,24.7105,6.2879,31.7329,0.00073485,0.347707,0.347707,0.805152,0.347707,3.48698,0.999,0.347707,0.347707
59,1057,1,5.56682,0.485016,24.8776,6.69855,31.835,0.00126661,0.338903,0.338903,0.784765,0.338903,3.39869,0.999,0.338903,0.338903
60,1048.66,1,5.55271,0.3024,24.5887,6.29619,31.529,0.00184566,0.330322,0.330322,0.764894,0.330322,3.31263,0.999,0.330322,0.330322
61,1036.65,1,5.60988,0.380756,25.227,6.28794,32.3632,0.00304359,0.321958,0.321958,0.745527,0.321958,3.22876,0.999,0.321958,0.321958
62,1027.4,1,5.72034,0.528205,25.4778,6.18595,32.8078,0.00544708,0.313806,0.313806,0.72665,0.313806,3.147,0.999,0.313806,0.313806
63,1015.45,1,5.5899,0.453769,25.9768,5.65901,33.5089,0.00809969,0.30586,0.30586,0.70825,0.30586,3.06732,0.999,0.30586,0.30586
64,1002.89,1,5.6733,0.44486,26.2506,5.98158,33.7634,0.00788886,0.298116,0.298116,0.690317,0.298116,2.98965,0.999,0.298116,0.298116
65,998.49,1,5.67466,0.351229,26.1828,5.66617,33.6223,0.011847,0.290567,0.290567,0.672838,0.290567,2.91395,0.999,0.290567,0.290567
66,981.628,1,5.70686,0.378716,24.907,5.59761,31.9704,0.00939848,0.28321,0.28321,0.655801,0.28321,2.84017,0.999,0.28321,0.28321
67,976.584,1,5.7109,0.372765,25.0541,6.3348,32.1702,0.0126908,0.276039,0.276039,0.667241,0.276039,2.76825,0.999,0.276039,0.276039
68,967.975,1,5.64105,0.27637,25.0711,5.82349,32.1936,0.0102565,0.269049,0.269049,0.650346,0.269049,2.69816,0.999,0.269049,0.269049
69,958.83,1,5.73567,0.357643,24.9441,6.16896,32.1286,0.0178299,0.262237,0.262237,0.633879,0.262237,2.62984,0.999,0.262237,0.262237
70,954.195,1,5.65662,0.441065,25.0127,5.68782,32.2992,0.0098881,0.255597,0.255597,0.630448,0.255597,2.59256,0.999,0.255597,0.255597
71,937.138,1,5.61541,0.351753,24.4679,5.5489,31.6709,0.0120286,0.249125,0.249125,0.614484,0.249125,2.52692,0.999,0.249125,0.249125
72,932.185,1,5.68202,0.414509,24.1665,5.45732,31.2038,0.0134108,0.242817,0.242817,0.598925,0.242817,2.46294,0.999,0.242817,0.242817
73,910.723,1,5.68463,0.350429,23.829,6.11842,30.8315,0.018228,0.236669,0.236669,0.58376,0.236669,2.40057,0.999,0.236669,0.236669
74,905.567,1,5.72092,0.39529,24.2153,5.9647,31.3316,0.020039,0.230676,0.230676,0.568979,0.230676,2.33979,0.999,0.230676,0.230676
75,903.39,1,5.73561,0.402203,24.4895,6.59967,31.7127,0.016671,0.224835,0.224835,0.554572,0.224835,2.32092,0.999,0.224835,0.224835
76,888.859,1,5.7271,0.415267,24.5529,6.08822,31.7824,0.0134889,0.219142,0.219142,0.588133,0.219142,2.4874,0.999,0.219142,0.219142
77,884.055,1,5.78704,0.407003,24.5345,5.82207,31.8004,0.0149806,0.213594,0.213594,0.573241,0.213594,2.58484,0.999,0.213594,0.213594
78,882.522,1,5.74919,0.411395,24.555,5.86931,31.7932,0.0113943,0.210238,0.208185,0.558726,0.208185,2.70056,0.999,0.208185,0.208185
79,864.04,1,5.65669,0.463405,24.0361,6.139,31.0657,0.0139909,0.204914,0.202914,0.549998,0.202914,2.63218,0.999,0.202914,0.202914
80,870.568,1,5.65047,0.399453,23.9377,6.37519,30.9879,0.0111948,0.203833,0.197776,0.536071,0.197776,2.61404,0.999,0.197776,0.197776
81,861.341,1,5.67388,0.361137,24.1373,7.11765,31.1951,0.00939182,0.215337,0.192768,0.564275,0.192768,2.65697,0.999,0.192768,0.192768
82,853.912,1,5.75506,0.391952,24.7105,6.91388,31.9327,0.00903154,0.209884,0.187887,0.593941,0.187887,2.92132,0.999,0.187887,0.187887
83,854.049,1,5.73443,0.426511,24.7262,6.93142,31.9273,0.0102589,0.214273,0.18313,0.604575,0.18313,2.84735,0.999,0.18313,0.18313
84,843.309,1,5.72982,0.382581,24.5529,6.39907,31.7341,0.0146451,0.208848,0.192169,0.589267,0.19078,2.77525,0.999,0.178493,0.178493
85,842.917,1,5.73228,0.31854,24.5054,6.58509,31.6815,0.0202711,0.20668,0.190499,0.615706,0.188704,2.70498,0.999,0.173973,0.173973
86,837.795,1,5.70213,0.321322,24.7079,6.28358,31.9672,0.0192959,0.217599,0.193171,0.604774,0.189378,2.63649,0.999,0.169568,0.169568
87,835.597,1,5.70056,0.289748,24.6564,6.0738,31.8756,0.0158192,0.212089,0.189787,0.594557,0.186463,2.56973,0.999,0.166861,0.165275
88,828.013,1,5.64844,0.300136,24.5731,6.05973,31.767,0.0130236,0.206719,0.185291,0.642537,0.182197,2.50466,0.999,0.162636,0.16109
89,831.587,1,5.63715,0.323224,24.5854,6.19706,31.7723,0.0115527,0.201485,0.188138,0.652298,0.183329,2.68349,0.999,0.158518,0.157011
90,815.068,1,5.66168,0.34183,24.4212,5.84772,31.5616,0.0107654,0.199928,0.185974,0.635782,0.182485,2.61554,0.999,0.160924,0.153035
91,818.349,1,5.66286,0.370175,24.6393,6.10205,31.801,0.0123488,0.194865,0.18144,0.650669,0.177865,2.54931,0.999,0.166758,0.14916
92,811.003,1,5.65465,0.33142,24.3446,6.14055,31.4428,0.0110978,0.197799,0.176846,0.634243,0.173361,2.58815,0.999,0.163035,0.145384
93,808.251,1,5.68313,0.344775,24.3384,5.95952,31.412,0.0103855,0.194405,0.174156,0.61966,0.169523,2.65524,0.999,0.164197,0.141702
94,808.158,1,5.67701,0.385764,24.3037,6.01778,31.3899,0.0141643,0.189482,0.176449,0.672418,0.170444,2.6916,0.999,0.169882,0.138114
95,806.778,1,5.63771,0.370188,24.3503,6.03117,31.442,0.0078932,0.189932,0.172722,0.70251,0.166129,2.98878,0.999,0.167278,0.134617
96,792.52,1,5.67376,0.385598,24.4222,5.63256,31.523,0.0108473,0.185123,0.173077,0.684722,0.166788,2.9131,0.999,0.174268,0.131209
97,797.177,1,5.74249,0.402573,24.4539,5.58823,31.6036,0.012153,0.180436,0.175204,0.667385,0.169352,2.83934,0.999,0.186009,0.127886
98,806.294,1,5.72979,0.390747,24.2686,5.45887,31.3639,0.0106204,0.185926,0.174207,0.703251,0.167317,2.76744,0.999,0.186176,0.124648
99,804.144,1,5.73747,0.412546,24.2466,5.76341,31.2854,0.00899822,0.201543,0.170769,0.685445,0.163081,2.85271,0.999,0.181461,0.121492
100,807.65,1,5.7151,0.431573,24.3468,5.4406,31.4354,0.00765005,0.200985,0.181083,0.668089,0.172742,3.26352,0.999,0.191439,0.118416
101,802.164,1,5.73234,0.438042,24.3738,5.07616,31.5019,0.00659819,0.195896,0.182694,0.651172,0.173215,3.35787,0.999,0.197014,0.115417
102,801.033,1,5.72026,0.436122,24.3029,5.34424,31.4142,0.00768118,0.190936,0.178601,0.634684,0.170953,3.27285,0.999,0.199449,0.112495
103,797.416,1,5.72153,0.442096,23.824,5.80584,30.7815,0.00683688,0.186101,0.175996,0.618614,0.168021,3.18998,0.999,0.194398,0.109647
104,802.263,1,5.72678,0.424364,23.625,6.15247,30.5699,0.00917597,0.181389,0.173638,0.656937,0.167811,3.10921,0.999,0.197302,0.10687
105,796.561,1,5.75658,0.428436,23.4791,6.24559,30.4215,0.00881977,0.183542,0.16926,0.640303,0.163808,3.03048,0.999,0.20265,0.104164
106,801.927,1,5.73707,0.396488,23.6965,6.27597,30.6959,0.00850385,0.184652,0.168568,0.665049,0.161547,3.01778,0.999,0.204147,0.101527
107,792.091,1,5.79627,0.381069,24.1042,6.08206,31.1495,0.00563862,0.180245,0.173957,0.648209,0.16743,3.14519,0.999,0.205427,0.098956
108,787.472,1,5.77818,0.392831,24.3236,6.11921,31.4259,0.00524705,0.178378,0.172482,0.663505,0.166284,3.28927,0.999,0.202564,0.0964504
109,791.128,1,5.80586,0.41144,24.2429,6.11291,31.3506,0.00682154,0.175502,0.175691,0.658596,0.168447,3.20598,0.999,0.20961,0.0940082
110,779.802,1,5.82885,0.437535,23.9466,5.90243,30.9624,0.00711066,0.188354,0.171762,0.646819,0.164182,3.13696,0.999,0.204303,0.0916279
111,783.35,1,5.7879,0.427988,23.8699,6.28154,30.8816,0.00558919,0.183585,0.172942,0.646006,0.164899,3.18987,0.999,0.206812,0.0893078
112,775.737,1,5.82753,0.418935,23.8357,6.3009,30.7918,0.0072352,0.186085,0.169668,0.629649,0.161673,3.1091,0.999,0.213066,0.0870465
113,770.507,1,5.79817,0.417713,23.7635,6.51668,30.6935,0.00744145,0.191975,0.172354,0.635836,0.163621,3.03707,0.999,0.207671,0.0848424
114,765.768,1,5.81466,0.411794,23.6498,6.23501,30.5817,0.0100851,0.188723,0.169037,0.717569,0.160046,2.96017,0.999,0.213545,0.0826942
115,763.722,1,5.84565,0.466531,23.7154,6.27396,30.6393,0.0133868,0.183945,0.164757,0.71079,0.155993,2.88522,0.999,0.214184,0.0806003
116,764.267,1,5.81826,0.441908,23.7771,6.46114,30.6637,0.0112305,0.181408,0.161318,0.7429,0.153566,2.81216,0.999,0.209917,0.0789319
117,758.606,1,5.79115,0.465553,23.5573,6.44395,30.3751,0.0107702,0.177697,0.163034,0.791365,0.155527,2.74095,0.999,0.212808,0.0769333
118,758.71,1,5.7635,0.471229,23.5799,6.18005,30.3881,0.0103088,0.17866,0.163918,0.771327,0.155926,2.69365,0.999,0.214363,0.0764918
119,757.361,1,5.79098,0.444651,23.4834,6.03321,30.3047,0.0154889,0.174805,0.161113,0.7913,0.153362,2.62545,0.999,0.21686,0.074555
120,752.844,1,5.80657,0.475807,23.491,6.07556,30.3167,0.0135646,0.173293,0.160329,0.771264,0.154577,2.72035,0.999,0.21524,0.0733104
121,751.59,1,5.83179,0.460535,23.4961,6.12652,30.3037,0.0144661,0.177767,0.156935,0.751735,0.152109,2.65147,0.999,0.219756,0.0714541
122,743.347,1,5.75995,0.492909,23.4852,5.87705,30.2328,0.0102229,0.182345,0.157278,0.732701,0.152138,2.79876,0.999,0.218295,0.0698639
123,750.282,1,5.78738,0.507436,23.487,6.4015,30.2354,0.0104797,0.177728,0.159174,0.714148,0.152689,2.82327,0.999,0.22084,0.0706875
124,754.624,1,5.82184,0.504035,23.4501,6.40658,30.1664,0.00873689,0.181648,0.158977,0.719532,0.153079,3.21459,0.999,0.219356,0.0707846
125,756.523,1,5.8007,0.531242,23.4652,6.38933,30.2171,0.0090831,0.188828,0.158199,0.776209,0.152419,3.19266,0.999,0.215942,0.0711843
126,758.862,1,5.80799,0.487272,23.4503,6.36546,30.181,0.00931547,0.188135,0.161175,0.756555,0.155702,3.11182,0.999,0.218784,0.0717109
127,754.288,1,5.82668,0.447262,23.6417,5.98497,30.4148,0.00963948,0.195126,0.164356,0.738849,0.159048,3.03303,0.999,0.220628,0.0704271
128,748.376,1,5.81261,0.443656,23.6153,5.98012,30.4107,0.0155537,0.190185,0.164905,0.751147,0.159696,2.95623,0.999,0.222085,0.0693981
129,745.464,1,5.81181,0.467039,23.7044,6.1025,30.5311,0.0122981,0.185369,0.165774,0.732128,0.159698,2.88138,0.999,0.217317,0.070186
130,752.994,1,5.84889,0.458161,23.5913,6.25899,30.3946,0.0104046,0.187245,0.169352,0.71359,0.162466,2.82324,0.999,0.215655,0.0701966
131,746.524,1,5.8269,0.481028,23.401,6.34024,30.1874,0.0137117,0.182504,0.1673,0.738338,0.161445,2.75175,0.999,0.215388,0.069595
132,746.843,1,5.85093,0.47559,23.4942,6.26038,30.27,0.0110022,0.181365,0.166082,0.731062,0.160617,2.8992,0.999,0.218509,0.0680695
133,739.665,1,5.85237,0.479204,23.5724,6.2831,30.3735,0.0111107,0.183897,0.164579,0.736526,0.161268,2.84285,0.999,0.217993,0.0676459
134,745.913,1,5.82325,0.450707,23.4916,6.06664,30.2994,0.00966929,0.182774,0.162683,0.719593,0.160511,2.9257,0.999,0.214883,0.0695553
135,750.51,1,5.82366,0.465127,23.5679,5.87798,30.414,0.0100729,0.189829,0.161053,0.747262,0.158492,2.99022,0.999,0.216761,0.0697138
136,745.515,1,5.85611,0.455359,23.5708,6.51617,30.348,0.00973479,0.185022,0.162298,0.771833,0.160954,3.13903,0.999,0.217338,0.0679486
137,738.313,1,5.83051,0.460041,23.6108,6.19041,30.3867,0.00951567,0.180337,0.167315,0.75229,0.164624,3.05955,0.999,0.218274,0.0662281
138,745.831,1,5.82786,0.468254,23.8132,5.84751,30.6505,0.0106846,0.175771,0.168559,0.733241,0.164658,2.98208,0.999,0.215056,0.0687173
139,747.913,1,5.8531,0.463651,23.8056,6.13967,30.6275,0.0131978,0.175478,0.168381,0.714675,0.165648,2.96329,0.999,0.216223,0.0700831
140,746.423,1,5.90324,0.435863,23.7599,6.29796,30.5299,0.0117331,0.178275,0.167427,0.696579,0.164436,3.14556,0.999,0.218028,0.0683086
141,737.272,1,5.88577,0.416249,23.6677,6.28224,30.4572,0.0150474,0.176914,0.167439,0.693208,0.164853,3.06591,0.999,0.219158,0.066579
142,744.479,1,5.88776,0.433092,23.6247,6.21287,30.4352,0.0127727,0.178345,0.166594,0.679556,0.165317,2.98828,0.999,0.215031,0.0690766
143,741.324,1,5.90752,0.438015,23.5709,6.3602,30.3065,0.00898181,0.177009,0.166752,0.66235,0.165955,3.15367,0.999,0.220242,0.0673275
144,741.661,1,5.85641,0.449522,23.8311,6.24637,30.6887,0.0103636,0.180453,0.16253,0.645578,0.161753,3.07382,0.999,0.216464,0.0676994
145,735.311,1,5.852,0.438442,23.8884,6.0376,30.7173,0.0129062,0.181765,0.16037,0.629232,0.16028,2.99599,0.999,0.21985,0.0669767
146,747.329,1,5.82544,0.429275,23.8996,6.01858,30.7093,0.0116113,0.181919,0.15977,0.6133,0.160284,3.01843,0.999,0.21894,0.0700837
147,750.296,1,5.81745,0.415062,23.8253,5.92332,30.5608,0.00822497,0.187913,0.164119,0.649571,0.164859,3.27791,0.999,0.219562,0.0691051
148,755.704,1,5.8427,0.40824,23.9207,5.9507,30.7367,0.00815878,0.190671,0.165613,0.663098,0.165495,3.57536,0.999,0.218799,0.0686143
149,758.787,1,5.8853,0.418363,24.0003,6.05972,30.8388,0.00872069,0.188853,0.161419,0.66366,0.161304,3.48483,0.999,0.21721,0.0700525
150,745.296,1,5.84651,0.420121,24.0063,6.16233,30.8656,0.00668771,0.186991,0.159198,0.688897,0.159076,3.3966,0.999,0.217218,0.0682788
151,748.416,1,5.83813,0.419559,23.8379,6.34954,30.6209,0.00806913,0.186151,0.161805,0.726352,0.160111,3.31059,0.999,0.216302,0.0684777
152,744.014,1,5.85533,0.404644,23.8361,6.38764,30.6311,0.00640138,0.184884,0.165529,0.70796,0.164357,3.40468,0.999,0.214,0.0680563
153,737.184,1,5.85819,0.402747,23.8472,6.21424,30.6258,0.0103755,0.186593,0.165377,0.708249,0.164446,3.31847,0.999,0.213802,0.0676588
154,748.536,1,5.85968,0.441583,23.8227,6.08244,30.5876,0.00937276,0.190743,0.16246,0.690316,0.161878,3.23445,0.999,0.216359,0.0686058
155,758.271,1,5.87643,0.414936,23.7231,6.6279,30.4539,0.00750864,0.192181,0.164193,0.684499,0.162145,3.36199,0.999,0.216266,0.0712043
156,749.798,1,5.84,0.413098,23.7645,6.37822,30.4905,0.00897883,0.19786,0.165486,0.690971,0.161832,3.27686,0.999,0.214881,0.0706442
157,743.782,1,5.84101,0.451653,23.5892,6.3662,30.2962,0.00892934,0.19285,0.161295,0.774934,0.157734,3.19389,0.999,0.216014,0.0688555
158,745.394,1,5.86015,0.470368,23.5386,6.55269,30.221,0.00866627,0.194534,0.157211,0.785227,0.15374,3.21619,0.999,0.214165,0.0684933
159,738.886,1,5.83418,0.459701,23.5614,6.40933,30.2795,0.0115875,0.189608,0.153231,0.765345,0.149848,3.13476,0.999,0.214211,0.0694759
160,739.672,1,5.86276,0.421019,23.5197,6.20618,30.2538,0.00925578,0.188271,0.150436,0.761887,0.147471,3.13773,0.999,0.218447,0.0677168
161,733.152,1,5.84071,0.440598,23.4773,6.33559,30.2539,0.0129924,0.183848,0.151509,0.785011,0.14854,3.05828,0.999,0.219558,0.0662428
162,740.938,1,5.85615,0.454457,23.3611,6.44421,30.0649,0.0094135,0.186969,0.15411,0.772568,0.150399,3.23597,0.999,0.221398,0.065401
163,751.799,1,5.83032,0.452444,23.2768,5.87024,29.9615,0.00750091,0.198964,0.155496,0.774023,0.152435,3.18241,0.999,0.221683,0.0674453
164,741.441,1,5.83508,0.457874,23.3025,5.94909,30.0079,0.00844572,0.193926,0.15809,0.787466,0.15324,3.16487,0.999,0.223925,0.0657376
165,736.805,1,5.82868,0.46522,23.2825,6.13133,30.0083,0.00911138,0.190974,0.15681,0.783712,0.152384,3.08473,0.999,0.220742,0.0641439
166,729.451,1,5.7914,0.470549,23.3219,6.11622,30.0487,0.0096882,0.188466,0.156465,0.780063,0.151845,3.00663,0.999,0.216338,0.0646202
167,727.384,1,5.75548,0.454702,23.1917,6.00006,29.8585,0.0098745,0.189735,0.158038,0.780358,0.153711,2.9305,0.999,0.218536,0.0637339
168,743.937,1,5.73859,0.475825,23.2368,5.92492,29.8966,0.00964882,0.192281,0.159246,0.788341,0.15461,2.8563,0.999,0.219344,0.0665523
169,731.745,1,5.78835,0.469119,23.3073,5.92729,29.9968,0.00899077,0.194201,0.15676,0.76838,0.150695,2.78397,0.999,0.217563,0.0660456
170,748.052,1,5.75712,0.452807,23.2915,5.92428,29.9948,0.0093044,0.189284,0.155098,0.810666,0.148708,2.92905,0.999,0.220923,0.0677096
171,741.728,1,5.75385,0.435728,23.2386,6.21164,29.9167,0.0115759,0.185443,0.156525,0.84992,0.151068,3.05573,0.999,0.215329,0.0687625
172,740.188,1,5.79153,0.454625,23.1255,6.14282,29.7663,0.0145888,0.184959,0.152562,0.865872,0.147634,2.97836,0.999,0.223209,0.0670214
173,743.456,1,5.82014,0.443342,23.0807,6.12367,29.7343,0.0105221,0.190946,0.153393,0.90204,0.147382,3.00076,0.999,0.217557,0.0680903
174,753.31,1,5.80348,0.466521,23.0673,5.83875,29.6957,0.00905751,0.186592,0.153463,0.8792,0.147655,3.1092,0.999,0.22165,0.0680928
175,754.008,1,5.79651,0.469407,23.0822,6.2355,29.7043,0.0111129,0.18624,0.152067,0.861081,0.14621,3.03047,0.999,0.221484,0.0682612
