eta_Cl_vs_AGEA_abscissa,eta_Cl_vs_AGEA_spline,eta_Cl_vs_AGEA_regression,eta_Cl_vs_ALBGDL_abscissa,eta_Cl_vs_ALBGDL_spline,eta_Cl_vs_ALBGDL_regression,eta_Cl_vs_CLCRMLMIN_abscissa,eta_Cl_vs_CLCRMLMIN_spline,eta_Cl_vs_CLCRMLMIN_regression,eta_Cl_vs_HCM_abscissa,eta_Cl_vs_HCM_spline,eta_Cl_vs_HCM_regression,eta_Cl_vs_RAL_abscissa,eta_Cl_vs_RAL_spline,eta_Cl_vs_RAL_regression,eta_Cl_vs_SCRMGDL_abscissa,eta_Cl_vs_SCRMGDL_spline,eta_Cl_vs_SCRMGDL_regression,eta_Cl_vs_WTKG_abscissa,eta_Cl_vs_WTKG_spline,eta_Cl_vs_WTKG_regression,eta_Cl_vs_centeredAGEA_abscissa,eta_Cl_vs_centeredAGEA_spline,eta_Cl_vs_centeredAGEA_regression,eta_Cl_vs_centeredALBGDL_abscissa,eta_Cl_vs_centeredALBGDL_spline,eta_Cl_vs_centeredALBGDL_regression,eta_Cl_vs_centeredHCM_abscissa,eta_Cl_vs_centeredHCM_spline,eta_Cl_vs_centeredHCM_regression,eta_Cl_vs_centeredSCR_abscissa,eta_Cl_vs_centeredSCR_spline,eta_Cl_vs_centeredSCR_regression,eta_Cl_vs_centeredWT_abscissa,eta_Cl_vs_centeredWT_spline,eta_Cl_vs_centeredWT_regression,eta_Cl_vs_logtCLCR_abscissa,eta_Cl_vs_logtCLCR_spline,eta_Cl_vs_logtCLCR_regression,eta_Q_vs_AGEA_abscissa,eta_Q_vs_AGEA_spline,eta_Q_vs_AGEA_regression,eta_Q_vs_ALBGDL_abscissa,eta_Q_vs_ALBGDL_spline,eta_Q_vs_ALBGDL_regression,eta_Q_vs_CLCRMLMIN_abscissa,eta_Q_vs_CLCRMLMIN_spline,eta_Q_vs_CLCRMLMIN_regression,eta_Q_vs_HCM_abscissa,eta_Q_vs_HCM_spline,eta_Q_vs_HCM_regression,eta_Q_vs_RAL_abscissa,eta_Q_vs_RAL_spline,eta_Q_vs_RAL_regression,eta_Q_vs_SCRMGDL_abscissa,eta_Q_vs_SCRMGDL_spline,eta_Q_vs_SCRMGDL_regression,eta_Q_vs_WTKG_abscissa,eta_Q_vs_WTKG_spline,eta_Q_vs_WTKG_regression,eta_Q_vs_centeredAGEA_abscissa,eta_Q_vs_centeredAGEA_spline,eta_Q_vs_centeredAGEA_regression,eta_Q_vs_centeredALBGDL_abscissa,eta_Q_vs_centeredALBGDL_spline,eta_Q_vs_centeredALBGDL_regression,eta_Q_vs_centeredHCM_abscissa,eta_Q_vs_centeredHCM_spline,eta_Q_vs_centeredHCM_regression,eta_Q_vs_centeredSCR_abscissa,eta_Q_vs_centeredSCR_spline,eta_Q_vs_centeredSCR_regression,eta_Q_vs_centeredWT_abscissa,eta_Q_vs_centeredWT_spline,eta_Q_vs_centeredWT_regression,eta_Q_vs_logtCLCR_abscissa,eta_Q_vs_logtCLCR_spline,eta_Q_vs_logtCLCR_regression,eta_V1_vs_AGEA_abscissa,eta_V1_vs_AGEA_spline,eta_V1_vs_AGEA_regression,eta_V1_vs_ALBGDL_abscissa,eta_V1_vs_ALBGDL_spline,eta_V1_vs_ALBGDL_regression,eta_V1_vs_CLCRMLMIN_abscissa,eta_V1_vs_CLCRMLMIN_spline,eta_V1_vs_CLCRMLMIN_regression,eta_V1_vs_HCM_abscissa,eta_V1_vs_HCM_spline,eta_V1_vs_HCM_regression,eta_V1_vs_RAL_abscissa,eta_V1_vs_RAL_spline,eta_V1_vs_RAL_regression,eta_V1_vs_SCRMGDL_abscissa,eta_V1_vs_SCRMGDL_spline,eta_V1_vs_SCRMGDL_regression,eta_V1_vs_WTKG_abscissa,eta_V1_vs_WTKG_spline,eta_V1_vs_WTKG_regression,eta_V1_vs_centeredAGEA_abscissa,eta_V1_vs_centeredAGEA_spline,eta_V1_vs_centeredAGEA_regression,eta_V1_vs_centeredALBGDL_abscissa,eta_V1_vs_centeredALBGDL_spline,eta_V1_vs_centeredALBGDL_regression,eta_V1_vs_centeredHCM_abscissa,eta_V1_vs_centeredHCM_spline,eta_V1_vs_centeredHCM_regression,eta_V1_vs_centeredSCR_abscissa,eta_V1_vs_centeredSCR_spline,eta_V1_vs_centeredSCR_regression,eta_V1_vs_centeredWT_abscissa,eta_V1_vs_centeredWT_spline,eta_V1_vs_centeredWT_regression,eta_V1_vs_logtCLCR_abscissa,eta_V1_vs_logtCLCR_spline,eta_V1_vs_logtCLCR_regression,split
25.9596,-0.0116815,0.0337986,2.4697,-0.00703396,-0.0276593,107.672,-0.00287714,0.00336053,154.929,-0.115213,-0.109166,820.404,0.00863085,-0.00079345,0.413434,-0.0279365,-0.0261545,55.2323,-0.0929675,-0.0765597,0.558271,-0.0116815,0.0337986,0.795394,-0.00703396,-0.0276593,0.944691,-0.115213,-0.109166,0.712818,-0.0279365,-0.0261545,0.920539,-0.0929675,-0.0765597,-0.270293,-0.023316,-0.00600009,25.9596,-0.606622,-0.541757,2.4697,0.0496794,0.00457548,107.672,-0.00649533,0.0321752,154.929,0.00018953,0.0321285,820.404,-0.135711,-0.0708733,0.413434,0.0244038,0.0710931,55.2323,-0.0977379,-0.0395529,0.558271,-0.606622,-0.541757,0.795394,0.0496794,0.00457548,0.944691,0.00018953,0.0321285,0.712818,0.0244038,0.0710931,0.920539,-0.0977379,-0.0395529,-0.270293,0.0317153,0.0547799,25.9596,-0.056645,-0.0159473,2.4697,0.0937292,0.0581122,107.672,-0.0128613,0.00566225,154.929,-0.0943458,-0.0768373,820.404,-0.0052852,-0.00101794,0.413434,-0.00253806,0.015684,55.2323,-0.0399951,-0.0266424,0.558271,-0.056645,-0.0159473,0.795394,0.0937292,0.0581122,0.944691,-0.0943458,-0.0768373,0.712818,-0.00253806,0.015684,0.920539,-0.0399951,-0.0266424,-0.270293,-0.0384553,-0.00583307,All
26.5556,-0.0126153,0.0326538,2.48667,-0.00522703,-0.0269614,108.689,0.00424118,0.00324221,155.222,-0.120797,-0.105612,884.444,0.0129674,-0.000799542,0.417778,-0.0282751,-0.0255032,55.5556,-0.0862389,-0.0729817,0.571087,-0.0126153,0.0326538,0.800859,-0.00522703,-0.0269614,0.946477,-0.120797,-0.105612,0.720307,-0.0282751,-0.0255032,0.925926,-0.0862389,-0.0729817,-0.263127,-0.0116081,-0.00587348,26.5556,-0.597052,-0.524973,2.48667,0.0412262,0.00357947,108.689,-0.0234279,0.030327,155.222,0.00516999,0.0299693,884.444,-0.160044,-0.0672064,0.417778,0.0154969,0.0683958,55.5556,-0.0971456,-0.0392752,0.571087,-0.597052,-0.524973,0.800859,0.0412262,0.00357947,0.946477,0.00516999,0.0299693,0.720307,0.0154969,0.0683958,0.925926,-0.0971456,-0.0392752,-0.263127,-0.000211369,0.0526031,26.5556,-0.0545139,-0.0151062,2.48667,0.0893827,0.0568468,108.689,-0.0062216,0.00577034,155.222,-0.0963671,-0.0740041,884.444,-0.00642877,2.03028e-05,0.417778,-0.000562745,0.0155251,55.5556,-0.0387055,-0.0249336,0.571087,-0.0545139,-0.0151062,0.800859,0.0893827,0.0568468,0.946477,-0.0963671,-0.0740041,0.720307,-0.000562745,0.0155251,0.925926,-0.0387055,-0.0249336,-0.263127,-0.0304569,-0.00545542,All
27.1515,-0.0135491,0.031509,2.50364,-0.0040297,-0.0262635,109.706,0.0100691,0.00312389,155.515,-0.124549,-0.102058,948.485,0.0170001,-0.000805634,0.422121,-0.0284057,-0.0248518,55.8788,-0.0795102,-0.0694038,0.583904,-0.0135491,0.031509,0.806324,-0.0040297,-0.0262635,0.948263,-0.124549,-0.102058,0.727795,-0.0284057,-0.0248518,0.931313,-0.0795102,-0.0694038,-0.255961,9.9855e-05,-0.00574688,27.1515,-0.587481,-0.508189,2.50364,0.0337707,0.00258345,109.706,-0.0367266,0.0284788,155.515,0.00921529,0.0278102,948.485,-0.182316,-0.0635394,0.422121,0.00841494,0.0656984,55.8788,-0.0965533,-0.0389975,0.583904,-0.587481,-0.508189,0.806324,0.0337707,0.00258345,0.948263,0.00921529,0.0278102,0.727795,0.00841494,0.0656984,0.931313,-0.0965533,-0.0389975,-0.255961,-0.0321381,0.0504264,27.1515,-0.0523828,-0.0142651,2.50364,0.0851619,0.0555814,109.706,-0.000511054,0.00587843,155.515,-0.0972216,-0.0711709,948.485,-0.0074313,0.00105855,0.422121,0.00128687,0.0153662,55.8788,-0.037416,-0.0232247,0.583904,-0.0523828,-0.0142651,0.806324,0.0851619,0.0555814,0.948263,-0.0972216,-0.0711709,0.727795,0.00128687,0.0153662,0.931313,-0.037416,-0.0232247,-0.255961,-0.0224586,-0.00507777,All
27.7475,-0.014483,0.0303642,2.52061,-0.00350168,-0.0255656,110.723,0.0158969,0.00300558,155.808,-0.128301,-0.0985047,1012.53,0.0206538,-0.000811726,0.426465,-0.0283183,-0.0242005,56.202,-0.0727815,-0.0658258,0.59672,-0.014483,0.0303642,0.811789,-0.00350168,-0.0255656,0.950049,-0.128301,-0.0985047,0.735284,-0.0283183,-0.0242005,0.9367,-0.0727815,-0.0658258,-0.248795,0.0118078,-0.00562027,27.7475,-0.577911,-0.491405,2.52061,0.0277057,0.00158743,110.723,-0.0500252,0.0266306,155.808,0.0132606,0.0256511,1012.53,-0.20202,-0.0598724,0.426465,0.00324465,0.0630011,56.202,-0.095961,-0.0387198,0.59672,-0.577911,-0.491405,0.811789,0.0277057,0.00158743,0.950049,0.0132606,0.0256511,0.735284,0.00324465,0.0630011,0.9367,-0.095961,-0.0387198,-0.248795,-0.0640648,0.0482496,27.7475,-0.0502517,-0.013424,2.52061,0.0812282,0.054316,110.723,0.0051995,0.00598652,155.808,-0.098076,-0.0683376,1012.53,-0.00825768,0.00209679,0.426465,0.00300481,0.0152074,56.202,-0.0361265,-0.0215159,0.59672,-0.0502517,-0.013424,0.811789,0.0812282,0.054316,0.950049,-0.098076,-0.0683376,0.735284,0.00300481,0.0152074,0.9367,-0.0361265,-0.0215159,-0.248795,-0.0144603,-0.00470012,All
28.3434,-0.0154168,0.0292195,2.53758,-0.00337525,-0.0248676,111.74,0.0217248,0.00288726,156.101,-0.132052,-0.094951,1076.57,0.0238959,-0.000817819,0.430808,-0.0282309,-0.0235492,56.5253,-0.0660528,-0.0622478,0.609536,-0.0154168,0.0292195,0.817255,-0.00337525,-0.0248676,0.951835,-0.132052,-0.094951,0.742773,-0.0282309,-0.0235492,0.942088,-0.0660528,-0.0622478,-0.241629,0.0235157,-0.00549367,28.3434,-0.568341,-0.47462,2.53758,0.0224749,0.000591416,111.74,-0.0633239,0.0247824,156.101,0.0173059,0.0234919,1076.57,-0.218938,-0.0562054,0.430808,-0.00192564,0.0603038,56.5253,-0.0953686,-0.0384421,0.609536,-0.568341,-0.47462,0.817255,0.0224749,0.000591416,0.951835,0.0173059,0.0234919,0.742773,-0.00192564,0.0603038,0.942088,-0.0953686,-0.0384421,-0.241629,-0.0959915,0.0460728,28.3434,-0.0481206,-0.0125829,2.53758,0.0774668,0.0530506,111.74,0.01091,0.00609461,156.101,-0.0989304,-0.0655044,1076.57,-0.00889256,0.00313504,0.430808,0.00472274,0.0150485,56.5253,-0.0348369,-0.0198071,0.609536,-0.0481206,-0.0125829,0.817255,0.0774668,0.0530506,0.951835,-0.0989304,-0.0655044,0.742773,0.00472274,0.0150485,0.942088,-0.0348369,-0.0198071,-0.241629,-0.00646192,-0.00432247,All
28.9394,-0.0163506,0.0280747,2.55455,-0.00324882,-0.0241697,112.758,0.0275527,0.00276894,156.394,-0.135804,-0.0913972,1140.61,0.0268652,-0.000823911,0.435152,-0.0281435,-0.0228978,56.8485,-0.0593241,-0.0586699,0.622353,-0.0163506,0.0280747,0.82272,-0.00324882,-0.0241697,0.953622,-0.135804,-0.0913972,0.750261,-0.0281435,-0.0228978,0.947475,-0.0593241,-0.0586699,-0.234463,0.0288973,-0.00536706,28.9394,-0.55877,-0.457836,2.55455,0.0172442,-0.000404601,112.758,-0.0766225,0.0229342,156.394,0.0213512,0.0213328,1140.61,-0.234011,-0.0525384,0.435152,-0.00709593,0.0576065,56.8485,-0.0947763,-0.0381644,0.622353,-0.55877,-0.457836,0.82272,0.0172442,-0.000404601,0.953622,0.0213512,0.0213328,0.750261,-0.00709593,0.0576065,0.947475,-0.0947763,-0.0381644,-0.234463,-0.108659,0.0438961,28.9394,-0.0459894,-0.0117418,2.55455,0.0737054,0.0517852,112.758,0.0166206,0.00620269,156.394,-0.0997849,-0.0626712,1140.61,-0.00940027,0.00417328,0.435152,0.00644067,0.0148897,56.8485,-0.0335474,-0.0180983,0.622353,-0.0459894,-0.0117418,0.82272,0.0737054,0.0517852,0.953622,-0.0997849,-0.0626712,0.750261,0.00644067,0.0148897,0.947475,-0.0335474,-0.0180983,-0.234463,-0.00168101,-0.00394482,All
29.5354,-0.0172844,0.0269299,2.57152,-0.00312238,-0.0234718,113.775,0.0333806,0.00265062,156.687,-0.139556,-0.0878435,1204.65,0.0294506,-0.000830003,0.439495,-0.028056,-0.0222465,57.1717,-0.0528108,-0.0550919,0.635169,-0.0172844,0.0269299,0.828185,-0.00312238,-0.0234718,0.955408,-0.139556,-0.0878435,0.75775,-0.028056,-0.0222465,0.952862,-0.0528108,-0.0550919,-0.227297,0.033217,-0.00524046,29.5354,-0.5492,-0.441052,2.57152,0.0120134,-0.00140062,113.775,-0.0899212,0.0210861,156.687,0.0253965,0.0191737,1204.65,-0.246487,-0.0488714,0.439495,-0.0122662,0.0549091,57.1717,-0.0918984,-0.0378867,0.635169,-0.5492,-0.441052,0.828185,0.0120134,-0.00140062,0.955408,0.0253965,0.0191737,0.75775,-0.0122662,0.0549091,0.952862,-0.0918984,-0.0378867,-0.227297,-0.118094,0.0417193,29.5354,-0.0438583,-0.0109007,2.57152,0.069944,0.0505198,113.775,0.0223311,0.00631078,156.687,-0.100639,-0.0598379,1204.65,-0.00972891,0.00521153,0.439495,0.00815861,0.0147308,57.1717,-0.0315953,-0.0163895,0.635169,-0.0438583,-0.0109007,0.828185,0.069944,0.0505198,0.955408,-0.100639,-0.0598379,0.75775,0.00815861,0.0147308,0.952862,-0.0315953,-0.0163895,-0.227297,0.0025599,-0.00356717,All
30.1313,-0.0182182,0.0257851,2.58848,-0.00299595,-0.0227739,114.792,0.0392084,0.0025323,156.98,-0.143308,-0.0842897,1268.69,0.0319263,-0.000836096,0.443838,-0.0279686,-0.0215952,57.4949,-0.0464874,-0.0515139,0.647985,-0.0182182,0.0257851,0.833651,-0.00299595,-0.0227739,0.957194,-0.143308,-0.0842897,0.765239,-0.0279686,-0.0215952,0.958249,-0.0464874,-0.0515139,-0.220131,0.0375368,-0.00511385,30.1313,-0.539629,-0.424267,2.58848,0.00678269,-0.00239663,114.792,-0.10322,0.0192379,156.98,0.0294418,0.0170145,1268.69,-0.258223,-0.0452044,0.443838,-0.0174365,0.0522118,57.4949,-0.0870038,-0.037609,0.647985,-0.539629,-0.424267,0.833651,0.00678269,-0.00239663,0.957194,0.0294418,0.0170145,0.765239,-0.0174365,0.0522118,0.958249,-0.0870038,-0.037609,-0.220131,-0.127529,0.0395426,30.1313,-0.0417272,-0.0100596,2.58848,0.0661826,0.0492544,114.792,0.0280417,0.00641887,156.98,-0.101494,-0.0570047,1268.69,-0.0100063,0.00624977,0.443838,0.00987654,0.0145719,57.4949,-0.0290587,-0.0146807,0.647985,-0.0417272,-0.0100596,0.833651,0.0661826,0.0492544,0.957194,-0.101494,-0.0570047,0.765239,0.00987654,0.0145719,0.958249,-0.0290587,-0.0146807,-0.220131,0.0068008,-0.00318952,All
30.7273,-0.019152,0.0246403,2.60545,-0.00286952,-0.022076,115.809,0.0450363,0.00241398,157.273,-0.141615,-0.080736,1332.73,0.0337038,-0.000842188,0.448182,-0.0278812,-0.0209438,57.8182,-0.040164,-0.0479359,0.660802,-0.019152,0.0246403,0.839116,-0.00286952,-0.022076,0.95898,-0.141615,-0.080736,0.772727,-0.0278812,-0.0209438,0.963636,-0.040164,-0.0479359,-0.212965,0.0418565,-0.00498725,30.7273,-0.530059,-0.407483,2.60545,0.00155194,-0.00339265,115.809,-0.116518,0.0173897,157.273,0.0305377,0.0148554,1332.73,-0.265246,-0.0415375,0.448182,-0.0226068,0.0495145,57.8182,-0.0821091,-0.0373313,0.660802,-0.530059,-0.407483,0.839116,0.00155194,-0.00339265,0.95898,0.0305377,0.0148554,0.772727,-0.0226068,0.0495145,0.963636,-0.0821091,-0.0373313,-0.212965,-0.136964,0.0373658,30.7273,-0.0395961,-0.00921855,2.60545,0.0624212,0.047989,115.809,0.0337522,0.00652696,157.273,-0.0989474,-0.0541714,1332.73,-0.00995704,0.00728802,0.448182,0.0115945,0.0144131,57.8182,-0.026522,-0.0129719,0.660802,-0.0395961,-0.00921855,0.839116,0.0624212,0.047989,0.95898,-0.0989474,-0.0541714,0.772727,0.0115945,0.0144131,0.963636,-0.026522,-0.0129719,-0.212965,0.0110417,-0.00281186,All
31.3232,-0.0200858,0.0234956,2.62242,-0.00274309,-0.021378,116.826,0.0508642,0.00229566,157.566,-0.13952,-0.0771822,1396.77,0.0354812,-0.00084828,0.452525,-0.0277938,-0.0202925,58.1414,-0.0338407,-0.044358,0.673618,-0.0200858,0.0234956,0.844581,-0.00274309,-0.021378,0.960766,-0.13952,-0.0771822,0.780216,-0.0277938,-0.0202925,0.969024,-0.0338407,-0.044358,-0.2058,0.0461763,-0.00486064,31.3232,-0.520489,-0.390699,2.62242,-0.00367881,-0.00438867,116.826,-0.129817,0.0155415,157.566,0.0314152,0.0126963,1396.77,-0.272269,-0.0378705,0.452525,-0.0277771,0.0468171,58.1414,-0.0772145,-0.0370536,0.673618,-0.520489,-0.390699,0.844581,-0.00367881,-0.00438867,0.960766,0.0314152,0.0126963,0.780216,-0.0277771,0.0468171,0.969024,-0.0772145,-0.0370536,-0.2058,-0.146399,0.035189,31.3232,-0.037465,-0.00837746,2.62242,0.0586599,0.0467236,116.826,0.0394628,0.00663505,157.566,-0.096149,-0.0513382,1396.77,-0.00990778,0.00832627,0.452525,0.0133124,0.0142542,58.1414,-0.0239854,-0.011263,0.673618,-0.037465,-0.00837746,0.844581,0.0586599,0.0467236,0.960766,-0.096149,-0.0513382,0.780216,0.0133124,0.0142542,0.969024,-0.0239854,-0.011263,-0.2058,0.0152826,-0.00243421,All
31.9192,-0.0210196,0.0223508,2.63939,-0.00261666,-0.0206801,117.843,0.0566921,0.00217734,157.859,-0.137424,-0.0736285,1460.81,0.0372586,-0.000854373,0.456869,-0.0277064,-0.0196412,58.4646,-0.0275173,-0.04078,0.686434,-0.0210196,0.0223508,0.850046,-0.00261666,-0.0206801,0.962552,-0.137424,-0.0736285,0.787705,-0.0277064,-0.0196412,0.974411,-0.0275173,-0.04078,-0.198634,0.050496,-0.00473404,31.9192,-0.510918,-0.373915,2.63939,-0.00890956,-0.00538468,117.843,-0.143116,0.0136933,157.859,0.0322926,0.0105372,1460.81,-0.279292,-0.0342035,0.456869,-0.0329474,0.0441198,58.4646,-0.0723198,-0.0367759,0.686434,-0.510918,-0.373915,0.850046,-0.00890956,-0.00538468,0.962552,0.0322926,0.0105372,0.787705,-0.0329474,0.0441198,0.974411,-0.0723198,-0.0367759,-0.198634,-0.155834,0.0330123,31.9192,-0.0353339,-0.00753637,2.63939,0.0548985,0.0454582,117.843,0.0451733,0.00674314,157.859,-0.0933507,-0.048505,1460.81,-0.00985852,0.00936451,0.456869,0.0150303,0.0140954,58.4646,-0.0214487,-0.00955423,0.686434,-0.0353339,-0.00753637,0.850046,0.0548985,0.0454582,0.962552,-0.0933507,-0.048505,0.787705,0.0150303,0.0140954,0.974411,-0.0214487,-0.00955423,-0.198634,0.0195235,-0.00205656,All
32.5152,-0.0219534,0.021206,2.65636,-0.00249022,-0.0199822,118.861,0.06252,0.00205903,158.152,-0.135329,-0.0700747,1524.85,0.0359231,-0.000860465,0.461212,-0.0274658,-0.0189898,58.7879,-0.0211939,-0.037202,0.699251,-0.0219534,0.021206,0.855512,-0.00249022,-0.0199822,0.964339,-0.135329,-0.0700747,0.795193,-0.0274658,-0.0189898,0.979798,-0.0211939,-0.037202,-0.191468,0.0548157,-0.00460743,32.5152,-0.501348,-0.35713,2.65636,-0.0141403,-0.0063807,118.861,-0.156414,0.0118451,158.152,0.0331701,0.00837803,1524.85,-0.265826,-0.0305365,0.461212,-0.0368218,0.0414225,58.7879,-0.0674252,-0.0364982,0.699251,-0.501348,-0.35713,0.855512,-0.0141403,-0.0063807,0.964339,0.0331701,0.00837803,0.795193,-0.0368218,0.0414225,0.979798,-0.0674252,-0.0364982,-0.191468,-0.165269,0.0308355,32.5152,-0.0332028,-0.00669528,2.65636,0.0511371,0.0441928,118.861,0.0508839,0.00685123,158.152,-0.0905524,-0.0456717,1524.85,-0.00829335,0.0104028,0.461212,0.016626,0.0139365,58.7879,-0.0189121,-0.00784542,0.699251,-0.0332028,-0.00669528,0.855512,0.0511371,0.0441928,0.964339,-0.0905524,-0.0456717,0.795193,0.016626,0.0139365,0.979798,-0.0189121,-0.00784542,-0.191468,0.0237644,-0.00167891,All
33.1111,-0.0224342,0.0200612,2.67333,-0.00236379,-0.0192843,119.878,0.0680278,0.00194071,158.444,-0.133233,-0.0665209,1588.89,0.034066,-0.000866557,0.465556,-0.0268293,-0.0183385,59.1111,-0.0148706,-0.033624,0.712067,-0.0224342,0.0200612,0.860977,-0.00236379,-0.0192843,0.966125,-0.133233,-0.0665209,0.802682,-0.0268293,-0.0183385,0.985185,-0.0148706,-0.033624,-0.184302,0.0591355,-0.00448083,33.1111,-0.490284,-0.340346,2.67333,-0.0193711,-0.00737672,119.878,-0.168839,0.00999691,158.444,0.0340476,0.0062189,1588.89,-0.248926,-0.0268695,0.465556,-0.0373485,0.0387251,59.1111,-0.0625306,-0.0362205,0.712067,-0.490284,-0.340346,0.860977,-0.0193711,-0.00737672,0.966125,0.0340476,0.0062189,0.802682,-0.0373485,0.0387251,0.985185,-0.0625306,-0.0362205,-0.184302,-0.174703,0.0286587,33.1111,-0.0307904,-0.00585419,2.67333,0.0473757,0.0429274,119.878,0.0563573,0.00695932,158.444,-0.0877541,-0.0428385,1588.89,-0.00647413,0.011441,0.465556,0.0179059,0.0137776,59.1111,-0.0163754,-0.0061366,0.712067,-0.0307904,-0.00585419,0.860977,0.0473757,0.0429274,0.966125,-0.0877541,-0.0428385,0.802682,0.0179059,0.0137776,0.985185,-0.0163754,-0.0061366,-0.184302,0.0280053,-0.00130126,All
33.7071,-0.0209383,0.0189164,2.6903,-0.00223736,-0.0185864,120.895,0.0696702,0.00182239,158.737,-0.131137,-0.0629672,1652.93,0.0322089,-0.00087265,0.469899,-0.0261929,-0.0176872,59.4343,-0.00854718,-0.0300461,0.724883,-0.0209383,0.0189164,0.866442,-0.00223736,-0.0185864,0.967911,-0.131137,-0.0629672,0.810171,-0.0261929,-0.0176872,0.990572,-0.00854718,-0.0300461,-0.177136,0.0634552,-0.00435422,33.7071,-0.472706,-0.323562,2.6903,-0.0246018,-0.00837273,120.895,-0.170702,0.00814872,158.737,0.034925,0.00405977,1652.93,-0.232026,-0.0232025,0.469899,-0.0378752,0.0360278,59.4343,-0.0576359,-0.0359428,0.724883,-0.472706,-0.323562,0.866442,-0.0246018,-0.00837273,0.967911,0.034925,0.00405977,0.810171,-0.0378752,0.0360278,0.990572,-0.0576359,-0.0359428,-0.177136,-0.184138,0.026482,33.7071,-0.0271507,-0.0050131,2.6903,0.0436143,0.041662,120.895,0.0589667,0.0070674,158.737,-0.0849557,-0.0400053,1652.93,-0.00465491,0.0124792,0.469899,0.0191858,0.0136188,59.4343,-0.0138388,-0.00442779,0.724883,-0.0271507,-0.0050131,0.866442,0.0436143,0.041662,0.967911,-0.0849557,-0.0400053,0.810171,0.0191858,0.0136188,0.990572,-0.0138388,-0.00442779,-0.177136,0.0322462,-0.000923609,All
34.303,-0.0194423,0.0177717,2.70727,-0.00211093,-0.0178884,121.912,0.0713127,0.00170407,159.03,-0.129042,-0.0594134,1716.97,0.0303517,-0.000878742,0.474242,-0.0255564,-0.0170358,59.7576,-0.00222381,-0.0264681,0.7377,-0.0194423,0.0177717,0.871907,-0.00211093,-0.0178884,0.969697,-0.129042,-0.0594134,0.817659,-0.0255564,-0.0170358,0.99596,-0.00222381,-0.0264681,-0.16997,0.067775,-0.00422762,34.303,-0.455128,-0.306777,2.70727,-0.0298326,-0.00936875,121.912,-0.172565,0.00630053,159.03,0.0358025,0.00190064,1716.97,-0.215126,-0.0195355,0.474242,-0.038402,0.0333305,59.7576,-0.0527413,-0.0356651,0.7377,-0.455128,-0.306777,0.871907,-0.0298326,-0.00936875,0.969697,0.0358025,0.00190064,0.817659,-0.038402,0.0333305,0.99596,-0.0527413,-0.0356651,-0.16997,-0.193573,0.0243052,34.303,-0.023511,-0.00417201,2.70727,0.0398529,0.0403965,121.912,0.0615761,0.00717549,159.03,-0.0821574,-0.037172,1716.97,-0.00283569,0.0135175,0.474242,0.0204657,0.0134599,59.7576,-0.0113021,-0.00271898,0.7377,-0.023511,-0.00417201,0.871907,0.0398529,0.0403965,0.969697,-0.0821574,-0.037172,0.817659,0.0204657,0.0134599,0.99596,-0.0113021,-0.00271898,-0.16997,0.0364871,-0.000545958,All
34.899,-0.0179464,0.0166269,2.72424,-0.00198449,-0.0171905,122.929,0.0729551,0.00158575,159.323,-0.126946,-0.0558597,1781.01,0.0284946,-0.000884834,0.478586,-0.02492,-0.0163845,60.0808,0.00400492,-0.0228901,0.750516,-0.0179464,0.0166269,0.877373,-0.00198449,-0.0171905,0.971483,-0.126946,-0.0558597,0.825148,-0.02492,-0.0163845,1.00135,0.00400492,-0.0228901,-0.162804,0.0720947,-0.00410101,34.899,-0.43755,-0.289993,2.72424,-0.0350633,-0.0103648,122.929,-0.174428,0.00445235,159.323,0.0366799,-0.000258493,1781.01,-0.198226,-0.0158686,0.478586,-0.0389287,0.0306331,60.0808,-0.0472146,-0.0353874,0.750516,-0.43755,-0.289993,0.877373,-0.0350633,-0.0103648,0.971483,0.0366799,-0.000258493,0.825148,-0.0389287,0.0306331,1.00135,-0.0472146,-0.0353874,-0.162804,-0.203008,0.0221285,34.899,-0.0198713,-0.00333092,2.72424,0.0360915,0.0391311,122.929,0.0641855,0.00728358,159.323,-0.0793591,-0.0343388,1781.01,-0.00101647,0.0145557,0.478586,0.0217456,0.0133011,60.0808,-0.00857663,-0.00101016,0.750516,-0.0198713,-0.00333092,0.877373,0.0360915,0.0391311,0.971483,-0.0793591,-0.0343388,0.825148,0.0217456,0.0133011,1.00135,-0.00857663,-0.00101016,-0.162804,0.040728,-0.000168307,All
