rep,ID,eta_fi_simulated,eta_Cl_simulated,eta_V1_simulated,eta_Q2_simulated,eta_V2_simulated,eta_Q3_simulated,eta_V3_simulated,split,color,filter
0,3,0.0258006,0.223565,-0.0420842,2.93007e-09,0.0115229,-8.89834e-09,-7.52196e-08,All,#4682B4,0
1,3,0.067337,0.238652,0.00294875,7.59155e-09,-0.16769,3.43064e-08,-2.97013e-08,All,#4682B4,0
2,3,0.00336719,0.259533,0.0119496,-6.77076e-09,-0.343964,7.48528e-09,3.04799e-08,All,#4682B4,0
3,3,-0.0750384,0.23303,-0.112268,1.31281e-08,0.816653,9.41414e-09,5.50593e-08,All,#4682B4,0
4,3,0.038957,0.2156,-0.164826,-7.14623e-08,0.888721,2.83228e-08,-4.91617e-09,All,#4682B4,0
5,3,-0.0266818,0.24285,-0.0205007,2.43546e-09,0.360297,2.79619e-08,-9.42365e-09,All,#4682B4,0
6,3,0.0737207,0.296755,-0.036045,8.62277e-08,0.175047,-3.03777e-08,5.21964e-09,All,#4682B4,0
7,3,-0.0243993,0.225727,-0.0239541,-6.28972e-08,0.00217343,-6.6427e-08,1.35112e-08,All,#4682B4,0
8,3,0.00776771,0.0560216,0.0381792,-2.21097e-08,2.21199,-1.54756e-08,-2.55304e-08,All,#4682B4,0
9,3,0.0346382,0.314033,0.0221369,1.13144e-08,-0.0941311,-2.71566e-08,-5.55225e-08,All,#4682B4,0
0,4,0.362406,0.0372259,-0.113662,6.94901e-09,0.407078,-5.69944e-08,-4.6483e-08,All,#4682B4,0
1,4,0.17147,0.0297606,-0.21196,-4.69414e-08,-0.107355,-1.02122e-07,1.12064e-07,All,#4682B4,0
2,4,0.159284,-0.025012,-0.075353,4.053e-08,-0.194251,8.78399e-08,-5.58332e-08,All,#4682B4,0
3,4,0.306273,-0.0198529,-0.0710174,7.57305e-08,1.01599,-1.74219e-08,-9.75153e-08,All,#4682B4,0
4,4,0.0873992,-0.0544346,-0.290975,6.62528e-08,0.45586,4.59231e-09,-4.67486e-08,All,#4682B4,0
5,4,0.207876,-0.0246876,-0.215542,4.90596e-08,0.399661,-2.14335e-08,-2.99606e-08,All,#4682B4,0
6,4,0.249685,0.0233638,-0.0116825,2.25961e-08,0.598841,-1.22845e-08,4.37959e-08,All,#4682B4,0
7,4,0.173272,-0.0461919,-0.227139,-5.5349e-10,-0.273988,5.01105e-08,-4.26845e-08,All,#4682B4,0
8,4,0.223974,0.0215012,0.025965,-4.45474e-08,0.365372,-9.56508e-09,1.36386e-08,All,#4682B4,0
9,4,0.176123,-0.0482644,-0.209272,-7.41395e-08,0.436065,-7.7253e-09,2.65721e-08,All,#4682B4,0
0,5,-0.181556,-0.16986,-0.142565,-7.38269e-08,-0.467677,-8.68917e-09,4.16247e-08,All,#4682B4,0
1,5,-0.110022,-0.128402,0.0439557,2.70982e-08,0.933685,3.87087e-08,1.0684e-08,All,#4682B4,0
2,5,0.0199121,-0.0484475,0.0365799,2.04601e-08,0.649033,2.18392e-08,3.32692e-08,All,#4682B4,0
3,5,-0.0385395,-0.0895952,-0.0796077,-2.39469e-08,-0.361601,-5.32151e-09,8.7497e-08,All,#4682B4,0
4,5,-0.0701453,-0.148407,0.0932433,3.15816e-09,0.21663,-2.77659e-08,1.84484e-08,All,#4682B4,0
5,5,-0.103295,-0.179439,0.047246,6.8974e-08,1.04554,1.4889e-08,5.34659e-08,All,#4682B4,0
6,5,-0.0085525,-0.0233244,-0.0667461,3.43226e-08,0.159255,-9.90883e-09,6.45916e-08,All,#4682B4,0
7,5,-0.091944,-0.0563344,-0.0155225,-4.38037e-09,0.361698,-1.75808e-08,2.6253e-08,All,#4682B4,0
8,5,0.053656,-0.0345592,0.0703142,-9.26756e-09,0.733998,1.98636e-09,1.46426e-08,All,#4682B4,0
9,5,0.0794905,-0.0869391,0.271717,-2.03618e-08,-0.244877,6.01199e-08,6.52241e-08,All,#4682B4,0
0,6,-0.08491,0.262411,0.464462,-9.27697e-08,0.606902,2.31247e-08,-5.19487e-08,All,#4682B4,0
1,6,0.0397459,0.229086,0.465546,-5.01087e-08,-0.117835,2.59464e-08,-1.41947e-08,All,#4682B4,0
2,6,0.01121,0.171295,0.525337,8.60992e-10,0.821829,-6.33e-09,1.75349e-08,All,#4682B4,0
3,6,-0.0598329,0.151872,0.438713,2.03556e-10,0.0983197,4.69091e-08,9.58539e-09,All,#4682B4,0
4,6,-0.0770635,0.0923839,0.515623,-3.26747e-08,0.218683,3.54276e-08,4.15135e-09,All,#4682B4,0
5,6,0.00332603,0.10158,0.447626,-2.63076e-08,0.546012,7.23763e-09,8.91136e-08,All,#4682B4,0
6,6,-0.0588163,0.149512,0.440172,4.45938e-08,0.322652,-5.13225e-09,-2.3921e-08,All,#4682B4,0
7,6,-0.0286791,0.175477,0.420546,-2.32113e-08,0.011104,-4.89563e-08,-1.02903e-08,All,#4682B4,0
8,6,-0.0606941,0.0934378,0.37681,1.6851e-08,-0.0662104,-3.88587e-08,-6.32191e-08,All,#4682B4,0
9,6,-0.0295031,0.205181,0.469932,5.51032e-08,-0.531838,2.33107e-10,-2.46951e-08,All,#4682B4,0
0,7,-0.0548571,0.10114,0.285844,-1.37057e-08,-2.28507,8.54846e-08,8.06718e-08,All,#4682B4,0
1,7,-0.134361,0.0477141,0.182745,-1.73723e-08,-2.65723,-8.00004e-09,-4.15418e-08,All,#4682B4,0
2,7,-0.182547,0.0163412,0.122494,-2.092e-08,-1.93424,-4.44112e-08,5.61565e-08,All,#4682B4,0
3,7,-0.0426789,0.0622939,0.18492,2.65708e-09,-2.02445,-1.81786e-08,-1.15488e-07,All,#4682B4,0
4,7,-0.0231646,0.0586249,0.225223,-2.97633e-08,-1.16044,-1.94367e-08,-7.62329e-08,All,#4682B4,0
5,7,-0.0899043,0.135793,0.222541,-1.09895e-08,-2.69685,5.45276e-08,3.58436e-08,All,#4682B4,0
6,7,-0.124629,0.0905117,0.228901,-3.07168e-08,-3.1408,4.80535e-08,-3.14949e-08,All,#4682B4,0
7,7,-0.158566,0.0205505,0.0997648,-1.12319e-08,-1.80198,-4.47739e-08,2.4064e-08,All,#4682B4,0
8,7,-0.122472,0.00506335,0.151387,1.34314e-08,-1.64844,7.81906e-08,-3.83278e-09,All,#4682B4,0
9,7,-0.109057,0.0874068,0.176596,-1.38414e-08,-2.47196,-1.36605e-08,-1.83348e-08,All,#4682B4,0
0,8,-0.159776,0.202508,-0.186256,-5.67095e-08,0.478005,-3.10348e-08,5.64761e-08,All,#4682B4,0
1,8,-0.238048,0.224684,-0.221708,-2.27037e-08,-0.133524,-7.6223e-08,8.8684e-10,All,#4682B4,0
2,8,-0.139002,0.140583,-0.160876,-1.48666e-08,0.192288,2.55196e-08,-2.31073e-08,All,#4682B4,0
3,8,-0.118221,0.361448,-0.16591,4.44844e-08,0.00398138,4.10468e-08,9.94859e-08,All,#4682B4,0
4,8,-0.0653569,0.327746,-0.14516,-3.70887e-08,0.0044253,6.59739e-08,3.01828e-09,All,#4682B4,0
5,8,-0.26629,0.170523,0.0133843,1.88805e-08,1.06337,-9.96957e-09,-1.18068e-07,All,#4682B4,0
6,8,-0.122217,0.372563,-0.21737,1.04253e-07,-0.873431,-2.17018e-08,5.58822e-09,All,#4682B4,0
7,8,-0.0633916,0.27552,-0.0838008,-8.18728e-09,-0.705495,2.07514e-08,-1.16854e-07,All,#4682B4,0
8,8,-0.0838751,0.289677,-0.139695,6.92358e-09,-0.148637,2.89602e-09,-2.54724e-08,All,#4682B4,0
9,8,-0.12852,0.204848,-0.110821,-1.95256e-08,1.63495,2.68275e-08,6.93946e-08,All,#4682B4,0
0,9,0.157977,-0.0135666,-0.123688,-5.45856e-08,0.992298,-2.00587e-09,2.01768e-08,All,#4682B4,0
1,9,0.02196,-0.114712,0.0188148,-5.62885e-08,1.04947,-5.66838e-08,-1.67589e-08,All,#4682B4,0
2,9,0.0267105,-0.0253273,-0.0247471,-7.43205e-08,1.14354,5.36692e-09,6.00101e-08,All,#4682B4,0
3,9,0.0346757,-0.0575829,-0.11971,1.99104e-09,0.306754,2.93707e-08,-3.51214e-08,All,#4682B4,0
4,9,-0.0336829,-0.011968,-0.0990617,8.25137e-08,0.451644,4.19086e-10,5.77157e-09,All,#4682B4,0
5,9,0.0436394,-0.0627905,0.0599104,1.63266e-08,0.242086,4.72284e-08,5.797e-08,All,#4682B4,0
6,9,0.0717035,-0.0335784,0.167135,3.93507e-08,0.93132,3.10686e-08,5.46134e-08,All,#4682B4,0
7,9,0.0276513,-0.0306121,-0.251693,1.36904e-08,0.734945,-6.52582e-09,-5.25163e-09,All,#4682B4,0
8,9,0.119189,-0.0286472,0.113716,-1.41681e-08,0.517781,-1.23252e-08,-3.59897e-09,All,#4682B4,0
9,9,0.113999,0.00271349,-0.0807484,-4.14741e-08,0.835217,4.42924e-08,-2.1448e-08,All,#4682B4,0
0,10,-0.000968197,-0.403012,-0.327432,-2.23311e-08,-0.788679,-6.31507e-08,6.37635e-09,All,#4682B4,0
1,10,-0.0678054,-0.490158,-0.355674,-2.90562e-08,-0.251316,1.27538e-08,-5.33705e-08,All,#4682B4,0
2,10,-0.0300624,-0.408857,-0.325044,5.47318e-09,-0.314952,1.78751e-08,-5.83811e-08,All,#4682B4,0
3,10,0.00363332,-0.439639,-0.172669,3.17496e-08,-0.682162,-2.72726e-08,2.27916e-08,All,#4682B4,0
4,10,0.0294,-0.451115,-0.336417,-7.6303e-08,-0.188163,-8.82475e-08,8.30471e-08,All,#4682B4,0
5,10,-0.000972177,-0.417408,-0.230157,-6.92947e-09,-0.514668,-3.80601e-08,-9.56387e-09,All,#4682B4,0
6,10,0.0295058,-0.434061,-0.318405,5.71844e-08,-0.541281,3.60258e-09,7.24364e-08,All,#4682B4,0
7,10,0.0265657,-0.403021,-0.268645,2.41819e-08,-0.367322,-2.75071e-08,-5.28975e-08,All,#4682B4,0
8,10,0.0282396,-0.422275,-0.289332,3.33595e-08,0.248991,-5.12111e-08,4.30506e-08,All,#4682B4,0
9,10,-0.0268131,-0.47826,-0.266791,1.9318e-08,0.962512,-2.84006e-09,1.62006e-08,All,#4682B4,0
0,11,0.265528,0.172077,0.168496,-3.89674e-09,-0.73995,2.92299e-08,-6.18962e-08,All,#4682B4,0
1,11,0.200544,0.19658,0.156258,1.44829e-08,0.0140312,-6.37272e-09,4.66504e-08,All,#4682B4,0
2,11,0.205517,0.139749,0.0580448,-4.96907e-08,0.446457,-3.98065e-08,-2.30446e-08,All,#4682B4,0
3,11,0.139174,0.130319,0.0673,-2.88584e-08,0.0830949,3.27426e-10,1.26737e-09,All,#4682B4,0
4,11,0.102537,0.185508,-0.0794418,-7.70128e-09,-0.473114,3.93204e-08,2.37879e-08,All,#4682B4,0
5,11,0.211202,0.234707,0.233895,-1.85849e-08,-0.388604,-2.22011e-08,2.65973e-08,All,#4682B4,0
6,11,0.106982,0.084592,0.131909,2.55222e-08,-0.640796,1.09802e-07,3.17757e-08,All,#4682B4,0
7,11,0.245995,0.246189,0.0898608,-6.01449e-08,-0.305737,1.13117e-08,-4.50659e-08,All,#4682B4,0
8,11,0.181703,0.191036,0.169577,-4.03897e-09,-0.104552,-2.54145e-09,9.85719e-08,All,#4682B4,0
9,11,0.117693,0.210863,0.0215002,1.96024e-08,-0.466783,1.11291e-08,-7.05283e-08,All,#4682B4,0
0,12,0.253595,-0.0350552,0.233116,1.11462e-08,1.30105,-2.56786e-08,-2.73468e-08,All,#4682B4,0
1,12,0.239073,-0.0603804,0.133029,5.32991e-08,1.07803,-4.18654e-08,2.26886e-08,All,#4682B4,0
2,12,0.205429,-0.0531063,0.153784,-5.37973e-08,0.213045,-3.05436e-08,-4.87304e-09,All,#4682B4,0
3,12,0.214708,0.0082539,0.242878,-5.40749e-08,0.490455,5.24093e-08,2.68796e-08,All,#4682B4,0
4,12,0.153132,-0.0308527,0.179321,-1.45323e-08,0.0021596,-2.91845e-08,3.90454e-08,All,#4682B4,0
5,12,0.266308,0.0333267,0.181398,2.64834e-08,0.295793,-5.71293e-09,-5.07982e-08,All,#4682B4,0
6,12,0.200233,0.00304591,0.0913358,4.08808e-08,-0.046543,6.58639e-08,-4.64497e-08,All,#4682B4,0
7,12,0.16909,-0.0981335,0.239949,2.05791e-08,0.826351,2.82431e-08,2.78178e-08,All,#4682B4,0
8,12,0.17813,-0.0576348,0.134867,2.0637e-08,0.730137,9.20574e-08,-1.76668e-08,All,#4682B4,0
9,12,0.267275,0.0573136,-0.0645705,-3.7706e-08,0.449276,1.54582e-08,-6.34653e-08,All,#4682B4,0
0,13,0.284222,-0.0448427,0.136447,3.63203e-08,1.32392,1.01585e-08,-6.42348e-08,All,#4682B4,0
1,13,0.23042,0.0442749,0.0240346,-1.2477e-08,0.519815,8.53351e-08,-1.882e-08,All,#4682B4,0
2,13,0.19172,-0.0258515,0.153029,-6.31327e-09,-0.0349286,-1.22884e-08,-3.02337e-08,All,#4682B4,0
3,13,0.337471,0.046203,0.0322622,-2.64122e-08,1.05741,-2.24115e-08,-3.06105e-08,All,#4682B4,0
4,13,0.255926,-0.0431302,0.112771,-6.2978e-08,0.951804,-2.06879e-08,-3.30451e-08,All,#4682B4,0
5,13,0.232784,0.0284476,0.172259,-2.43324e-08,0.310637,-7.11304e-09,-8.04752e-08,All,#4682B4,0
6,13,0.289765,0.0286763,-0.00606452,-4.22295e-08,0.0928545,2.73022e-08,1.20391e-08,All,#4682B4,0
7,13,0.288512,0.0974054,-0.0748255,-7.9329e-09,0.665903,7.13968e-08,1.83402e-08,All,#4682B4,0
8,13,0.172239,0.0447945,-0.162337,-9.27017e-09,-0.220747,6.46651e-08,-4.13702e-08,All,#4682B4,0
9,13,0.167739,0.0108654,-0.0922708,9.87675e-09,0.588032,-2.46303e-08,1.91379e-08,All,#4682B4,0
0,14,-0.14068,0.189159,-0.182169,3.90491e-08,-1.51995,7.39787e-08,6.32786e-08,All,#4682B4,0
1,14,-0.0233217,0.155948,-0.0571323,-6.0938e-09,-0.947026,-3.36377e-08,6.5576e-08,All,#4682B4,0
2,14,-0.0955343,0.233584,-0.110765,8.17488e-08,-1.25544,-4.45166e-08,5.60525e-08,All,#4682B4,0
3,14,-0.113278,0.194425,-0.294872,-2.5171e-08,-0.478391,1.15487e-10,-2.83162e-08,All,#4682B4,0
4,14,-0.00415163,0.179843,0.072418,-2.52338e-08,-1.93162,3.54922e-08,4.26565e-08,All,#4682B4,0
5,14,-0.047299,0.233725,0.0268021,1.75905e-08,-1.65372,2.98967e-09,-7.06754e-08,All,#4682B4,0
6,14,-0.138288,0.204525,-0.0533438,-6.15406e-08,-1.58166,-1.76663e-08,-4.16393e-08,All,#4682B4,0
7,14,-0.136509,0.0963322,-0.0248635,2.32679e-09,-2.70837,1.42724e-08,-1.78473e-08,All,#4682B4,0
8,14,-0.0386741,0.147147,-0.118748,-7.03164e-08,-0.642369,-7.5705e-09,-1.5868e-08,All,#4682B4,0
9,14,-0.0510891,0.161979,0.0494334,-5.14723e-08,-3.21913,4.71269e-09,6.02748e-08,All,#4682B4,0
