V_abscissa,V_pdf,V_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,split
34.721,0.0496408,0.509349,5.52862,0.29669,0.525855,All
35.4806,0.0482601,0.546555,5.65207,0.287311,0.56192,All
36.2402,0.0465498,0.582584,5.77551,0.2762,0.596717,All
36.9998,0.0445704,0.617207,5.89895,0.263708,0.630053,All
37.7594,0.0423812,0.650244,6.02239,0.250176,0.66178,All
38.519,0.0400392,0.681556,6.14584,0.235919,0.691788,All
39.2787,0.0375973,0.711048,6.26928,0.22123,0.720007,All
40.0383,0.0351031,0.738662,6.39272,0.206366,0.7464,All
40.7979,0.0325989,0.764375,6.51617,0.191551,0.770958,All
41.5575,0.0301208,0.788194,6.63961,0.176978,0.793701,All
42.3171,0.0276991,0.81015,6.76305,0.162802,0.814668,All
43.0768,0.0253585,0.830296,6.8865,0.14915,0.833916,All
43.8364,0.023118,0.848701,7.00994,0.136117,0.851517,All
44.596,0.0209919,0.865447,7.13338,0.123774,0.86755,All
45.3556,0.0189902,0.880624,7.25682,0.112167,0.882105,All
46.1152,0.0171187,0.89433,7.38027,0.101323,0.895274,All
46.8748,0.0153804,0.906665,7.50371,0.0912508,0.907152,All
47.6345,0.0137752,0.91773,7.62715,0.0819461,0.917834,All
48.3941,0.012301,0.927626,7.7506,0.0733928,0.927414,All
49.1537,0.0109538,0.936451,7.87404,0.0655661,0.935984,All
49.9133,0.00972831,0.944298,7.99748,0.0584345,0.94363,All
50.6729,0.00861838,0.95126,8.12092,0.0519615,0.950437,All
51.4326,0.00761705,0.957419,8.24437,0.0461076,0.956484,All
52.1922,0.00671705,0.962857,8.36781,0.0408314,0.961845,All
52.9518,0.00591089,0.967648,8.49125,0.0360908,0.966587,All
53.7114,0.00519112,0.971859,8.6147,0.0318438,0.970775,All
54.471,0.00455041,0.975554,8.73814,0.0280494,0.974467,All
55.2306,0.00398167,0.978791,8.86158,0.024668,0.977717,All
55.9903,0.00347816,0.98162,8.98502,0.0216618,0.980573,All
56.7499,0.00303348,0.98409,9.10847,0.0189952,0.983079,All
57.5095,0.00264167,0.986242,9.23191,0.0166347,0.985275,All
58.2691,0.0022972,0.988115,9.35535,0.0145494,0.987197,All
59.0287,0.00199496,0.989743,9.4788,0.0127104,0.988877,All
59.7884,0.00173029,0.991155,9.60224,0.0110915,0.990344,All
60.548,0.00149894,0.99238,9.72568,0.00966872,0.991624,All
61.3076,0.00129705,0.99344,9.84912,0.00842011,0.992739,All
62.0672,0.00112116,0.994357,9.97257,0.00732594,0.993709,All
62.8268,0.00096814,0.995149,10.096,0.0063684,0.994553,All
63.5864,0.000835212,0.995833,10.2195,0.00553147,0.995286,All
64.3461,0.000719891,0.996422,10.3429,0.00480083,0.995923,All
65.1057,0.000619969,0.99693,10.4663,0.00416369,0.996475,All
65.8653,0.000533493,0.997368,10.5898,0.00360866,0.996954,All
66.6249,0.000458735,0.997744,10.7132,0.00312562,0.997369,All
67.3845,0.000394177,0.998067,10.8367,0.00270564,0.997728,All
68.1442,0.00033848,0.998345,10.9601,0.00234078,0.998039,All
68.9038,0.000290473,0.998583,11.0836,0.00202408,0.998308,All
69.6634,0.000249131,0.998788,11.207,0.00174937,0.998541,All
70.423,0.000213556,0.998963,11.3304,0.00151127,0.998742,All
71.1826,0.000182969,0.999114,11.4539,0.00130503,0.998915,All
71.9422,0.000156688,0.999242,11.5773,0.0011265,0.999065,All
72.7019,0.000134122,0.999353,11.7008,0.000972038,0.999194,All
73.4615,0.000114759,0.999447,11.8242,0.000838479,0.999306,All
74.2211,9.81542e-05,0.999528,11.9477,0.00072305,0.999402,All
74.9807,8.3922e-05,0.999597,12.0711,0.000623337,0.999485,All
75.7403,7.17299e-05,0.999656,12.1945,0.000537237,0.999557,All
76.5,6.12905e-05,0.999706,12.318,0.000462922,0.999618,All
77.2596,5.23558e-05,0.999749,12.4414,0.000398802,0.999671,All
78.0192,4.47122e-05,0.999786,12.5649,0.000343497,0.999717,All
78.7788,3.81756e-05,0.999817,12.6883,0.000295812,0.999756,All
79.5384,3.25878e-05,0.999844,12.8118,0.000254707,0.99979,All
80.2981,2.78125e-05,0.999867,12.9352,0.000219285,0.99982,All
81.0577,2.37329e-05,0.999887,13.0586,0.000188767,0.999845,All
81.8173,2.02486e-05,0.999903,13.1821,0.00016248,0.999866,All
82.5769,1.72735e-05,0.999918,13.3055,0.000139842,0.999885,All
83.3365,1.47338e-05,0.99993,13.429,0.00012035,0.999901,All
84.0961,1.25662e-05,0.99994,13.5524,0.000103569,0.999915,All
84.8558,1.07166e-05,0.999949,13.6759,8.91242e-05,0.999927,All
85.6154,9.13861e-06,0.999956,13.7993,7.6692e-05,0.999937,All
86.375,7.79252e-06,0.999963,13.9227,6.59931e-05,0.999946,All
87.1346,6.64441e-06,0.999968,14.0462,5.67865e-05,0.999953,All
87.8942,5.66529e-06,0.999973,14.1696,4.88648e-05,0.99996,All
88.6539,4.83038e-06,0.999977,14.2931,4.20491e-05,0.999965,All
