V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
34.9648,0.45,5.33459,0.45,All
35.0286,0.457143,5.35392,0.457143,All
35.0553,0.464286,5.37849,0.464286,All
35.1229,0.471429,5.39512,0.471429,All
35.1587,0.478571,5.43901,0.478571,All
35.3753,0.485714,5.45699,0.485714,All
35.3938,0.492857,5.48257,0.492857,All
35.5221,0.5,5.63296,0.5,All
35.5657,0.507143,5.63624,0.507143,All
35.5804,0.514286,5.63986,0.514286,All
35.6031,0.521429,5.64691,0.521429,All
35.7681,0.528571,5.70367,0.528571,All
35.7777,0.535714,5.7092,0.535714,All
35.7831,0.542857,5.71014,0.542857,All
35.8198,0.55,5.71392,0.55,All
36.0074,0.557143,5.79945,0.557143,All
36.1292,0.564286,5.80044,0.564286,All
36.1496,0.571429,5.82229,0.571429,All
36.2799,0.578571,5.83619,0.578571,All
36.4661,0.585714,5.85375,0.585714,All
36.4799,0.592857,5.86017,0.592857,All
36.521,0.6,5.88714,0.6,All
36.6424,0.607143,5.89583,0.607143,All
36.8388,0.614286,5.90464,0.614286,All
36.9098,0.621429,5.92232,0.621429,All
37.1106,0.628571,5.92371,0.628571,All
37.1904,0.635714,6.01174,0.635714,All
37.2473,0.642857,6.05398,0.642857,All
37.2513,0.65,6.05758,0.65,All
37.2528,0.657143,6.1395,0.657143,All
37.3013,0.664286,6.15111,0.664286,All
37.4535,0.671429,6.18876,0.671429,All
37.48,0.678571,6.2109,0.678571,All
37.6722,0.685714,6.22453,0.685714,All
37.7601,0.692857,6.26527,0.692857,All
37.8577,0.7,6.27857,0.7,All
38.0314,0.707143,6.28775,0.707143,All
38.1268,0.714286,6.29219,0.714286,All
38.1493,0.721429,6.36105,0.721429,All
38.4566,0.728571,6.36405,0.728571,All
38.8197,0.735714,6.42574,0.735714,All
38.897,0.742857,6.43384,0.742857,All
38.9111,0.75,6.44624,0.75,All
38.9338,0.757143,6.46744,0.757143,All
38.9811,0.764286,6.53974,0.764286,All
38.984,0.771429,6.56642,0.771429,All
39.0134,0.778571,6.56761,0.778571,All
39.1237,0.785714,6.69277,0.785714,All
39.469,0.792857,6.6929,0.792857,All
39.542,0.8,6.69504,0.8,All
39.7281,0.807143,6.79285,0.807143,All
40.3495,0.814286,6.89122,0.814286,All
40.5746,0.821429,6.93641,0.821429,All
40.6283,0.828571,6.94298,0.828571,All
40.8982,0.835714,6.96312,0.835714,All
40.9712,0.842857,7.06117,0.842857,All
41.0282,0.85,7.07817,0.85,All
41.0384,0.857143,7.09685,0.857143,All
41.1593,0.864286,7.15247,0.864286,All
41.4076,0.871429,7.17552,0.871429,All
41.5654,0.878571,7.23179,0.878571,All
41.7732,0.885714,7.25145,0.885714,All
42.4116,0.892857,7.26002,0.892857,All
42.4842,0.9,7.29239,0.9,All
42.8393,0.907143,7.33312,0.907143,All
43.0773,0.914286,7.46123,0.914286,All
43.1712,0.921429,7.47671,0.921429,All
43.4395,0.928571,7.55449,0.928571,All
43.4627,0.935714,7.63401,0.935714,All
43.5431,0.942857,7.63576,0.942857,All
43.6495,0.95,7.63709,0.95,All
43.8658,0.957143,7.68553,0.957143,All
44.0129,0.964286,7.89661,0.964286,All
45.0828,0.971429,7.9295,0.971429,All
45.7119,0.978571,8.04453,0.978571,All
47.5537,0.985714,8.7318,0.985714,All
48.6732,0.992857,8.79221,0.992857,All
51.3382,1,9.44491,1,All
88.6539,1,14.2931,1,All
