Cl_vs_V1_abscissa,Cl_vs_V1_spline,Cl_vs_V1_regression,V1_vs_Cl_abscissa,V1_vs_Cl_spline,V1_vs_Cl_regression
0.153092,0.0896427,0.0261881,-0.0665685,0.0596478,-0.0106119
0.164359,0.0964129,0.0280378,-0.0574233,0.0626899,-0.00919391
0.175626,0.103183,0.0298875,-0.0482781,0.0657319,-0.00777593
0.186893,0.107726,0.0317372,-0.0391329,0.068774,-0.00635796
0.19816,0.10643,0.0335868,-0.0299877,0.071816,-0.00493999
0.209427,0.105134,0.0354365,-0.0208425,0.0748581,-0.00352201
0.220694,0.103838,0.0372862,-0.0116973,0.0779001,-0.00210404
0.231961,0.102542,0.0391359,-0.00255207,0.0809422,-0.000686068
0.243228,0.101246,0.0409855,0.00659312,0.0839842,0.000731905
0.254495,0.0999502,0.0428352,0.0157383,0.0860377,0.00214988
0.265762,0.0986543,0.0446849,0.0248835,0.0847119,0.00356785
0.277029,0.0973584,0.0465346,0.0340287,0.0833861,0.00498582
0.288296,0.0960625,0.0483843,0.0431739,0.0820603,0.0064038
0.299563,0.0947666,0.0502339,0.0523191,0.0807345,0.00782177
0.310829,0.0934707,0.0520836,0.0614643,0.0794087,0.00923974
0.322096,0.0921748,0.0539333,0.0706095,0.0780829,0.0106577
0.333363,0.0908789,0.055783,0.0797547,0.0767571,0.0120757
0.34463,0.089583,0.0576327,0.0888999,0.0754313,0.0134937
0.355897,0.0882871,0.0594823,0.0980451,0.0741055,0.0149116
0.367164,0.0869913,0.061332,0.10719,0.0714016,0.0163296
0.378431,0.0856954,0.0631817,0.116336,0.0659505,0.0177476
0.389698,0.0843995,0.0650314,0.125481,0.0604994,0.0191656
0.400965,0.0831036,0.066881,0.134626,0.0550483,0.0205835
0.412232,0.0818077,0.0687307,0.143771,0.0495972,0.0220015
0.423499,0.0805118,0.0705804,0.152916,0.0417347,0.0234195
0.434766,0.0792159,0.0724301,0.162061,0.0330777,0.0248374
0.446033,0.07792,0.0742798,0.171207,0.0244207,0.0262554
0.4573,0.0766241,0.0761294,0.180352,0.0157637,0.0276734
0.468567,0.0753282,0.0779791,0.189497,0.00710672,0.0290914
0.479834,0.0740323,0.0798288,0.198642,-0.00359483,0.0305093
0.491101,0.0727365,0.0816785,0.207787,-0.0153069,0.0319273
0.502368,0.0714406,0.0835282,0.216933,-0.0275675,0.0333453
0.513635,0.0701447,0.0853778,0.226078,-0.0403262,0.0347633
