iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b,omega_Cl,omega_Q,omega_V1
58,337.617,1,10.1871,9.99548,43.1691,53.267,0.091929,0.256517,0.98538,0.0669755
59,337.231,1,10.122,10.0642,43.4005,53.267,0.091434,0.266404,0.97325,0.0631443
60,328.799,1,10.1673,10.2883,43.4304,56.2157,0.091193,0.270036,0.939926,0.056478
61,335.05,1,10.1934,10.043,43.5989,57.145,0.0929712,0.270459,0.935365,0.0571933
62,329.378,1,10.1865,10.5854,43.2334,56.2834,0.092156,0.26715,0.930671,0.0521874
63,333.484,1,10.149,10.2334,42.9878,55.9337,0.0957211,0.259047,0.900651,0.0488508
64,328.76,1,10.1756,9.88569,43.1231,54.5972,0.0914074,0.257184,0.955015,0.0503898
65,328.658,1,10.2314,9.9209,43.1898,54.6534,0.0930059,0.252624,0.982422,0.0482963
66,338.964,1,10.2012,10.5463,43.2093,53.4938,0.0946763,0.259452,1.04288,0.0495023
67,345.464,1,10.2433,10.5435,43.2791,52.915,0.096919,0.260963,1.01706,0.0566567
68,349.025,1,10.2499,10.474,43.3036,53.2402,0.100345,0.264375,1.06412,0.0523021
69,340.91,1,10.2645,10.7715,43.1931,52.2535,0.0978917,0.263572,1.01191,0.0500165
70,337.416,1,10.2089,10.5732,43.0283,54.0549,0.0977428,0.262212,0.94068,0.0476371
71,334.19,1,10.193,10.8517,42.8629,55.5626,0.0958226,0.26832,0.90444,0.0465785
72,339.411,1,10.2073,10.6205,43.2034,57.2775,0.0967449,0.265921,0.908223,0.0514125
73,341.321,1,10.2412,10.4989,43.1857,55.6902,0.0987352,0.26247,0.939806,0.0500594
74,336.555,1,10.2066,9.84906,43.1054,52.6714,0.095704,0.257821,0.971284,0.0499817
75,342.163,1,10.1752,9.85729,42.9827,52.6714,0.0982825,0.25982,0.944093,0.0505715
76,335.791,1,10.1933,10.1638,43.1357,53.0181,0.0974488,0.267998,0.91227,0.0463876
77,336.921,1,10.2717,10.562,43.0863,52.5874,0.0958163,0.263518,0.940744,0.0507692
78,333.364,1,10.2273,10.7313,42.9217,53.567,0.0940817,0.270397,0.929328,0.0493106
79,328.772,1,10.2941,11.1029,42.8228,51.2105,0.0950979,0.262304,0.908582,0.0461769
80,331.482,1,10.2635,10.6131,43.0543,51.288,0.0946062,0.264888,0.934126,0.0452744
81,334.246,1,10.2516,10.7283,43.3247,51.1328,0.0950979,0.268516,0.982394,0.0442436
82,327.194,1,10.2539,11.4328,43.2569,52.0549,0.0920996,0.268433,0.970845,0.0444717
83,327.589,1,10.2597,11.5753,43.1524,51.24,0.0937281,0.267234,0.950402,0.0425243
84,325.925,1,10.2504,11.2828,42.9475,52.0598,0.0947053,0.25935,0.920032,0.0407089
85,321.975,1,10.2353,11.1173,42.9307,52.4507,0.0935632,0.259198,0.91762,0.0378115
86,327.569,1,10.2178,11.1033,43.1066,53.0009,0.0946499,0.262562,0.884907,0.040571
87,330.185,1,10.2019,10.9122,43.1498,53.4243,0.0950623,0.261964,0.908957,0.0414219
88,331.131,1,10.2272,11.2601,43.1286,51.2633,0.0962976,0.260651,0.905047,0.041055
89,331.087,1,10.2329,11.2444,43.1726,52.2813,0.0950525,0.26363,0.936247,0.0417403
90,328.679,1,10.2216,11.1396,43.0194,53.1636,0.0943939,0.262331,0.922495,0.0423536
91,326.851,1,10.1982,10.4334,43.0876,51.9373,0.0931082,0.262053,0.889338,0.0447278
92,325.5,1,10.1676,10.3411,43.1371,52.4527,0.0928577,0.263246,0.854912,0.0446321
93,332.103,1,10.2362,10.4493,43.4004,54.0553,0.0965259,0.266102,0.851797,0.0456688
94,330.319,1,10.2187,10.8304,43.5354,52.8396,0.0950407,0.260825,0.913122,0.0433058
95,330.937,1,10.231,10.6639,43.6908,52.3667,0.0963139,0.259702,0.909145,0.0423573
96,327.004,1,10.2865,10.6348,43.6537,51.1126,0.0954154,0.259603,0.874382,0.0426559
97,334.646,1,10.3342,10.9144,43.7285,51.1126,0.0984719,0.262242,0.872183,0.0441045
98,338.2,1,10.3258,11.4264,43.4044,50.758,0.0985759,0.258055,0.917849,0.0454842
99,344.282,1,10.2739,10.8895,43.2773,51.6063,0.0992496,0.261211,0.975054,0.0477548
100,354.243,1,10.1995,9.60298,43.4379,52.0382,0.103043,0.258921,1.00657,0.0508396
101,348.85,1,10.0857,9.52089,43.4207,53.1598,0.0976354,0.255886,1.01207,0.0552255
102,349.327,1,10.1649,9.96666,43.2272,53.1598,0.0986597,0.256464,1.01666,0.0583781
103,347.149,1,10.2214,10.5928,43.184,51.8425,0.0975136,0.259745,0.980768,0.0622154
104,345.204,1,10.2764,11.0512,43.169,52.1224,0.097003,0.259283,0.985634,0.0628448
105,349.022,1,10.2623,11.0444,43.1704,51.7119,0.0969467,0.269038,1.02152,0.063417
106,338.841,1,10.2847,10.9315,43.3418,52.2934,0.0932545,0.269357,0.970133,0.0653245
107,345.718,1,10.2329,10.7413,43.1903,51.4954,0.0951681,0.270223,0.96469,0.0669954
108,346.067,1,10.2535,10.7887,42.9226,51.8476,0.0950845,0.267749,0.957536,0.0709557
109,346.126,1,10.2272,10.7717,42.9276,52.2777,0.0950148,0.267896,0.95434,0.0703023
110,346.049,1,10.2047,10.2197,42.9619,52.3543,0.0942332,0.26912,0.979155,0.0712294
111,343.86,1,10.18,10.2608,43.0545,52.0727,0.0934792,0.273163,0.962005,0.0709636
112,344.954,1,10.2202,10.3203,43.3643,51.1533,0.0964697,0.264282,0.916548,0.0700977
113,343.933,1,10.2354,10.0089,43.3427,50.2006,0.0959674,0.262937,0.909345,0.0688172
114,344.265,1,10.2954,10.2229,43.3537,50.3471,0.0965676,0.259575,0.94364,0.0671933
115,346.187,1,10.2552,10.014,43.6728,51.7077,0.0969239,0.267379,0.978542,0.0626167
116,341.434,1,10.2269,9.84252,43.7848,56.0232,0.0956631,0.267852,0.974086,0.0597532
117,339.611,1,10.1724,9.53993,43.8087,56.9168,0.0932417,0.269799,0.983965,0.060015
118,332.04,1,10.2018,9.71783,43.8675,55.6655,0.0933631,0.264548,0.965784,0.0544703
119,333.017,1,10.2266,9.913,43.9344,56.5251,0.0932367,0.266397,0.951213,0.053698
120,335.381,1,10.218,9.67675,44.1141,56.8804,0.091834,0.270933,0.970793,0.057878
121,333.114,1,10.1985,9.32267,44.1269,54.4249,0.0944659,0.264057,0.961644,0.052245
122,331.565,1,10.231,9.7423,44.0176,53.6317,0.0922641,0.262055,0.953483,0.0541318
123,335.018,1,10.1977,9.61626,43.9166,54.7902,0.0955709,0.260976,0.95433,0.0500697
124,331.825,1,10.1886,9.42982,44.0134,56.5713,0.0935591,0.250023,0.99555,0.0500718
125,325.672,1,10.1589,8.81061,44.3581,59.6318,0.0900057,0.253845,0.952414,0.0526135
126,332.32,1,10.1376,9.25398,44.2751,58.3585,0.0912958,0.255073,0.944001,0.0563454
127,331.526,1,10.194,9.75583,44.4024,55.3877,0.0943355,0.253141,0.913851,0.0534408
128,329.074,1,10.2176,9.80321,44.0555,55.6539,0.0958238,0.249853,0.904369,0.0477989
129,339.444,1,10.2209,9.76574,44.0074,57.1667,0.0985665,0.253083,0.943174,0.046975
130,332.169,1,10.2212,9.93273,44.0684,56.2834,0.0960722,0.258481,0.945157,0.0442535
131,328.246,1,10.2234,10.2172,44.0033,56.4184,0.0945693,0.262841,0.924101,0.0425835
132,329.019,1,10.1762,9.87994,44.0201,57.7619,0.0929022,0.264738,0.91447,0.0452529
133,327.992,1,10.1215,9.43776,43.8543,57.8726,0.0913177,0.268861,0.940885,0.0461433
134,331.042,1,10.0748,8.96973,43.6815,56.7567,0.0937438,0.2616,0.966687,0.0448466
135,324.559,1,10.1509,9.56609,43.6989,57.5413,0.0905812,0.259646,0.975043,0.0461091
136,332.812,1,10.1757,9.42193,43.9875,58.6357,0.0931157,0.26681,0.971512,0.0491583
137,329.61,1,10.1644,9.71223,43.8237,57.3373,0.0936577,0.263685,0.964407,0.0458187
138,325.594,1,10.2052,10.1109,43.9013,56.4012,0.0934807,0.264236,0.947639,0.0423173
139,319.518,1,10.2136,10.0457,43.8417,55.4267,0.0918376,0.259421,0.960699,0.0386716
140,324.326,1,10.2356,10.0699,43.7827,55.3209,0.0949014,0.25995,0.910159,0.0383113
141,328.064,1,10.2104,9.79951,43.6256,56.1606,0.0974395,0.260671,0.92161,0.035604
142,326.82,1,10.1608,9.34963,43.7033,56.214,0.0966572,0.262613,0.941392,0.0334866
143,320.743,1,10.1595,9.52302,43.6704,54.9202,0.0956064,0.260355,0.888112,0.0320828
144,330.39,1,10.132,9.73001,43.5049,52.9381,0.0968479,0.256293,0.919674,0.034702
145,326.335,1,10.1554,9.87952,43.4748,52.8877,0.0957323,0.257153,0.938219,0.0345086
146,326.881,1,10.1886,9.80673,43.5127,54.159,0.095524,0.258273,0.912355,0.0373002
147,318.956,1,10.2232,10.2119,43.2892,53.4361,0.0932407,0.256191,0.940145,0.0350506
148,323.315,1,10.1881,10.2522,43.2701,54.8186,0.0929734,0.255136,0.962916,0.0361925
149,324.158,1,10.1651,9.99965,43.3096,54.1403,0.0958844,0.256705,0.942312,0.0338254
150,322.807,1,10.186,10.2038,43.3658,55.8914,0.0948882,0.266079,0.915116,0.0333557
151,312.932,1,10.1751,9.78355,43.3575,55.7325,0.0944811,0.269681,0.913695,0.0298342
152,314.723,1,10.1946,9.63371,43.3486,56.3629,0.0938665,0.260793,0.876463,0.0295727
153,319.277,1,10.2108,9.78504,43.2808,56.7086,0.0953935,0.255667,0.862806,0.0297797
154,314.856,1,10.1736,10.0093,43.4009,57.9852,0.0930963,0.257312,0.876059,0.0316339
155,315.495,1,10.1583,9.92264,43.3931,56.8001,0.0927773,0.259609,0.876369,0.0314481
156,317.625,1,10.142,9.76337,43.2732,56.2894,0.0932103,0.260439,0.892591,0.0307116
157,318.937,1,10.126,9.45305,43.2916,54.1935,0.0942972,0.259034,0.885336,0.0298793
158,321.547,1,10.1513,9.48749,43.3051,53.4239,0.0950984,0.253934,0.907707,0.0306804
159,322.344,1,10.2002,9.73477,43.2981,54.6225,0.0960441,0.255839,0.938755,0.0296594
160,320.753,1,10.2148,10.2344,43.1087,53.2749,0.0949836,0.260639,0.974289,0.0299426
161,324.595,1,10.1975,10.4051,43.0298,53.55,0.0956613,0.269501,0.944843,0.0304482
162,324.128,1,10.2231,10.9763,43.0603,54.3016,0.096509,0.269077,0.905672,0.0306515
163,320.719,1,10.2346,10.7317,43.0028,54.0973,0.0955647,0.266379,0.946349,0.0301312
164,323.08,1,10.1745,10.8942,43.0472,53.792,0.0949679,0.268021,0.974075,0.0297833
165,316.398,1,10.1793,11.0521,43.0775,53.3872,0.0939731,0.261726,0.979107,0.0285344
166,314.063,1,10.1238,10.3301,43.1019,55.1697,0.0924703,0.260098,0.943721,0.0292494
167,318.405,1,10.0851,9.6814,43.136,53.3662,0.0929512,0.253009,0.978257,0.0291291
168,319.659,1,10.0995,9.57549,43.0706,54.409,0.0927117,0.254144,1.01757,0.0299005
169,325.808,1,10.0947,9.69933,42.8664,58.046,0.0935595,0.259054,1.02311,0.0318894
170,315.887,1,10.1343,9.92919,42.7935,57.6651,0.0922303,0.260097,1.00883,0.0315074
171,322.156,1,10.1623,10.0265,42.848,55.37,0.0936903,0.258452,1.04155,0.0300011
172,322.688,1,10.2016,10.4253,42.9162,56.3983,0.094707,0.256087,0.986657,0.0314781
173,307.882,1,10.2303,10.7296,42.963,54.9908,0.0925286,0.258232,0.981952,0.0277291
174,313.258,1,10.1697,10.0377,42.9194,54.1136,0.0939457,0.261176,0.997161,0.0238901
175,311.598,1,10.1496,9.61483,42.9127,52.9697,0.0936415,0.262173,0.988478,0.0230522
176,321.338,1,10.1335,9.77219,42.8417,54.146,0.0953352,0.265548,0.99806,0.0238977
177,313.92,1,10.0885,9.58717,42.7823,54.7491,0.0936062,0.265251,0.999842,0.0242578
178,310.619,1,10.1401,10.1597,42.8679,56.3644,0.0935823,0.271,0.9617,0.0230444
179,311.897,1,10.1331,10.1935,42.8777,56.4168,0.0931114,0.267526,0.978816,0.0230408
180,321.751,1,10.1221,10.2492,42.9993,55.8111,0.0944802,0.265786,1.00099,0.0249492
181,319.316,1,10.2019,10.1688,42.8488,56.6371,0.0958393,0.269017,1.01174,0.02416
182,325.056,1,10.1694,10.1628,42.6538,55.5513,0.0964622,0.267698,1.10757,0.0238407
183,320.727,1,10.1536,10.0563,42.5762,54.7217,0.0963559,0.268635,1.10023,0.0230986
184,318.55,1,10.1474,10.5531,42.615,52.872,0.0965202,0.263291,1.09258,0.0215227
185,314.341,1,10.1494,10.0798,42.6025,51.7357,0.0960178,0.264128,1.09906,0.0201357
186,309.767,1,10.2043,10.3487,42.6535,53.1611,0.0956244,0.255871,1.0339,0.0200562
187,317.623,1,10.2191,10.8026,42.6741,52.3191,0.0961598,0.253155,1.04419,0.0215235
188,314.773,1,10.1936,10.5154,42.7378,51.9792,0.0957232,0.255757,1.04028,0.0214892
189,309.724,1,10.2043,10.6462,42.7795,50.4727,0.095421,0.253165,1.02425,0.0201869
190,317.687,1,10.2084,10.1951,42.7808,51.4007,0.0974114,0.261909,1.01253,0.0198027
191,311.733,1,10.233,10.5278,42.7315,50.5162,0.0979701,0.2566,1.00542,0.0183039
192,311.412,1,10.2013,10.2748,42.8026,51.467,0.0972167,0.260651,0.991482,0.0181573
193,304.347,1,10.2304,10.303,42.899,52.7864,0.0959247,0.259939,0.958669,0.0177478
194,304.239,1,10.2461,10.2095,42.9639,54.1388,0.096217,0.265304,0.931547,0.0165818
195,307.018,1,10.2263,9.95707,42.9715,54.2387,0.0963534,0.266533,0.929954,0.0166923
196,306.668,1,10.1804,9.99675,42.9832,54.1386,0.0959091,0.26782,0.918333,0.0168885
197,306.754,1,10.1783,9.63916,42.9806,54.6112,0.0957597,0.265642,0.92211,0.0173572
198,308.321,1,10.1819,9.9536,43.0526,54.6112,0.0952751,0.261556,0.957923,0.0180276
199,312.611,1,10.1494,10.6205,43.0114,54.0308,0.0961476,0.268494,0.968115,0.0176438
200,311.444,1,10.1588,10.9895,43.0484,53.7318,0.0957387,0.267719,1.02409,0.0176823
201,305.217,1,10.192,10.5454,43.1181,53.6824,0.0961452,0.265562,0.965391,0.016855
202,306.649,1,10.1406,10.2932,43.1588,54.1744,0.095093,0.260701,0.950059,0.0177258
203,312.323,1,10.1419,10.331,43.1605,54.6211,0.095494,0.257524,1.00699,0.0184592
204,307.534,1,10.1285,9.64058,43.2143,53.229,0.0952857,0.25549,0.943993,0.018936
205,308.732,1,10.1175,9.54931,43.1224,52.3195,0.0957489,0.255544,0.933281,0.0183561
206,303.025,1,10.1855,10.1492,43.1463,52.4394,0.0940135,0.254324,0.981294,0.0181488
207,298.396,1,10.1998,10.4102,43.0624,53.5849,0.0924717,0.256675,0.969327,0.0177776
208,304.362,1,10.2234,10.1527,43.2634,54.5126,0.0939704,0.259151,0.948721,0.0176541
209,300.936,1,10.2055,9.94377,43.2214,56.4366,0.0934727,0.266786,0.926966,0.0174085
210,309.454,1,10.1682,9.61531,43.2304,56.9518,0.0947503,0.266734,0.912186,0.0184424
211,303.266,1,10.2054,9.743,43.1675,56.4288,0.0946437,0.264197,0.937488,0.0175668
212,289.68,1,10.2196,10.1388,43.1215,56.738,0.0920969,0.26074,0.92333,0.0160388
213,298.864,1,10.1931,10.488,43.1804,53.9926,0.0923702,0.252521,0.946114,0.0162599
214,305.016,1,10.2385,10.6171,43.1893,52.8488,0.0955302,0.253429,0.948865,0.0154219
215,308.144,1,10.2381,10.447,43.2711,52.6554,0.0973604,0.254706,0.944879,0.0153452
216,306.233,1,10.1912,10.232,43.3056,55.0454,0.0958162,0.260423,0.944385,0.0165974
217,307.594,1,10.2205,10.3473,43.3924,54.2626,0.0959451,0.261795,0.95216,0.0170437
218,314.653,1,10.2411,10.5636,43.4412,54.7807,0.0972377,0.264162,0.990029,0.0176776
219,318.846,1,10.2846,10.1783,43.4694,55.5264,0.0998006,0.264502,0.975825,0.0182823
220,308.355,1,10.2674,9.97522,43.4017,54.61,0.0983739,0.260636,0.945473,0.018115
221,308.641,1,10.2473,10.533,43.3962,54.0105,0.0970775,0.258262,0.980625,0.0176468
222,304.908,1,10.1627,10.3064,43.3427,55.8091,0.0951765,0.259925,0.969964,0.0173359
223,304.296,1,10.1785,10.2613,43.2924,55.1459,0.0946379,0.249529,0.9726,0.017805
224,308.198,1,10.1282,9.84323,43.1767,55.8949,0.0942402,0.254333,0.983362,0.0184527
225,312.975,1,10.1597,9.71995,43.2205,55.6403,0.0947118,0.25909,1.01943,0.0198104
226,309.901,1,10.1883,9.87728,43.25,54.468,0.0951238,0.260515,1.01028,0.0192945
227,310.647,1,10.22,9.61729,43.2202,55.4271,0.0964224,0.261075,0.995516,0.0184429
228,309.337,1,10.2102,9.53851,43.37,54.8459,0.0967144,0.262832,0.998239,0.0173705
229,313.308,1,10.1322,9.32495,43.387,53.7425,0.0975343,0.260875,0.957383,0.0174343
230,305.133,1,10.1709,9.71261,43.3102,52.0154,0.0969183,0.258787,0.962284,0.0161332
231,306.105,1,10.1568,9.32364,43.4439,50.9219,0.0960323,0.261351,0.963417,0.0163671
232,300.328,1,10.1746,9.42017,43.4415,52.4746,0.0946313,0.260642,0.928147,0.0167093
233,306.727,1,10.1973,9.66489,43.3241,54.6765,0.0957827,0.258612,0.928082,0.0168557
234,304.82,1,10.2064,9.90648,43.3865,54.4781,0.0958223,0.258379,0.945875,0.0165169
235,308.518,1,10.2022,9.94426,43.3236,52.9833,0.0969186,0.256171,0.940748,0.0165351
236,305.541,1,10.1753,10.1179,43.3517,53.0072,0.0970722,0.254773,0.930481,0.0157015
237,306.864,1,10.1603,10.0796,43.3392,53.2944,0.0963386,0.254492,0.938819,0.0164944
238,304.85,1,10.1492,10.0252,43.3438,55.0095,0.0957822,0.262948,0.940691,0.0161723
239,300.133,1,10.1774,10.1962,43.28,55.0095,0.0946128,0.263821,0.932575,0.0160116
240,297.491,1,10.1772,10.2999,43.2513,54.9598,0.0930362,0.260582,0.946086,0.0161399
241,300.751,1,10.134,9.98435,43.2652,53.8848,0.0930925,0.264138,0.95919,0.015737
242,316.347,1,10.0943,9.72107,43.3164,53.5923,0.095538,0.264004,1.01088,0.0170382
243,311.842,1,10.1343,9.98176,43.3507,53.8338,0.0960007,0.265323,1.06479,0.0166791
244,314.448,1,10.1311,10.0191,43.3999,52.9052,0.0961672,0.26304,1.08431,0.0175389
245,309.099,1,10.1086,9.69157,43.4365,52.9529,0.0951993,0.259347,1.06535,0.0175908
246,305.657,1,10.1309,9.349,43.4838,52.642,0.095322,0.258061,0.973777,0.0176993
247,311.719,1,10.1495,9.39844,43.4081,52.7841,0.0961866,0.260942,0.958076,0.0183996
248,313.236,1,10.1477,9.66835,43.3752,52.8791,0.0972705,0.264351,0.944425,0.0180188
249,312.565,1,10.1824,9.95544,43.2918,54.0127,0.0988003,0.25899,0.955928,0.0168097
250,312.826,1,10.2022,10.0939,43.364,54.8825,0.0999232,0.257159,0.983453,0.0157692
251,307.438,1,10.2268,10.2185,43.3851,54.0884,0.100335,0.257983,0.964765,0.0142507
252,304.553,1,10.2381,10.5988,43.4111,53.9667,0.0993972,0.259724,0.937912,0.0138747
253,300.173,1,10.2441,11.2114,43.4349,53.2844,0.0966764,0.264162,0.963612,0.0139824
254,301.613,1,10.3038,11.4958,43.4296,53.6187,0.096779,0.257282,0.944291,0.0145004
255,300.879,1,10.283,11.3809,43.4107,54.2182,0.0954359,0.258866,0.956182,0.0150473
256,304.281,1,10.2229,10.6812,43.3436,55.8073,0.0950504,0.264253,0.980596,0.015464
257,304.389,1,10.185,10.3499,43.3086,54.951,0.0952934,0.260594,0.977011,0.0155161
258,300.806,1,10.1865,10.3679,43.2968,53.7082,0.094446,0.255643,0.974358,0.0157828
259,298.945,1,10.197,10.3362,43.3384,52.494,0.0944627,0.254797,0.995926,0.014729
260,297.862,1,10.1886,10.2327,43.3736,53.7301,0.0942145,0.260234,0.983989,0.0139935
261,299.184,1,10.2082,10.0586,43.3411,53.5614,0.0944748,0.262933,0.966599,0.0139809
262,286.394,1,10.2565,10.4459,43.3543,54.4198,0.0925185,0.26173,0.987727,0.012576
263,300.196,1,10.2593,10.6386,43.3703,53.5621,0.0928922,0.259908,1.03635,0.0139729
264,301.45,1,10.2193,10.6083,43.3356,53.5141,0.0930152,0.266346,1.04484,0.0144182
265,297.877,1,10.2159,10.6139,43.3984,53.6576,0.0930976,0.271574,1.02222,0.0139495
266,303.044,1,10.2103,11.028,43.4172,53.3691,0.0941234,0.26854,1.00847,0.0143574
267,309.187,1,10.2242,10.9954,43.3788,52.6016,0.0966689,0.260338,0.979602,0.01506
268,298.545,1,10.1781,10.281,43.3919,54.6405,0.0949467,0.263043,0.926607,0.0151897
269,299.504,1,10.1603,10.0422,43.4507,54.0031,0.0932721,0.258757,0.929883,0.0164158
270,294.865,1,10.1563,10.0109,43.428,54.4359,0.0931344,0.261108,0.928052,0.0147962
271,298.603,1,10.1765,9.99571,43.5004,54.9684,0.0931707,0.258236,0.933002,0.0154561
272,300.892,1,10.2033,10.1304,43.583,52.8279,0.0936355,0.255448,0.929115,0.0161798
273,299.498,1,10.2283,10.2248,43.5167,52.5682,0.0932313,0.25731,0.951544,0.0163707
274,306.077,1,10.2361,10.1254,43.5286,52.7555,0.0944631,0.259076,0.935032,0.0173628
275,299.035,1,10.2269,10.1848,43.6505,52.7555,0.0935407,0.257464,0.970809,0.0162972
276,296.991,1,10.2397,10.352,43.6472,52.4965,0.093706,0.256153,0.970002,0.0151673
277,293.599,1,10.2269,10.1026,43.6771,52.4029,0.0932014,0.25792,0.930087,0.0145918
278,296.25,1,10.2313,10.4815,43.6163,51.8407,0.093336,0.258657,0.965997,0.0138588
279,298.913,1,10.2071,10.615,43.6007,51.6096,0.0938898,0.25706,0.953868,0.0140635
280,299.885,1,10.1984,10.6185,43.5861,52.0216,0.0942836,0.259388,0.975751,0.0138148
281,292.534,1,10.1746,10.1805,43.6238,52.758,0.0938802,0.263048,1.00415,0.012154
