iteration,convergenceIndicator,phase,V_pop,Cl_pop,omega_V,omega_Cl,a1,a2
93,1005.49,1,64.7519,10.6902,0.173858,0.210702,0.283405,0.283405
94,1001.49,1,64.8468,10.6319,0.169456,0.205661,0.276229,0.276229
95,1003.18,1,63.4789,10.6234,0.165165,0.200453,0.269234,0.269234
96,1000.46,1,64.0591,10.3977,0.160983,0.210266,0.262417,0.262417
97,993.144,1,64.5561,10.4471,0.156907,0.211985,0.255773,0.255773
98,993.059,1,64.0895,10.5444,0.154425,0.206617,0.249296,0.249296
99,990.995,1,63.9442,10.528,0.150515,0.201385,0.242984,0.242984
100,984.929,1,64.1611,10.5554,0.146704,0.206408,0.236832,0.236832
101,983.214,1,63.7939,10.5885,0.142989,0.201182,0.24663,0.230835
102,984.559,1,64.2918,10.6021,0.139368,0.20243,0.251766,0.22499
103,981.857,1,64.4875,10.537,0.13584,0.197304,0.245391,0.219293
104,981.573,1,64.798,10.4732,0.1324,0.201811,0.239177,0.223206
105,969.19,1,65.0524,10.6083,0.129048,0.197547,0.236736,0.217554
106,972.763,1,65.5581,10.5899,0.12578,0.214322,0.231702,0.219147
107,977.172,1,63.6133,10.4066,0.122595,0.208895,0.230544,0.227688
108,974.243,1,62.7741,10.4848,0.119491,0.213248,0.23987,0.221923
109,973.202,1,63.7677,10.4761,0.116465,0.210688,0.240814,0.216304
110,975.411,1,63.9366,10.5444,0.114647,0.211585,0.241838,0.212059
111,970.626,1,63.3829,10.4484,0.111744,0.206227,0.238751,0.21719
112,976.228,1,64.1959,10.5478,0.112341,0.20756,0.243916,0.21237
113,979.876,1,64.1713,10.5173,0.127967,0.225751,0.243428,0.210206
114,981.563,1,64.0593,10.6582,0.124727,0.223573,0.237264,0.22402
115,981.908,1,64.7041,10.5536,0.131163,0.222708,0.237173,0.218348
116,976.959,1,64.9068,10.6716,0.141752,0.217069,0.231168,0.223388
117,974.287,1,64.3329,10.6498,0.138162,0.211573,0.225314,0.227705
118,972.452,1,63.6145,10.4958,0.134664,0.212856,0.231688,0.221939
119,977.644,1,63.9956,10.5089,0.131254,0.211399,0.23826,0.218319
120,978.197,1,64.8233,10.6373,0.127931,0.206215,0.235088,0.220774
121,969.875,1,64.7563,10.6452,0.124692,0.206039,0.229136,0.223764
122,972.399,1,64.7963,10.6794,0.121534,0.205226,0.224441,0.226957
123,970.631,1,66.4564,10.7327,0.118457,0.206469,0.223491,0.224815
124,972.473,1,65.506,10.7195,0.115458,0.221221,0.225038,0.22685
125,978.613,1,66.4318,10.7395,0.112534,0.215761,0.228556,0.228279
126,974.719,1,66.6175,10.5617,0.111458,0.211065,0.224271,0.228869
127,975.473,1,65.5799,10.6342,0.11232,0.20572,0.222355,0.233015
128,974.44,1,63.8381,10.3865,0.111969,0.206907,0.23004,0.227115
129,974.33,1,62.916,10.4685,0.109134,0.201668,0.233991,0.22232
130,974.779,1,63.2153,10.4448,0.106371,0.210907,0.228066,0.228179
131,970.558,1,63.2461,10.4806,0.112493,0.205567,0.226297,0.223317
132,977.541,1,63.6081,10.5313,0.120651,0.205843,0.225328,0.229348
133,979.853,1,64.2422,10.6243,0.129945,0.210513,0.224424,0.229799
134,976.566,1,64.47,10.6602,0.126655,0.205722,0.222289,0.230353
135,972.153,1,64.8506,10.7118,0.123448,0.200513,0.217741,0.23586
136,971.875,1,64.6983,10.5866,0.120322,0.209077,0.219539,0.231423
137,973.616,1,63.7928,10.5765,0.117275,0.215334,0.21398,0.242415
138,973.387,1,65.2952,10.6204,0.121687,0.210613,0.21105,0.238526
139,979.969,1,66.2852,10.5244,0.132483,0.220109,0.220494,0.232486
140,983.458,1,64.2774,10.6681,0.139988,0.217848,0.230227,0.2266
141,976.723,1,63.0205,10.551,0.136443,0.212332,0.228517,0.222831
142,975.762,1,64.495,10.6606,0.132989,0.206956,0.227928,0.224159
143,978.206,1,65.2121,10.6414,0.129621,0.201715,0.236631,0.22017
144,975.152,1,64.6237,10.6207,0.129851,0.20823,0.23064,0.225727
145,978.71,1,64.2693,10.7177,0.126563,0.202957,0.239859,0.220603
146,979.539,1,65.7411,10.7493,0.123358,0.216598,0.236243,0.222436
147,970.22,1,65.8641,10.5734,0.120235,0.211458,0.238876,0.216804
148,981.642,1,67.3755,10.7577,0.119629,0.21805,0.232828,0.23382
149,978.587,1,67.301,10.5897,0.122306,0.2155,0.230122,0.2279
150,980.965,1,66.0581,10.652,0.125739,0.214161,0.23126,0.224817
151,972.995,1,65.0801,10.6143,0.122556,0.208739,0.238478,0.219125
152,975.631,1,65.655,10.4579,0.121726,0.209257,0.23244,0.219766
153,971.92,1,65.1206,10.5754,0.118644,0.205688,0.230895,0.218121
154,979.779,1,64.0254,10.5363,0.115803,0.206633,0.233499,0.225135
155,975.075,1,63.6237,10.5855,0.114892,0.201401,0.236354,0.219434
156,976.846,1,63.8011,10.5153,0.125212,0.20135,0.232116,0.221351
157,976.653,1,63.066,10.4588,0.122042,0.200694,0.233287,0.223381
158,974.247,1,62.4548,10.5079,0.118952,0.199496,0.230193,0.225355
159,975.805,1,63.2749,10.557,0.11594,0.205541,0.224365,0.233804
160,975.429,1,62.6808,10.5728,0.113004,0.200337,0.223185,0.237261
161,978.385,1,62.6743,10.4736,0.110143,0.205936,0.226696,0.234994
162,977.51,1,63.7951,10.4941,0.107354,0.200722,0.231034,0.229837
163,974.969,1,64.502,10.5015,0.104636,0.195639,0.231791,0.230183
164,976.858,1,63.7465,10.5098,0.102262,0.199823,0.234351,0.226074
165,968.942,1,64.0953,10.6041,0.0996725,0.194763,0.232228,0.22134
166,967.904,1,63.986,10.6293,0.102045,0.210283,0.226348,0.226609
167,966.475,1,63.6631,10.4559,0.0994613,0.205139,0.234503,0.220871
168,974.411,1,63.0938,10.4224,0.111679,0.208118,0.234459,0.218958
169,979.509,1,62.6593,10.5104,0.128561,0.215496,0.236358,0.217404
170,971.756,1,63.0611,10.5202,0.125306,0.21004,0.230373,0.217783
171,977.042,1,62.4351,10.4971,0.122133,0.204721,0.239858,0.218063
172,970.096,1,62.4042,10.4722,0.119041,0.199871,0.240303,0.213292
173,978.958,1,62.6464,10.5322,0.116026,0.20536,0.244009,0.215736
174,974.084,1,63.1768,10.5198,0.113088,0.205203,0.2397,0.214279
175,973.298,1,63.5267,10.4828,0.114322,0.200058,0.240364,0.212844
176,971.757,1,63.4625,10.46,0.112193,0.20379,0.234278,0.218618
177,972.001,1,63.3173,10.4978,0.120009,0.209581,0.230691,0.217244
178,972.648,1,62.9088,10.4262,0.122354,0.204275,0.235329,0.214601
179,975.313,1,62.8139,10.4461,0.119255,0.210841,0.229371,0.224313
180,969.684,1,62.3376,10.3633,0.116236,0.205502,0.236437,0.218633
181,973.103,1,61.8449,10.3678,0.113293,0.21359,0.23045,0.224585
182,976.362,1,63.3932,10.3982,0.110424,0.209991,0.241224,0.218898
183,969.204,1,63.3792,10.4882,0.107628,0.204674,0.241409,0.213356
184,970.175,1,63.9073,10.557,0.107579,0.206658,0.242097,0.208771
185,977.428,1,64.3671,10.5924,0.10821,0.203015,0.241472,0.217749
186,975.04,1,65.106,10.6806,0.109785,0.201992,0.241692,0.214568
187,978.316,1,64.9287,10.6202,0.121176,0.219052,0.235572,0.221084
188,978.415,1,66.087,10.6847,0.118108,0.214781,0.237267,0.221419
189,973.611,1,65.8958,10.6358,0.115118,0.211443,0.231819,0.219208
190,972.345,1,64.9762,10.5571,0.120526,0.210524,0.23098,0.217082
191,971.446,1,63.6169,10.5188,0.117474,0.214577,0.233294,0.216358
192,970.303,1,62.9701,10.5418,0.1145,0.211093,0.228641,0.222118
193,974.479,1,64.5791,10.5269,0.111601,0.22717,0.224739,0.230532
194,973.157,1,63.405,10.4999,0.113513,0.221418,0.226198,0.224694
195,970.322,1,62.6366,10.4197,0.110638,0.215811,0.227817,0.223288
196,972.241,1,63.9421,10.5452,0.116774,0.210347,0.228926,0.220289
197,975.708,1,64.8749,10.4693,0.122019,0.207887,0.230326,0.221554
198,976.025,1,64.2678,10.5715,0.121257,0.202623,0.228304,0.225068
199,978.241,1,62.9451,10.4609,0.118186,0.197492,0.23977,0.221032
200,977.095,1,62.0933,10.4539,0.115194,0.201567,0.233699,0.226708
201,970.531,1,62.2426,10.4725,0.116253,0.208647,0.227782,0.220968
202,975.998,1,60.5958,10.3025,0.113309,0.203711,0.233203,0.224378
203,976.522,1,60.9289,10.3328,0.11044,0.207428,0.238789,0.218697
204,974.967,1,61.1361,10.3788,0.107644,0.202176,0.236431,0.224219
205,976.139,1,61.4094,10.4193,0.110137,0.19854,0.239137,0.218552
206,975.764,1,62.2785,10.335,0.114397,0.19622,0.239351,0.2171
207,983.163,1,62.8536,10.358,0.117112,0.207556,0.239975,0.222445
208,975.625,1,62.8335,10.4861,0.114147,0.214494,0.242737,0.216813
209,976.825,1,63.8713,10.6033,0.111257,0.209063,0.251631,0.211323
210,968.644,1,64.1577,10.5875,0.10844,0.20377,0.246125,0.207413
211,971.337,1,63.9095,10.5665,0.105694,0.198731,0.241049,0.216232
212,967.214,1,64.5261,10.6316,0.103018,0.200026,0.239163,0.213693
213,972.139,1,63.8358,10.5271,0.110326,0.208051,0.237323,0.21416
214,979.139,1,63.8009,10.5899,0.123964,0.204338,0.237719,0.21858
215,978.132,1,63.8958,10.4619,0.135212,0.214257,0.2317,0.219411
216,982.225,1,64.3623,10.6222,0.140392,0.208832,0.228603,0.227005
217,973.361,1,64.7006,10.5966,0.136837,0.203544,0.223088,0.228305
218,976.307,1,64.8417,10.5884,0.133373,0.199064,0.220771,0.231097
219,980.017,1,65.4404,10.6385,0.129996,0.20513,0.225302,0.230091
220,977.822,1,64.6116,10.6908,0.126704,0.209815,0.233352,0.224265
221,972.225,1,64.0043,10.5818,0.123496,0.205809,0.227443,0.226754
222,970.637,1,63.3119,10.5209,0.120369,0.210427,0.228584,0.223508
223,980.379,1,62.8302,10.5319,0.117321,0.205099,0.237863,0.222568
224,978.359,1,62.8424,10.52,0.120742,0.200088,0.23736,0.219533
225,978.062,1,61.6548,10.4655,0.127088,0.20008,0.242967,0.213974
226,971.758,1,63.1299,10.4401,0.12387,0.223165,0.240084,0.210904
227,975.994,1,62.987,10.4221,0.120733,0.220723,0.239841,0.21296
228,976.623,1,63.1583,10.5534,0.122173,0.215177,0.240098,0.212442
229,981.591,1,63.8347,10.565,0.146213,0.209729,0.244736,0.209802
230,978.627,1,63.9711,10.5275,0.142511,0.204418,0.238539,0.218402
231,976.543,1,64.6514,10.5724,0.138903,0.208594,0.232499,0.223706
232,971.596,1,63.9742,10.588,0.135386,0.203312,0.226612,0.226269
233,970.436,1,64.3746,10.5967,0.131958,0.207248,0.226737,0.22054
234,971.361,1,63.2739,10.5186,0.128616,0.206426,0.230055,0.218636
235,977.007,1,64.4051,10.4884,0.12536,0.208452,0.23404,0.21901
236,981.262,1,64.6098,10.4732,0.125396,0.205248,0.234323,0.223693
237,971.088,1,64.305,10.4916,0.122221,0.201186,0.232376,0.218029
238,971.894,1,64.6213,10.4863,0.119126,0.21067,0.226493,0.225106
239,971.096,1,64.4232,10.5365,0.11611,0.205336,0.23005,0.221276
240,968.644,1,64.8388,10.6048,0.11317,0.201163,0.224225,0.22738
241,966.104,1,64.5133,10.5744,0.110304,0.202817,0.22382,0.225515
242,972.128,1,63.3775,10.4312,0.11423,0.206401,0.225601,0.224397
243,980.945,1,61.4825,10.4151,0.125199,0.211885,0.231665,0.224892
244,978.633,1,62.9148,10.4198,0.122029,0.21076,0.236092,0.219862
245,981.661,1,64.0727,10.427,0.134454,0.205423,0.242716,0.214751
246,986.206,1,63.6458,10.4538,0.147717,0.210979,0.237352,0.220362
247,988.097,1,64.4859,10.4164,0.148107,0.217344,0.244197,0.215287
248,981.111,2,63.3782,10.4608,0.144357,0.211841,0.238014,0.220514
249,980.575,2,63.0731,10.468,0.140702,0.206477,0.238551,0.217398
250,974.52,2,64.6181,10.5344,0.133533,0.200462,0.233937,0.215096
251,977.822,2,64.3709,10.5432,0.123704,0.202363,0.238786,0.216422
252,971.487,2,64.8534,10.5635,0.103566,0.205066,0.235818,0.217618
253,976.642,2,64.9265,10.6443,0.112872,0.214849,0.24075,0.214027
254,976.023,2,64.0886,10.551,0.108649,0.211629,0.250801,0.206842
255,971.308,2,63.2682,10.453,0.103026,0.209072,0.246126,0.208278
256,978.715,2,63.1265,10.4192,0.102622,0.209923,0.251441,0.209865
257,970.752,2,62.6072,10.4014,0.093924,0.206099,0.251032,0.207651
258,972.797,2,62.6954,10.4105,0.0910313,0.209092,0.252183,0.207692
259,970.785,2,62.4893,10.4103,0.0861897,0.203885,0.250343,0.210215
260,969.383,2,62.8148,10.4199,0.0857926,0.202391,0.24692,0.212018
261,964.485,2,62.9921,10.5207,0.0840879,0.19381,0.243327,0.213116
262,964.511,2,62.6005,10.4475,0.0847202,0.196515,0.235765,0.218042
263,967.369,2,62.9974,10.4272,0.0929186,0.203019,0.234515,0.216734
264,966.38,2,62.5737,10.4015,0.0932787,0.202786,0.23332,0.217587
265,965.596,2,62.4932,10.3959,0.0870049,0.206201,0.236697,0.215703
266,972.478,2,62.8461,10.4011,0.0852668,0.210819,0.240389,0.215987
267,969.918,2,63.0974,10.4885,0.0863532,0.209249,0.237541,0.21874
268,962.163,2,63.2012,10.4512,0.0840512,0.207297,0.234652,0.218697
269,965.313,2,62.8113,10.4204,0.0841927,0.203643,0.233204,0.220113
270,966.647,2,62.9348,10.4611,0.0860453,0.203527,0.231264,0.221664
271,964.32,2,63.2225,10.5076,0.0834828,0.205283,0.230131,0.222639
272,967.734,2,63.4106,10.5443,0.0831335,0.20617,0.23128,0.222474
273,971.425,2,63.4108,10.539,0.0815648,0.207133,0.231871,0.224435
274,968.061,2,63.1294,10.5357,0.080791,0.206608,0.234081,0.22272
275,966.595,2,63.0554,10.5485,0.0792603,0.20664,0.234272,0.222629
276,968.028,2,63.4611,10.5722,0.0780163,0.21124,0.233201,0.2236
277,961.827,2,63.5867,10.5587,0.0779061,0.212409,0.231504,0.223232
278,959.302,2,63.5968,10.5436,0.0747884,0.214714,0.232623,0.221169
279,966.988,2,63.6492,10.5527,0.0762013,0.212142,0.232683,0.221604
280,966.552,2,63.545,10.534,0.0769309,0.210593,0.234122,0.220563
281,965.969,2,63.6355,10.5149,0.0768722,0.209034,0.235358,0.219805
282,968.438,2,63.6417,10.5076,0.0754671,0.207929,0.2367,0.219989
283,967.327,2,63.5721,10.5191,0.0764706,0.208355,0.23522,0.221153
284,965.395,2,63.551,10.5223,0.0766828,0.206453,0.234747,0.221611
285,975.749,2,63.5925,10.5086,0.078017,0.207975,0.235983,0.221477
286,967.749,2,63.5598,10.4976,0.077394,0.208759,0.236115,0.221485
287,970.85,2,63.7522,10.5045,0.0773436,0.209676,0.234853,0.223084
288,967.499,2,63.7701,10.5005,0.0756175,0.211841,0.234881,0.223359
289,967.133,2,63.7213,10.5142,0.0745839,0.212394,0.234701,0.223749
290,972.108,2,63.7814,10.5246,0.0755377,0.21238,0.234438,0.224157
291,966.377,2,63.7338,10.5321,0.0765695,0.212209,0.234304,0.223598
292,967.413,2,63.6888,10.535,0.0755627,0.213193,0.233813,0.224252
293,963.921,2,63.7499,10.529,0.0745177,0.212364,0.234066,0.224112
294,966.634,2,63.8163,10.5404,0.0748116,0.212354,0.234799,0.223169
295,968.306,2,63.7998,10.5463,0.0747982,0.213028,0.235013,0.22293
296,964.587,2,63.8344,10.5515,0.0750365,0.211933,0.235332,0.222403
297,966.144,2,63.7736,10.541,0.0754137,0.210652,0.235264,0.222388
298,967.82,2,63.7241,10.542,0.0754969,0.210659,0.234774,0.222851
299,971.68,2,63.7179,10.5404,0.0753185,0.210633,0.234945,0.222869
300,966.111,2,63.7146,10.5401,0.07509,0.21025,0.235105,0.222843
301,961.662,2,63.7146,10.5408,0.0749194,0.210009,0.235004,0.22292
302,959.416,2,63.7153,10.5409,0.0746885,0.209894,0.235093,0.22278
303,963.226,2,63.7101,10.5411,0.0745539,0.209607,0.23513,0.222763
304,963.295,2,63.7061,10.5405,0.0746355,0.209465,0.235134,0.222664
305,966.779,2,63.7047,10.5408,0.074608,0.209534,0.234968,0.222817
306,965.911,2,63.7117,10.5411,0.0746638,0.209399,0.234885,0.222869
307,974.15,2,63.7209,10.5401,0.0749148,0.209309,0.234796,0.223
308,970.285,2,63.7241,10.54,0.075015,0.209299,0.234859,0.22296
309,964.747,2,63.7268,10.5387,0.0749237,0.209352,0.23489,0.222913
310,967.073,2,63.7448,10.5392,0.0748359,0.209335,0.2349,0.222943
311,967.773,2,63.7508,10.5396,0.0748044,0.209358,0.234951,0.222915
312,962.022,2,63.7621,10.5402,0.0746367,0.2093,0.235004,0.222851
313,965.971,2,63.7723,10.5392,0.0747115,0.209267,0.234973,0.222833
314,965.166,2,63.7725,10.5378,0.0745949,0.209163,0.235027,0.222814
315,969.293,2,63.7777,10.5361,0.0746625,0.209238,0.234829,0.223
316,963.434,2,63.7764,10.5378,0.0746441,0.209145,0.234709,0.223074
317,972.321,2,63.7676,10.5395,0.0746115,0.209043,0.23473,0.223174
318,969.389,2,63.7579,10.5411,0.0747034,0.209031,0.234684,0.223217
319,964.412,2,63.7604,10.54,0.0745881,0.209117,0.234569,0.223318
320,964.193,2,63.7588,10.5413,0.0744263,0.208987,0.234563,0.223367
321,966.893,2,63.7643,10.5413,0.0744254,0.208986,0.234529,0.223397
322,966.732,2,63.7599,10.5412,0.0743355,0.208969,0.234446,0.223513
323,964.453,2,63.7574,10.5405,0.0742068,0.208981,0.234513,0.223463
324,965.087,2,63.7641,10.5405,0.0741154,0.208941,0.234514,0.223478
325,970.431,2,63.7791,10.5409,0.0741938,0.208942,0.234454,0.223553
326,968.766,2,63.7752,10.5405,0.0743056,0.208959,0.234472,0.22351
327,964.038,2,63.7737,10.5382,0.0743243,0.208927,0.234432,0.2235
328,968.401,2,63.7704,10.5382,0.074464,0.208905,0.234356,0.223535
329,971.457,2,63.7711,10.5352,0.0745976,0.208977,0.234309,0.223574
330,966.056,2,63.7686,10.5337,0.0744913,0.208948,0.234296,0.223622
331,967.234,2,63.7621,10.5319,0.0745746,0.208935,0.234201,0.223681
332,966.44,2,63.7652,10.5314,0.074436,0.208953,0.23421,0.223721
333,967.127,2,63.7682,10.5327,0.0744897,0.208845,0.234129,0.223792
334,964.194,2,63.777,10.5335,0.0744016,0.208815,0.234119,0.223806
335,963.988,2,63.7775,10.5325,0.0743837,0.208911,0.234039,0.223833
336,969.441,2,63.7741,10.5317,0.0744646,0.208947,0.234043,0.22382
337,967.617,2,63.7787,10.5322,0.0745563,0.208943,0.234043,0.223789
338,973.185,2,63.7734,10.5326,0.0746503,0.209058,0.234061,0.223792
339,971.424,2,63.7798,10.532,0.0747645,0.209052,0.234103,0.223759
340,972.121,2,63.7884,10.532,0.0748166,0.20913,0.234184,0.223711
341,974.242,2,63.7956,10.5346,0.0747453,0.209159,0.234284,0.223731
342,963.281,2,63.7987,10.5355,0.074682,0.209215,0.234266,0.223716
343,966.059,2,63.8024,10.5375,0.0746313,0.209218,0.234277,0.223712
344,964.143,2,63.8039,10.538,0.0746081,0.209122,0.234269,0.223707
345,970.699,2,63.7975,10.5386,0.0747612,0.209051,0.234203,0.223757
346,967.325,2,63.7965,10.5384,0.0747566,0.209059,0.234266,0.223698
