iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,corr_V2_V1,omega_Cl,omega_Q,omega_V1,omega_V2
71,1254.12,1,8.24142,5.52147,61.2904,414.081,0.49825,0.49825,0,0.260515,1.24552,0.402891,1.06354
72,1251.7,1,8.66161,3.66212,64.3595,367.028,0.485634,0.485634,0,0.253919,1.26883,0.39269,1.03661
73,1244.37,1,8.49826,4.20245,62.2075,339.406,0.473338,0.473338,0,0.24749,1.2572,0.382746,1.01036
74,1230.93,1,8.51458,4.5694,57.4553,312.331,0.461352,0.461352,0,0.241223,1.22537,0.373055,1.01757
75,1226.33,1,8.5803,5.47895,53.5898,336.988,0.449671,0.449671,0,0.235115,1.19434,0.363609,1.02357
76,1204.54,1,8.64058,5.62531,57.5528,328.291,0.438285,0.438285,0,0.229162,1.1641,0.354402,0.997648
77,1204.19,1,8.93554,4.18785,58.7938,293.259,0.427187,0.427187,0,0.223359,1.17768,0.345429,0.991531
78,1182.28,1,8.90675,3.74297,61.0255,273.731,0.416371,0.416371,-0.152756,0.217704,1.14786,0.336682,0.966425
79,1174.26,1,8.90347,4.53165,57.4826,288.515,0.405828,0.405828,0.0559752,0.221677,1.11879,0.328157,0.941955
80,1164.86,1,9.11712,4.87378,57.3733,261.823,0.395552,0.395552,0.128691,0.216064,1.09046,0.319848,0.955137
81,1162.44,1,9.26455,6.19864,53.8562,260.744,0.385536,0.385536,-0.00241693,0.210593,1.06285,0.311749,0.94328
82,1158.87,1,9.11663,6.61517,53.2337,224.719,0.375774,0.375774,-0.266041,0.205261,1.07039,0.303856,0.946076
83,1150.85,1,9.07395,6.50121,55.3169,188.148,0.36626,0.36626,-0.246372,0.215893,1.04329,0.296162,1.0259
84,1125.99,1,9.18906,7.56294,54.7586,210.871,0.356986,0.356986,-0.139181,0.210427,1.01687,0.288663,0.99992
85,1120.68,1,9.21469,8.40504,55.8412,201.414,0.347947,0.347947,-0.0541101,0.205099,0.991127,0.281354,0.974602
86,1101.99,1,9.28285,6.93487,53.2557,158.356,0.339136,0.339136,-0.277481,0.199905,0.966031,0.27423,0.949924
87,1103.13,1,9.12724,6.939,53.5897,167.221,0.330549,0.330549,-0.16387,0.194844,0.94157,0.267286,0.961227
88,1096.17,1,9.51481,7.10662,54.0753,165.624,0.32218,0.32218,-0.11323,0.18991,0.917729,0.266106,0.936888
89,1090.27,1,9.31776,7.33582,54.2428,173.189,0.314022,0.314022,-0.0210658,0.185101,0.894492,0.259368,0.94291
90,1078.2,1,9.2506,7.04173,52.6829,154.111,0.306071,0.306071,0.0167957,0.192568,0.871843,0.252801,1.07757
91,1078.3,1,9.31243,8.23164,49.5565,144.586,0.298321,0.298321,0.130978,0.19797,0.849767,0.246399,1.05029
92,1056.3,1,9.61275,9.19679,49.9678,139.103,0.290767,0.290767,-0.047233,0.192957,0.828251,0.24016,1.02369
93,1058.91,1,9.67213,9.34056,50.2784,118.11,0.283405,0.283405,-0.101312,0.199759,0.807279,0.234079,0.997774
94,1052.09,1,9.80786,9.26592,50.0922,96.3075,0.276229,0.276229,-0.264273,0.198429,0.786838,0.228152,0.972509
95,1045.22,1,9.73299,9.39812,50.5968,107.034,0.269234,0.269234,-0.413557,0.19828,0.766915,0.222376,0.947885
96,1030.94,1,9.92726,10.0873,48.0989,113.454,0.262417,0.262417,-0.444222,0.210238,0.747496,0.216745,0.923884
97,1027.05,1,9.69602,9.4266,48.4145,124.961,0.255773,0.255773,-0.334456,0.204915,0.736316,0.211257,0.90556
98,1018.32,1,9.90846,9.60924,49.5055,117.865,0.249296,0.249296,-0.161308,0.199727,0.720218,0.205908,0.908876
99,1014.85,1,9.79443,9.72983,50.9106,120.986,0.242984,0.242984,-0.116636,0.200926,0.701982,0.208142,0.929785
100,1010.22,1,9.69374,9.36275,50.5881,125.335,0.236832,0.236832,-0.0545941,0.195839,0.684208,0.202872,0.966365
101,1013.06,1,9.55503,9.03923,49.5224,130.889,0.230835,0.230835,0.0721491,0.201038,0.666883,0.197735,0.941896
102,997.031,1,9.29846,9.08964,49.7825,138.662,0.201876,0.189042,0.0376062,0.237665,0.505241,0.196635,0.988419
103,982.574,1,9.25778,8.71606,49.4129,167.901,0.202109,0.179284,0.0350321,0.224905,0.553896,0.186848,0.853591
104,976.819,1,9.52961,8.8716,49.5385,164.007,0.206706,0.177321,0.0857717,0.202149,0.535568,0.164249,0.843468
105,970.076,1,9.59241,9.60871,50.2186,149.265,0.220604,0.167258,0.0735054,0.187464,0.504681,0.159887,0.743859
106,967.691,1,9.49837,9.87257,48.964,151.397,0.227535,0.157951,0.124493,0.202376,0.474757,0.165891,0.780536
107,963.356,1,9.5483,9.90316,49.4463,146.282,0.233625,0.149342,0.177194,0.203072,0.451011,0.172162,0.834857
108,959.691,1,9.41519,9.57215,48.3301,143.291,0.236576,0.143135,0.182976,0.21523,0.413585,0.188312,0.846647
109,942.929,1,9.13146,9.97779,48.1461,145.204,0.250647,0.123205,0.107693,0.204211,0.402438,0.17272,1.0222
