iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,a1,a2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
44,925.18,1,8.80363,13.1559,47.4348,97.2893,2.01848,2.57162,0.916767,0.321028,0.368691,0.199436,1.55169,0.223524
45,915.205,1,8.59989,12.0798,48.5296,116.4,2.06369,2.46098,0.917588,0.327298,0.329767,0.19279,1.49753,0.215446
46,905.802,1,8.94733,11.9116,48.6949,116.898,2.08599,2.40181,0.915808,0.300405,0.344912,0.185031,1.33943,0.213528
47,889.984,1,8.77831,12.071,49.0905,124.963,1.96365,2.3807,0.913191,0.300142,0.327351,0.176572,1.26886,0.216917
48,895.823,1,8.87899,11.528,49.0222,120.405,1.96313,2.43902,0.916221,0.30212,0.343809,0.171008,1.30958,0.214581
49,904.627,1,8.9036,11.2083,49.6608,117.16,2.03567,2.44149,0.917188,0.304441,0.335464,0.179813,1.36677,0.210895
50,898.407,1,8.92918,11.3957,49.8829,108.43,1.96003,2.42462,0.91683,0.319793,0.309303,0.188497,1.50615,0.205232
51,899.642,1,8.93738,11.1195,49.4662,104.67,2.01525,2.38764,0.912353,0.30653,0.306574,0.194088,1.45791,0.208034
52,895.602,1,8.9742,11.5501,49.4965,115.055,1.99755,2.35748,0.90267,0.307405,0.324121,0.197913,1.32815,0.211927
53,894.879,1,9.07749,11.8412,48.4643,114.914,1.95937,2.4562,0.917119,0.298308,0.308797,0.202296,1.18793,0.215476
54,890.53,1,8.87821,11.7637,48.5796,115.072,1.97046,2.46827,0.918491,0.27738,0.303264,0.180939,1.27334,0.194097
55,895.74,1,9.06136,12.1387,48.6124,115.507,2.04235,2.40928,0.913143,0.279412,0.31396,0.174189,1.27561,0.211749
56,895.539,1,9.07319,12.3236,48.2757,105.77,2.0362,2.41983,0.922101,0.271846,0.316021,0.180605,1.23829,0.211325
57,902.403,1,9.15606,12.0169,47.9104,97.0623,2.02595,2.44233,0.916877,0.261303,0.364242,0.192918,1.30546,0.210274
58,899.46,1,9.29893,11.8526,48.2626,97.0338,1.98872,2.52217,0.908323,0.258924,0.325788,0.203516,1.16764,0.211429
59,901.397,1,9.38718,11.2135,47.6262,86.7357,1.96456,2.53131,0.909195,0.259581,0.322345,0.217832,1.20347,0.214184
60,891.752,1,9.39775,11.3955,47.1507,81.6404,1.90221,2.46546,0.904807,0.263068,0.333242,0.204475,1.24744,0.222535
61,897.894,1,9.41152,11.585,47.8408,77.2991,1.95434,2.45319,0.910502,0.271078,0.357418,0.204579,1.26231,0.212913
62,892.225,1,9.50529,11.1782,47.7526,74.2738,1.92228,2.49039,0.923147,0.259654,0.322733,0.200501,1.26549,0.20672
63,896.534,1,9.35578,11.0386,48.1189,79.1583,1.95976,2.46177,0.915366,0.260196,0.336716,0.216599,1.2635,0.202745
64,899.234,1,9.34376,10.9801,47.8542,76.809,1.98563,2.49411,0.920579,0.268861,0.327373,0.203711,1.2742,0.195833
65,900.538,1,9.30381,11.7372,48.0886,85.9853,2.07097,2.40715,0.915025,0.262189,0.318271,0.205154,1.23109,0.212579
66,899.502,1,9.38224,12.0353,48.08,82.7756,1.94729,2.4803,0.907441,0.274702,0.333148,0.207779,1.31129,0.215105
67,893.513,1,9.28152,12.0984,48.6006,84.7562,1.94041,2.4415,0.91762,0.273106,0.329329,0.207346,1.26012,0.210381
68,892.372,1,9.39739,12.1482,48.0932,83.9199,1.9446,2.4008,0.922539,0.272384,0.326414,0.208163,1.32249,0.214414
69,898.844,1,9.43642,11.8659,48.1061,78.737,1.92288,2.50175,0.92711,0.258503,0.325024,0.226511,1.3129,0.21551
70,901.449,1,9.45001,11.6343,48.4628,77.3994,2.04686,2.42359,0.904055,0.26574,0.332897,0.202597,1.32394,0.208345
71,909.335,1,9.33401,11.2768,48.1438,82.3541,2.06062,2.4591,0.912759,0.278183,0.357276,0.190157,1.36796,0.212112
72,896.593,1,9.34362,11.3799,47.9191,88.679,1.9937,2.39474,0.914146,0.263528,0.356918,0.19491,1.40009,0.20388
73,898.431,1,9.23066,12.297,47.9872,87.9666,1.98889,2.38993,0.910737,0.256447,0.373018,0.213365,1.36079,0.207392
74,897.048,1,9.33081,11.8886,48.5393,100.882,2.09319,2.32897,0.908932,0.257587,0.333638,0.201086,1.29188,0.21912
75,894.126,1,9.17948,11.7703,48.8012,98.5072,2.05868,2.30513,0.92143,0.253529,0.314658,0.201977,1.42662,0.217304
76,893.496,1,9.18681,11.9676,48.9261,98.5628,2.05955,2.33744,0.920116,0.256087,0.281439,0.214712,1.4445,0.200707
77,894.309,1,9.26541,11.9625,47.9798,103.409,2.00471,2.40243,0.913395,0.25513,0.300105,0.215307,1.34332,0.205163
78,896.885,1,9.22493,12.1811,49.1498,97.0771,2.00723,2.34521,0.918083,0.262407,0.340812,0.221801,1.3644,0.215262
79,901.028,1,9.21651,11.9927,48.1428,98.6069,1.93596,2.47779,0.915732,0.269725,0.347147,0.222343,1.3516,0.210965
80,908.909,1,9.24538,12.4462,48.3774,99.9594,1.98254,2.49181,0.922539,0.265342,0.373681,0.227107,1.38324,0.206408
81,904.865,1,9.25763,12.3063,48.629,100.171,1.99799,2.4448,0.922546,0.270658,0.35814,0.203131,1.36905,0.223136
82,900.61,1,9.17555,12.0979,48.563,102.491,1.92077,2.53708,0.9251,0.278555,0.321593,0.213827,1.27998,0.21409
83,892.529,1,9.25192,11.9058,48.1608,86.1128,1.91881,2.46696,0.909248,0.275804,0.311953,0.211951,1.25162,0.210309
84,895.695,1,9.27603,11.8345,48.5304,81.3026,1.9452,2.45317,0.908502,0.274688,0.30286,0.220699,1.34535,0.205897
85,911.683,1,9.12733,11.3658,48.6481,85.1888,2.02992,2.51096,0.899636,0.270544,0.319454,0.206555,1.48511,0.216079
86,902.04,1,9.29855,11.5039,48.2779,73.0489,2.00876,2.45418,0.905371,0.272889,0.310657,0.200388,1.44097,0.208457
87,894.614,1,9.30255,11.6099,48.4889,75.7171,1.99664,2.39984,0.90637,0.285473,0.281069,0.185677,1.44702,0.220651
88,898.865,1,9.25557,11.3603,49.2178,76.0313,2.02091,2.42708,0.914836,0.294492,0.269012,0.196799,1.39901,0.21626
89,900.68,1,9.20291,11.8951,48.6695,84.6596,2.04842,2.46294,0.92282,0.291085,0.253158,0.189125,1.39644,0.213153
90,903.741,1,9.18939,11.8106,47.8025,76.7819,2.04381,2.51015,0.89549,0.284638,0.244152,0.209674,1.44264,0.196276
91,902.666,1,9.31476,12.1693,48.6393,79.5754,2.00338,2.52128,0.913537,0.285056,0.229678,0.228721,1.48895,0.198123
92,905.531,1,9.30566,12.2948,48.5335,75.1177,2.04991,2.51063,0.909004,0.28059,0.229949,0.233705,1.478,0.193103
93,903.267,1,9.2114,12.4944,47.4046,77.4203,1.99257,2.49446,0.914639,0.29292,0.245743,0.22296,1.50764,0.208302
94,897.717,1,9.41042,11.9448,47.7694,69.0449,1.98539,2.52429,0.926648,0.277021,0.230442,0.222072,1.38055,0.199573
95,897.4,1,9.36829,11.5074,48.7683,79.2799,1.92147,2.55714,0.929088,0.27676,0.260011,0.208629,1.32692,0.222041
96,894.128,1,9.33169,12.1966,48.276,79.8698,1.91047,2.55871,0.922519,0.276921,0.23619,0.206078,1.40279,0.215587
97,893.908,1,9.2843,12.5737,47.7467,71.3247,1.90943,2.49628,0.905865,0.283924,0.267112,0.220569,1.35155,0.212705
98,896.907,1,9.16392,12.7262,47.1732,77.7184,1.99375,2.46078,0.89636,0.283811,0.238912,0.218668,1.35408,0.224303
99,887.34,1,9.31138,12.8828,47.6197,77.1909,1.98161,2.35297,0.911577,0.286217,0.268487,0.202856,1.31981,0.214995
100,887.449,1,9.33977,12.7096,47.3208,75.5489,2.00611,2.34264,0.907855,0.281724,0.258029,0.205564,1.29811,0.216866
101,895.652,1,9.365,12.6045,47.5515,73.9715,2.00231,2.42186,0.916333,0.296638,0.230788,0.210308,1.42087,0.222789
102,890.196,1,9.31051,11.9463,48.3678,85.39,1.94741,2.44764,0.916871,0.291608,0.258094,0.203018,1.33064,0.207126
103,895.845,1,9.36716,11.9832,48.1947,85.4705,1.99075,2.45021,0.918582,0.294933,0.271137,0.218335,1.26855,0.198619
104,901.695,1,9.3776,12.3802,48.848,85.5794,2.04954,2.40816,0.930971,0.300974,0.293985,0.210583,1.30573,0.205514
105,898.397,1,9.29334,12.4032,47.9902,90.9455,1.98782,2.45559,0.904114,0.288114,0.268831,0.215218,1.33772,0.215036
106,898.777,1,9.2477,11.6771,48.1529,93.8238,2.00308,2.45409,0.916926,0.278555,0.282321,0.205033,1.31103,0.219097
107,904.341,1,9.25199,12.2897,47.3316,88.8992,2.00816,2.46203,0.920088,0.276504,0.345243,0.20635,1.30739,0.210878
108,905.082,1,9.2212,12.0433,47.5632,88.1087,1.94135,2.4764,0.899271,0.287815,0.356087,0.227787,1.34141,0.215791
109,911.87,1,9.23367,12.1494,49.1373,80.5933,2.02735,2.4785,0.905767,0.275657,0.347617,0.224653,1.36738,0.216071
110,908.678,1,9.35676,12.076,48.0863,76.8022,2.07992,2.48518,0.909835,0.270061,0.310918,0.208533,1.26839,0.21183
111,910.782,1,9.38927,12.2699,48.3842,81.1626,2.05529,2.52146,0.917282,0.279991,0.344008,0.205622,1.21519,0.205697
112,912.803,1,9.43666,12.4043,47.9072,75.1203,2.07563,2.53033,0.910183,0.270163,0.31214,0.220283,1.21723,0.214736
113,900.378,1,9.59842,13.098,46.789,74.3632,1.9247,2.54388,0.9166,0.27682,0.314937,0.234783,1.1747,0.209606
114,893.189,1,9.53307,12.3352,47.5872,63.9762,1.88728,2.48656,0.913628,0.277365,0.299394,0.227096,1.28625,0.214995
115,883.263,1,9.53581,11.8152,47.7505,69.1764,1.86301,2.44552,0.902872,0.262302,0.267786,0.229104,1.31148,0.215274
116,884.945,1,9.45067,11.8819,47.632,70.6832,1.87515,2.45778,0.923348,0.261454,0.278378,0.234347,1.23185,0.209326
117,892.029,1,9.59537,12.2688,48.0572,63.0798,1.962,2.4068,0.922771,0.270386,0.258209,0.233847,1.32623,0.221422
118,894.111,1,9.58982,12.6637,48.5413,58.7495,1.98624,2.47699,0.910275,0.289474,0.250392,0.209159,1.25253,0.213415
119,895.419,1,9.64523,12.6746,48.4313,58.2096,1.98527,2.50379,0.920945,0.265025,0.262314,0.220387,1.18972,0.208829
120,899.008,1,9.64256,12.6378,47.8747,54.3034,2.00731,2.4909,0.913449,0.263743,0.270916,0.220173,1.23634,0.213686
121,902.782,1,9.68955,12.7847,47.5083,56.1368,2.01956,2.51022,0.922813,0.27284,0.277101,0.219802,1.20248,0.2165
122,909.085,1,9.69948,12.3877,47.8999,69.4006,2.03658,2.56288,0.918332,0.259853,0.301671,0.241671,1.08795,0.215257
123,910.523,1,9.68007,12.1,47.4327,62.0802,2.02032,2.54868,0.909887,0.259717,0.317007,0.252603,1.17505,0.209757
124,909.244,1,9.55866,12.0973,47.5389,59.835,2.07586,2.50044,0.91326,0.252445,0.283539,0.241888,1.29269,0.208353
125,892.679,1,9.65612,12.0344,46.9379,60.4304,2.02786,2.47972,0.914379,0.251869,0.253605,0.216351,1.20505,0.208423
126,895.827,1,9.72645,12.2989,47.4921,57.9628,2.02547,2.49637,0.909842,0.270365,0.271342,0.19351,1.18951,0.209263
127,895.981,1,9.74401,11.4672,48.5431,59.6632,2.02562,2.51995,0.92278,0.270479,0.299574,0.177737,1.14905,0.195624
128,901.45,1,9.68142,11.7849,48.8452,64.5214,2.11898,2.46573,0.917827,0.265548,0.303998,0.178591,1.22563,0.189822
129,893.686,1,9.58485,11.9012,48.1577,70.5428,2.00798,2.43679,0.916015,0.276351,0.320908,0.191753,1.18761,0.197382
130,900.644,1,9.51575,11.5229,48.8875,70.9687,2.01311,2.40253,0.907758,0.285661,0.358541,0.201657,1.25464,0.213566
131,898.915,1,9.56214,11.4177,48.3835,75.7608,2.03384,2.46125,0.908187,0.276168,0.321618,0.20032,1.17593,0.196425
132,905.392,1,9.48234,11.2941,48.3056,77.4483,2.02455,2.54775,0.914045,0.273033,0.326901,0.192377,1.20426,0.203959
133,902.717,1,9.47655,11.0891,48.2224,66.6133,2.03042,2.53685,0.906956,0.27138,0.29239,0.190982,1.24713,0.211012
134,895.751,1,9.60589,11.8598,48.6757,65.1891,1.93367,2.53263,0.911178,0.264796,0.276021,0.227636,1.2512,0.204925
135,892.784,1,9.76298,11.4785,48.5418,62.8414,1.92453,2.53074,0.927476,0.272413,0.26999,0.213125,1.21571,0.209064
136,882.98,1,9.71563,11.5739,48.341,64.4912,1.86301,2.48696,0.912882,0.27588,0.264586,0.218369,1.16257,0.213347
137,879.264,1,9.81468,11.9848,47.5489,56.5928,1.92506,2.46115,0.910252,0.271956,0.249852,0.195315,1.11449,0.202946
138,892.841,1,9.86503,12.7072,46.8047,51.2267,1.92787,2.5849,0.919378,0.266304,0.270401,0.218034,1.10422,0.196794
139,890.602,1,9.77679,12.9877,46.6897,57.1285,1.87832,2.59974,0.905394,0.277802,0.284949,0.217918,1.00729,0.208349
140,898.835,1,9.79909,13.2695,46.2329,48.3459,1.97242,2.56637,0.907014,0.275702,0.296488,0.202265,1.1019,0.208371
141,893.789,1,9.92363,13.5367,47.3742,54.0726,2.03943,2.38943,0.924403,0.271522,0.304461,0.207776,1.05305,0.227481
142,897.529,1,9.89787,13.7648,47.0974,54.4618,2.00454,2.41253,0.914742,0.282946,0.3382,0.223306,1.08278,0.214166
143,900.807,1,9.68642,13.8243,46.879,55.2095,2.06875,2.46531,0.912404,0.279673,0.312004,0.211689,0.998748,0.209703
144,891.005,1,9.95112,13.861,46.9894,49.8789,1.96198,2.47501,0.910731,0.283321,0.279065,0.219279,1.06565,0.214954
145,889.171,1,9.83818,13.8293,46.9758,45.0656,2.07626,2.32018,0.916233,0.284876,0.254809,0.2201,1.14572,0.206261
146,888.929,1,9.85731,12.9399,46.5572,51.7768,2.05884,2.33301,0.913367,0.276754,0.271071,0.209009,1.14847,0.212042
147,891.976,1,9.72292,12.7727,47.5601,59.4454,1.96814,2.41494,0.921162,0.281775,0.298013,0.211827,1.20765,0.213049
148,897.694,1,9.72882,12.7461,47.5868,50.4186,2.00433,2.39893,0.912165,0.281523,0.274538,0.234251,1.27049,0.225429
149,901.524,1,9.6227,12.4397,46.891,60.8408,2.03851,2.5066,0.905727,0.285662,0.25036,0.222226,1.13636,0.217576
150,895.105,1,9.70159,12.5345,47.2554,60.795,2.04014,2.41436,0.900531,0.274704,0.264351,0.223877,1.10116,0.223816
151,897.787,1,9.61252,12.1824,47.0908,58.5138,1.99473,2.48601,0.919048,0.289418,0.281904,0.212579,1.12121,0.216528
152,898.424,1,9.61196,12.7625,47.0953,54.2431,2.0105,2.44007,0.907407,0.285716,0.286398,0.234656,1.14125,0.211638
153,894.549,1,9.76135,12.5899,46.941,53.5725,1.9367,2.49596,0.901098,0.282059,0.290596,0.235507,1.05457,0.219498
154,899.26,1,9.7421,13.4941,45.9177,54.6745,1.97528,2.50499,0.913625,0.281847,0.297465,0.221717,1.09352,0.221637
155,889.559,1,9.84105,13.0123,45.5426,53.6399,1.94821,2.49266,0.920537,0.277093,0.297761,0.204834,1.00544,0.213197
156,897.973,1,9.79318,12.9861,45.9023,55.5281,2.00496,2.50209,0.911458,0.2755,0.320092,0.20406,1.03413,0.210403
157,895.608,1,9.89028,12.4534,47.3945,58.2026,1.99277,2.49985,0.922345,0.268777,0.341611,0.205551,0.947149,0.211194
158,897.057,1,9.79553,12.7344,47.1897,60.0205,2.07991,2.3873,0.920863,0.271224,0.394264,0.184325,1.05492,0.195529
159,907.463,1,9.64628,13.6774,47.665,57.9225,2.13964,2.44008,0.91164,0.284698,0.368454,0.186097,1.03924,0.206004
160,896.441,1,9.49412,13.4185,46.8618,59.3951,2.08735,2.33887,0.895426,0.279999,0.349351,0.198107,1.09229,0.211027
161,897.994,1,9.5437,13.8159,47.5506,63.1387,2.10698,2.36689,0.913023,0.274039,0.352236,0.185006,1.09424,0.208832
162,902.822,1,9.57956,13.8157,48.1365,62.1717,2.12083,2.41112,0.916144,0.267687,0.345064,0.198625,1.08569,0.204977
163,902.706,1,9.72482,13.499,47.7052,58.8318,2.09432,2.43519,0.909629,0.26761,0.363054,0.197946,1.06394,0.202358
164,900.531,1,9.64399,12.7365,47.8281,65.7541,2.12686,2.4197,0.914179,0.263059,0.324725,0.202306,0.996763,0.212014
165,899.804,1,9.44859,13.0869,48.2863,84.4687,2.13508,2.40845,0.933872,0.256958,0.329218,0.186082,1.10752,0.202356
166,901.132,1,9.58082,12.5833,47.2164,69.2438,2.0722,2.44872,0.920498,0.264072,0.32554,0.199793,1.13646,0.207636
167,900.417,1,9.84714,12.2255,48.3385,63.7772,2.01312,2.46239,0.934651,0.275747,0.361191,0.202053,1.09211,0.210977
168,899.261,1,9.71476,12.0322,47.6576,67.0752,1.98799,2.44155,0.919022,0.266661,0.382094,0.220782,1.09689,0.208333
169,896.937,1,9.60368,12.8317,47.1523,62.943,1.96428,2.44627,0.913576,0.265524,0.380564,0.208896,1.1077,0.216804
170,900.054,1,9.60914,11.7358,47.2381,60.5641,1.9514,2.50699,0.913629,0.267763,0.412815,0.19914,1.11407,0.204319
171,893.654,1,9.6757,11.6524,47.5926,66.5762,1.91856,2.50328,0.921774,0.266264,0.399054,0.184948,1.07966,0.213248
172,901.828,1,9.61364,12.3842,47.8505,64.1176,2.00461,2.55194,0.902884,0.275269,0.356925,0.185072,1.12347,0.204373
173,901.408,1,9.54402,12.3281,48.1506,62.7272,2.00601,2.48946,0.908212,0.274606,0.35949,0.193127,1.12685,0.212561
174,907.984,1,9.51574,11.3941,47.8131,67.3971,2.08826,2.52077,0.908364,0.268718,0.321537,0.197833,1.18692,0.202713
175,909.612,1,9.42851,11.4967,47.3135,64.5699,2.00209,2.53291,0.904951,0.28438,0.337757,0.212872,1.20468,0.223683
176,901.306,1,9.50402,11.3349,47.8183,67.1385,2.00955,2.51178,0.906467,0.276214,0.326363,0.193691,1.17955,0.205296
177,900.757,1,9.61267,11.5476,47.3543,60.6437,1.9961,2.46637,0.921559,0.271176,0.33391,0.211501,1.27522,0.201463
178,903.049,1,9.5683,12.1964,47.8778,62.3811,1.99836,2.47825,0.909326,0.270254,0.37825,0.201166,1.20594,0.206738
179,904.787,1,9.59044,12.3336,47.8439,62.633,1.98678,2.54137,0.904541,0.262547,0.338317,0.219462,1.13714,0.220039
180,901.213,1,9.65722,11.9224,47.3433,63.6241,1.96938,2.54124,0.906944,0.266445,0.321162,0.205884,1.10587,0.229336
181,899.616,1,9.61196,12.2233,47.6539,70.1215,2.02549,2.44151,0.913593,0.276894,0.318451,0.212188,1.15539,0.211888
182,899.681,1,9.52532,11.9078,48.7015,74.6779,2.09164,2.38177,0.912297,0.264014,0.334646,0.196062,1.14254,0.220555
183,890.039,1,9.5801,12.4703,48.3389,72.4444,2.07826,2.39747,0.907454,0.260897,0.32976,0.175363,1.04153,0.207169
184,895.265,1,9.53243,12.3312,48.2418,65.3812,2.08718,2.42574,0.901089,0.272844,0.323182,0.174129,1.09655,0.198215
185,899.132,1,9.37192,12.3842,48.0724,66.7345,2.08255,2.45716,0.89789,0.260563,0.342526,0.177528,1.17693,0.190991
186,892.92,1,9.57946,12.0692,47.3288,58.084,1.98004,2.39647,0.898916,0.279517,0.406493,0.178282,1.14594,0.206235
187,903.353,1,9.52688,12.3179,46.9849,59.5197,2.01886,2.45523,0.894805,0.265875,0.387913,0.198776,1.19981,0.209446
188,902.038,1,9.49816,12.898,47.5062,62.6818,2.02976,2.42852,0.899011,0.269674,0.391263,0.179019,1.27974,0.211238
189,898.088,1,9.412,13.2829,47.913,80.2527,1.99382,2.43586,0.902509,0.27093,0.364618,0.197548,1.14658,0.219427
190,899.759,1,9.58719,13.0782,47.8773,70.8207,1.97786,2.44299,0.920394,0.272613,0.390761,0.192017,1.25955,0.209496
191,902.968,1,9.47145,12.6953,47.9856,72.9525,1.94304,2.51454,0.913048,0.279617,0.404662,0.199522,1.17908,0.210718
192,906.822,1,9.40369,12.376,47.3415,76.9846,1.96031,2.49696,0.90624,0.274389,0.445277,0.179936,1.28683,0.224685
193,899.095,1,9.64046,13.3759,46.6784,68.1119,1.93716,2.47625,0.910575,0.278443,0.441511,0.181575,1.15097,0.22203
194,897.529,1,9.55521,13.8069,45.5859,75.0877,1.96232,2.43181,0.904452,0.279331,0.464578,0.176379,1.12489,0.210876
195,906.954,1,9.62183,14.3779,45.9783,67.4396,2.00995,2.41788,0.905222,0.281074,0.483809,0.185054,1.1782,0.226265
196,903.454,1,9.65441,14.0025,45.6497,64.7893,1.96557,2.41253,0.898521,0.280173,0.537511,0.179944,1.15347,0.224123
197,897.819,1,9.69648,14.8019,45.5033,59.9286,1.96262,2.39161,0.906963,0.277641,0.528462,0.185181,1.05538,0.214265
198,902.42,1,9.61984,14.3462,46.113,62.0549,1.98543,2.44862,0.907727,0.277615,0.504845,0.193312,1.03007,0.203944
199,902.866,1,9.61177,14.4016,44.8661,68.8337,1.96416,2.50346,0.903255,0.274276,0.481317,0.186507,1.02729,0.211481
200,897.758,1,9.74753,14.4383,45.3868,65.2801,1.94826,2.48267,0.896173,0.283407,0.465501,0.166817,1.04402,0.218753
201,894.32,1,9.76335,13.3693,46.4775,58.5524,1.9184,2.44484,0.907777,0.283199,0.485362,0.179559,0.998177,0.221263
202,907.584,1,9.81005,13.3934,46.6145,59.0457,1.94177,2.54272,0.920212,0.277914,0.507815,0.191228,1.06426,0.214313
203,904.836,1,9.83528,12.4122,47.1378,60.4253,1.96832,2.49756,0.905459,0.278769,0.492712,0.196093,1.02453,0.208317
204,899.037,1,9.73068,12.8408,46.7579,63.601,2.01686,2.39777,0.902682,0.273575,0.461557,0.183989,1.00006,0.225104
205,902.401,1,9.79826,13.519,46.2566,54.3361,2.08304,2.3837,0.907533,0.283185,0.496927,0.171325,0.967992,0.210857
