iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_centeredCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,b
123,362.405,1,2.86973,0.575374,13.63,14.6616,21.4519,0.215153,0.631771,0.509639,0.0326806
124,359.249,1,2.83187,0.593914,13.6586,14.9279,21.5189,0.211022,0.615774,0.496734,0.0329269
125,365.782,1,2.90667,0.574328,14.3329,15.1388,21.376,0.210195,0.620608,0.484157,0.0341882
126,358.026,1,2.90565,0.572916,13.9175,14.1372,21.042,0.205974,0.627152,0.471898,0.0328587
127,360.64,1,2.85707,0.589436,14.426,14.5593,21.0091,0.206556,0.630424,0.465308,0.0330982
128,359.253,1,2.82232,0.594582,14.1148,14.0619,20.9106,0.211398,0.655591,0.46865,0.0324643
129,361.98,1,2.9034,0.56973,14.1922,13.2761,20.8657,0.206046,0.640066,0.491683,0.0329939
130,357.52,1,2.84328,0.581966,14.457,13.3652,20.4419,0.210586,0.623859,0.479234,0.0326063
131,351.248,1,2.77662,0.603653,14.898,12.6509,20.4419,0.217344,0.608063,0.499202,0.0313405
132,358.346,1,2.80641,0.597644,15.5096,11.9265,20.4459,0.218149,0.592666,0.486562,0.032702
133,354.207,1,2.85294,0.58107,15.8543,11.9306,19.9347,0.215872,0.57766,0.512137,0.0322712
134,351.849,1,2.84505,0.58358,15.7538,12.3657,19.67,0.213932,0.563033,0.527887,0.0320298
135,352.293,1,2.85836,0.574659,15.997,12.2336,19.7199,0.218076,0.548777,0.514521,0.0323264
136,350.075,1,2.87525,0.569879,16.505,11.3266,19.5042,0.212554,0.534881,0.501493,0.0322976
137,349.899,1,2.80048,0.597048,16.5995,11.3647,19.5385,0.212341,0.521338,0.556504,0.0313918
138,351.5,1,2.87692,0.576188,17.042,11.382,19.798,0.214308,0.508137,0.542413,0.0318605
139,359.344,1,2.87053,0.574454,16.7807,10.8428,19.3804,0.216592,0.495271,0.568073,0.0328476
140,355.554,1,2.88871,0.568942,16.3251,11.421,19.6226,0.211108,0.498657,0.553689,0.0325034
141,353.583,1,2.79202,0.599511,16.7985,10.3071,19.7989,0.217248,0.486031,0.539669,0.0325287
142,360.451,1,2.8742,0.568307,15.9256,10.6435,19.9575,0.212355,0.488516,0.537004,0.0333755
143,358.352,1,2.8033,0.593716,16.6285,10.4132,19.9575,0.217891,0.477499,0.523406,0.0335831
144,354.813,1,2.9456,0.553698,16.629,10.56,19.6924,0.212374,0.465408,0.510154,0.0334283
145,349.706,1,2.83066,0.586987,16.6066,10.6855,19.5078,0.214454,0.453624,0.497236,0.0324968
146,346.623,1,2.86824,0.573214,16.4497,10.5191,19.5916,0.214467,0.461132,0.484646,0.031909
147,351.92,1,2.85659,0.573982,16.6588,10.8088,19.7677,0.213731,0.449456,0.509027,0.032683
148,356.509,1,2.92007,0.560104,16.7989,10.7223,20.0456,0.208319,0.438076,0.53513,0.0337218
149,356.656,1,2.94293,0.552245,17.4716,10.5846,19.9987,0.20709,0.426984,0.590297,0.0335329
150,350.888,1,2.94779,0.555015,17.3321,10.5346,19.8424,0.203504,0.421427,0.57535,0.0327375
151,352.334,1,2.74279,0.614679,17.0088,10.3948,19.8424,0.212187,0.430784,0.560782,0.0326108
152,354.282,1,2.75801,0.605699,16.9053,10.5746,19.8037,0.215605,0.449579,0.546582,0.0325818
153,347.306,1,2.7853,0.599796,16.7519,10.672,20.0667,0.217674,0.438195,0.541956,0.0315887
154,346.415,1,2.86528,0.572272,16.3922,10.7297,20.0157,0.21315,0.4271,0.531645,0.0317267
155,358.193,1,2.87217,0.566254,16.4121,10.9441,19.7812,0.216847,0.453363,0.582483,0.0328238
156,353.817,1,2.78775,0.597534,16.619,10.6083,19.9125,0.218783,0.442586,0.567734,0.032788
157,352.567,1,2.8892,0.569992,17.1326,10.1196,19.7686,0.216641,0.43138,0.55584,0.0325351
158,349.875,1,2.94454,0.555525,17.8579,9.66626,20.0737,0.217036,0.420457,0.541766,0.0326658
159,341.942,1,2.86322,0.575072,17.932,9.69558,19.5993,0.219853,0.411247,0.528048,0.0312557
160,338.661,1,2.87668,0.574097,18.3114,9.12895,19.2011,0.216407,0.400834,0.514677,0.0312545
161,339.069,1,2.85999,0.576941,18.488,9.16039,19.1411,0.211887,0.390684,0.556047,0.0311802
162,344.29,1,2.99282,0.534078,18.3716,9.21355,19.3056,0.210385,0.380792,0.558206,0.0321119
163,352.462,1,2.89135,0.561969,18.1247,9.10111,19.7506,0.214902,0.37115,0.665227,0.0323177
164,346.799,1,2.89734,0.560558,18.433,8.86796,19.9049,0.225552,0.37359,0.648383,0.0314198
165,344.892,1,2.79892,0.592757,18.222,8.88722,19.6094,0.223736,0.364131,0.638524,0.0311312
166,342.655,1,2.83448,0.577047,17.9764,8.30759,19.9311,0.22069,0.354911,0.636612,0.031217
167,335.602,1,2.77203,0.598272,18.113,8.3152,20.1803,0.218238,0.363975,0.652709,0.0296562
168,337.581,1,2.7972,0.592079,18.5184,8.49482,19.8098,0.213629,0.354759,0.636182,0.030657
169,342.937,1,2.82865,0.57498,18.4379,7.77952,19.8872,0.216586,0.355088,0.625042,0.0310899
170,345.923,1,2.83964,0.571213,18.3768,8.06969,20.159,0.219989,0.346097,0.624318,0.0319362
171,341.714,1,2.76131,0.599443,18.4788,8.11601,20.2378,0.220515,0.341021,0.665733,0.0307565
172,339.305,1,2.81992,0.585831,18.4491,8.62698,20.6014,0.220842,0.332387,0.666411,0.0305367
173,346.827,1,2.82845,0.581585,18.8257,7.88778,20.2474,0.215933,0.326516,0.690828,0.0317742
174,343.72,1,2.82266,0.577631,18.9364,7.56399,20.279,0.219373,0.321127,0.675668,0.0313121
175,340.485,1,2.83082,0.583092,19.7198,7.82077,20.0651,0.220932,0.312995,0.670831,0.0310099
176,340.667,1,2.90697,0.560118,19.7428,7.93943,20.6765,0.21568,0.30507,0.684335,0.0312404
177,341.826,1,2.95896,0.546207,19.1435,8.46469,20.6765,0.210219,0.323042,0.695257,0.0311316
178,341.526,1,3.01053,0.527349,18.6323,8.81707,20.5069,0.216824,0.332289,0.696092,0.0307964
179,343.74,1,2.89808,0.553212,18.9505,7.93057,20.1384,0.222737,0.336925,0.715374,0.0307597
180,344.026,1,2.86605,0.566672,19.3769,7.7075,19.8394,0.224004,0.339448,0.698083,0.0308828
181,340.47,1,2.82848,0.573637,19.5769,7.52711,19.9169,0.22697,0.330853,0.680407,0.030707
182,337.469,1,2.83379,0.573193,18.7783,7.30643,20.3526,0.221223,0.339274,0.663179,0.0303976
183,343.724,1,2.82275,0.575671,18.9553,7.73675,19.9551,0.221882,0.330683,0.646386,0.0316374
184,344.353,1,2.77217,0.594707,19.2999,7.81426,20.3682,0.216264,0.32231,0.651195,0.0320533
185,342.478,1,2.7859,0.593609,19.4689,7.95307,20.408,0.215936,0.314149,0.634706,0.0320258
186,342.891,1,2.76144,0.599192,19.9083,7.49766,20.7349,0.220673,0.306195,0.668534,0.0316659
187,342.661,1,2.82969,0.577749,19.3643,6.93359,20.4919,0.221304,0.30144,0.661002,0.0315553
188,339.69,1,2.87051,0.568832,19.7346,7.09812,20.684,0.22364,0.303227,0.679379,0.0309005
189,331.859,1,2.84772,0.567702,19.2873,7.28183,20.8537,0.225378,0.295549,0.696842,0.0296993
190,326.078,1,2.88217,0.560368,19.7787,7.29504,20.7478,0.219671,0.288065,0.700133,0.0289544
191,328.782,1,2.88295,0.558405,19.2478,7.76502,20.6343,0.215959,0.280771,0.682405,0.0297863
192,331.963,1,2.84672,0.571741,19.1405,7.3173,21.1179,0.22041,0.286604,0.665126,0.0300321
193,336.368,1,2.85154,0.564981,19.1494,7.21546,21.2912,0.228644,0.279347,0.672781,0.0307639
194,322.579,1,2.83151,0.571199,19.1586,7.03086,20.4096,0.222855,0.288344,0.664489,0.0292257
195,327.43,1,2.84717,0.572318,19.1942,7.38451,20.7125,0.217212,0.30858,0.667528,0.0291676
196,325.694,1,2.85558,0.565022,19.2353,7.31664,20.6963,0.215511,0.311218,0.673146,0.0287068
197,325.037,1,2.81419,0.575119,19.3031,7.15294,20.8095,0.22176,0.303338,0.711062,0.0286823
198,320.604,1,2.85878,0.564623,19.2141,7.18061,21.2647,0.218334,0.295657,0.693057,0.0284515
199,325.282,1,2.79875,0.583637,19.1108,7.59364,21.2564,0.227215,0.288171,0.756886,0.028718
200,323.324,1,2.85805,0.563056,19.2269,7.39025,21.0904,0.221461,0.280874,0.737721,0.0288729
201,326.812,1,2.88461,0.554909,19.5729,7.31704,21.181,0.2256,0.273762,0.787458,0.0286779
202,324.174,1,2.89881,0.55088,19.5548,7.08267,21.272,0.22453,0.27335,0.767519,0.028425
203,326.219,1,2.82038,0.570665,19.5157,6.99351,21.1806,0.223767,0.270211,0.759002,0.0286927
204,322.918,1,2.78797,0.581714,19.7025,6.89496,21.2468,0.226662,0.287432,0.762523,0.0278657
205,326.703,1,2.84067,0.562215,19.3117,7.27011,20.948,0.228731,0.286216,0.793072,0.0282225
206,329.924,1,2.89631,0.547395,19.2515,7.36818,21.439,0.222939,0.282425,0.788982,0.0289546
207,326.921,1,2.79521,0.578156,19.2034,7.04892,21.5813,0.226956,0.275274,0.769005,0.0288595
208,321.802,1,2.88292,0.551148,19.2653,6.83918,21.6656,0.221209,0.283295,0.75019,0.028005
209,318.83,1,2.86652,0.557527,19.6067,6.86236,21.6318,0.217087,0.303019,0.731195,0.0276205
210,316.549,1,2.92579,0.540317,19.4295,7.14161,21.5642,0.218979,0.295347,0.718006,0.0274131
211,315.946,1,2.86041,0.556625,19.449,7.08838,21.7327,0.221902,0.287868,0.769616,0.0273228
212,320.6,1,2.8713,0.553049,19.5713,6.63455,22.276,0.220009,0.280579,0.750129,0.0282536
213,320.385,1,2.88459,0.549186,20.0245,6.58069,22.0758,0.218601,0.279629,0.754405,0.0278164
214,321.948,1,2.85195,0.563698,19.8713,6.22515,22.4898,0.222575,0.27696,0.735303,0.0284056
215,320.985,1,2.8277,0.573717,19.8572,6.5176,22.3492,0.21694,0.305797,0.735419,0.027747
216,316.426,1,2.76347,0.595189,19.7345,6.58985,23.3619,0.224955,0.298054,0.723437,0.0272038
217,313.982,1,2.74681,0.597591,20.1406,6.34642,23.4349,0.227595,0.290507,0.714238,0.0268519
218,316.16,1,2.85553,0.563342,19.9624,6.39067,23.499,0.221832,0.302637,0.718286,0.0271103
219,312.679,1,2.79751,0.581226,20.473,6.21062,22.8748,0.224556,0.294974,0.706413,0.0268065
220,312.931,1,2.79993,0.580678,20.0663,6.24266,22.5352,0.227274,0.287505,0.748466,0.0266809
221,312.543,1,2.76713,0.593775,19.9291,6.97009,22.4296,0.225923,0.280225,0.743658,0.0268736
222,315.857,1,2.82303,0.58304,20.0002,7.01,22.6399,0.222248,0.280813,0.755348,0.0271827
223,316.346,1,2.74022,0.60592,19.2856,7.41286,23.3651,0.233553,0.273703,0.769931,0.0272507
224,314.094,1,2.79407,0.587478,19.2001,7.04917,22.9361,0.227639,0.266772,0.750499,0.0272465
225,319.611,1,2.79252,0.585725,19.7784,6.58572,22.8286,0.225652,0.260171,0.757823,0.0279043
226,319.888,1,2.77261,0.591442,19.9381,6.48095,22.677,0.230455,0.253583,0.738634,0.0283442
227,311.817,1,2.832,0.569153,19.93,6.42528,22.6504,0.230735,0.264627,0.719931,0.0269951
228,320.004,1,2.7428,0.597569,20.1107,6.41018,22.792,0.227902,0.260288,0.701702,0.0282254
229,310.613,1,2.92199,0.541252,19.5468,6.25755,23.8248,0.222131,0.253697,0.734138,0.0272265
230,308.084,1,2.89133,0.550141,19.6307,6.25957,23.4246,0.216506,0.247273,0.715549,0.0271207
231,315.621,1,2.85626,0.562558,20.104,6.11327,23.6167,0.219392,0.273676,0.697431,0.027618
232,312.051,1,2.86153,0.562814,20.7812,5.91297,23.423,0.223204,0.266746,0.679772,0.0274941
233,317.847,1,2.90811,0.551045,20.9141,5.86057,23.1668,0.223007,0.27846,0.662559,0.0281644
234,313.012,1,2.9024,0.550387,20.9768,6.03287,23.3297,0.225471,0.285542,0.645783,0.0273323
235,306.385,1,2.90098,0.554748,20.8145,6.14911,23.6487,0.220932,0.278312,0.65971,0.0266024
236,312.293,1,2.84147,0.565747,20.9986,5.74809,23.6948,0.234386,0.271265,0.647676,0.0272511
237,309.78,1,2.80176,0.579132,20.5402,5.79942,23.8615,0.235093,0.264396,0.651281,0.0269872
238,311.956,1,2.79464,0.584607,21.0001,5.641,24.2716,0.230613,0.266884,0.649429,0.0272893
239,305.058,1,2.86145,0.560778,21.2763,5.55484,24.0725,0.224774,0.260126,0.64998,0.026932
240,302.394,1,2.89581,0.545171,20.9349,5.39189,23.8844,0.219083,0.25354,0.633522,0.0269938
241,306.327,1,2.8634,0.557938,20.3346,5.6723,24.8081,0.213536,0.24712,0.637607,0.0273355
242,304.605,1,2.89065,0.55038,20.7921,5.66166,24.8468,0.223452,0.257666,0.660005,0.0264185
243,303.527,1,2.85397,0.561692,20.4596,5.79824,24.9633,0.218368,0.251142,0.72563,0.0260735
244,306.115,1,2.87205,0.551709,20.1491,5.48657,25.0803,0.218652,0.258851,0.724494,0.0262978
245,304.474,1,2.91218,0.533534,20.1961,5.25387,24.7668,0.219184,0.255899,0.70671,0.0261716
246,311.029,1,2.80184,0.567883,20.0943,5.23107,25.9374,0.218591,0.263769,0.742247,0.0267383
247,316.989,1,2.73851,0.590281,19.591,5.58422,25.8766,0.225874,0.272474,0.754759,0.0272983
248,312.413,1,2.72936,0.594859,20.0242,5.6591,24.2593,0.228118,0.265574,0.801761,0.0267301
249,298.984,1,2.78191,0.583575,20.0253,5.84418,25.8987,0.222342,0.25885,0.797139,0.0253936
250,293.475,1,2.80054,0.573744,20.3083,5.59613,25.231,0.222917,0.252296,0.783425,0.0246229
251,292.341,1,2.82866,0.564657,20.6225,5.27609,25.8815,0.217272,0.256874,0.763589,0.0247416
252,295.337,1,2.80684,0.570551,20.618,5.28665,25.6591,0.217903,0.273443,0.744254,0.0249556
253,293.329,1,2.85896,0.557378,20.8088,5.42377,26.0199,0.214101,0.266519,0.725409,0.0247911
254,290.534,1,2.84385,0.559868,20.7623,5.38746,25.4914,0.220318,0.259771,0.707041,0.0245101
255,283.869,1,2.74224,0.593963,20.6274,5.27117,25.4317,0.221365,0.253193,0.689139,0.0240265
256,281.618,1,2.71839,0.602871,20.7179,5.32863,25.829,0.221331,0.246782,0.671689,0.0239095
257,293.205,1,2.80209,0.574548,20.8698,5.15472,25.2842,0.221762,0.240533,0.654682,0.0255636
258,297.834,1,2.75627,0.594695,20.8106,5.10169,24.7706,0.226375,0.242953,0.641015,0.0258123
259,297.589,1,2.77805,0.584088,21.2932,5.23746,25.0222,0.223977,0.236801,0.66564,0.0257204
