iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b1,b2,f_pop,omega_Cl,omega_Q,omega_V1,omega_V2,omega_f
97,848.841,1,10.009,12.2698,47.0584,55.1367,0.10038,0.174885,0.942796,0.251229,0.443036,0.183961,1.16407,0.258978
98,850.106,1,9.93134,11.2254,46.7008,59.7682,0.10047,0.179732,0.934258,0.250831,0.431818,0.179303,1.1346,0.26782
99,849.676,1,9.93161,11.8364,46.5109,60.422,0.102876,0.175045,0.942924,0.261151,0.420884,0.174763,1.10587,0.261039
100,840.663,1,9.97353,11.7795,46.6894,60.4578,0.100023,0.173269,0.941968,0.268383,0.410227,0.170338,1.07787,0.259484
101,845.849,1,9.83546,12.0684,46.5674,60.2198,0.0999186,0.172556,0.941734,0.273732,0.433973,0.166025,1.07056,0.256254
102,845.185,1,9.87385,11.4699,46.9581,61.4218,0.0979384,0.177776,0.942495,0.275984,0.459815,0.161821,1.04345,0.254352
103,839.894,1,9.8641,11.4891,46.5998,59.2461,0.0960561,0.174437,0.947724,0.268995,0.458706,0.157724,1.07023,0.247911
104,845.7,1,9.86225,11.8324,46.1235,57.3894,0.0977558,0.176904,0.95337,0.265807,0.447091,0.15373,1.07322,0.255625
105,839.516,1,9.84294,11.475,46.2458,64.6066,0.0955775,0.174255,0.939896,0.276466,0.435771,0.159023,1.15216,0.2645
106,853.975,1,9.75089,10.8923,45.9804,64.215,0.100342,0.170937,0.965717,0.282297,0.435381,0.154996,1.16653,0.269342
107,852.103,1,9.79036,10.2123,46.7604,67.8222,0.101101,0.171016,0.960882,0.279571,0.424357,0.164739,1.22668,0.270696
108,847.259,1,9.72918,10.499,46.5657,62.2065,0.0983835,0.169689,0.946729,0.283733,0.413612,0.167589,1.27017,0.271081
109,853.043,1,9.74542,10.5054,48.4482,64.0951,0.102325,0.169102,0.933765,0.276549,0.403139,0.17941,1.29936,0.278819
110,855.911,1,9.85481,10.3498,47.9417,60.0891,0.101277,0.171849,0.946365,0.269546,0.44563,0.190223,1.28362,0.271759
111,855.896,1,9.83184,10.9891,47.4404,61.1444,0.103714,0.171122,0.938977,0.267865,0.439505,0.185407,1.28824,0.264878
112,857.108,1,9.73249,11.0566,47.0627,58.4783,0.10317,0.172859,0.934398,0.261083,0.428376,0.180712,1.26988,0.260472
