Cl_vs_Q_abscissa,Cl_vs_Q_spline,Cl_vs_Q_regression,Q_vs_Cl_abscissa,Q_vs_Cl_spline,Q_vs_Cl_regression
-1.15109,-0.0847874,-0.0411993,-0.450672,-0.879508,-0.213345
-1.08684,-0.0801928,-0.0388967,-0.438261,-0.845671,-0.207338
-1.02258,-0.077895,-0.0365942,-0.42585,-0.789019,-0.201331
-0.958324,-0.0787137,-0.0342917,-0.413439,-0.721052,-0.195324
-0.894068,-0.0488046,-0.0319892,-0.401028,-0.656729,-0.189317
-0.829812,-0.0358833,-0.0296867,-0.388617,-0.608817,-0.18331
-0.765556,-0.0744497,-0.0273842,-0.376206,-0.572272,-0.177303
-0.7013,-0.0512115,-0.0250817,-0.363795,-0.533934,-0.171296
-0.637045,-0.0309533,-0.0227791,-0.351384,-0.490109,-0.165289
-0.572789,-0.0508322,-0.0204766,-0.338973,-0.444143,-0.159282
-0.508533,-0.0656898,-0.0181741,-0.326562,-0.399417,-0.153275
-0.444277,-0.0309316,-0.0158716,-0.314151,-0.357285,-0.147268
-0.380021,-0.0540149,-0.0135691,-0.30174,-0.317347,-0.141261
-0.315765,-0.0533216,-0.0112666,-0.289329,-0.28035,-0.135254
-0.25151,-0.000802872,-0.00896406,-0.276918,-0.244101,-0.129247
-0.187254,-0.00403134,-0.00666154,-0.264507,-0.207852,-0.12324
-0.122998,0.00742493,-0.00435903,-0.252096,-0.171603,-0.117233
-0.0587421,-0.00632004,-0.00205652,-0.239685,-0.135354,-0.111226
0.0055137,0.0178296,0.000245997,-0.227274,-0.0991056,-0.105219
0.0697695,0.0439518,0.00254851,-0.214863,-0.0622671,-0.0992116
0.134025,0.00350037,0.00485103,-0.202452,-0.0240108,-0.0932045
0.198281,0.0146876,0.00715354,-0.190041,0.016022,-0.0871975
0.262537,0.00381311,0.00945605,-0.17763,0.058282,-0.0811904
0.326793,-0.00908745,0.0117586,-0.165219,0.103205,-0.0751834
0.391049,0.0170122,0.0140611,-0.152808,0.151231,-0.0691763
0.455304,0.00684694,0.0163636,-0.140397,0.20127,-0.0631693
0.51956,0.00567103,0.0186661,-0.127986,0.248571,-0.0571622
0.583816,0.031502,0.0209686,-0.115575,0.287806,-0.0511552
0.648072,0.0274289,0.0232711,-0.103164,0.30389,-0.0451481
0.712328,0.0164368,0.0255737,-0.0907533,0.259771,-0.0391411
0.776584,0.0148197,0.0278762,-0.0783424,0.176315,-0.033134
0.840839,0.0173325,0.0301787,-0.0659314,0.148013,-0.027127
0.905095,0.0287565,0.0324812,-0.0535204,0.107024,-0.0211199
0.969351,0.0403215,0.0347837,-0.0411094,0.0442514,-0.0151129
1.03361,0.0372686,0.0370862,-0.0286984,0.115087,-0.00910583
1.09786,0.0353355,0.0393887,-0.0162874,0.0264476,-0.00309878
1.16212,0.0414306,0.0416912,-0.00387641,0.0171282,0.00290827
1.22637,0.0504578,0.0439938,0.00853458,-0.0859559,0.00891532
1.29063,0.058545,0.0462963,0.0209456,-0.0605444,0.0149224
1.35489,0.0656865,0.0485988,0.0333566,-0.429081,0.0209294
1.41914,0.0724769,0.0509013,0.0457675,-0.628395,0.0269365
1.4834,0.0793708,0.0532038,0.0581785,-0.237565,0.0329435
1.54765,0.0861047,0.0555063,0.0705895,-0.369542,0.0389506
1.61191,0.0921868,0.0578088,0.0830005,-0.0811189,0.0449576
1.67617,0.0971264,0.0601114,0.0954115,-0.042655,0.0509647
1.74042,0.100666,0.0624139,0.107822,0.18949,0.0569717
1.80468,0.103099,0.0647164,0.120233,0.252374,0.0629788
1.86893,0.104793,0.0670189,0.132644,0.192673,0.0689858
1.93319,0.106118,0.0693214,0.145055,0.290931,0.0749929
1.99744,0.107443,0.0716239,0.157466,0.134069,0.0809999
2.0617,0.108999,0.0739264,0.169877,0.223692,0.0870069
2.12596,0.110775,0.076229,0.182288,0.0815057,0.093014
2.19021,0.112734,0.0785315,0.194699,0.186035,0.099021
2.25447,0.114838,0.080834,0.20711,0.0744589,0.105028
2.31872,0.117047,0.0831365,0.219521,0.121887,0.111035
2.38298,0.119325,0.085439,0.231932,0.178128,0.117042
2.44724,0.121633,0.0877415,0.244343,0.166558,0.123049
2.51149,0.123934,0.090044,0.256754,0.178715,0.129056
2.57575,0.12619,0.0923466,0.269165,0.238861,0.135063
2.64,0.128363,0.0946491,0.281576,0.273975,0.14107
2.70426,0.130404,0.0969516,0.293987,0.321664,0.147077
2.76851,0.13229,0.0992541,0.306398,0.382734,0.153084
2.83277,0.133958,0.101557,0.318809,0.396921,0.159092
2.89703,0.135459,0.103859,0.33122,0.389651,0.165099
2.96128,0.136602,0.106162,0.343631,0.394104,0.171106
3.02554,0.13753,0.108464,0.356042,0.436131,0.177113
3.08979,0.138066,0.110767,0.368453,0.551919,0.18312
