iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q2,sd_Q2,E_V2,sd_V2,E_Q3,sd_Q3,E_V3,sd_V3
89,5.29544,0.027336,21.1164,0.117068,7.35895,0.324981,26.4368,0.265679,1.32961e-06,6.3679,34985.6,6.5799
90,5.29551,0.0273318,21.1194,0.117181,7.35247,0.32589,26.4171,0.265934,1.31517e-06,6.37681,34608.5,6.5708
91,5.29537,0.0274322,21.1191,0.117288,7.35438,0.326547,26.4055,0.266573,1.30089e-06,6.37499,34237.9,6.58001
92,5.29552,0.0274793,21.1173,0.117203,7.36115,0.327171,26.3998,0.266996,1.28693e-06,6.38536,34325.4,6.57712
93,5.29542,0.0275267,21.1186,0.117251,7.36382,0.327843,26.4113,0.267606,1.27333e-06,6.39838,33965.8,6.57847
94,5.29515,0.0275397,21.1179,0.117202,7.36277,0.328184,26.4234,0.268181,1.41686e-06,6.41018,33610.4,6.57325
95,5.29482,0.0276097,21.1193,0.117197,7.36619,0.32813,26.4274,0.268746,1.4021e-06,6.40629,33266.5,6.57245
96,5.29435,0.0276279,21.1177,0.117156,7.36298,0.329166,26.4433,0.269169,1.38827e-06,6.40269,32942.8,6.58355
97,5.29399,0.027617,21.1175,0.117149,7.3624,0.329267,26.4585,0.269814,1.37635e-06,6.40159,32644.3,6.58551
98,5.29397,0.0275821,21.1162,0.117122,7.36121,0.329189,26.4553,0.269731,1.36259e-06,6.40217,32314.6,6.58048
99,5.29384,0.0275595,21.1154,0.117191,7.36104,0.329215,26.4606,0.269841,1.34901e-06,6.39341,32002.7,6.58451
100,5.29382,0.0275284,21.1153,0.117372,7.36841,0.329709,26.4498,0.27007,1.33575e-06,6.3958,31720.6,6.57491
101,5.29394,0.0274777,21.1153,0.117537,7.37632,0.330155,26.4359,0.270983,1.32267e-06,6.3946,31411.9,6.56976
102,5.29404,0.0274746,21.1166,0.117467,7.37842,0.330292,26.4253,0.271485,1.30989e-06,6.39615,31149.5,6.56533
103,5.29422,0.0274957,21.1167,0.117486,7.37668,0.330234,26.4195,0.271618,1.29731e-06,6.38763,33095.6,6.56225
104,5.29412,0.0274988,21.1174,0.11743,7.3727,0.330338,26.4194,0.272368,1.285e-06,6.38607,32933.7,6.56283
105,5.29395,0.0275198,21.1207,0.117527,7.37122,0.330954,26.4322,0.272989,1.27289e-06,6.38706,32623.2,6.55853
106,5.29402,0.0275218,21.1218,0.117389,7.36527,0.330817,26.4218,0.272733,1.26535e-06,6.40272,32320.3,6.55991
107,5.29368,0.0275428,21.1211,0.117149,7.36269,0.33037,26.4152,0.27326,1.35155e-06,6.41701,32024.9,6.56491
108,5.29354,0.0275133,21.1194,0.116864,7.35892,0.330082,26.4144,0.27298,1.346e-06,6.42127,31797.2,6.57168
109,5.29342,0.0274779,21.1211,0.116616,7.35655,0.329589,26.4121,0.272954,1.33437e-06,6.42613,31556.3,6.57693
110,5.29335,0.0274586,21.126,0.116384,7.34673,0.329367,26.4143,0.272697,1.32325e-06,6.42884,31292,6.57916
111,5.29336,0.0274711,21.1306,0.116214,7.33823,0.329175,26.4117,0.272413,1.31406e-06,6.43624,31016.1,6.57658
112,5.29351,0.027468,21.1358,0.116154,7.33339,0.329233,26.4016,0.272075,1.30453e-06,6.44162,30744.4,6.57223
113,5.29347,0.0274471,21.1384,0.116158,7.32933,0.329775,26.405,0.272001,1.29312e-06,6.44031,30630.8,6.58063
114,5.29325,0.0274894,21.1397,0.116095,7.32713,0.330011,26.3987,0.272064,1.46637e-06,6.44988,30365.1,6.57668
115,5.29311,0.0274724,21.1424,0.11604,7.32643,0.330375,26.3958,0.271894,1.45379e-06,6.46004,30447.4,6.574
116,5.29308,0.0274668,21.1391,0.115964,7.32635,0.330569,26.4047,0.271806,1.44219e-06,6.46846,30208.3,6.57698
117,5.29319,0.027449,21.1359,0.116065,7.32913,0.330817,26.4086,0.271844,1.43073e-06,6.46778,29952.6,6.5692
118,5.29332,0.0274349,21.1361,0.116197,7.33115,0.331442,26.4189,0.271753,1.42671e-06,6.46527,29708,6.56849
119,5.29343,0.0274107,21.1326,0.116412,7.3359,0.332143,26.4178,0.271591,1.43066e-06,6.47814,29473.3,6.57239
120,5.2937,0.0274022,21.1322,0.116536,7.34061,0.332878,26.4141,0.271375,1.42115e-06,6.49364,29357.2,6.58103
121,5.29386,0.0274318,21.1281,0.116518,7.34939,0.333561,26.4013,0.271335,1.41249e-06,6.49851,29167.6,6.57997
122,5.2938,0.0274072,21.1261,0.116631,7.3523,0.333833,26.3907,0.271574,1.40113e-06,6.5018,28930.9,6.57678
123,5.29373,0.0274201,21.1226,0.11682,7.35501,0.334006,26.3899,0.271714,1.38996e-06,6.50371,28699.2,6.57158
124,5.29355,0.0274361,21.1207,0.116913,7.36185,0.334294,26.3743,0.271683,1.37895e-06,6.5063,28472.3,6.56896
125,5.29352,0.0274667,21.1201,0.116901,7.37057,0.334657,26.3795,0.27207,1.36801e-06,6.49812,28249.1,6.57787
126,5.29343,0.0274343,21.1184,0.117109,7.37154,0.3343,26.3848,0.272354,1.35736e-06,6.49556,28032.9,6.58262
127,5.29359,0.0274621,21.1201,0.11722,7.37019,0.334771,26.3869,0.272215,1.34698e-06,6.49522,27823.3,6.58287
128,5.29362,0.0274761,21.1198,0.117356,7.36801,0.334901,26.3826,0.271912,1.34329e-06,6.50704,27710.2,6.58906
129,5.29348,0.0274515,21.1192,0.117319,7.36396,0.335039,26.3801,0.271665,1.33312e-06,6.51201,27499.7,6.59044
130,5.29354,0.0274612,21.1233,0.117268,7.36043,0.33484,26.3799,0.27165,1.32536e-06,6.51572,27290.6,6.59144
131,5.29375,0.0274471,21.1261,0.117293,7.35797,0.334793,26.3816,0.271711,1.31534e-06,6.50985,27096.1,6.59347
132,5.29381,0.0274184,21.1245,0.117413,7.35763,0.334999,26.3804,0.271513,1.3056e-06,6.50748,27184.9,6.5963
133,5.29364,0.0273843,21.124,0.117395,7.35692,0.335403,26.3722,0.271517,1.29589e-06,6.51096,38831.7,6.59539
134,5.29357,0.0273736,21.1228,0.117571,7.35911,0.336125,26.3594,0.271177,1.28706e-06,6.51612,38544.4,6.58902
135,5.29368,0.0273639,21.1217,0.117763,7.36026,0.336538,26.3509,0.27097,1.27797e-06,6.51446,38262.3,6.58783
136,5.29371,0.0273536,21.1196,0.117836,7.36287,0.336791,26.3591,0.271044,1.26973e-06,6.51878,37997.3,6.58651
137,5.29372,0.0273595,21.1175,0.117841,7.36183,0.336747,26.3562,0.271089,1.26056e-06,6.51539,37723.1,6.59062
138,5.29367,0.0273332,21.1159,0.117762,7.36053,0.336534,26.351,0.270869,1.25151e-06,6.51294,37452.2,6.59659
139,5.29345,0.0273056,21.1162,0.117718,7.35825,0.336208,26.3394,0.270702,1.24258e-06,6.51065,37185,6.59287
140,5.29321,0.0272917,21.1146,0.117607,7.35741,0.336118,26.3383,0.270632,1.23381e-06,6.50486,36921.9,6.59234
141,5.29316,0.0272955,21.1166,0.11757,7.35405,0.335887,26.3366,0.270534,1.22514e-06,6.50379,36711.7,6.59127
142,5.29307,0.0272926,21.1149,0.117539,7.35284,0.335722,26.3318,0.270528,1.21659e-06,6.50349,36474.2,6.58975
143,5.29317,0.0273217,21.1152,0.117486,7.35233,0.33576,26.3343,0.270684,1.20859e-06,6.50372,36228.8,6.58809
144,5.2931,0.027316,21.1154,0.117494,7.35222,0.335611,26.3365,0.27073,1.20034e-06,6.5033,50743.2,6.58919
145,5.29305,0.027309,21.1143,0.117588,7.35051,0.335719,26.3431,0.270679,1.19214e-06,6.50122,50445.6,6.58641
146,5.2931,0.0273478,21.1125,0.11775,7.35502,0.336091,26.3405,0.270722,1.18417e-06,6.50139,50199,6.58629
147,5.29314,0.0273505,21.1098,0.117914,7.35793,0.336568,26.3327,0.270437,1.21778e-06,6.50011,49859.9,6.58875
148,5.29316,0.027361,21.111,0.117987,7.35737,0.336771,26.3375,0.270422,1.20965e-06,6.49748,49565.8,6.58899
149,5.29314,0.0273378,21.1118,0.118053,7.35685,0.336942,26.3416,0.270258,1.2025e-06,6.49793,49236.7,6.588
150,5.2933,0.0273372,21.1122,0.118172,7.35684,0.337158,26.3344,0.269978,1.19596e-06,6.49981,49191.6,6.58883
151,5.29321,0.0273487,21.1131,0.118167,7.35491,0.337142,26.3405,0.270075,1.18811e-06,6.50274,48868.1,6.58987
152,5.29325,0.0273607,21.1152,0.118055,7.35077,0.336863,26.3353,0.270311,1.18066e-06,6.50503,48558.5,6.5919
153,5.29345,0.0273554,21.1166,0.118111,7.34878,0.336784,26.3364,0.270271,1.21065e-06,6.51077,48243.2,6.58642
154,5.29355,0.0273425,21.1181,0.118049,7.34563,0.336861,26.3378,0.270202,1.20297e-06,6.51222,47932,6.5828
155,5.29355,0.0273585,21.1215,0.118015,7.34101,0.337082,26.3336,0.270347,1.19532e-06,6.50971,47625.7,6.58313
156,5.29358,0.0273588,21.124,0.118049,7.33901,0.337268,26.3308,0.270386,1.36077e-06,6.51243,47439.2,6.58468
157,5.29362,0.0273283,21.1236,0.117991,7.33941,0.337179,26.3295,0.270514,1.40327e-06,6.51156,48855,6.58696
158,5.29361,0.0273345,21.1238,0.117932,7.34143,0.337366,26.3355,0.270591,1.39447e-06,6.50608,48624,6.59008
159,5.29372,0.0273155,21.1252,0.117929,7.342,0.337536,26.3396,0.270775,1.386e-06,6.50184,48320.5,6.59043
160,5.29405,0.0273102,21.1261,0.117888,7.34572,0.33746,26.3433,0.270916,1.3777e-06,6.50051,48023.3,6.59541
161,5.29405,0.0273115,21.1264,0.117808,7.345,0.337385,26.3385,0.27094,1.36925e-06,6.49865,47748.2,6.60334
162,5.2942,0.0273037,21.127,0.117769,7.34458,0.337557,26.3333,0.270762,1.36164e-06,6.49953,47461.2,6.60345
163,5.29413,0.0273206,21.1278,0.117717,7.3428,0.337482,26.3349,0.270932,1.3564e-06,6.5001,47177.3,6.60375
164,5.29402,0.0273273,21.1284,0.117695,7.34065,0.337457,26.3351,0.27097,1.34908e-06,6.50493,46893.5,6.60155
165,5.29378,0.0272991,21.1299,0.117729,7.33842,0.337307,26.3406,0.270999,1.34111e-06,6.50602,46611.7,6.59905
166,5.29359,0.0272803,21.1307,0.11772,7.33691,0.337488,26.3435,0.270791,1.33333e-06,6.50502,46332.7,6.59458
167,5.29379,0.0272681,21.1324,0.117728,7.33606,0.337526,26.3373,0.270659,1.32552e-06,6.50152,46121,6.59392
168,5.29362,0.0272906,21.1313,0.117703,7.33642,0.337855,26.3317,0.270685,1.31914e-06,6.50105,45849.1,6.59205
169,5.2933,0.0273116,21.131,0.117771,7.33815,0.338287,26.3431,0.270945,1.31474e-06,6.50071,45588.9,6.59539
170,5.29305,0.0273063,21.1338,0.117733,7.33374,0.338291,26.347,0.270976,1.30707e-06,6.49458,45323.1,6.59673
171,5.29293,0.0272948,21.135,0.117661,7.32944,0.338147,26.3441,0.270832,1.30026e-06,6.49617,45061.9,6.59738
172,5.29286,0.0272882,21.1377,0.117585,7.32479,0.338185,26.3357,0.270905,1.29281e-06,6.49065,44805.8,6.60131
173,5.2928,0.0272733,21.141,0.117598,7.32157,0.338164,26.3304,0.270826,1.28538e-06,6.48758,44548.5,6.60263
174,5.29285,0.027284,21.143,0.117646,7.32053,0.338016,26.33,0.27073,1.28398e-06,6.48348,44294.1,6.60267
175,5.29276,0.0272747,21.1442,0.117664,7.31799,0.337831,26.3254,0.270799,1.27685e-06,6.48205,44042.5,6.60087
176,5.29276,0.0272642,21.1464,0.117669,7.31614,0.33772,26.3239,0.270819,1.26965e-06,6.48476,43822.4,6.59919
177,5.29282,0.0272661,21.1491,0.117679,7.31393,0.337602,26.3331,0.271073,1.26256e-06,6.48569,43578.6,6.59773
178,5.29279,0.0272436,21.152,0.117682,7.31315,0.337487,26.336,0.27121,1.25558e-06,6.48384,43335.4,6.59562
179,5.29286,0.0272164,21.1529,0.11766,7.31384,0.337465,26.3315,0.271145,1.25111e-06,6.48117,43105.8,6.59512
180,5.29293,0.0272009,21.1529,0.117704,7.31647,0.337623,26.3286,0.271021,1.24613e-06,6.48287,42868.1,6.59308
181,5.29301,0.0271992,21.1519,0.117784,7.32089,0.337587,26.3306,0.270963,1.24065e-06,6.48236,42633.8,6.59383
182,5.29307,0.0271921,21.1497,0.117881,7.32562,0.337514,26.3423,0.271015,1.23423e-06,6.49189,42418.4,6.59334
183,5.29305,0.0271775,21.1461,0.11798,7.33235,0.337582,26.3438,0.271014,1.22838e-06,6.49747,42188.9,6.59379
184,5.29305,0.0271846,21.1432,0.118025,7.33689,0.337675,26.3456,0.271043,1.23111e-06,6.50465,41961.2,6.59047
185,5.29294,0.0272012,21.1405,0.118034,7.33936,0.337866,26.3381,0.271198,1.22453e-06,6.50493,41742.4,6.58776
186,5.29282,0.0271992,21.1362,0.118119,7.34388,0.337828,26.3403,0.271273,1.21848e-06,6.50775,41520.4,6.58425
187,5.29271,0.0272054,21.1347,0.11806,7.34438,0.337855,26.3461,0.271403,1.21248e-06,6.50626,41306.7,6.58544
188,5.29268,0.027202,21.1347,0.117978,7.34411,0.33775,26.3481,0.27143,1.20608e-06,6.50012,41088.7,6.58517
189,5.29267,0.0272005,21.1371,0.117889,7.34401,0.337752,26.3532,0.271642,1.19975e-06,6.49443,40873.3,6.58498
190,5.29266,0.027213,21.1377,0.117911,7.34623,0.337807,26.3583,0.271827,1.19351e-06,6.49173,40679.8,6.58539
191,5.2927,0.0272344,21.1388,0.117862,7.34686,0.337792,26.3615,0.272023,1.18735e-06,6.48916,40571.4,6.58891
192,5.29278,0.0272234,21.142,0.117857,7.34359,0.337744,26.3616,0.271987,1.18124e-06,6.48685,43559.9,6.58741
193,5.29267,0.0272094,21.1471,0.117909,7.33833,0.337719,26.3665,0.272075,1.21717e-06,6.4879,43335.8,6.58524
194,5.29265,0.0272092,21.152,0.117899,7.33132,0.337555,26.3645,0.27231,1.25289e-06,6.48646,43124,6.58163
195,5.29263,0.0272254,21.1546,0.117808,7.32629,0.337392,26.381,0.272537,1.24653e-06,6.48358,42904.2,6.58106
196,5.29254,0.0272413,21.1568,0.117785,7.32417,0.3373,26.391,0.272811,1.24109e-06,6.48696,42686.5,6.58001
197,5.29242,0.0272516,21.1573,0.117905,7.32283,0.337253,26.3988,0.273191,1.23536e-06,6.49361,42475.7,6.5815
198,5.29238,0.027265,21.16,0.117818,7.31942,0.337103,26.4114,0.273616,1.22939e-06,6.49189,42262.5,6.58401
199,5.29224,0.0272874,21.1634,0.117744,7.31447,0.337056,26.4239,0.273904,1.22386e-06,6.49184,42052.1,6.58542
200,5.29219,0.0273041,21.165,0.117673,7.31111,0.336998,26.4231,0.273915,1.21862e-06,6.49225,41844.1,6.58951
201,5.29201,0.0273167,21.1678,0.117559,7.30624,0.33684,26.4313,0.27414,1.2239e-06,6.49017,41640.7,6.59193
202,5.29179,0.0273128,21.1693,0.117552,7.30493,0.336901,26.4425,0.274408,1.21838e-06,6.49101,41435.9,6.59315
203,5.29168,0.0273103,21.1676,0.117582,7.306,0.336752,26.4442,0.274413,1.21247e-06,6.4897,41232.8,6.59132
204,5.2916,0.0273171,21.1648,0.117717,7.30824,0.33668,26.4475,0.274492,1.22134e-06,6.49104,41164.6,6.59792
205,5.29155,0.0273046,21.1639,0.117664,7.30816,0.33643,26.4493,0.274471,1.21576e-06,6.4961,40964.8,6.59249
206,5.2917,0.027289,21.1645,0.117636,7.30871,0.336403,26.4434,0.274532,1.20989e-06,6.4937,40767.3,6.59245
207,5.29179,0.0272783,21.1654,0.117553,7.30812,0.336081,26.4454,0.274669,1.2041e-06,6.49182,40583.8,6.59153
208,5.29171,0.0272617,21.167,0.117541,7.3072,0.336043,26.4453,0.274531,1.19858e-06,6.4936,40400.4,6.59562
209,5.29155,0.0272429,21.1688,0.117607,7.30571,0.335905,26.4417,0.274439,1.19342e-06,6.49502,40209.4,6.59779
210,5.29154,0.0272429,21.1699,0.11762,7.30495,0.335864,26.446,0.274334,1.1882e-06,6.49507,40033.7,6.60266
211,5.29163,0.0272395,21.1708,0.117601,7.30503,0.335852,26.456,0.274403,1.18842e-06,6.4968,42141.4,6.61001
