rep,ID,standEta_Cl_simulated,standEta_V1_simulated,standEta_Q2_simulated,standEta_V2_simulated,standEta_Q3_simulated,standEta_V3_simulated,filter
10,12,0.154474,1.18493,0.680926,0.0943544,1.14875,-0.247052,0
1,13,0.601225,1.45796,0.142359,-0.731606,0.514854,-1.73525,0
2,13,-0.180595,0.0433931,-0.178216,0.696134,-0.663357,0.592421,0
3,13,0.268693,0.436475,-0.438192,0.766637,-0.644397,0.107814,0
4,13,-0.325178,-1.97463,0.785655,0.856383,0.781663,0.76428,0
5,13,-0.155204,0.96792,0.21545,-0.0800986,-0.806156,0.372328,0
6,13,-0.0297808,-1.63041,0.885803,0.539435,-0.13394,0.361097,0
7,13,0.16629,-1.41251,-0.914535,0.950989,-1.09147,0.009742,0
8,13,0.0941054,0.612732,-0.42539,0.655411,-0.605728,0.0604878,0
9,13,0.500374,0.288983,-0.93379,0.720234,-1.12933,-0.927725,0
10,13,0.646121,1.37265,0.822193,-0.13127,0.733013,-1.46965,0
1,14,1.01582,1.54293,1.1574,-0.962312,-2.67092,-1.24984,0
2,14,0.216468,1.3394,1.52142,-0.600133,-1.6348,1.40677,0
3,14,0.087391,0.444038,1.79654,-0.320874,-1.13194,1.39797,0
4,14,0.297508,1.70004,1.09827,-1.00729,-0.868047,1.23701,0
5,14,0.180953,2.05439,0.318836,-2.29945,-1.22348,1.03801,0
6,14,0.217775,1.29335,1.76288,-0.272997,-0.840906,1.48089,0
7,14,0.864768,0.632271,2.1086,0.017391,-1.61241,0.119774,0
8,14,0.475651,0.816493,0.816516,-0.427658,-0.48324,0.617303,0
9,14,0.724287,1.34218,2.14168,-0.902234,-0.586034,0.493245,0
10,14,-0.461348,1.08423,1.63065,-0.722936,-0.696218,2.08316,0
