rep,ID,eta_fi_simulated,eta_Cl_simulated,eta_V1_simulated,eta_Q_simulated,eta_V2_simulated,split,color,filter
4,3,-0.0912451,0.188392,0.0925517,-6.50258e-08,0.319309,All,#4682B4,0
5,3,0.0167192,0.211847,0.208438,-1.2489e-07,-0.126855,All,#4682B4,0
6,3,0.134821,0.267762,0.0935671,4.54717e-08,-0.485729,All,#4682B4,0
7,3,0.0678306,0.305388,-0.0414286,7.37213e-08,-0.359804,All,#4682B4,0
8,3,0.0677122,0.109941,0.149782,-6.71975e-09,1.24761,All,#4682B4,0
9,3,0.0633528,0.263322,0.0394424,-3.66488e-08,-0.624798,All,#4682B4,0
0,4,0.195966,-0.187651,0.0688605,3.68011e-08,1.76242,All,#4682B4,0
1,4,0.0939174,-0.307513,-0.174624,-5.46192e-08,1.82057,All,#4682B4,0
2,4,0.0783037,-0.0290008,-0.313173,-1.16345e-07,-0.183902,All,#4682B4,0
3,4,0.220044,0.0167568,-0.222238,7.10555e-08,-0.415837,All,#4682B4,0
4,4,0.217962,0.0389121,-0.0781017,-4.02651e-08,0.154713,All,#4682B4,0
5,4,0.245769,0.0602949,-0.179723,-8.60718e-08,-0.771493,All,#4682B4,0
6,4,0.117522,-0.0614268,-0.0621882,3.48019e-09,1.00507,All,#4682B4,0
7,4,0.0752013,-0.161366,-0.0444779,-9.89442e-08,1.01982,All,#4682B4,0
8,4,0.121801,0.0203035,-0.403466,1.15756e-08,-1.07733,All,#4682B4,0
9,4,0.145482,-0.0503058,-0.190063,-3.89865e-09,-0.169255,All,#4682B4,0
0,5,0.00288856,-0.03412,-0.0105298,9.55307e-11,0.760271,All,#4682B4,0
1,5,-0.0690428,-0.0496045,-0.114541,-5.00433e-08,0.106395,All,#4682B4,0
2,5,-0.146161,-0.0729042,-0.0358649,-5.36025e-08,0.02198,All,#4682B4,0
3,5,-0.0791847,-0.0481265,-0.0330678,1.00581e-08,0.490298,All,#4682B4,0
4,5,-0.160727,-0.071138,-0.0308838,2.284e-08,-0.372463,All,#4682B4,0
5,5,-0.0596187,-0.0916933,-0.00676082,-2.27135e-08,0.721397,All,#4682B4,0
6,5,-0.0599382,-0.210199,0.165723,-2.55352e-08,1.36392,All,#4682B4,0
7,5,0.00278646,-0.107049,0.0676264,-2.14011e-08,0.863826,All,#4682B4,0
8,5,-0.124732,-0.121021,-0.0337919,1.15435e-08,-0.038441,All,#4682B4,0
9,5,0.00337942,-0.049422,0.0637942,4.90957e-08,0.474142,All,#4682B4,0
0,6,-0.0927115,0.182893,0.308829,3.91587e-09,0.179933,All,#4682B4,0
1,6,0.0220382,0.160565,0.250973,2.23603e-08,-0.726178,All,#4682B4,0
2,6,0.0117411,0.146503,0.458898,-5.72047e-08,1.30668,All,#4682B4,0
3,6,-0.0924174,0.209445,0.242151,-2.39148e-08,-0.102934,All,#4682B4,0
4,6,0.089634,0.191865,0.494989,6.51614e-08,-0.205914,All,#4682B4,0
5,6,-0.00562199,-0.0762273,0.480773,-6.6572e-08,2.08017,All,#4682B4,0
6,6,0.00194425,0.066684,0.434545,4.52118e-08,1.30883,All,#4682B4,0
7,6,0.163917,-0.00790673,0.474659,9.93216e-09,1.84846,All,#4682B4,0
8,6,-0.000770857,0.000729205,0.472604,-5.73976e-08,2.03,All,#4682B4,0
9,6,0.117907,0.166599,0.355395,-2.38664e-08,1.63994,All,#4682B4,0
0,7,-0.0547714,0.159777,0.146908,-4.96554e-08,-2.54119,All,#4682B4,0
1,7,-0.0795049,0.162895,0.0176394,-4.26301e-08,-2.10156,All,#4682B4,0
2,7,-0.107223,0.0867256,0.204846,-6.79649e-08,-3.10717,All,#4682B4,0
3,7,-0.0714844,0.149174,0.15437,4.3934e-08,-1.10199,All,#4682B4,0
4,7,-0.108388,0.0864022,0.0784618,1.54034e-08,-2.00311,All,#4682B4,0
5,7,-0.212184,0.0568397,-0.01356,-1.0036e-07,-3.04511,All,#4682B4,0
6,7,-0.0958116,0.0830484,0.157759,-1.09417e-08,-1.88216,All,#4682B4,0
7,7,0.0325962,0.202544,0.123742,7.79876e-08,-1.50915,All,#4682B4,0
8,7,-0.0150807,0.0938411,0.247449,5.98327e-08,-2.20595,All,#4682B4,0
9,7,-0.147723,0.0946623,-0.0126096,-3.69364e-08,-1.94455,All,#4682B4,0
0,8,-0.0969266,0.273151,-0.122584,4.85976e-08,0.594119,All,#4682B4,0
1,8,-0.0978074,0.342024,-0.181526,-2.81342e-08,-1.15844,All,#4682B4,0
2,8,-0.0925982,0.309332,-0.345045,1.18412e-07,-0.234589,All,#4682B4,0
3,8,-0.133939,0.228618,-0.0707982,-6.71866e-09,0.596969,All,#4682B4,0
4,8,-0.0994176,0.283764,-0.241663,-8.21011e-09,-0.455997,All,#4682B4,0
5,8,-0.0995035,0.245449,-0.237449,-2.67923e-08,-0.305052,All,#4682B4,0
6,8,-0.0733642,0.169358,-0.0513544,-6.35028e-08,1.33293,All,#4682B4,0
7,8,-0.0622279,0.328419,0.0103356,8.00035e-10,0.852296,All,#4682B4,0
8,8,-0.0352406,0.30849,-0.120371,5.04503e-08,-0.2587,All,#4682B4,0
9,8,-0.0738023,0.227027,-0.141334,2.878e-08,0.679191,All,#4682B4,0
0,9,0.0525559,-0.0612373,-0.191169,6.94399e-08,-0.198389,All,#4682B4,0
1,9,0.0686661,-0.176214,0.129449,-5.47426e-08,1.3064,All,#4682B4,0
2,9,0.0379223,-0.0906035,0.0821359,6.41942e-08,0.61905,All,#4682B4,0
3,9,0.117474,0.0136986,-0.0463408,1.40577e-08,0.289766,All,#4682B4,0
4,9,0.0571553,-0.0290224,-0.0821774,-1.27197e-08,0.575786,All,#4682B4,0
5,9,0.0823876,-0.053095,-0.0338126,-1.4087e-08,0.387731,All,#4682B4,0
6,9,0.0674301,-0.0561673,0.105678,-7.02824e-08,1.14349,All,#4682B4,0
7,9,0.0909704,-0.108408,-0.0673803,1.25032e-08,0.310783,All,#4682B4,0
8,9,-0.0850627,-0.0634311,-0.0961767,6.14797e-08,0.415974,All,#4682B4,0
9,9,0.14852,0.0608325,-0.0506226,9.56133e-08,0.355101,All,#4682B4,0
0,10,-0.175603,-0.44646,-0.504111,5.00594e-08,-0.451701,All,#4682B4,0
1,10,-0.0298368,-0.415361,-0.264006,3.50464e-09,-0.696494,All,#4682B4,0
2,10,0.0636665,-0.410972,-0.231748,-1.25596e-07,0.164546,All,#4682B4,0
3,10,-0.00273591,-0.364442,-0.200679,-2.39818e-08,0.29191,All,#4682B4,0
4,10,0.0165971,-0.411582,-0.298742,-4.06735e-08,-0.170938,All,#4682B4,0
5,10,-0.000790663,-0.404987,-0.303106,-2.40096e-08,-0.593213,All,#4682B4,0
6,10,-0.00720137,-0.40275,-0.149522,-5.66912e-08,-0.209153,All,#4682B4,0
7,10,0.0165465,-0.413523,-0.181589,1.60323e-08,-0.46388,All,#4682B4,0
8,10,0.0488841,-0.432796,-0.153192,-5.13135e-08,0.624379,All,#4682B4,0
9,10,-0.00881665,-0.430353,-0.291262,1.03448e-10,0.133889,All,#4682B4,0
0,11,0.155379,0.140502,0.10362,6.90455e-08,-0.273681,All,#4682B4,0
1,11,0.251543,0.244997,0.222947,7.50695e-08,0.224145,All,#4682B4,0
2,11,0.289177,0.215869,0.268717,-5.91078e-08,0.277583,All,#4682B4,0
3,11,0.273398,0.257638,0.130522,6.55231e-08,-0.589544,All,#4682B4,0
4,11,0.145934,0.157446,0.18687,-1.16312e-07,0.0194577,All,#4682B4,0
5,11,0.1926,0.174946,0.300283,2.70763e-09,0.697421,All,#4682B4,0
6,11,0.295176,0.277524,0.223009,3.91254e-08,1.08882,All,#4682B4,0
7,11,0.0892876,0.163139,0.193985,-1.809e-08,-0.774804,All,#4682B4,0
8,11,0.219542,0.200811,0.390658,3.13888e-08,0.119644,All,#4682B4,0
9,11,0.138803,0.163101,0.00245421,8.83708e-09,-0.974128,All,#4682B4,0
0,12,0.274487,-0.065749,0.124696,1.39473e-07,1.24671,All,#4682B4,0
1,12,0.222154,-0.0583128,0.10965,1.09049e-08,1.37139,All,#4682B4,0
2,12,0.188193,0.0331552,-0.167302,5.62403e-08,-0.478894,All,#4682B4,0
3,12,0.17625,-0.0565192,0.100427,2.69005e-08,-0.264622,All,#4682B4,0
4,12,0.199024,-0.0192147,0.0116706,5.2341e-08,-0.0287078,All,#4682B4,0
5,12,0.229375,0.0139226,0.206539,-1.14269e-08,-0.0191426,All,#4682B4,0
6,12,0.2349,-0.0282669,0.260485,1.57092e-08,0.539727,All,#4682B4,0
7,12,0.194632,-0.00480054,0.208725,3.16802e-08,0.602678,All,#4682B4,0
8,12,0.211422,-0.0610312,0.121014,7.15928e-08,0.267446,All,#4682B4,0
9,12,0.0915012,-0.367405,0.221446,-7.12476e-09,1.88014,All,#4682B4,0
0,13,0.299052,0.0568943,0.0831936,-5.83942e-08,0.870229,All,#4682B4,0
1,13,0.246533,-0.0130642,0.0959097,-7.12354e-08,0.288654,All,#4682B4,0
2,13,0.210181,-0.0124956,0.0306835,-2.8252e-08,0.0253811,All,#4682B4,0
3,13,0.231521,-0.0182133,0.0671743,-7.79011e-08,0.324393,All,#4682B4,0
4,13,0.254286,0.0104183,0.0393236,-6.198e-08,0.530359,All,#4682B4,0
5,13,0.282399,0.0137267,-0.00655977,-8.91111e-09,1.59316,All,#4682B4,0
6,13,0.294225,0.0576374,0.264756,3.89862e-08,0.932461,All,#4682B4,0
7,13,0.239087,-0.0198614,0.132836,-3.52969e-08,0.471915,All,#4682B4,0
8,13,0.20021,-0.0718342,0.180904,-1.74368e-08,0.271728,All,#4682B4,0
9,13,0.223851,-0.0111244,0.084999,-2.34201e-08,-0.0689648,All,#4682B4,0
0,14,-0.0435603,0.223375,-0.0831799,1.82608e-08,-1.99406,All,#4682B4,0
1,14,-0.130825,0.149245,-0.11318,-3.70522e-08,-1.62792,All,#4682B4,0
2,14,-0.0653342,0.0902085,-0.113796,-1.1947e-08,-1.35766,All,#4682B4,0
3,14,0.0491869,0.325157,-0.0174741,-1.14634e-07,-2.132,All,#4682B4,0
4,14,-0.085489,0.155048,-0.122979,-3.6257e-08,-0.98941,All,#4682B4,0
5,14,-0.0851636,0.167162,-0.141194,-2.59994e-08,-2.1534,All,#4682B4,0
6,14,-0.161381,0.150716,-0.306227,3.2236e-08,-1.32954,All,#4682B4,0
7,14,0.0437881,0.262397,-0.0919352,1.08683e-07,-1.45976,All,#4682B4,0
8,14,-0.112913,0.140537,-0.139893,-1.13738e-07,-0.678105,All,#4682B4,0
9,14,-0.0286862,0.178914,-0.0115221,2.30275e-08,-1.05059,All,#4682B4,0
