iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q,E_V2,sd_V2,E_bias,sd_bias
44,5.47176,0.0430727,22.2596,0.10444,6.35118,0.348595,27.1139,0.25781,0.681637,0.694021
45,5.47137,0.0430665,22.259,0.104501,6.36102,0.348385,27.1398,0.258377,0.681617,0.693245
46,5.47106,0.0431081,22.2572,0.104272,6.36483,0.348169,27.1711,0.25859,0.681295,0.69461
47,5.47115,0.0431165,22.2584,0.104337,6.37079,0.348681,27.2061,0.258854,0.681616,0.694497
48,5.47105,0.043029,22.2624,0.104253,6.37377,0.348768,27.2357,0.259044,0.681292,0.692522
49,5.47108,0.042886,22.2569,0.104163,6.37549,0.348715,27.2426,0.258077,0.682009,0.690213
50,5.47121,0.0427385,22.2508,0.10408,6.3741,0.348283,27.254,0.257544,0.68326,0.686706
51,5.47136,0.0426283,22.2542,0.104147,6.37445,0.348624,27.2628,0.256697,0.684246,0.684095
52,5.47156,0.0425145,22.2609,0.104128,6.37198,0.348893,27.2814,0.256192,0.685209,0.68125
53,5.47127,0.0423584,22.2652,0.1041,6.36758,0.349716,27.2913,0.256431,0.687098,0.679489
54,5.47107,0.0422523,22.27,0.10408,6.36491,0.350418,27.305,0.256159,0.686567,0.676858
55,5.47092,0.0422039,22.2738,0.104034,6.36114,0.350452,27.3382,0.255938,0.687557,0.67645
56,5.47146,0.0421698,22.278,0.104071,6.35387,0.35005,27.3586,0.255702,0.690177,0.674536
57,5.4714,0.0420726,22.2809,0.10431,6.35123,0.350273,27.398,0.256555,0.692015,0.674569
58,5.47138,0.0419379,22.2848,0.104557,6.34802,0.350926,27.4238,0.257088,0.694023,0.673679
59,5.472,0.0419216,22.2854,0.104599,6.34787,0.350848,27.4252,0.257052,0.696795,0.67374
60,5.47222,0.0419506,22.2834,0.104601,6.34739,0.35144,27.398,0.257818,0.699334,0.674647
61,5.47203,0.0419603,22.2882,0.104573,6.34651,0.35152,27.3961,0.258361,0.698689,0.677797
62,5.47191,0.0419797,22.288,0.104694,6.34656,0.351476,27.3734,0.258761,0.698671,0.678962
63,5.47196,0.0419543,22.2829,0.104557,6.34494,0.350989,27.3431,0.258379,0.700261,0.679672
64,5.47225,0.042014,22.2826,0.104412,6.34212,0.35132,27.3233,0.258532,0.70328,0.679757
65,5.47285,0.0420731,22.2871,0.104436,6.34101,0.351904,27.3128,0.258882,0.703769,0.680442
66,5.47305,0.0421134,22.2944,0.104651,6.33962,0.351747,27.3105,0.258796,0.70417,0.680576
67,5.47356,0.0421877,22.2995,0.104422,6.33738,0.351458,27.3255,0.258521,0.703973,0.681333
68,5.47332,0.0422089,22.305,0.104424,6.33369,0.351304,27.3276,0.258034,0.70414,0.681188
69,5.4736,0.0422531,22.3042,0.104523,6.33158,0.351105,27.3193,0.258,0.705373,0.68319
70,5.47356,0.0422359,22.3048,0.104588,6.33088,0.350834,27.2934,0.257726,0.707144,0.684727
71,5.47399,0.0422769,22.3028,0.104593,6.33592,0.350855,27.2761,0.257534,0.708179,0.685633
72,5.47479,0.0422804,22.3039,0.104586,6.33983,0.350847,27.2708,0.257784,0.71108,0.686644
73,5.47527,0.0423232,22.304,0.104416,6.34158,0.35133,27.2498,0.258118,0.712008,0.686001
74,5.47591,0.0423607,22.3032,0.10435,6.34288,0.352223,27.2328,0.258127,0.713339,0.687091
75,5.47639,0.0423334,22.3026,0.104315,6.3412,0.35225,27.23,0.257963,0.713635,0.687386
76,5.4767,0.0423573,22.3046,0.104383,6.3373,0.352693,27.232,0.258173,0.712866,0.688523
77,5.47662,0.0423366,22.3031,0.104408,6.33832,0.352725,27.2455,0.258255,0.711744,0.688696
78,5.47658,0.0423597,22.3045,0.104294,6.33656,0.352536,27.2599,0.258185,0.710547,0.689758
79,5.47646,0.0424172,22.308,0.104303,6.33584,0.352787,27.2596,0.258346,0.709969,0.689804
80,5.47624,0.0424597,22.3086,0.104243,6.33455,0.35307,27.2649,0.258528,0.709945,0.689854
81,5.47667,0.0424928,22.3103,0.104264,6.33514,0.353094,27.2686,0.258831,0.710262,0.688749
82,5.47682,0.0424922,22.3111,0.104207,6.33317,0.352764,27.2649,0.259265,0.710524,0.687474
83,5.47734,0.0425037,22.3144,0.10426,6.33329,0.352202,27.264,0.259377,0.710495,0.68687
84,5.4778,0.042484,22.314,0.104401,6.33315,0.352119,27.2563,0.259665,0.711526,0.686256
85,5.47758,0.0425407,22.3151,0.104399,6.3327,0.352038,27.2585,0.260048,0.711148,0.686583
86,5.47731,0.0425493,22.3136,0.104437,6.33103,0.351943,27.2568,0.260208,0.709957,0.687726
87,5.47702,0.0425907,22.3085,0.104655,6.33309,0.352355,27.259,0.260087,0.708997,0.688561
88,5.47653,0.0426241,22.3074,0.10493,6.33746,0.352822,27.2648,0.260204,0.708258,0.688653
89,5.47667,0.0426163,22.3076,0.104956,6.33783,0.353067,27.2662,0.260524,0.70908,0.687702
90,5.4769,0.0426431,22.3057,0.1051,6.33763,0.353414,27.2631,0.260872,0.710657,0.687352
91,5.47654,0.042723,22.3048,0.105176,6.33771,0.353428,27.2615,0.261456,0.710334,0.687505
92,5.47639,0.0428652,22.3024,0.105192,6.33984,0.353345,27.2518,0.262287,0.710086,0.689856
93,5.47633,0.0428873,22.3017,0.105226,6.33885,0.353608,27.2567,0.262901,0.71046,0.690374
94,5.47621,0.0429403,22.3042,0.105276,6.3382,0.353673,27.2589,0.263406,0.710911,0.691215
95,5.47613,0.0430265,22.3051,0.105377,6.33775,0.353972,27.263,0.263953,0.71225,0.692522
96,5.47599,0.0431536,22.3059,0.105519,6.33726,0.354293,27.2659,0.263928,0.712291,0.693495
97,5.47607,0.0432799,22.31,0.105473,6.33837,0.354359,27.2717,0.26414,0.712936,0.6951
98,5.47641,0.0433925,22.314,0.105444,6.33632,0.354398,27.2762,0.264366,0.713429,0.695688
99,5.47693,0.0435003,22.3176,0.105453,6.33124,0.355061,27.2842,0.264571,0.714485,0.697006
100,5.47723,0.0435417,22.3216,0.10558,6.3291,0.355648,27.2846,0.264744,0.715797,0.69803
101,5.47723,0.0435616,22.3228,0.105655,6.32869,0.35599,27.2841,0.265052,0.716502,0.698131
102,5.47726,0.0435614,22.3234,0.105688,6.32899,0.356001,27.2838,0.265203,0.716546,0.698393
103,5.47752,0.0435747,22.3227,0.105787,6.32724,0.356156,27.2769,0.265667,0.716655,0.698082
104,5.47822,0.0435833,22.3243,0.105827,6.3263,0.356187,27.2575,0.265636,0.717957,0.697661
105,5.47904,0.0436492,22.3281,0.105995,6.32336,0.356409,27.2513,0.265606,0.720354,0.697124
106,5.47975,0.0437028,22.3324,0.106134,6.31983,0.356179,27.2487,0.266056,0.722097,0.696922
107,5.48036,0.0437522,22.3359,0.106301,6.31923,0.355872,27.2561,0.266513,0.724311,0.697863
108,5.48098,0.0438847,22.3419,0.106261,6.31394,0.355766,27.2675,0.266689,0.726849,0.699824
109,5.48089,0.0438918,22.3479,0.106264,6.3111,0.355318,27.279,0.266925,0.727424,0.700763
110,5.4809,0.0438736,22.3549,0.106229,6.30553,0.354925,27.2844,0.26677,0.727684,0.701168
111,5.48076,0.043936,22.3601,0.106166,6.30002,0.354394,27.2938,0.266728,0.728475,0.701425
112,5.48073,0.0439806,22.3644,0.10606,6.2988,0.35416,27.3063,0.266615,0.729068,0.702426
113,5.48075,0.0440136,22.3668,0.106058,6.29815,0.354303,27.3088,0.266483,0.729559,0.703271
114,5.48077,0.0440285,22.3683,0.106103,6.29664,0.354212,27.316,0.266608,0.730381,0.703376
115,5.48061,0.0440789,22.3699,0.106098,6.29281,0.354342,27.321,0.266818,0.731231,0.703302
116,5.48068,0.0440887,22.3715,0.106024,6.28935,0.354284,27.3284,0.266977,0.731799,0.703233
117,5.48068,0.0441132,22.3726,0.105966,6.28887,0.354181,27.3237,0.266807,0.731577,0.70359
118,5.48081,0.0441567,22.3718,0.105946,6.28813,0.353655,27.3245,0.266799,0.731902,0.70425
119,5.48073,0.0441564,22.3726,0.105923,6.28798,0.353488,27.3271,0.266803,0.732306,0.70431
120,5.48096,0.0441482,22.3693,0.105987,6.2883,0.353288,27.3313,0.26681,0.732877,0.704055
121,5.48095,0.0441359,22.3701,0.106082,6.28789,0.353383,27.3332,0.266817,0.733746,0.703888
122,5.4809,0.0441442,22.3717,0.1062,6.28652,0.353826,27.3325,0.26678,0.734279,0.703193
123,5.48078,0.0441156,22.3709,0.106253,6.28628,0.354129,27.332,0.266561,0.734174,0.702554
124,5.48044,0.0441203,22.3663,0.106321,6.28855,0.354183,27.3252,0.266565,0.733593,0.701574
125,5.48036,0.0441107,22.3614,0.106367,6.2922,0.354197,27.3132,0.266577,0.733168,0.701055
126,5.48076,0.044105,22.3584,0.106362,6.29511,0.354134,27.3067,0.266536,0.733222,0.700575
127,5.48097,0.044093,22.3534,0.106541,6.29973,0.354447,27.2948,0.266448,0.733116,0.70007
128,5.48094,0.0440333,22.3499,0.106617,6.30358,0.354748,27.2751,0.266515,0.732761,0.699955
129,5.48082,0.0440028,22.3454,0.106655,6.30766,0.354713,27.2608,0.266422,0.731812,0.700303
130,5.48093,0.0440112,22.3436,0.106666,6.31255,0.354611,27.2553,0.26614,0.731574,0.700913
131,5.48101,0.0440529,22.3436,0.106673,6.31331,0.354406,27.2468,0.266276,0.731816,0.701922
132,5.48116,0.0440916,22.3436,0.106715,6.31518,0.35429,27.2341,0.26664,0.732207,0.70241
133,5.48093,0.0441139,22.3403,0.106757,6.31699,0.354168,27.2336,0.266616,0.731615,0.703511
134,5.48087,0.0441583,22.3384,0.106688,6.31939,0.354272,27.2261,0.266436,0.730352,0.704792
135,5.48061,0.0441777,22.3362,0.106736,6.32113,0.354168,27.2168,0.266424,0.729759,0.705671
136,5.48045,0.0441687,22.3357,0.106677,6.32188,0.354274,27.2083,0.266402,0.729387,0.705756
137,5.48046,0.0441615,22.335,0.106733,6.32168,0.353973,27.1971,0.266726,0.729375,0.705179
138,5.48019,0.0441674,22.3335,0.106838,6.32109,0.353692,27.1923,0.266701,0.728934,0.705375
139,5.48,0.0441814,22.3328,0.106775,6.32344,0.353633,27.1813,0.266723,0.728934,0.705958
140,5.48025,0.0441836,22.3325,0.106822,6.3251,0.353337,27.1724,0.266665,0.729226,0.706236
141,5.48031,0.0441826,22.3318,0.106874,6.32715,0.35321,27.166,0.266718,0.729178,0.706102
142,5.48036,0.0441843,22.3304,0.106972,6.32912,0.353171,27.1615,0.266846,0.729064,0.706067
143,5.48026,0.0441821,22.3277,0.106949,6.32834,0.353446,27.1549,0.267091,0.728758,0.705657
144,5.48014,0.0441808,22.3253,0.10698,6.32847,0.353706,27.1458,0.267187,0.72872,0.705144
145,5.48005,0.0442015,22.3255,0.107047,6.32911,0.35408,27.1411,0.267728,0.728876,0.70505
