iteration,convergenceIndicator,phase,Cl_pop,Q2_pop,Q3_pop,V1_pop,V2_pop,V3_pop,a1,a2,f_pop,omega_Cl,omega_Q2,omega_Q3,omega_V1,omega_V2,omega_V3,omega_f
38,982.054,1,9.83432,13.1578,0.354657,45.0235,76.6421,2.41462,1.92854,2.4422,0.91258,0.275117,0.741287,1.76896,0.230044,0.837758,0.499608,0.204904
39,980.179,1,9.77266,12.1002,0.474855,44.981,67.6397,2.2971,1.92704,2.4874,0.895008,0.285167,0.771507,1.62825,0.20609,0.865934,0.450939,0.2047
40,974.054,1,9.75746,12.4489,0.494061,44.6982,68.996,2.15774,1.91885,2.51954,0.905562,0.279551,0.761039,1.45635,0.196517,0.801362,0.471391,0.202297
41,976.955,1,9.73068,11.3074,0.48567,46.008,73.8454,2.14917,1.86645,2.52428,0.902834,0.272449,0.850302,1.47458,0.213978,0.918702,0.427056,0.206388
42,965.063,1,9.72677,11.6083,0.55352,45.3871,74.0448,2.11338,1.85599,2.51599,0.909455,0.275358,0.760533,1.3189,0.200385,0.949417,0.394371,0.209389
43,971.219,1,9.86068,12.7658,0.612011,46.3735,77.2536,2.3227,2.02803,2.46268,0.928124,0.284533,0.680242,1.43014,0.17923,0.902019,0.368128,0.205493
44,967.34,1,9.83285,12.9102,0.845427,45.8443,71.1962,2.32948,1.98336,2.53421,0.925727,0.280256,0.608427,1.29262,0.181334,1.04223,0.329264,0.217757
45,956.348,1,9.72818,12.2181,0.775862,46.4518,80.2645,2.29869,1.8622,2.47642,0.924884,0.276973,0.649774,1.31955,0.192657,1.15072,0.294502,0.213722
46,954.429,1,9.64846,11.6133,0.832811,46.9131,73.4112,2.18788,1.90822,2.50498,0.924535,0.270807,0.591343,1.18024,0.188711,1.07318,0.300674,0.210935
47,960.877,1,9.6979,12.141,0.72306,46.5727,70.0359,2.23101,1.92812,2.50697,0.916249,0.281645,0.651826,1.26108,0.186068,1.05901,0.296667,0.206606
48,954.003,1,9.72498,11.3442,0.629472,46.7916,71.1537,2.12981,1.88197,2.5838,0.913235,0.27583,0.583011,1.13394,0.178202,1.05679,0.314815,0.196378
49,958.43,1,9.64705,11.5175,0.537457,47.2478,74.0932,2.1494,2.02489,2.4862,0.911735,0.268337,0.526581,1.01422,0.178177,1.08481,0.344949,0.207777
50,965.774,1,9.71576,11.4994,0.554276,46.3506,79.0397,2.04568,2.02947,2.57111,0.909403,0.269121,0.548686,1.04998,0.18835,0.986843,0.339568,0.201434
51,956.87,1,9.81153,10.9578,0.568499,47.5896,75.1844,1.94872,2.01343,2.5481,0.91287,0.26737,0.580593,0.939129,0.197212,0.926449,0.308003,0.205367
52,954.619,1,9.6505,10.8597,0.456671,48.1726,73.6025,1.87271,2.05718,2.50158,0.909667,0.268326,0.602192,0.930407,0.189435,0.942574,0.275486,0.197772
53,952.378,1,9.72699,12.1547,0.467917,46.7574,73.6768,1.75482,2.05803,2.51228,0.920602,0.283891,0.582744,0.92166,0.178267,1.00542,0.246402,0.202994
54,956.414,1,9.81332,11.8947,0.522028,47.2982,63.356,1.78689,2.11034,2.56527,0.914802,0.274159,0.535717,0.9628,0.175018,0.899278,0.241549,0.206964
55,954.686,1,9.93137,11.5118,0.434274,47.4466,60.9485,1.80589,2.05484,2.58843,0.911842,0.281499,0.585325,0.954278,0.175384,0.829854,0.239711,0.212084
56,955.971,1,9.8388,11.9657,0.418098,47.6833,59.3988,1.79365,2.01479,2.6257,0.918438,0.278329,0.595966,0.882342,0.175187,0.911082,0.249232,0.217097
57,948.252,1,9.88541,11.2586,0.555384,46.2032,59.5229,1.77569,1.97777,2.61649,0.91223,0.276595,0.625052,0.936279,0.173743,0.892412,0.22292,0.215791
58,949.089,1,9.84006,11.0384,0.537072,47.1528,56.5171,1.70867,1.96452,2.58204,0.909873,0.278174,0.615796,1.02293,0.171156,0.999755,0.211039,0.208407
59,949.382,1,9.55732,11.2073,0.479216,46.9574,68.5606,1.76602,2.00774,2.5022,0.90928,0.273398,0.598573,1.13111,0.172561,1.05025,0.204214,0.207828
60,948.558,1,9.56958,11.5201,0.563998,46.9033,68.8181,1.7846,1.98298,2.48842,0.903222,0.266937,0.676646,1.10413,0.183983,1.09765,0.198229,0.195823
61,956.258,1,9.60616,11.4299,0.478482,46.1305,73.8129,1.71183,1.99621,2.50246,0.913133,0.27093,0.690317,1.29769,0.17821,1.09665,0.204302,0.19524
62,949.793,1,9.66447,12.8162,0.594067,45.3024,82.8679,1.78572,2.02572,2.43186,0.91849,0.273777,0.636491,1.34433,0.183355,0.980873,0.201134,0.198334
63,946.755,1,9.67836,13.2607,0.580913,44.8484,74.2246,1.80235,1.95216,2.49216,0.911348,0.261106,0.619361,1.4665,0.17812,1.0475,0.1799,0.204735
64,963.598,1,9.65484,13.4607,0.574433,44.2778,64.0258,1.8138,2.01615,2.60211,0.908887,0.26296,0.597444,1.46036,0.185425,1.13012,0.180492,0.202535
65,957.898,1,9.70015,11.8923,0.619284,46.0024,64.6355,1.77925,2.03875,2.49082,0.899059,0.257018,0.561568,1.50642,0.19163,1.05856,0.189311,0.21467
66,950.896,1,9.70148,12.0972,0.609153,46.7288,72.8368,1.77911,2.01456,2.41262,0.898267,0.26084,0.63914,1.44923,0.206265,0.984506,0.18115,0.212127
67,949.249,1,9.67651,11.5638,0.621528,47.6028,72.9177,1.74558,2.02781,2.41412,0.913702,0.257697,0.573173,1.56216,0.2005,1.00659,0.167765,0.216607
68,952.454,1,9.66436,11.3753,0.790291,47.0061,69.6189,1.76802,2.01725,2.43912,0.912601,0.258924,0.54655,1.475,0.210065,1.15643,0.170937,0.21142
69,957.21,1,9.53611,11.7575,0.735557,47.1095,68.6009,1.77549,2.0215,2.49174,0.907623,0.258524,0.535351,1.51783,0.208158,1.11803,0.180045,0.210083
70,950.656,1,9.5918,11.6415,0.843737,46.777,74.6393,1.84254,1.98383,2.43715,0.904122,0.258654,0.592719,1.54241,0.191529,1.07189,0.182859,0.218295
71,942.107,1,9.47934,12.0675,1.16089,47.4234,80.5319,1.80235,2.00512,2.40495,0.900687,0.252692,0.533978,1.50646,0.179392,1.04995,0.175034,0.216958
72,945.96,1,9.49873,12.0868,1.53754,46.3553,83.3257,1.82031,1.93955,2.47549,0.895031,0.255442,0.542132,1.58062,0.193967,1.02051,0.172256,0.230287
73,938.136,1,9.60234,11.5354,1.49252,46.2289,80.0241,1.90586,1.94776,2.50434,0.911322,0.265734,0.484898,1.41849,0.191838,1.01089,0.167405,0.20643
74,941.762,1,9.53631,11.9776,1.67398,46.0916,79.3,1.88733,1.97323,2.53551,0.899731,0.268983,0.530667,1.42012,0.184625,1.03485,0.149731,0.207911
75,949.758,1,9.53811,11.8333,1.75495,46.1491,80.1492,1.96433,1.96323,2.60917,0.90194,0.26651,0.565489,1.38449,0.176888,1.07238,0.152235,0.209589
76,943.535,1,9.53423,10.709,2.09135,46.3926,78.4706,2.04082,1.97785,2.59089,0.914316,0.269898,0.55762,1.23833,0.171813,1.12592,0.141131,0.205673
77,937.675,1,9.4239,10.4157,1.91423,47.0924,81.8841,2.04036,2.00986,2.5025,0.909508,0.264499,0.573498,1.14422,0.187836,1.12171,0.128027,0.19857
78,932.928,1,9.43892,10.5436,2.28643,47.2983,97.3204,1.99079,1.94917,2.50717,0.894337,0.258123,0.531837,1.08213,0.211341,1.04838,0.134359,0.216188
79,937.44,1,9.55687,11.4773,2.47393,46.5147,88.6315,2.05202,1.93216,2.56019,0.898158,0.259708,0.560736,1.10672,0.207266,1.05368,0.136067,0.215765
80,928.362,1,9.42856,11.4877,2.7595,46.8753,91.4199,2.07206,1.89273,2.50992,0.90442,0.25368,0.501537,1.06621,0.2376,1.06155,0.144979,0.216679
81,929.234,1,9.40501,11.4188,2.53766,46.4022,90.9435,2.03139,1.91356,2.57461,0.903555,0.256633,0.448588,0.979099,0.215984,1.18172,0.13486,0.207466
82,932.827,1,9.42251,11.3922,2.40859,46.8431,87.6894,2.04049,2.01076,2.53268,0.91134,0.255053,0.477811,0.875733,0.234335,1.17373,0.124912,0.210614
83,922.651,1,9.25081,11.7205,2.67396,47.299,91.4062,2.01892,1.98338,2.52164,0.915565,0.257557,0.427367,0.783279,0.218377,1.25868,0.125454,0.208256
84,914.604,1,9.1658,12.1176,2.79381,47.2031,95.5021,2.01573,1.91845,2.52821,0.919367,0.263486,0.382249,0.730708,0.226353,1.40198,0.114983,0.207401
85,914.715,1,9.15702,12.1506,2.78345,47.1573,95.2463,2.01204,1.99516,2.49524,0.919798,0.261278,0.366772,0.751669,0.221463,1.25397,0.110181,0.202033
86,913.085,1,9.3783,12.3147,3.02928,46.5734,89.8072,2.02502,1.98896,2.49898,0.926495,0.269266,0.364909,0.77463,0.21019,1.18356,0.108932,0.203163
87,918.567,1,9.51842,11.8012,3.0324,46.5474,77.5918,1.98338,1.98967,2.54229,0.915083,0.265554,0.339059,0.788565,0.21703,1.21058,0.112644,0.21507
88,929.433,1,9.46906,12.9181,2.62447,46.021,74.3184,1.99755,1.99962,2.55358,0.897177,0.254353,0.362933,0.787235,0.225337,1.31693,0.128509,0.225344
89,930.437,1,9.51175,12.6132,2.93402,47.0107,67.5803,1.96502,2.02224,2.52327,0.911695,0.258605,0.340801,0.867983,0.231591,1.36707,0.125648,0.213728
90,925.145,1,9.53433,12.9668,3.52204,46.144,59.3182,1.96109,2.09447,2.45456,0.910877,0.260191,0.329967,0.893326,0.211986,1.33977,0.118144,0.198741
91,916.025,1,9.65654,13.6415,4.26372,45.6248,59.2255,1.94397,2.03523,2.42338,0.910197,0.271226,0.338603,0.799015,0.211465,1.27019,0.124506,0.204689
92,907.72,1,9.71104,13.2638,4.18477,45.8788,58.2698,1.9808,2.0171,2.42715,0.908016,0.273328,0.328203,0.714661,0.19759,1.15092,0.127209,0.208108
93,910.448,1,9.65897,12.7875,4.33273,45.4202,60.4576,1.9355,2.04982,2.50591,0.900788,0.271828,0.32579,0.646084,0.186414,1.10845,0.132601,0.194139
94,910.067,1,9.79445,14.0588,4.71738,45.8114,51.4948,1.92614,1.96811,2.50831,0.907711,0.278059,0.347273,0.664007,0.196882,1.09537,0.14332,0.198922
95,905.809,1,9.84689,13.5258,4.41583,44.8692,50.8643,1.8707,1.99427,2.38555,0.908346,0.265572,0.333837,0.679895,0.214353,1.07784,0.145789,0.214904
96,904.18,1,9.85311,13.4086,4.92553,44.5716,47.8622,1.88021,1.97693,2.40547,0.915112,0.266829,0.360046,0.608117,0.209471,1.09158,0.147983,0.208919
97,896.566,1,9.98282,13.4953,5.33914,45.7498,49.5665,1.89141,1.99255,2.35666,0.917382,0.266357,0.365792,0.552876,0.207786,0.997093,0.14232,0.215958
98,907.746,1,9.99785,14.5613,5.0038,45.0823,48.7,1.889,1.99176,2.39358,0.912101,0.266462,0.398079,0.577853,0.219896,1.03014,0.154094,0.215419
99,908.582,1,9.89814,13.9163,5.152,45.1967,44.4536,1.87856,2.05167,2.40275,0.919604,0.267066,0.36025,0.551244,0.217469,1.048,0.149711,0.20862
100,909.097,1,9.83084,14.3848,4.72222,44.304,49.9574,1.91843,1.99806,2.52652,0.917426,0.262091,0.380429,0.493048,0.210654,1.20248,0.133906,0.213386
101,903.747,1,9.85366,14.2293,4.79872,43.9765,49.5938,1.93712,1.96152,2.51629,0.91022,0.266388,0.387887,0.440995,0.201603,1.18634,0.135505,0.219798
102,893.473,1,9.81352,14.5689,4.67109,44.3893,54.382,1.91047,1.9122,2.48781,0.920779,0.262522,0.35355,0.421844,0.212177,1.1004,0.145269,0.211562
103,894.408,1,9.81225,14.7515,4.73266,44.5889,51.5227,1.8505,1.89024,2.46759,0.912285,0.265096,0.340506,0.420097,0.239604,1.0905,0.154079,0.217814
104,894.532,1,9.80193,14.3017,4.82137,44.1854,54.2408,1.77261,1.8992,2.56917,0.909283,0.27267,0.350036,0.387847,0.214308,1.09382,0.139897,0.21018
105,890.033,1,9.86487,14.4017,5.01697,44.2654,53.2744,1.80185,1.94057,2.5106,0.91616,0.281805,0.313082,0.346901,0.217254,1.11408,0.139912,0.214818
106,896.768,1,9.76573,14.9869,5.17014,43.6606,48.2943,1.83597,1.9637,2.50997,0.910283,0.282752,0.345607,0.329723,0.219622,1.20274,0.13905,0.209422
107,895.669,1,9.68712,15.545,5.08978,43.1596,47.7536,1.83226,2.01184,2.38231,0.90263,0.275523,0.380657,0.343563,0.205388,1.25164,0.148317,0.21014
108,895.369,1,9.71449,15.2804,5.0115,43.9927,56.8563,1.82065,1.99249,2.42813,0.912781,0.273145,0.385952,0.326019,0.214157,1.14381,0.15321,0.207642
109,896.234,1,9.653,14.4444,4.982,44.7858,60.204,1.79597,2.05288,2.46709,0.909188,0.280728,0.345206,0.327715,0.207658,1.07668,0.141058,0.202474
110,892.683,1,9.69019,14.2033,5.02332,44.3296,55.2569,1.75743,2.03086,2.46196,0.905956,0.272655,0.353523,0.361633,0.201162,1.08914,0.126166,0.20784
111,896.108,1,9.72839,14.5751,4.69461,45.1712,57.2595,1.77941,2.0442,2.43123,0.914956,0.278016,0.366365,0.340211,0.213714,1.0604,0.130842,0.222559
112,883.154,1,9.74683,14.1731,4.67469,44.4635,55.0834,1.76277,1.93891,2.45599,0.907517,0.274627,0.363262,0.304294,0.224397,1.06913,0.123771,0.221857
113,896.141,1,9.75602,14.235,4.4931,43.7836,55.3663,1.72286,1.97945,2.49876,0.920974,0.280357,0.385757,0.29316,0.236405,1.13425,0.123365,0.225585
114,885.106,1,9.67484,14.5433,4.32329,44.0247,58.1135,1.71037,1.88167,2.50695,0.911398,0.278176,0.393215,0.302431,0.2423,1.1089,0.122957,0.202014
115,901.139,1,9.57883,13.9198,4.3353,44.7738,65.514,1.72548,1.96483,2.58779,0.903937,0.30273,0.380338,0.306699,0.21672,1.08563,0.137431,0.213574
116,899.048,1,9.68109,14.5652,4.34958,45.5527,68.3631,1.68366,2.01642,2.54965,0.920153,0.296651,0.35415,0.315186,0.228413,1.05548,0.122922,0.220153
117,888.147,1,9.72839,14.3754,4.58931,45.0409,59.5373,1.68871,1.946,2.63113,0.908719,0.269628,0.334126,0.335231,0.214723,1.03374,0.109944,0.201948
118,887.5,1,9.74525,14.7165,4.50213,44.1419,53.5779,1.69812,1.92739,2.69869,0.896902,0.280374,0.303449,0.29984,0.211638,1.15729,0.104558,0.203924
119,884.741,1,9.91182,15.1515,4.58979,43.6362,49.2043,1.69399,2.00277,2.57118,0.912808,0.278208,0.286472,0.306915,0.227864,1.10297,0.0980558,0.198166
120,879.004,1,9.73628,15.5619,4.35901,43.8842,50.8318,1.71853,1.94795,2.47002,0.90794,0.284915,0.292895,0.366953,0.232541,1.1014,0.0956769,0.206589
121,883.324,1,9.7721,15.0506,4.20211,44.5514,46.2313,1.74493,1.99979,2.49992,0.900315,0.281018,0.280606,0.385764,0.207991,1.10745,0.0955909,0.212563
122,875.861,1,9.85778,14.6254,3.87916,44.3009,46.9538,1.71918,2.01844,2.51843,0.902598,0.280967,0.275481,0.345038,0.193314,1.06299,0.0854991,0.224348
123,865.147,1,9.90953,14.9138,3.69942,45.1706,43.9097,1.73512,2.12563,2.34504,0.914697,0.269321,0.315047,0.308611,0.189071,1.01762,0.0764727,0.20405
124,871.541,1,9.95828,14.8972,3.73043,44.0972,41.6763,1.74588,2.11267,2.34812,0.910177,0.266602,0.341926,0.311505,0.196858,1.01859,0.0830232,0.203717
125,880.881,1,9.97031,15.4054,3.85117,44.0291,50.2804,1.75407,2.06416,2.46615,0.911527,0.276707,0.362748,0.337252,0.187163,0.985799,0.0838829,0.214965
126,884.312,1,9.94851,15.9605,3.79745,44.0813,49.8896,1.75516,2.06869,2.57205,0.919926,0.260064,0.337222,0.31803,0.197639,0.924757,0.0883727,0.208655
127,876.04,1,9.9977,14.8866,3.88331,44.7196,47.6758,1.7523,1.97134,2.58409,0.931354,0.262366,0.316788,0.346654,0.205701,0.902319,0.0851271,0.207119
128,878.173,1,9.97315,15.0889,3.68807,44.3251,45.3456,1.71362,1.94937,2.7157,0.930836,0.265289,0.283344,0.348424,0.213964,0.917594,0.0813125,0.191843
129,867.545,1,10.0963,15.3074,3.78869,44.4064,42.4388,1.69256,2.00396,2.51723,0.908801,0.263791,0.26332,0.396866,0.206664,0.87356,0.0727281,0.205854
130,867.234,1,10.0823,14.9527,3.64948,44.5122,47.2802,1.6628,1.96368,2.56609,0.917239,0.272728,0.305294,0.391016,0.201396,0.876984,0.06505,0.202632
131,857.415,1,9.95177,15.2692,3.75891,44.9854,48.709,1.67505,2.02148,2.46921,0.917552,0.26779,0.273064,0.36495,0.210587,0.868428,0.0618462,0.187256
132,862.891,1,9.99031,15.4228,3.89924,45.4429,43.852,1.66955,2.07915,2.47807,0.922117,0.272158,0.267102,0.369959,0.188354,0.832772,0.066196,0.205168
133,859.719,1,10.0729,15.3568,3.66203,44.3166,44.7294,1.66965,2.05191,2.4553,0.903823,0.275243,0.263941,0.339387,0.192006,0.850975,0.0659385,0.213788
134,862.418,1,10.0631,15.4813,3.82038,43.6754,39.2513,1.6804,2.01538,2.50844,0.910923,0.279504,0.278521,0.347521,0.203308,0.912062,0.0589772,0.213607
135,856.492,1,10.0087,15.2435,3.8604,43.4301,37.9082,1.65545,1.97744,2.48305,0.910634,0.2749,0.274454,0.383074,0.212751,0.916332,0.0527508,0.212064
136,848.927,1,10.0668,15.7267,4.01168,43.3793,36.528,1.66029,1.91211,2.48597,0.911384,0.274365,0.245479,0.41923,0.211685,1.0026,0.0472663,0.214291
137,844.279,1,10.0383,15.5625,4.0584,43.3182,39.2787,1.65582,1.95011,2.48901,0.897796,0.26799,0.219563,0.450476,0.201333,0.919137,0.044671,0.20608
138,848.89,1,9.93829,15.1215,3.85004,43.4639,40.2071,1.64987,2.00967,2.45499,0.900527,0.263974,0.227764,0.471931,0.195103,0.890068,0.042946,0.210423
139,847.297,1,9.99251,15.1972,4.10647,43.1548,42.655,1.64337,2.03945,2.45042,0.902995,0.265491,0.243962,0.423333,0.203514,0.829364,0.0403645,0.206178
140,848.183,1,10.0282,15.6946,3.93054,42.3102,38.4097,1.6384,1.98394,2.53817,0.906418,0.2638,0.225931,0.378641,0.215585,0.904391,0.0434367,0.204983
141,837.999,1,10.0286,15.6118,3.92306,43.3798,38.0372,1.62865,1.98903,2.50775,0.899525,0.265794,0.202078,0.372303,0.202795,0.808912,0.0444126,0.205691
142,834.225,1,10.1241,16.5724,3.80842,43.0066,38.9533,1.6191,1.966,2.45544,0.908052,0.261963,0.192996,0.354711,0.20859,0.820484,0.0480218,0.207765
143,836.519,1,10.1521,16.6796,3.93337,42.5882,36.3592,1.61618,1.95068,2.48905,0.912902,0.268653,0.208735,0.386048,0.202455,0.788165,0.0434234,0.212968
144,848.992,1,10.0656,16.6199,4.05067,44.1924,35.7944,1.60765,2.00618,2.47649,0.914012,0.273103,0.230694,0.379882,0.202199,0.927601,0.0442879,0.214274
145,849.175,1,10.0348,16.8626,4.21136,44.152,35.3367,1.60381,2.03187,2.43024,0.907499,0.259584,0.241803,0.353409,0.19422,0.978403,0.0480793,0.220649
146,853.258,1,10.0151,16.9278,4.37565,43.0703,35.6657,1.61011,2.04666,2.43242,0.914453,0.260824,0.23023,0.380674,0.189604,1.00186,0.0500819,0.224992
147,846.908,1,10.0022,16.351,4.83583,43.6371,39.1316,1.59115,2.05207,2.41931,0.904617,0.268331,0.228077,0.393467,0.184726,0.935863,0.0447946,0.223313
148,853.984,1,10.0169,17.0882,4.5733,43.8116,39.9194,1.57877,2.06448,2.44682,0.907728,0.265911,0.251068,0.35491,0.189231,0.942387,0.0474243,0.226752
149,849.332,1,10.0047,16.6563,4.52408,42.9394,40.7437,1.59393,1.97671,2.38848,0.919397,0.276218,0.224562,0.445653,0.204801,1.0015,0.0507057,0.22252
150,861.102,1,9.97744,16.3577,4.53253,44.2037,39.6827,1.58696,2.04795,2.40422,0.917636,0.282849,0.225479,0.504233,0.196343,0.990795,0.0493139,0.226365
151,847.464,1,10.0277,16.5028,4.48609,43.4801,38.6285,1.5873,1.98552,2.43702,0.91152,0.27418,0.219359,0.451,0.203563,1.03109,0.0441077,0.21575
152,851.518,1,9.93801,16.3766,4.58416,43.9901,42.9499,1.59351,2.03989,2.3767,0.903951,0.270824,0.222692,0.454513,0.20754,0.972974,0.0469312,0.212243
153,852.079,1,10.0164,15.1845,4.81541,44.6083,39.0093,1.60498,2.04916,2.43038,0.910834,0.265572,0.216671,0.415838,0.205399,1.02044,0.0434097,0.214904
154,856.278,1,10.1419,14.9243,4.8956,45.1623,34.4848,1.61298,2.05337,2.50841,0.922515,0.274339,0.193796,0.451171,0.215193,0.931803,0.0483233,0.205367
155,854.414,1,9.96045,14.7058,4.69292,44.2621,36.1585,1.61406,1.95568,2.51155,0.921654,0.26523,0.17787,0.420234,0.238011,1.04702,0.054474,0.20778
156,852.806,1,10.0306,14.8511,4.38859,44.1409,35.6905,1.59096,1.9971,2.43349,0.909908,0.271593,0.183328,0.414594,0.232165,1.01717,0.05672,0.205373
