iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,b
85,369.308,1,5.27592,12.2355,14.8439,22.754,0.253584,0.715158,0.544417,0.0322291
86,371.427,1,5.25958,12.4023,14.5225,22.7362,0.262534,0.707649,0.530632,0.0326762
87,364.935,1,5.27216,12.9191,14.3234,22.6296,0.260296,0.689731,0.517197,0.0320989
88,366.76,1,5.25113,12.3386,15.0096,22.3556,0.260818,0.731183,0.504101,0.032143
89,365.026,1,5.2726,12.6592,15.6749,22.2202,0.254214,0.712669,0.548299,0.0317557
90,368.161,1,5.2645,12.7321,15.7033,22.2766,0.247777,0.694623,0.55594,0.0322259
91,378.445,1,5.24691,12.832,15.6828,21.8154,0.255638,0.709358,0.611762,0.0331978
92,377.496,1,5.25712,12.3535,16.3467,21.9092,0.257042,0.729394,0.596272,0.0332114
93,363.457,1,5.22276,13.14,15.2483,21.3529,0.256976,0.710926,0.581174,0.0315725
94,364.261,1,5.23814,13.9103,15.6183,21.2778,0.258541,0.692925,0.566458,0.0317115
95,363.374,1,5.23011,14.2915,13.9025,21.0285,0.255872,0.675379,0.552115,0.0318747
96,366.559,1,5.2324,14.0338,14.3422,20.8026,0.252196,0.658278,0.538135,0.0326568
97,362.054,1,5.22569,14.1207,14.1715,20.6076,0.25404,0.64161,0.524509,0.0322155
98,362.999,1,5.24172,14.2889,14.1375,20.6559,0.250304,0.625364,0.511228,0.0326677
99,365.432,1,5.24308,13.6886,13.6238,20.7446,0.253245,0.662033,0.498284,0.0327552
100,363.685,1,5.26336,13.9135,13.9932,20.9958,0.251097,0.65555,0.485667,0.0323405
101,363.056,1,5.25909,14.2653,14.0951,20.8974,0.252928,0.658973,0.488711,0.0320421
102,361.832,1,5.25917,14.1788,13.4911,20.8239,0.254027,0.642288,0.476428,0.0321729
103,361.474,1,5.23393,14.0882,13.7966,20.5311,0.251849,0.626025,0.464951,0.0325065
104,359.883,1,5.25078,14.474,13.2005,20.3546,0.253034,0.610173,0.475446,0.0323466
105,362.602,1,5.2821,15.3223,13.4896,20.2513,0.246627,0.594723,0.490201,0.0330257
106,365.169,1,5.23534,15.1754,12.7559,19.8755,0.252737,0.579665,0.488029,0.0332185
107,364.659,1,5.27517,15.6324,12.7447,19.9221,0.246338,0.564987,0.475672,0.034363
108,361.186,1,5.23472,15.8672,12.2993,19.9532,0.25672,0.550681,0.468136,0.0331744
109,359.266,1,5.24129,15.9524,12.6015,19.9961,0.260987,0.536738,0.456282,0.0335127
110,356.443,1,5.26475,15.9246,12.2422,19.9922,0.254378,0.523147,0.444729,0.0332114
111,352.873,1,5.28605,15.9953,12.2331,20.4764,0.249419,0.509901,0.433468,0.033299
112,364.454,1,5.28345,15.6463,12.9586,20.1884,0.251254,0.49699,0.465908,0.0341392
113,353.56,1,5.25206,15.1899,13.1299,19.8888,0.246468,0.496471,0.454111,0.0324488
114,353.755,1,5.20196,15.4964,13.2763,19.6013,0.261367,0.4839,0.444514,0.0324814
115,352.424,1,5.21693,15.469,12.5364,19.4941,0.258639,0.489349,0.436659,0.0320373
116,349.985,1,5.20715,15.8118,11.8849,19.2657,0.252834,0.479768,0.425603,0.0320059
117,358.05,1,5.24411,16.3261,11.4178,19.4576,0.250143,0.476049,0.469433,0.0329755
118,361.28,1,5.25883,16.6228,11.4158,19.488,0.251423,0.476381,0.524563,0.0330062
119,354.684,1,5.28983,16.9243,11.9422,19.8077,0.249904,0.464319,0.511281,0.0325828
120,360.068,1,5.26822,16.7688,12.5616,19.5988,0.255613,0.452562,0.518843,0.0331854
121,358.865,1,5.22869,16.6491,12.4106,19.5069,0.260999,0.446684,0.505706,0.0332067
122,358.907,1,5.2402,16.0476,12.6138,19.5869,0.261713,0.468952,0.540841,0.0323098
123,353.744,1,5.24181,16.4118,12.003,19.235,0.257473,0.457078,0.527146,0.0322035
124,352.071,1,5.28832,16.5064,12.1602,19.5881,0.253211,0.469868,0.513799,0.0318271
125,357.262,1,5.29994,16.9004,12.1094,19.5652,0.254676,0.493039,0.500789,0.0329875
126,355.12,1,5.32313,16.6156,12.0173,19.2365,0.248227,0.501917,0.488109,0.0325788
127,354.279,1,5.29337,16.3421,11.8287,19.4807,0.248439,0.605147,0.492922,0.0311077
128,359.515,1,5.25066,16.1504,11.2461,19.2258,0.255245,0.592825,0.528429,0.0315654
129,364.422,1,5.26221,16.4274,10.9775,19.3685,0.251022,0.598252,0.516555,0.0325533
130,363.048,1,5.22143,16.574,10.5837,19.1037,0.250768,0.583104,0.506992,0.0327399
131,359.924,1,5.21384,16.4544,9.95984,19.2268,0.250619,0.568339,0.55207,0.0317953
132,361.019,1,5.2062,16.6607,10.1389,19.3019,0.257631,0.553949,0.538091,0.0321038
133,367.807,1,5.16265,16.6772,9.8117,18.8722,0.265297,0.539923,0.556469,0.0330638
134,367.396,1,5.17875,16.4511,9.92559,18.6584,0.25858,0.531692,0.553005,0.0330558
135,367.883,1,5.2104,17.2937,10.1775,18.8297,0.253324,0.51823,0.539003,0.034063
136,361.687,1,5.22247,17.7642,9.86398,18.6862,0.247512,0.505108,0.537626,0.0329726
137,365.816,1,5.19622,17.3909,10.5696,18.9527,0.261474,0.492318,0.562753,0.0330992
138,358.368,1,5.21289,16.8695,10.9494,19.1303,0.254853,0.479852,0.548504,0.0327089
139,366.044,1,5.19599,16.4297,10.4048,19.078,0.257788,0.472654,0.534615,0.0336815
140,366.21,1,5.2342,16.3875,10.4726,19.5028,0.25126,0.489234,0.541827,0.0336833
141,364.969,1,5.24132,16.7068,9.76648,19.8228,0.257384,0.50541,0.536833,0.0331288
142,359.064,1,5.21942,15.9073,10.9959,19.6137,0.256267,0.508666,0.550844,0.0319543
143,355.885,1,5.22078,16.7699,11.0647,19.7057,0.265764,0.495787,0.536896,0.0321745
144,358.346,1,5.25751,16.6613,10.9868,19.6826,0.259035,0.483233,0.523302,0.0329124
145,361.208,1,5.23048,16.7623,10.676,19.3212,0.253057,0.470997,0.510051,0.0333731
146,355.621,1,5.2535,16.7473,10.5803,19.5929,0.250634,0.459071,0.497136,0.0331548
147,351.255,1,5.26343,16.6983,11.0271,19.6848,0.25147,0.462528,0.484549,0.0318732
148,352.095,1,5.23472,16.8934,9.90252,19.4695,0.259984,0.450816,0.486478,0.0319671
149,353.911,1,5.25028,17.4669,10.1234,19.7432,0.259505,0.445331,0.531758,0.0318926
150,348.352,1,5.26515,17.416,10.466,19.2227,0.252934,0.434055,0.518294,0.0315552
151,355.684,1,5.25696,17.4508,11.0008,19.1776,0.260509,0.431765,0.50517,0.0328284
152,353.228,1,5.23403,16.8443,10.8636,19.3424,0.256225,0.450733,0.492379,0.0321213
153,352.363,1,5.24475,17.4287,10.2884,19.6598,0.262178,0.43932,0.514311,0.0318356
154,348.071,1,5.25914,17.1993,10.575,19.9708,0.259356,0.428196,0.52709,0.0311771
155,353.983,1,5.20971,17.0221,10.7101,19.9669,0.257444,0.440877,0.613684,0.031231
156,345.526,1,5.20466,17.1984,10.6333,19.6393,0.259211,0.429714,0.599535,0.0301584
157,346.92,1,5.21861,17.359,9.76729,19.7314,0.252647,0.418833,0.584355,0.0308654
158,343.38,1,5.21634,17.4139,9.79833,19.9279,0.25791,0.408228,0.598251,0.0301283
159,342.08,1,5.22167,17.7867,10.2051,19.9435,0.264966,0.397892,0.587822,0.0299213
160,339.154,1,5.24699,17.9307,10.0239,19.7565,0.258257,0.387817,0.619154,0.0298853
161,344.017,1,5.19273,17.88,9.90375,19.4787,0.254466,0.377997,0.673882,0.0304402
162,342.283,1,5.2153,17.6814,9.975,19.9276,0.250854,0.368426,0.656819,0.0307375
163,356.114,1,5.202,17.4334,9.74521,20.1572,0.251141,0.359097,0.716166,0.0320961
164,354.741,1,5.20231,17.8869,9.72471,20.3147,0.258912,0.380235,0.698033,0.0315532
165,352.698,1,5.18321,17.8251,9.25278,19.8703,0.26226,0.370607,0.694979,0.0313788
166,345.078,1,5.15963,17.5665,8.87477,19.5948,0.26057,0.361223,0.689972,0.0303431
167,338.901,1,5.19778,18.0986,8.88352,19.8091,0.260159,0.352077,0.672502,0.0299812
168,344.845,1,5.21302,18.3807,9.0633,19.6543,0.257447,0.343162,0.655474,0.0311417
169,348.367,1,5.19036,18.2655,8.886,19.8463,0.260098,0.334473,0.638877,0.0314871
170,352.117,1,5.17119,18.2648,8.82321,19.9703,0.265368,0.326004,0.6227,0.0322454
171,349.089,1,5.16918,18.1435,9.06165,20.0483,0.268732,0.334876,0.644166,0.0312572
172,353.973,1,5.21735,18.0834,9.56557,20.0796,0.261928,0.338364,0.710976,0.0317781
173,345.617,1,5.23833,17.904,9.25185,20.4601,0.255296,0.34335,0.692974,0.0309696
174,348.02,1,5.21367,17.9806,9.17887,20.6838,0.258055,0.357677,0.675428,0.0309617
175,346.814,1,5.23815,18.6679,9.33523,20.4819,0.256361,0.34862,0.659776,0.0312441
176,353.22,1,5.25267,18.6604,9.8425,20.4219,0.251265,0.339793,0.676769,0.0322539
177,349.256,1,5.24397,17.9324,10.8406,20.1586,0.2511,0.331189,0.659633,0.0317895
178,352.687,1,5.19899,17.4462,10.682,20.1389,0.252988,0.322803,0.693243,0.031992
179,351.094,1,5.18306,17.706,9.75148,19.7613,0.255691,0.333211,0.67569,0.0316238
180,354.865,1,5.21856,18.1469,9.71192,19.8308,0.254512,0.328154,0.733239,0.032036
181,346.868,1,5.15698,18.1313,9.31096,19.8773,0.255761,0.319845,0.714673,0.031251
182,342.252,1,5.18156,18.5402,7.99572,19.8384,0.253151,0.317004,0.696577,0.0306743
183,345.188,1,5.17044,18.908,8.32098,19.8384,0.260311,0.308978,0.678939,0.0313452
184,343.92,1,5.16681,19.2176,7.94322,19.4665,0.257294,0.301154,0.661748,0.0315404
185,341.278,1,5.16103,18.6081,8.2777,19.8923,0.258298,0.293529,0.644992,0.0313187
186,337.163,1,5.15412,19.1551,8.00804,19.8845,0.256114,0.286096,0.675511,0.0303252
187,341.948,1,5.17673,18.8309,7.93744,19.7214,0.257442,0.278852,0.691421,0.0308512
188,338.731,1,5.22818,19.3447,8.14568,20.33,0.257936,0.281766,0.673914,0.0305775
189,334.455,1,5.19621,19.1676,7.94884,20.4729,0.255212,0.274632,0.71566,0.0297632
190,335.206,1,5.20149,19.5892,8.05974,20.297,0.256222,0.282707,0.697539,0.0297359
191,331.453,1,5.17296,19.7531,7.6495,19.6627,0.262753,0.275549,0.680072,0.0296986
192,335.004,1,5.18393,19.4183,7.429,20.4692,0.265044,0.268572,0.662852,0.0300517
193,338.55,1,5.14681,19.8092,7.00252,20.5172,0.273606,0.261772,0.718238,0.0301453
194,334.542,1,5.12352,19.7571,7.09635,20.3569,0.266678,0.290724,0.773664,0.0288329
195,334.312,1,5.18268,19.4221,7.28388,20.7227,0.259926,0.322281,0.754075,0.0287734
196,332.435,1,5.18897,19.562,6.88516,20.2451,0.253344,0.316616,0.734981,0.029011
197,331.545,1,5.16051,19.666,6.66211,20.7038,0.26261,0.3086,0.723127,0.0288786
198,332.723,1,5.17233,19.7954,6.61093,21.3993,0.257095,0.300786,0.748111,0.0290638
199,330.885,1,5.15149,19.2497,7.29467,22.1098,0.268077,0.29317,0.83825,0.0287307
200,330.726,1,5.18408,19.395,7.33937,21.8507,0.261289,0.285746,0.817025,0.029342
201,332.074,1,5.15783,19.7383,7.23249,21.9275,0.27027,0.278511,0.796338,0.0292761
202,324.771,1,5.17047,19.3737,6.98016,21.8761,0.263427,0.271459,0.776174,0.0287761
203,320.431,1,5.16112,19.536,7.11464,21.7907,0.256757,0.264586,0.756521,0.0279763
204,326.545,1,5.14001,19.71,7.07141,21.2885,0.266185,0.260391,0.737365,0.0284504
205,329.66,1,5.13953,19.4813,7.30093,21.2885,0.266436,0.2719,0.751443,0.0285057
206,331.961,1,5.14047,19.5099,7.2194,21.8789,0.25969,0.265015,0.760428,0.0290489
207,323.772,1,5.13041,19.3464,6.8137,21.6054,0.265752,0.258305,0.741173,0.0283625
208,323.637,1,5.13174,19.5938,6.35954,21.1075,0.259023,0.251764,0.722406,0.0285241
209,329.202,1,5.13768,20.5107,6.30889,20.7447,0.255984,0.281298,0.704115,0.0288031
210,325.661,1,5.14695,20.6244,6.07578,21.1985,0.251366,0.274175,0.708378,0.0284955
211,329.485,1,5.14548,20.0038,6.68271,21.4552,0.262624,0.281123,0.817252,0.0280767
212,331.003,1,5.13757,19.7882,6.5779,21.4216,0.259298,0.274005,0.796559,0.0287508
213,334.626,1,5.13801,20.1341,6.50394,21.7898,0.264008,0.293987,0.862967,0.0284025
214,330.899,1,5.13619,20.2105,6.08567,21.7813,0.263015,0.286995,0.841116,0.0283923
215,334.13,1,5.1199,20.2818,6.37344,22.2195,0.266037,0.323462,0.862828,0.0278692
216,328.965,1,5.12742,19.7993,6.11246,22.4365,0.273468,0.315272,0.840981,0.0275518
217,327.279,1,5.13434,19.7311,6.8167,22.6468,0.272575,0.324757,0.819686,0.0271603
218,331.457,1,5.14115,19.3507,6.87164,22.3461,0.265673,0.328276,0.798932,0.027963
219,328.191,1,5.14092,19.4677,6.77082,21.9183,0.265297,0.319964,0.803142,0.0275545
220,333.298,1,5.15185,19.7403,6.64939,21.6101,0.26882,0.311862,0.839332,0.028221
221,331.264,1,5.14021,19.7601,7.17413,21.6692,0.26978,0.303966,0.818745,0.0283527
222,334.2,1,5.1896,19.6967,7.42483,21.7454,0.262949,0.296269,0.827368,0.0290484
223,331.097,1,5.18064,19.5836,7.69483,22.4164,0.267946,0.288767,0.827226,0.0284581
224,322.989,1,5.22003,19.5973,7.45575,22.6704,0.261162,0.281456,0.824408,0.0274479
225,320.266,1,5.20343,20.0363,6.99027,22.4755,0.264579,0.274329,0.803533,0.027102
226,329.455,1,5.17807,19.7333,7.13614,23.2042,0.273767,0.281985,0.819124,0.0279279
227,325.208,1,5.1545,19.6485,6.90554,22.7329,0.270291,0.279289,0.798383,0.027647
228,331.877,1,5.15853,19.6969,7.04484,22.3289,0.266905,0.275128,0.782367,0.028645
229,332.345,1,5.16668,19.0333,7.21953,22.6167,0.260146,0.284198,0.776109,0.0287776
230,324.475,1,5.16922,18.8978,7.52102,22.652,0.256745,0.277002,0.756457,0.0279582
231,325.434,1,5.16331,19.1776,7.13653,22.9529,0.26346,0.286522,0.763463,0.0276985
232,331.855,1,5.14673,19.3316,7.28476,22.4956,0.265196,0.285909,0.780552,0.0284811
233,331.28,1,5.15928,19.2427,7.22923,22.7065,0.267603,0.282602,0.849187,0.0280987
234,327.035,1,5.13457,19.4689,7.39413,22.6089,0.266607,0.286293,0.827685,0.0275561
235,332.389,1,5.17136,19.3191,7.33641,22.7061,0.259856,0.28826,0.852861,0.0283338
236,332.023,1,5.17797,19.5332,7.15663,22.6972,0.267513,0.296813,0.831266,0.0282628
237,328.318,1,5.13785,19.3104,7.18177,22.777,0.274871,0.302466,0.810218,0.0274514
238,331.741,1,5.17451,19.8824,6.91129,22.6969,0.271225,0.305344,0.805396,0.0280761
239,327.078,1,5.17585,19.8369,7.12983,22.9807,0.264358,0.30429,0.860277,0.0273086
240,325.157,1,5.19029,19.7964,6.93335,22.7473,0.257664,0.303094,0.838494,0.0275958
241,330.239,1,5.18828,19.6837,7.14965,22.925,0.253253,0.320398,0.817263,0.0280266
242,329.232,1,5.1805,19.7545,6.95707,22.9966,0.260634,0.32017,0.796569,0.0278934
243,332.124,1,5.1785,19.2838,7.51596,22.5834,0.257001,0.312063,0.830709,0.0281468
244,336.446,1,5.15122,18.842,7.1945,22.4775,0.259859,0.311103,0.859748,0.0285252
245,328.816,1,5.14054,19.2737,6.36697,22.8112,0.261866,0.309252,0.837979,0.0277537
246,329.782,1,5.10549,19.2003,6.17901,22.8557,0.255235,0.314174,0.816761,0.0278564
247,327.817,1,5.13032,19.3682,6.6147,23.2129,0.25782,0.317891,0.814411,0.0274081
248,327.933,1,5.13132,19.3277,6.46455,23.7841,0.263195,0.321318,0.796829,0.0273974
249,330.193,1,5.16064,19.3918,6.29012,24.611,0.256531,0.313182,0.787899,0.0281132
250,323.508,1,5.1405,19.6605,6.22736,24.3899,0.256303,0.305252,0.835236,0.0270659
251,321.567,1,5.1311,20.0554,5.92397,25.4379,0.261939,0.326164,0.814087,0.0265152
252,318.589,1,5.12783,19.8453,5.92382,24.8814,0.261228,0.33023,0.793474,0.0261458
253,314.73,1,5.13793,19.8796,5.93003,24.6967,0.257298,0.321868,0.807449,0.0261041
254,314.667,1,5.10198,20.1096,5.86582,24.5906,0.26175,0.313719,0.787004,0.02626
255,311.855,1,5.10619,20.3412,5.48718,24.898,0.270099,0.305775,0.767077,0.0261475
256,314.517,1,5.10646,20.6661,5.61061,23.7795,0.27449,0.298033,0.770751,0.0262127
257,317.463,1,5.12297,20.8333,5.4759,23.6774,0.26754,0.290486,0.751235,0.026759
258,317.247,1,5.12023,20.5393,5.34026,24.334,0.270849,0.283131,0.734343,0.0267069
259,307.107,1,5.12061,20.8061,5.54236,23.7637,0.266487,0.281876,0.715749,0.0256565
260,306.829,1,5.11201,20.5979,5.29356,23.8565,0.268857,0.275687,0.697626,0.0257166
261,313.035,1,5.11365,20.4028,5.74014,24.3318,0.2624,0.268706,0.679961,0.0269091
262,306.894,1,5.13322,20.3614,5.77809,23.6095,0.257776,0.261903,0.699447,0.0261917
263,310.91,1,5.18212,20.9101,5.69496,24.1905,0.251249,0.255271,0.681737,0.0270292
264,307.326,1,5.18453,21.3765,5.41041,24.6062,0.263855,0.248807,0.712157,0.0261095
265,308.909,1,5.17504,21.4927,5.54945,24.4909,0.264677,0.25163,0.70389,0.0262364
266,313.306,1,5.14762,21.4263,5.32534,24.0126,0.26274,0.245259,0.688623,0.0272808
267,308.145,1,5.13282,20.8034,5.48505,24.2002,0.262571,0.239049,0.690232,0.0266527
268,308.301,1,5.13891,20.6382,5.67322,24.5783,0.264774,0.232996,0.739185,0.0264274
269,314.719,1,5.14841,20.454,5.94166,24.5879,0.25807,0.244718,0.837525,0.0265532
270,314,1,5.13108,20.9907,5.58187,24.8376,0.267759,0.238521,0.816319,0.0266296
271,317.19,1,5.11828,21.3881,5.39594,23.945,0.264624,0.232482,0.795649,0.0275527
272,316.613,1,5.16674,21.4211,5.48808,24.1134,0.259888,0.226595,0.775503,0.0276817
273,310.501,1,5.16575,20.799,5.58928,24.2735,0.253307,0.220858,0.777815,0.0271808
274,320.714,1,5.15311,20.771,5.62463,25.2407,0.25296,0.215265,0.770647,0.0287505
275,311.847,1,5.14377,20.4415,5.79859,24.8463,0.258144,0.209815,0.77965,0.0273868
276,307.336,1,5.1448,20.6757,5.70222,25.2539,0.268243,0.206556,0.775096,0.0263254
277,312.804,1,5.13166,20.4864,5.53736,24.228,0.266423,0.202142,0.762856,0.0272281
278,315.13,1,5.08475,20.3971,5.40166,23.8494,0.277078,0.202267,0.784796,0.0272492
279,312.697,1,5.0971,20.2605,5.6461,23.896,0.272905,0.231844,0.79451,0.0263911
280,311.862,1,5.15395,20.3443,6.06195,24.12,0.268845,0.259446,0.774393,0.0261184
281,313.662,1,5.14772,20.9151,5.58253,24.8172,0.272683,0.252877,0.754785,0.027019
282,316.352,1,5.12712,20.8932,5.63344,24.2356,0.270374,0.250068,0.735673,0.027131
283,317.534,1,5.14807,20.9904,5.66399,24.5385,0.274934,0.243736,0.717045,0.0278782
284,317.098,1,5.14558,21.2343,5.43214,24.9794,0.273259,0.244833,0.698889,0.0276315
285,313.315,1,5.16746,20.8385,5.75832,24.1598,0.26634,0.264627,0.687661,0.0267007
