iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a1,b1,a2,b2
70,897.992,1,9.37204,45.8574,9.54359,115.743,0.280434,0.275722,0.53181,0.870202,0.302007,2.22045e-16,0.0196194,0.0194638
71,901.594,1,9.38724,46.1341,9.25231,120.28,0.276015,0.283968,0.54972,0.848168,0.303374,2.22045e-16,0.0238589,0.0181986
72,897.995,1,9.52452,45.6172,8.96796,104.546,0.269026,0.276778,0.535801,0.855347,0.306187,2.22045e-16,0.0155405,0.0211234
73,888.602,1,9.46787,45.1678,9.48183,105.2,0.264248,0.26977,0.522234,0.847432,0.303403,2.22045e-16,0.0187594,0.019336
74,889.266,1,9.4779,44.999,9.61593,102.993,0.268224,0.262939,0.519971,0.861012,0.302461,2.22045e-16,0.0174461,0.019695
75,885.862,1,9.46888,44.9799,9.42156,99.6476,0.26814,0.256281,0.506805,0.929468,0.306419,2.22045e-16,0.0129477,0.0207849
76,884.376,1,9.39263,45.0769,9.36526,98.6559,0.261351,0.271331,0.4972,0.962735,0.302337,2.22045e-16,0.0153146,0.0194371
77,878.134,1,9.35898,45.7616,9.23207,99.0237,0.269773,0.264461,0.494592,0.964331,0.307807,2.22045e-16,0.01632,0.0178465
78,882.487,1,9.34977,46.1034,9.34555,100.682,0.271742,0.259862,0.482069,1.00058,0.302896,2.22045e-16,0.0180385,0.018147
79,881.223,1,9.2313,43.9701,9.95561,106.604,0.272222,0.264005,0.469863,0.986121,0.305276,2.22045e-16,0.0245657,0.0152446
80,882.773,1,9.22857,44.7361,9.5889,115.699,0.282369,0.257321,0.457965,0.982347,0.30642,2.22045e-16,0.0173614,0.0184445
81,878.571,1,9.37159,44.9777,9.57726,107.413,0.275219,0.250805,0.446369,0.958207,0.296445,2.22045e-16,0.0126063,0.0210815
82,885.66,1,9.40946,45.1564,9.59692,107.375,0.268251,0.244455,0.475816,0.939101,0.299689,2.22045e-16,0.0123313,0.0217056
83,893.469,1,9.4099,45.438,9.90056,98.9101,0.261458,0.245252,0.463768,1.01763,0.30049,2.22045e-16,0.00506998,0.0253873
84,884.169,1,9.42782,45.0387,9.9357,102.477,0.255597,0.250176,0.472207,0.991864,0.300882,2.22045e-16,0.00481648,0.0241179
85,882.673,1,9.4181,45.2405,10.1392,105.636,0.255036,0.254461,0.514736,0.966749,0.303117,2.22045e-16,0.01978,0.0176661
86,878.277,1,9.44342,44.8254,9.98987,98.9828,0.25279,0.249897,0.501703,0.960497,0.303722,2.22045e-16,0.0185762,0.0177018
87,882.264,1,9.4295,44.5892,9.98741,94.8858,0.24769,0.24357,0.488999,0.975056,0.302392,2.22045e-16,0.0179433,0.0188693
88,877.661,1,9.53239,44.5383,9.99373,95.9226,0.245834,0.246793,0.481472,0.950367,0.29655,2.22045e-16,0.0140185,0.0203874
89,883.524,1,9.61348,44.8082,10.1621,95.4964,0.245017,0.251617,0.505732,0.926303,0.298488,2.22045e-16,0.00978714,0.0226154
90,876.398,1,9.60807,45.2085,9.66997,95.0524,0.245789,0.245246,0.492926,0.902848,0.30069,2.22045e-16,0.0115742,0.0210249
91,871.845,1,9.62748,45.6265,9.86317,96.026,0.244762,0.258913,0.480445,0.89621,0.301466,2.22045e-16,0.0285261,0.0139209
92,875.83,1,9.67987,45.6311,10.0961,91.477,0.243681,0.262415,0.509565,0.8801,0.299463,2.22045e-16,0.0335099,0.0121488
93,887.758,1,9.50933,46.5348,9.77772,101.725,0.257869,0.255771,0.49791,0.882813,0.305666,2.22045e-16,0.0260527,0.0160399
94,889.846,1,9.50188,45.4034,9.74682,99.8366,0.258156,0.255039,0.492361,0.89602,0.308318,2.22045e-16,0.0480387,0.00770023
95,887.486,1,9.47229,45.6513,9.66934,105.276,0.257414,0.248581,0.486696,0.873333,0.306155,2.22045e-16,0.0457086,0.00883066
96,880.169,1,9.48786,45.439,10.1391,102.443,0.256672,0.244215,0.501001,0.933663,0.304431,2.22045e-16,0.0525023,0.00503248
97,872.31,1,9.46315,45.5153,9.70729,109.592,0.251715,0.248324,0.488315,0.910022,0.304254,2.22045e-16,0.0421752,0.00832473
98,877.859,1,9.52588,45.8905,9.83754,102.83,0.248523,0.242037,0.485675,0.960345,0.299456,2.22045e-16,0.0334746,0.0126346
99,879.24,1,9.55134,45.9364,10.4449,100.815,0.254157,0.27783,0.473378,0.972339,0.303617,2.22045e-16,0.0265296,0.0148669
100,876.33,1,9.6246,45.4536,10.1635,91.1637,0.255013,0.278893,0.461392,0.950113,0.304837,2.22045e-16,0.0335819,0.0116079
101,880.137,1,9.58588,44.5736,10.304,91.9254,0.252794,0.280582,0.449709,0.953008,0.307922,2.22045e-16,0.0441813,0.0077778
102,879.668,1,9.53933,44.3226,10.2527,89.081,0.260821,0.27827,0.456623,0.957049,0.306232,2.22045e-16,0.052774,0.00443206
103,869.799,1,9.53264,44.1528,10.055,94.533,0.254217,0.271224,0.467691,0.932816,0.301561,2.22045e-16,0.032618,0.0114969
104,879.23,1,9.50563,44.0304,9.9455,96.1825,0.255594,0.271924,0.456475,0.909197,0.301049,2.22045e-16,0.0495141,0.00640932
105,869.927,1,9.50202,44.5799,10.235,103.574,0.249135,0.265039,0.453596,0.898332,0.306137,2.22045e-16,0.0470384,0.00608885
106,873.908,1,9.48952,44.1842,10.5343,106.492,0.260155,0.26623,0.495231,0.905137,0.307622,2.22045e-16,0.034866,0.0104635
107,877.132,1,9.42428,43.9842,10.4007,106.659,0.25975,0.259489,0.482692,0.931391,0.306427,2.22045e-16,0.0315933,0.0124687
108,879.293,1,9.32609,44.7606,9.80104,103.737,0.265676,0.252919,0.493234,0.997956,0.303116,2.22045e-16,0.0279657,0.0140024
109,876.309,1,9.40435,44.9436,9.40806,101.622,0.258949,0.267257,0.498781,0.977881,0.301104,2.22045e-16,0.0161957,0.0183491
110,876.055,1,9.41587,44.8892,9.31298,111.368,0.252392,0.26049,0.486152,0.95312,0.304719,2.22045e-16,0.0172148,0.0185007
111,883.76,1,9.36379,45.2061,9.13194,110.848,0.260439,0.260413,0.473842,0.928987,0.302182,2.22045e-16,0.0336527,0.01295
112,881.749,1,9.34189,45.326,9.10564,110.876,0.264372,0.266933,0.461844,0.94059,0.306674,2.22045e-16,0.0240921,0.0160645
113,878.813,1,9.28558,45.6776,9.31421,110.69,0.261248,0.260796,0.454001,0.933988,0.303519,2.22045e-16,0.0164417,0.0186714
114,879.339,1,9.37117,45.0992,9.78071,112.6,0.257049,0.261649,0.467798,0.910339,0.308006,2.22045e-16,0.0256491,0.0149582
115,877.721,1,9.41501,45.0143,9.86476,113.312,0.254536,0.257876,0.478218,0.895372,0.306959,2.22045e-16,0.027929,0.0139943
116,873.314,1,9.45346,45.182,9.49128,111.044,0.254551,0.251346,0.470858,0.892196,0.298866,2.22045e-16,0.0269438,0.0148492
117,880.827,1,9.45921,46.3356,9.76004,105.505,0.248106,0.259183,0.458936,0.969669,0.304428,2.22045e-16,0.0209534,0.0174552
118,885.786,1,9.46711,46.0747,9.83371,109.101,0.241824,0.270439,0.447315,1.00479,0.298196,2.22045e-16,0.0174167,0.0200254
119,889.232,1,9.40747,46.0815,9.68861,112.561,0.244361,0.263592,0.44261,1.01534,0.304033,2.22045e-16,0.00949983,0.023007
120,880.196,1,9.45791,45.1769,9.79471,106.547,0.246705,0.259072,0.431403,0.989631,0.303963,2.22045e-16,0.00787286,0.0228816
121,882.003,1,9.45594,44.7664,9.79168,107.214,0.240459,0.252512,0.42048,0.964573,0.298238,2.22045e-16,0.0119592,0.0223624
122,880.385,1,9.46609,45.5905,9.63971,106.642,0.23751,0.246118,0.409833,0.94015,0.300191,2.22045e-16,0.00227495,0.0259001
123,886.144,1,9.46297,45.5899,9.38347,116.577,0.237606,0.243523,0.399456,0.916345,0.301366,2.22045e-16,0.00839396,0.0247719
124,897.242,1,9.49839,46.5666,9.25523,109.836,0.232965,0.267026,0.389341,0.893142,0.289991,2.22045e-16,0.0221812,0.0216922
125,889.901,1,9.46147,45.9303,9.06229,108.842,0.230846,0.26802,0.379483,0.927081,0.295686,2.22045e-16,0.0210721,0.0206076
126,887.775,1,9.40833,45.5647,8.97521,114.809,0.24783,0.262401,0.381897,0.903607,0.299238,2.22045e-16,0.0246604,0.0182395
127,883.999,1,9.51425,46.1654,9.23076,104.658,0.253076,0.270377,0.386555,0.881955,0.298392,2.22045e-16,0.0214438,0.0187818
128,885.04,1,9.5432,46.2611,9.18667,106.227,0.252254,0.265089,0.40385,0.863855,0.298508,2.22045e-16,0.0243054,0.0178211
129,879.488,1,9.54404,45.2554,9.0212,105.105,0.256469,0.258376,0.402067,0.841982,0.302108,2.22045e-16,0.0347568,0.0132775
130,879.558,1,9.54551,45.4979,9.36528,106.599,0.250434,0.255358,0.428564,0.820662,0.300964,2.22045e-16,0.0392011,0.0114157
131,871.109,1,9.50423,45.3775,9.2791,110.957,0.248696,0.252615,0.423601,0.799883,0.300391,2.22045e-16,0.042952,0.00905542
132,869.661,1,9.48678,45.835,9.01307,112.628,0.254069,0.256683,0.412875,0.779629,0.306732,2.22045e-16,0.0450777,0.00769722
133,871.158,1,9.43324,46.0865,9.10099,117.021,0.255491,0.2555,0.402421,0.79139,0.30406,2.22045e-16,0.0491075,0.0066046
134,876.111,1,9.53387,45.994,9.22802,113.811,0.250744,0.252875,0.392231,0.807173,0.304234,2.22045e-16,0.0495988,0.00710042
135,871.238,1,9.54954,46.9296,8.97543,120.636,0.252439,0.246798,0.420283,0.786735,0.305193,2.22045e-16,0.0486818,0.00669443
136,876.957,1,9.44395,45.3822,9.22716,116.254,0.251897,0.261264,0.42713,0.7887,0.30269,2.22045e-16,0.0495229,0.00689105
137,880.948,1,9.49202,45.6389,8.79211,109.227,0.25884,0.260356,0.457594,0.797712,0.304392,2.22045e-16,0.0446644,0.00873259
138,880.52,1,9.5302,45.8714,8.54437,102.519,0.253461,0.253764,0.455317,0.783253,0.305504,2.22045e-16,0.0389013,0.0110348
139,878.318,1,9.55256,45.1717,8.79743,98.9205,0.25787,0.268536,0.482142,0.816338,0.304582,2.22045e-16,0.0320301,0.0127763
140,880.873,1,9.58266,45.0998,8.93541,98.0888,0.253183,0.282375,0.469934,0.841414,0.30409,2.22045e-16,0.0159673,0.019227
141,875.875,1,9.66503,45.7203,9.20949,94.9154,0.246772,0.279757,0.475188,0.83192,0.301638,2.22045e-16,0.0253155,0.0153818
142,869.272,1,9.57252,45.4698,8.78054,96.4218,0.248795,0.272673,0.463156,0.811796,0.303179,2.22045e-16,0.0220235,0.0161012
143,873.603,1,9.60081,46.6377,8.72302,102.471,0.256324,0.266246,0.451429,0.791241,0.299278,2.22045e-16,0.0296235,0.0142366
144,867.028,1,9.72078,46.0328,8.54093,91.3862,0.251697,0.259504,0.439998,0.771206,0.298616,2.22045e-16,0.0301312,0.0140173
145,866.715,1,9.76823,45.1551,9.04032,90.4867,0.252553,0.252933,0.428857,0.751679,0.306813,2.22045e-16,0.0407044,0.00940495
146,868.277,1,9.78373,45.0703,8.85385,85.8444,0.251074,0.252573,0.417999,0.732646,0.299902,2.22045e-16,0.0390322,0.0104837
147,868.23,1,9.84875,45.125,8.9797,84.4361,0.249677,0.250341,0.435948,0.714095,0.299729,2.22045e-16,0.0227871,0.0167697
148,869.922,1,9.87582,45.4473,9.41864,80.973,0.248938,0.250999,0.463934,0.723612,0.302738,2.22045e-16,0.0320814,0.0127936
149,869.611,1,9.85637,45.0249,9.58063,75.2756,0.252917,0.265579,0.452187,0.751322,0.303435,2.22045e-16,0.0419816,0.00877411
150,871.529,1,9.87766,44.966,9.5351,76.731,0.259844,0.279797,0.440737,0.732298,0.308847,2.22045e-16,0.0315997,0.012448
151,864.093,1,9.98343,44.4571,9.60561,78.6259,0.253265,0.275119,0.429577,0.713755,0.300731,2.22045e-16,0.02447,0.0154556
152,867.733,1,10.0093,45.1064,9.72267,78.9609,0.25451,0.268153,0.463478,0.695683,0.301433,2.22045e-16,0.0202668,0.0173845
153,869.61,1,10.0228,44.6737,9.97735,72.5022,0.248242,0.261363,0.468778,0.678068,0.304778,2.22045e-16,0.0187488,0.0182603
154,867.365,1,10.0812,44.1455,9.72903,70.6098,0.248057,0.259743,0.474453,0.660899,0.298003,2.22045e-16,0.0290708,0.0142861
155,867.006,1,10.046,44.0571,10.1142,73.4086,0.245959,0.253166,0.494668,0.644164,0.299812,2.22045e-16,0.0334601,0.01275
156,868.095,1,10.0612,43.1029,10.5535,71.012,0.243834,0.28951,0.497717,0.669705,0.304692,2.22045e-16,0.0317871,0.0121125
157,857.26,1,10.0345,43.4415,10.4622,69.8253,0.250919,0.28218,0.494137,0.725543,0.304284,2.22045e-16,0.0301977,0.0115069
158,863.103,1,9.96963,43.6031,10.5682,67.9757,0.254839,0.275035,0.541754,0.715679,0.304136,2.22045e-16,0.038621,0.00887128
159,867.689,1,9.91279,42.9422,10.3664,67.6542,0.253082,0.268071,0.571471,0.739535,0.298212,2.22045e-16,0.0332655,0.0116743
160,866.361,1,9.9243,42.6776,10.7871,72.6917,0.250684,0.261283,0.566493,0.720809,0.304201,2.22045e-16,0.0253159,0.0143963
161,868.295,1,9.96461,42.7945,10.3355,71.2635,0.244336,0.254667,0.58565,0.71183,0.301554,2.22045e-16,0.0142013,0.0192299
162,867.692,1,9.98011,43.1802,9.85542,70.5585,0.238149,0.248219,0.576672,0.693806,0.307305,2.22045e-16,0.0274948,0.013625
163,871.316,1,10.0398,43.6108,9.89439,67.1471,0.245096,0.254747,0.56207,0.67731,0.307885,2.22045e-16,0.0271307,0.0140597
164,880.096,1,10.0698,43.663,10.1235,65.9055,0.244399,0.248296,0.571145,0.702687,0.305051,2.22045e-16,0.0194836,0.0183471
165,878.408,1,10.0395,43.7484,9.74095,65.8579,0.246093,0.247453,0.556683,0.703979,0.307247,2.22045e-16,0.0309098,0.0135671
166,874.841,1,10.053,43.4751,10.0555,70.1489,0.244623,0.250577,0.542587,0.686154,0.300005,2.22045e-16,0.0339775,0.0131305
167,871.908,1,10.0228,43.4232,10.3013,67.4366,0.250807,0.244233,0.557384,0.66878,0.299758,2.22045e-16,0.0397793,0.010433
168,859.965,1,10.0161,43.3774,9.94662,73.0037,0.256368,0.238048,0.543271,0.651846,0.302871,2.22045e-16,0.0275625,0.0137263
169,859.707,1,9.94236,43.9519,9.92651,72.8158,0.268252,0.23894,0.529515,0.635341,0.304303,2.22045e-16,0.0253829,0.0139864
170,859.81,1,10.07,44.0995,10.0194,73.5311,0.263534,0.247354,0.551901,0.619254,0.300167,2.22045e-16,0.0389543,0.00915733
171,864.378,1,10.069,43.3456,10.2985,70.0322,0.267719,0.267158,0.573051,0.611466,0.301665,2.22045e-16,0.0364559,0.00989306
172,856.709,1,10.0209,43.8847,10.0868,72.7757,0.26583,0.283701,0.558541,0.595984,0.306867,2.22045e-16,0.0346331,0.00939841
173,856.952,1,10.013,44.2113,10.0679,71.7561,0.259099,0.276518,0.588966,0.580893,0.307825,2.22045e-16,0.0379725,0.00832921
174,856.387,1,10.072,44.5909,10.1989,69.587,0.261117,0.269516,0.598802,0.588322,0.311199,2.22045e-16,0.0386969,0.00749721
175,863.856,1,10.0279,43.0988,10.129,73.4004,0.261399,0.263403,0.59868,0.573425,0.311379,2.22045e-16,0.0305655,0.011683
176,859.276,1,10.0481,43.4626,10.3334,69.3268,0.264892,0.256734,0.607684,0.58783,0.302739,2.22045e-16,0.0499771,0.00419196
177,861.979,1,10.0271,43.0728,10.4537,72.221,0.258185,0.255319,0.608847,0.585116,0.306557,2.22045e-16,0.0371182,0.00915373
178,859.663,1,10.0827,42.3053,10.5361,71.2723,0.251647,0.248854,0.635418,0.570301,0.301476,2.22045e-16,0.0474317,0.00571168
179,858.908,1,10.0623,42.5885,10.5921,71.0376,0.256949,0.254106,0.631854,0.556041,0.309964,2.22045e-16,0.0250119,0.0132347
180,859.148,1,10.023,42.3169,9.95243,68.2482,0.256717,0.26704,0.615855,0.543045,0.308943,2.22045e-16,0.0253362,0.0133931
181,852.568,1,10.1125,43.841,10.0745,67.1329,0.250216,0.260278,0.600261,0.529295,0.303376,2.22045e-16,0.0224268,0.0146183
182,847.458,1,10.0783,43.0103,9.9244,68.4441,0.251911,0.253688,0.585062,0.515893,0.306457,2.22045e-16,0.0194135,0.0151419
183,853.401,1,10.069,43.3097,10.501,67.5464,0.255665,0.248021,0.597672,0.515714,0.30287,2.22045e-16,0.0254961,0.0134597
184,853.924,1,10.0878,43.5112,10.125,68.5076,0.263312,0.241741,0.582538,0.506265,0.303345,2.22045e-16,0.0382788,0.00906641
185,860.923,1,10.1456,43.8056,10.371,64.9012,0.259556,0.23562,0.567788,0.501443,0.298664,2.22045e-16,0.045863,0.00755877
186,851.934,1,10.1505,43.9213,10.1428,69.458,0.260702,0.232608,0.595033,0.488746,0.302289,2.22045e-16,0.0435698,0.00718084
187,858.361,1,10.1531,44.3738,10.0537,67.4333,0.264382,0.251224,0.659278,0.516671,0.302507,2.22045e-16,0.0391437,0.00841404
188,856.203,1,10.1655,43.8216,10.4095,64.9092,0.261019,0.262052,0.642585,0.543519,0.301469,2.22045e-16,0.0466403,0.00543877
189,854.076,1,10.196,43.404,10.513,61.7945,0.261683,0.267767,0.626314,0.529757,0.306915,2.22045e-16,0.0418901,0.00660688
190,850.81,1,10.2173,43.2959,10.6037,59.3846,0.255764,0.260987,0.623889,0.516343,0.306715,2.22045e-16,0.0431112,0.00624794
191,847.108,1,10.1828,42.4508,10.4141,57.1741,0.257811,0.254378,0.61543,0.503269,0.314135,2.22045e-16,0.0414872,0.0060261
192,852.914,1,10.1678,43.391,10.4443,60.8026,0.257394,0.247937,0.608073,0.507262,0.309512,2.22045e-16,0.0501189,0.00363146
193,862.225,1,10.1242,42.6132,10.3317,65.3108,0.25749,0.24166,0.647078,0.527769,0.307157,2.22045e-16,0.0430963,0.00734558
194,862.134,1,10.0939,42.2551,10.5242,58.6818,0.260329,0.242621,0.665386,0.521205,0.30751,2.22045e-16,0.0434813,0.00693029
