rep,ID,eta_fi_simulated,eta_V_simulated,eta_Cl_simulated,split,color,filter
1,6,-0.0380231,0.129443,0.116571,All,#4682B4,0
2,6,-0.10715,0.389309,0.0795285,All,#4682B4,0
3,6,0.0134136,0.280261,0.174883,All,#4682B4,0
4,6,-0.322943,0.144111,-0.0368906,All,#4682B4,0
5,6,0.0256429,0.308441,0.26197,All,#4682B4,0
6,6,-0.109104,0.124495,0.15677,All,#4682B4,0
7,6,-0.0990602,0.225,0.22415,All,#4682B4,0
8,6,-0.144262,0.201974,0.018509,All,#4682B4,0
9,6,0.0672419,0.359821,0.237232,All,#4682B4,0
0,7,-0.109568,-0.0417607,0.0263486,All,#4682B4,0
1,7,0.0516495,0.128431,0.180669,All,#4682B4,0
2,7,0.00568459,0.03115,0.145035,All,#4682B4,0
3,7,0.103597,0.190561,0.20939,All,#4682B4,0
4,7,-0.290749,-0.0112003,-0.00993731,All,#4682B4,0
5,7,-0.0492912,-0.0237539,0.106606,All,#4682B4,0
6,7,-0.0906065,0.175448,0.131747,All,#4682B4,0
7,7,0.0280536,0.0233748,0.238299,All,#4682B4,0
8,7,0.0367667,0.203663,0.153996,All,#4682B4,0
9,7,0.0150338,0.085816,0.140983,All,#4682B4,0
0,8,-0.120885,-0.180777,0.229152,All,#4682B4,0
1,8,0.00451254,-0.0166951,0.342875,All,#4682B4,0
2,8,-0.194757,0.107012,0.0913368,All,#4682B4,0
3,8,-0.104311,-0.122627,0.317227,All,#4682B4,0
4,8,-0.019342,-0.174097,0.298924,All,#4682B4,0
5,8,-0.167139,-0.0595935,0.312416,All,#4682B4,0
6,8,-0.144229,-0.200142,0.193443,All,#4682B4,0
7,8,-0.0214803,-0.147128,0.359077,All,#4682B4,0
8,8,-0.0935612,-0.0480195,0.316753,All,#4682B4,0
9,8,-0.111885,0.000410172,0.344806,All,#4682B4,0
0,9,0.0459397,0.0298001,-0.0842715,All,#4682B4,0
1,9,-0.0373462,0.0905012,-0.118687,All,#4682B4,0
2,9,0.0708893,0.120622,0.0081976,All,#4682B4,0
3,9,0.100819,0.0652955,-0.0463782,All,#4682B4,0
4,9,-0.0146131,0.0577382,-0.0245656,All,#4682B4,0
5,9,0.00948816,0.0744981,-0.157234,All,#4682B4,0
6,9,0.0788332,0.123648,-0.0240132,All,#4682B4,0
7,9,0.171186,0.140288,0.0841389,All,#4682B4,0
8,9,0.069547,-0.00726539,-0.102223,All,#4682B4,0
9,9,0.071982,0.093924,-0.131895,All,#4682B4,0
0,10,-0.0731994,-0.115564,-0.534958,All,#4682B4,0
1,10,0.000541196,-0.0400325,-0.518389,All,#4682B4,0
2,10,0.0885812,0.0139447,-0.391102,All,#4682B4,0
3,10,0.0292023,-0.0523597,-0.374515,All,#4682B4,0
4,10,0.0770419,-0.147986,-0.421123,All,#4682B4,0
5,10,-0.137681,-0.0916406,-0.529334,All,#4682B4,0
6,10,-0.0229647,-0.153261,-0.484132,All,#4682B4,0
7,10,-0.0136267,-0.0461377,-0.453531,All,#4682B4,0
8,10,0.0569869,-0.00505662,-0.413131,All,#4682B4,0
9,10,0.00516452,-0.0450557,-0.439582,All,#4682B4,0
0,11,0.231305,0.18095,0.155849,All,#4682B4,0
1,11,0.33518,0.254545,0.212971,All,#4682B4,0
2,11,0.153615,0.00585444,0.192251,All,#4682B4,0
3,11,0.183616,-0.00521254,0.152274,All,#4682B4,0
4,11,0.246685,0.319093,0.202702,All,#4682B4,0
5,11,0.27755,0.234141,0.214501,All,#4682B4,0
6,11,0.0900343,-0.0396793,0.185762,All,#4682B4,0
7,11,0.193368,0.265642,0.141449,All,#4682B4,0
8,11,0.0900491,0.105621,0.150265,All,#4682B4,0
9,11,0.102635,0.183323,0.109213,All,#4682B4,0
0,12,0.154802,0.00261148,-0.00500137,All,#4682B4,0
1,12,0.169226,0.0349197,-0.0853542,All,#4682B4,0
2,12,0.129511,0.15672,-0.0418405,All,#4682B4,0
3,12,0.270683,0.0133538,0.0517649,All,#4682B4,0
4,12,0.280123,0.140939,0.0440563,All,#4682B4,0
5,12,0.139914,0.0418831,0.0205546,All,#4682B4,0
6,12,0.228468,0.112967,-0.0436893,All,#4682B4,0
7,12,0.207731,0.12404,0.0455957,All,#4682B4,0
8,12,0.221203,0.101473,-0.0657946,All,#4682B4,0
9,12,0.140376,0.147476,-0.0511683,All,#4682B4,0
0,13,0.287079,0.173447,-0.0385073,All,#4682B4,0
1,13,0.225957,0.238375,-0.0184611,All,#4682B4,0
2,13,0.272783,-0.0529608,-0.0268548,All,#4682B4,0
3,13,0.300321,0.235326,0.0129652,All,#4682B4,0
4,13,0.0886993,0.17239,-0.145177,All,#4682B4,0
5,13,0.152979,-0.0549674,-0.015625,All,#4682B4,0
6,13,0.22502,0.0205385,0.0281858,All,#4682B4,0
7,13,0.21836,0.185738,0.00119637,All,#4682B4,0
8,13,0.235965,0.114838,-1.26837e-05,All,#4682B4,0
9,13,0.128537,0.0831715,-0.198262,All,#4682B4,0
0,14,-0.220026,-0.169258,-0.0149771,All,#4682B4,0
1,14,-0.0362611,0.0153909,0.149553,All,#4682B4,0
2,14,-0.0811681,-0.143609,0.252261,All,#4682B4,0
3,14,0.179997,0.0990656,0.234093,All,#4682B4,0
4,14,0.0133962,-0.0175032,0.215248,All,#4682B4,0
5,14,-0.151962,-0.0388737,0.0705356,All,#4682B4,0
6,14,-0.0519058,-0.168951,0.116559,All,#4682B4,0
7,14,-0.0727383,-0.12256,0.130134,All,#4682B4,0
8,14,-0.443852,-0.251701,0.10216,All,#4682B4,0
9,14,-0.149148,-0.0130637,0.194112,All,#4682B4,0
