Cl_vs_V_abscissa,Cl_vs_V_spline,Cl_vs_V_regression,Cl_vs_fi_abscissa,Cl_vs_fi_spline,Cl_vs_fi_regression,V_vs_Cl_abscissa,V_vs_Cl_spline,V_vs_Cl_regression,V_vs_fi_abscissa,V_vs_fi_spline,V_vs_fi_regression,fi_vs_Cl_abscissa,fi_vs_Cl_spline,fi_vs_Cl_regression,fi_vs_V_abscissa,fi_vs_V_spline,fi_vs_V_regression
-0.180138,-0.0536964,-0.146354,-0.313347,-0.183118,-0.179179,-0.349127,-0.0356673,-0.104794,-0.313347,-0.152997,-0.147452,-0.349127,0.00811504,-0.118872,-0.180138,-0.123622,-0.133698
-0.171638,-0.0475807,-0.139644,-0.303668,-0.168872,-0.173518,-0.338557,-0.032623,-0.10133,-0.303668,-0.143799,-0.142569,-0.338557,0.00814271,-0.115291,-0.171638,-0.108575,-0.127714
-0.163139,-0.0459158,-0.132933,-0.293988,-0.154626,-0.167857,-0.327987,-0.0295788,-0.0978664,-0.293988,-0.134601,-0.137685,-0.327987,0.00817038,-0.111711,-0.163139,-0.0939073,-0.12173
-0.15464,-0.045495,-0.126223,-0.284309,-0.141203,-0.162196,-0.317416,-0.0265345,-0.0944028,-0.284309,-0.125894,-0.132801,-0.317416,0.00819805,-0.10813,-0.15464,-0.0793657,-0.115746
-0.146141,-0.0479646,-0.119513,-0.274629,-0.128194,-0.156535,-0.306846,-0.0234902,-0.0909392,-0.274629,-0.117434,-0.127918,-0.306846,0.00822572,-0.104549,-0.146141,-0.0654394,-0.109761
-0.137642,-0.0528969,-0.112803,-0.26495,-0.115184,-0.150874,-0.296276,-0.020446,-0.0874755,-0.26495,-0.108974,-0.123034,-0.296276,0.0082534,-0.100969,-0.137642,-0.0528663,-0.103777
-0.129142,-0.0584053,-0.106093,-0.25527,-0.102175,-0.145213,-0.285706,-0.0174017,-0.0840119,-0.25527,-0.100513,-0.118151,-0.285706,0.00828107,-0.0973879,-0.129142,-0.0408361,-0.097793
-0.120643,-0.063979,-0.0993831,-0.245591,-0.0891654,-0.139552,-0.275136,-0.0143574,-0.0805483,-0.245591,-0.0920532,-0.113267,-0.275136,0.00830874,-0.0938072,-0.120643,-0.0292484,-0.0918089
-0.112144,-0.069227,-0.0926731,-0.235911,-0.076156,-0.13389,-0.264565,-0.0113131,-0.0770847,-0.235911,-0.083593,-0.108383,-0.264565,0.00833641,-0.0902265,-0.112144,-0.019962,-0.0858247
-0.103645,-0.0736929,-0.085963,-0.226232,-0.0631465,-0.128229,-0.253995,-0.00826888,-0.0736211,-0.226232,-0.0751327,-0.1035,-0.253995,0.00836408,-0.0866458,-0.103645,-0.0118768,-0.0798406
-0.0951456,-0.076816,-0.0792529,-0.216552,-0.0507789,-0.122568,-0.243425,-0.00522461,-0.0701575,-0.216552,-0.0671396,-0.098616,-0.243425,0.00839175,-0.0830651,-0.0951456,-0.00510701,-0.0738564
-0.0866464,-0.0763553,-0.0725428,-0.206873,-0.0395578,-0.116907,-0.232855,-0.00218034,-0.0666938,-0.206873,-0.0599808,-0.0937324,-0.232855,0.00841943,-0.0794844,-0.0866464,-0.00116298,-0.0678723
-0.0781472,-0.0714232,-0.0658328,-0.197193,-0.0283368,-0.111246,-0.222284,0.000863933,-0.0632302,-0.197193,-0.0528221,-0.0888488,-0.222284,0.0084471,-0.0759037,-0.0781472,-0.00014112,-0.0618881
-0.069648,-0.0664912,-0.0591227,-0.187514,-0.0180589,-0.105585,-0.211714,0.0039082,-0.0597666,-0.187514,-0.0464063,-0.0839652,-0.211714,0.00847477,-0.0723231,-0.069648,0.000880739,-0.055904
-0.0611488,-0.0566086,-0.0524126,-0.177834,-0.00809832,-0.0999236,-0.201144,0.00695247,-0.056303,-0.177834,-0.0402403,-0.0790815,-0.201144,0.00850244,-0.0687424,-0.0611488,-0.000907607,-0.0499198
-0.0526496,-0.0406527,-0.0457025,-0.168155,0.00176389,-0.0942624,-0.190574,0.00764397,-0.0528394,-0.168155,-0.0341536,-0.0741979,-0.190574,0.00684107,-0.0651617,-0.0526496,-0.00594948,-0.0439357
-0.0441504,-0.0199656,-0.0389925,-0.158475,0.0104956,-0.0886013,-0.180004,0.00745359,-0.0493757,-0.158475,-0.0289827,-0.0693143,-0.180004,0.00454659,-0.061581,-0.0441504,-0.0129621,-0.0379515
-0.0356512,0.00164231,-0.0322824,-0.148796,0.0189805,-0.0829402,-0.169433,0.0072632,-0.0459121,-0.148796,-0.0240132,-0.0644307,-0.169433,0.00225212,-0.0580003,-0.0356512,-0.0189766,-0.0319673
-0.027152,0.0206029,-0.0255723,-0.139116,0.0265126,-0.077279,-0.158863,0.00707282,-0.0424485,-0.139116,-0.019761,-0.0595471,-0.158863,-4.23576e-05,-0.0544196,-0.027152,-0.0211131,-0.0259832
-0.0186528,0.0333038,-0.0188622,-0.129437,0.0328162,-0.0716179,-0.148293,0.00678941,-0.0389849,-0.129437,-0.0162645,-0.0546634,-0.148293,-0.00140129,-0.0508389,-0.0186528,-0.0164758,-0.019999
-0.0101536,0.0391128,-0.0121522,-0.119757,0.0379804,-0.0659568,-0.137723,0.00652086,-0.0355213,-0.119757,-0.0134149,-0.0497798,-0.137723,-0.00196767,-0.0472582,-0.0101536,-0.00560122,-0.0140149
-0.00165445,0.039903,-0.00544209,-0.110078,0.0412897,-0.0602956,-0.127153,0.00630866,-0.0320577,-0.110078,-0.0115516,-0.0448962,-0.127153,-0.00190833,-0.0436775,-0.00165445,0.00833295,-0.00803072
0.00684475,0.0370535,0.00126798,-0.100398,0.042297,-0.0546345,-0.116582,0.00618507,-0.028594,-0.100398,-0.0108456,-0.0400126,-0.116582,-0.00109078,-0.0400968,0.00684475,0.022173,-0.00204657
0.0153439,0.0325456,0.00797806,-0.0907188,0.040905,-0.0489734,-0.106012,0.00618839,-0.0251304,-0.0907188,-0.0113019,-0.035129,-0.106012,0.000606213,-0.0365161,0.0153439,0.0332356,0.00393759
0.0238431,0.0276363,0.0146881,-0.0810393,0.0365671,-0.0433122,-0.095442,0.00641164,-0.0216668,-0.0810393,-0.0131466,-0.0302453,-0.095442,0.00355755,-0.0329354,0.0238431,0.0389824,0.00992174
0.0323423,0.0231067,0.0213982,-0.0713598,0.0291726,-0.0376511,-0.0848717,0.00676883,-0.0182032,-0.0713598,-0.0163489,-0.0253617,-0.0848717,0.00720785,-0.0293547,0.0323423,0.0406659,0.0159059
0.0408415,0.0196094,0.0281083,-0.0616803,0.0203263,-0.03199,-0.0743015,0.00741503,-0.0147396,-0.0616803,-0.0197874,-0.0204781,-0.0743015,0.0122587,-0.025774,0.0408415,0.0396426,0.02189
0.0493407,0.0186405,0.0348184,-0.0520008,0.0117962,-0.0263288,-0.0637313,0.00840548,-0.0112759,-0.0520008,-0.0224907,-0.0155945,-0.0637313,0.0185734,-0.0221933,0.0493407,0.0376433,0.0278742
0.0578399,0.0179859,0.0415284,-0.0423212,0.00587137,-0.0206677,-0.0531611,0.00978081,-0.00781233,-0.0423212,-0.0226871,-0.0107109,-0.0531611,0.0256788,-0.0186126,0.0578399,0.0356179,0.0338584
0.0663391,0.0211317,0.0482385,-0.0326417,0.00465219,-0.0150065,-0.0425909,0.0118072,-0.00434871,-0.0326417,-0.0190597,-0.00582724,-0.0425909,0.0333723,-0.0150319,0.0663391,0.0355115,0.0398425
0.0748383,0.0277043,0.0549486,-0.0229622,0.00981605,-0.00934541,-0.0320207,0.0146432,-0.000885092,-0.0229622,-0.0105223,-0.000943625,-0.0320207,0.0412292,-0.0114513,0.0748383,0.0385915,0.0458267
0.0833375,0.03712,0.0616586,-0.0132827,0.021129,-0.00368427,-0.0214505,0.018464,0.00257853,-0.0132827,0.00284621,0.00394,-0.0214505,0.0488527,-0.00787056,0.0833375,0.044635,0.0518108
0.0918367,0.0484662,0.0683687,-0.00360322,0.0349889,0.00197686,-0.0108803,0.0232238,0.00604214,-0.00360322,0.0187931,0.00882362,-0.0108803,0.0558754,-0.00428987,0.0918367,0.0528089,0.057795
0.100336,0.060584,0.0750788,0.00607629,0.047806,0.007638,-0.000310066,0.0286303,0.00950576,0.00607629,0.0348109,0.0137072,-0.000310066,0.0618066,-0.000709172,0.100336,0.0620038,0.0637791
0.108835,0.0723699,0.0817889,0.0157558,0.0558667,0.0132991,0.0102601,0.0342658,0.0129694,0.0157558,0.048732,0.0185909,0.0102601,0.0661465,0.00287152,0.108835,0.0712033,0.0697633
0.117334,0.0829437,0.0884989,0.0254353,0.0575625,0.0189603,0.0208304,0.0397382,0.016433,0.0254353,0.0591949,0.0234745,0.0208304,0.0685236,0.00645222,0.117334,0.079535,0.0757474
0.125834,0.0910007,0.095209,0.0351148,0.0538424,0.0246214,0.0314006,0.0444393,0.0198966,0.0351148,0.0661146,0.0283581,0.0314006,0.0678017,0.0100329,0.125834,0.085814,0.0817316
0.134333,0.0956156,0.101919,0.0447943,0.0467214,0.0302825,0.0419708,0.0484071,0.0233602,0.0447943,0.0700204,0.0332417,0.0419708,0.0648145,0.0136136,0.134333,0.0891924,0.0877158
0.142832,0.0987217,0.108629,0.0544738,0.0379147,0.0359437,0.052541,0.0511206,0.0268239,0.0544738,0.071253,0.0381253,0.052541,0.0586698,0.0171943,0.142832,0.0913162,0.0936999
0.151331,0.0997406,0.115339,0.0641533,0.0292386,0.0416048,0.0631112,0.0522912,0.0302875,0.0641533,0.0699984,0.043009,0.0631112,0.0491133,0.020775,0.151331,0.0917731,0.0996841
0.15983,0.100057,0.122049,0.0738328,0.0219565,0.0472659,0.0736814,0.0531864,0.0337511,0.0738328,0.0671636,0.0478926,0.0736814,0.039147,0.0243557,0.15983,0.0917619,0.105668
0.16833,0.100323,0.128759,0.0835123,0.0178165,0.0529271,0.0842516,0.0533279,0.0372147,0.0835123,0.0625775,0.0527762,0.0842516,0.0282501,0.0279364,0.16833,0.0918638,0.111652
0.176829,0.101363,0.135469,0.0931919,0.0158749,0.0585882,0.0948218,0.053298,0.0406783,0.0931919,0.0574875,0.0576598,0.0948218,0.0183294,0.0315171,0.176829,0.0928532,0.117637
0.185328,0.103999,0.14218,0.102871,0.0160119,0.0642494,0.105392,0.0534068,0.0441419,0.102871,0.0523233,0.0625434,0.105392,0.00990189,0.0350978,0.185328,0.0954643,0.123621
0.193827,0.108764,0.14889,0.112551,0.0186128,0.0699105,0.115962,0.0540532,0.0476056,0.112551,0.0479921,0.0674271,0.115962,0.0046845,0.0386785,0.193827,0.100145,0.129605
0.202326,0.114594,0.1556,0.12223,0.0233754,0.0755716,0.126532,0.0557339,0.0510692,0.12223,0.045469,0.0723107,0.126532,0.0044214,0.0422592,0.202326,0.105832,0.135589
0.210825,0.12287,0.16231,0.13191,0.0295665,0.0812328,0.137103,0.0582883,0.0545328,0.13191,0.0447688,0.0771943,0.137103,0.00799106,0.0458399,0.210825,0.113645,0.141573
0.219325,0.131397,0.16902,0.141589,0.0375586,0.0868939,0.147673,0.062495,0.0579964,0.141589,0.0473216,0.0820779,0.147673,0.0185086,0.0494205,0.219325,0.121667,0.147557
0.227824,0.140433,0.17573,0.151269,0.0466386,0.092555,0.158243,0.0679181,0.06146,0.151269,0.0523046,0.0869615,0.158243,0.0337271,0.0530012,0.227824,0.130045,0.153541
0.236323,0.150647,0.18244,0.160948,0.0562717,0.0982162,0.168813,0.0738298,0.0649237,0.160948,0.058991,0.0918452,0.168813,0.0501303,0.0565819,0.236323,0.139206,0.159526
0.244822,0.161439,0.18915,0.170628,0.0661244,0.103877,0.179383,0.0794784,0.0683873,0.170628,0.0670647,0.0967288,0.179383,0.0642133,0.0601626,0.244822,0.148375,0.16551
0.253321,0.172304,0.19586,0.180307,0.0756234,0.109538,0.189954,0.0840957,0.0718509,0.180307,0.0758209,0.101612,0.189954,0.0722944,0.0637433,0.253321,0.157506,0.171494
0.261821,0.183147,0.20257,0.189987,0.0842537,0.1152,0.200524,0.0871931,0.0753145,0.189987,0.084576,0.106496,0.200524,0.0733729,0.067324,0.261821,0.165971,0.177478
0.27032,0.193648,0.20928,0.199666,0.0910846,0.120861,0.211094,0.0886763,0.0787781,0.199666,0.0923844,0.11138,0.211094,0.0693508,0.0709047,0.27032,0.173523,0.183462
0.278819,0.203873,0.21599,0.209346,0.0968694,0.126522,0.221664,0.0881416,0.0822417,0.209346,0.0994675,0.116263,0.221664,0.0615093,0.0744854,0.278819,0.18042,0.189446
0.287318,0.212199,0.2227,0.219025,0.100176,0.132183,0.232235,0.0854785,0.0857054,0.219025,0.104618,0.121147,0.232235,0.0520514,0.0780661,0.287318,0.184017,0.195431
0.295817,0.220137,0.22941,0.228705,0.100633,0.137844,0.242805,0.0805797,0.089169,0.228705,0.107276,0.126031,0.242805,0.042819,0.0816468,0.295817,0.186939,0.201415
0.304317,0.228075,0.236121,0.238384,0.09902,0.143505,0.253375,0.073529,0.0926326,0.238384,0.108153,0.130914,0.253375,0.0349842,0.0852275,0.304317,0.189861,0.207399
0.312816,0.23436,0.242831,0.248064,0.0964386,0.149166,0.263945,0.0649669,0.0960962,0.248064,0.108326,0.135798,0.263945,0.0289578,0.0888082,0.312816,0.19021,0.213383
0.321315,0.237391,0.249541,0.257743,0.0946602,0.154828,0.274515,0.0557463,0.0995598,0.257743,0.109724,0.140681,0.274515,0.0244682,0.0923889,0.321315,0.185684,0.219367
0.329814,0.235628,0.256251,0.267423,0.0929446,0.160489,0.285086,0.0469078,0.103023,0.267423,0.111204,0.145565,0.285086,0.0227684,0.0959696,0.329814,0.174243,0.225351
0.338313,0.233866,0.262961,0.277102,0.0931299,0.16615,0.295656,0.0381495,0.106487,0.277102,0.114823,0.150449,0.295656,0.0216539,0.0995503,0.338313,0.162803,0.231335
0.346813,0.232103,0.269671,0.286782,0.0970325,0.171811,0.306226,0.0310203,0.109951,0.286782,0.122468,0.155332,0.306226,0.0230659,0.103131,0.346813,0.151362,0.23732
0.355312,0.230341,0.276381,0.296462,0.10609,0.177472,0.316796,0.0254188,0.113414,0.296462,0.135523,0.160216,0.316796,0.0264198,0.106712,0.355312,0.139921,0.243304
0.363811,0.222954,0.283091,0.306141,0.124979,0.183133,0.327366,0.0242574,0.116878,0.306141,0.158708,0.165099,0.327366,0.0335681,0.110292,0.363811,0.120682,0.249288
0.37231,0.209213,0.289801,0.315821,0.150294,0.188794,0.337937,0.0242709,0.120342,0.315821,0.188512,0.169983,0.337937,0.0415376,0.113873,0.37231,0.0926318,0.255272
0.380809,0.195471,0.296511,0.3255,0.175609,0.194455,0.348507,0.0301762,0.123805,0.3255,0.218315,0.174867,0.348507,0.0533393,0.117454,0.380809,0.0645811,0.261256
0.389309,0.18173,0.303221,0.33518,0.200924,0.200117,0.359077,0.0394104,0.127269,0.33518,0.248119,0.17975,0.359077,0.0670908,0.121034,0.389309,0.0365304,0.26724
