iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCRMLMIN,V1_pop,Q_pop,V2_pop,bias_pop,beta_bias_lcat_2,omega_Cl,omega_V1,omega_Q,omega_V2,bias_sd,corr_V2_V1,a1,a2,plcat_1,plcat_2
76,746.021,1,5.32657,0.672358,20.3672,8.17049,20.9019,-18.2364,18.8508,0.226082,0.267054,0.386101,0.349906,3.99378,0.9,0.130742,0.0697979,0.0714204,0.92858
77,751.12,1,5.32687,0.683797,20.4179,8.27938,21.1022,-18.0319,18.8259,0.221451,0.258332,0.404059,0.336091,4.02749,0.9,0.127953,0.0730912,0.0714202,0.92858
78,760.376,1,5.29516,0.674803,20.9371,8.1199,21.1358,-18.5649,19.2615,0.223004,0.275139,0.393149,0.366709,4.12192,0.9,0.128269,0.0751428,0.0714093,0.928591
79,758.077,1,5.30247,0.671397,21.0448,7.57599,21.6621,-18.8757,19.6923,0.225067,0.273017,0.392948,0.379265,4.2245,0.9,0.127538,0.073761,0.0714092,0.928591
80,756.948,1,5.30225,0.646185,20.8195,7.9579,21.6936,-18.5354,19.2711,0.220861,0.267814,0.398186,0.355068,4.13154,0.9,0.126763,0.0750443,0.0713627,0.928637
81,752.761,1,5.30322,0.639454,21.0703,7.42352,21.5635,-17.9831,18.5598,0.222285,0.274412,0.403166,0.353166,3.96966,0.9,0.127683,0.0734917,0.071381,0.928619
82,756.51,1,5.29398,0.626169,21.6092,7.01153,22.0583,-17.1865,17.7079,0.221122,0.283414,0.456343,0.382318,3.82048,0.9,0.124581,0.0745471,0.0714114,0.928589
83,753.498,1,5.26359,0.635901,21.3942,7.01297,21.4866,-17.3654,17.8945,0.217406,0.274733,0.412649,0.37803,3.87934,0.9,0.127917,0.0738389,0.0713993,0.928601
84,761.071,1,5.2649,0.663068,21.314,7.13294,21.3814,-18.0949,18.6607,0.21919,0.276083,0.410792,0.418501,4.03584,0.9,0.129727,0.073861,0.071356,0.928644
85,754.953,1,5.28283,0.630963,21.61,7.07233,21.3548,-18.326,18.9085,0.218346,0.268033,0.409525,0.398791,4.09136,0.9,0.125414,0.0732884,0.0713347,0.928665
86,761.936,1,5.29872,0.620797,21.2307,7.187,21.251,-18.6155,19.4072,0.21669,0.258834,0.466493,0.425472,4.17814,0.9,0.130358,0.0715442,0.0714037,0.928596
87,763.109,1,5.2826,0.636915,21.296,7.12207,21.0056,-18.4376,19.1564,0.219555,0.263003,0.443478,0.396761,4.11443,0.9,0.128392,0.0745347,0.0713829,0.928617
88,766.171,1,5.25693,0.634837,21.2955,6.62931,20.9435,-18.4439,19.1288,0.225231,0.261948,0.449591,0.406272,4.15624,0.9,0.129379,0.0747884,0.0714011,0.928599
89,764.35,1,5.27035,0.64641,21.2346,7.09219,21.2848,-17.9203,18.6761,0.219591,0.270357,0.474925,0.402672,4.10874,0.9,0.132425,0.0719714,0.071401,0.928599
90,775.428,1,5.26788,0.677123,21.3201,7.08907,21.9753,-18.4735,19.2825,0.217432,0.271456,0.471584,0.410138,4.22257,0.9,0.132749,0.0747477,0.0713754,0.928625
91,777.248,1,5.2905,0.665569,21.4457,7.33714,22.2577,-18.8174,19.6401,0.221753,0.259487,0.454127,0.407919,4.25961,0.9,0.131912,0.0766633,0.0714062,0.928594
92,769.093,1,5.31268,0.662803,21.4475,7.26279,22.0042,-17.9495,18.6955,0.215332,0.254681,0.456852,0.412812,4.07163,0.9,0.131177,0.0744032,0.0713951,0.928605
93,773.313,1,5.34043,0.655321,21.4194,7.41516,22.3131,-17.2638,17.9869,0.215174,0.252788,0.431435,0.432123,3.97032,0.9,0.130961,0.0777988,0.0712992,0.928701
94,773.094,1,5.30294,0.635451,21.3081,7.44233,22.1725,-16.6155,17.3339,0.213627,0.260123,0.431586,0.465941,3.84656,0.9,0.133176,0.0752674,0.0708284,0.929172
95,770.582,1,5.32079,0.63651,21.4757,7.21187,23.3674,-17.7692,18.5489,0.211538,0.268244,0.45044,0.443405,4.05069,0.9,0.130556,0.0759342,0.0713025,0.928698
96,760.748,1,5.28165,0.645268,21.0976,7.36914,23.1864,-17.4803,18.218,0.218166,0.259816,0.508828,0.44271,3.97193,0.9,0.130459,0.0721375,0.0714058,0.928594
97,759.949,1,5.28775,0.628413,20.9486,7.25822,22.9266,-17.7013,18.268,0.218587,0.259535,0.499986,0.454868,3.95351,0.9,0.131471,0.069876,0.0713975,0.928603
98,762.678,1,5.28694,0.623521,21.1164,7.27827,22.9797,-17.9538,18.5156,0.219366,0.259447,0.520951,0.452167,3.97642,0.9,0.13359,0.0693622,0.0713934,0.928607
99,757.019,1,5.2688,0.66842,21.2497,7.07385,23.011,-18.1781,18.8148,0.217187,0.255905,0.547632,0.447674,4.07577,0.9,0.13082,0.0696473,0.0713402,0.92866
100,757.383,1,5.27435,0.65422,21.1617,6.89493,23.0058,-17.971,18.6903,0.212997,0.260066,0.559804,0.433363,4.08893,0.9,0.133996,0.0681877,0.0713953,0.928605
101,754.021,1,5.29291,0.651634,21.1049,7.31127,22.3456,-18.0474,18.677,0.215435,0.262943,0.56247,0.442144,4.05176,0.9,0.129451,0.0686154,0.0713932,0.928607
102,754.964,1,5.30085,0.644293,21.2907,7.42976,22.8364,-17.9096,18.5859,0.218582,0.274897,0.593189,0.436155,4.03242,0.9,0.125507,0.0696911,0.0713568,0.928643
103,755.924,1,5.31059,0.647015,21.2442,7.40901,21.8978,-18.3573,19.0111,0.220968,0.282761,0.523308,0.447455,4.08922,0.9,0.127955,0.0693396,0.0713788,0.928621
104,759.506,1,5.25796,0.660758,21.2127,7.28736,21.8592,-17.993,18.757,0.213773,0.279044,0.534378,0.439947,4.08042,0.9,0.130214,0.0705106,0.0713851,0.928615
105,767.337,1,5.26376,0.684252,21.0595,7.15334,21.9049,-18.0607,18.7428,0.214138,0.273335,0.504728,0.422588,4.08443,0.9,0.130426,0.073383,0.0713793,0.928621
106,763.196,1,5.28279,0.661014,20.5845,7.63217,21.6117,-18.2877,18.9683,0.215169,0.252018,0.499271,0.398127,4.14013,0.9,0.128552,0.0722883,0.0713798,0.92862
107,758.717,1,5.3323,0.622241,20.6426,7.69336,22.0253,-17.6001,18.3081,0.212352,0.253221,0.492497,0.381632,3.99367,0.9,0.130938,0.0722099,0.0714197,0.92858
108,758.011,1,5.30724,0.619748,20.6823,7.53298,21.6678,-16.7248,17.3431,0.21578,0.247307,0.531457,0.35551,3.83479,0.9,0.132483,0.0700854,0.0706769,0.929323
109,758.454,1,5.29925,0.618804,20.6277,7.54089,21.379,-17.5604,18.1838,0.216029,0.24908,0.519598,0.372513,3.89898,0.9,0.132836,0.0710065,0.0714113,0.928589
110,763.359,1,5.28021,0.644444,21.2186,7.23232,21.9086,-17.9001,18.5755,0.223434,0.249622,0.575947,0.379444,4.00821,0.9,0.132083,0.0710328,0.0713941,0.928606
111,758.197,1,5.29268,0.656815,21.2817,7.24728,21.8369,-18.3107,18.815,0.222586,0.254693,0.593548,0.383773,4.04495,0.9,0.131784,0.0692042,0.0712479,0.928752
112,758.37,1,5.23403,0.65346,20.9075,7.03086,21.179,-18.3765,19.0328,0.219314,0.248551,0.544707,0.360599,4.10304,0.9,0.138916,0.068705,0.0712951,0.928705
113,763.125,1,5.2478,0.634878,20.822,7.04294,21.0692,-17.7109,18.2963,0.215445,0.254394,0.548789,0.366181,3.93365,0.9,0.141432,0.0675148,0.0713015,0.928699
114,757.594,1,5.27566,0.626956,20.6968,7.20933,21.4501,-18.2579,18.9526,0.216985,0.259568,0.550548,0.350616,4.09281,0.9,0.139904,0.0663776,0.0713555,0.928644
115,753.034,1,5.29279,0.641105,21.1749,7.29975,21.902,-18.2894,18.996,0.212375,0.264976,0.534704,0.390839,4.09012,0.9,0.132909,0.0687858,0.071357,0.928643
116,752.575,1,5.29222,0.648536,20.9041,7.98486,22.0616,-18.036,18.7337,0.217762,0.261239,0.530374,0.397245,4.0768,0.9,0.128939,0.0687943,0.0713832,0.928617
117,752.917,1,5.30464,0.638311,20.7221,8.21218,21.9499,-17.6777,18.4607,0.220575,0.266535,0.507004,0.381231,3.99965,0.9,0.128439,0.0709413,0.0714077,0.928592
118,752.037,1,5.299,0.623294,20.3069,8.1741,21.131,-18.0871,18.8497,0.223829,0.268773,0.528204,0.390266,4.00584,0.9,0.128786,0.069379,0.0713982,0.928602
119,746.892,1,5.27218,0.643696,20.3271,7.83711,21.3265,-17.9219,18.5328,0.216307,0.254541,0.532416,0.376998,3.98658,0.9,0.13289,0.0670763,0.0714113,0.928589
120,749.541,1,5.30278,0.652578,20.2891,8.16332,21.7281,-18.2475,18.7876,0.212987,0.249825,0.518617,0.382761,4.02154,0.9,0.130549,0.0691233,0.071413,0.928587
121,753.654,1,5.26219,0.658085,20.4086,8.18681,21.9266,-18.2569,18.879,0.21585,0.265929,0.568437,0.38254,4.03803,0.9,0.129062,0.0686387,0.0714138,0.928586
122,753.12,1,5.31007,0.657922,20.3693,8.36743,21.5295,-18.9934,19.4789,0.213969,0.278641,0.550596,0.365187,4.12509,0.9,0.129171,0.0693443,0.0714115,0.928589
123,755.913,1,5.29878,0.650617,20.2206,8.16381,22.4115,-18.4601,18.9102,0.216037,0.290806,0.575582,0.379008,4.03879,0.9,0.128565,0.0694315,0.0714019,0.928598
124,756.743,1,5.30853,0.670759,20.0768,8.62272,21.522,-18.1629,18.7619,0.22153,0.28458,0.579149,0.377366,4.02835,0.9,0.125888,0.0705134,0.0713957,0.928604
125,759.438,1,5.27783,0.662468,19.9119,8.34316,21.2607,-18.7189,19.3862,0.227426,0.282601,0.568614,0.358188,4.15591,0.9,0.12982,0.0694817,0.0714118,0.928588
126,751.806,1,5.29256,0.655169,19.7922,8.42958,21.4036,-19.1931,19.8524,0.222286,0.270169,0.584043,0.33981,4.19666,0.9,0.130569,0.0689207,0.0714152,0.928585
127,752.713,1,5.30975,0.643819,20.0379,8.81498,21.4289,-18.295,18.9894,0.223702,0.264152,0.594194,0.3092,4.05373,0.9,0.126017,0.0715989,0.071401,0.928599
128,754.235,1,5.32534,0.674887,19.9206,8.87939,21.6448,-18.4716,19.1054,0.222995,0.255289,0.606936,0.310123,4.0862,0.9,0.123644,0.0731253,0.0713356,0.928664
129,754.811,1,5.29783,0.653631,19.5341,9.04925,21.8892,-19.2302,19.8964,0.223743,0.247111,0.579704,0.306032,4.22448,0.9,0.129284,0.0715705,0.0714028,0.928597
130,759.601,1,5.28797,0.655121,19.3045,9.13563,21.3381,-19.185,19.8765,0.226655,0.254461,0.609573,0.295786,4.25931,0.9,0.132073,0.0717881,0.0712804,0.92872
131,760.2,1,5.26941,0.647432,20.0607,8.55207,21.647,-18.9922,19.6619,0.222121,0.260304,0.630365,0.313394,4.23497,0.9,0.130897,0.0719035,0.0712314,0.928769
132,757.061,1,5.26682,0.635349,20.5467,7.7695,22.4825,-19.3567,19.9649,0.223266,0.259788,0.608137,0.3462,4.26534,0.9,0.130766,0.0688428,0.0713605,0.92864
133,764.602,1,5.28534,0.649595,20.6,7.90274,22.5225,-18.8535,19.4331,0.223582,0.267147,0.625971,0.343637,4.21267,0.9,0.132316,0.0701412,0.0713546,0.928645
134,763.38,1,5.29989,0.621111,20.425,7.9835,22.7451,-18.5042,18.9927,0.216351,0.263476,0.593811,0.346875,4.05262,0.9,0.131615,0.0723719,0.071403,0.928597
135,759.039,1,5.27896,0.658951,20.7032,7.57513,23.4226,-18.6719,19.3354,0.22425,0.251218,0.607858,0.362502,4.16791,0.9,0.12532,0.0729029,0.0714021,0.928598
136,766.997,1,5.28166,0.635154,20.8632,7.44588,23.2533,-18.4726,19.0528,0.229995,0.243043,0.631619,0.361148,4.14318,0.9,0.126165,0.0739366,0.0714018,0.928598
137,764.816,1,5.29254,0.663364,21.2077,7.26458,23.159,-18.3206,19.0374,0.229765,0.242736,0.623004,0.352692,4.1227,0.9,0.125016,0.0739957,0.0714102,0.92859
