Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q2_abscissa,Q2_cdf,V2_abscissa,V2_cdf,Q3_abscissa,Q3_cdf,V3_abscissa,V3_cdf,split
10.6487,0.464286,55.3484,0.464286,12.7784,0.464286,50.7732,0.471429,0.298158,0.464286,0.526446,0.464286,All
10.6716,0.471429,55.3484,0.471429,12.7784,0.471429,56.6468,0.478571,0.298158,0.471429,0.526446,0.471429,All
10.884,0.478571,55.3484,0.478571,12.7784,0.478571,58.6538,0.485714,0.298158,0.478571,0.526446,0.478571,All
10.901,0.485714,55.3484,0.485714,12.7784,0.485714,59.4083,0.492857,0.298158,0.485714,0.526446,0.485714,All
11.0669,0.492857,55.3484,0.492857,12.7784,0.492857,59.6523,0.5,0.298158,0.492857,0.526446,0.492857,All
11.1171,0.5,55.3484,0.5,12.7784,0.5,61.5464,0.507143,0.298158,0.5,0.526446,0.5,All
11.1845,0.507143,55.3484,0.507143,12.7784,0.507143,61.7194,0.514286,0.298158,0.507143,0.526446,0.507143,All
11.1919,0.514286,55.3484,0.514286,12.7784,0.514286,61.8643,0.521429,0.298158,0.514286,0.526446,0.514286,All
11.2129,0.521429,55.3484,0.521429,12.7784,0.521429,62.2282,0.528571,0.298158,0.521429,0.526446,0.521429,All
11.3507,0.528571,55.3484,0.528571,12.7784,0.528571,62.8168,0.535714,0.298158,0.528571,0.526446,0.528571,All
11.3752,0.535714,55.3484,0.535714,12.7784,0.535714,65.5165,0.542857,0.298158,0.535714,0.526446,0.535714,All
11.3899,0.542857,55.3484,0.542857,12.7784,0.542857,65.7724,0.55,0.298158,0.542857,0.526446,0.542857,All
11.4505,0.55,55.3484,0.55,12.7784,0.55,67.3564,0.557143,0.298158,0.55,0.526446,0.55,All
11.6184,0.557143,55.3484,0.557143,12.7784,0.557143,67.8345,0.564286,0.298158,0.557143,0.526446,0.557143,All
11.6832,0.564286,55.3484,0.564286,12.7784,0.564286,70.5636,0.571429,0.298158,0.564286,0.526446,0.564286,All
11.7578,0.571429,55.3484,0.571429,12.7784,0.571429,71.3663,0.578571,0.298158,0.571429,0.526446,0.571429,All
11.7695,0.578571,55.3484,0.578571,12.7784,0.578571,71.6195,0.585714,0.298158,0.578571,0.526446,0.578571,All
11.8837,0.585714,55.3484,0.585714,12.7784,0.585714,73.2753,0.592857,0.298158,0.585714,0.526446,0.585714,All
11.9236,0.592857,55.3484,0.592857,12.7784,0.592857,74.0428,0.6,0.298158,0.592857,0.526446,0.592857,All
11.9552,0.6,55.3484,0.6,12.7784,0.6,79.0983,0.607143,0.298158,0.6,0.526446,0.6,All
11.9735,0.607143,55.3484,0.607143,12.7784,0.607143,79.1157,0.614286,0.298158,0.607143,0.526446,0.607143,All
11.9929,0.614286,55.3484,0.614286,12.7784,0.614286,80.1778,0.621429,0.298158,0.614286,0.526446,0.614286,All
12.0324,0.621429,55.3484,0.621429,12.7784,0.621429,80.1958,0.628571,0.298158,0.621429,0.526446,0.621429,All
12.0454,0.628571,55.3484,0.628571,12.7784,0.628571,80.8913,0.635714,0.298158,0.628571,0.526446,0.628571,All
12.1601,0.635714,55.3484,0.635714,12.7784,0.635714,81.9396,0.642857,0.298158,0.635714,0.526446,0.635714,All
12.1753,0.642857,55.3484,0.642857,12.7784,0.642857,81.9785,0.65,0.298158,0.642857,0.526446,0.642857,All
12.2472,0.65,55.3484,0.65,12.7784,0.65,85.678,0.657143,0.298158,0.65,0.526446,0.65,All
