iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,b
100,281.819,1,2.60565,0.625748,24.4079,5.67954,363.281,0.332829,0.234091,0.266751,0.0334467,0.0266042
101,293.283,1,2.64325,0.692937,25.2267,5.63823,363.707,0.324402,0.239869,0.275371,0.0240039,0.0281464
102,287.667,1,2.65286,0.688437,24.8765,5.42519,359.338,0.316188,0.243381,0.268398,0.0610859,0.0276356
103,284.668,1,2.6673,0.653539,24.6442,5.50612,358.075,0.320899,0.237219,0.261602,0.0906496,0.0274091
104,293.932,1,2.69776,0.599795,24.7656,5.45752,356.012,0.319733,0.23388,0.254978,0.124408,0.028818
105,292.793,1,2.74293,0.568565,24.9924,5.60027,353.37,0.311638,0.231643,0.26228,0.0786306,0.0286304
106,283.514,1,2.71516,0.540641,24.7794,5.54631,354.75,0.311106,0.232143,0.255639,0.0425331,0.0272638
107,291.336,1,2.68869,0.670925,24.7838,5.57865,352.671,0.318906,0.23617,0.269665,0.111165,0.0279919
108,285.414,1,2.6819,0.642087,24.5443,5.49846,352.671,0.324121,0.23482,0.262837,0.177143,0.0272316
109,285.583,1,2.69376,0.641697,24.6019,5.66051,348.952,0.333373,0.243002,0.256182,0.132262,0.0272488
110,276.116,1,2.71945,0.556708,24.9418,5.6036,350.247,0.328305,0.24554,0.249695,0.0971669,0.0260794
111,277.634,1,2.72014,0.57287,24.9073,5.59644,349.152,0.335603,0.239323,0.243373,0.1342,0.0267418
112,286.438,1,2.69949,0.660479,24.9279,5.62048,348.402,0.341435,0.243675,0.248955,0.148007,0.0272635
113,280.883,1,2.71678,0.639944,24.9457,5.51031,347.177,0.336602,0.241106,0.242651,0.0978411,0.0266595
114,282.619,1,2.70079,0.690606,24.8278,5.58889,348.262,0.330244,0.235001,0.249911,0.0922453,0.0269709
115,281.964,1,2.69214,0.722854,24.6805,5.55473,348.636,0.339296,0.244994,0.248516,0.171886,0.0266636
116,282.695,1,2.66755,0.697579,24.3067,5.60053,351.224,0.338342,0.245687,0.247708,0.219282,0.0267981
117,280.643,1,2.67732,0.742112,24.5881,5.46883,351.155,0.33077,0.245651,0.241436,0.198438,0.02675
118,288.198,1,2.65194,0.792127,24.6592,5.4358,353.659,0.341814,0.249351,0.262063,0.214265,0.0272274
119,286.116,1,2.673,0.677925,24.7372,5.57672,352.553,0.333159,0.248077,0.255428,0.126326,0.0273274
120,289.895,1,2.69455,0.620359,24.9008,5.52834,352.967,0.329227,0.251627,0.24896,0.166162,0.0278179
121,285.831,1,2.64679,0.69627,24.6088,5.74832,353.794,0.339499,0.254793,0.256145,0.160178,0.0269278
122,285.421,1,2.65383,0.660837,24.3936,5.63792,352.274,0.33344,0.248342,0.258855,0.119006,0.0269527
123,279.924,1,2.68073,0.653925,24.7882,5.49659,353.994,0.325064,0.242053,0.252301,0.116581,0.0269883
124,284.977,1,2.6913,0.69828,24.7294,5.61753,350.329,0.326098,0.235924,0.246341,0.129992,0.0274497
125,294.284,1,2.68412,0.72173,24.6566,5.6729,348.14,0.325379,0.229951,0.270107,0.103474,0.0285738
126,285.213,1,2.70261,0.642975,24.8416,5.64419,346.848,0.335054,0.224128,0.263268,0.100366,0.0276528
127,284.804,1,2.716,0.692287,24.8901,5.56987,346.306,0.338936,0.229038,0.256602,0.223319,0.0276967
128,287.216,1,2.70072,0.735633,24.7656,5.69177,343.803,0.345066,0.223239,0.250105,0.146628,0.0282549
129,287.813,1,2.72064,0.734491,24.84,5.65679,340.211,0.339206,0.223976,0.243772,0.0642865,0.0281472
130,287.42,1,2.72366,0.645472,24.6271,5.54286,341.407,0.333174,0.219797,0.238202,0.0158469,0.0280124
131,284.492,1,2.72279,0.662319,24.6472,5.54731,339.34,0.33835,0.221172,0.233088,0.109726,0.0276203
132,284.651,1,2.7013,0.718804,24.7782,5.65372,341.262,0.352004,0.221491,0.241929,0.110247,0.027351
