iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a1,a2
98,861.705,1,5.29685,25.6119,5.5923,24.4132,0.198268,0.294326,0.554606,0.445051,0.221189,0.0836452
99,858.207,1,5.32829,25.5993,6.24219,23.7406,0.207631,0.286873,0.603503,0.433782,0.226135,0.0815273
100,853.476,1,5.31769,25.3701,5.87447,23.8388,0.209278,0.297757,0.588222,0.422798,0.222747,0.079463
101,862.022,1,5.28786,24.8167,6.39288,23.1855,0.204745,0.290218,0.62404,0.412093,0.225731,0.0774509
102,846.902,1,5.32555,24.9703,6.44896,22.109,0.201306,0.282869,0.639419,0.401658,0.220015,0.0754898
103,838.611,1,5.31359,24.3708,6.8594,22.6609,0.200476,0.275707,0.623228,0.391488,0.22129,0.0735784
104,847.907,1,5.32808,24.329,6.87264,24.2261,0.205352,0.273786,0.638091,0.381575,0.224718,0.0726528
105,835.75,1,5.32678,24.5234,6.92598,24.4042,0.20603,0.266853,0.658481,0.371914,0.221685,0.0708132
106,834.994,1,5.32809,24.2054,6.81973,25.1563,0.200813,0.282015,0.641808,0.362497,0.227618,0.0690201
107,831.623,1,5.31926,24.3404,6.46724,24.4239,0.203331,0.282934,0.625557,0.353318,0.228955,0.0672725
108,828.59,1,5.31745,24.9429,6.11192,24.3336,0.202525,0.28293,0.609717,0.344372,0.228118,0.0657289
109,829.385,1,5.31787,25.1504,6.05003,22.6149,0.209743,0.275766,0.628882,0.335652,0.229597,0.065488
110,828.182,1,5.31034,25.1492,5.773,24.2002,0.206061,0.27259,0.6156,0.327153,0.229263,0.0661526
111,826.076,1,5.29393,24.5856,5.87241,23.5233,0.206958,0.273274,0.600013,0.318869,0.231633,0.0654725
112,832.477,1,5.32583,24.8831,5.97878,24.7458,0.211935,0.270134,0.619946,0.310795,0.233159,0.0671211
113,825.659,1,5.32365,25.0428,6.20423,24.9197,0.214346,0.263295,0.71455,0.302926,0.232091,0.0654216
114,823.142,1,5.29791,24.6359,6.15049,26.247,0.222109,0.256628,0.772326,0.295256,0.231247,0.0637651
115,823.246,1,5.32489,24.2898,6.58366,26.5041,0.219346,0.25013,0.758138,0.295422,0.230993,0.0630584
116,827.198,1,5.32413,24.5475,6.36715,26.1561,0.213792,0.243796,0.743564,0.290932,0.232639,0.0643071
117,831.616,1,5.34664,24.6515,6.61274,25.988,0.21784,0.245003,0.770984,0.283565,0.234594,0.0650009
