fi_abscissa,fi_cdf,Cl_abscissa,Cl_cdf,V1_abscissa,V1_cdf,Q2_abscissa,Q2_cdf,V2_abscissa,V2_cdf,Q3_abscissa,Q3_cdf,V3_abscissa,V3_cdf,split
0.939662,0.571429,11.0826,0.571429,44.6691,0.571429,15.7118,0.571429,46.452,0.578571,3.65167,0.571429,1.74978,0.571429,All
0.939761,0.578571,11.0943,0.578571,44.7555,0.578571,15.7118,0.578571,46.7739,0.585714,3.65167,0.578571,1.74978,0.578571,All
0.944085,0.585714,11.1264,0.585714,44.7929,0.585714,15.7118,0.585714,47.0267,0.592857,3.65167,0.585714,1.74978,0.585714,All
0.944597,0.592857,11.1384,0.592857,45.0301,0.592857,15.7118,0.592857,48.6331,0.6,3.65167,0.592857,1.74978,0.592857,All
0.944632,0.6,11.1801,0.6,45.0382,0.6,15.7118,0.6,49.015,0.607143,3.65167,0.6,1.74978,0.6,All
0.945454,0.607143,11.185,0.607143,45.068,0.607143,15.7118,0.607143,49.5552,0.614286,3.65167,0.607143,1.74978,0.607143,All
0.947762,0.614286,11.5111,0.614286,45.2331,0.614286,15.7118,0.614286,49.748,0.621429,3.65167,0.614286,1.74978,0.614286,All
0.948685,0.621429,11.5743,0.621429,45.3055,0.621429,15.7118,0.621429,50.3493,0.628571,3.65167,0.621429,1.74978,0.621429,All
0.949434,0.628571,11.6201,0.628571,45.5679,0.628571,15.7118,0.628571,52.2809,0.635714,3.65167,0.628571,1.74978,0.628571,All
0.953138,0.635714,11.6298,0.635714,45.7181,0.635714,15.7118,0.635714,52.3541,0.642857,3.65167,0.635714,1.74978,0.635714,All
0.958988,0.642857,11.7064,0.642857,45.8182,0.642857,15.7118,0.642857,52.5468,0.65,3.65167,0.642857,1.74978,0.642857,All
0.962733,0.65,11.7341,0.65,46.2145,0.65,15.7118,0.65,54.3799,0.657143,3.65167,0.65,1.74978,0.65,All
0.975994,0.657143,11.7619,0.657143,46.3008,0.657143,15.7118,0.657143,54.7847,0.664286,3.65167,0.657143,1.74978,0.657143,All
0.980265,0.664286,11.8099,0.664286,46.6442,0.664286,15.7118,0.664286,54.939,0.671429,3.65167,0.664286,1.74978,0.664286,All
0.982245,0.671429,11.8814,0.671429,46.785,0.671429,15.7118,0.671429,56.396,0.678571,3.65167,0.671429,1.74978,0.671429,All
0.98681,0.678571,11.9833,0.678571,46.8835,0.678571,15.7118,0.678571,56.9851,0.685714,3.65167,0.678571,1.74978,0.678571,All
0.987929,0.685714,11.9926,0.685714,47.7085,0.685714,15.7118,0.685714,57.146,0.692857,3.65167,0.685714,1.74978,0.685714,All
0.995773,0.692857,12.0019,0.692857,47.7789,0.692857,15.7118,0.692857,57.2815,0.7,3.65167,0.692857,1.74978,0.692857,All
1.01096,0.7,12.0281,0.7,47.8701,0.7,15.7118,0.7,57.5235,0.707143,3.65167,0.7,1.74978,0.7,All
1.01547,0.707143,12.0428,0.707143,48.1833,0.707143,15.7118,0.707143,58.4708,0.714286,3.65167,0.707143,1.74978,0.707143,All
1.01611,0.714286,12.0955,0.714286,48.3681,0.714286,15.7118,0.714286,58.8116,0.721429,3.65167,0.714286,1.74978,0.714286,All
1.02262,0.721429,12.1332,0.721429,48.8141,0.721429,15.7118,0.721429,59.5483,0.728571,3.65167,0.721429,1.74978,0.721429,All
1.0264,0.728571,12.1642,0.728571,48.8603,0.728571,15.7118,0.728571,61.198,0.735714,3.65167,0.728571,1.74978,0.728571,All
1.02794,0.735714,12.2087,0.735714,49.036,0.735714,15.7118,0.735714,61.3226,0.742857,3.65167,0.735714,1.74978,0.735714,All
1.04869,0.742857,12.2317,0.742857,49.291,0.742857,15.7118,0.742857,61.3416,0.75,3.65167,0.742857,1.74978,0.742857,All
1.06343,0.75,12.2732,0.75,49.7573,0.75,15.7118,0.75,62.9503,0.757143,3.65167,0.75,1.74978,0.75,All
1.06859,0.757143,12.2997,0.757143,49.8131,0.757143,15.7118,0.757143,65.6518,0.764286,3.65167,0.757143,1.74978,0.757143,All
1.06999,0.764286,12.3728,0.764286,49.9047,0.764286,15.7118,0.764286,66.3653,0.771429,3.65167,0.764286,1.74978,0.764286,All
1.07907,0.771429,12.3978,0.771429,49.9836,0.771429,15.7118,0.771429,66.9024,0.778571,3.65167,0.771429,1.74978,0.771429,All
1.08053,0.778571,12.4018,0.778571,50.736,0.778571,15.7118,0.778571,69.7813,0.785714,3.65167,0.778571,1.74978,0.778571,All
1.08311,0.785714,12.4059,0.785714,50.8193,0.785714,15.7118,0.785714,70.9685,0.792857,3.65167,0.785714,1.74978,0.785714,All
1.08394,0.792857,12.4766,0.792857,50.8577,0.792857,15.7118,0.792857,71.3913,0.8,3.65167,0.792857,1.74978,0.792857,All
1.08506,0.8,12.5358,0.8,50.9837,0.8,15.7118,0.8,75.6767,0.807143,3.65167,0.8,1.74978,0.8,All
1.08816,0.807143,12.6114,0.807143,51.5413,0.807143,15.7118,0.807143,75.9695,0.814286,3.65167,0.807143,1.74978,0.807143,All
1.09035,0.814286,12.6295,0.814286,51.6115,0.814286,15.7118,0.814286,76.0414,0.821429,3.65167,0.814286,1.74978,0.814286,All
