fi_abscissa,fi_pdf,fi_cdf,Cl_abscissa,Cl_pdf,Cl_cdf,V1_abscissa,V1_pdf,V1_cdf,Q2_abscissa,Q2_pdf,Q2_cdf,V2_abscissa,V2_pdf,V2_cdf,Q3_abscissa,Q3_pdf,Q3_cdf,V3_abscissa,V3_pdf,V3_cdf,split
0.692555,1.15979,0.0949458,7.81975,0.120489,0.169246,33.2946,0.026237,0.121851,15.7079,2.22045e-16,2.22045e-16,58.4001,0.00671097,0.703136,3.65077,2.22045e-16,2.22045e-16,1.74929,2.22045e-16,2.22045e-16,All
0.711448,1.32429,0.118416,8.06418,0.129564,0.199832,34.2541,0.029204,0.148462,15.708,2.22045e-16,2.22045e-16,61.7496,0.00612441,0.724615,3.6508,2.22045e-16,2.22045e-16,1.7493,2.22045e-16,2.22045e-16,All
0.73034,1.48335,0.14495,8.3086,0.137277,0.232473,35.2135,0.0319458,0.177819,15.7081,2.22045e-16,2.22045e-16,65.0992,0.00559557,0.744228,3.65083,2.22045e-16,2.22045e-16,1.74932,2.22045e-16,2.22045e-16,All
0.749233,1.63215,0.1744,8.55303,0.143489,0.266817,36.173,0.0343873,0.209667,15.7082,2.22045e-16,2.22045e-16,68.4487,0.00511862,0.762158,3.65085,2.22045e-16,2.22045e-16,1.74933,2.22045e-16,2.22045e-16,All
0.768125,1.76634,0.206529,8.79745,0.148122,0.302489,37.1324,0.0364683,0.243689,15.7083,2.22045e-16,2.22045e-16,71.7982,0.00468821,0.77857,3.65088,2.22045e-16,2.22045e-16,1.74935,2.22045e-16,2.22045e-16,All
0.787018,1.8823,0.241026,9.04188,0.151158,0.339097,38.0919,0.0381451,0.279517,15.7085,2.22045e-16,2.22045e-16,75.1477,0.00429947,0.793611,3.65091,2.22045e-16,2.22045e-16,1.74936,2.22045e-16,2.22045e-16,All
0.805911,1.97724,0.277519,9.28631,0.15263,0.376255,39.0513,0.039391,0.316748,15.7086,2.22045e-16,2.22045e-16,78.4973,0.00394801,0.807414,3.65094,2.22045e-16,2.22045e-16,1.74938,2.22045e-16,2.22045e-16,All
0.824803,2.04927,0.315592,9.53073,0.152616,0.413589,40.0108,0.0401959,0.354963,15.7087,2.22045e-16,2.22045e-16,81.8468,0.00362991,0.820096,3.65096,2.22045e-16,2.22045e-16,1.74939,2.22045e-16,2.22045e-16,All
0.843696,2.09746,0.354801,9.77516,0.151226,0.45075,40.9702,0.040565,0.39374,15.7088,2.22045e-16,2.22045e-16,85.1963,0.00334166,0.831764,3.65099,2.22045e-16,2.22045e-16,1.74941,2.22045e-16,2.22045e-16,All
0.862588,2.12176,0.394694,10.0196,0.148597,0.487415,41.9297,0.0405168,0.43267,15.7089,2.22045e-16,2.22045e-16,88.5458,0.00308013,0.842512,3.65102,2.22045e-16,2.22045e-16,1.74942,2.22045e-16,2.22045e-16,All
0.881481,2.12291,0.434826,10.264,0.144883,0.523303,42.8891,0.0400805,0.471364,15.7091,2.22045e-16,2.22045e-16,91.8954,0.00284255,0.852425,3.65105,2.22045e-16,2.22045e-16,1.74944,2.22045e-16,2.22045e-16,All
0.900374,2.10233,0.474772,10.5084,0.140245,0.558167,43.8486,0.0392938,0.509468,15.7092,2.22045e-16,2.22045e-16,95.2449,0.00262644,0.861579,3.65108,2.22045e-16,2.22045e-16,1.74945,2.22045e-16,2.22045e-16,All
0.919266,2.06195,0.514138,10.7529,0.134848,0.5918,44.808,0.0381998,0.546667,15.7093,2.22045e-16,2.22045e-16,98.5944,0.00242961,0.870041,3.6511,2.22045e-16,2.22045e-16,1.74947,2.22045e-16,2.22045e-16,All
0.938159,2.00412,0.552573,10.9973,0.128852,0.624039,45.7675,0.0368451,0.582687,15.7094,2.22045e-16,2.22045e-16,101.944,0.0022501,0.877874,3.65113,2.22045e-16,2.22045e-16,1.74948,2.22045e-16,2.22045e-16,All
0.957051,1.9314,0.58977,11.2417,0.122409,0.654754,46.727,0.0352776,0.617301,15.7096,2.22045e-16,2.22045e-16,105.293,0.00208619,0.885132,3.65116,2.22045e-16,2.22045e-16,1.7495,2.22045e-16,2.22045e-16,All
0.975944,1.84649,0.625474,11.4861,0.11566,0.683854,47.6864,0.0335443,0.650328,15.7097,2.22045e-16,2.22045e-16,108.643,0.00193634,0.891865,3.65119,2.22045e-16,2.22045e-16,1.74951,2.22045e-16,2.22045e-16,All
0.994836,1.75207,0.65948,11.7306,0.108732,0.71128,48.6459,0.0316902,0.681631,15.7098,2.22045e-16,2.22045e-16,111.993,0.00179915,0.898118,3.65121,2.22045e-16,2.22045e-16,1.74953,2.22045e-16,2.22045e-16,All
1.01373,1.65074,0.691633,11.975,0.101737,0.737002,49.6053,0.0297571,0.711113,15.7099,2.22045e-16,2.22045e-16,115.342,0.00167342,0.903931,3.65124,2.22045e-16,2.22045e-16,1.74954,2.22045e-16,2.22045e-16,All
1.03262,1.54491,0.721826,12.2194,0.0947745,0.761017,50.5648,0.0277829,0.738718,15.71,2.22045e-16,2.22045e-16,118.692,0.00155804,0.90934,3.65127,2.22045e-16,2.22045e-16,1.74956,2.22045e-16,2.22045e-16,All
1.05151,1.4368,0.749994,12.4638,0.0879251,0.783342,51.5242,0.0258008,0.764423,15.7102,2.22045e-16,2.22045e-16,122.041,0.00145204,0.914378,3.6513,2.22045e-16,2.22045e-16,1.74958,2.22045e-16,2.22045e-16,All
1.07041,1.32833,0.776113,12.7083,0.0812569,0.804014,52.4837,0.0238394,0.788234,15.7103,2.22045e-16,2.22045e-16,125.391,0.00135454,0.919076,3.65133,2.22045e-16,2.22045e-16,1.74959,2.22045e-16,2.22045e-16,All
1.0893,1.22119,0.800193,12.9527,0.0748241,0.823084,53.4431,0.0219228,0.810183,15.7104,2.22045e-16,2.22045e-16,128.74,0.00126477,0.923461,3.65135,2.22045e-16,2.22045e-16,1.74961,2.22045e-16,2.22045e-16,All
1.10819,1.11675,0.822273,13.1971,0.0686682,0.840615,54.4026,0.0200704,0.830323,15.7105,2.22045e-16,2.22045e-16,132.09,0.00118201,0.927557,3.65138,2.22045e-16,2.22045e-16,1.74962,2.22045e-16,2.22045e-16,All
1.12708,1.01616,0.842414,13.4415,0.0628198,0.856678,55.362,0.0182972,0.848722,15.7106,2.22045e-16,2.22045e-16,135.439,0.00110564,0.931387,3.65141,2.22045e-16,2.22045e-16,1.74964,2.22045e-16,2.22045e-16,All
1.14598,0.920259,0.860698,13.686,0.0572992,0.871351,56.3215,0.0166147,0.865462,15.7108,2.22045e-16,2.22045e-16,138.789,0.00103509,0.93497,3.65144,2.22045e-16,2.22045e-16,1.74965,2.22045e-16,2.22045e-16,All
1.16487,0.829691,0.87722,13.9304,0.0521188,0.884716,57.2809,0.0150305,0.880635,15.7109,2.22045e-16,2.22045e-16,142.138,0.000969853,0.938327,3.65147,2.22045e-16,2.22045e-16,1.74967,2.22045e-16,2.22045e-16,All
1.18376,0.744878,0.892084,14.1748,0.0472832,0.896857,58.2404,0.0135495,0.894337,15.711,2.22045e-16,2.22045e-16,145.488,0.000909464,0.941473,3.65149,2.22045e-16,2.22045e-16,1.74968,2.22045e-16,2.22045e-16,All
1.20265,0.666062,0.905403,14.4193,0.0427915,0.907859,59.1998,0.0121738,0.906669,15.7111,2.22045e-16,2.22045e-16,148.837,0.00085351,0.944424,3.65152,2.22045e-16,2.22045e-16,1.7497,2.22045e-16,2.22045e-16,All
1.22155,0.593332,0.91729,14.6637,0.0386377,0.917804,60.1593,0.0109035,0.917731,15.7112,2.22045e-16,2.22045e-16,152.187,0.000801616,0.947195,3.65155,2.22045e-16,2.22045e-16,1.74971,2.22045e-16,2.22045e-16,All
1.24044,0.526649,0.92786,14.9081,0.0348121,0.926774,61.1187,0.00973679,0.927625,15.7114,2.22045e-16,2.22045e-16,155.536,0.000753443,0.949798,3.65158,2.22045e-16,2.22045e-16,1.74973,2.22045e-16,2.22045e-16,All
1.25933,0.465872,0.937227,15.1525,0.0313019,0.934847,62.0782,0.00867061,0.936448,15.7115,2.22045e-16,2.22045e-16,158.886,0.000708683,0.952246,3.6516,2.22045e-16,2.22045e-16,1.74974,2.22045e-16,2.22045e-16,All
1.27823,0.410783,0.945499,15.397,0.0280922,0.9421,63.0376,0.00770078,0.944294,15.7116,2.22045e-16,2.22045e-16,162.235,0.000667058,0.954549,3.65163,2.22045e-16,2.22045e-16,1.74976,2.22045e-16,2.22045e-16,All
1.29712,0.361103,0.952782,15.6414,0.0251668,0.948603,63.9971,0.00682236,0.951254,15.7117,2.22045e-16,2.22045e-16,165.585,0.000628315,0.956718,3.65166,2.22045e-16,2.22045e-16,1.74977,2.22045e-16,2.22045e-16,All
1.31601,0.316514,0.959176,15.8858,0.0225083,0.954425,64.9565,0.00602988,0.957413,15.7118,2.22045e-16,1,168.934,0.000592224,0.958761,3.65169,2.22045e-16,1,1.74979,2.22045e-16,1,All
1.3349,0.276669,0.964772,16.1302,0.020099,0.959627,65.916,0.00531757,0.96285,15.712,2.22045e-16,1,172.284,0.000558576,0.960688,3.65172,2.22045e-16,1,1.7498,2.22045e-16,1,All
1.3538,0.241211,0.969657,16.3747,0.0179212,0.964269,66.8754,0.00467953,0.96764,15.7121,2.22045e-16,1,175.633,0.000527179,0.962506,3.65174,2.22045e-16,1,1.74982,2.22045e-16,1,All
1.37269,0.209778,0.973911,16.6191,0.0159572,0.968405,67.8349,0.00410984,0.971852,15.7122,2.22045e-16,1,178.983,0.000497862,0.964222,3.65177,2.22045e-16,1,1.74983,2.22045e-16,1,All
1.39158,0.182014,0.977607,16.8635,0.0141901,0.972086,68.7943,0.00360271,0.975547,15.7123,2.22045e-16,1,182.333,0.000470465,0.965843,3.6518,2.22045e-16,1,1.74985,2.22045e-16,1,All
1.41047,0.157574,0.98081,17.1079,0.0126032,0.975357,69.7538,0.00315254,0.978783,15.7124,2.22045e-16,1,185.682,0.000444842,0.967376,3.65183,2.22045e-16,1,1.74986,2.22045e-16,1,All
1.42937,0.136128,0.98358,17.3524,0.011181,0.97826,70.7132,0.00275397,0.981613,15.7126,2.22045e-16,1,189.032,0.000420862,0.968825,3.65186,2.22045e-16,1,1.74988,2.22045e-16,1,All
1.44826,0.117366,0.98597,17.5968,0.00990868,0.980835,71.6727,0.00240198,0.984083,15.7127,2.22045e-16,1,192.381,0.000398404,0.970197,3.65188,2.22045e-16,1,1.74989,2.22045e-16,1,All
1.46715,0.100997,0.988029,17.8412,0.0087723,0.983115,72.6321,0.00209182,0.986235,15.7128,2.22045e-16,1,195.731,0.000377356,0.971496,3.65191,2.22045e-16,1,1.74991,2.22045e-16,1,All
1.48604,0.0867553,0.9898,18.0856,0.00775894,0.985133,73.5916,0.00181912,0.988109,15.7129,2.22045e-16,1,199.08,0.000357615,0.972726,3.65194,2.22045e-16,1,1.74992,2.22045e-16,1,All
1.50494,0.0743942,0.991319,18.3301,0.00685659,0.986917,74.551,0.00157986,0.989737,15.7131,2.22045e-16,1,202.43,0.00033909,0.973893,3.65197,2.22045e-16,1,1.74994,2.22045e-16,1,All
1.52383,0.0636909,0.992621,18.5745,0.00605419,0.988493,75.5105,0.00137032,0.99115,15.7132,2.22045e-16,1,205.779,0.000321692,0.974999,3.65199,2.22045e-16,1,1.74995,2.22045e-16,1,All
1.54272,0.0544437,0.993735,18.8189,0.00534157,0.989884,76.47,0.00118715,0.992375,15.7133,2.22045e-16,1,209.129,0.000305344,0.976049,3.65202,2.22045e-16,1,1.74997,2.22045e-16,1,All
1.56161,0.0464712,0.994686,19.0633,0.00470943,0.991111,77.4294,0.00102731,0.993435,15.7134,2.22045e-16,1,212.478,0.000289973,0.977046,3.65205,2.22045e-16,1,1.74999,2.22045e-16,1,All
1.58051,0.0396112,0.995498,19.3078,0.0041493,0.992192,78.3889,0.000888034,0.994353,15.7135,2.22045e-16,1,215.828,0.00027551,0.977992,3.65208,2.22045e-16,1,1.75,2.22045e-16,1,All
1.5994,0.0337196,0.996189,19.5522,0.00365351,0.993145,79.3483,0.00076687,0.995145,15.7137,2.22045e-16,1,219.177,0.000261895,0.978892,3.65211,2.22045e-16,1,1.75002,2.22045e-16,1,All
1.61829,0.0286686,0.996777,19.7966,0.00321507,0.993983,80.3078,0.00066161,0.995829,15.7138,2.22045e-16,1,222.527,0.00024907,0.979748,3.65213,2.22045e-16,1,1.75003,2.22045e-16,1,All
1.63718,0.0243455,0.997277,20.0411,0.00282771,0.99472,81.2672,0.000570287,0.996419,15.7139,2.22045e-16,1,225.876,0.000236983,0.980562,3.65216,2.22045e-16,1,1.75005,2.22045e-16,1,All
1.65608,0.0206512,0.997701,20.2855,0.00248577,0.995369,82.2267,0.000491156,0.996927,15.714,2.22045e-16,1,229.226,0.000225584,0.981336,3.65219,2.22045e-16,1,1.75006,2.22045e-16,1,All
1.67497,0.017499,0.998061,20.5299,0.00218415,0.995939,83.1861,0.000422669,0.997365,15.7141,2.22045e-16,1,232.575,0.000214829,0.982074,3.65222,2.22045e-16,1,1.75008,2.22045e-16,1,All
1.69386,0.0148131,0.998365,20.7743,0.0019183,0.99644,84.1456,0.000363461,0.997741,15.7143,2.22045e-16,1,235.925,0.000204675,0.982776,3.65224,2.22045e-16,1,1.75009,2.22045e-16,1,All
1.71275,0.0125275,0.998623,21.0188,0.00168413,0.996879,85.105,0.000312327,0.998065,15.7144,2.22045e-16,1,239.274,0.000195084,0.983445,3.65227,2.22045e-16,1,1.75011,2.22045e-16,1,All
1.73165,0.0105851,0.998841,21.2632,0.001478,0.997265,86.0645,0.00026821,0.998343,15.7145,2.22045e-16,1,242.624,0.00018602,0.984083,3.6523,2.22045e-16,1,1.75012,2.22045e-16,1,All
1.75054,0.00893632,0.999025,21.5076,0.00129666,0.997604,87.0239,0.000230183,0.998582,15.7146,2.22045e-16,1,245.973,0.00017745,0.984692,3.65233,2.22045e-16,1,1.75014,2.22045e-16,1,All
1.76943,0.0075383,0.99918,21.752,0.00113721,0.997901,87.9834,0.000197432,0.998786,15.7147,2.22045e-16,1,249.323,0.000169343,0.985273,3.65236,2.22045e-16,1,1.75015,2.22045e-16,1,All
1.78832,0.00635419,0.999311,21.9965,0.000997092,0.998161,88.9428,0.00016925,0.998962,15.7149,2.22045e-16,1,252.673,0.00016167,0.985827,3.65238,2.22045e-16,1,1.75017,2.22045e-16,1,All
1.80722,0.00535225,0.999421,22.2409,0.000874008,0.99839,89.9023,0.000145016,0.999112,15.715,2.22045e-16,1,256.022,0.000154405,0.986356,3.65241,2.22045e-16,1,1.75018,2.22045e-16,1,All
1.82611,0.00450526,0.999514,22.4853,0.000765938,0.99859,90.8617,0.000124194,0.999241,15.7151,2.22045e-16,1,259.372,0.000147521,0.986862,3.65244,2.22045e-16,1,1.7502,2.22045e-16,1,All
1.845,0.00378991,0.999592,22.7297,0.000671089,0.998765,91.8212,0.000106314,0.999352,15.7152,2.22045e-16,1,262.721,0.000140998,0.987345,3.65247,2.22045e-16,1,1.75021,2.22045e-16,1,All
1.8639,0.00318624,0.999658,22.9742,0.000587874,0.998919,92.7806,9.09714e-05,0.999446,15.7153,2.22045e-16,1,266.071,0.000134812,0.987807,3.6525,2.22045e-16,1,1.75023,2.22045e-16,1,All
1.88279,0.00267723,0.999713,23.2186,0.00051489,0.999053,93.7401,7.78129e-05,0.999527,15.7155,2.22045e-16,1,269.42,0.000128943,0.988248,3.65252,2.22045e-16,1,1.75024,2.22045e-16,1,All
1.90168,0.00224834,0.99976,23.463,0.000450901,0.999171,94.6995,6.65342e-05,0.999596,15.7156,2.22045e-16,1,272.77,0.000123374,0.988671,3.65255,2.22045e-16,1,1.75026,2.22045e-16,1,All
1.92057,0.00188723,0.999799,23.7074,0.000394812,0.999274,95.659,5.68716e-05,0.999655,15.7157,2.22045e-16,1,276.119,0.000118086,0.989075,3.65258,2.22045e-16,1,1.75027,2.22045e-16,1,All
1.93947,0.00158339,0.999831,23.9519,0.000345662,0.999365,96.6184,4.85976e-05,0.999706,15.7158,2.22045e-16,1,279.469,0.000113063,0.989462,3.65261,2.22045e-16,1,1.75029,2.22045e-16,1,All
1.95836,0.00132789,0.999859,24.1963,0.000302602,0.999444,97.5779,4.15159e-05,0.999749,15.716,2.22045e-16,1,282.818,0.000108291,0.989833,3.65263,2.22045e-16,1,1.7503,2.22045e-16,1,All
1.97725,0.00111317,0.999882,24.4407,0.000264885,0.999513,98.5373,3.5457e-05,0.999786,15.7161,2.22045e-16,1,286.168,0.000103753,0.990188,3.65266,2.22045e-16,1,1.75032,2.22045e-16,1,All
1.99614,0.000932814,0.999901,24.6851,0.000231854,0.999574,99.4968,3.02754e-05,0.999817,15.7162,2.22045e-16,1,289.517,9.94384e-05,0.990528,3.65269,2.22045e-16,1,1.75033,2.22045e-16,1,All
2.01504,0.000781408,0.999917,24.9296,0.000202933,0.999627,100.456,2.58455e-05,0.999844,15.7163,2.22045e-16,1,292.867,9.53331e-05,0.990854,3.65272,2.22045e-16,1,1.75035,2.22045e-16,1,All
2.03393,0.000654364,0.999931,25.174,0.000177614,0.999673,101.416,2.20597e-05,0.999867,15.7164,2.22045e-16,1,296.216,9.1426e-05,0.991167,3.65275,2.22045e-16,1,1.75037,2.22045e-16,1,All
2.05282,0.000547811,0.999942,25.4184,0.00015545,0.999714,102.375,1.88251e-05,0.999886,15.7166,2.22045e-16,1,299.566,8.77059e-05,0.991467,3.65277,2.22045e-16,1,1.75038,2.22045e-16,1,All
2.07171,0.000458481,0.999952,25.6628,0.000136051,0.999749,103.335,1.60624e-05,0.999903,15.7167,2.22045e-16,1,302.915,8.41626e-05,0.991755,3.6528,2.22045e-16,1,1.7504,2.22045e-16,1,All
2.09061,0.00038362,0.99996,25.9073,0.000119073,0.999781,104.294,1.37033e-05,0.999917,15.7168,2.22045e-16,1,306.265,8.07865e-05,0.992031,3.65283,2.22045e-16,1,1.75041,2.22045e-16,1,All
2.1095,0.000320907,0.999966,26.1517,0.000104216,0.999808,105.253,1.16892e-05,0.99993,15.7169,2.22045e-16,1,309.614,7.75686e-05,0.992296,3.65286,2.22045e-16,1,1.75043,2.22045e-16,1,All
2.12839,0.000268389,0.999972,26.3961,9.12149e-05,0.999832,106.213,9.97023e-06,0.99994,15.717,2.22045e-16,1,312.964,7.45003e-05,0.992551,3.65289,2.22045e-16,1,1.75044,2.22045e-16,1,All
2.14728,0.000224423,0.999976,26.6406,7.98389e-05,0.999853,107.172,8.50329e-06,0.999949,15.7172,2.22045e-16,1,316.314,7.15736e-05,0.992795,3.65291,2.22045e-16,1,1.75046,2.22045e-16,1,All
2.16618,0.000187626,0.99998,26.885,6.9885e-05,0.999871,108.132,7.25167e-06,0.999956,15.7173,2.22045e-16,1,319.663,6.87811e-05,0.99303,3.65294,2.22045e-16,1,1.75047,2.22045e-16,1,All
2.18507,0.000156837,0.999984,27.1294,6.11757e-05,0.999887,109.091,6.18393e-06,0.999963,15.7174,2.22045e-16,1,323.013,6.61157e-05,0.993256,3.65297,2.22045e-16,1,1.75049,2.22045e-16,1,All
2.20396,0.000131083,0.999986,27.3738,5.35553e-05,0.999901,110.051,5.27317e-06,0.999968,15.7175,2.22045e-16,1,326.362,6.35708e-05,0.993473,3.653,2.22045e-16,1,1.7505,2.22045e-16,1,All
2.22285,0.000109544,0.999988,27.6183,4.68877e-05,0.999913,111.01,4.49642e-06,0.999973,15.7176,2.22045e-16,1,329.712,6.11402e-05,0.993682,3.65302,2.22045e-16,1,1.75052,2.22045e-16,1,All
2.24175,9.15351e-05,0.99999,27.8627,4.10537e-05,0.999924,111.97,3.83403e-06,0.999977,15.7178,2.22045e-16,1,333.061,5.88179e-05,0.993883,3.65305,2.22045e-16,1,1.75053,2.22045e-16,1,All
