standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,standEta_bias_abscissa,standEta_bias_cdf,split
-2.15891,0.0414286,-2.46057,0.0414286,-2.32583,0.0414286,-2.48962,0.0414286,-0.979149,0.0414286,All
-2.15793,0.0428571,-2.45877,0.0428571,-2.32355,0.0428571,-2.48286,0.0428571,-0.973386,0.0428571,All
-2.15682,0.0442857,-2.45243,0.0442857,-2.18679,0.0442857,-2.47904,0.0442857,-0.947809,0.0442857,All
-2.1469,0.0457143,-2.44744,0.0457143,-2.17199,0.0457143,-2.47185,0.0457143,-0.942362,0.0457143,All
-2.1419,0.0471429,-2.41451,0.0471429,-2.14769,0.0471429,-2.42665,0.0471429,-0.94218,0.0471429,All
-2.13347,0.0485714,-2.40251,0.0485714,-2.1437,0.0485714,-2.42474,0.0485714,-0.940569,0.0485714,All
-2.12362,0.05,-2.39901,0.05,-2.12578,0.05,-2.41148,0.05,-0.935144,0.05,All
-2.11063,0.0514286,-2.32755,0.0514286,-2.071,0.0514286,-2.40669,0.0514286,-0.930002,0.0514286,All
-2.0942,0.0528571,-2.32031,0.0528571,-2.05587,0.0528571,-2.3966,0.0528571,-0.926635,0.0528571,All
-2.08859,0.0542857,-2.31441,0.0542857,-1.96059,0.0542857,-2.36507,0.0542857,-0.923906,0.0542857,All
-2.06145,0.0557143,-2.31402,0.0557143,-1.9238,0.0557143,-2.31783,0.0557143,-0.918876,0.0557143,All
-2.05818,0.0571429,-2.24522,0.0571429,-1.91168,0.0571429,-2.31727,0.0571429,-0.915121,0.0571429,All
-2.05332,0.0585714,-2.21719,0.0585714,-1.89912,0.0585714,-2.31067,0.0585714,-0.908806,0.0585714,All
-2.04164,0.06,-2.19011,0.06,-1.88007,0.06,-2.30978,0.06,-0.905627,0.06,All
-2.0393,0.0614286,-2.16472,0.0614286,-1.87951,0.0614286,-2.30767,0.0614286,-0.901188,0.0614286,All
-2.03635,0.0628571,-2.15196,0.0628571,-1.87929,0.0628571,-2.28139,0.0628571,-0.897578,0.0628571,All
-2.02494,0.0642857,-2.14764,0.0642857,-1.81772,0.0642857,-2.27551,0.0642857,-0.892565,0.0642857,All
-1.99575,0.0657143,-2.10033,0.0657143,-1.78915,0.0657143,-2.22965,0.0657143,-0.889144,0.0657143,All
-1.94938,0.0671429,-2.0958,0.0671429,-1.77505,0.0671429,-2.21543,0.0671429,-0.883353,0.0671429,All
-1.94166,0.0685714,-2.06095,0.0685714,-1.75103,0.0685714,-2.20551,0.0685714,-0.881925,0.0685714,All
-1.93859,0.07,-1.95598,0.07,-1.74429,0.07,-2.06682,0.07,-0.880812,0.07,All
-1.88153,0.0714286,-1.89963,0.0714286,-1.70476,0.0714286,-1.71997,0.0714286,-0.880563,0.0714286,All
-1.88107,0.0728571,-1.77217,0.0728571,-1.68415,0.0728571,-1.56118,0.0728571,-0.876242,0.0728571,All
-1.87919,0.0742857,-1.64825,0.0742857,-1.66622,0.0742857,-1.54841,0.0742857,-0.860437,0.0742857,All
-1.76333,0.0757143,-1.5114,0.0757143,-1.64532,0.0757143,-1.52136,0.0757143,-0.859237,0.0757143,All
-1.71968,0.0771429,-1.50205,0.0771429,-1.62402,0.0771429,-1.51042,0.0771429,-0.852444,0.0771429,All
-1.64203,0.0785714,-1.48754,0.0785714,-1.61932,0.0785714,-1.48085,0.0785714,-0.84817,0.0785714,All
-1.63134,0.08,-1.47529,0.08,-1.50144,0.08,-1.4516,0.08,-0.846738,0.08,All
-1.62,0.0814286,-1.42284,0.0814286,-1.4983,0.0814286,-1.45159,0.0814286,-0.840197,0.0814286,All
-1.59672,0.0828571,-1.42098,0.0828571,-1.47338,0.0828571,-1.44529,0.0828571,-0.839666,0.0828571,All
-1.587,0.0842857,-1.37704,0.0842857,-1.47297,0.0842857,-1.40881,0.0842857,-0.828102,0.0842857,All
-1.54537,0.0857143,-1.35713,0.0857143,-1.46118,0.0857143,-1.40355,0.0857143,-0.824899,0.0857143,All
-1.54447,0.0871429,-1.3375,0.0871429,-1.42869,0.0871429,-1.37428,0.0871429,-0.824716,0.0871429,All
-1.54097,0.0885714,-1.33656,0.0885714,-1.40392,0.0885714,-1.37049,0.0885714,-0.823704,0.0885714,All
-1.51475,0.09,-1.33596,0.09,-1.37321,0.09,-1.35867,0.09,-0.822833,0.09,All
-1.46976,0.0914286,-1.3267,0.0914286,-1.34291,0.0914286,-1.34241,0.0914286,-0.82234,0.0914286,All
-1.46385,0.0928571,-1.26298,0.0928571,-1.31515,0.0928571,-1.33434,0.0928571,-0.819474,0.0928571,All
-1.45542,0.0942857,-1.22082,0.0942857,-1.30933,0.0942857,-1.32773,0.0942857,-0.818507,0.0942857,All
-1.45372,0.0957143,-1.1967,0.0957143,-1.30568,0.0957143,-1.31731,0.0957143,-0.816709,0.0957143,All
-1.44912,0.0971429,-1.19286,0.0971429,-1.28387,0.0971429,-1.31348,0.0971429,-0.816627,0.0971429,All
-1.4299,0.0985714,-1.17119,0.0985714,-1.27934,0.0985714,-1.28653,0.0985714,-0.815989,0.0985714,All
-1.42551,0.1,-1.13368,0.1,-1.27533,0.1,-1.27359,0.1,-0.814702,0.1,All
-1.41437,0.101429,-1.11996,0.101429,-1.27362,0.101429,-1.25439,0.101429,-0.810651,0.101429,All
-1.41173,0.102857,-1.10604,0.102857,-1.2564,0.102857,-1.25192,0.102857,-0.80943,0.102857,All
-1.40487,0.104286,-1.10482,0.104286,-1.25281,0.104286,-1.22663,0.104286,-0.809339,0.104286,All
-1.3909,0.105714,-1.08532,0.105714,-1.25266,0.105714,-1.22648,0.105714,-0.808609,0.105714,All
-1.38718,0.107143,-1.07021,0.107143,-1.23044,0.107143,-1.22595,0.107143,-0.805729,0.107143,All
-1.3761,0.108571,-1.05503,0.108571,-1.19907,0.108571,-1.22155,0.108571,-0.800179,0.108571,All
-1.35532,0.11,-1.03458,0.11,-1.19327,0.11,-1.17268,0.11,-0.794307,0.11,All
-1.35303,0.111429,-1.0269,0.111429,-1.18594,0.111429,-1.17169,0.111429,-0.790807,0.111429,All
-1.34289,0.112857,-1.02538,0.112857,-1.17911,0.112857,-1.16113,0.112857,-0.786494,0.112857,All
-1.33349,0.114286,-1.02467,0.114286,-1.158,0.114286,-1.13502,0.114286,-0.785538,0.114286,All
-1.3326,0.115714,-1.02061,0.115714,-1.14407,0.115714,-1.1329,0.115714,-0.78413,0.115714,All
-1.33043,0.117143,-1.01427,0.117143,-1.14375,0.117143,-1.12355,0.117143,-0.781363,0.117143,All
-1.31332,0.118571,-1.00912,0.118571,-1.11671,0.118571,-1.12306,0.118571,-0.779312,0.118571,All
-1.31018,0.12,-0.996386,0.12,-1.10925,0.12,-1.10938,0.12,-0.774735,0.12,All
-1.29309,0.121429,-0.991488,0.121429,-1.10671,0.121429,-1.07876,0.121429,-0.771225,0.121429,All
-1.2895,0.122857,-0.969331,0.122857,-1.09048,0.122857,-1.07286,0.122857,-0.767502,0.122857,All
-1.28217,0.124286,-0.96824,0.124286,-1.0789,0.124286,-1.02257,0.124286,-0.765761,0.124286,All
-1.27903,0.125714,-0.946127,0.125714,-1.06355,0.125714,-1.003,0.125714,-0.763092,0.125714,All
-1.27897,0.127143,-0.945011,0.127143,-1.06267,0.127143,-1.00004,0.127143,-0.761037,0.127143,All
-1.27128,0.128571,-0.932465,0.128571,-1.04713,0.128571,-0.992597,0.128571,-0.759328,0.128571,All
-1.26696,0.13,-0.921236,0.13,-1.03839,0.13,-0.987911,0.13,-0.75617,0.13,All
-1.25878,0.131429,-0.915983,0.131429,-1.03642,0.131429,-0.986863,0.131429,-0.753786,0.131429,All
-1.25195,0.132857,-0.910664,0.132857,-1.01273,0.132857,-0.985423,0.132857,-0.751281,0.132857,All
-1.23879,0.134286,-0.887407,0.134286,-0.98889,0.134286,-0.970526,0.134286,-0.746192,0.134286,All
-1.23643,0.135714,-0.886209,0.135714,-0.985282,0.135714,-0.961176,0.135714,-0.745822,0.135714,All
-1.20174,0.137143,-0.885731,0.137143,-0.977607,0.137143,-0.956196,0.137143,-0.745017,0.137143,All
-1.19581,0.138571,-0.879083,0.138571,-0.967526,0.138571,-0.952574,0.138571,-0.744149,0.138571,All
-1.19355,0.14,-0.856227,0.14,-0.947022,0.14,-0.952227,0.14,-0.744131,0.14,All
-1.19299,0.141429,-0.852184,0.141429,-0.930556,0.141429,-0.951647,0.141429,-0.739871,0.141429,All
-1.1856,0.142857,-0.850044,0.142857,-0.921001,0.142857,-0.944533,0.142857,-0.738375,0.142857,All
-1.17893,0.144286,-0.846737,0.144286,-0.919233,0.144286,-0.94441,0.144286,-0.734681,0.144286,All
-1.17225,0.145714,-0.843839,0.145714,-0.90955,0.145714,-0.942693,0.145714,-0.734196,0.145714,All
-1.16643,0.147143,-0.832267,0.147143,-0.903917,0.147143,-0.939053,0.147143,-0.732514,0.147143,All
-1.16387,0.148571,-0.825678,0.148571,-0.894402,0.148571,-0.931924,0.148571,-0.732337,0.148571,All
-1.16117,0.15,-0.819117,0.15,-0.880707,0.15,-0.926516,0.15,-0.727187,0.15,All
-1.15108,0.151429,-0.818655,0.151429,-0.878779,0.151429,-0.916923,0.151429,-0.723698,0.151429,All
-1.149,0.152857,-0.816427,0.152857,-0.860625,0.152857,-0.911837,0.152857,-0.720536,0.152857,All
-1.14652,0.154286,-0.816173,0.154286,-0.857,0.154286,-0.907488,0.154286,-0.719482,0.154286,All
-1.13441,0.155714,-0.800914,0.155714,-0.841736,0.155714,-0.905184,0.155714,-0.716008,0.155714,All
-1.13337,0.157143,-0.800571,0.157143,-0.838251,0.157143,-0.903491,0.157143,-0.713658,0.157143,All
-1.12471,0.158571,-0.798026,0.158571,-0.836354,0.158571,-0.903432,0.158571,-0.708136,0.158571,All
-1.11997,0.16,-0.791581,0.16,-0.828646,0.16,-0.899166,0.16,-0.706894,0.16,All
-1.11663,0.161429,-0.782391,0.161429,-0.818698,0.161429,-0.887206,0.161429,-0.702399,0.161429,All
-1.10749,0.162857,-0.765734,0.162857,-0.81243,0.162857,-0.884261,0.162857,-0.701763,0.162857,All
-1.10579,0.164286,-0.745333,0.164286,-0.811813,0.164286,-0.873588,0.164286,-0.700871,0.164286,All
-1.10493,0.165714,-0.741822,0.165714,-0.810368,0.165714,-0.855864,0.165714,-0.700204,0.165714,All
-1.10438,0.167143,-0.736859,0.167143,-0.798694,0.167143,-0.854802,0.167143,-0.698601,0.167143,All
-1.10283,0.168571,-0.736455,0.168571,-0.78623,0.168571,-0.852126,0.168571,-0.697612,0.168571,All
-1.10164,0.17,-0.731718,0.17,-0.769095,0.17,-0.845392,0.17,-0.697004,0.17,All
-1.09289,0.171429,-0.730698,0.171429,-0.759408,0.171429,-0.839586,0.171429,-0.695215,0.171429,All
-1.09159,0.172857,-0.725353,0.172857,-0.754961,0.172857,-0.837282,0.172857,-0.693852,0.172857,All
-1.08934,0.174286,-0.708916,0.174286,-0.737943,0.174286,-0.816975,0.174286,-0.693639,0.174286,All
-1.08897,0.175714,-0.690117,0.175714,-0.73758,0.175714,-0.81508,0.175714,-0.693092,0.175714,All
-1.08795,0.177143,-0.687906,0.177143,-0.728805,0.177143,-0.808468,0.177143,-0.692992,0.177143,All
-1.0784,0.178571,-0.681713,0.178571,-0.723861,0.178571,-0.807559,0.178571,-0.692411,0.178571,All
-1.07541,0.18,-0.669577,0.18,-0.71891,0.18,-0.80299,0.18,-0.6924,0.18,All
-1.05798,0.181429,-0.667753,0.181429,-0.714834,0.181429,-0.79392,0.181429,-0.690677,0.181429,All
-1.05209,0.182857,-0.663666,0.182857,-0.713024,0.182857,-0.7912,0.182857,-0.690541,0.182857,All
-1.04802,0.184286,-0.660685,0.184286,-0.712537,0.184286,-0.778996,0.184286,-0.688045,0.184286,All
-1.04749,0.185714,-0.660311,0.185714,-0.704917,0.185714,-0.777825,0.185714,-0.68718,0.185714,All
-1.04656,0.187143,-0.656621,0.187143,-0.704345,0.187143,-0.777661,0.187143,-0.686522,0.187143,All
-1.04649,0.188571,-0.652355,0.188571,-0.692648,0.188571,-0.776293,0.188571,-0.68583,0.188571,All
-1.04279,0.19,-0.648215,0.19,-0.692084,0.19,-0.768643,0.19,-0.684558,0.19,All
-1.03904,0.191429,-0.647117,0.191429,-0.68614,0.191429,-0.758611,0.191429,-0.683574,0.191429,All
-1.03809,0.192857,-0.644467,0.192857,-0.678685,0.192857,-0.749215,0.192857,-0.682853,0.192857,All
-1.03573,0.194286,-0.639658,0.194286,-0.675131,0.194286,-0.746748,0.194286,-0.680869,0.194286,All
-1.03503,0.195714,-0.639016,0.195714,-0.673535,0.195714,-0.744257,0.195714,-0.674662,0.195714,All
-1.03138,0.197143,-0.633584,0.197143,-0.672828,0.197143,-0.740332,0.197143,-0.674344,0.197143,All
-1.03097,0.198571,-0.629261,0.198571,-0.669668,0.198571,-0.739634,0.198571,-0.671033,0.198571,All
-1.02982,0.2,-0.620603,0.2,-0.652726,0.2,-0.730591,0.2,-0.668007,0.2,All
-1.02262,0.201429,-0.611668,0.201429,-0.651428,0.201429,-0.719243,0.201429,-0.666628,0.201429,All
-1.0219,0.202857,-0.610379,0.202857,-0.650646,0.202857,-0.71849,0.202857,-0.664444,0.202857,All
-1.02118,0.204286,-0.60732,0.204286,-0.650041,0.204286,-0.713698,0.204286,-0.664348,0.204286,All
-1.0207,0.205714,-0.604967,0.205714,-0.648033,0.205714,-0.711507,0.205714,-0.662262,0.205714,All
-1.01548,0.207143,-0.591407,0.207143,-0.638323,0.207143,-0.709875,0.207143,-0.661212,0.207143,All
-1.0132,0.208571,-0.589889,0.208571,-0.634938,0.208571,-0.70094,0.208571,-0.661172,0.208571,All
-1.01072,0.21,-0.589724,0.21,-0.628892,0.21,-0.699232,0.21,-0.661069,0.21,All
-1.00687,0.211429,-0.585167,0.211429,-0.625504,0.211429,-0.690102,0.211429,-0.657477,0.211429,All
-1.0058,0.212857,-0.578447,0.212857,-0.623814,0.212857,-0.687536,0.212857,-0.654676,0.212857,All
-0.992108,0.214286,-0.573855,0.214286,-0.621735,0.214286,-0.68268,0.214286,-0.654176,0.214286,All
-0.989845,0.215714,-0.568517,0.215714,-0.616559,0.215714,-0.677318,0.215714,-0.651616,0.215714,All
-0.978083,0.217143,-0.567845,0.217143,-0.608529,0.217143,-0.674731,0.217143,-0.650674,0.217143,All
-0.975637,0.218571,-0.563196,0.218571,-0.607354,0.218571,-0.674298,0.218571,-0.648486,0.218571,All
-0.967155,0.22,-0.562367,0.22,-0.606251,0.22,-0.672168,0.22,-0.64721,0.22,All
-0.966645,0.221429,-0.560654,0.221429,-0.596666,0.221429,-0.664814,0.221429,-0.644136,0.221429,All
-0.965771,0.222857,-0.559361,0.222857,-0.592936,0.222857,-0.660547,0.222857,-0.642589,0.222857,All
-0.959237,0.224286,-0.557681,0.224286,-0.590219,0.224286,-0.657456,0.224286,-0.642433,0.224286,All
-0.932881,0.225714,-0.549998,0.225714,-0.561579,0.225714,-0.634517,0.225714,-0.640507,0.225714,All
-0.920642,0.227143,-0.549914,0.227143,-0.555526,0.227143,-0.629357,0.227143,-0.637832,0.227143,All
-0.882688,0.228571,-0.545629,0.228571,-0.548066,0.228571,-0.605337,0.228571,-0.637515,0.228571,All
-0.881508,0.23,-0.5453,0.23,-0.547317,0.23,-0.598172,0.23,-0.630957,0.23,All
-0.87931,0.231429,-0.542856,0.231429,-0.543648,0.231429,-0.596435,0.231429,-0.630042,0.231429,All
-0.878564,0.232857,-0.519624,0.232857,-0.543511,0.232857,-0.596195,0.232857,-0.625817,0.232857,All
-0.873856,0.234286,-0.518125,0.234286,-0.539016,0.234286,-0.594571,0.234286,-0.624757,0.234286,All
-0.866345,0.235714,-0.515059,0.235714,-0.531493,0.235714,-0.59263,0.235714,-0.623433,0.235714,All
-0.854352,0.237143,-0.512871,0.237143,-0.530641,0.237143,-0.587835,0.237143,-0.617759,0.237143,All
-0.849212,0.238571,-0.501306,0.238571,-0.525546,0.238571,-0.580129,0.238571,-0.615921,0.238571,All
-0.84907,0.24,-0.496213,0.24,-0.518834,0.24,-0.563522,0.24,-0.61407,0.24,All
-0.849042,0.241429,-0.491776,0.241429,-0.506877,0.241429,-0.562594,0.241429,-0.613799,0.241429,All
-0.841414,0.242857,-0.489026,0.242857,-0.506467,0.242857,-0.554238,0.242857,-0.613141,0.242857,All
-0.836604,0.244286,-0.48369,0.244286,-0.506366,0.244286,-0.545264,0.244286,-0.612854,0.244286,All
-0.834856,0.245714,-0.479849,0.245714,-0.501796,0.245714,-0.529182,0.245714,-0.610422,0.245714,All
-0.82928,0.247143,-0.476775,0.247143,-0.499761,0.247143,-0.52609,0.247143,-0.608583,0.247143,All
-0.824636,0.248571,-0.47233,0.248571,-0.498409,0.248571,-0.512746,0.248571,-0.606612,0.248571,All
-0.81987,0.25,-0.466948,0.25,-0.491815,0.25,-0.511261,0.25,-0.606047,0.25,All
-0.815291,0.251429,-0.462289,0.251429,-0.489853,0.251429,-0.50474,0.251429,-0.605485,0.251429,All
-0.812245,0.252857,-0.460877,0.252857,-0.484099,0.252857,-0.495572,0.252857,-0.605055,0.252857,All
-0.804585,0.254286,-0.443541,0.254286,-0.479464,0.254286,-0.492308,0.254286,-0.604952,0.254286,All
-0.798146,0.255714,-0.435324,0.255714,-0.470356,0.255714,-0.489533,0.255714,-0.60383,0.255714,All
-0.793932,0.257143,-0.432071,0.257143,-0.463244,0.257143,-0.48942,0.257143,-0.599554,0.257143,All
-0.762364,0.258571,-0.428723,0.258571,-0.462855,0.258571,-0.483361,0.258571,-0.595844,0.258571,All
-0.751101,0.26,-0.42302,0.26,-0.459071,0.26,-0.477448,0.26,-0.592956,0.26,All
-0.748829,0.261429,-0.422874,0.261429,-0.452897,0.261429,-0.475928,0.261429,-0.591991,0.261429,All
-0.737786,0.262857,-0.4208,0.262857,-0.438858,0.262857,-0.451894,0.262857,-0.588334,0.262857,All
-0.733972,0.264286,-0.41658,0.264286,-0.434056,0.264286,-0.44218,0.264286,-0.587919,0.264286,All
-0.724508,0.265714,-0.414093,0.265714,-0.433583,0.265714,-0.440859,0.265714,-0.58786,0.265714,All
-0.721456,0.267143,-0.410694,0.267143,-0.431814,0.267143,-0.436268,0.267143,-0.587007,0.267143,All
-0.716056,0.268571,-0.405472,0.268571,-0.429885,0.268571,-0.435549,0.268571,-0.584633,0.268571,All
-0.711021,0.27,-0.402314,0.27,-0.42574,0.27,-0.4233,0.27,-0.574964,0.27,All
-0.70715,0.271429,-0.394428,0.271429,-0.424639,0.271429,-0.417863,0.271429,-0.574223,0.271429,All
-0.707094,0.272857,-0.379971,0.272857,-0.422514,0.272857,-0.415325,0.272857,-0.572537,0.272857,All
-0.706379,0.274286,-0.372364,0.274286,-0.419846,0.274286,-0.403869,0.274286,-0.571352,0.274286,All
-0.687356,0.275714,-0.364236,0.275714,-0.416143,0.275714,-0.398802,0.275714,-0.566762,0.275714,All
-0.682898,0.277143,-0.356549,0.277143,-0.41593,0.277143,-0.398499,0.277143,-0.566003,0.277143,All
-0.649013,0.278571,-0.356009,0.278571,-0.415885,0.278571,-0.393438,0.278571,-0.563983,0.278571,All
-0.604204,0.28,-0.344844,0.28,-0.414015,0.28,-0.379444,0.28,-0.561731,0.28,All
-0.598532,0.281429,-0.344026,0.281429,-0.410209,0.281429,-0.376126,0.281429,-0.556797,0.281429,All
-0.569417,0.282857,-0.338781,0.282857,-0.405227,0.282857,-0.374701,0.282857,-0.556489,0.282857,All
-0.569417,0.284286,-0.314499,0.284286,-0.401145,0.284286,-0.366956,0.284286,-0.554087,0.284286,All
-0.521433,0.285714,-0.310832,0.285714,-0.399251,0.285714,-0.363461,0.285714,-0.553033,0.285714,All
-0.519876,0.287143,-0.309185,0.287143,-0.394222,0.287143,-0.360274,0.287143,-0.550219,0.287143,All
-0.504479,0.288571,-0.307594,0.288571,-0.393755,0.288571,-0.340616,0.288571,-0.549756,0.288571,All
-0.492412,0.29,-0.305951,0.29,-0.39148,0.29,-0.33918,0.29,-0.547673,0.29,All
-0.451704,0.291429,-0.302078,0.291429,-0.390774,0.291429,-0.336601,0.291429,-0.547054,0.291429,All
-0.450195,0.292857,-0.300491,0.292857,-0.37846,0.292857,-0.330873,0.292857,-0.545487,0.292857,All
-0.432871,0.294286,-0.299225,0.294286,-0.376787,0.294286,-0.329433,0.294286,-0.545381,0.294286,All
-0.42152,0.295714,-0.297528,0.295714,-0.375222,0.295714,-0.325654,0.295714,-0.54234,0.295714,All
-0.401377,0.297143,-0.297373,0.297143,-0.375136,0.297143,-0.318687,0.297143,-0.542171,0.297143,All
-0.366739,0.298571,-0.293628,0.298571,-0.365703,0.298571,-0.311158,0.298571,-0.539261,0.298571,All
-0.356644,0.3,-0.293396,0.3,-0.363555,0.3,-0.304857,0.3,-0.539081,0.3,All
-0.355265,0.301429,-0.289158,0.301429,-0.360673,0.301429,-0.29728,0.301429,-0.537892,0.301429,All
-0.351883,0.302857,-0.287944,0.302857,-0.358296,0.302857,-0.295344,0.302857,-0.531794,0.302857,All
-0.351293,0.304286,-0.279154,0.304286,-0.347327,0.304286,-0.294037,0.304286,-0.525371,0.304286,All
-0.344279,0.305714,-0.277215,0.305714,-0.345239,0.305714,-0.278998,0.305714,-0.524592,0.305714,All
-0.342559,0.307143,-0.275751,0.307143,-0.343393,0.307143,-0.278537,0.307143,-0.523955,0.307143,All
-0.337782,0.308571,-0.274412,0.308571,-0.341244,0.308571,-0.277291,0.308571,-0.52145,0.308571,All
-0.334307,0.31,-0.271131,0.31,-0.340829,0.31,-0.262612,0.31,-0.520993,0.31,All
-0.333119,0.311429,-0.269499,0.311429,-0.333338,0.311429,-0.261631,0.311429,-0.519648,0.311429,All
-0.329562,0.312857,-0.268092,0.312857,-0.330659,0.312857,-0.259039,0.312857,-0.519018,0.312857,All
-0.317739,0.314286,-0.267975,0.314286,-0.329375,0.314286,-0.257676,0.314286,-0.517296,0.314286,All
-0.308226,0.315714,-0.266363,0.315714,-0.325811,0.315714,-0.25507,0.315714,-0.511578,0.315714,All
-0.303256,0.317143,-0.266028,0.317143,-0.324065,0.317143,-0.25258,0.317143,-0.510016,0.317143,All
-0.298174,0.318571,-0.257032,0.318571,-0.31816,0.318571,-0.25122,0.318571,-0.506392,0.318571,All
-0.296163,0.32,-0.25325,0.32,-0.316993,0.32,-0.247496,0.32,-0.506383,0.32,All
-0.291253,0.321429,-0.251886,0.321429,-0.308206,0.321429,-0.241822,0.321429,-0.501716,0.321429,All
-0.288068,0.322857,-0.24897,0.322857,-0.295712,0.322857,-0.229825,0.322857,-0.50131,0.322857,All
-0.26397,0.324286,-0.248109,0.324286,-0.292358,0.324286,-0.227397,0.324286,-0.500859,0.324286,All
-0.262706,0.325714,-0.244212,0.325714,-0.285819,0.325714,-0.226417,0.325714,-0.495832,0.325714,All
-0.257805,0.327143,-0.237569,0.327143,-0.278885,0.327143,-0.226245,0.327143,-0.491389,0.327143,All
-0.254058,0.328571,-0.233076,0.328571,-0.277605,0.328571,-0.222444,0.328571,-0.488696,0.328571,All
-0.248445,0.33,-0.225099,0.33,-0.275305,0.33,-0.214969,0.33,-0.488329,0.33,All
-0.248406,0.331429,-0.219887,0.331429,-0.269516,0.331429,-0.212562,0.331429,-0.483809,0.331429,All
-0.224322,0.332857,-0.214831,0.332857,-0.268778,0.332857,-0.207789,0.332857,-0.481742,0.332857,All
-0.223094,0.334286,-0.198029,0.334286,-0.26162,0.334286,-0.204004,0.334286,-0.481343,0.334286,All
-0.211464,0.335714,-0.196778,0.335714,-0.255456,0.335714,-0.199355,0.335714,-0.481173,0.335714,All
-0.206644,0.337143,-0.183147,0.337143,-0.255197,0.337143,-0.18863,0.337143,-0.481045,0.337143,All
-0.190678,0.338571,-0.181573,0.338571,-0.243572,0.338571,-0.188494,0.338571,-0.478104,0.338571,All
-0.181876,0.34,-0.178314,0.34,-0.23691,0.34,-0.181697,0.34,-0.474956,0.34,All
