standEta_Cl_abscissa,standEta_Cl_cdf,standEta_Q_abscissa,standEta_Q_cdf,split
-2.9828,0.00842857,-2.61119,0.00842857,All
-2.97962,0.00857143,-2.60631,0.00857143,All
-2.97595,0.00871429,-2.60515,0.00871429,All
-2.97585,0.00885714,-2.60515,0.00885714,All
-2.97252,0.009,-2.60515,0.009,All
-2.97176,0.00914286,-2.60381,0.00914286,All
-2.97155,0.00928571,-2.60107,0.00928571,All
-2.96877,0.00942857,-2.60107,0.00942857,All
-2.96802,0.00957143,-2.60081,0.00957143,All
-2.96401,0.00971429,-2.59619,0.00971429,All
-2.96305,0.00985714,-2.59568,0.00985714,All
-2.96064,0.01,-2.58698,0.01,All
-2.96019,0.0101429,-2.58317,0.0101429,All
-2.95956,0.0102857,-2.58037,0.0102857,All
-2.95641,0.0104286,-2.57889,0.0104286,All
-2.94238,0.0105714,-2.57572,0.0105714,All
-2.94202,0.0107143,-2.5668,0.0107143,All
-2.94202,0.0108571,-2.56555,0.0108571,All
-2.94179,0.011,-2.54115,0.011,All
-2.93773,0.0111429,-2.54082,0.0111429,All
-2.93735,0.0112857,-2.54082,0.0112857,All
-2.93694,0.0114286,-2.53358,0.0114286,All
-2.93153,0.0115714,-2.52897,0.0115714,All
-2.93027,0.0117143,-2.5217,0.0117143,All
-2.92995,0.0118571,-2.51588,0.0118571,All
-2.92964,0.012,-2.51588,0.012,All
-2.92961,0.0121429,-2.51406,0.0121429,All
-2.92944,0.0122857,-2.51406,0.0122857,All
-2.92944,0.0124286,-2.51406,0.0124286,All
-2.92913,0.0125714,-2.50132,0.0125714,All
-2.92913,0.0127143,-2.50082,0.0127143,All
-2.92899,0.0128571,-2.50078,0.0128571,All
-2.92442,0.013,-2.49984,0.013,All
-2.92243,0.0131429,-2.4915,0.0131429,All
-2.92002,0.0132857,-2.48852,0.0132857,All
-2.91991,0.0134286,-2.48545,0.0134286,All
-2.91879,0.0135714,-2.47918,0.0135714,All
-2.91861,0.0137143,-2.47918,0.0137143,All
-2.917,0.0138571,-2.47842,0.0138571,All
-2.9158,0.014,-2.47839,0.014,All
-2.9158,0.0141429,-2.47783,0.0141429,All
-2.91116,0.0142857,-2.47044,0.0142857,All
-2.91107,0.0144286,-2.47044,0.0144286,All
-2.9098,0.0145714,-2.47044,0.0145714,All
-2.90797,0.0147143,-2.45216,0.0147143,All
-2.90729,0.0148571,-2.45216,0.0148571,All
-2.90553,0.015,-2.44343,0.015,All
-2.90489,0.0151429,-2.43704,0.0151429,All
-2.90391,0.0152857,-2.43161,0.0152857,All
-2.90391,0.0154286,-2.42781,0.0154286,All
-2.90348,0.0155714,-2.42781,0.0155714,All
-2.89915,0.0157143,-2.41893,0.0157143,All
-2.89787,0.0158571,-2.41893,0.0158571,All
-2.89752,0.016,-2.41831,0.016,All
-2.89497,0.0161429,-2.41612,0.0161429,All
-2.89497,0.0162857,-2.41004,0.0162857,All
-2.89329,0.0164286,-2.40488,0.0164286,All
-2.89279,0.0165714,-2.40488,0.0165714,All
-2.88941,0.0167143,-2.39595,0.0167143,All
-2.88817,0.0168571,-2.39595,0.0168571,All
-2.88772,0.017,-2.38987,0.017,All
-2.88235,0.0171429,-2.38865,0.0171429,All
-2.87778,0.0172857,-2.38825,0.0172857,All
-2.87591,0.0174286,-2.3879,0.0174286,All
-2.87515,0.0175714,-2.38408,0.0175714,All
-2.87441,0.0177143,-2.3807,0.0177143,All
-2.87327,0.0178571,-2.37363,0.0178571,All
-2.87197,0.018,-2.37121,0.018,All
-2.87166,0.0181429,-2.37121,0.0181429,All
-2.8704,0.0182857,-2.36963,0.0182857,All
-2.8704,0.0184286,-2.36724,0.0184286,All
-2.87017,0.0185714,-2.36191,0.0185714,All
-2.86846,0.0187143,-2.3573,0.0187143,All
-2.8682,0.0188571,-2.35628,0.0188571,All
-2.86742,0.019,-2.35496,0.019,All
-2.86592,0.0191429,-2.35496,0.0191429,All
-2.86592,0.0192857,-2.35288,0.0192857,All
-2.86377,0.0194286,-2.35202,0.0194286,All
-2.86193,0.0195714,-2.34547,0.0195714,All
-2.85923,0.0197143,-2.34463,0.0197143,All
-2.85882,0.0198571,-2.34463,0.0198571,All
-2.85731,0.02,-2.34463,0.02,All
-2.85634,0.0201429,-2.34463,0.0201429,All
-2.85558,0.0202857,-2.3445,0.0202857,All
-2.85558,0.0204286,-2.34371,0.0204286,All
-2.85166,0.0205714,-2.34368,0.0205714,All
-2.85123,0.0207143,-2.34368,0.0207143,All
-2.84864,0.0208571,-2.33808,0.0208571,All
-2.84804,0.021,-2.33808,0.021,All
-2.84553,0.0211429,-2.33309,0.0211429,All
-2.84542,0.0212857,-2.33309,0.0212857,All
-2.84354,0.0214286,-2.32834,0.0214286,All
-2.84354,0.0215714,-2.32783,0.0215714,All
-2.84352,0.0217143,-2.3266,0.0217143,All
-2.84285,0.0218571,-2.32155,0.0218571,All
-2.84147,0.022,-2.31647,0.022,All
-2.83932,0.0221429,-2.31551,0.0221429,All
-2.83799,0.0222857,-2.31486,0.0222857,All
-2.83722,0.0224286,-2.30387,0.0224286,All
-2.83577,0.0225714,-2.30215,0.0225714,All
-2.82977,0.0227143,-2.30124,0.0227143,All
-2.82955,0.0228571,-2.29772,0.0228571,All
-2.82942,0.023,-2.29214,0.023,All
-2.82678,0.0231429,-2.28769,0.0231429,All
-2.82549,0.0232857,-2.28511,0.0232857,All
-2.82503,0.0234286,-2.28511,0.0234286,All
-2.82465,0.0235714,-2.28432,0.0235714,All
-2.82214,0.0237143,-2.28363,0.0237143,All
-2.82141,0.0238571,-2.27977,0.0238571,All
-2.82134,0.024,-2.27853,0.024,All
-2.8197,0.0241429,-2.27789,0.0241429,All
-2.81639,0.0242857,-2.27421,0.0242857,All
-2.81482,0.0244286,-2.26882,0.0244286,All
-2.81381,0.0245714,-2.26735,0.0245714,All
-2.81381,0.0247143,-2.26733,0.0247143,All
-2.8136,0.0248571,-2.2638,0.0248571,All
-2.81306,0.025,-2.26247,0.025,All
-2.80845,0.0251429,-2.25659,0.0251429,All
-2.80844,0.0252857,-2.25412,0.0252857,All
-2.80696,0.0254286,-2.25412,0.0254286,All
-2.80674,0.0255714,-2.25412,0.0255714,All
-2.80548,0.0257143,-2.25174,0.0257143,All
-2.80465,0.0258571,-2.24902,0.0258571,All
-2.8039,0.026,-2.24902,0.026,All
-2.80352,0.0261429,-2.24562,0.0261429,All
-2.80348,0.0262857,-2.24273,0.0262857,All
-2.80116,0.0264286,-2.24063,0.0264286,All
-2.79923,0.0265714,-2.23839,0.0265714,All
-2.79923,0.0267143,-2.23839,0.0267143,All
-2.79846,0.0268571,-2.23839,0.0268571,All
-2.79619,0.027,-2.23216,0.027,All
-2.79483,0.0271429,-2.23216,0.0271429,All
-2.79444,0.0272857,-2.2298,0.0272857,All
-2.79341,0.0274286,-2.22885,0.0274286,All
-2.79303,0.0275714,-2.22712,0.0275714,All
-2.7904,0.0277143,-2.22653,0.0277143,All
-2.78859,0.0278571,-2.22139,0.0278571,All
-2.7882,0.028,-2.22054,0.028,All
-2.78646,0.0281429,-2.22054,0.0281429,All
-2.78644,0.0282857,-2.21331,0.0282857,All
-2.7833,0.0284286,-2.21331,0.0284286,All
-2.7827,0.0285714,-2.21175,0.0285714,All
-2.7821,0.0287143,-2.21175,0.0287143,All
-2.78076,0.0288571,-2.19165,0.0288571,All
-2.77946,0.029,-2.19079,0.029,All
-2.77946,0.0291429,-2.18538,0.0291429,All
-2.77934,0.0292857,-2.17573,0.0292857,All
-2.7767,0.0294286,-2.17472,0.0294286,All
-2.77598,0.0295714,-2.17472,0.0295714,All
-2.77412,0.0297143,-2.17456,0.0297143,All
-2.77352,0.0298571,-2.17119,0.0298571,All
-2.77352,0.03,-2.16957,0.03,All
-2.77214,0.0301429,-2.16895,0.0301429,All
-2.7715,0.0302857,-2.16895,0.0302857,All
-2.77125,0.0304286,-2.16021,0.0304286,All
-2.77024,0.0305714,-2.15766,0.0305714,All
-2.76816,0.0307143,-2.15248,0.0307143,All
-2.76537,0.0308571,-2.14983,0.0308571,All
-2.76466,0.031,-2.14899,0.031,All
-2.76407,0.0311429,-2.14891,0.0311429,All
-2.75983,0.0312857,-2.14722,0.0312857,All
-2.75908,0.0314286,-2.14577,0.0314286,All
-2.75464,0.0315714,-2.14469,0.0315714,All
-2.75267,0.0317143,-2.14469,0.0317143,All
-2.75267,0.0318571,-2.14225,0.0318571,All
-2.75191,0.032,-2.1386,0.032,All
-2.75152,0.0321429,-2.13753,0.0321429,All
-2.75029,0.0322857,-2.13717,0.0322857,All
-2.74964,0.0324286,-2.13717,0.0324286,All
-2.74884,0.0325714,-2.13717,0.0325714,All
-2.74826,0.0327143,-2.13717,0.0327143,All
-2.74796,0.0328571,-2.13717,0.0328571,All
-2.74572,0.033,-2.13717,0.033,All
-2.74572,0.0331429,-2.13254,0.0331429,All
-2.74572,0.0332857,-2.13128,0.0332857,All
-2.74479,0.0334286,-2.13128,0.0334286,All
-2.74284,0.0335714,-2.13128,0.0335714,All
-2.74251,0.0337143,-2.13128,0.0337143,All
-2.74163,0.0338571,-2.13099,0.0338571,All
-2.74118,0.034,-2.12694,0.034,All
-2.74012,0.0341429,-2.12671,0.0341429,All
-2.73969,0.0342857,-2.12671,0.0342857,All
-2.7392,0.0344286,-2.12353,0.0344286,All
-2.73814,0.0345714,-2.12314,0.0345714,All
-2.73705,0.0347143,-2.12314,0.0347143,All
-2.73686,0.0348571,-2.12273,0.0348571,All
-2.73531,0.035,-2.12273,0.035,All
-2.73384,0.0351429,-2.12002,0.0351429,All
-2.73354,0.0352857,-2.11865,0.0352857,All
-2.733,0.0354286,-2.11731,0.0354286,All
-2.73275,0.0355714,-2.11715,0.0355714,All
-2.73275,0.0357143,-2.11476,0.0357143,All
-2.73215,0.0358571,-2.11476,0.0358571,All
-2.73141,0.036,-2.11232,0.036,All
-2.73016,0.0361429,-2.10902,0.0361429,All
-2.72678,0.0362857,-2.10902,0.0362857,All
-2.72427,0.0364286,-2.10772,0.0364286,All
-2.72392,0.0365714,-2.10772,0.0365714,All
-2.72322,0.0367143,-2.10761,0.0367143,All
-2.72317,0.0368571,-2.10761,0.0368571,All
-2.72211,0.037,-2.10755,0.037,All
-2.72211,0.0371429,-2.10434,0.0371429,All
-2.72078,0.0372857,-2.10384,0.0372857,All
-2.72037,0.0374286,-2.10339,0.0374286,All
-2.71967,0.0375714,-2.10069,0.0375714,All
-2.71898,0.0377143,-2.09146,0.0377143,All
-2.71841,0.0378571,-2.09064,0.0378571,All
-2.71755,0.038,-2.08981,0.038,All
-2.71745,0.0381429,-2.08886,0.0381429,All
-2.71722,0.0382857,-2.08418,0.0382857,All
-2.71481,0.0384286,-2.06837,0.0384286,All
-2.71245,0.0385714,-2.06676,0.0385714,All
-2.71155,0.0387143,-2.06512,0.0387143,All
-2.71127,0.0388571,-2.06172,0.0388571,All
-2.71039,0.039,-2.05637,0.039,All
-2.71025,0.0391429,-2.05617,0.0391429,All
-2.70911,0.0392857,-2.05617,0.0392857,All
-2.70911,0.0394286,-2.05617,0.0394286,All
-2.70905,0.0395714,-2.05617,0.0395714,All
-2.70584,0.0397143,-2.05498,0.0397143,All
-2.70302,0.0398571,-2.05416,0.0398571,All
-2.70292,0.04,-2.05301,0.04,All
-2.70288,0.0401429,-2.05279,0.0401429,All
-2.70242,0.0402857,-2.05279,0.0402857,All
-2.70241,0.0404286,-2.05279,0.0404286,All
-2.70197,0.0405714,-2.05115,0.0405714,All
-2.7016,0.0407143,-2.05115,0.0407143,All
-2.7016,0.0408571,-2.05115,0.0408571,All
-2.70068,0.041,-2.05093,0.041,All
-2.69962,0.0411429,-2.05057,0.0411429,All
-2.6992,0.0412857,-2.05057,0.0412857,All
-2.69795,0.0414286,-2.05057,0.0414286,All
-2.69795,0.0415714,-2.05057,0.0415714,All
-2.69679,0.0417143,-2.05057,0.0417143,All
-2.69649,0.0418571,-2.05057,0.0418571,All
-2.69444,0.042,-2.05057,0.042,All
-2.69359,0.0421429,-2.05029,0.0421429,All
-2.69344,0.0422857,-2.04649,0.0422857,All
-2.68989,0.0424286,-2.04579,0.0424286,All
-2.68921,0.0425714,-2.04472,0.0425714,All
-2.68921,0.0427143,-2.04086,0.0427143,All
-2.6875,0.0428571,-2.03979,0.0428571,All
-2.68531,0.043,-2.03979,0.043,All
-2.68259,0.0431429,-2.03264,0.0431429,All
-2.68161,0.0432857,-2.03047,0.0432857,All
-2.68037,0.0434286,-2.02282,0.0434286,All
-2.67905,0.0435714,-2.02251,0.0435714,All
-2.67839,0.0437143,-2.02251,0.0437143,All
-2.67741,0.0438571,-2.01954,0.0438571,All
-2.6774,0.044,-2.01894,0.044,All
-2.67579,0.0441429,-2.01531,0.0441429,All
-2.67575,0.0442857,-2.01104,0.0442857,All
-2.67348,0.0444286,-2.01052,0.0444286,All
-2.67155,0.0445714,-2.00728,0.0445714,All
-2.66968,0.0447143,-2.00294,0.0447143,All
-2.6695,0.0448571,-2.00294,0.0448571,All
-2.66765,0.045,-2.00122,0.045,All
-2.66501,0.0451429,-2.00016,0.0451429,All
-2.66444,0.0452857,-2.00016,0.0452857,All
-2.6624,0.0454286,-2.00016,0.0454286,All
-2.6604,0.0455714,-2.00016,0.0455714,All
-2.65926,0.0457143,-2.00016,0.0457143,All
-2.65838,0.0458571,-1.99489,0.0458571,All
-2.65468,0.046,-1.98975,0.046,All
-2.6543,0.0461429,-1.98975,0.0461429,All
-2.6543,0.0462857,-1.98975,0.0462857,All
-2.65327,0.0464286,-1.98475,0.0464286,All
-2.65276,0.0465714,-1.98475,0.0465714,All
-2.65266,0.0467143,-1.98418,0.0467143,All
-2.65187,0.0468571,-1.98418,0.0468571,All
-2.64992,0.047,-1.98418,0.047,All
-2.64972,0.0471429,-1.981,0.0471429,All
-2.64749,0.0472857,-1.97786,0.0472857,All
-2.64318,0.0474286,-1.97616,0.0474286,All
-2.643,0.0475714,-1.97125,0.0475714,All
-2.64296,0.0477143,-1.96916,0.0477143,All
-2.64072,0.0478571,-1.96616,0.0478571,All
-2.64042,0.048,-1.96387,0.048,All
-2.63942,0.0481429,-1.95887,0.0481429,All
-2.63942,0.0482857,-1.95887,0.0482857,All
-2.6393,0.0484286,-1.95503,0.0484286,All
-2.63924,0.0485714,-1.95415,0.0485714,All
-2.63856,0.0487143,-1.95313,0.0487143,All
-2.63807,0.0488571,-1.95202,0.0488571,All
-2.63801,0.049,-1.95174,0.049,All
-2.63529,0.0491429,-1.94562,0.0491429,All
-2.63425,0.0492857,-1.9407,0.0492857,All
-2.6337,0.0494286,-1.93983,0.0494286,All
-2.63157,0.0495714,-1.93983,0.0495714,All
-2.63118,0.0497143,-1.93798,0.0497143,All
-2.63043,0.0498571,-1.9375,0.0498571,All
-2.63025,0.05,-1.93672,0.05,All
-2.62995,0.0501429,-1.93138,0.0501429,All
-2.62995,0.0502857,-1.92231,0.0502857,All
-2.62699,0.0504286,-1.92158,0.0504286,All
-2.6269,0.0505714,-1.91813,0.0505714,All
-2.62672,0.0507143,-1.91719,0.0507143,All
-2.62509,0.0508571,-1.91719,0.0508571,All
-2.62273,0.051,-1.91191,0.051,All
-2.62273,0.0511429,-1.91113,0.0511429,All
-2.62157,0.0512857,-1.90613,0.0512857,All
-2.62144,0.0514286,-1.90613,0.0514286,All
-2.61948,0.0515714,-1.90613,0.0515714,All
-2.61924,0.0517143,-1.90613,0.0517143,All
-2.61922,0.0518571,-1.90613,0.0518571,All
-2.61901,0.052,-1.90613,0.052,All
-2.61741,0.0521429,-1.90613,0.0521429,All
-2.61682,0.0522857,-1.90269,0.0522857,All
-2.61512,0.0524286,-1.90026,0.0524286,All
-2.61512,0.0525714,-1.90026,0.0525714,All
-2.61512,0.0527143,-1.89883,0.0527143,All
-2.61485,0.0528571,-1.89762,0.0528571,All
-2.61388,0.053,-1.89762,0.053,All
-2.61335,0.0531429,-1.89593,0.0531429,All
-2.61317,0.0532857,-1.89561,0.0532857,All
-2.61179,0.0534286,-1.8949,0.0534286,All
-2.61158,0.0535714,-1.8923,0.0535714,All
-2.61143,0.0537143,-1.8923,0.0537143,All
-2.6089,0.0538571,-1.88715,0.0538571,All
-2.60887,0.054,-1.88634,0.054,All
-2.60887,0.0541429,-1.8863,0.0541429,All
-2.60663,0.0542857,-1.88355,0.0542857,All
-2.60663,0.0544286,-1.88355,0.0544286,All
-2.60565,0.0545714,-1.87881,0.0545714,All
-2.60565,0.0547143,-1.87881,0.0547143,All
-2.6046,0.0548571,-1.87841,0.0548571,All
-2.6023,0.055,-1.87177,0.055,All
-2.60172,0.0551429,-1.87073,0.0551429,All
-2.60005,0.0552857,-1.86985,0.0552857,All
-2.60005,0.0554286,-1.86966,0.0554286,All
-2.59948,0.0555714,-1.86843,0.0555714,All
-2.59608,0.0557143,-1.8649,0.0557143,All
-2.5956,0.0558571,-1.8649,0.0558571,All
-2.59272,0.056,-1.8649,0.056,All
-2.59272,0.0561429,-1.8649,0.0561429,All
-2.59153,0.0562857,-1.861,0.0562857,All
-2.59095,0.0564286,-1.861,0.0564286,All
-2.59028,0.0565714,-1.85642,0.0565714,All
-2.58967,0.0567143,-1.85642,0.0567143,All
-2.58967,0.0568571,-1.85642,0.0568571,All
-2.58936,0.057,-1.85239,0.057,All
-2.58873,0.0571429,-1.85239,0.0571429,All
-2.58868,0.0572857,-1.85239,0.0572857,All
-2.5871,0.0574286,-1.85237,0.0574286,All
-2.58497,0.0575714,-1.85237,0.0575714,All
-2.58421,0.0577143,-1.85237,0.0577143,All
-2.58395,0.0578571,-1.85196,0.0578571,All
-2.58223,0.058,-1.84314,0.058,All
-2.57941,0.0581429,-1.84108,0.0581429,All
-2.57835,0.0582857,-1.84108,0.0582857,All
-2.5778,0.0584286,-1.84105,0.0584286,All
-2.57696,0.0585714,-1.84105,0.0585714,All
-2.57317,0.0587143,-1.84081,0.0587143,All
-2.57284,0.0588571,-1.83889,0.0588571,All
-2.57248,0.059,-1.83889,0.059,All
-2.57086,0.0591429,-1.83863,0.0591429,All
-2.57009,0.0592857,-1.83599,0.0592857,All
-2.56701,0.0594286,-1.83548,0.0594286,All
-2.56395,0.0595714,-1.83548,0.0595714,All
-2.55805,0.0597143,-1.83286,0.0597143,All
-2.55711,0.0598571,-1.83246,0.0598571,All
-2.55695,0.06,-1.83046,0.06,All
-2.55516,0.0601429,-1.82797,0.0601429,All
-2.5547,0.0602857,-1.82797,0.0602857,All
-2.55162,0.0604286,-1.82768,0.0604286,All
-2.55017,0.0605714,-1.82607,0.0605714,All
-2.54991,0.0607143,-1.82607,0.0607143,All
-2.54588,0.0608571,-1.82315,0.0608571,All
-2.54569,0.061,-1.82314,0.061,All
-2.5456,0.0611429,-1.82314,0.0611429,All
-2.54415,0.0612857,-1.81833,0.0612857,All
-2.54148,0.0614286,-1.81774,0.0614286,All
-2.54097,0.0615714,-1.81639,0.0615714,All
-2.5407,0.0617143,-1.81005,0.0617143,All
-2.53954,0.0618571,-1.80612,0.0618571,All
-2.5395,0.062,-1.80458,0.062,All
-2.5395,0.0621429,-1.80458,0.0621429,All
-2.53877,0.0622857,-1.80437,0.0622857,All
-2.53787,0.0624286,-1.79887,0.0624286,All
-2.53787,0.0625714,-1.79832,0.0625714,All
-2.53731,0.0627143,-1.7946,0.0627143,All
-2.53557,0.0628571,-1.7946,0.0628571,All
-2.53492,0.063,-1.79035,0.063,All
-2.53492,0.0631429,-1.79035,0.0631429,All
-2.53099,0.0632857,-1.78964,0.0632857,All
-2.5266,0.0634286,-1.78649,0.0634286,All
-2.52563,0.0635714,-1.78436,0.0635714,All
-2.52502,0.0637143,-1.78436,0.0637143,All
-2.52384,0.0638571,-1.78311,0.0638571,All
-2.52325,0.064,-1.78054,0.064,All
-2.52175,0.0641429,-1.77903,0.0641429,All
-2.52003,0.0642857,-1.77896,0.0642857,All
-2.51967,0.0644286,-1.77148,0.0644286,All
-2.5166,0.0645714,-1.76749,0.0645714,All
-2.51507,0.0647143,-1.76749,0.0647143,All
-2.51491,0.0648571,-1.76687,0.0648571,All
-2.50822,0.065,-1.75328,0.065,All
-2.50412,0.0651429,-1.75231,0.0651429,All
-2.50412,0.0652857,-1.75216,0.0652857,All
-2.50031,0.0654286,-1.75216,0.0654286,All
-2.49957,0.0655714,-1.75029,0.0655714,All
-2.4928,0.0657143,-1.74594,0.0657143,All
-2.48875,0.0658571,-1.74206,0.0658571,All
-2.48831,0.066,-1.73838,0.066,All
-2.48548,0.0661429,-1.73757,0.0661429,All
-2.48506,0.0662857,-1.73387,0.0662857,All
-2.47839,0.0664286,-1.73387,0.0664286,All
-2.47786,0.0665714,-1.73387,0.0665714,All
-2.47537,0.0667143,-1.73387,0.0667143,All
-2.47033,0.0668571,-1.73307,0.0668571,All
-2.47033,0.067,-1.73162,0.067,All
-2.46958,0.0671429,-1.72927,0.0671429,All
-2.46919,0.0672857,-1.72848,0.0672857,All
-2.46199,0.0674286,-1.72658,0.0674286,All
-2.45991,0.0675714,-1.72617,0.0675714,All
-2.45783,0.0677143,-1.72179,0.0677143,All
-2.45775,0.0678571,-1.71979,0.0678571,All
-2.45652,0.068,-1.71979,0.068,All
-2.4532,0.0681429,-1.71979,0.0681429,All
-2.45258,0.0682857,-1.71774,0.0682857,All
-2.44665,0.0684286,-1.71626,0.0684286,All
-2.44354,0.0685714,-1.70623,0.0685714,All
-2.4427,0.0687143,-1.70553,0.0687143,All
-2.43975,0.0688571,-1.70099,0.0688571,All
-2.43753,0.069,-1.69803,0.069,All
-2.42283,0.0691429,-1.69428,0.0691429,All
-2.42084,0.0692857,-1.69428,0.0692857,All
-2.41882,0.0694286,-1.69287,0.0694286,All
-2.41684,0.0695714,-1.69262,0.0695714,All
-2.41478,0.0697143,-1.69126,0.0697143,All
-2.41416,0.0698571,-1.688,0.0698571,All
-2.41229,0.07,-1.68131,0.07,All
-2.40933,0.0701429,-1.67821,0.0701429,All
-2.40857,0.0702857,-1.67636,0.0702857,All
-2.4076,0.0704286,-1.67483,0.0704286,All
-2.40461,0.0705714,-1.67162,0.0705714,All
-2.35772,0.0707143,-1.6692,0.0707143,All
-2.35559,0.0708571,-1.6692,0.0708571,All
-2.35333,0.071,-1.6692,0.071,All
-2.35008,0.0711429,-1.6692,0.0711429,All
-2.33519,0.0712857,-1.66613,0.0712857,All
-2.31532,0.0714286,-1.66613,0.0714286,All
-2.00728,0.0715714,-1.66231,0.0715714,All
-1.98771,0.0717143,-1.65905,0.0717143,All
-1.93232,0.0718571,-1.65905,0.0718571,All
-1.85297,0.072,-1.65461,0.072,All
-1.82655,0.0721429,-1.65368,0.0721429,All
-1.79461,0.0722857,-1.65081,0.0722857,All
-1.79461,0.0724286,-1.64986,0.0724286,All
-1.79397,0.0725714,-1.64986,0.0725714,All
-1.78778,0.0727143,-1.64808,0.0727143,All
-1.77751,0.0728571,-1.64671,0.0728571,All
-1.77708,0.073,-1.64671,0.073,All
-1.77708,0.0731429,-1.63869,0.0731429,All
-1.77403,0.0732857,-1.63671,0.0732857,All
-1.7719,0.0734286,-1.63367,0.0734286,All
-1.76323,0.0735714,-1.63367,0.0735714,All
-1.76323,0.0737143,-1.63367,0.0737143,All
-1.76323,0.0738571,-1.63367,0.0738571,All
-1.75015,0.074,-1.63367,0.074,All
-1.74715,0.0741429,-1.63334,0.0741429,All
-1.74245,0.0742857,-1.6332,0.0742857,All
-1.73076,0.0744286,-1.6332,0.0744286,All
-1.72877,0.0745714,-1.6332,0.0745714,All
-1.72123,0.0747143,-1.62989,0.0747143,All
-1.71775,0.0748571,-1.62989,0.0748571,All
-1.71775,0.075,-1.62937,0.075,All
-1.71698,0.0751429,-1.6286,0.0751429,All
-1.71698,0.0752857,-1.62632,0.0752857,All
-1.71196,0.0754286,-1.62632,0.0754286,All
-1.71196,0.0755714,-1.62632,0.0755714,All
-1.70964,0.0757143,-1.622,0.0757143,All
-1.70674,0.0758571,-1.61907,0.0758571,All
-1.69393,0.076,-1.61581,0.076,All
-1.68988,0.0761429,-1.61219,0.0761429,All
-1.68921,0.0762857,-1.60465,0.0762857,All
-1.68796,0.0764286,-1.60232,0.0764286,All
-1.68634,0.0765714,-1.59614,0.0765714,All
-1.68411,0.0767143,-1.59614,0.0767143,All
-1.68411,0.0768571,-1.595,0.0768571,All
-1.68157,0.077,-1.59248,0.077,All
-1.68091,0.0771429,-1.58482,0.0771429,All
-1.68091,0.0772857,-1.57993,0.0772857,All
-1.68021,0.0774286,-1.57993,0.0774286,All
-1.68021,0.0775714,-1.57911,0.0775714,All
-1.68021,0.0777143,-1.57602,0.0777143,All
-1.67744,0.0778571,-1.57404,0.0778571,All
-1.67727,0.078,-1.57404,0.078,All
