iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCRMLMIN,V1_pop,Q_pop,V2_pop,bias_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
38,816.137,1,5.92795,0.605257,33.3754,4.96844,39.9621,0.268,0.580735,0.580735,1.38844,0.580735,0.999,0.580735,0.580735
39,813.984,1,5.84213,0.531898,30.1383,4.6129,35.8762,0.268,0.56603,0.56603,1.35329,0.56603,0.999,0.56603,0.56603
40,803.041,1,5.97151,0.528552,29.4287,5.56565,35.2345,0.268,0.551698,0.551698,1.31902,0.551698,0.999,0.551698,0.551698
41,790.828,1,5.93483,0.553313,30.8116,4.9709,36.8432,0.268,0.537729,0.537729,1.28562,0.537729,0.999,0.537729,0.537729
42,784.566,1,6.16285,0.661141,30.9951,6.22846,36.9888,0.268,0.524113,0.524113,1.25825,0.524113,0.999,0.524113,0.524113
43,772.111,1,6.18139,0.517434,30.6644,6.55943,36.4199,0.268,0.510842,0.510842,1.22639,0.510842,0.999,0.510842,0.510842
44,758.114,1,6.19102,0.39317,28.4476,7.90889,33.7728,0.268,0.497908,0.497908,1.19534,0.497908,0.999,0.497908,0.497908
45,741.904,1,6.06406,0.675734,27.8776,8.22807,33.1063,0.268,0.4853,0.4853,1.16507,0.4853,0.999,0.4853,0.4853
46,728.935,1,6.07244,0.617448,27.4078,8.32594,32.5019,0.268,0.473012,0.473012,1.13557,0.473012,0.999,0.473012,0.473012
47,715.289,1,6.2023,0.466772,26.6985,8.786,31.6365,0.268,0.461035,0.461035,1.10682,0.461035,0.999,0.461035,0.461035
48,697.379,1,6.04696,0.430499,25.6863,8.66613,30.4815,0.268,0.449362,0.449362,1.07879,0.449362,0.999,0.449362,0.449362
49,702.08,1,6.05398,0.427656,25.0171,9.05804,29.6848,0.268,0.437984,0.437984,1.05148,0.437984,0.999,0.437984,0.437984
50,694.325,1,5.99675,0.526942,25.298,9.07923,30.1428,0.268,0.426894,0.426894,1.02485,0.426894,0.999,0.426894,0.426894
51,686.798,1,5.99294,0.42545,24.5676,8.53594,29.3824,0.268,0.416084,0.416084,0.998901,0.416084,0.999,0.416084,0.416084
52,664.443,1,6.02799,0.504274,24.8003,8.65531,29.6354,0.268,0.405549,0.405549,0.973609,0.405549,0.999,0.405549,0.405549
53,661.953,1,5.99109,0.45426,24.8169,9.78442,29.7101,0.268,0.39528,0.39528,0.948956,0.39528,0.999,0.39528,0.39528
54,645.353,1,6.01153,0.505528,24.219,9.37334,28.9877,0.268,0.385271,0.385271,0.924928,0.385271,0.999,0.385271,0.385271
55,639.192,1,6.14213,0.454638,24.5261,9.3803,29.3813,0.268,0.375516,0.375516,0.901508,0.375516,0.999,0.375516,0.375516
56,634.864,1,6.19106,0.489803,24.5319,11.1004,29.3021,0.268,0.366008,0.366008,0.920693,0.366008,0.999,0.366008,0.366008
57,625.704,1,6.08152,0.487696,24.4438,10.3286,29.1984,0.268,0.35674,0.35674,0.899032,0.35674,0.999,0.35674,0.35674
58,612.815,1,6.20218,0.59491,24.8316,9.57322,29.7058,0.268,0.347707,0.347707,0.876268,0.347707,0.999,0.347707,0.347707
59,604.338,1,6.04825,0.543356,23.5412,10.2975,28.1279,0.268,0.338903,0.344292,0.85408,0.345081,0.999,0.338903,0.338903
60,601.389,1,6.1395,0.389871,24.4955,9.91198,29.3207,0.268,0.330322,0.335575,0.832454,0.336344,0.999,0.330322,0.330322
61,588.041,1,6.16117,0.522991,24.7176,10.1438,29.6473,0.268,0.321958,0.327078,0.811376,0.327827,0.999,0.321958,0.321958
62,580.558,1,6.09819,0.506978,25.0689,9.07953,30.0879,0.268,0.313806,0.318796,0.790832,0.319526,0.999,0.313806,0.313806
63,568.887,1,5.94495,0.391908,25.6537,7.8345,30.7792,0.268,0.30586,0.310724,0.770807,0.311436,0.999,0.30586,0.30586
64,562.096,1,6.14152,0.42622,26.5454,7.93391,31.7221,0.268,0.298116,0.302856,0.75129,0.30355,0.999,0.298116,0.298116
65,553.342,1,6.19573,0.404966,25.5076,8.58869,30.3905,0.268,0.290567,0.295188,0.732267,0.295864,0.999,0.290567,0.290567
66,538.932,1,6.21023,0.453975,25.1335,8.28682,29.8893,0.268,0.28321,0.287713,0.713726,0.288373,0.999,0.28321,0.28321
67,534.58,1,6.12442,0.357247,25.4742,7.86385,30.3104,0.268,0.276039,0.280428,0.716224,0.281071,0.999,0.276039,0.276039
68,534.419,1,6.17448,0.357034,25.2617,8.06129,29.952,0.268,0.269049,0.273328,0.698088,0.273954,0.999,0.269049,0.269049
69,528.385,1,6.25643,0.437206,25.0337,8.39858,29.7307,0.268,0.262237,0.266407,0.680412,0.267017,0.999,0.262237,0.262237
70,525.733,1,6.18021,0.549915,25.231,7.58184,29.94,0.268,0.255597,0.259661,0.663184,0.260256,0.999,0.255597,0.255597
71,515.588,1,6.18602,0.474805,25.3292,7.66915,30.1143,0.268,0.249125,0.25327,0.646392,0.256569,0.999,0.249125,0.249125
72,515.065,1,6.16357,0.477418,24.2733,7.63194,28.7997,0.268,0.242817,0.246857,0.630025,0.250226,0.999,0.242817,0.242817
73,503.491,1,6.08037,0.400629,24.6556,8.3297,29.3063,0.268,0.236669,0.24422,0.614072,0.246346,0.999,0.236669,0.236669
74,496.954,1,6.04359,0.437119,24.5257,7.65448,29.1262,0.268,0.230676,0.246865,0.598524,0.247485,0.999,0.230676,0.230676
75,496.467,1,6.14887,0.444582,24.6605,8.45729,29.3409,0.268,0.224835,0.240615,0.583369,0.241219,0.999,0.224835,0.224835
76,496.078,1,6.27856,0.50383,24.9007,8.28064,29.5902,0.268,0.219142,0.257201,0.568597,0.25887,0.999,0.233276,0.219142
77,500.952,1,6.23088,0.543738,24.9078,7.36065,29.6492,0.268,0.213594,0.260217,0.5542,0.260807,0.999,0.236685,0.213594
78,491.138,1,6.27445,0.500136,24.8277,7.3481,29.5713,0.268,0.208185,0.260626,0.540168,0.262839,0.999,0.251312,0.208185
79,489.082,1,6.18979,0.477953,25.3117,7.20055,30.133,0.268,0.202914,0.254027,0.52649,0.256184,0.999,0.250617,0.202914
80,486.684,1,6.23483,0.489941,24.8729,7.81857,29.6132,0.268,0.197776,0.247595,0.513159,0.249697,0.999,0.260584,0.197776
81,485.24,1,6.25461,0.528919,25.3738,7.97102,30.2141,0.268,0.192768,0.251936,0.500166,0.251854,0.999,0.25572,0.192768
82,483.326,1,6.29795,0.542381,25.5491,7.34436,30.4128,0.268,0.187887,0.247057,0.487501,0.246833,0.999,0.25791,0.187887
83,473.311,1,6.33291,0.543076,25.4733,7.48132,30.2955,0.268,0.189925,0.245093,0.475157,0.242336,0.999,0.257725,0.18313
84,474.54,1,6.31954,0.565731,25.1398,7.96899,29.9225,0.268,0.195932,0.25225,0.463126,0.248809,0.999,0.26625,0.178493
85,478.262,1,6.39163,0.541276,24.9248,8.30249,29.6405,0.268,0.190971,0.245863,0.45741,0.242509,0.999,0.27499,0.173973
86,463.176,1,6.32838,0.516787,25.1041,7.98697,29.942,0.268,0.187724,0.239638,0.452193,0.236368,0.999,0.268027,0.169568
87,470.502,1,6.31761,0.590071,24.8525,8.47875,29.5746,0.268,0.192097,0.23357,0.481973,0.230383,0.999,0.27241,0.165275
88,459.45,1,6.32695,0.542396,24.9157,7.55152,29.7062,0.268,0.187233,0.227656,0.469769,0.22455,0.999,0.285515,0.16109
89,453.827,1,6.3268,0.552971,24.8166,8.04694,29.5537,0.268,0.185486,0.221891,0.457874,0.218864,0.999,0.278439,0.157011
90,436.609,1,6.35782,0.58778,25.1031,7.53746,29.8909,0.268,0.182099,0.216273,0.446281,0.213322,0.999,0.281261,0.153035
91,438.069,1,6.43244,0.571995,25.1707,7.51437,29.9474,0.268,0.178358,0.210797,0.495003,0.207921,0.999,0.291908,0.14916
92,443.682,1,6.43979,0.549641,25.1784,7.77213,29.938,0.268,0.187738,0.205459,0.489994,0.202656,0.999,0.293423,0.145384
93,434.64,1,6.44285,0.570911,24.9066,7.53916,29.6595,0.268,0.193062,0.200257,0.477587,0.197525,0.999,0.307874,0.141702
94,445.446,1,6.43673,0.58942,25.1864,7.75965,30.0016,0.268,0.188174,0.20141,0.555536,0.19699,0.999,0.303768,0.138114
95,438.249,1,6.39952,0.626684,24.8147,7.27616,29.5977,0.268,0.193604,0.199213,0.569613,0.196021,0.999,0.307241,0.134617
96,432.036,1,6.3871,0.600767,25.2269,6.65964,30.0489,0.268,0.188702,0.209436,0.55519,0.205303,0.999,0.320361,0.131209
97,431.149,1,6.46403,0.633009,25.2387,7.06425,30.113,0.268,0.188671,0.216691,0.552238,0.211758,0.999,0.327008,0.127886
98,429.116,1,6.51709,0.6119,25.1581,7.03007,30.007,0.268,0.189375,0.211204,0.538255,0.206396,0.999,0.324858,0.124648
99,431.091,1,6.45641,0.608195,25.1187,7.431,29.8688,0.268,0.188251,0.205857,0.552889,0.20117,0.999,0.316632,0.121492
100,423.098,1,6.53486,0.6314,25.5458,7.22681,30.4178,0.268,0.187652,0.200797,0.53889,0.196076,0.999,0.323006,0.118416
101,419.12,1,6.5086,0.651631,25.4656,6.82189,30.3563,0.268,0.195857,0.195712,0.525245,0.191111,0.999,0.327984,0.115417
102,418.563,1,6.50771,0.639241,25.6036,6.9554,30.5376,0.268,0.190898,0.195207,0.535592,0.189499,0.999,0.325055,0.112495
103,411.727,1,6.51606,0.637477,25.2528,6.99723,30.057,0.268,0.186064,0.195655,0.558761,0.188798,0.999,0.332986,0.109647
104,408.432,1,6.49824,0.596259,25.1212,7.3337,29.9178,0.268,0.18337,0.195717,0.550483,0.189462,0.999,0.326786,0.10687
105,405.15,1,6.50025,0.589282,24.9721,7.70558,29.682,0.268,0.194085,0.192281,0.536545,0.184664,0.999,0.331349,0.104164
106,420.293,1,6.54978,0.594533,25.2101,7.97518,29.9442,0.268,0.201059,0.193975,0.571667,0.185829,0.999,0.338758,0.101527
107,403.07,1,6.57166,0.588205,25.2836,7.61165,30.0183,0.268,0.195968,0.199188,0.598058,0.189199,0.999,0.33458,0.098956
108,401.801,1,6.56902,0.629601,25.1574,7.98258,29.866,0.268,0.191109,0.194784,0.582914,0.185671,0.999,0.340614,0.0964504
109,402.541,1,6.5975,0.601064,25.3299,7.83356,30.0653,0.268,0.189857,0.196826,0.591734,0.186137,0.999,0.344272,0.0940082
110,405.332,1,6.53855,0.635681,25.3803,7.20927,30.1094,0.268,0.19847,0.20155,0.576751,0.18952,0.999,0.33712,0.0916279
111,391.675,1,6.56156,0.614348,25.4652,7.94678,30.1652,0.268,0.203035,0.198165,0.611788,0.187464,0.999,0.341191,0.0893078
112,387.332,1,6.59425,0.650103,25.3859,7.70727,30.0416,0.268,0.209285,0.193147,0.632449,0.182717,0.999,0.347962,0.0870465
113,393.45,1,6.58731,0.662112,25.4562,8.13279,30.1217,0.268,0.21192,0.194932,0.687434,0.184415,0.999,0.342562,0.0848424
114,392.792,1,6.59834,0.62746,25.4533,7.89405,30.1135,0.268,0.206554,0.19606,0.74056,0.185417,0.999,0.347679,0.0826942
115,390.077,1,6.54769,0.649281,25.5589,7.80718,30.2574,0.268,0.206598,0.196866,0.735658,0.186764,0.999,0.341266,0.0806003
116,397.62,1,6.52591,0.628735,25.0946,8.08834,29.728,0.268,0.205443,0.193477,0.768448,0.185024,0.999,0.338183,0.0793724
117,392.21,1,6.5529,0.620517,25.2569,7.98148,29.8586,0.268,0.200241,0.19771,0.809812,0.187843,0.999,0.340228,0.0780502
118,377.132,1,6.53744,0.594311,25.3101,7.93997,29.9005,0.268,0.201842,0.198118,0.789307,0.188396,0.999,0.340249,0.0760739
119,371.894,1,6.55562,0.629608,25.3901,7.61997,30.0369,0.268,0.205151,0.200235,0.769322,0.192091,0.999,0.348915,0.0741477
120,379.605,1,6.5825,0.645332,25.4618,7.8903,30.1244,0.268,0.199956,0.20589,0.749842,0.197298,0.999,0.344576,0.0735678
121,384.479,1,6.57319,0.637216,25.6241,7.72108,30.265,0.268,0.198642,0.204335,0.730856,0.194685,0.999,0.345591,0.0745258
122,380.958,1,6.60511,0.632458,25.6754,7.74197,30.2379,0.268,0.199429,0.205597,0.71235,0.196184,0.999,0.349791,0.0746088
123,385.77,1,6.61481,0.669651,25.7661,8.12078,30.3402,0.268,0.205124,0.212106,0.771092,0.201233,0.999,0.354717,0.0727197
124,382.999,1,6.60367,0.674776,25.6027,8.02837,30.1262,0.268,0.211976,0.210644,0.751568,0.201304,0.999,0.35105,0.0711214
125,382.714,1,6.57723,0.670638,25.5813,7.80221,30.1085,0.268,0.210808,0.212645,0.732556,0.204723,0.999,0.34834,0.0711265
126,381.092,1,6.59443,0.646893,25.5308,8.02978,30.0422,0.268,0.207638,0.213935,0.729157,0.207761,0.999,0.3479,0.0710362
127,377.953,1,6.61612,0.637928,25.6265,7.43532,30.1497,0.268,0.209743,0.216959,0.710694,0.214021,0.999,0.355906,0.0692376
128,375.608,1,6.59734,0.63632,25.411,7.68516,29.9014,0.268,0.204432,0.215932,0.692699,0.213523,0.999,0.351162,0.0694066
129,383.88,1,6.58324,0.660919,25.2945,7.7089,29.7418,0.268,0.209234,0.218801,0.67516,0.215248,0.999,0.349316,0.0703274
130,388.034,1,6.60331,0.652766,25.2876,8.10942,29.7167,0.268,0.208745,0.222481,0.746951,0.216493,0.999,0.348866,0.0717059
131,370.856,1,6.61779,0.614517,25.281,8.15201,29.7839,0.268,0.203459,0.223956,0.741531,0.218088,0.999,0.350284,0.0698903
132,375.204,1,6.6344,0.621048,25.015,8.40794,29.5064,0.268,0.211814,0.223431,0.755974,0.217512,0.999,0.353307,0.0681206
133,371.959,1,6.61029,0.625825,24.9494,8.14659,29.4428,0.268,0.209871,0.222262,0.736832,0.217204,0.999,0.353428,0.0666993
134,380.203,1,6.59143,0.626937,24.9817,7.7135,29.4581,0.268,0.204557,0.218777,0.718175,0.21395,0.999,0.348913,0.0692305
135,384.077,1,6.57677,0.645926,25.0419,7.60793,29.547,0.268,0.208556,0.21417,0.826249,0.20856,0.999,0.352903,0.0712946
136,377.878,1,6.58507,0.643702,25.243,7.98712,29.8079,0.268,0.207005,0.210917,0.805328,0.206702,0.999,0.352476,0.0694894
137,379.736,1,6.56407,0.632188,25.238,7.79332,29.8036,0.268,0.206915,0.212315,0.784937,0.208031,0.999,0.348962,0.0682992
138,383.47,1,6.55894,0.640964,25.2546,7.77839,29.8361,0.268,0.205706,0.212705,0.765062,0.2076,0.999,0.351802,0.0715961
139,379.129,1,6.55747,0.602787,25.4923,8.02657,30.0876,0.268,0.208927,0.213368,0.803774,0.208603,0.999,0.349261,0.0697833
140,373.426,1,6.60018,0.593195,25.3224,7.87164,29.8989,0.268,0.203637,0.214239,0.783422,0.208175,0.999,0.346672,0.0697392
141,365.405,1,6.58444,0.597269,25.326,7.70464,29.8898,0.268,0.209129,0.214602,0.763586,0.20807,0.999,0.348721,0.0679734
142,374.224,1,6.5834,0.599134,25.1644,7.38428,29.7867,0.268,0.203834,0.213108,0.779075,0.206432,0.999,0.346863,0.0684561
143,382.38,1,6.58952,0.631977,25.1023,7.4646,29.6841,0.268,0.206225,0.22169,0.759349,0.215328,0.999,0.351535,0.0703359
144,379.194,1,6.61193,0.612469,25.6208,7.78565,30.2746,0.268,0.208431,0.220799,0.740122,0.215024,0.999,0.349733,0.0696532
145,377.511,1,6.57482,0.623392,25.7034,7.76738,30.3241,0.268,0.217395,0.219223,0.721381,0.214067,0.999,0.349602,0.069896
146,381.336,1,6.6031,0.614078,25.6442,7.90378,30.3305,0.268,0.21318,0.215653,0.703115,0.210254,0.999,0.349029,0.0704257
147,376.475,1,6.61038,0.603886,25.9053,7.95094,30.5663,0.268,0.21608,0.213325,0.73023,0.206903,0.999,0.348528,0.0700212
148,373.881,1,6.5903,0.596898,26.0198,7.4362,30.7584,0.268,0.210609,0.21488,0.711741,0.207971,0.999,0.344019,0.0709819
149,379.825,1,6.6024,0.642596,25.9835,7.78919,30.7014,0.268,0.212757,0.217411,0.693719,0.209217,0.999,0.345547,0.0707977
150,379.845,1,6.58746,0.616341,25.9618,7.46779,30.6825,0.268,0.216979,0.220089,0.676154,0.211378,0.999,0.350272,0.0691849
151,382.884,1,6.61013,0.611627,25.6138,8.0519,30.3155,0.268,0.211485,0.222035,0.747662,0.212415,0.999,0.351964,0.067998
152,379.24,1,6.60701,0.614515,25.534,8.11842,30.2169,0.268,0.20613,0.221068,0.72873,0.212912,0.999,0.347236,0.0696252
153,373.022,1,6.59682,0.606431,25.601,8.01761,30.2752,0.268,0.208236,0.218849,0.718017,0.210563,0.999,0.34883,0.0685397
154,383.732,1,6.64298,0.627885,25.8214,7.60687,30.4986,0.268,0.204024,0.219874,0.699836,0.21423,0.999,0.347902,0.0717353
155,386.42,1,6.66791,0.624041,25.8216,8.09603,30.418,0.268,0.213483,0.21958,0.707762,0.215496,0.999,0.355897,0.0699189
156,372.08,1,6.64123,0.629989,25.8515,7.8994,30.4406,0.268,0.208077,0.220242,0.689841,0.21602,0.999,0.350027,0.0685911
157,376.412,1,6.63003,0.651662,25.649,7.55599,30.2542,0.268,0.211506,0.216266,0.672374,0.211123,0.999,0.355451,0.0686282
158,373.769,1,6.64275,0.654459,25.9602,7.78062,30.582,0.268,0.216857,0.221223,0.709071,0.215093,0.999,0.35561,0.0668905
159,373.489,1,6.62224,0.631297,26.1692,7.49367,30.8616,0.268,0.214493,0.223854,0.691117,0.215592,0.999,0.352782,0.0682935
160,371.875,1,6.64757,0.628671,26.4007,7.22586,31.1398,0.268,0.211781,0.224982,0.673618,0.218507,0.999,0.354747,0.0670827
161,373.515,1,6.62252,0.626846,26.3667,7.14683,31.1499,0.268,0.215858,0.229382,0.656561,0.222354,0.999,0.356979,0.0679297
162,378.305,1,6.59096,0.61479,26.365,7.2287,31.0621,0.268,0.21363,0.230956,0.672236,0.224875,0.999,0.351056,0.0677847
163,383.686,1,6.58452,0.597962,26.4141,6.53789,31.1438,0.268,0.211606,0.234286,0.659563,0.228913,0.999,0.351647,0.0702386
164,371.517,1,6.61435,0.622331,26.5498,6.83975,31.3645,0.268,0.206248,0.23531,0.692172,0.23029,0.999,0.354636,0.0684601
165,370.971,1,6.6167,0.624361,26.4661,7.06818,31.3022,0.268,0.208071,0.235357,0.706836,0.231009,0.999,0.352446,0.0667267
166,365.096,1,6.599,0.625859,26.5347,7.13854,31.3785,0.268,0.207461,0.232321,0.72313,0.227857,0.999,0.350485,0.0650371
167,375.646,1,6.59365,0.645795,26.4766,7.08818,31.2975,0.268,0.207338,0.234321,0.724323,0.229617,0.999,0.354831,0.0674459
168,373.891,1,6.55033,0.643438,26.411,6.996,31.1646,0.268,0.210127,0.229971,0.742282,0.227003,0.999,0.347227,0.0683847
169,378.557,1,6.63227,0.641167,26.4823,6.90899,31.2476,0.268,0.209783,0.229536,0.723487,0.227839,0.999,0.35608,0.0669793
170,384.66,1,6.60252,0.657566,26.4507,6.98663,31.3292,0.268,0.208757,0.228466,0.705168,0.226697,0.999,0.350169,0.0689282
171,376.082,1,6.56533,0.619591,26.3404,7.3987,31.2389,0.268,0.213159,0.225726,0.745121,0.224721,0.999,0.348075,0.0677399
172,370.149,1,6.59339,0.630195,26.2195,7.2118,31.0935,0.268,0.212861,0.222086,0.735755,0.222325,0.999,0.355427,0.0660247
173,374.987,1,6.61196,0.621525,26.1569,7.10711,31.0188,0.268,0.210144,0.225505,0.782196,0.223798,0.999,0.349728,0.0689784
174,368.564,1,6.5693,0.629167,26.3407,6.78639,31.2344,0.268,0.207135,0.225311,0.762391,0.22187,0.999,0.34605,0.0672318
175,380.926,1,6.55791,0.64068,26.5122,6.7495,31.4426,0.268,0.208544,0.219606,0.743086,0.216252,0.999,0.351135,0.068478
176,384.773,1,6.57333,0.651321,26.3697,7.09357,31.3125,0.268,0.206625,0.220367,0.760913,0.216672,0.999,0.350021,0.0722663
177,370.591,1,6.56305,0.657084,26.2909,6.98269,31.2267,0.268,0.207497,0.225962,0.741646,0.221805,0.999,0.344014,0.0704365
178,379.357,1,6.5953,0.654988,26.0775,7.29629,31.0118,0.268,0.205969,0.223788,0.722867,0.218559,0.999,0.343616,0.0701852
179,372.78,1,6.607,0.64253,26.057,7.09292,31,0.268,0.20754,0.224833,0.704564,0.218776,0.999,0.34986,0.0684081
180,366.635,1,6.62758,0.64029,26.1788,7.33527,31.1827,0.268,0.210624,0.226614,0.686724,0.219661,0.999,0.355881,0.0666759
181,366.42,1,6.60458,0.635388,26.1007,7.19708,31.0312,0.268,0.215905,0.227411,0.669336,0.218465,0.999,0.360004,0.0649876
182,365.694,1,6.62418,0.644457,26.1106,7.50286,31.1511,0.268,0.210438,0.22488,0.711258,0.2165,0.999,0.354008,0.0649468
183,375.763,1,6.59472,0.656051,26.0615,7.46866,31.0624,0.268,0.215641,0.226333,0.693249,0.217292,0.999,0.35552,0.0657299
184,368.701,1,6.6179,0.652547,26.028,7.34304,31.0091,0.268,0.214836,0.226025,0.71692,0.216918,0.999,0.354421,0.0643556
185,367.395,1,6.61736,0.653225,25.9996,7.29422,30.9416,0.268,0.21119,0.224622,0.69981,0.217095,0.999,0.355028,0.0657835
186,363.399,1,6.60216,0.659897,25.9232,7.28054,30.8382,0.268,0.208692,0.225056,0.68209,0.217906,0.999,0.351889,0.0650219
187,361.407,1,6.56909,0.648156,26.1462,6.88469,31.0082,0.268,0.20556,0.226073,0.673862,0.217032,0.999,0.347615,0.0660451
188,370.734,1,6.606,0.662031,26.3203,6.95111,31.2238,0.268,0.20728,0.228261,0.683946,0.218025,0.999,0.353467,0.0655047
189,364.479,1,6.60361,0.629037,26.2627,6.97851,31.1657,0.268,0.205239,0.227351,0.66679,0.217831,0.999,0.348109,0.0644984
190,352.909,1,6.61283,0.645731,26.1883,7.06503,31.0866,0.268,0.204761,0.229512,0.674792,0.220095,0.999,0.34717,0.0628653
191,363.64,1,6.64982,0.657029,26.2727,8.02384,31.193,0.268,0.210301,0.230836,0.718647,0.223131,0.999,0.357095,0.0630407
192,356.964,1,6.62371,0.626664,26.205,7.71515,31.1072,0.268,0.208434,0.234252,0.700451,0.225991,0.999,0.356235,0.0626283
193,370.374,1,6.61808,0.627969,26.3139,7.44788,31.2527,0.268,0.20882,0.237226,0.682715,0.228312,0.999,0.357989,0.0651025
194,366.409,1,6.61463,0.634038,26.2777,7.24424,31.2074,0.268,0.206748,0.236919,0.665428,0.22747,0.999,0.35424,0.0651331
