iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_centeredCLCR,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,corr_V1_Cl,b
38,417.375,1,2.87692,0.563814,14.5707,11.488,20.5975,0.580735,0.636498,0.716117,0,0.0449671
39,419.075,1,2.93217,0.550756,15.1699,11.9514,20.5815,0.56603,0.620381,0.697984,0,0.0427187
40,412.181,1,2.77785,0.597388,15.3023,11.8146,21.0719,0.551698,0.604673,0.680311,0,0.0405828
41,398.004,1,2.81696,0.588314,15.731,11.5438,20.5121,0.537729,0.589362,0.663085,0,0.0385536
42,396.112,1,2.69399,0.628692,15.4904,12.4334,20.8887,0.524113,0.574439,0.646296,0,0.036626
43,392.372,1,2.80571,0.597372,15.6818,12.376,20.8398,0.510842,0.573377,0.629931,0,0.0355968
44,383.815,1,2.82076,0.596215,15.7415,11.8207,20.7584,0.497908,0.567292,0.613981,0,0.034522
45,376.115,1,2.85361,0.588793,16.2809,11.7662,20.9043,0.4853,0.552928,0.598434,0,0.033633
46,368.335,1,2.87548,0.579263,16.2014,11.3157,20.6267,0.473012,0.538928,0.583282,0,0.0328246
47,361.287,1,2.80406,0.59881,15.5331,11.7749,20.393,0.461035,0.566468,0.568513,0,0.0311833
48,356.668,1,2.6997,0.628664,15.6765,11.8396,20.409,0.449362,0.552125,0.554118,0,0.031075
49,355.768,1,2.71277,0.622952,15.531,11.4908,20.0383,0.437984,0.538145,0.540087,0,0.0307519
50,356.327,1,2.68382,0.632156,15.766,10.9216,20.0422,0.426894,0.536642,0.528284,0,0.0308
51,356.715,1,2.78167,0.603198,15.3546,11.1325,20.2222,0.416084,0.552891,0.514908,0,0.0311688
52,360.071,1,2.76291,0.608266,15.6084,11.3411,20.0208,0.405549,0.538891,0.517763,0,0.031761
53,357.165,1,2.67955,0.636197,15.4017,11.0609,20.0834,0.39528,0.566581,0.550546,0,0.0307733
54,365.675,1,2.80611,0.597796,16.2749,11.1473,20.405,0.385271,0.552235,0.570719,0,0.0322842
55,363.194,1,2.85101,0.58881,16.0557,11.9041,20.2536,0.375516,0.58085,0.560542,0,0.0318496
56,353.316,1,2.83301,0.588674,15.4421,11.8672,20.6175,0.366008,0.572292,0.546349,0,0.0305236
57,348.929,1,2.81703,0.587956,14.9971,12.2051,20.4766,0.35674,0.604751,0.547376,0,0.0294878
58,351.767,1,2.9079,0.570171,15.2728,12.5646,20.5805,0.347707,0.589438,0.541297,0,0.0303897
59,355.464,1,2.82154,0.591149,15.3073,12.6995,20.4198,0.338903,0.574513,0.527591,0,0.0312895
60,359.478,1,2.83424,0.585321,15.2526,12.8794,20.3041,0.330322,0.572447,0.586636,0,0.031294
61,363.901,1,2.80307,0.592534,15.4493,12.4451,20.2565,0.321958,0.581585,0.571782,0,0.0320874
62,360.716,1,2.91632,0.564495,16.008,10.8525,20.3831,0.313806,0.573699,0.557304,0,0.0323749
63,357.053,1,2.87253,0.572755,16.4295,10.2238,19.9532,0.30586,0.559172,0.543193,0,0.0321855
64,346.438,1,2.88404,0.568952,17.0073,10.6841,19.6921,0.298116,0.545014,0.529439,0,0.0306593
65,341.534,1,2.87878,0.57352,17.2058,10.2688,19.1382,0.290567,0.531214,0.516033,0,0.0305041
66,349.399,1,2.891,0.563219,16.9649,10.3445,19.2429,0.28321,0.517763,0.535026,0,0.0311825
67,346.42,1,3.0097,0.5259,17.5002,9.95937,19.0925,0.276039,0.504653,0.521479,0,0.0314983
68,351.661,1,2.86618,0.562364,17.2801,9.48643,19.4132,0.269049,0.491875,0.559374,0,0.031751
69,350.068,1,2.95571,0.541094,17.4455,9.38694,19.3526,0.262237,0.479421,0.545211,0,0.0318045
70,347.759,1,2.82545,0.585277,17.192,9.49562,19.6285,0.255597,0.479799,0.54901,0,0.0309654
71,350.919,1,2.82918,0.582465,17.1422,9.17696,19.295,0.249125,0.471745,0.541181,0,0.0317599
72,339.088,1,2.82828,0.58555,17.3298,9.88843,19.3854,0.242817,0.459801,0.527478,0,0.0305626
73,342.009,1,2.75238,0.612628,17.5976,10.4136,19.0749,0.236669,0.448158,0.514122,0,0.0313632
74,341.511,1,2.8201,0.585888,16.9567,10.2809,19.4177,0.230676,0.436811,0.501104,0,0.0317042
75,346.397,1,2.83879,0.578814,17.0819,10.7839,19.0991,0.224835,0.42575,0.488416,0,0.0326851
76,348.013,1,2.82463,0.581721,16.4846,10.5832,19.4125,0.219142,0.451178,0.504224,0,0.0318373
77,353.33,1,2.85142,0.579541,16.5683,10.9654,19.367,0.213671,0.464631,0.535876,0,0.032423
78,349.24,1,2.81272,0.587915,16.7823,10.1019,18.8752,0.209866,0.452866,0.530493,0.276833,0.0322291
79,344.459,1,2.87329,0.564671,16.8444,10.1657,18.9268,0.214274,0.458667,0.51706,0.268757,0.0314609
80,345.908,1,2.88352,0.564827,17.4284,10.095,18.4869,0.213395,0.454895,0.528172,0.248484,0.0314975
81,348.066,1,3.05939,0.51866,17.5622,10.8693,18.6386,0.207992,0.443377,0.560497,0.264525,0.031927
82,345.668,1,3.12218,0.497494,17.0184,11.0067,18.624,0.204554,0.455746,0.546305,0.376641,0.0320465
83,346.687,1,3.14664,0.484796,16.754,11.0095,18.915,0.213847,0.456134,0.532472,0.410057,0.0321531
84,349.308,1,3.05046,0.510087,16.7973,10.3472,19.1219,0.218353,0.479054,0.518989,0.425364,0.0320984
85,346.656,1,3.04169,0.516038,17.1872,10.6668,18.9016,0.222452,0.466924,0.542865,0.396132,0.031597
86,343.618,1,3.01498,0.520517,17.2508,10.3445,18.9902,0.223275,0.455102,0.52912,0.372304,0.0312028
87,343.549,1,3.04327,0.515102,17.076,9.78247,18.9827,0.217638,0.465311,0.529017,0.398131,0.0311719
88,344.851,1,3.11881,0.487072,17.5297,9.06471,18.8122,0.222884,0.453529,0.566653,0.428601,0.0313155
89,342.868,1,3.08002,0.494415,17.9278,9.16932,18.2243,0.21724,0.442045,0.577704,0.338343,0.0311769
90,341.17,1,2.96884,0.532834,17.9863,9.18651,18.2243,0.216316,0.430853,0.563076,0.353032,0.0316513
91,341.397,1,3.03908,0.511432,18.4762,8.79993,17.9965,0.215028,0.419943,0.548819,0.406528,0.0317817
92,350.868,1,3.07336,0.500257,18.4518,8.51777,18.0071,0.214013,0.40931,0.534922,0.363811,0.0330548
93,348.898,1,3.09842,0.498023,18.8744,8.51258,18.9074,0.220471,0.398946,0.533104,0.343203,0.0326103
94,342.606,1,3.01631,0.518701,18.5473,8.52439,19.0404,0.22248,0.388844,0.540674,0.287881,0.0317545
95,344.951,1,3.03956,0.518245,19.0018,8.51393,19.0627,0.216846,0.378999,0.534548,0.226234,0.0324266
96,344.662,1,2.8975,0.551744,18.3787,8.65633,18.6829,0.217257,0.369402,0.521795,0.278356,0.0324748
97,342.562,1,2.95531,0.537951,18.4162,8.09183,18.8289,0.220176,0.360049,0.51069,0.387603,0.0322878
98,350.181,1,2.97553,0.527704,18.397,8.13196,19.0127,0.228602,0.350932,0.573443,0.260549,0.0327607
99,341.59,1,2.95722,0.538411,18.6575,8.4642,19.035,0.222814,0.350128,0.582234,0.277517,0.0314592
100,338.126,1,3.0814,0.500353,18.4811,8.88362,19.0425,0.217172,0.350135,0.582956,0.338681,0.0310577
101,339.425,1,3.11776,0.485082,18.292,8.72028,18.9086,0.217133,0.364831,0.588031,0.385766,0.0310656
102,345.804,1,2.97174,0.526316,18.8533,8.03682,19.0637,0.227305,0.355593,0.641603,0.338532,0.0315597
103,340.892,1,3.05332,0.499853,18.168,8.22977,19.3615,0.221549,0.346589,0.640806,0.412917,0.0313559
104,341.101,1,3.0071,0.523112,18.5074,8.8917,19.8078,0.21944,0.337814,0.648445,0.307086,0.0318859
105,346.555,1,3.06128,0.503692,18.3702,8.67908,19.6221,0.213884,0.32926,0.632026,0.254466,0.0329519
106,345.881,1,2.922,0.549234,18.159,9.26528,19.4458,0.214599,0.333457,0.685446,0.16592,0.031608
107,344.299,1,3.09837,0.491797,18.3169,8.64376,19.9243,0.2152,0.325016,0.694219,0.152886,0.0313589
108,330.134,1,3.10611,0.49592,18.4527,8.77913,20.3991,0.220846,0.341964,0.676641,0.226445,0.029791
109,329.393,1,3.04946,0.506326,18.5468,9.04538,20.0086,0.229399,0.365689,0.697225,0.2408,0.0283082
110,331.35,1,3.10269,0.488091,18.06,8.73382,19.7429,0.23051,0.366621,0.713326,0.350087,0.0286602
111,332.738,1,3.17326,0.469656,18.0696,9.19169,19.928,0.225862,0.365543,0.741351,0.314415,0.0287601
112,327.95,1,3.15617,0.470394,17.5295,9.33824,19.784,0.230001,0.377721,0.722579,0.387038,0.0281998
113,331.047,1,3.2319,0.450852,17.6033,9.40732,19.7144,0.224177,0.368156,0.705604,0.346157,0.0289297
114,332.97,1,3.15421,0.471213,18.1708,8.816,19.2062,0.218501,0.373825,0.687738,0.297401,0.0292646
115,329.982,1,3.1155,0.48449,18.3463,8.61054,19.5475,0.214172,0.36436,0.671229,0.252597,0.0289469
116,335.656,1,3.0115,0.512797,18.2127,8.99568,19.4559,0.221017,0.36822,0.712582,0.171605,0.0291847
117,336.877,1,3.04538,0.504566,17.8533,8.91084,19.7523,0.216761,0.383505,0.694539,0.198705,0.0295041
118,339.717,1,3.01933,0.509635,18.0306,9.14329,19.6095,0.214213,0.381856,0.742681,0.255629,0.0296594
119,340.984,1,3.0886,0.494596,17.8702,8.7162,20.0232,0.212584,0.393431,0.730141,0.209542,0.0298975
120,340.928,1,3.01721,0.511321,17.9716,8.83519,20.2109,0.215117,0.383469,0.732275,0.185725,0.0299059
121,336.501,1,2.96723,0.529371,17.9051,8.72439,20.6096,0.221011,0.373759,0.713733,0.250269,0.0294654
122,332.961,1,3.01234,0.521036,17.6999,9.45947,20.7384,0.21769,0.397089,0.731255,0.210954,0.0285284
123,344.984,1,3.05202,0.506085,17.541,9.61085,20.8356,0.215659,0.421649,0.740882,0.240751,0.0300785
124,347.147,1,2.99487,0.525263,17.1506,9.92424,20.856,0.210198,0.410973,0.783593,-0.00162415,0.0307896
125,339.667,1,2.86686,0.564093,16.775,10.3254,21.0596,0.21375,0.400567,0.789283,0.0666745,0.029407
126,336.395,1,2.79125,0.588474,17.0178,10.8267,20.9691,0.213698,0.390424,0.769298,-0.0137571,0.0293234
127,343.509,1,2.80895,0.58835,17.1745,10.3807,20.8954,0.209915,0.380538,0.749819,0.0343035,0.030332
128,336.417,1,2.81376,0.586687,16.9779,10.548,20.9444,0.218119,0.370903,0.730833,0.133775,0.0294248
129,327.045,1,2.93234,0.547292,16.9406,10.145,20.7562,0.214413,0.376561,0.712328,0.1548,0.0280461
130,333.648,1,2.9191,0.550231,17.4337,10.4518,20.8778,0.218481,0.367027,0.78632,0.0869153,0.028562
131,338.299,1,2.90949,0.548689,17.1653,10.9804,20.8778,0.227266,0.372841,0.822366,0.179894,0.0288189
132,333.525,1,2.95274,0.533273,16.5411,10.9687,20.9268,0.228796,0.373856,0.801543,0.270736,0.0285834
133,340.725,1,2.9624,0.533813,16.6151,11.5054,20.9963,0.223003,0.377855,0.785945,0.231529,0.0294939
134,345.83,1,3.15618,0.478182,16.4641,11.0887,21.1275,0.217357,0.375559,0.81895,0.255106,0.0304049
135,332.396,1,3.06315,0.502401,16.5798,10.8595,20.9335,0.212764,0.366049,0.798213,0.189007,0.0289106
136,339.219,1,3.10953,0.485713,16.6678,10.3015,21.2565,0.217732,0.391081,0.778002,0.241548,0.0293454
137,343.972,1,3.11932,0.480862,16.8114,9.9929,20.9908,0.220178,0.393524,0.781749,0.282051,0.0299294
138,348.248,1,3.16038,0.470347,17.0727,10.2114,20.8022,0.22064,0.395353,0.873349,0.311448,0.0301206
139,341.097,1,3.15256,0.473922,17.0779,10.3765,20.6397,0.217453,0.402552,0.851235,0.262858,0.0291444
140,341.6,1,3.08291,0.496811,16.7782,10.8825,20.4785,0.212914,0.404739,0.829682,0.270744,0.0293832
141,340.287,1,3.05168,0.503408,16.8752,10.1925,20.3745,0.22408,0.411984,0.808674,0.3281,0.0294792
142,337.864,1,2.96956,0.524253,17.0931,9.54093,20.1118,0.226744,0.401553,0.788198,0.36675,0.0292339
143,339.425,1,3.01897,0.513567,17.7444,9.46802,20.2533,0.221003,0.391385,0.76824,0.191445,0.0298283
144,339.193,1,3.03881,0.506248,17.4712,9.80289,20.637,0.215407,0.381475,0.748788,0.0547347,0.0300648
145,346.062,1,3.10594,0.493271,16.8532,10.0542,20.8586,0.209953,0.390885,0.729828,0.213862,0.0310604
146,338.128,1,3.12057,0.486239,16.9735,10.1058,20.7283,0.210292,0.386269,0.711348,0.243937,0.0297039
147,340.338,1,3.11759,0.486382,17.2275,10.049,20.4044,0.220868,0.389478,0.693337,0.333669,0.0301155
148,340.417,1,3.21081,0.46017,16.7423,11.6703,20.6276,0.219543,0.379617,0.798186,0.320263,0.029843
149,341.261,1,3.26927,0.440894,16.253,11.2327,20.9499,0.218816,0.382109,0.797504,0.413822,0.0298286
150,341.847,1,3.43635,0.386722,15.9269,10.0541,21.1954,0.221344,0.419681,0.777311,0.366437,0.0296382
151,342.931,1,3.38124,0.403226,15.6258,10.5521,21.1126,0.215739,0.460303,0.757629,0.41431,0.0296285
152,342.9,1,3.2767,0.436795,16.1554,11.1372,21.2198,0.232616,0.448648,0.836463,0.409289,0.0289358
153,345.582,1,3.38057,0.404156,15.9907,11.3316,21.1949,0.234297,0.461272,0.837217,0.415357,0.0291393
154,342.728,1,3.40326,0.404741,15.8027,11.4826,21.7496,0.228365,0.449593,0.816161,0.382182,0.029206
155,339.3,1,3.29076,0.435709,16.1472,11.2211,21.7666,0.223051,0.446439,0.874353,0.384965,0.0283633
156,339.807,1,3.37171,0.418812,16.3402,10.8068,22.0557,0.221273,0.492727,0.852214,0.392269,0.0282469
157,341.486,1,3.3547,0.418727,16.0598,10.9177,21.9093,0.227191,0.539011,0.830635,0.439596,0.0282803
158,344.183,1,3.42432,0.40197,15.5212,11.1655,22.0291,0.221439,0.534013,0.860226,0.411606,0.0286032
159,338.662,1,3.24004,0.444228,15.7062,11.0886,21.7107,0.223307,0.520492,0.859776,0.350957,0.02782
160,335.902,1,3.15256,0.47478,15.8979,10.1564,21.804,0.223037,0.510654,0.838006,0.39792,0.0277413
161,332.444,1,3.13408,0.476779,16.0346,10.5827,21.2418,0.230719,0.513423,0.816788,0.360466,0.0270875
162,338.392,1,3.19502,0.461734,16.1738,10.7542,21.0551,0.224877,0.517196,0.79927,0.372194,0.0279767
163,338.055,1,3.22118,0.456743,15.797,10.5153,21.2854,0.220888,0.532979,0.779032,0.417931,0.0283182
164,337.905,1,3.26416,0.445174,16.1545,10.9089,21.1524,0.215295,0.528041,0.759307,0.34898,0.0282243
165,338.284,1,3.18561,0.469956,16.1021,10.7371,21.3259,0.223245,0.514671,0.790553,0.399219,0.0281
166,338.926,1,3.26834,0.447442,16.4698,11.0353,21.0552,0.220316,0.501639,0.770536,0.413697,0.0289179
167,335.52,1,3.22395,0.454916,16.1828,11.0247,20.9812,0.220981,0.506434,0.751025,0.402236,0.028177
168,334.685,1,3.36198,0.422572,16.5826,10.9156,20.9074,0.215386,0.49361,0.732009,0.40702,0.0286718
169,327.977,1,3.23163,0.459675,16.7893,11.0136,20.8216,0.222049,0.481112,0.713474,0.406881,0.0276837
170,333.566,1,3.13877,0.489071,17.1529,9.79916,20.9192,0.218993,0.491683,0.695408,0.345874,0.028358
171,336.666,1,3.15343,0.483472,16.9623,10.0362,20.9111,0.219111,0.479234,0.6778,0.319457,0.0292041
172,335.069,1,3.11205,0.493136,16.7908,10.1036,20.5803,0.216468,0.467099,0.692306,0.334671,0.0289582
173,340.561,1,3.13427,0.482429,16.6336,10.7976,20.4999,0.21635,0.455272,0.674776,0.304325,0.0299663
174,339.414,1,3.15982,0.479911,16.8463,11.2147,20.4518,0.210871,0.443744,0.706748,0.354922,0.0299471
175,332.154,1,3.19874,0.466532,16.8095,10.7144,20.296,0.217575,0.432508,0.692714,0.379871,0.0285465
176,343.878,1,3.24334,0.448931,17.0302,10.8612,20.2247,0.22088,0.460581,0.747583,0.381518,0.0295854
177,341.813,1,3.28882,0.441574,16.8151,11.0205,20.3906,0.215885,0.459855,0.728654,0.403724,0.029725
178,336.089,1,3.35135,0.423786,16.5994,11.287,20.4105,0.210418,0.448211,0.757529,0.358986,0.0289741
179,350.63,1,3.26822,0.444117,16.4861,11.4871,20.5381,0.21017,0.44005,0.776251,0.319271,0.0308295
180,350.205,1,3.26596,0.442336,16.4768,10.664,20.8309,0.216178,0.452845,0.779443,0.26212,0.030395
181,345.763,1,3.16838,0.474426,16.8437,10.7527,20.835,0.218284,0.450699,0.789013,0.328614,0.02975
182,348.123,1,3.25156,0.449493,16.5832,10.7013,20.8879,0.218883,0.489868,0.769035,0.400552,0.0300098
183,338.096,1,3.22692,0.45503,16.8705,10.2456,21.0633,0.219158,0.477464,0.749562,0.33513,0.0288405
184,337.883,1,3.1216,0.487631,16.6079,10.054,21.1456,0.220752,0.472623,0.730583,0.39747,0.0288616
185,334.398,1,3.24439,0.453086,16.5235,10.6111,20.8399,0.218204,0.485507,0.720534,0.45026,0.028328
186,335.268,1,3.26456,0.448894,16.4998,9.8699,20.7748,0.221193,0.473214,0.70229,0.441161,0.0290197
187,334.649,1,3.29552,0.436741,16.2883,11.0707,20.9087,0.2234,0.468885,0.690087,0.442794,0.0285468
188,334.13,1,3.14257,0.482478,16.8636,10.9177,20.435,0.229127,0.457012,0.672614,0.41294,0.0293996
189,335.678,1,3.18948,0.46301,16.6073,10.5886,20.0678,0.225173,0.44544,0.681286,0.475575,0.0291271
190,331.648,1,3.38532,0.410774,16.5821,10.4548,20.8674,0.219471,0.434162,0.699078,0.450796,0.0285588
191,338.868,1,3.48675,0.385362,16.6236,10.1023,21.3116,0.22058,0.47328,0.758289,0.416648,0.0287834
192,337.721,1,3.33463,0.426813,16.399,10.2831,21.2284,0.223481,0.477559,0.739089,0.457071,0.0287995
193,344.363,1,3.40904,0.404124,16.2929,10.2878,21.0211,0.221159,0.465467,0.720375,0.478024,0.0301754
194,345.352,1,3.44094,0.389936,15.7446,10.8703,20.7008,0.215559,0.453681,0.767046,0.482171,0.0301428
195,354.36,1,3.48887,0.38328,15.7203,11.165,21.1941,0.22004,0.466967,0.780868,0.530947,0.0314751
196,351.979,1,3.60807,0.351936,15.3748,11.9874,21.4218,0.220586,0.52783,0.809781,0.553626,0.0304242
197,346.776,1,3.55731,0.369193,15.4219,12.358,21.7398,0.221838,0.533538,0.810862,0.523047,0.0294684
198,346.086,1,3.45491,0.398049,15.069,13.1115,21.7907,0.216221,0.520028,0.79033,0.527308,0.0303328
199,344.234,1,3.35663,0.420405,15.5064,12.6223,21.7907,0.210746,0.506861,0.776629,0.389238,0.0299431
200,341.714,1,3.07362,0.506823,15.987,12.5335,21.6545,0.215576,0.494027,0.756964,0.331414,0.0294495
201,338.167,1,3.15552,0.484187,15.6823,12.1309,22.2974,0.218107,0.481518,0.737798,0.354421,0.02901
202,336.386,1,3.26675,0.449151,15.7536,11.6446,21.9054,0.216236,0.48479,0.749966,0.380965,0.0283873
203,334.691,1,3.3274,0.430225,15.8227,11.0708,21.8926,0.213114,0.485056,0.730977,0.386246,0.0284153
204,340.32,1,3.28835,0.441923,15.3122,11.5504,21.7472,0.21967,0.526181,0.723919,0.450831,0.028857
205,344.307,1,3.39416,0.410236,15.4464,11.2362,21.8534,0.220049,0.523361,0.720611,0.438832,0.0294328
206,341.907,1,3.39318,0.410974,15.949,10.8805,21.8449,0.219847,0.510109,0.719604,0.369432,0.029101
207,340.617,1,3.36886,0.41533,15.8002,10.284,22.0923,0.214962,0.523522,0.740227,0.353285,0.0286763
208,332.21,1,3.23826,0.450267,15.8998,10.0457,21.9629,0.219193,0.510266,0.721484,0.340142,0.0279672
209,338.085,1,3.205,0.45466,15.9296,9.49115,21.7012,0.224312,0.497346,0.703216,0.32334,0.0285904
210,347.076,1,3.09229,0.493261,16.0093,10.9062,21.8411,0.225797,0.484753,0.68541,0.365558,0.0303641
211,348.86,1,3.10427,0.491945,16.0654,10.6713,22.08,0.224406,0.472479,0.71808,0.315623,0.0304734
212,348.75,1,3.13498,0.486177,16.7536,10.6918,22.2654,0.224179,0.460515,0.752327,0.356829,0.0306821
213,345.611,1,3.25248,0.449336,16.1944,10.4667,22.0306,0.224942,0.492931,0.733277,0.456482,0.0298836
214,343.441,1,3.15745,0.476927,16.6145,10.3814,21.3765,0.223178,0.48045,0.781047,0.427061,0.029415
215,340.498,1,3.12822,0.482084,16.3795,10.2336,21.6605,0.221998,0.468284,0.8071,0.366646,0.0286588
216,340.229,1,3.16539,0.470138,16.4575,10.4331,21.3559,0.216377,0.456427,0.786664,0.310507,0.0290791
217,343.866,1,3.12467,0.476387,15.8514,9.91279,21.4893,0.216278,0.459302,0.766745,0.417844,0.0297056
218,335.374,1,3.28481,0.437439,16.6256,9.37991,21.4222,0.214644,0.494075,0.769288,0.415418,0.0282203
219,339.183,1,3.20366,0.45206,16.2608,9.2419,21.4389,0.227001,0.508539,0.79293,0.446788,0.0282163
220,341.625,1,3.14195,0.469441,16.8883,9.22653,21.5645,0.224116,0.498842,0.821938,0.353792,0.0283635
221,336.638,1,3.13812,0.471771,16.5701,9.90369,22.3395,0.226285,0.486211,0.86914,0.391831,0.0278425
222,336.936,1,3.25806,0.448171,16.7462,10.2847,22.7671,0.220555,0.4739,0.847133,0.341152,0.028428
223,333.141,1,3.21948,0.464323,16.7873,10.4825,22.358,0.214971,0.4619,0.825683,0.382431,0.02814
224,336.083,1,3.25756,0.453923,16.8857,10.2605,22.1921,0.213892,0.450205,0.804777,0.481977,0.0289523
225,338.001,1,3.41185,0.408917,16.9453,9.49583,22.6255,0.21358,0.442014,0.784399,0.451911,0.0291685
226,339.565,1,3.3804,0.415133,17.3693,9.44473,22.5194,0.212755,0.430822,0.781496,0.359865,0.0292209
227,336.905,1,3.2784,0.441061,17.2053,9.45683,21.7849,0.212763,0.437818,0.817691,0.413126,0.0286377
228,338.641,1,3.2759,0.436747,16.956,9.33671,21.6232,0.224724,0.435904,0.807253,0.517275,0.0289716
229,332.831,1,3.38824,0.410212,17.2795,9.58392,21.4459,0.219034,0.424867,0.786813,0.497537,0.0286762
230,342.478,1,3.16457,0.472781,17.2677,10.2459,21.471,0.225847,0.414109,0.816978,0.380806,0.0296712
231,337.591,1,3.11997,0.491896,17.5118,9.5926,21.5045,0.223037,0.403623,0.796292,0.331597,0.0292225
232,335.076,1,3.14138,0.480321,17.1753,9.0069,21.6389,0.220363,0.422639,0.77613,0.352131,0.0286654
233,338.513,1,3.14899,0.479447,17.7279,9.28589,21.4699,0.219988,0.411937,0.756478,0.267263,0.0294737
234,340.773,1,3.10091,0.490062,17.5957,9.10767,21.8976,0.214417,0.401507,0.806734,0.297168,0.0297051
235,334.71,1,3.08259,0.493206,17.1967,8.96181,22.2996,0.219419,0.39134,0.790851,0.273929,0.0287814
236,338.067,1,3.11433,0.482942,16.7969,9.11664,22.1995,0.216241,0.381431,0.828998,0.319371,0.0290906
237,345.639,1,3.20526,0.452527,16.6815,9.47491,22.2341,0.218793,0.38887,0.868098,0.35011,0.0298867
238,339.272,1,3.15975,0.467927,17.2488,8.90921,22.2255,0.216503,0.386451,0.869904,0.307407,0.0289466
239,336.074,1,3.06282,0.501003,17.4015,9.46771,22.7985,0.216075,0.376666,0.961355,0.263184,0.0281617
240,340.249,1,3.12099,0.484999,17.0282,9.33511,22.9142,0.223043,0.378513,0.937013,0.302054,0.0288308
