iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q2,sd_Q2,E_V2,sd_V2,E_Q3,sd_Q3,E_V3,sd_V3
96,10.9146,0.0930145,55.3484,1.15407e-07,12.7784,5.45627e-08,92.8321,0.859585,0.298158,2.92063e-08,0.526446,5.27161e-08
97,10.9133,0.0929745,55.3484,1.11514e-07,12.7784,5.27525e-08,92.9389,0.860706,0.298158,2.92289e-08,0.526446,5.26082e-08
98,10.9122,0.0930499,55.3484,1.12784e-07,12.7784,5.46098e-08,92.9373,0.860188,0.298158,2.66715e-08,0.526446,5.26683e-08
99,10.9142,0.093027,55.3484,1.10516e-07,12.7784,5.55128e-08,92.7492,0.859016,0.298158,2.85423e-08,0.526446,5.2548e-08
100,10.9151,0.0929611,55.3484,1.08009e-07,12.7784,5.11871e-08,92.5946,0.858849,0.298158,2.84255e-08,0.526446,5.25128e-08
101,10.915,0.0929081,55.3484,1.02847e-07,12.7784,5.12946e-08,92.5575,0.858498,0.298158,2.86036e-08,0.526446,5.25128e-08
102,10.9153,0.0926908,55.3484,9.90379e-08,12.7784,5.18258e-08,92.3755,0.858013,0.298158,2.88218e-08,0.526446,5.24976e-08
103,10.916,0.0925751,55.3484,1.01923e-07,12.7784,5.31054e-08,92.3532,0.85691,0.298158,2.7608e-08,0.526446,5.24933e-08
104,10.9172,0.0923776,55.3484,9.79173e-08,12.7784,5.1224e-08,92.2466,0.85674,0.298158,2.76855e-08,0.526446,5.2676e-08
105,10.9162,0.092554,55.3484,9.4699e-08,12.7784,5.06411e-08,92.1826,0.857629,0.298158,2.64705e-08,0.526446,5.28299e-08
106,10.917,0.0924601,55.3484,1.01532e-07,12.7784,5.37779e-08,92.0529,0.85831,0.298158,2.56355e-08,0.526446,5.27536e-08
