trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Cl_vs_tCLCRMLMIN_abscissa,trans_Cl_vs_tCLCRMLMIN_spline,trans_Cl_vs_tCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_Q_vs_tCLCRMLMIN_abscissa,trans_Q_vs_tCLCRMLMIN_spline,trans_Q_vs_tCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V1_vs_tCLCRMLMIN_abscissa,trans_V1_vs_tCLCRMLMIN_spline,trans_V1_vs_tCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,trans_V2_vs_tCLCRMLMIN_abscissa,trans_V2_vs_tCLCRMLMIN_spline,trans_V2_vs_tCLCRMLMIN_regression,split
107.672,1.54718,1.49428,55.2323,1.70783,1.57141,-0.318302,1.51743,1.46108,0.74772,1.54718,1.49428,107.672,2.05576,1.83458,55.2323,1.7846,1.76238,-0.318302,2.00242,1.83977,0.74772,2.05576,1.83458,107.672,2.99605,3.03171,55.2323,3.07594,3.00784,-0.318302,3.03702,3.02333,0.74772,2.99605,3.03171,107.672,3.11148,3.14585,55.2323,3.18884,3.1225,-0.318302,3.15181,3.13765,0.74772,3.11148,3.14585,All
108.689,1.55859,1.49848,55.5556,1.6622,1.57483,-0.311136,1.52352,1.46558,0.754784,1.55859,1.49848,108.689,1.99365,1.83353,55.5556,1.75653,1.76402,-0.311136,2.01644,1.83872,0.754784,1.99365,1.83353,108.689,3.001,3.0316,55.5556,3.01908,3.00878,-0.311136,3.02551,3.02344,0.754784,3.001,3.0316,108.689,3.11623,3.14573,55.5556,3.13295,3.1234,-0.311136,3.14049,3.13774,0.754784,3.11623,3.14573,All
109.706,1.57113,1.50268,55.8788,1.61657,1.57826,-0.30397,1.52961,1.47008,0.761848,1.57113,1.50268,109.706,1.90799,1.83248,55.8788,1.72845,1.76566,-0.30397,2.03046,1.83767,0.761848,1.90799,1.83248,109.706,3.01195,3.03149,55.8788,2.96222,3.00971,-0.30397,3.01401,3.02355,0.761848,3.01195,3.03149,109.706,3.12684,3.14561,55.8788,3.07706,3.1243,-0.30397,3.12916,3.13784,0.761848,3.12684,3.14561,All
110.723,1.58367,1.50688,56.202,1.57095,1.58169,-0.296804,1.5357,1.47458,0.768911,1.58367,1.50688,110.723,1.82234,1.83142,56.202,1.70038,1.7673,-0.296804,2.04447,1.83662,0.768911,1.82234,1.83142,110.723,3.02289,3.03138,56.202,2.90536,3.01065,-0.296804,3.00251,3.02366,0.768911,3.02289,3.03138,110.723,3.13745,3.1455,56.202,3.02117,3.12521,-0.296804,3.11784,3.13794,0.768911,3.13745,3.1455,All
111.74,1.5962,1.51108,56.5253,1.52532,1.58511,-0.289638,1.54179,1.47908,0.775975,1.5962,1.51108,111.74,1.73668,1.83037,56.5253,1.6723,1.76894,-0.289638,2.05849,1.83557,0.775975,1.73668,1.83037,111.74,3.03384,3.03126,56.5253,2.84851,3.01159,-0.289638,2.991,3.02376,0.775975,3.03384,3.03126,111.74,3.14806,3.14538,56.5253,2.96528,3.12611,-0.289638,3.10652,3.13804,0.775975,3.14806,3.14538,All
112.758,1.60874,1.51528,56.8485,1.47969,1.58854,-0.282472,1.55166,1.48358,0.783039,1.60874,1.51528,112.758,1.65103,1.82932,56.8485,1.64422,1.77057,-0.282472,2.00166,1.83452,0.783039,1.65103,1.82932,112.758,3.04478,3.03115,56.8485,2.79165,3.01253,-0.282472,2.99693,3.02387,0.783039,3.04478,3.03115,112.758,3.15868,3.14526,56.8485,2.90939,3.12701,-0.282472,3.11224,3.13813,0.783039,3.15868,3.14526,All
113.775,1.62128,1.51948,57.1717,1.47423,1.59197,-0.275306,1.56216,1.48807,0.790102,1.62128,1.51948,113.775,1.56537,1.82826,57.1717,1.61917,1.77221,-0.275306,1.93294,1.83347,0.790102,1.56537,1.82826,113.775,3.05573,3.03104,57.1717,2.78528,3.01347,-0.275306,3.00578,3.02398,0.790102,3.05573,3.03104,113.775,3.16929,3.14514,57.1717,2.90309,3.12791,-0.275306,3.12082,3.13823,0.790102,3.16929,3.14514,All
114.792,1.63382,1.52368,57.4949,1.50422,1.59539,-0.268141,1.57266,1.49257,0.797166,1.63382,1.52368,114.792,1.47972,1.82721,57.4949,1.59678,1.77385,-0.268141,1.86422,1.83241,0.797166,1.47972,1.82721,114.792,3.06668,3.03093,57.4949,2.82346,3.01441,-0.268141,3.01463,3.02409,0.797166,3.06668,3.03093,114.792,3.1799,3.14502,57.4949,2.94055,3.12882,-0.268141,3.1294,3.13833,0.797166,3.1799,3.14502,All
115.809,1.64636,1.52787,57.8182,1.53421,1.59882,-0.260975,1.58316,1.49707,0.80423,1.64636,1.52787,115.809,1.39406,1.82616,57.8182,1.57439,1.77549,-0.260975,1.7955,1.83136,0.80423,1.39406,1.82616,115.809,3.07762,3.03081,57.8182,2.86164,3.01535,-0.260975,3.02348,3.0242,0.80423,3.07762,3.03081,115.809,3.19051,3.1449,57.8182,2.97801,3.12972,-0.260975,3.13798,3.13843,0.80423,3.19051,3.1449,All
116.826,1.6589,1.53207,58.1414,1.5642,1.60225,-0.253809,1.59366,1.50157,0.811293,1.6589,1.53207,116.826,1.3084,1.8251,58.1414,1.55201,1.77713,-0.253809,1.72678,1.83031,0.811293,1.3084,1.8251,116.826,3.08857,3.0307,58.1414,2.89982,3.01629,-0.253809,3.03233,3.0243,0.811293,3.08857,3.0307,116.826,3.20112,3.14478,58.1414,3.01548,3.13062,-0.253809,3.14656,3.13852,0.811293,3.20112,3.14478,All
117.843,1.67143,1.53627,58.4646,1.59419,1.60567,-0.246643,1.60416,1.50607,0.818357,1.67143,1.53627,117.843,1.22275,1.82405,58.4646,1.52962,1.77877,-0.246643,1.65806,1.82926,0.818357,1.22275,1.82405,117.843,3.09951,3.03059,58.4646,2.938,3.01723,-0.246643,3.04118,3.02441,0.818357,3.09951,3.03059,117.843,3.21174,3.14466,58.4646,3.05294,3.13153,-0.246643,3.15514,3.13862,0.818357,3.21174,3.14466,All
118.861,1.68397,1.54047,58.7879,1.62418,1.6091,-0.239477,1.61466,1.51057,0.825421,1.68397,1.54047,118.861,1.13709,1.823,58.7879,1.50723,1.78041,-0.239477,1.58933,1.82821,0.825421,1.13709,1.823,118.861,3.11046,3.03048,58.7879,2.97618,3.01817,-0.239477,3.05003,3.02452,0.825421,3.11046,3.03048,118.861,3.22235,3.14454,58.7879,3.0904,3.13243,-0.239477,3.16372,3.13872,0.825421,3.22235,3.14454,All
119.878,1.69646,1.54467,59.1111,1.65417,1.61253,-0.232311,1.62516,1.51507,0.832485,1.69646,1.54467,119.878,1.07101,1.82194,59.1111,1.48484,1.78205,-0.232311,1.52061,1.82716,0.832485,1.07101,1.82194,119.878,3.11952,3.03036,59.1111,3.01436,3.01911,-0.232311,3.05888,3.02463,0.832485,3.11952,3.03036,119.878,3.23111,3.14442,59.1111,3.12786,3.13333,-0.232311,3.1723,3.13881,0.832485,3.23111,3.14442,All
120.895,1.7083,1.54887,59.4343,1.68416,1.61595,-0.225145,1.63566,1.51957,0.839548,1.7083,1.54887,120.895,1.24133,1.82089,59.4343,1.46246,1.78369,-0.225145,1.45189,1.82611,0.839548,1.24133,1.82089,120.895,3.10578,3.03025,59.4343,3.05254,3.02005,-0.225145,3.06773,3.02473,0.839548,3.10578,3.03025,120.895,3.21748,3.1443,59.4343,3.16533,3.13423,-0.225145,3.18088,3.13891,0.839548,3.21748,3.1443,All
121.912,1.72013,1.55307,59.7576,1.71415,1.61938,-0.217979,1.64617,1.52407,0.846612,1.72013,1.55307,121.912,1.41165,1.81984,59.7576,1.44007,1.78533,-0.217979,1.38317,1.82506,0.846612,1.41165,1.81984,121.912,3.09204,3.03014,59.7576,3.09072,3.02099,-0.217979,3.07658,3.02484,0.846612,3.09204,3.03014,121.912,3.20386,3.14418,59.7576,3.20279,3.13514,-0.217979,3.18946,3.13901,0.846612,3.20386,3.14418,All
122.929,1.73197,1.55727,60.0808,1.73522,1.62281,-0.210813,1.65667,1.52857,0.853676,1.73197,1.55727,122.929,1.58197,1.81879,60.0808,1.49086,1.78696,-0.210813,1.31445,1.82401,0.853676,1.58197,1.81879,122.929,3.0783,3.03003,60.0808,3.13507,3.02193,-0.210813,3.08543,3.02495,0.853676,3.0783,3.03003,122.929,3.19023,3.14406,60.0808,3.2466,3.13604,-0.210813,3.19804,3.13911,0.853676,3.19023,3.14406,All
123.946,1.74381,1.56147,60.404,1.72949,1.62623,-0.203647,1.66717,1.53306,0.860739,1.74381,1.56147,123.946,1.75229,1.81773,60.404,1.7612,1.7886,-0.203647,1.24573,1.82295,0.860739,1.75229,1.81773,123.946,3.06456,3.02992,60.404,3.1979,3.02287,-0.203647,3.09428,3.02506,0.860739,3.06456,3.02992,123.946,3.17661,3.14394,60.404,3.30946,3.13694,-0.203647,3.20662,3.1392,0.860739,3.17661,3.14394,All
124.964,1.75565,1.56567,60.7273,1.72377,1.62966,-0.196482,1.67767,1.53756,0.867803,1.75565,1.56567,124.964,1.92261,1.81668,60.7273,2.03154,1.79024,-0.196482,1.17701,1.8219,0.867803,1.92261,1.81668,124.964,3.05082,3.0298,60.7273,3.26074,3.0238,-0.196482,3.10313,3.02516,0.867803,3.05082,3.0298,124.964,3.16299,3.14382,60.7273,3.37232,3.13785,-0.196482,3.21521,3.1393,0.867803,3.16299,3.14382,All
125.981,1.54258,1.56987,61.0505,1.71476,1.63308,-0.189316,1.68817,1.54206,0.874867,1.54258,1.56987,125.981,1.62351,1.81563,61.0505,2.24431,1.79188,-0.189316,1.10828,1.82085,0.874867,1.62351,1.81563,125.981,2.99115,3.02969,61.0505,3.29027,3.02474,-0.189316,3.11198,3.02527,0.874867,2.99115,3.02969,125.981,3.10434,3.1437,61.0505,3.40213,3.13875,-0.189316,3.22379,3.1394,0.874867,3.10434,3.1437,All
126.998,1.37724,1.57407,61.3737,1.688,1.63651,-0.18215,1.69869,1.54656,0.88193,1.37724,1.57407,126.998,1.38415,1.81457,61.3737,2.14621,1.79352,-0.18215,1.09491,1.8198,0.88193,1.38415,1.81457,126.998,2.94022,3.02958,61.3737,3.13993,3.02568,-0.18215,3.11554,3.02538,0.88193,2.94022,3.02958,126.998,3.05435,3.14359,61.3737,3.25348,3.13965,-0.18215,3.22717,3.1395,0.88193,3.05435,3.14359,All
128.015,1.41114,1.57827,61.697,1.66124,1.63994,-0.174984,1.70925,1.55106,0.888994,1.41114,1.57827,128.015,1.46441,1.81352,61.697,2.04812,1.79516,-0.174984,1.24176,1.81875,0.888994,1.46441,1.81352,128.015,2.92753,3.02947,61.697,2.98959,3.02662,-0.174984,3.10377,3.02549,0.888994,2.92753,3.02947,128.015,3.04204,3.14347,61.697,3.10482,3.14055,-0.174984,3.2155,3.13959,0.888994,3.04204,3.14347,All
129.032,1.44504,1.58247,62.0202,1.63605,1.64336,-0.167818,1.71981,1.55556,0.896058,1.44504,1.58247,129.032,1.54466,1.81247,62.0202,1.95627,1.7968,-0.167818,1.3886,1.8177,0.896058,1.54466,1.81247,129.032,2.91485,3.02935,62.0202,2.84947,3.02756,-0.167818,3.092,3.0256,0.896058,2.91485,3.02935,129.032,3.02973,3.14335,62.0202,2.96627,3.14146,-0.167818,3.20383,3.13969,0.896058,3.02973,3.14335,All
130.049,1.47893,1.58667,62.3434,1.63427,1.64679,-0.160652,1.73037,1.56006,0.903121,1.47893,1.58667,130.049,1.62492,1.81141,62.3434,1.95817,1.79844,-0.160652,1.53545,1.81665,0.903121,1.62492,1.81141,130.049,2.90216,3.02924,62.3434,2.86263,3.0285,-0.160652,3.08023,3.0257,0.903121,2.90216,3.02924,130.049,3.01742,3.14323,62.3434,2.97927,3.14236,-0.160652,3.19216,3.13979,0.903121,3.01742,3.14323,All
131.067,1.51283,1.59087,62.6667,1.63248,1.65022,-0.153486,1.74093,1.56456,0.910185,1.51283,1.59087,131.067,1.70517,1.81036,62.6667,1.96008,1.80008,-0.153486,1.68229,1.8156,0.910185,1.70517,1.81036,131.067,2.88948,3.02913,62.6667,2.8758,3.02944,-0.153486,3.06846,3.02581,0.910185,2.88948,3.02913,131.067,3.00511,3.14311,62.6667,2.99227,3.14326,-0.153486,3.18049,3.13988,0.910185,3.00511,3.14311,All
132.084,1.54673,1.59507,62.9899,1.6307,1.65364,-0.14632,1.75149,1.56906,0.917249,1.54673,1.59507,132.084,1.78542,1.80931,62.9899,1.96198,1.80172,-0.14632,1.82914,1.81455,0.917249,1.78542,1.80931,132.084,2.87679,3.02902,62.9899,2.88896,3.03038,-0.14632,3.05669,3.02592,0.917249,2.87679,3.02902,132.084,2.9928,3.14299,62.9899,3.00527,3.14416,-0.14632,3.16881,3.13998,0.917249,2.9928,3.14299,All
133.101,1.58063,1.59926,63.3131,1.62891,1.65707,-0.139154,1.71242,1.57356,0.924313,1.58063,1.59926,133.101,1.86568,1.80825,63.3131,1.96388,1.80336,-0.139154,1.87318,1.81349,0.924313,1.86568,1.80825,133.101,2.86411,3.0289,63.3131,2.90213,3.03132,-0.139154,3.0347,3.02603,0.924313,2.86411,3.0289,133.101,2.98049,3.14287,63.3131,3.01827,3.14507,-0.139154,3.14713,3.14008,0.924313,2.98049,3.14287,All
134.118,1.61453,1.60346,63.6364,1.62713,1.6605,-0.131988,1.49287,1.57805,0.931376,1.61453,1.60346,134.118,1.94593,1.8072,63.6364,1.96578,1.80499,-0.131988,1.5434,1.81244,0.931376,1.94593,1.8072,134.118,2.85142,3.02879,63.6364,2.91529,3.03226,-0.131988,2.97556,3.02613,0.931376,2.85142,3.02879,134.118,2.96819,3.14275,63.6364,3.03127,3.14597,-0.131988,3.08901,3.14018,0.931376,2.96819,3.14275,All
135.135,1.63429,1.60766,63.9596,1.62535,1.66392,-0.124823,1.38429,1.58255,0.93844,1.63429,1.60766,135.135,2.00319,1.80615,63.9596,1.96769,1.80663,-0.124823,1.39204,1.81139,0.93844,2.00319,1.80615,135.135,2.91514,3.02868,63.9596,2.92846,3.0332,-0.124823,2.93745,3.02624,0.93844,2.91514,3.02868,135.135,3.03122,3.14263,63.9596,3.04427,3.14687,-0.124823,3.05163,3.14027,0.93844,3.03122,3.14263,All
136.153,1.65097,1.61186,64.2828,1.62356,1.66735,-0.117657,1.4157,1.58705,0.945504,1.65097,1.61186,136.153,2.05544,1.80509,64.2828,1.96959,1.80827,-0.117657,1.46576,1.81034,0.945504,2.05544,1.80509,136.153,2.99548,3.02857,64.2828,2.94162,3.03414,-0.117657,2.92587,3.02635,0.945504,2.99548,3.02857,136.153,3.11065,3.14251,64.2828,3.05727,3.14778,-0.117657,3.0404,3.14037,0.945504,3.11065,3.14251,All
137.17,1.66765,1.61606,64.6061,1.62178,1.67078,-0.110491,1.44711,1.59155,0.952567,1.66765,1.61606,137.17,2.10769,1.80404,64.6061,1.97149,1.80991,-0.110491,1.53949,1.80929,0.952567,2.10769,1.80404,137.17,3.07582,3.02846,64.6061,2.95479,3.03508,-0.110491,2.9143,3.02646,0.952567,3.07582,3.02846,137.17,3.19009,3.14239,64.6061,3.07027,3.14868,-0.110491,3.02917,3.14047,0.952567,3.19009,3.14239,All
138.187,1.68433,1.62026,64.9293,1.61999,1.6742,-0.103325,1.47852,1.59605,0.959631,1.68433,1.62026,138.187,2.15994,1.80299,64.9293,1.97339,1.81155,-0.103325,1.61322,1.80824,0.959631,2.15994,1.80299,138.187,3.15616,3.02834,64.9293,2.96795,3.03602,-0.103325,2.90272,3.02657,0.959631,3.15616,3.02834,138.187,3.26952,3.14227,64.9293,3.08328,3.14958,-0.103325,3.01794,3.14056,0.959631,3.26952,3.14227,All
139.204,1.70101,1.62446,65.2525,1.61821,1.67763,-0.096159,1.50994,1.60055,0.966695,1.70101,1.62446,139.204,2.21219,1.80194,65.2525,1.9753,1.81319,-0.096159,1.68695,1.80719,0.966695,2.21219,1.80194,139.204,3.23651,3.02823,65.2525,2.98112,3.03696,-0.096159,2.89115,3.02667,0.966695,3.23651,3.02823,139.204,3.34895,3.14215,65.2525,3.09628,3.15048,-0.096159,3.00671,3.14066,0.966695,3.34895,3.14215,All
140.221,1.71766,1.62866,65.5758,1.61643,1.68106,-0.0889931,1.54135,1.60505,0.973758,1.71766,1.62866,140.221,2.26073,1.80088,65.5758,1.9772,1.81483,-0.0889931,1.76068,1.80614,0.973758,2.26073,1.80088,140.221,3.31405,3.02812,65.5758,2.99428,3.0379,-0.0889931,2.87958,3.02678,0.973758,3.31405,3.02812,140.221,3.42561,3.14203,65.5758,3.10928,3.15139,-0.0889931,2.99548,3.14076,0.973758,3.42561,3.14203,All
141.238,1.73266,1.63286,65.899,1.61464,1.68448,-0.0818272,1.57276,1.60955,0.980822,1.73266,1.63286,141.238,2.13523,1.79983,65.899,1.9791,1.81647,-0.0818272,1.83441,1.80509,0.980822,2.13523,1.79983,141.238,3.26033,3.02801,65.899,3.00745,3.03883,-0.0818272,2.868,3.02689,0.980822,3.26033,3.02801,141.238,3.37198,3.14191,65.899,3.12228,3.15229,-0.0818272,2.98425,3.14086,0.980822,3.37198,3.14191,All
142.256,1.74765,1.63706,66.2222,1.61286,1.68791,-0.0746613,1.60417,1.61405,0.987886,1.74765,1.63706,142.256,2.00973,1.79878,66.2222,1.98101,1.81811,-0.0746613,1.90813,1.80403,0.987886,2.00973,1.79878,142.256,3.2066,3.02789,66.2222,3.02061,3.03977,-0.0746613,2.85643,3.027,0.987886,3.2066,3.02789,142.256,3.31835,3.14179,66.2222,3.13528,3.15319,-0.0746613,2.97302,3.14095,0.987886,3.31835,3.14179,All
143.273,1.76265,1.64126,66.5455,1.61108,1.69134,-0.0674954,1.63086,1.61855,0.994949,1.76265,1.64126,143.273,1.88423,1.79772,66.5455,1.98291,1.81975,-0.0674954,1.9746,1.80298,0.994949,1.88423,1.79772,143.273,3.15288,3.02778,66.5455,3.03378,3.04071,-0.0674954,2.8728,3.0271,0.994949,3.15288,3.02778,143.273,3.26472,3.14167,66.5455,3.14828,3.15409,-0.0674954,2.98935,3.14105,0.994949,3.26472,3.14167,All
144.29,1.76699,1.64546,66.8687,1.60929,1.69476,-0.0603295,1.64716,1.62305,1.00201,1.76699,1.64546,144.29,1.82538,1.79667,66.8687,1.98481,1.82138,-0.0603295,2.0251,1.80193,1.00201,1.82538,1.79667,144.29,3.12532,3.02767,66.8687,3.04694,3.04165,-0.0603295,2.95056,3.02721,1.00201,3.12532,3.02767,144.29,3.23726,3.14156,66.8687,3.16128,3.155,-0.0603295,3.06623,3.14115,1.00201,3.23726,3.14156,All
145.307,1.75988,1.64966,67.1919,1.61195,1.69819,-0.0531636,1.66346,1.62754,1.00908,1.75988,1.64966,145.307,1.83827,1.79562,67.1919,1.98549,1.82302,-0.0531636,2.0756,1.80088,1.00908,1.83827,1.79562,145.307,3.12592,3.02756,67.1919,3.05253,3.04259,-0.0531636,3.02832,3.02732,1.00908,3.12592,3.02756,145.307,3.23796,3.14144,67.1919,3.16677,3.1559,-0.0531636,3.14311,3.14125,1.00908,3.23796,3.14144,All
