trans_Cl_vs_CLCRMLMIN_abscissa,trans_Cl_vs_CLCRMLMIN_spline,trans_Cl_vs_CLCRMLMIN_regression,trans_Cl_vs_WTKG_abscissa,trans_Cl_vs_WTKG_spline,trans_Cl_vs_WTKG_regression,trans_Cl_vs_logtCLCRMLMIN_abscissa,trans_Cl_vs_logtCLCRMLMIN_spline,trans_Cl_vs_logtCLCRMLMIN_regression,trans_Q_vs_CLCRMLMIN_abscissa,trans_Q_vs_CLCRMLMIN_spline,trans_Q_vs_CLCRMLMIN_regression,trans_Q_vs_WTKG_abscissa,trans_Q_vs_WTKG_spline,trans_Q_vs_WTKG_regression,trans_Q_vs_logtCLCRMLMIN_abscissa,trans_Q_vs_logtCLCRMLMIN_spline,trans_Q_vs_logtCLCRMLMIN_regression,trans_V1_vs_CLCRMLMIN_abscissa,trans_V1_vs_CLCRMLMIN_spline,trans_V1_vs_CLCRMLMIN_regression,trans_V1_vs_WTKG_abscissa,trans_V1_vs_WTKG_spline,trans_V1_vs_WTKG_regression,trans_V1_vs_logtCLCRMLMIN_abscissa,trans_V1_vs_logtCLCRMLMIN_spline,trans_V1_vs_logtCLCRMLMIN_regression,trans_V2_vs_CLCRMLMIN_abscissa,trans_V2_vs_CLCRMLMIN_spline,trans_V2_vs_CLCRMLMIN_regression,trans_V2_vs_WTKG_abscissa,trans_V2_vs_WTKG_spline,trans_V2_vs_WTKG_regression,trans_V2_vs_logtCLCRMLMIN_abscissa,trans_V2_vs_logtCLCRMLMIN_spline,trans_V2_vs_logtCLCRMLMIN_regression,split
118.861,1.68223,1.53703,58.7879,1.61467,1.60255,-0.239477,1.61713,1.50737,118.861,1.10359,1.814,58.7879,1.46019,1.74222,-0.239477,1.60322,1.83161,118.861,3.10561,3.01484,58.7879,2.97988,3.01305,-0.239477,3.02054,3.00461,118.861,3.19673,3.19693,58.7879,3.2455,3.19766,-0.239477,3.23562,3.20092,All
119.878,1.69397,1.54115,59.1111,1.6458,1.60608,-0.232311,1.62697,1.51179,119.878,1.02736,1.8118,59.1111,1.44096,1.74397,-0.232311,1.52751,1.82919,119.878,3.11952,3.01512,59.1111,3.01665,3.0139,-0.232311,3.03305,3.00518,119.878,3.18931,3.19679,59.1111,3.24915,3.19726,-0.232311,3.22986,3.20067,All
120.895,1.70581,1.54526,59.4343,1.67692,1.60961,-0.225145,1.63682,1.51621,120.895,1.16763,1.80961,59.4343,1.42172,1.74572,-0.225145,1.45181,1.82677,120.895,3.11498,3.0154,59.4343,3.05342,3.01475,-0.225145,3.04557,3.00576,120.895,3.17833,3.19666,59.4343,3.25281,3.19686,-0.225145,3.2241,3.20042,All
121.912,1.71765,1.54938,59.7576,1.70805,1.61314,-0.217979,1.64667,1.52063,121.912,1.3079,1.80742,59.7576,1.40249,1.74747,-0.217979,1.3761,1.82436,121.912,3.11045,3.01568,59.7576,3.09018,3.01561,-0.217979,3.05809,3.00634,121.912,3.16734,3.19652,59.7576,3.25646,3.19646,-0.217979,3.21835,3.20018,All
122.929,1.7295,1.55349,60.0808,1.7304,1.61667,-0.210813,1.65651,1.52505,122.929,1.44816,1.80523,60.0808,1.46669,1.74922,-0.210813,1.30039,1.82194,122.929,3.10591,3.01596,60.0808,3.13011,3.01646,-0.210813,3.07061,3.00692,122.929,3.15636,3.19639,60.0808,3.26093,3.19605,-0.210813,3.21259,3.19993,All
123.946,1.74134,1.55761,60.404,1.72646,1.6202,-0.203647,1.66636,1.52947,123.946,1.58843,1.80303,60.404,1.78119,1.75097,-0.203647,1.22469,1.81952,123.946,3.10137,3.01624,60.404,3.17949,3.01731,-0.203647,3.08312,3.00749,123.946,3.14537,3.19625,60.404,3.26786,3.19565,-0.203647,3.20683,3.19968,All
124.964,1.75318,1.56173,60.7273,1.72251,1.62373,-0.196482,1.67621,1.5339,124.964,1.72869,1.80084,60.7273,2.09569,1.75272,-0.196482,1.14898,1.81711,124.964,3.09683,3.01652,60.7273,3.22887,3.01817,-0.196482,3.09564,3.00807,124.964,3.13438,3.19611,60.7273,3.27479,3.19525,-0.196482,3.20107,3.19943,All
125.981,1.53711,1.56584,61.0505,1.71462,1.62726,-0.189316,1.68605,1.53832,125.981,1.50302,1.79865,61.0505,2.32862,1.75447,-0.189316,1.07328,1.81469,125.981,3.01172,3.0168,61.0505,3.25274,3.01902,-0.189316,3.10816,3.00865,125.981,3.12014,3.19598,61.0505,3.26801,3.19485,-0.189316,3.19531,3.19919,All
126.998,1.36935,1.56996,61.3737,1.6854,1.63079,-0.18215,1.69609,1.54274,126.998,1.32002,1.79646,61.3737,2.12105,1.75621,-0.18215,1.04802,1.81227,126.998,2.94171,3.01708,61.3737,3.13882,3.01987,-0.18215,3.11649,3.00923,126.998,3.10664,3.19584,61.3737,3.18722,3.19445,-0.18215,3.18859,3.19894,All
128.015,1.40337,1.57407,61.697,1.65619,1.63432,-0.174984,1.70665,1.54716,128.015,1.37676,1.79426,61.697,1.91348,1.75796,-0.174984,1.16879,1.80986,128.015,2.93829,3.01735,61.697,3.02491,3.02073,-0.174984,3.11271,3.0098,128.015,3.09612,3.19571,61.697,3.10644,3.19405,-0.174984,3.17906,3.19869,All
