rep,ID,eta_Cl_simulated,eta_V1_simulated,eta_Q2_simulated,eta_V2_simulated,eta_Q3_simulated,eta_V3_simulated,split,color,filter
7,6,0.144455,0.318341,1.37149,1.83831e-08,-8.44088e-09,-4.97635e-09,All,#4682B4,0
8,6,0.151303,0.170703,1.50654,-2.0178e-09,-5.37547e-08,-1.07568e-07,All,#4682B4,0
9,6,0.13316,0.267546,1.69274,-3.85212e-09,1.00851e-07,-8.67012e-09,All,#4682B4,0
10,6,0.102808,0.517471,0.0976292,-8.79299e-10,1.38701e-08,1.2422e-07,All,#4682B4,0
1,7,0.117805,-0.503278,-0.865269,7.25719e-09,1.6327e-08,-2.78893e-08,All,#4682B4,0
2,7,0.11316,-0.537957,-0.804866,7.49075e-09,2.36376e-08,-9.18595e-08,All,#4682B4,0
3,7,0.119249,-0.468677,-0.745559,3.81207e-08,5.73361e-08,1.28883e-07,All,#4682B4,0
4,7,0.0555655,-0.57166,-0.988148,-2.90174e-08,1.40544e-08,2.47091e-08,All,#4682B4,0
5,7,0.141269,-0.44604,-0.731417,3.60363e-09,-8.44132e-08,1.88481e-07,All,#4682B4,0
6,7,0.0545512,-0.58836,-0.928449,-1.02537e-08,3.45895e-08,4.18179e-08,All,#4682B4,0
7,7,0.0913913,-0.50079,-0.830083,1.90245e-08,8.6674e-08,5.22505e-08,All,#4682B4,0
8,7,0.063314,-0.510846,-0.903301,-4.35608e-08,5.3121e-08,-9.028e-08,All,#4682B4,0
9,7,0.118262,-0.471393,-0.77285,1.04463e-09,1.16935e-07,6.82298e-08,All,#4682B4,0
10,7,0.0834971,-0.546229,-0.752822,5.32502e-08,4.36348e-08,1.29668e-07,All,#4682B4,0
1,8,0.231637,-0.0583187,-0.0453985,2.64859e-08,1.32233e-08,-3.11652e-09,All,#4682B4,0
2,8,0.208776,-0.104247,-0.371076,7.73958e-10,4.62203e-08,-1.00394e-07,All,#4682B4,0
3,8,0.214266,0.00227205,-0.249554,2.91137e-08,9.33963e-08,-3.49483e-08,All,#4682B4,0
4,8,0.237135,0.00817867,-0.246995,-6.26844e-08,7.20008e-08,1.15076e-07,All,#4682B4,0
5,8,0.278513,0.0469762,-0.017699,2.48981e-08,-9.34626e-08,-2.13762e-08,All,#4682B4,0
6,8,0.277284,0.137805,0.0344151,-9.1105e-09,4.93975e-08,7.14626e-08,All,#4682B4,0
7,8,0.229959,0.0875274,-0.155545,1.40138e-08,7.28825e-08,-2.74066e-08,All,#4682B4,0
8,8,0.24056,-0.0483294,-0.00669224,6.90126e-08,-9.06001e-09,-7.17325e-08,All,#4682B4,0
9,8,0.267384,0.022788,0.114123,4.9006e-08,3.11017e-08,2.05223e-07,All,#4682B4,0
10,8,0.230197,0.123573,-0.307298,-6.35367e-09,-2.99749e-08,9.73319e-08,All,#4682B4,0
1,9,-0.0468106,-0.15075,0.343641,-1.32972e-08,-5.82471e-08,4.27408e-08,All,#4682B4,0
2,9,-0.0301621,-0.0814039,0.536494,3.83622e-08,-5.06457e-08,-5.29926e-08,All,#4682B4,0
3,9,-0.0447264,-0.0863345,0.53992,7.82046e-09,2.7309e-08,-2.42664e-08,All,#4682B4,0
4,9,-0.0173601,0.0909107,0.264653,1.29238e-08,1.66962e-08,-6.38861e-08,All,#4682B4,0
5,9,-0.060946,-0.230154,0.807325,3.41537e-08,8.61649e-08,-1.0148e-07,All,#4682B4,0
6,9,0.0179095,-0.231125,0.981665,-4.55852e-09,-5.81209e-08,-1.07716e-07,All,#4682B4,0
7,9,-0.0499649,-0.33549,1.0635,2.24398e-08,-3.27435e-08,1.18939e-07,All,#4682B4,0
8,9,-0.0256746,0.0227051,0.698024,3.70701e-08,-8.24308e-08,-7.59716e-08,All,#4682B4,0
9,9,-0.0154966,-0.0364268,0.730582,3.17115e-08,4.27398e-08,1.65144e-07,All,#4682B4,0
10,9,-0.00928357,-0.171798,0.888164,3.03895e-08,-7.99326e-09,1.46113e-07,All,#4682B4,0
1,10,-0.432648,-0.141798,-0.871414,1.37105e-08,8.60414e-09,-8.31342e-08,All,#4682B4,0
2,10,-0.377311,-0.131606,-0.922099,-5.51098e-09,1.83924e-08,9.44578e-08,All,#4682B4,0
3,10,-0.426541,-0.19604,-1.0435,-1.37722e-08,4.63927e-08,3.31954e-08,All,#4682B4,0
4,10,-0.433913,-0.0975185,-0.897849,-8.65759e-08,-4.23544e-08,5.05536e-08,All,#4682B4,0
5,10,-0.446151,-0.151757,-0.829597,-2.97864e-08,-1.09797e-07,-9.9029e-08,All,#4682B4,0
6,10,-0.411204,-0.150793,-0.749904,6.57937e-09,1.55524e-08,-7.47063e-08,All,#4682B4,0
7,10,-0.41257,-0.213255,-0.350257,3.54385e-09,-7.77511e-08,-6.66365e-08,All,#4682B4,0
8,10,-0.409346,-0.157918,-0.773494,-2.50357e-08,-3.56016e-08,5.02156e-08,All,#4682B4,0
9,10,-0.439782,-0.150857,-1.024,-2.3897e-08,4.80788e-08,1.39263e-08,All,#4682B4,0
10,10,-0.450159,-0.159958,-0.622985,-7.22485e-08,2.15572e-08,9.66366e-08,All,#4682B4,0
1,11,0.223406,0.114334,0.305384,4.20972e-08,-2.38576e-08,-4.69175e-08,All,#4682B4,0
2,11,0.206984,0.270369,-0.241587,3.45609e-08,1.05639e-07,3.91961e-08,All,#4682B4,0
3,11,0.254633,-0.0773152,0.779402,-3.17596e-09,-9.4832e-09,-1.51924e-08,All,#4682B4,0
4,11,0.227103,0.231085,-0.340714,-3.00298e-08,-4.04671e-09,1.17257e-08,All,#4682B4,0
5,11,0.238444,0.0518369,0.589349,-3.695e-08,-4.88906e-09,4.42201e-08,All,#4682B4,0
6,11,0.268837,0.00537426,0.892484,-2.63892e-08,-2.1776e-08,8.44546e-08,All,#4682B4,0
7,11,0.193209,0.263565,-0.371891,3.36984e-08,-3.99883e-09,3.51264e-08,All,#4682B4,0
8,11,0.244976,0.149935,0.0708272,2.02043e-08,-1.29107e-08,9.90137e-08,All,#4682B4,0
9,11,0.239475,0.163826,0.106467,2.04863e-08,1.05673e-07,-1.31673e-09,All,#4682B4,0
10,11,0.227417,0.129591,0.219616,1.71715e-08,-5.93802e-08,-1.25123e-07,All,#4682B4,0
1,12,-0.00044073,0.0938387,0.719151,-5.36627e-09,-1.64703e-08,1.06013e-07,All,#4682B4,0
2,12,-0.0212058,-0.229673,1.2624,-3.26575e-08,-1.17699e-08,2.1507e-08,All,#4682B4,0
3,12,-0.0519296,0.0599383,0.61112,-1.45314e-08,-4.05849e-08,7.20315e-08,All,#4682B4,0
4,12,0.006434,-0.0928482,1.2089,-1.13257e-08,1.75229e-08,2.20947e-09,All,#4682B4,0
5,12,-0.0359838,0.327526,0.133175,-5.03253e-08,-5.97049e-08,-5.70244e-08,All,#4682B4,0
6,12,-0.00616618,-0.00710842,0.900878,-2.18664e-08,-4.40353e-08,9.29625e-08,All,#4682B4,0
7,12,-0.0273452,-0.111919,1.29078,-2.93512e-08,4.76629e-09,4.21231e-08,All,#4682B4,0
8,12,-0.0626062,0.0290323,0.808712,3.69559e-08,3.52299e-08,-4.39638e-08,All,#4682B4,0
9,12,-0.0838685,0.124002,0.224193,8.03278e-09,2.7245e-08,1.02403e-07,All,#4682B4,0
10,12,0.0029756,0.124489,0.941164,2.70832e-08,-2.921e-08,6.9354e-08,All,#4682B4,0
1,13,0.0806733,-0.0219013,0.588254,2.05749e-08,-2.48961e-08,-6.56106e-08,All,#4682B4,0
2,13,0.0390732,0.119044,-0.0997194,-4.89321e-08,-2.56074e-08,2.09413e-08,All,#4682B4,0
3,13,0.0656199,0.0372454,0.626281,-3.10945e-09,8.88071e-08,-7.38895e-10,All,#4682B4,0
4,13,0.0386606,0.142031,0.234616,3.17011e-08,3.27573e-08,6.54188e-09,All,#4682B4,0
5,13,0.0550649,0.166854,-0.206775,5.58146e-08,8.80775e-08,-1.18583e-07,All,#4682B4,0
6,13,0.0269735,0.0600586,0.125077,-3.58637e-09,5.59712e-09,7.72725e-08,All,#4682B4,0
7,13,0.0418009,0.292195,-0.31505,6.56087e-09,-1.09256e-07,1.30909e-07,All,#4682B4,0
8,13,0.102486,0.202754,0.403904,2.86773e-09,8.16811e-09,3.08744e-08,All,#4682B4,0
9,13,0.0507142,-0.159415,1.00722,-5.50499e-08,-3.48982e-08,-5.81965e-08,All,#4682B4,0
10,13,0.040724,0.150224,0.0393086,3.28806e-08,5.5712e-09,1.06616e-08,All,#4682B4,0
1,14,0.149543,0.114779,-0.89061,-2.58148e-08,-3.91508e-08,8.68565e-09,All,#4682B4,0
2,14,0.167924,0.132539,-1.11331,7.98928e-09,-2.46409e-08,-8.92183e-08,All,#4682B4,0
3,14,0.139692,0.0974925,-1.43129,-3.99625e-08,-6.01618e-08,4.2857e-08,All,#4682B4,0
4,14,0.186796,0.154978,-1.2416,-2.89534e-08,7.24061e-08,-1.29682e-07,All,#4682B4,0
5,14,0.151169,0.179971,-1.49782,-4.13833e-09,5.42755e-09,-1.42478e-07,All,#4682B4,0
6,14,0.132871,0.0920639,-0.808879,-2.67517e-08,-4.40433e-08,-2.68009e-08,All,#4682B4,0
7,14,0.153692,0.0740938,-1.06957,1.28224e-08,7.84077e-08,-7.18946e-08,All,#4682B4,0
8,14,0.203167,0.289575,-1.12809,5.11053e-08,4.30893e-08,-1.94317e-09,All,#4682B4,0
9,14,0.126199,0.12054,-1.21913,-2.06362e-08,-1.34101e-07,-1.02419e-07,All,#4682B4,0
10,14,0.144407,0.160991,-1.22517,-4.34869e-08,7.9972e-08,5.02488e-09,All,#4682B4,0
