standEta_fi_abscissa,standEta_fi_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-0.690147,0.2,-0.361042,0.2,-1.24476,0.2,-0.674025,0.2,-0.989031,0.2,All
-0.644521,0.207143,-0.345041,0.207143,-1.21228,0.207143,-0.653771,0.207143,-0.988519,0.207143,All
-0.643137,0.214286,-0.343458,0.214286,-1.19033,0.214286,-0.63549,0.214286,-0.987464,0.214286,All
-0.633036,0.221429,-0.294077,0.221429,-1.13676,0.221429,-0.614699,0.221429,-0.987283,0.221429,All
-0.627154,0.228571,-0.248105,0.228571,-1.08684,0.228571,-0.543105,0.228571,-0.97552,0.228571,All
-0.605684,0.235714,-0.237139,0.235714,-1.05535,0.235714,-0.52788,0.235714,-0.97536,0.235714,All
-0.590538,0.242857,-0.21452,0.242857,-1.03506,0.242857,-0.510426,0.242857,-0.934992,0.242857,All
-0.575898,0.25,-0.212526,0.25,-1.00091,0.25,-0.507872,0.25,-0.873464,0.25,All
-0.574362,0.257143,-0.197126,0.257143,-0.900556,0.257143,-0.477662,0.257143,-0.835337,0.257143,All
-0.5602,0.264286,-0.195763,0.264286,-0.897926,0.264286,-0.45821,0.264286,-0.79677,0.264286,All
-0.557127,0.271429,-0.188306,0.271429,-0.894435,0.271429,-0.450333,0.271429,-0.791311,0.271429,All
-0.517387,0.278571,-0.188224,0.278571,-0.837255,0.278571,-0.444927,0.278571,-0.753152,0.278571,All
-0.517014,0.285714,-0.16241,0.285714,-0.757814,0.285714,-0.427162,0.285714,-0.725974,0.285714,All
-0.489403,0.292857,-0.13944,0.292857,-0.751691,0.292857,-0.425956,0.292857,-0.705085,0.292857,All
-0.4892,0.3,-0.137646,0.3,-0.734001,0.3,-0.374121,0.3,-0.703108,0.3,All
-0.48507,0.307143,-0.136718,0.307143,-0.679016,0.307143,-0.361655,0.307143,-0.689221,0.307143,All
-0.475318,0.314286,-0.132585,0.314286,-0.672212,0.314286,-0.353261,0.314286,-0.678749,0.314286,All
-0.442675,0.321429,-0.117319,0.321429,-0.641362,0.321429,-0.324346,0.321429,-0.676297,0.321429,All
-0.419601,0.328571,-0.110499,0.328571,-0.637011,0.328571,-0.308928,0.328571,-0.66505,0.328571,All
-0.41563,0.335714,-0.0899832,0.335714,-0.633807,0.335714,-0.308065,0.335714,-0.609726,0.335714,All
-0.401216,0.342857,-0.0750936,0.342857,-0.631754,0.342857,-0.271381,0.342857,-0.557474,0.342857,All
-0.39724,0.35,-0.0662468,0.35,-0.606492,0.35,-0.246695,0.35,-0.551578,0.35,All
-0.38707,0.357143,-0.027779,0.357143,-0.606123,0.357143,-0.240429,0.357143,-0.494812,0.357143,All
-0.36296,0.364286,-0.0199804,0.364286,-0.564149,0.364286,-0.23269,0.364286,-0.459205,0.364286,All
-0.324623,0.371429,-0.0180903,0.371429,-0.549451,0.371429,-0.228966,0.371429,-0.441594,0.371429,All
-0.315189,0.378571,-0.0107552,0.378571,-0.545589,0.378571,-0.185889,0.378571,-0.433424,0.378571,All
-0.314546,0.385714,0.0149933,0.385714,-0.527338,0.385714,-0.184129,0.385714,-0.422441,0.385714,All
-0.305364,0.392857,0.0200526,0.392857,-0.526363,0.392857,-0.112632,0.392857,-0.331758,0.392857,All
-0.301424,0.4,0.0205997,0.4,-0.489911,0.4,-0.105896,0.4,-0.322412,0.4,All
-0.283917,0.407143,0.0377497,0.407143,-0.479319,0.407143,-0.0512067,0.407143,-0.319873,0.407143,All
-0.264669,0.414286,0.042439,0.414286,-0.45553,0.414286,-0.0234606,0.414286,-0.310615,0.414286,All
-0.237727,0.421429,0.0452146,0.421429,-0.452404,0.421429,-0.00956588,0.421429,-0.28817,0.421429,All
-0.234853,0.428571,0.0465894,0.428571,-0.451381,0.428571,-0.00900663,0.428571,-0.286831,0.428571,All
-0.22924,0.435714,0.0498402,0.435714,-0.432412,0.435714,-0.00678904,0.435714,-0.268224,0.435714,All
-0.203268,0.442857,0.0561834,0.442857,-0.417485,0.442857,0.00366499,0.442857,-0.25148,0.442857,All
-0.132725,0.45,0.0936821,0.45,-0.399464,0.45,0.036245,0.45,-0.231052,0.45,All
-0.130742,0.457143,0.0938073,0.457143,-0.351264,0.457143,0.0414581,0.457143,-0.223728,0.457143,All
-0.127268,0.464286,0.0938798,0.464286,-0.344524,0.464286,0.0704331,0.464286,-0.204894,0.464286,All
-0.125791,0.471429,0.0990956,0.471429,-0.334639,0.471429,0.0713557,0.471429,-0.196653,0.471429,All
-0.110227,0.478571,0.110212,0.478571,-0.31669,0.478571,0.0858595,0.478571,-0.183414,0.478571,All
-0.0981334,0.485714,0.111863,0.485714,-0.284427,0.485714,0.103125,0.485714,-0.174544,0.485714,All
-0.0914457,0.492857,0.11323,0.492857,-0.266036,0.492857,0.10575,0.492857,-0.146056,0.492857,All
-0.0905976,0.5,0.143371,0.5,-0.251444,0.5,0.114502,0.5,-0.132895,0.5,All
-0.0477361,0.507143,0.162049,0.507143,-0.249922,0.507143,0.119,0.507143,-0.116042,0.507143,All
0.0253093,0.514286,0.192846,0.514286,-0.234922,0.514286,0.151083,0.514286,-0.100398,0.514286,All
0.0449711,0.521429,0.198335,0.521429,-0.201002,0.521429,0.156494,0.521429,-0.0611171,0.521429,All
0.0615419,0.528571,0.229115,0.528571,-0.198916,0.528571,0.16482,0.528571,-0.0553556,0.528571,All
0.0870248,0.535714,0.23519,0.535714,-0.171469,0.535714,0.169195,0.535714,-0.0474818,0.535714,All
0.114618,0.542857,0.251603,0.542857,-0.15566,0.542857,0.173315,0.542857,-0.0231333,0.542857,All
0.116236,0.55,0.26468,0.55,-0.0806726,0.55,0.177747,0.55,-0.0151254,0.55,All
0.125342,0.557143,0.27325,0.557143,-0.0537672,0.557143,0.199089,0.557143,-0.0137936,0.557143,All
0.161421,0.564286,0.290054,0.564286,-0.0344398,0.564286,0.202931,0.564286,-0.00641682,0.564286,All
0.167254,0.571429,0.298268,0.571429,-0.00570236,0.571429,0.236627,0.571429,0.0826043,0.571429,All
0.263798,0.578571,0.323293,0.578571,0.0146808,0.578571,0.241308,0.578571,0.117588,0.578571,All
0.322559,0.585714,0.346516,0.585714,0.0282167,0.585714,0.262535,0.585714,0.13159,0.585714,All
0.339915,0.592857,0.351845,0.592857,0.0330417,0.592857,0.294107,0.592857,0.153294,0.592857,All
0.340258,0.6,0.353815,0.6,0.0655637,0.6,0.299642,0.6,0.161079,0.6,All
0.404032,0.607143,0.373476,0.607143,0.0781336,0.607143,0.306362,0.607143,0.181945,0.607143,All
0.476726,0.614286,0.39203,0.614286,0.0918188,0.614286,0.316256,0.614286,0.18902,0.614286,All
0.488695,0.621429,0.424183,0.621429,0.10299,0.621429,0.318716,0.621429,0.211343,0.621429,All
0.496045,0.628571,0.428273,0.628571,0.17463,0.628571,0.321532,0.628571,0.221694,0.628571,All
0.505386,0.635714,0.434455,0.635714,0.180898,0.635714,0.324662,0.635714,0.291399,0.635714,All
0.528643,0.642857,0.439786,0.642857,0.184718,0.642857,0.342665,0.642857,0.29149,0.642857,All
0.534403,0.65,0.476221,0.65,0.203006,0.65,0.361124,0.65,0.29488,0.65,All
0.549202,0.657143,0.498903,0.657143,0.205132,0.657143,0.364316,0.657143,0.324609,0.657143,All
0.562867,0.664286,0.510279,0.664286,0.208212,0.664286,0.388468,0.664286,0.357024,0.664286,All
0.59237,0.671429,0.5278,0.671429,0.26184,0.671429,0.400852,0.671429,0.409799,0.671429,All
0.604729,0.678571,0.539111,0.678571,0.264057,0.678571,0.445007,0.678571,0.454742,0.678571,All
0.604906,0.685714,0.543884,0.685714,0.272392,0.685714,0.446281,0.685714,0.455717,0.685714,All
0.613528,0.692857,0.54916,0.692857,0.275555,0.692857,0.459947,0.692857,0.466967,0.692857,All
0.662438,0.7,0.596237,0.7,0.282208,0.7,0.490425,0.7,0.508018,0.7,All
0.722512,0.707143,0.619659,0.707143,0.309181,0.707143,0.502582,0.707143,0.531699,0.707143,All
0.73504,0.714286,0.635532,0.714286,0.333058,0.714286,0.510154,0.714286,0.5688,0.714286,All
0.738224,0.721429,0.647696,0.721429,0.349994,0.721429,0.510307,0.721429,0.571868,0.721429,All
0.754673,0.728571,0.651424,0.728571,0.360796,0.728571,0.532967,0.728571,0.587708,0.728571,All
0.760869,0.735714,0.661845,0.735714,0.36963,0.735714,0.537196,0.735714,0.593491,0.735714,All
0.784436,0.742857,0.668434,0.742857,0.380457,0.742857,0.596276,0.742857,0.609304,0.742857,All
0.815519,0.75,0.720586,0.75,0.385066,0.75,0.605665,0.75,0.614165,0.75,All
0.821753,0.757143,0.739727,0.757143,0.395324,0.757143,0.641029,0.757143,0.617073,0.757143,All
0.832032,0.764286,0.742341,0.764286,0.418968,0.764286,0.643228,0.764286,0.627824,0.764286,All
0.843238,0.771429,0.744401,0.771429,0.450537,0.771429,0.652625,0.771429,0.637374,0.771429,All
0.86168,0.778571,0.749297,0.778571,0.460071,0.778571,0.663657,0.778571,0.642755,0.778571,All
0.901609,0.785714,0.766013,0.785714,0.533236,0.785714,0.666735,0.785714,0.647746,0.785714,All
0.914752,0.792857,0.779133,0.792857,0.534282,0.792857,0.682628,0.792857,0.686178,0.792857,All
0.916356,0.8,0.780375,0.8,0.554507,0.8,0.687979,0.8,0.745114,0.8,All
0.917768,0.807143,0.784514,0.807143,0.570496,0.807143,0.703492,0.807143,0.788894,0.807143,All
0.922407,0.814286,0.78884,0.814286,0.570753,0.814286,0.716874,0.814286,0.85937,0.814286,All
0.952361,0.821429,0.797637,0.821429,0.589436,0.821429,0.736807,0.821429,0.864621,0.821429,All
0.993097,0.828571,0.808598,0.828571,0.617401,0.828571,0.754345,0.828571,0.865192,0.828571,All
1.03639,0.835714,0.834508,0.835714,0.627855,0.835714,0.778223,0.835714,0.908766,0.835714,All
1.07245,0.842857,0.852551,0.842857,0.716121,0.842857,0.780588,0.842857,0.917924,0.842857,All
1.07754,0.85,0.853841,0.85,0.758056,0.85,0.785454,0.85,0.929087,0.85,All
1.09122,0.857143,0.856404,0.857143,0.772925,0.857143,0.790791,0.857143,0.955401,0.857143,All
1.09514,0.864286,0.862545,0.864286,0.904442,0.864286,0.802379,0.864286,0.983029,0.864286,All
1.14765,0.871429,0.866266,0.871429,0.906397,0.871429,0.822155,0.871429,1.00318,0.871429,All
1.17956,0.878571,0.876701,0.878571,0.942221,0.878571,1.00545,0.878571,1.23427,0.878571,All
1.2341,0.885714,0.891652,0.885714,0.984225,0.885714,1.02437,0.885714,1.37931,0.885714,All
1.25536,0.892857,0.92676,0.892857,0.99472,0.892857,1.03007,0.892857,1.42038,0.892857,All
1.25575,0.9,0.95178,0.9,0.998506,0.9,1.16577,0.9,1.42569,0.9,All
1.26951,0.907143,0.957081,0.907143,1.05642,0.907143,1.18932,0.907143,1.46903,0.907143,All
1.27786,0.914286,0.967406,0.914286,1.15744,0.914286,1.26656,0.914286,1.5012,0.914286,All
1.38517,0.921429,0.975512,0.921429,1.17631,0.921429,1.28036,0.921429,1.5205,0.921429,All
1.38814,0.928571,0.975602,0.928571,1.1771,0.928571,1.28039,0.928571,1.57481,0.928571,All
1.40254,0.935714,0.987303,0.935714,1.20407,0.935714,1.28488,0.935714,1.57905,0.935714,All
1.4066,0.942857,1.02937,0.942857,1.38232,0.942857,1.40349,0.942857,1.5893,0.942857,All
1.4452,0.95,1.04807,0.95,1.41354,0.95,1.41585,0.95,1.65611,0.95,All
1.47064,0.957143,1.05454,0.957143,1.46321,0.957143,1.49989,0.957143,1.7233,0.957143,All
1.48132,0.964286,1.07994,0.964286,1.46905,0.964286,1.62642,0.964286,1.72972,0.964286,All
1.55899,0.971429,1.10062,0.971429,1.47123,0.971429,1.67067,0.971429,1.95969,0.971429,All
1.59456,0.978571,1.11052,0.978571,1.83081,0.978571,1.86809,0.978571,1.96594,0.978571,All
1.60673,0.985714,1.13305,0.985714,1.84019,0.985714,1.95042,0.985714,1.98305,0.985714,All
2.07354,0.992857,1.1421,0.992857,1.95176,0.992857,1.98008,0.992857,2.38766,0.992857,All
2.26482,1,1.24346,1,2.20811,1,2.88286,1,2.83124,1,All
4,1,4,1,4,1,4,1,4,1,All
