iteration,E_Cl,sd_Cl,E_V1,sd_V1,E_Q,sd_Q
55,5.25203,0.0313924,21.6852,0.0992824,5.89713,0.267336
56,5.25165,0.0314192,21.6833,0.0990835,5.89957,0.267212
57,5.25147,0.0314544,21.6842,0.0994163,5.90242,0.267446
58,5.25157,0.0315617,21.6839,0.0996726,5.90414,0.267757
59,5.25204,0.0316151,21.6827,0.0997575,5.91053,0.267703
60,5.25261,0.0317262,21.6796,0.0997942,5.91653,0.268117
61,5.25281,0.031841,21.679,0.0997177,5.91502,0.267612
62,5.25326,0.0319348,21.6811,0.0998841,5.91861,0.267627
63,5.25354,0.0320938,21.6821,0.0999392,5.91704,0.267552
64,5.25337,0.0321365,21.6789,0.100164,5.91957,0.267395
65,5.25322,0.032149,21.6733,0.100304,5.92913,0.26747
66,5.2531,0.0321893,21.6724,0.100212,5.93305,0.267081
67,5.2532,0.0322289,21.6705,0.100344,5.93365,0.267316
68,5.25301,0.0322813,21.6681,0.100218,5.93475,0.267162
69,5.25303,0.0322812,21.6684,0.100253,5.93246,0.267225
70,5.25311,0.0322552,21.6693,0.100387,5.92952,0.267424
71,5.25326,0.0321878,21.673,0.100262,5.92479,0.267683
72,5.25371,0.032175,21.6739,0.100181,5.93079,0.268035
73,5.2537,0.0321421,21.6696,0.10018,5.93365,0.2678
74,5.25366,0.0320876,21.6669,0.100195,5.93952,0.267935
75,5.25372,0.0320805,21.6623,0.100348,5.94878,0.268691
76,5.25343,0.0321027,21.6574,0.10053,5.94984,0.269504
77,5.25307,0.0321348,21.6549,0.100524,5.94875,0.269625
78,5.25291,0.0321615,21.6521,0.100578,5.95406,0.269729
79,5.25329,0.0321715,21.6506,0.100684,5.96143,0.269691
80,5.25328,0.0321576,21.6448,0.100779,5.97068,0.269895
81,5.2535,0.032115,21.6416,0.100891,5.98068,0.269696
82,5.25344,0.0321241,21.6342,0.100968,5.98842,0.26974
83,5.25369,0.0321449,21.6333,0.101002,5.9958,0.27039
84,5.25393,0.0321936,21.6301,0.101125,6.00435,0.270924
85,5.25415,0.032251,21.6327,0.101181,6.0107,0.270918
86,5.25435,0.0322668,21.629,0.10126,6.01462,0.270775
87,5.25463,0.0322908,21.6273,0.101047,6.0188,0.271026
88,5.25503,0.032317,21.6293,0.100841,6.02466,0.271074
89,5.25562,0.0322901,21.6314,0.100705,6.02824,0.271152
90,5.25625,0.032314,21.6328,0.100716,6.03219,0.271437
91,5.25672,0.0323201,21.6383,0.100921,6.03407,0.271629
92,5.25735,0.032267,21.6411,0.10099,6.036,0.272514
93,5.25772,0.0322577,21.6396,0.101033,6.03509,0.273144
94,5.2584,0.0322921,21.6392,0.101075,6.03659,0.273548
95,5.25832,0.0322815,21.6336,0.101035,6.03462,0.273878
96,5.25805,0.0323113,21.6292,0.101061,6.03436,0.273996
97,5.25792,0.0322861,21.6249,0.101022,6.0346,0.273978
98,5.25807,0.0323024,21.6239,0.100953,6.03342,0.273699
99,5.25793,0.0323182,21.6246,0.101067,6.02476,0.273522
100,5.25791,0.0322586,21.627,0.101082,6.02227,0.273252
101,5.25818,0.0322408,21.625,0.101034,6.02204,0.273441
102,5.25832,0.0322111,21.6255,0.100955,6.0182,0.273789
103,5.2582,0.0321928,21.6271,0.100866,6.01387,0.274565
104,5.25804,0.0322053,21.6308,0.1008,6.00596,0.27532
105,5.258,0.0322374,21.6303,0.100847,6.0007,0.275544
106,5.25835,0.0322636,21.6302,0.100863,5.99804,0.275147
107,5.25815,0.0322424,21.6317,0.100773,5.99391,0.274485
108,5.25794,0.0322268,21.6322,0.100745,5.99118,0.274028
109,5.25784,0.0321961,21.6345,0.100749,5.98898,0.273732
