standEta_fi_abscissa,standEta_fi_cdf,standEta_V_abscissa,standEta_V_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,split
0.40391,0.664286,0.547035,0.664286,0.601644,0.664286,All
0.410083,0.671429,0.567724,0.671429,0.60969,0.671429,All
0.460792,0.678571,0.598803,0.678571,0.616583,0.678571,All
0.461406,0.685714,0.613356,0.685714,0.624003,0.685714,All
0.46835,0.692857,0.638424,0.692857,0.624472,0.692857,All
0.468427,0.7,0.646837,0.7,0.627689,0.7,All
0.524452,0.707143,0.682827,0.707143,0.643141,0.707143,All
0.5339,0.714286,0.694137,0.714286,0.644835,0.714286,All
0.538902,0.721429,0.699463,0.721429,0.654625,0.721429,All
0.584987,0.728571,0.7112,0.728571,0.683143,0.728571,All
0.618993,0.735714,0.729101,0.735714,0.685608,0.735714,All
0.668639,0.742857,0.747388,0.742857,0.700213,0.742857,All
0.673704,0.75,0.749762,0.75,0.723379,0.75,All
0.689999,0.757143,0.752511,0.757143,0.743773,0.757143,All
0.727821,0.764286,0.75715,0.764286,0.769753,0.764286,All
0.730223,0.771429,0.776302,0.771429,0.774527,0.771429,All
0.795782,0.778571,0.777279,0.778571,0.777204,0.778571,All
0.799093,0.785714,0.782421,0.785714,0.811597,0.785714,All
0.805269,0.792857,0.847973,0.792857,0.838377,0.792857,All
0.83216,0.8,0.851906,0.8,0.852712,0.8,All
0.880298,0.807143,0.871077,0.807143,0.852745,0.807143,All
0.880481,0.814286,0.891418,0.814286,0.858838,0.814286,All
0.890492,0.821429,0.900856,0.821429,0.861828,0.821429,All
0.936331,0.828571,0.947296,0.828571,0.88088,0.828571,All
0.955154,0.835714,0.99535,0.835714,0.897473,0.835714,All
0.977798,0.842857,1.0125,0.842857,0.9175,0.842857,All
0.998545,0.85,1.04201,0.85,0.937282,0.85,All
1.00588,0.857143,1.0484,0.857143,0.941024,0.857143,All
1.0806,0.864286,1.06049,0.864286,0.949853,0.864286,All
1.13589,0.871429,1.07198,0.871429,0.954122,0.871429,All
1.14795,0.878571,1.09375,0.878571,0.955208,0.878571,All
1.15068,0.885714,1.1081,0.885714,0.970619,0.885714,All
1.17053,0.892857,1.1227,0.892857,0.984677,0.892857,All
1.17541,0.9,1.15185,0.9,1.01003,0.9,All
1.18847,0.907143,1.22083,0.907143,1.01447,0.907143,All
1.20323,0.914286,1.23104,0.914286,1.04792,0.914286,All
1.22747,0.921429,1.36001,0.921429,1.0489,0.921429,All
1.24759,0.928571,1.40842,0.928571,1.10647,0.928571,All
1.28323,0.935714,1.41527,0.935714,1.19686,0.935714,All
1.29346,0.942857,1.42243,0.942857,1.25088,0.942857,All
1.40807,0.95,1.44086,0.95,1.26396,0.95,All
1.41899,0.957143,1.5386,0.957143,1.26825,0.957143,All
1.42978,0.964286,1.60568,0.964286,1.27014,0.964286,All
1.44379,0.971429,1.69404,0.971429,1.34305,0.971429,All
1.45717,0.978571,1.86437,0.978571,1.37092,0.978571,All
1.49336,0.985714,1.92876,0.985714,1.37284,0.985714,All
1.56224,0.992857,2.17494,0.992857,1.38057,0.992857,All
1.74357,1,2.35318,1,1.43771,1,All
4,1,4,1,4,1,All
