rep,ID,standEta_fi_simulated,standEta_V_simulated,standEta_Cl_simulated,filter
6,8,-0.750265,-1.20976,0.774527,0
7,8,-0.111739,-0.889314,1.43771,0
8,8,-0.486697,-0.290254,1.26825,0
9,8,-0.582016,0.00247929,1.38057,0
0,9,0.238974,0.180127,-0.337414,0
1,9,-0.194271,0.547035,-0.475212,0
2,9,0.36876,0.729101,0.0328223,0
3,9,0.524452,0.394679,-0.185694,0
4,9,-0.0760163,0.348999,-0.098358,0
5,9,0.0493566,0.450304,-0.629548,0
6,9,0.410083,0.747388,-0.0961462,0
7,9,0.890492,0.847973,0.336883,0
8,9,0.361778,-0.0439157,-0.409289,0
9,9,0.374444,0.567724,-0.528092,0
0,10,-0.380777,-0.698529,-2.14192,0
1,10,0.00281525,-0.241977,-2.07558,0
2,10,0.460792,0.0842886,-1.56593,0
3,10,0.151908,-0.316488,-1.49952,0
4,10,0.400765,-0.894501,-1.68613,0
5,10,-0.716205,-0.553922,-2.1194,0
6,10,-0.11946,-0.926388,-1.93841,0
7,10,-0.070885,-0.27888,-1.81589,0
8,10,0.296441,-0.0305647,-1.65413,0
9,10,0.0268654,-0.272339,-1.76004,0
0,11,1.20323,1.09375,0.624003,0
1,11,1.74357,1.5386,0.852712,0
2,11,0.799093,0.0353872,0.769753,0
3,11,0.955154,-0.0315072,0.60969,0
4,11,1.28323,1.92876,0.811597,0
5,11,1.44379,1.41527,0.858838,0
6,11,0.46835,-0.239842,0.743773,0
7,11,1.00588,1.60568,0.566345,0
8,11,0.468427,0.638424,0.601644,0
9,11,0.5339,1.1081,0.437278,0
0,12,0.805269,0.0157851,-0.020025,0
1,12,0.880298,0.211072,-0.341749,0
2,12,0.673704,0.947296,-0.167525,0
3,12,1.40807,0.0807168,0.207261,0
4,12,1.45717,0.851906,0.176397,0
5,12,0.727821,0.253163,0.0822986,0
6,12,1.18847,0.682827,-0.174927,0
7,12,1.0806,0.749762,0.18256,0
8,12,1.15068,0.613356,-0.263434,0
9,12,0.730223,0.891418,-0.204872,0
0,13,1.49336,1.0484,-0.154179,0
1,13,1.17541,1.44086,-0.0739161,0
2,13,1.41899,-0.320122,-0.107524,0
3,13,1.56224,1.42243,0.0519113,0
4,13,0.461406,1.04201,-0.581274,0
5,13,0.795782,-0.33225,-0.062561,0
6,13,1.17053,0.124145,0.112853,0
7,13,1.13589,1.1227,0.00479012,0
8,13,1.22747,0.694137,-5.07841e-05,0
9,13,0.668639,0.50273,-0.793821,0
0,14,-1.14456,-1.02308,-0.0599668,0
1,14,-0.188627,0.0930302,0.598795,0
2,14,-0.422229,-0.868048,1.01003,0
3,14,0.936331,0.598803,0.937282,0
4,14,0.0696859,-0.105798,0.861828,0
5,14,-0.790494,-0.234972,0.282417,0
6,14,-0.270009,-1.02122,0.46669,0
7,14,-0.378378,-0.740815,0.521043,0
8,14,-2.30888,-1.52141,0.409039,0
9,14,-0.775855,-0.0789634,0.777204,0
