iteration,convergenceIndicator,phase,Cl_pop,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,a1,b1,a2,b2
31,1628.49,1,4.54336,51.674,5.23793,198.817,0.694937,0.989606,1.78013,1.04023,0.643916,0.214639,0.643916,0.214639
32,1605.21,1,4.59533,46.7248,4.61754,164.524,0.677341,0.964549,1.73505,1.01389,0.61172,0.203907,0.61172,0.203907
33,1591.87,1,4.8544,38.0616,4.70327,164.747,0.66019,0.940126,1.74369,0.988219,0.581134,0.193711,0.581134,0.193711
34,1565.78,1,4.80721,40.9257,4.62114,159.734,0.643474,0.916321,1.9246,0.963196,0.552078,0.184026,0.552078,0.184026
35,1544.32,1,5.01934,33.3606,3.52042,160.76,0.627181,0.893119,1.87586,0.938808,0.524474,0.174825,0.524474,0.174825
36,1531.97,1,4.80669,37.102,6.4132,148.482,0.6113,0.870505,1.82837,0.915036,0.49825,0.166083,0.49825,0.166083
37,1499.46,1,4.93117,42.231,4.56083,123.061,0.595821,0.848463,1.78933,0.891867,0.473338,0.157779,0.473338,0.157779
38,1486.69,1,4.80278,39.2788,4.94687,105.981,0.580735,0.82698,1.74403,0.869285,0.449671,0.14989,0.449671,0.14989
39,1460.17,1,5.03261,35.2963,5.84877,94.416,0.56603,0.80604,1.69987,0.847274,0.427187,0.142396,0.427187,0.142396
40,1452.39,1,5.06958,33.7329,7.59151,110.664,0.551698,0.785631,1.74113,0.829989,0.405828,0.135276,0.405828,0.135276
41,1415.78,1,4.98545,36.2421,7.62792,109.788,0.537729,0.765738,1.69705,0.833766,0.385536,0.128512,0.385536,0.128512
42,1403.75,1,5.54175,34.008,8.91581,88.8283,0.524113,0.746349,1.65408,0.812655,0.36626,0.122087,0.36626,0.122087
43,1381.7,1,5.16139,29.5392,6.55764,92.7635,0.510842,0.727451,1.6122,0.836015,0.347947,0.115982,0.347947,0.115982
44,1355.37,1,4.94039,28.274,7.91603,99.0308,0.497908,0.709032,1.57137,0.814847,0.330549,0.110183,0.330549,0.110183
45,1342.74,1,4.83881,24.7277,6.96122,97.3735,0.4853,0.691079,1.53159,0.794214,0.314022,0.104674,0.314022,0.104674
46,1332.49,1,4.83318,28.6631,5.2139,96.6829,0.473012,0.67358,1.54108,0.794296,0.298321,0.0994403,0.298321,0.0994403
47,1318.75,1,4.81114,27.3691,5.50904,100.726,0.461035,0.656525,1.50206,0.778398,0.283405,0.0944682,0.283405,0.0944682
48,1292.45,1,5.01083,26.4266,5.84353,83.235,0.449362,0.639901,1.57318,0.758689,0.269234,0.0897448,0.269234,0.0897448
49,1270.3,1,5.00851,27.5935,6.17253,81.3167,0.437984,0.623699,1.53335,0.739478,0.255773,0.0852576,0.255773,0.0852576
50,1252.87,1,5.07001,25.5683,6.04925,71.5742,0.426894,0.607906,1.49452,0.720754,0.242984,0.0809947,0.242984,0.0809947
51,1234,1,5.00088,26.1158,5.05973,73.4684,0.416084,0.592514,1.45668,0.766616,0.230835,0.076945,0.230835,0.076945
52,1210.53,1,4.98135,26.0973,5.99027,65.7959,0.405549,0.577511,1.4198,0.755932,0.219293,0.0730977,0.219293,0.0730977
53,1204.66,1,4.92792,24.7749,5.36754,64.7127,0.39528,0.562888,1.38385,0.799181,0.208329,0.0694428,0.208329,0.0694428
54,1187.48,1,4.91993,22.1188,4.82473,60.0797,0.385271,0.548635,1.34881,0.778945,0.197912,0.0659707,0.197912,0.0659707
55,1172.79,1,5.11855,24.397,5.43763,50.2068,0.375516,0.534744,1.31466,0.759222,0.188016,0.0626722,0.188016,0.0626722
56,1154.9,1,5.07037,26.3643,4.37967,45.7729,0.366008,0.521204,1.28137,0.739998,0.178616,0.0595386,0.178616,0.0595386
57,1128.2,1,5.12336,25.9962,3.89523,49.2089,0.35674,0.508006,1.24892,0.721261,0.169685,0.0565616,0.169685,0.0565616
58,1114.05,1,4.84232,24.0474,3.79876,46.7101,0.347707,0.495143,1.2173,0.852528,0.161201,0.0537335,0.161201,0.0537335
59,1095.37,1,4.8535,23.9108,4.22282,53.2761,0.338903,0.482606,1.18648,0.830942,0.153141,0.0510469,0.153141,0.0510469
60,1091.52,1,4.95326,24.6755,4.32135,45.3924,0.330322,0.470386,1.15643,0.809902,0.145484,0.0484945,0.145484,0.0484945
61,1067.85,1,5.14055,25.6773,4.70329,48.1944,0.321958,0.458476,1.12715,0.789394,0.138209,0.0460698,0.138209,0.0460698
62,1059.33,1,5.14419,26.7,4.09508,46.7076,0.313806,0.446867,1.09861,0.769407,0.131299,0.0437663,0.131299,0.0437663
63,1063.75,1,5.16998,24.8466,3.83381,42.3533,0.30586,0.435552,1.0708,0.749925,0.124734,0.041578,0.124734,0.041578
64,1044.91,1,5.20094,25.3408,4.31204,39.799,0.298116,0.424524,1.04368,0.730936,0.118497,0.0394991,0.118497,0.0394991
65,1040.48,1,5.17723,25.8091,4.67986,37.4853,0.290567,0.413774,1.01726,0.71609,0.112572,0.0375241,0.112572,0.0375241
66,1033.65,1,5.21843,23.7505,5.67368,36.6066,0.28321,0.403297,0.991498,0.697959,0.106944,0.0356479,0.106944,0.0356479
67,1007.85,1,5.19166,24.0661,5.30925,38.7661,0.276039,0.393086,0.966393,0.680286,0.203488,2.22045e-16,0.101597,0.0338655
68,1008.64,1,5.16859,24.156,5.02313,39.2281,0.269049,0.383133,0.941923,0.663061,0.210774,2.22045e-16,0.0965168,0.0321723
69,997.744,1,5.15739,23.8985,5.53995,42.0644,0.262237,0.373431,0.918073,0.646272,0.227729,2.22045e-16,0.0916909,0.0305636
70,996.855,1,5.06652,24.2523,5.14015,43.4322,0.255597,0.363976,0.894827,0.629908,0.221015,2.22045e-16,0.0871064,0.0290355
71,990.16,1,5.08723,23.4949,5.32753,45.1864,0.249125,0.35476,0.872169,0.625964,0.228,2.22045e-16,0.0827511,0.0275837
72,987.9,1,5.09217,23.7338,5.02614,42.5101,0.242817,0.345777,0.850085,0.610114,0.24743,2.22045e-16,0.0786135,0.0262045
73,968.332,1,5.10743,23.5313,4.9743,38.2857,0.236669,0.337022,0.828561,0.607741,0.258623,2.22045e-16,0.0746828,0.0248943
74,963.144,1,5.08915,22.1546,5.00371,36.8007,0.230676,0.328488,0.807581,0.592353,0.253393,2.22045e-16,0.0709487,0.0236496
75,951.28,1,5.12664,22.6197,5.1624,38.3715,0.224835,0.320171,0.787133,0.582807,0.262253,2.22045e-16,0.0674013,0.0224671
76,939.24,1,5.07864,22.8374,4.5872,34.725,0.225378,0.312064,0.767202,0.56805,0.267314,2.22045e-16,0.0640312,0.0213437
77,940.185,1,5.09859,23.1598,4.55733,34.7639,0.230215,0.304162,0.747776,0.555968,0.267426,2.22045e-16,0.0608296,0.0202765
78,935.493,1,5.11262,23.2084,4.29618,35.0988,0.230911,0.296461,0.728842,0.541891,0.275065,2.22045e-16,0.0577882,0.0192627
79,925.966,1,5.09835,22.5297,4.50011,33.6765,0.233357,0.288954,0.710387,0.52817,0.281431,2.22045e-16,0.0548988,0.0182996
80,911.58,1,5.08831,21.9902,4.75848,33.8452,0.230311,0.281638,0.6924,0.514796,0.286881,2.22045e-16,0.0521538,0.0173846
81,919.172,1,5.10216,21.5554,5.16509,33.8659,0.246869,0.274506,0.674868,0.501761,0.292468,2.22045e-16,0.0495461,0.0165154
82,913.435,1,5.0593,21.4746,5.26764,35.6529,0.24297,0.267556,0.65778,0.517136,0.29214,2.22045e-16,0.0470688,0.0156896
83,905.588,1,5.06917,21.6606,5.44654,34.8915,0.236818,0.260781,0.641125,0.557862,0.293441,2.22045e-16,0.0447154,0.0149051
84,890.206,1,5.0987,21.963,5.39046,33.3181,0.242095,0.254178,0.624891,0.599584,0.297068,2.22045e-16,0.0424796,0.0141599
85,884.963,1,5.078,22.0384,5.39358,33.0535,0.25104,0.247742,0.609068,0.584402,0.296701,2.22045e-16,0.0403556,0.0134519
86,877.087,1,5.08346,22.2908,5.20562,31.105,0.24804,0.241469,0.593646,0.572798,0.295941,2.22045e-16,0.026526,0.0173306
87,876.806,1,5.06109,22.1403,5.18229,31.3857,0.241759,0.235355,0.578615,0.6521,0.298262,2.22045e-16,0.018881,0.0197285
88,872.712,1,5.08016,22.0106,5.27278,30.9958,0.240475,0.229396,0.567423,0.66086,0.297597,2.22045e-16,0.0199049,0.0183595
89,880.193,1,5.09084,22.0514,5.43751,30.5291,0.240866,0.243508,0.575854,0.648577,0.301848,2.22045e-16,0.0203923,0.0185927
90,871.97,1,5.05891,21.6906,5.07356,31.9049,0.244992,0.245179,0.561273,0.677158,0.300624,2.22045e-16,0.0188525,0.0184224
91,865.258,1,5.10907,21.9742,5.45812,30.1863,0.243525,0.239991,0.547061,0.660012,0.297822,2.22045e-16,0.0283873,0.0142176
92,865.297,1,5.10846,21.8134,5.47692,30.4261,0.245896,0.23453,0.576356,0.6433,0.29782,2.22045e-16,0.0297257,0.0137343
93,868.1,1,5.09613,22.1084,5.41596,30.3298,0.257179,0.234208,0.561763,0.627011,0.300458,2.22045e-16,0.0233642,0.016321
94,873.826,1,5.09161,22.054,5.4602,27.6727,0.264992,0.236896,0.547538,0.659456,0.302649,2.22045e-16,0.036045,0.011652
95,874,1,5.05313,22.2236,5.26373,29.753,0.264239,0.230897,0.564398,0.642759,0.303499,2.22045e-16,0.0335461,0.0125442
96,874.035,1,5.03212,21.6114,5.31478,29.0295,0.260865,0.227617,0.567364,0.626484,0.306321,2.22045e-16,0.0393169,0.0102723
97,874.201,1,5.03615,21.7151,5.09063,31.8156,0.259278,0.23073,0.55906,0.610621,0.300863,2.22045e-16,0.0327241,0.0133906
98,878.625,1,5.05125,22.104,5.31457,30.9992,0.264274,0.225489,0.587477,0.653669,0.297197,2.22045e-16,0.0225297,0.0177788
99,868.789,1,5.14554,21.9749,5.69728,29.6523,0.257582,0.239916,0.572602,0.637118,0.296989,2.22045e-16,2.22045e-16,0.0260074
100,866.525,1,5.13117,21.7452,5.5409,30.4013,0.25106,0.257167,0.558104,0.620985,0.298763,2.22045e-16,0.0104448,0.021291
101,866.86,1,5.08565,21.5299,5.42908,29.384,0.260265,0.254828,0.543972,0.626661,0.303284,2.22045e-16,0.0290115,0.0134607
102,865.513,1,5.09775,21.8763,5.43682,26.778,0.258194,0.261494,0.541958,0.651763,0.302863,2.22045e-16,0.0206925,0.0161428
103,860.874,1,5.08236,21.3958,5.41434,30.0851,0.26293,0.256335,0.543022,0.63526,0.303015,2.22045e-16,0.0384184,0.0091008
104,870.905,1,5.07092,21.5607,5.30716,31.1406,0.265214,0.25977,0.562519,0.619175,0.304007,2.22045e-16,0.05386,0.00425454
105,860.796,1,5.10347,21.7497,5.40739,29.6092,0.259612,0.254286,0.587229,0.603497,0.305575,2.22045e-16,0.047291,0.00562967
106,850.247,1,5.08751,21.3815,5.42462,30.5654,0.258244,0.248994,0.57236,0.588216,0.311334,2.22045e-16,0.0449265,0.00534818
107,850.777,1,5.08492,21.5588,5.23628,29.1075,0.257538,0.245342,0.558341,0.581674,0.305297,2.22045e-16,0.0356247,0.00894723
108,851.613,1,5.06249,21.6061,5.02238,30.61,0.258195,0.23913,0.605032,0.566946,0.304064,2.22045e-16,0.0256587,0.0130356
109,859.504,1,5.07522,21.5971,5.11713,29.5015,0.252606,0.233075,0.62448,0.633479,0.300875,2.22045e-16,0.0220631,0.0151027
110,861.035,1,5.0565,21.9408,4.84872,28.8832,0.260148,0.227173,0.608667,0.628453,0.306018,2.22045e-16,0.0197625,0.0161345
111,861.786,1,5.05442,21.6904,5.02568,28.6755,0.256508,0.23701,0.604701,0.612541,0.303379,2.22045e-16,0.0426089,0.0075475
112,857.344,1,5.06906,21.4044,5.04248,29.292,0.251242,0.257523,0.58939,0.597031,0.305446,2.22045e-16,0.0301591,0.0116719
113,856.834,1,5.03833,21.5174,5.1006,29.8077,0.256142,0.251684,0.587246,0.581914,0.305295,2.22045e-16,0.0362695,0.00938888
114,859.302,1,5.02233,21.3209,5.12369,34.7246,0.253743,0.273766,0.605699,0.567237,0.30824,2.22045e-16,0.0403442,0.00743697
115,864.39,1,4.98733,21.3403,5.21404,37.1565,0.26247,0.269493,0.593832,0.580863,0.304149,2.22045e-16,0.0417399,0.00775275
116,859.257,1,5.02614,21.5872,5.05324,35.6413,0.261493,0.262669,0.578795,0.576133,0.30309,2.22045e-16,0.0395305,0.00842895
117,866.353,1,5.0353,22.0338,5.08278,33.8778,0.256228,0.262476,0.56414,0.618666,0.308972,2.22045e-16,0.0360363,0.00995079
118,874.019,1,5.04735,21.8226,5.28766,34.6602,0.251927,0.286394,0.569818,0.614061,0.303308,2.22045e-16,0.0297578,0.0134941
119,871.114,1,5.04867,22.0619,5.14028,33.8407,0.25117,0.279142,0.571019,0.632307,0.301401,2.22045e-16,0.0293532,0.0134986
120,866.36,1,5.02949,21.55,5.2335,31.1618,0.250726,0.272074,0.5693,0.61876,0.306751,2.22045e-16,0.0288264,0.0128084
121,863.375,1,5.07951,20.9002,5.29633,31.8938,0.244377,0.265185,0.554885,0.605466,0.300648,2.22045e-16,0.0216384,0.0161203
122,865.299,1,5.04859,21.3447,5.22694,32.0243,0.250366,0.259519,0.543086,0.60278,0.305314,2.22045e-16,0.0190548,0.0169257
123,871.533,1,5.06555,21.9915,4.97004,30.3146,0.246673,0.258442,0.529335,0.67178,0.301655,2.22045e-16,0.0293716,0.0141226
124,861.971,1,5.08565,22.2872,5.03113,29.6863,0.243623,0.256469,0.524664,0.674613,0.299187,2.22045e-16,0.0282151,0.0133577
125,868.391,1,5.08315,22.2188,4.8056,32.1782,0.246361,0.276669,0.511379,0.657531,0.299072,2.22045e-16,0.0306133,0.0134797
126,867.926,1,5.08007,22.5527,4.6733,32.0679,0.248209,0.269663,0.510288,0.640882,0.30249,2.22045e-16,0.0240792,0.0159087
127,860.128,1,5.07917,22.4241,4.86778,30.5845,0.256149,0.269319,0.497368,0.624655,0.299962,2.22045e-16,0.0252901,0.0146853
128,857.852,1,5.07638,22.3823,4.86415,31.9355,0.257347,0.274108,0.489548,0.608838,0.299628,2.22045e-16,0.0301415,0.0126534
129,863.324,1,5.09823,22.6271,4.90326,30.4661,0.256316,0.267168,0.519436,0.593422,0.299026,2.22045e-16,0.0447825,0.00803952
130,863.518,1,5.07756,22.0329,4.93004,29.5178,0.255555,0.260403,0.570167,0.578396,0.3031,2.22045e-16,0.0432449,0.00812038
131,851.154,1,5.08654,21.8721,5.02777,31.4179,0.253432,0.253809,0.55573,0.563751,0.303948,2.22045e-16,0.040069,0.00814227
132,853.4,1,5.07203,21.8003,4.93495,32.0526,0.25743,0.251831,0.544333,0.549476,0.309002,2.22045e-16,0.0438041,0.0060944
133,852.448,1,5.09388,21.9381,4.86443,30.9527,0.256143,0.255035,0.53055,0.535563,0.307734,2.22045e-16,0.0405823,0.00787724
134,852.925,1,5.10379,21.7858,4.97961,32.8506,0.254143,0.255847,0.517116,0.522003,0.306708,2.22045e-16,0.0487586,0.00523744
135,853.014,1,5.11607,21.9004,4.83231,29.2819,0.259858,0.250709,0.50776,0.508785,0.302621,2.22045e-16,0.0435871,0.00741461
136,850.832,1,5.06699,21.6284,4.92215,28.5548,0.256883,0.253454,0.507761,0.499663,0.306915,2.22045e-16,0.0278448,0.0125001
137,854.609,1,5.06732,21.5137,4.88012,26.8692,0.262568,0.259798,0.531322,0.499377,0.306577,2.22045e-16,0.0337338,0.0104292
138,854.476,1,5.0747,21.6409,4.72726,25.9902,0.261036,0.260641,0.60572,0.486732,0.305841,2.22045e-16,0.024333,0.0139694
139,850.516,1,5.08806,20.9908,4.9537,26.1547,0.256868,0.259464,0.602067,0.474408,0.304575,2.22045e-16,0.0312421,0.0113765
140,860.332,1,5.0871,21.0354,4.93098,26.7822,0.253917,0.265715,0.603843,0.462396,0.304295,2.22045e-16,0.0217938,0.0159288
141,861.704,1,5.10445,21.2675,4.87676,26.0109,0.250961,0.276358,0.613999,0.450688,0.304709,2.22045e-16,0.0292569,0.0130477
142,868.606,1,5.09262,21.2591,4.80964,25.9491,0.24727,0.279965,0.622339,0.439276,0.301149,2.22045e-16,0.0235151,0.016468
143,863.3,1,5.10544,22.1376,4.87323,28.4587,0.2618,0.272876,0.606581,0.428153,0.301295,2.22045e-16,0.0325041,0.0127142
144,852.872,1,5.11296,21.3076,4.98644,26.3214,0.255171,0.265967,0.591222,0.417312,0.298274,2.22045e-16,0.0390379,0.00997834
145,851.608,1,5.11881,21.0928,5.38254,26.1,0.261047,0.259232,0.622298,0.406746,0.303814,2.22045e-16,0.055634,0.00283787
146,852.208,1,5.13479,20.8431,5.57539,25.7522,0.256804,0.252668,0.641526,0.396447,0.29993,2.22045e-16,0.0482116,0.00580633
147,848.799,1,5.14904,20.9168,5.46892,25.1821,0.251707,0.246271,0.629597,0.386408,0.302278,2.22045e-16,0.0416614,0.00853485
148,837.326,1,5.15252,20.9704,5.62027,23.8301,0.257474,0.240035,0.663303,0.376624,0.306491,2.22045e-16,0.0395784,0.00810811
149,839.72,1,5.13808,21.0363,5.40113,24.2004,0.2528,0.234301,0.646508,0.367088,0.308138,2.22045e-16,0.0483672,0.00417806
150,841.283,1,5.11958,21.1497,5.5557,25.2606,0.263046,0.239911,0.696088,0.357793,0.309907,2.22045e-16,0.0418199,0.00623441
151,840.663,1,5.16156,21.2978,5.59465,25.956,0.260562,0.247593,0.678463,0.353052,0.305155,2.22045e-16,0.0351309,0.00912684
152,845.626,1,5.14078,20.9399,5.62623,25.9688,0.261935,0.257522,0.661283,0.397365,0.306424,2.22045e-16,0.0367559,0.00846983
153,850.213,1,5.15109,20.6069,5.87983,24.6038,0.259046,0.261836,0.644539,0.404902,0.305799,2.22045e-16,0.0345393,0.00976346
154,850.028,1,5.14523,20.4719,5.62496,26.1536,0.254872,0.274006,0.673963,0.39465,0.30646,2.22045e-16,0.0423764,0.00666554
155,847.601,1,5.12895,20.6513,5.68643,26.0953,0.258381,0.267068,0.669457,0.384657,0.303276,2.22045e-16,0.039008,0.00811942
156,848.703,1,5.14149,20.6259,5.79076,24.8962,0.256947,0.285333,0.669876,0.374917,0.304881,2.22045e-16,0.053913,0.00226998
157,850.216,1,5.14007,20.5567,5.7535,25.7967,0.26481,0.278108,0.688577,0.400107,0.310634,2.22045e-16,0.0490266,0.00363838
158,854.185,1,5.11243,20.6813,5.8448,26.325,0.267501,0.271066,0.75241,0.389976,0.306007,2.22045e-16,0.0604786,0.000312043
159,850.866,1,5.10472,20.3074,5.81185,27.0202,0.268398,0.264202,0.733358,0.380721,0.30264,2.22045e-16,0.0497795,0.00425683
160,848.549,1,5.12114,20.3928,6.03319,27.4731,0.26567,0.257513,0.726869,0.407285,0.304641,2.22045e-16,0.0471973,0.00453523
161,851.984,1,5.1251,20.4887,6.0252,27.3765,0.258943,0.250992,0.710391,0.435281,0.301303,2.22045e-16,0.0428624,0.00686283
162,845.003,1,5.13485,20.1667,5.95809,25.9057,0.25785,0.250714,0.692404,0.424259,0.308948,2.22045e-16,0.0479656,0.00397623
163,851.633,1,5.14892,20.9162,5.55478,24.8988,0.258612,0.265314,0.685389,0.418027,0.305468,2.22045e-16,0.04622,0.00517933
164,853.193,1,5.1377,21.1738,5.46324,25.5227,0.255214,0.258596,0.693988,0.41618,0.30439,2.22045e-16,0.0461643,0.00566025
165,850.187,1,5.16055,21.4752,5.57142,25.2442,0.252373,0.266894,0.676415,0.421581,0.298975,2.22045e-16,0.0431452,0.00677659
166,860.155,1,5.15902,21.0704,5.68924,25.1364,0.254668,0.272825,0.697975,0.410906,0.299948,2.22045e-16,0.0464109,0.00668999
167,863.988,1,5.09931,20.9472,5.83635,25.0928,0.265772,0.265916,0.732239,0.4226,0.302586,2.22045e-16,0.0577458,0.00228512
168,856.153,1,5.1433,20.6826,5.81613,24.9286,0.262977,0.259183,0.713698,0.412939,0.310308,2.22045e-16,0.0462601,0.00549432
169,846.097,1,5.11934,20.8427,5.84243,25.4563,0.26408,0.252621,0.695627,0.402483,0.308659,2.22045e-16,0.0401721,0.00751951
170,838.688,1,5.16053,20.8347,5.71721,26.1943,0.259288,0.246224,0.678013,0.392292,0.302646,2.22045e-16,0.0462941,0.0047735
171,842.164,1,5.12641,20.8917,5.72722,26.2098,0.260427,0.244178,0.687709,0.382359,0.305371,2.22045e-16,0.0410595,0.00656383
172,836.316,1,5.12786,21.1145,5.64103,25.7218,0.256389,0.259846,0.670296,0.372678,0.306048,2.22045e-16,0.0554293,0.000737894
173,847.707,1,5.1179,21.3289,5.50639,25.7151,0.254674,0.253266,0.653324,0.381693,0.30702,2.22045e-16,0.0510915,0.0035883
174,839.38,1,5.12957,21.6661,5.39751,26.5327,0.259534,0.247519,0.638002,0.372028,0.306126,2.22045e-16,0.041515,0.00642582
175,852.287,1,5.15564,21.292,5.37789,26.0504,0.254436,0.258866,0.621848,0.367957,0.304924,2.22045e-16,0.0431378,0.00748108
176,849.113,1,5.15375,21.5128,5.54282,25.6922,0.257143,0.252312,0.606102,0.367333,0.301554,2.22045e-16,0.0434015,0.00744765
177,848.629,1,5.1557,21.232,5.50219,25.0867,0.252975,0.245923,0.590755,0.41934,0.303263,2.22045e-16,0.0413552,0.00764435
178,845.524,1,5.1405,20.8641,5.34339,25.351,0.247652,0.24781,0.616628,0.408722,0.304115,2.22045e-16,0.0472474,0.00554261
179,843.281,1,5.11734,20.9044,5.42447,25.9065,0.26331,0.245751,0.649422,0.398373,0.310373,2.22045e-16,0.0371543,0.00816877
180,849.117,1,5.11045,21.1976,5.10696,25.0546,0.263499,0.26214,0.632978,0.397787,0.309492,2.22045e-16,0.0386349,0.00806885
181,847.802,1,5.11479,21.5286,5.1264,24.7432,0.256827,0.265803,0.616951,0.387715,0.30123,2.22045e-16,0.0369365,0.00927392
182,843.965,1,5.0961,20.9952,5.12149,25.34,0.253119,0.259073,0.601329,0.377898,0.305153,2.22045e-16,0.0344826,0.00987747
183,846.556,1,5.1291,21.2015,5.32352,24.8337,0.24671,0.275198,0.616922,0.368329,0.302065,2.22045e-16,0.0297343,0.0119198
184,846.969,1,5.13305,21.2045,5.4138,24.8855,0.254233,0.268229,0.601302,0.371108,0.305616,2.22045e-16,0.0386797,0.00857717
185,851.741,1,5.15414,21.3894,5.59516,24.8903,0.257469,0.261438,0.633389,0.420036,0.302362,2.22045e-16,0.0414542,0.00768952
186,852.793,1,5.14062,21.5501,5.52683,26.0456,0.258115,0.254818,0.677494,0.421808,0.30632,2.22045e-16,0.0467414,0.00538743
187,855.656,1,5.14081,21.8358,5.39871,27.0174,0.254528,0.265565,0.66034,0.444221,0.30059,2.22045e-16,0.0474117,0.00572927
188,855.102,1,5.15509,21.3347,5.68725,27.3696,0.253646,0.259499,0.64362,0.454065,0.304835,2.22045e-16,0.0540107,0.00287518
189,847.049,1,5.15917,21.4739,5.52874,27.7721,0.256932,0.255863,0.627323,0.442567,0.304974,2.22045e-16,0.0430413,0.00659761
190,841.956,1,5.13996,21.4953,5.25439,25.9308,0.253453,0.250514,0.611439,0.431361,0.307054,2.22045e-16,0.0384221,0.00781491
191,840.091,1,5.14628,21.1713,5.33394,24.6015,0.247979,0.244171,0.608176,0.420439,0.306935,2.22045e-16,0.0319272,0.0103097
192,854.12,1,5.11792,21.2199,5.25246,24.9505,0.253141,0.241162,0.609748,0.409793,0.308917,2.22045e-16,0.0460257,0.00621596
193,854.759,1,5.15445,21.2475,5.22653,25.3904,0.249534,0.235056,0.615196,0.400606,0.302802,2.22045e-16,0.0328656,0.011941
194,857.141,1,5.13387,20.992,5.06704,24.6742,0.250853,0.245396,0.61113,0.390463,0.303311,2.22045e-16,0.0409904,0.00909938
