iteration,convergenceIndicator,phase,Cl_pop,Q_pop,V1_pop,V2_pop,b,omega_Cl,omega_Q
38,388.399,1,10.1712,10.9547,42.5327,51.5422,0.0980011,0.263102,0.992319
39,382.422,1,10.1583,10.5285,42.8619,53.3441,0.0954807,0.264392,0.980439
40,385.252,1,10.1503,10.0331,43.2195,56.1842,0.0980892,0.261728,0.945473
41,384.524,1,10.1592,9.79239,43.396,57.4648,0.0976456,0.264634,0.929139
42,386.48,1,10.1847,9.80762,43.8516,56.3381,0.0986543,0.267385,0.932413
43,383.608,1,10.2229,10.177,43.6373,54.0162,0.0982005,0.254707,0.939991
44,378.99,1,10.1847,9.88716,43.5979,54.3194,0.0961363,0.253128,0.898951
45,382.781,1,10.2508,10.0666,43.3562,51.5123,0.0970464,0.251198,0.977588
46,384.161,1,10.2326,10.3266,43.36,52.7496,0.0977883,0.258701,0.938811
47,385.204,1,10.1757,9.87905,43.3157,52.4681,0.0980034,0.258073,0.927166
48,388.737,1,10.1924,10.212,43.3601,51.4848,0.10033,0.251742,0.94049
49,383.625,1,10.1879,10.5991,43.1446,50.8161,0.0962224,0.252683,0.993082
50,382.928,1,10.1896,10.5899,43.3785,51.0007,0.0952791,0.255136,1.03859
51,384.194,1,10.1758,10.1175,43.5306,50.8582,0.0957364,0.258461,1.04645
52,385.731,1,10.0919,9.80603,43.4903,53.0782,0.0950617,0.264828,1.05695
53,383.835,1,10.1281,10.0946,43.411,53.9243,0.0960462,0.265589,1.00654
54,381.418,1,10.194,10.4903,43.5551,53.6354,0.095628,0.264793,0.991153
55,378.817,1,10.2316,10.5707,43.6322,52.2545,0.0959934,0.258064,0.935466
56,378.841,1,10.2091,10.3868,43.3241,52.3033,0.0957928,0.25307,0.916009
57,382.474,1,10.1318,9.86858,43.6276,54.8715,0.0957858,0.260573,0.937094
58,376.9,1,10.1077,9.56719,43.3022,54.8466,0.0939036,0.256386,0.918388
59,378.213,1,10.1326,9.7313,43.3279,53.5881,0.0950569,0.253914,0.916155
60,376.651,1,10.1514,10.0447,43.0977,53.9277,0.0948616,0.255057,0.878304
61,382.177,1,10.2065,10.1718,43.6841,54.5057,0.0974866,0.257678,0.894356
62,381.391,1,10.2767,10.4848,44.1828,54.66,0.0974319,0.263039,0.901507
63,384.064,1,10.2534,10.2182,44.0492,53.6969,0.0972616,0.26951,0.921675
64,384.698,1,10.2533,10.2982,43.74,54.7338,0.0978092,0.269632,0.925446
65,378.318,1,10.3065,10.5706,43.661,53.7948,0.0948269,0.262825,0.97698
66,381.781,1,10.2594,10.5839,43.197,53.1853,0.0968017,0.258654,0.94607
67,383.613,1,10.1727,10.6512,43.3147,52.7049,0.0963986,0.262487,0.941102
68,383.877,1,10.2164,10.8193,43.2804,53.0673,0.0992008,0.254898,0.896173
69,383.453,1,10.2361,10.4666,43.5964,53.282,0.0995179,0.253597,0.856158
70,383.982,1,10.1844,9.935,43.6206,54.7999,0.0983379,0.25742,0.862677
71,375.859,1,10.2141,9.9183,44.1238,55.1114,0.0954405,0.262498,0.835344
72,381.162,1,10.2309,9.70691,43.8689,53.4247,0.0966781,0.252523,0.922772
73,380.994,1,10.1882,9.95343,43.1644,52.6427,0.0952731,0.251281,0.972432
74,382.13,1,10.1944,9.77318,43.3943,53.2587,0.0958187,0.255904,0.987595
75,379.09,1,10.1398,9.85816,43.2562,54.4801,0.0937031,0.261677,0.972292
76,377.436,1,10.1401,9.62937,43.5411,54.9599,0.0941522,0.258709,0.949903
77,378.083,1,10.1925,9.94088,43.484,56.832,0.0952862,0.256122,0.934282
78,383.102,1,10.2048,9.87252,43.7752,57.7279,0.0981461,0.257706,0.90288
79,381.054,1,10.1988,9.69314,44.0812,56.7739,0.0959116,0.259565,0.940848
80,382.169,1,10.1757,9.52989,44.6946,58.6862,0.0977176,0.265281,0.876253
81,385.154,1,10.1793,9.39102,44.6905,56.3122,0.100446,0.261609,0.826002
82,387.656,1,10.1553,9.1413,44.7964,57.3039,0.101808,0.261998,0.797705
83,391.555,1,10.1101,8.90297,44.7177,57.4831,0.10221,0.261323,0.833843
84,382.745,1,10.1157,8.74027,44.6248,57.5641,0.0994403,0.256228,0.80748
85,383.556,1,10.1141,8.84539,44.472,58.7159,0.0993662,0.252578,0.816985
86,384.622,1,10.1271,9.22259,44.3317,56.0885,0.0987804,0.254741,0.85572
87,384.383,1,10.1735,9.23614,44.9338,58.6297,0.0988181,0.257109,0.899476
88,383.895,1,10.1349,9.21628,44.8398,58.9013,0.0978931,0.254319,0.911242
89,381.476,1,10.1702,9.07652,44.952,58.1494,0.0973807,0.257111,0.900669
90,375.862,1,10.2053,9.16501,45.148,57.7087,0.095261,0.259028,0.877714
91,376.885,1,10.1808,9.18012,44.71,55.6766,0.0939237,0.258185,0.926022
92,378.526,1,10.2199,9.56562,44.3664,54.0939,0.0957863,0.257282,0.916379
93,384.108,1,10.2342,9.32376,44.6683,54.1877,0.098743,0.260441,0.905693
94,381.74,1,10.2618,9.77158,44.4321,53.9061,0.096862,0.257259,0.948086
95,382.412,1,10.2537,10.7014,43.8215,51.9645,0.097,0.25767,0.937093
96,383.631,1,10.2784,11.2883,43.1509,52.069,0.0983499,0.255008,0.923383
97,380.633,1,10.2663,10.8756,43.2598,52.262,0.0961933,0.262119,0.917814
98,382.636,1,10.163,10.2927,43.1191,52.9277,0.0964457,0.26276,0.90192
99,383.513,1,10.1726,10.0251,43.1731,53.3047,0.0975055,0.263297,0.898266
100,381.063,1,10.2194,10.133,43.3234,53.3703,0.0971453,0.26112,0.889797
101,385.431,1,10.1907,10.1238,43.5703,52.963,0.0974083,0.26153,0.945488
102,380.896,1,10.178,9.83102,43.6743,54.7191,0.0957847,0.269022,0.920877
103,382.756,1,10.1582,9.63217,43.7602,55.7179,0.0957358,0.27488,0.933003
104,378.688,1,10.14,9.26237,44.0569,55.309,0.0943886,0.271974,0.924505
105,377.711,1,10.2111,10.0111,44.0331,53.9266,0.0942595,0.26973,0.941147
106,376.61,1,10.1636,9.95666,43.3331,54.6719,0.0933987,0.267269,0.919789
107,377.858,1,10.1883,10.1381,43.2006,53.1892,0.0948934,0.262733,0.912057
108,380.936,1,10.1828,10.5572,43.0891,53.9564,0.0952887,0.268203,0.922829
109,385.252,1,10.2116,10.8603,43.1758,53.1935,0.0986436,0.259247,0.926699
110,381.824,1,10.208,10.9346,43.0917,52.0664,0.0961509,0.255796,0.95449
111,386.57,1,10.1428,10.9457,43.0339,49.4068,0.095623,0.262656,1.03074
112,378.967,1,10.1851,10.4819,43.352,48.9876,0.0940149,0.261374,1.01588
113,380.828,1,10.2055,10.3766,43.364,48.6196,0.0947262,0.2622,1.01405
114,384.881,1,10.2143,10.6735,42.9565,49.1628,0.0992327,0.254115,0.933835
115,380.31,1,10.2307,10.7434,43.0399,49.9538,0.0969603,0.260497,0.882806
116,383.068,1,10.2061,10.6362,43.2527,50.3083,0.0966097,0.261405,0.918148
117,379.322,1,10.1904,10.2992,43.091,51.9183,0.0958276,0.257917,0.903414
118,378.73,1,10.2041,10.3321,42.8891,51.7427,0.0948621,0.250309,0.961005
119,375.922,1,10.1934,10.0172,43.0591,53.3944,0.0925644,0.258436,0.984773
120,379.133,1,10.2069,10.3704,43.2921,52.2159,0.0941201,0.25925,1.00535
121,377.612,1,10.1894,10.2699,43.3455,51.7715,0.0939616,0.258774,0.980274
122,378.147,1,10.2002,10.0978,43.5114,50.2598,0.0944364,0.257187,0.973405
123,378.032,1,10.1599,9.88956,43.3708,51.0291,0.0939267,0.260252,0.95255
124,373.214,1,10.0954,9.3671,43.8025,54.8347,0.0906141,0.263901,0.967806
125,376.858,1,10.1134,9.83847,43.6674,53.833,0.0923848,0.261933,0.99535
126,379.681,1,10.194,10.4124,43.7671,54.6503,0.0946285,0.262567,1.00388
127,382.724,1,10.2429,10.6241,43.7626,53.8914,0.0964816,0.258363,1.01855
128,383.411,1,10.1909,10.4495,43.4081,54.3845,0.0962085,0.262565,0.983202
129,384.043,1,10.1985,10.4544,43.559,54.2344,0.0970874,0.262108,0.979043
130,385.252,1,10.1737,10.2029,43.9244,55.8055,0.0966914,0.261816,1.01169
131,382.873,1,10.2088,10.2927,43.994,54.4436,0.0976137,0.260894,0.952783
132,378.674,1,10.2421,10.0677,44.1398,52.4961,0.0961714,0.256801,0.929624
133,381.439,1,10.274,10.2738,44.0053,53.0601,0.097401,0.257213,0.924751
134,377.917,1,10.2194,10.2733,43.817,53.9329,0.0948468,0.258555,0.912421
135,383.791,1,10.1866,10.2166,43.6819,53.3098,0.09702,0.258406,0.937936
136,380.328,1,10.1387,9.75581,43.379,52.7317,0.0950555,0.254186,0.952301
137,380.155,1,10.1454,9.70478,43.6083,53.4363,0.0946069,0.261624,0.957259
138,375.415,1,10.1495,10.0595,43.3056,53.3173,0.0932987,0.261994,0.92113
139,376.528,1,10.1497,9.83107,43.4158,54.6734,0.0943994,0.259241,0.899035
140,381.005,1,10.1746,9.94353,43.3654,52.3372,0.0952071,0.258048,0.95866
141,379.897,1,10.1639,9.9418,43.5668,53.9803,0.0947591,0.264019,0.950326
142,378.143,1,10.1786,10.3065,43.2705,54.653,0.0937342,0.265053,0.964285
143,372.957,1,10.1996,10.0103,43.2512,53.2413,0.0910153,0.264561,0.994326
144,375.216,1,10.1757,10.2427,43.0238,53.3149,0.0920458,0.261164,0.996298
145,379.764,1,10.1673,9.99788,43.055,52.657,0.0937205,0.258199,1.03363
146,377.91,1,10.1491,9.95434,42.9743,53.9668,0.0937524,0.259877,0.984182
147,381.808,1,10.1703,9.81802,43.0385,52.9363,0.0959994,0.255906,0.985194
148,385.694,1,10.1793,9.68734,43.1661,51.6907,0.09829,0.249895,0.986023
149,382.666,1,10.1294,9.47078,42.932,53.2892,0.0956665,0.252196,0.986218
150,384.398,1,10.103,8.95983,43.1185,55.4505,0.0959681,0.25181,1.02112
151,380.725,1,10.1323,9.17784,43.2315,56.1106,0.0951642,0.251577,1.0132
152,386.753,1,10.1094,9.26962,43.8177,58.9902,0.0965253,0.260868,0.995263
153,377.627,1,10.152,9.51026,43.9122,57.9749,0.0947679,0.259958,0.99973
154,378.527,1,10.1763,9.51946,44.1736,57.1908,0.0947375,0.259597,0.97838
155,381.936,1,10.1504,9.27947,44.3496,57.2332,0.0954071,0.259533,0.980559
156,379.321,1,10.1401,8.95281,44.5654,56.2325,0.0955881,0.254178,0.95608
157,380.523,1,10.138,8.99225,44.5568,56.714,0.0955875,0.254847,0.959387
158,381.75,1,10.1023,8.92779,44.2703,56.9982,0.0954613,0.257656,0.963297
159,382.55,1,10.1023,9.02596,44.1491,56.4778,0.0960469,0.255718,0.957653
160,382.028,1,10.1065,8.96656,44.2915,56.8088,0.0966484,0.254088,0.931234
161,378.316,1,10.1463,9.02015,44.3378,57.9662,0.0963416,0.250923,0.911507
162,378.673,1,10.2041,9.3627,44.3141,55.9807,0.0960171,0.250589,0.937249
163,383.102,1,10.1833,9.63541,43.9242,53.4019,0.0960312,0.258074,0.967047
164,380.433,1,10.2243,9.47159,44.4301,53.7155,0.0969647,0.255666,0.918072
165,385.879,1,10.2457,9.31646,44.6391,53.3092,0.0988514,0.255048,0.906644
166,387.458,1,10.2261,9.48657,44.5069,52.9955,0.100392,0.253593,0.867811
167,382.809,1,10.2026,9.49788,44.7181,52.4449,0.0990592,0.258283,0.862189
168,382.487,1,10.1771,9.41494,44.7657,53.4697,0.0982231,0.257726,0.872168
169,386.746,1,10.1632,9.13234,45.1178,53.9626,0.098792,0.259034,0.900393
170,379.321,1,10.1848,9.30447,45.0099,55.3382,0.0971784,0.26447,0.879791
171,382.669,1,10.2079,9.46054,45.1074,55.5707,0.0975632,0.266116,0.883695
172,386.318,1,10.2093,9.79147,44.9954,56.6231,0.0994092,0.265754,0.841209
173,387.517,1,10.2128,9.99068,44.7874,56.6845,0.0999688,0.270999,0.843772
174,391.754,1,10.2379,9.70054,44.8082,56.458,0.102156,0.263529,0.853299
175,388.502,1,10.2394,9.82745,44.8216,55.1291,0.101305,0.262019,0.885153
176,382.438,1,10.2412,9.91139,44.519,56.7029,0.0991502,0.266582,0.876538
177,380.949,1,10.1707,9.24353,44.8199,55.8171,0.0971003,0.268709,0.895655
178,379.852,1,10.1623,9.16135,44.8477,57.813,0.0961649,0.271248,0.895227
179,385.122,1,10.1528,9.26015,44.5631,60.5669,0.0978212,0.271245,0.860411
180,380.133,1,10.149,9.62307,44.0823,59.9969,0.0969614,0.26774,0.85297
181,378.682,1,10.1439,9.59263,43.8619,58.7371,0.0957909,0.26658,0.876016
182,376.337,1,10.1919,9.63012,44.3481,59.175,0.0959368,0.264419,0.84011
183,378.173,1,10.1747,9.80009,44.2803,57.648,0.0961757,0.265035,0.815181
184,383.579,1,10.2036,9.83443,44.3925,57.5817,0.0981465,0.257397,0.841057
185,383.146,1,10.189,9.68622,44.3122,57.7376,0.0980537,0.258295,0.874742
186,378.849,1,10.1942,9.70514,44.4252,60.013,0.0966097,0.264098,0.886122
187,377.772,1,10.219,10.2114,44.0421,56.1725,0.0952941,0.261838,0.931655
188,375.386,1,10.2419,10.6257,43.9019,55.1406,0.0947263,0.264565,0.895816
189,379.287,1,10.238,10.4637,43.7581,53.2581,0.0953279,0.261033,0.907913
190,378.792,1,10.2464,10.6742,43.7892,52.7349,0.0952669,0.263213,0.916846
191,374.35,1,10.2122,10.7659,43.3708,52.3547,0.0942291,0.260898,0.889702
192,376.751,1,10.2261,10.7533,43.5272,52.9482,0.0941296,0.262212,0.918141
193,380.839,1,10.2094,10.7506,43.3501,53.653,0.0953175,0.264668,0.905527
194,372.544,1,10.2401,10.4418,43.7215,55.1938,0.0937793,0.268354,0.896423
195,372.786,1,10.2344,10.2123,43.7697,54.5168,0.0931747,0.262071,0.907795
196,379.721,1,10.215,10.2635,43.5897,52.9553,0.0948559,0.255879,0.913639
197,375.216,1,10.1925,10.1412,43.4567,54.7277,0.094468,0.254228,0.893184
198,371.938,1,10.2248,10.4257,43.5517,54.1183,0.0936349,0.256834,0.876178
199,373.307,1,10.2071,10.4114,43.4763,53.3485,0.0935577,0.259032,0.856621
200,374.17,1,10.1942,10.4759,43.5157,54.715,0.0934137,0.259899,0.872287
201,381.395,1,10.1455,10.0229,43.4142,53.7764,0.0955567,0.256638,0.862262
202,377.484,1,10.1317,10.1068,43.3049,53.3197,0.0952648,0.260461,0.841613
203,377.723,1,10.1241,9.95086,43.4429,53.2439,0.0948412,0.258575,0.873724
204,377.939,1,10.1332,9.88421,43.657,52.7887,0.0952118,0.256538,0.866697
205,376.671,1,10.2198,10.0961,44.2027,53.4028,0.0953576,0.259592,0.878978
206,377.235,1,10.2595,10.3353,44.3635,54.7441,0.0950534,0.259876,0.919452
207,379.143,1,10.2448,10.4353,44.1362,54.2304,0.0956319,0.261982,0.899348
208,380.429,1,10.2337,10.5623,44.189,54.0845,0.0959419,0.264835,0.898033
209,378.793,1,10.2167,10.3431,43.937,55.1314,0.0955935,0.265438,0.894201
210,375.819,1,10.1764,10.0916,43.8484,56.1608,0.0942573,0.26888,0.890814
211,379.551,1,10.1832,9.45139,44.1169,55.948,0.0952895,0.260046,0.907482
212,383.25,1,10.1503,9.32601,43.9875,57.1337,0.0967634,0.259826,0.886049
213,379.431,1,10.1579,9.58287,44.0971,57.9254,0.095823,0.262259,0.910073
214,386.196,1,10.132,9.41567,44.2846,60.7447,0.0969365,0.269181,0.925376
215,383.703,1,10.0935,8.8742,44.6257,58.2003,0.0968213,0.267815,0.927682
216,379.079,1,10.1222,8.9915,44.3985,57.9691,0.0954586,0.261778,0.959596
217,381.78,1,10.1565,8.95387,44.2893,56.3826,0.0954788,0.253992,1.01467
218,387.096,1,10.1319,8.97207,44.0784,56.2788,0.0957812,0.258843,1.07761
219,386.484,1,10.1774,8.813,44.2034,56.1849,0.0963004,0.259576,1.11052
220,382.051,1,10.1648,9.05311,44.175,55.9884,0.0956942,0.265373,1.04571
221,374.45,1,10.2032,9.534,43.9318,54.2055,0.0939024,0.256363,1.02965
222,382.789,1,10.2103,9.81883,43.8215,54.746,0.0955536,0.259082,0.987931
223,380.986,1,10.1739,9.67369,43.7566,54.2751,0.0952861,0.258076,0.988996
224,380.388,1,10.171,9.55456,43.9851,54.9625,0.0952516,0.257665,0.980322
225,381.147,1,10.1756,9.64769,43.8017,56.5162,0.0947965,0.259783,1.02095
226,381.746,1,10.1621,9.3154,43.9413,55.8263,0.0947234,0.26452,1.01965
227,384.678,1,10.1786,9.2586,43.8492,54.2911,0.0954574,0.260818,1.05528
228,384.212,1,10.17,9.08015,44.0161,54.2621,0.0963703,0.255733,1.02779
229,376.004,1,10.1772,9.18126,43.9689,53.2785,0.0947758,0.253164,0.991967
230,382.601,1,10.1816,9.3055,44.1224,52.6273,0.0953004,0.254749,1.02074
231,384.363,1,10.1438,9.54159,43.7974,52.7802,0.0950846,0.26351,1.04336
232,379.567,1,10.1739,9.59472,44.0168,51.58,0.0944283,0.263528,1.03478
233,384.72,1,10.1701,9.59133,43.9814,52.1661,0.0954031,0.268604,1.0241
234,384.302,1,10.1831,9.72633,43.9029,53.4514,0.0959564,0.267778,1.01952
235,387.601,1,10.2326,10.088,43.6313,55.4904,0.0977337,0.269843,0.987015
236,388.847,1,10.2535,10.2297,43.7028,56.4875,0.0990902,0.269646,0.965186
237,383.31,1,10.2837,10.2053,43.8409,55.4839,0.0981166,0.268078,0.963524
238,381.095,1,10.2789,9.87711,43.8666,54.0478,0.09676,0.266323,0.979788
239,381.684,1,10.2371,9.55601,43.9869,53.6972,0.09599,0.26746,0.981329
240,381.008,1,10.2111,9.78373,44.0489,54.2112,0.0955821,0.265503,0.977933
241,380.481,1,10.2054,9.56105,44.235,54.2144,0.0957888,0.260271,0.968966
242,380.361,1,10.1936,9.48594,44.1243,55.0688,0.095607,0.254647,0.994118
243,390.517,1,10.1638,9.17067,44.1846,56.1748,0.0972227,0.255885,1.07421
244,391.711,1,10.1354,9.01234,44.3155,55.7757,0.0987071,0.256276,1.05884
245,390.335,1,10.1146,8.90658,44.49,54.4894,0.0986674,0.256879,1.06496
246,385.528,1,10.1368,9.18077,44.312,54.3141,0.0975076,0.256844,1.05917
247,389.551,1,10.1143,9.26906,44.0841,53.8212,0.0981449,0.254343,1.04767
248,385.167,1,10.1821,9.83343,44.068,54.6293,0.0975296,0.252927,1.06954
249,381.319,1,10.1887,9.60363,44.2591,55.4732,0.0962537,0.25595,1.04533
250,383.468,1,10.1942,9.76282,44.0953,55.1363,0.0967247,0.252076,1.01817
251,385.73,1,10.2162,10.2032,44.0179,55.2382,0.0975546,0.257234,0.995009
252,385.249,1,10.1672,10.2257,43.2637,54.1379,0.097942,0.253072,0.950225
253,378.617,1,10.1968,10.5137,43.1418,55.3693,0.095706,0.257513,0.97789
254,378.066,1,10.2269,10.8621,43.0769,55.3904,0.0950293,0.258567,0.971402
255,379.986,1,10.2392,10.6922,43.0263,55.9438,0.0951827,0.255981,0.99098
256,375.666,1,10.2141,10.2443,43.2211,54.8525,0.0939212,0.259626,0.977272
257,385.828,1,10.1698,9.97595,43.2112,55.9794,0.0957382,0.256695,1.01423
258,391.33,1,10.1318,10.2863,42.8682,56.554,0.0976316,0.26312,1.01122
259,384.016,1,10.157,9.75553,43.5196,56.0339,0.0971076,0.260081,1.01551
260,383.034,1,10.1661,9.47463,43.9759,55.3056,0.0962717,0.258212,1.04042
261,385.233,1,10.136,9.60161,43.9851,57.0235,0.0968894,0.259181,0.995149
262,384.422,1,10.1597,9.82365,44.3428,55.6839,0.0970855,0.264255,0.968776
263,385.536,1,10.1805,9.95398,44.0914,56.7484,0.0978613,0.263674,0.940661
264,384.865,1,10.1561,10.1545,43.8788,55.8691,0.0980914,0.266078,0.894097
265,379.051,1,10.1867,10.1543,43.711,56.1196,0.0964156,0.26152,0.919741
266,381.486,1,10.1614,10.142,43.2701,54.719,0.095557,0.256782,0.977164
267,385.251,1,10.1865,10.276,43.1438,54.9162,0.096829,0.257913,0.965165
268,380.577,1,10.195,10.5349,43.0718,54.1239,0.0959643,0.260098,0.958408
269,379.748,1,10.1687,10.6722,43.1368,53.8234,0.0954766,0.263766,0.921589
270,381.223,1,10.1992,10.9741,42.761,53.3478,0.096066,0.259025,0.920153
271,381.279,1,10.2324,11.4079,42.537,53.7268,0.096833,0.259595,0.889646
272,383.961,1,10.2649,11.8956,42.5101,51.8016,0.0973747,0.257368,0.929503
273,377.819,1,10.253,11.3955,42.7287,52.0549,0.0962009,0.257841,0.910426
274,371.804,1,10.232,11.3065,42.6813,53.0965,0.0936823,0.25909,0.910638
275,376.266,1,10.2026,10.9573,42.6486,54.4929,0.0938646,0.25828,0.909118
276,371.915,1,10.199,10.6469,42.7967,53.8627,0.092852,0.257001,0.910656
277,373.91,1,10.2126,10.719,43.0149,53.6908,0.0929815,0.256433,0.916506
278,375.733,1,10.2127,10.7176,43.1791,52.667,0.0935206,0.25569,0.916882
279,373.04,1,10.2032,10.6243,43.219,52.9917,0.0929598,0.257462,0.910256
280,376.21,1,10.1967,10.5587,43.07,53.3182,0.093602,0.253779,0.921054
281,377.643,1,10.1842,10.3128,43.1451,54.4609,0.0937708,0.256502,0.943035
282,378.565,1,10.2078,10.0494,43.5111,54.4914,0.0941226,0.259482,0.96478
283,376.554,1,10.2122,9.9666,43.5032,53.694,0.0944986,0.257356,0.929877
284,374.506,1,10.2409,10.186,43.5801,54.8538,0.0933103,0.261704,0.965796
285,377.56,1,10.2354,10.4034,43.4433,53.0585,0.0934661,0.261131,0.989064
286,378.465,1,10.2116,10.2545,43.5742,52.6535,0.0934721,0.263525,1.00062
287,380.265,1,10.2155,10.1672,43.7387,53.5393,0.0945742,0.263394,0.977241
288,378.507,1,10.2241,10.1101,44.0238,54.9138,0.094941,0.263704,0.948476
289,381.87,1,10.2278,9.95422,44.0378,54.8024,0.0963381,0.263451,0.91822
290,385.068,1,10.2314,9.68246,44.248,54.5481,0.0978131,0.260903,0.920435
291,380.522,1,10.2291,9.5026,44.33,54.886,0.0971933,0.260762,0.912772
292,380.258,1,10.2247,9.17396,44.648,56.1343,0.096424,0.263104,0.932708
293,383.252,1,10.2385,9.3598,44.7724,55.722,0.0975283,0.258158,0.928862
294,376.984,1,10.2647,9.76193,44.5566,54.4522,0.0961811,0.260039,0.917946
295,383.586,1,10.2136,9.57383,44.3436,55.2216,0.0971433,0.265102,0.890836
296,379.475,1,10.1817,9.83995,43.8662,54.9709,0.09582,0.263844,0.918611
297,377.136,1,10.1642,9.95564,43.7649,54.7925,0.0951162,0.26023,0.903588
298,379.776,1,10.153,9.91248,43.6726,56.5222,0.0957196,0.257506,0.886716
299,380.054,1,10.1206,9.47733,43.7494,57.7592,0.0958024,0.253746,0.902048
300,382.548,1,10.1828,9.77834,43.9931,57.473,0.0970022,0.25141,0.917106
301,382.588,1,10.1521,9.52623,44.1614,55.9423,0.0971788,0.252597,0.913546
302,385.732,1,10.1617,9.4185,44.2535,56.1387,0.0981787,0.254534,0.922939
303,385.389,1,10.1721,9.65356,44.3969,55.4698,0.0981205,0.258287,0.936945
304,383.962,1,10.194,9.86092,44.3549,55.9696,0.0976697,0.263581,0.940754
305,378.647,1,10.2034,9.9587,43.8287,56.391,0.0963631,0.261168,0.926601
306,375.434,1,10.2247,9.71797,44.0457,55.9927,0.0955488,0.257276,0.906488
307,371.633,1,10.2306,9.60957,44.0631,55.1661,0.0937445,0.255993,0.919775
308,375.236,1,10.2003,9.57159,44.0242,54.628,0.0930663,0.258903,0.956934
309,375.243,1,10.174,9.63465,43.8187,54.6588,0.0931796,0.258554,0.937285
310,377.211,1,10.1167,9.46519,43.9817,55.8138,0.093218,0.261963,0.936868
311,383.151,1,10.1424,9.37983,44.4239,56.2574,0.0963535,0.259302,0.882027
312,382.986,1,10.1441,9.16956,44.5562,55.9603,0.0984392,0.253319,0.826323
313,383.57,1,10.1094,9.02319,44.4816,58.7617,0.0982558,0.255384,0.844711
314,388.254,1,10.066,8.85315,44.4849,59.8622,0.0994384,0.258329,0.841148
315,384.276,1,10.0986,8.67729,44.8345,58.7821,0.0994057,0.258643,0.835482
316,388.036,1,10.1217,8.77588,44.7486,59.5867,0.0996123,0.264879,0.86515
317,386.478,1,10.1121,8.78734,44.3967,57.2796,0.0992034,0.261111,0.885756
318,387.632,1,10.1348,8.71545,44.6486,57.6672,0.0989951,0.258619,0.951298
319,384.209,1,10.0776,8.66949,44.7732,61.5663,0.0973506,0.263999,0.959086
