iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCRMLMIN,V1_pop,Q_pop,V2_pop,omega_Cl,omega_V1,omega_Q,omega_V2,corr_V2_V1,a1,a2
111,766.103,1,5.2748,0.642131,19.8459,6.63846,22.2436,0.207799,0.276466,0.649427,0.259025,0.998743,0.302678,0.0666703
112,766.604,1,5.28846,0.623218,19.9032,7.05834,22.2975,0.208305,0.274346,0.672041,0.260206,0.998743,0.302514,0.0656963
113,752.42,1,5.2815,0.638494,19.8264,7.0548,22.281,0.207271,0.271819,0.679192,0.257201,0.998743,0.297719,0.064236
114,762.405,1,5.25955,0.635981,19.7219,6.97946,22.2003,0.207501,0.272483,0.668823,0.259868,0.998743,0.306273,0.0657907
115,768.312,1,5.25451,0.648096,19.625,7.06388,22.0717,0.209865,0.268663,0.710957,0.255232,0.998743,0.303838,0.0680702
116,773.202,1,5.28296,0.667744,19.5513,7.05588,21.9856,0.210847,0.267082,0.736641,0.254519,0.998743,0.304527,0.0681908
117,769.516,1,5.28361,0.646462,19.5628,7.20934,21.9952,0.210913,0.265782,0.753418,0.254183,0.998743,0.304558,0.0676337
118,775.912,1,5.27193,0.622655,19.7078,6.84983,22.1861,0.211923,0.278062,0.734341,0.26551,0.998743,0.30754,0.0671104
119,769.875,1,5.27862,0.638749,19.6631,7.04404,22.125,0.206557,0.283883,0.715747,0.272886,0.998743,0.299753,0.0679484
120,761.92,1,5.26502,0.616709,19.6052,7.2418,22.1083,0.203152,0.277483,0.697624,0.265976,0.998743,0.304163,0.066228
121,762.872,1,5.25493,0.617845,19.6875,7.13299,22.1674,0.204939,0.276318,0.67996,0.263651,0.998743,0.301971,0.064551
122,756.896,1,5.27094,0.62963,19.5705,7.21328,22.0592,0.20736,0.279165,0.662743,0.264741,0.998743,0.300689,0.064969
123,755.171,1,5.25998,0.613213,19.4806,7.01705,21.9287,0.208563,0.288942,0.645962,0.275132,0.998743,0.302042,0.0633884
124,755.499,1,5.25448,0.623032,19.5242,6.54991,22.0212,0.206576,0.286366,0.629605,0.27353,0.998743,0.304003,0.0644867
125,764.686,1,5.27511,0.62492,19.5501,7.08206,22.0553,0.206275,0.285042,0.617005,0.270431,0.998743,0.302905,0.0670646
126,764.425,1,5.25688,0.61854,19.6309,7.01547,22.0624,0.205684,0.280147,0.630604,0.265103,0.998743,0.30413,0.0660667
127,760.538,1,5.28794,0.651645,19.8129,7.13318,22.2349,0.200476,0.286486,0.629903,0.272817,0.998743,0.298559,0.0658273
128,767.106,1,5.28133,0.637044,19.8399,7.02289,22.1862,0.205218,0.281469,0.623048,0.268593,0.998743,0.301706,0.0675773
129,765.092,1,5.27421,0.619858,19.8942,7.10149,22.2806,0.204336,0.282667,0.649336,0.269542,0.998743,0.302216,0.0666707
130,758.417,1,5.28626,0.607141,19.9008,7.44848,22.2449,0.20359,0.283579,0.65403,0.269112,0.998743,0.296341,0.0651262
131,762.247,1,5.31836,0.629086,20.0069,7.21986,22.456,0.210752,0.292993,0.63747,0.278609,0.998743,0.303066,0.0634904
132,763.516,1,5.30037,0.606814,20.0477,6.78449,22.4935,0.212122,0.296963,0.636159,0.278405,0.998743,0.305019,0.064031
