iteration,convergenceIndicator,phase,Cl_pop,beta_Cl_logtCLCRMLMIN,V1_pop,Q_pop,V2_pop,bias_pop,omega_Cl,omega_V1,omega_Q,omega_V2,bias_sd,corr_V2_V1,a1,a2
21,1478.45,1,5.49149,0.510508,37.748,2.73057,43.5568,1.26427,0.898105,0.898105,1.53402,0.898105,1.37698,0.999,0.898105,0.898105
22,1465.3,1,5.50377,0.858121,35.9843,3.28897,41.7116,1.29593,0.875365,0.875365,1.49518,0.875365,1.34212,0.999,0.875365,0.875365
23,1462.97,1,5.03878,0.654735,33.677,3.01084,39.2189,1.21664,0.8532,0.8532,1.45732,0.8532,1.50174,0.999,0.8532,0.8532
24,1438.06,1,5.00944,0.732254,34.0185,2.38583,39.6796,0.883808,0.831597,0.831597,1.42042,0.831597,1.46372,0.999,0.831597,0.831597
25,1432.54,1,5.13762,0.72683,32.1861,3.49282,37.2841,1.02708,0.81054,0.81054,1.41562,0.81054,1.47949,0.999,0.81054,0.81054
26,1416.25,1,5.26852,0.429908,32.0151,4.47363,37.2163,1.10516,0.790017,0.790017,1.55446,0.790017,1.44203,0.999,0.790017,0.790017
27,1408.28,1,5.46254,0.661649,29.3547,4.09654,34.0235,1.26132,0.770013,0.770013,1.5151,0.770013,1.43007,0.999,0.770013,0.770013
28,1389,1,5.49826,0.640253,27.8203,5.25975,32.3563,1.20164,0.750516,0.750516,1.47919,0.750516,1.39386,0.999,0.750516,0.750516
29,1385.37,1,5.3998,0.511126,30.2684,5.48242,35.0428,1.06028,0.731512,0.731512,1.44174,0.731512,1.35857,0.999,0.731512,0.731512
30,1366.19,1,5.39704,0.52598,27.5864,5.7951,32.1976,0.825742,0.71299,0.71299,1.40523,0.71299,1.45287,0.999,0.71299,0.71299
31,1357.3,1,5.24582,0.385929,26.0793,4.87917,30.2346,0.908823,0.694937,0.694937,1.36965,0.694937,1.41609,0.999,0.694937,0.694937
32,1345.31,1,5.4664,0.456075,25.2584,5.1963,29.2984,0.998442,0.677341,0.677341,1.34129,0.677341,1.38023,0.999,0.677341,0.677341
33,1332.81,1,5.54112,0.458006,26.6125,5.6454,30.7836,0.862233,0.66019,0.66019,1.30733,0.66019,1.34528,0.999,0.66019,0.66019
34,1322.74,1,5.4306,0.623321,26.4016,5.20132,30.5956,0.963855,0.643474,0.643474,1.27423,0.643474,1.31122,0.999,0.643474,0.643474
35,1300.3,1,5.41185,0.862541,27.0458,5.13312,31.4178,1.17576,0.627181,0.627181,1.28594,0.627181,1.28258,0.999,0.627181,0.627181
36,1285.79,1,5.53102,0.530356,26.2325,4.54846,30.3343,1.06539,0.6113,0.6113,1.25338,0.6113,1.2501,0.999,0.6113,0.6113
37,1269.75,1,5.58257,0.651798,25.7217,4.99935,29.9054,1.05595,0.595821,0.595821,1.22165,0.595821,1.21845,0.999,0.595821,0.595821
38,1261.22,1,5.52468,0.682682,27.443,6.6913,31.8173,1.11998,0.580735,0.580735,1.19071,0.580735,1.1876,0.999,0.580735,0.580735
39,1251.21,1,5.37531,0.578102,25.5834,6.24136,29.5408,0.784947,0.56603,0.56603,1.16056,0.56603,1.20078,0.999,0.56603,0.56603
40,1245.49,1,5.42748,0.574235,24.4879,6.5178,28.4283,0.956826,0.551698,0.551698,1.13118,0.551698,1.23173,0.999,0.551698,0.551698
41,1229.15,1,5.52486,0.564024,25.1174,6.61255,29.0915,0.771613,0.537729,0.537729,1.14638,0.537729,1.20054,0.999,0.537729,0.537729
42,1227.76,1,5.71421,0.522004,26.7785,6.99834,31.107,0.923825,0.524113,0.524113,1.11736,0.524113,1.18448,0.999,0.524113,0.524113
43,1210.62,1,5.57725,0.481861,26.9594,6.29474,31.3481,0.736884,0.510842,0.510842,1.08906,0.510842,1.15448,0.999,0.510842,0.510842
44,1200.16,1,5.42689,0.402425,25.0132,6.34105,29.2139,0.84428,0.497908,0.497908,1.06149,0.497908,1.12525,0.999,0.497908,0.497908
45,1180.51,1,5.46235,0.683211,23.9111,7.11104,28.0072,0.799108,0.4853,0.4853,1.03461,0.4853,1.09676,0.999,0.4853,0.4853
46,1170.44,1,5.5001,0.623716,22.6354,7.42412,26.4863,0.702529,0.473012,0.473012,1.06071,0.473012,1.06963,0.999,0.473012,0.473012
47,1156.33,1,5.67027,0.543573,21.3478,7.42318,25.0087,0.670656,0.461035,0.461035,1.03385,0.461035,1.10004,0.999,0.461035,0.461035
48,1145.32,1,5.53092,0.399431,21.5112,7.55668,25.2501,0.493069,0.449362,0.449362,1.00767,0.449362,1.07219,0.999,0.449362,0.449362
49,1146.75,1,5.56486,0.491418,22.2257,8.34759,26.109,0.416182,0.437984,0.437984,0.988494,0.437984,1.15895,0.999,0.437984,0.437984
50,1149.87,1,5.32191,0.648416,22.2859,7.18408,26.1674,0.508877,0.426894,0.426894,0.963465,0.426894,1.1296,0.999,0.426894,0.426894
51,1124.33,1,5.4143,0.462046,21.8051,6.35263,25.5919,0.579712,0.416084,0.416084,0.961401,0.416084,1.101,0.999,0.416084,0.416084
52,1104.25,1,5.43145,0.534518,22.4526,7.00512,26.269,0.705094,0.405549,0.405549,0.937057,0.405549,1.07312,0.999,0.405549,0.405549
53,1100.1,1,5.46684,0.423503,22.6206,7.70024,26.4963,0.72329,0.39528,0.39528,0.913331,0.39528,1.11402,0.999,0.39528,0.39528
54,1079.45,1,5.45619,0.562035,23.3179,6.69388,27.3018,0.387335,0.385271,0.385271,0.890205,0.385271,1.08581,0.999,0.385271,0.385271
55,1078.43,1,5.51547,0.469783,24.0315,6.25319,28.182,0.223812,0.375516,0.375516,0.867664,0.375516,1.05832,0.999,0.375516,0.375516
56,1066.99,1,5.45216,0.593232,23.4884,6.89633,27.4651,0.311762,0.366008,0.366008,0.955317,0.366008,1.03152,0.999,0.366008,0.366008
57,1063.24,1,5.39736,0.43875,23.1564,6.80687,27.0454,0.30897,0.35674,0.35674,0.931128,0.35674,1.06383,0.999,0.35674,0.35674
58,1043.92,1,5.5266,0.483525,23.3465,5.4983,27.3253,0.282863,0.347707,0.347707,0.907551,0.347707,1.03689,0.999,0.347707,0.347707
59,1036.02,1,5.42583,0.460339,22.9947,6.35291,26.8081,0.451202,0.338903,0.338903,0.950795,0.338903,1.01064,0.999,0.338903,0.338903
60,1025.46,1,5.43926,0.399752,23.0323,6.30624,26.8881,0.366319,0.330322,0.330322,0.92672,0.330322,0.985048,0.999,0.330322,0.330322
61,1012.96,1,5.41333,0.498374,23.18,6.77955,27.0893,0.401869,0.321958,0.321958,0.903255,0.321958,0.977158,0.999,0.321958,0.321958
62,1006.13,1,5.48739,0.579593,23.974,5.87967,28.0885,0.551243,0.313806,0.313806,0.880384,0.313806,0.952416,0.999,0.313806,0.313806
63,1001.26,1,5.4069,0.516619,24.4202,5.59754,28.6363,0.777603,0.30586,0.306801,0.858092,0.30586,0.966005,0.999,0.30586,0.30586
64,993.736,1,5.6004,0.544438,24.9326,5.97342,29.1484,0.828081,0.298116,0.299033,0.836365,0.298116,1.00898,0.999,0.298116,0.298116
65,993.467,1,5.64875,0.531294,24.6233,5.87988,28.6337,1.03052,0.290567,0.291461,0.880875,0.290567,1.00089,0.999,0.290567,0.290567
66,975.213,1,5.72629,0.493397,23.7449,6.23642,27.6138,1.10674,0.28321,0.284081,0.892098,0.28321,1.17165,0.999,0.28321,0.28321
67,964.268,1,5.72279,0.379886,23.503,6.59865,27.3391,0.92293,0.276039,0.276888,0.875573,0.276039,1.14198,0.999,0.276039,0.276039
68,965.07,1,5.6941,0.37468,23.9559,6.65864,27.7978,0.898998,0.269049,0.269877,0.907419,0.269049,1.27244,0.999,0.269049,0.269049
69,954.059,1,5.73248,0.388303,23.6036,6.87866,27.451,0.932085,0.262237,0.263044,0.884443,0.262237,1.30184,0.999,0.262237,0.262237
70,950.854,1,5.5851,0.516244,23.5755,6.35621,27.465,0.558238,0.255597,0.256383,0.868701,0.255597,1.28357,0.999,0.255597,0.255597
71,944.026,1,5.59878,0.41203,23.9331,6.47722,27.9289,0.500594,0.249125,0.25044,0.846705,0.25293,1.3235,0.999,0.249125,0.249125
72,932.894,1,5.66928,0.444848,23.5478,6.43889,27.4401,0.574612,0.242817,0.250547,0.825266,0.254539,1.37599,0.999,0.242817,0.242817
73,918.426,1,5.60302,0.393861,23.1705,7.44611,27.0055,0.645143,0.236669,0.244203,0.80437,0.248094,1.59147,0.999,0.236669,0.236669
74,916.819,1,5.58927,0.459086,23.151,6.27292,27.0007,0.670704,0.230676,0.23802,0.784003,0.241812,1.63178,0.999,0.230676,0.230676
75,915.859,1,5.54557,0.417005,23.2382,6.4189,27.1381,0.509588,0.224835,0.231993,0.764151,0.23569,1.66706,0.999,0.224835,0.224835
76,902.935,1,5.489,0.409233,23.8073,5.75751,27.7763,0.493791,0.219142,0.232115,0.744802,0.23436,1.97821,0.999,0.219142,0.219142
77,890.854,1,5.54688,0.449319,23.649,5.47991,27.6154,0.489949,0.213594,0.226237,0.725944,0.228426,2.04569,0.999,0.213594,0.213594
78,886.963,1,5.53974,0.434581,23.7952,5.66629,27.7661,0.417597,0.208185,0.220509,0.707562,0.222642,2.10415,0.999,0.208185,0.208185
79,875.361,1,5.51446,0.448379,23.8034,5.98389,27.7349,0.161113,0.216639,0.214926,0.689646,0.217004,2.21204,0.999,0.202914,0.202914
80,868.04,1,5.5076,0.372544,23.5637,5.83584,27.4879,0.352215,0.211153,0.212667,0.672184,0.216092,2.3681,0.999,0.197776,0.197776
81,858.326,1,5.51005,0.362527,23.7777,5.95788,27.736,0.30804,0.22257,0.21723,0.655164,0.219029,2.60809,0.999,0.192768,0.192768
82,850.018,1,5.4994,0.411296,23.9926,5.91149,27.9302,0.514398,0.226078,0.217327,0.638575,0.219104,2.95464,0.999,0.187887,0.187887
83,847.358,1,5.54151,0.408995,24.0321,6.06435,27.9243,0.635693,0.220354,0.218252,0.624832,0.220273,3.24964,0.999,0.18313,0.18313
84,844.264,1,5.52025,0.37417,23.8746,6.17811,27.751,0.603717,0.225447,0.224967,0.609011,0.226909,3.16735,0.999,0.178493,0.178493
85,831.845,1,5.48381,0.326879,23.6539,5.99382,27.5182,0.715601,0.219739,0.226859,0.607035,0.226755,3.3469,0.999,0.173973,0.173973
86,837.254,1,5.47279,0.324559,23.7236,5.59415,27.6133,0.490672,0.239173,0.229256,0.591664,0.228115,3.49517,0.999,0.169568,0.169568
87,828.84,1,5.39257,0.307084,23.6233,5.76638,27.4912,0.298756,0.234929,0.223451,0.62887,0.222691,3.97228,0.999,0.165275,0.165275
88,823.031,1,5.39675,0.279723,23.8728,5.5458,27.7989,0.307343,0.231221,0.221408,0.612947,0.22043,4.0733,0.999,0.16109,0.16109
89,813.849,1,5.40513,0.295632,24.0731,5.53577,27.9797,0.455797,0.233741,0.215802,0.613333,0.214848,4.27074,0.999,0.157011,0.157011
90,804.078,1,5.41,0.317567,24.0148,5.31981,27.9434,0.38027,0.241287,0.210338,0.597803,0.209408,4.24856,0.999,0.153035,0.153035
91,794.071,1,5.42338,0.351463,23.8822,5.46602,27.7683,0.456726,0.235177,0.208601,0.66045,0.206519,4.42769,0.999,0.14916,0.14916
92,792.751,1,5.4472,0.279586,23.628,5.96734,27.4823,0.264726,0.23385,0.205901,0.667983,0.204115,4.31557,0.999,0.145384,0.145384
93,785.971,1,5.43118,0.282647,23.7794,5.54349,27.7063,0.430839,0.230003,0.208317,0.65107,0.205472,4.21027,0.999,0.141702,0.141702
94,796.226,1,5.39595,0.281893,23.8132,5.39017,27.7373,0.25744,0.231144,0.212463,0.681025,0.209612,4.33811,0.999,0.139786,0.138114
95,787.397,1,5.36746,0.262199,23.8644,5.40679,27.8097,0.309982,0.232422,0.209752,0.674029,0.206727,4.59297,0.999,0.140578,0.134617
96,780.287,1,5.38202,0.250771,23.9353,5.23451,27.8877,0.386419,0.230083,0.21152,0.66111,0.208386,4.6794,0.999,0.139362,0.131209
97,780.001,1,5.41415,0.262498,23.9254,5.19922,27.8656,0.493044,0.227559,0.212215,0.689047,0.21156,4.76441,0.999,0.137104,0.127886
98,780.221,1,5.4096,0.28168,23.921,4.5554,27.9009,0.723583,0.229582,0.207493,0.694388,0.206706,5.1322,0.999,0.147046,0.124648
99,775.445,1,5.40009,0.274218,23.9697,4.82984,27.8914,0.666343,0.232391,0.205374,0.713973,0.204626,5.09029,0.999,0.143323,0.121492
100,770.514,1,5.36958,0.289849,23.9942,4.49097,27.929,0.633046,0.231981,0.20534,0.695894,0.204634,5.25366,0.999,0.14117,0.118416
101,763.358,1,5.39071,0.293082,23.8291,4.59287,27.7811,0.738164,0.228895,0.204522,0.678274,0.20213,5.30337,0.999,0.141881,0.115417
102,762.231,1,5.42706,0.258122,23.6274,5.24765,27.5601,0.631361,0.223406,0.203935,0.702406,0.203548,5.21503,0.999,0.139305,0.112495
103,759.158,1,5.41938,0.304657,23.5347,5.15631,27.4497,0.800552,0.225552,0.204603,0.714474,0.20144,5.28306,0.999,0.141746,0.109647
104,757.631,1,5.37589,0.271883,23.532,5.12241,27.4851,0.728577,0.230121,0.207181,0.72788,0.203222,5.18967,0.999,0.145047,0.10687
105,753.356,1,5.39346,0.28504,23.3541,5.29789,27.2665,0.727258,0.231238,0.204717,0.709449,0.198557,5.43042,0.999,0.144828,0.104164
106,763.864,1,5.39539,0.247783,23.3115,5.23189,27.2023,0.764169,0.234103,0.206575,0.707254,0.200627,5.383,0.999,0.142126,0.101527
107,749.504,1,5.41322,0.239269,23.3544,5.32059,27.276,0.842741,0.238525,0.207407,0.689346,0.200466,5.32556,0.999,0.138528,0.098956
108,743.096,1,5.43237,0.208402,23.3411,5.28874,27.3003,0.793403,0.236985,0.202156,0.676643,0.19539,5.48994,0.999,0.13806,0.0964504
109,747.718,1,5.45587,0.249804,23.2532,5.46617,27.2031,0.748775,0.234835,0.202188,0.754502,0.193384,5.40404,0.999,0.137892,0.0940082
110,739.189,1,5.43013,0.219972,23.2571,4.64967,27.2127,0.834348,0.232979,0.198701,0.755756,0.190399,5.26721,0.999,0.139411,0.0916279
111,730.453,1,5.40488,0.245419,23.211,5.24606,27.1583,0.829353,0.228768,0.196168,0.744781,0.185578,5.3439,0.999,0.138832,0.0893078
112,725.293,1,5.41746,0.249574,23.2262,5.01934,27.1923,0.812236,0.225871,0.194181,0.726679,0.183507,5.23229,0.999,0.139264,0.0870465
113,726.773,1,5.41172,0.257145,23.2592,5.12255,27.2247,0.792902,0.228984,0.194655,0.73749,0.18498,5.32482,0.999,0.141032,0.0848424
114,723.566,1,5.40393,0.262346,23.1697,4.88684,27.1484,0.744345,0.228536,0.196722,0.762408,0.185936,5.18999,0.999,0.143159,0.0826942
115,727.113,1,5.38123,0.311723,23.1636,5.11694,27.1329,0.732272,0.226301,0.200001,0.780267,0.1882,5.05858,0.999,0.144795,0.0806003
116,732.505,1,5.37305,0.300551,23.1429,5.15935,27.0384,0.638965,0.228816,0.200268,0.824504,0.190169,4.93049,0.999,0.144748,0.0797197
117,732.086,1,5.41384,0.266605,23.1296,5.08497,26.973,0.728334,0.234432,0.19759,0.827417,0.187952,5.02573,0.999,0.142992,0.0799355
118,725.744,1,5.42107,0.272159,23.1495,5.15998,26.9276,0.664968,0.228496,0.197208,0.806466,0.186374,5.15688,0.999,0.142912,0.0787633
119,722.209,1,5.38841,0.289926,23.0922,4.7498,26.8539,0.807303,0.223781,0.19842,0.786046,0.185931,5.13791,0.999,0.143823,0.0770835
120,724.317,1,5.3733,0.286355,23.0955,4.88375,26.8654,0.73633,0.224822,0.204635,0.766143,0.192864,5.00782,0.999,0.14445,0.0775516
121,726.877,1,5.38465,0.282276,23.1493,4.8564,26.907,0.758134,0.225133,0.203629,0.746744,0.190981,4.89947,0.999,0.143288,0.0792519
122,716.876,1,5.38153,0.292989,23.1323,4.85236,26.8352,0.648191,0.225249,0.203811,0.746484,0.191523,4.89853,0.999,0.140164,0.0789967
123,726.641,1,5.38838,0.317667,23.096,5.11521,26.8365,0.607161,0.219545,0.20489,0.77063,0.191616,4.83558,0.999,0.145567,0.0785854
124,720.12,1,5.37757,0.337197,23.0546,4.91745,26.7572,0.593802,0.226711,0.20194,0.751117,0.189457,4.8284,0.999,0.150054,0.0765956
125,722.603,1,5.34895,0.352726,23.0251,4.88366,26.7047,0.609855,0.228723,0.203366,0.765888,0.190035,5.00602,0.999,0.149796,0.0746562
126,720.113,1,5.37116,0.310662,23.0138,5.11654,26.6601,0.625341,0.232162,0.20389,0.759494,0.189846,4.9962,0.999,0.146003,0.0760867
127,722.829,1,5.41614,0.271133,23.0133,4.9641,26.6254,0.676698,0.236093,0.206413,0.740263,0.191239,5.17374,0.999,0.14428,0.0743897
128,706.804,1,5.40069,0.268597,22.9848,4.92,26.6281,0.703894,0.230142,0.20458,0.723079,0.190942,5.17484,0.999,0.142596,0.0725061
129,707.265,1,5.39937,0.282736,22.9966,4.91812,26.5957,0.747777,0.230544,0.205207,0.736454,0.190391,5.23861,0.999,0.139826,0.0734491
130,705.143,1,5.39168,0.292867,22.9776,4.83954,26.5938,0.70165,0.234752,0.203478,0.717806,0.188111,5.11036,0.999,0.143762,0.0715894
131,707.532,1,5.38335,0.270395,22.8331,5.13246,26.5054,0.679057,0.234491,0.204157,0.736629,0.187241,5.16681,0.999,0.143267,0.0703212
132,711.085,1,5.39829,0.282093,22.9334,5.16402,26.6137,0.754359,0.228554,0.202574,0.755355,0.186185,5.17677,0.999,0.141595,0.0731514
133,709.564,1,5.41235,0.276745,22.8813,5.06897,26.6029,0.73573,0.228632,0.202919,0.768493,0.18514,5.04569,0.999,0.145221,0.0725235
134,713.994,1,5.4196,0.280086,22.8523,5.11789,26.5132,0.78007,0.226622,0.202554,0.812786,0.184153,5.08847,0.999,0.142609,0.0743198
135,720.123,1,5.4148,0.319749,22.8774,4.86753,26.564,0.728427,0.231858,0.201281,0.792206,0.182067,5.06681,0.999,0.144854,0.0745698
136,709.066,1,5.42079,0.324934,22.9575,5.31626,26.6486,0.768653,0.231317,0.20098,0.798483,0.184854,5.01857,0.999,0.141787,0.0732611
137,705.346,1,5.4068,0.304484,22.885,5.18437,26.5969,0.755667,0.225967,0.204789,0.792971,0.185034,4.92437,0.999,0.138197,0.073684
138,705.334,1,5.39683,0.295351,22.9148,5.13702,26.5937,0.676745,0.224329,0.204124,0.784346,0.183902,5.01507,0.999,0.138863,0.0719424
139,707.721,1,5.38074,0.259509,22.9083,5.2347,26.6181,0.698404,0.225122,0.201264,0.810375,0.182446,5.08322,0.999,0.141093,0.0713801
140,704.901,1,5.40536,0.255766,22.7216,5.17296,26.4078,0.71101,0.230179,0.208564,0.811202,0.188013,5.21502,0.999,0.139329,0.0716836
141,696.948,1,5.39712,0.254352,22.7155,5.10417,26.418,0.766277,0.230152,0.207635,0.796895,0.187102,5.21686,0.999,0.140688,0.0698686
142,692.185,1,5.36983,0.261132,22.7,4.95631,26.4249,0.782313,0.229161,0.206081,0.788821,0.18587,5.28316,0.999,0.141584,0.0680994
143,698.142,1,5.37873,0.253882,22.6173,4.97088,26.3387,0.719837,0.227668,0.206355,0.768848,0.185345,5.36385,0.999,0.142313,0.0680012
144,702.949,1,5.38388,0.275919,22.6809,5.1484,26.4187,0.730291,0.230363,0.207829,0.74938,0.187597,5.24322,0.999,0.143117,0.0677059
145,698.619,1,5.37758,0.276712,22.7265,4.83841,26.4451,0.658152,0.232173,0.20432,0.738967,0.185485,5.11179,0.999,0.144235,0.0688453
146,696.092,1,5.38035,0.264793,22.8283,4.94189,26.5423,0.688912,0.229834,0.204485,0.736564,0.186622,5.28815,0.999,0.141445,0.0692002
147,703.234,1,5.38507,0.250298,22.8909,5.00619,26.5876,0.681713,0.239465,0.205582,0.75365,0.188852,5.41928,0.999,0.138472,0.0713582
148,700.704,1,5.36962,0.256812,22.9683,5.07275,26.7068,0.561182,0.23749,0.20433,0.744942,0.186553,5.28206,0.999,0.139085,0.0703713
149,712.348,1,5.35369,0.303648,22.8187,5.33656,26.5954,0.524655,0.23385,0.206104,0.749897,0.187815,5.14831,0.999,0.141278,0.0712972
150,701.386,1,5.34872,0.272898,22.8048,5.53519,26.5595,0.411478,0.231466,0.20319,0.738159,0.186041,5.03241,0.999,0.1377,0.0734742
151,707.323,1,5.31047,0.285755,22.9068,5.19106,26.6315,0.355795,0.225668,0.207219,0.765939,0.188112,4.90498,0.999,0.13892,0.0727521
152,705.829,1,5.33678,0.239288,22.8343,5.14717,26.5495,0.518625,0.228313,0.208239,0.759981,0.188694,5.12309,0.999,0.141262,0.0717985
153,706.363,1,5.3282,0.243786,22.8698,5.11285,26.5848,0.597153,0.223952,0.208829,0.769435,0.188277,5.40269,0.999,0.144474,0.0699805
154,713.953,1,5.37231,0.269554,22.8097,4.6677,26.5292,0.712688,0.231594,0.208476,0.749952,0.188539,5.37714,0.999,0.150003,0.0700322
155,706.655,1,5.37084,0.254185,22.7689,5.26713,26.461,0.656951,0.228025,0.207188,0.763387,0.187536,5.60876,0.999,0.146205,0.0688045
156,697.175,1,5.3291,0.257998,22.7213,5.28824,26.4529,0.601782,0.223471,0.206987,0.744057,0.186692,5.46674,0.999,0.145338,0.069263
157,701.848,1,5.33477,0.29701,22.5566,5.28287,26.2972,0.658942,0.220497,0.204912,0.767006,0.185555,5.35558,0.999,0.144123,0.0698944
158,702.22,1,5.34683,0.297325,22.5684,5.34468,26.3399,0.575093,0.221349,0.206391,0.775111,0.186737,5.21997,0.999,0.144649,0.0681247
159,699.792,1,5.35991,0.271588,22.6373,5.35083,26.3995,0.652922,0.224585,0.207004,0.757363,0.186338,5.21256,0.999,0.143729,0.067939
160,697.712,1,5.36931,0.256242,22.624,5.26653,26.3838,0.626297,0.227065,0.20512,0.772961,0.185845,5.22801,0.999,0.143691,0.0687462
161,697.743,1,5.36394,0.253047,22.613,5.19468,26.4241,0.648065,0.227073,0.205348,0.81472,0.185263,5.2182,0.999,0.143804,0.0675061
162,699.488,1,5.38006,0.242164,22.6515,5.27248,26.4194,0.702793,0.231018,0.20661,0.814114,0.185431,5.26959,0.999,0.14072,0.0676827
163,701.792,1,5.37416,0.232505,22.5392,4.84101,26.324,0.728419,0.232883,0.207873,0.793501,0.188118,5.24486,0.999,0.143574,0.0675987
164,694.403,1,5.38604,0.267473,22.5436,4.96471,26.3528,0.66291,0.229217,0.207356,0.818108,0.188871,5.15594,0.999,0.141661,0.0668651
165,692.663,1,5.38777,0.276912,22.5401,4.98009,26.3691,0.708608,0.230238,0.20581,0.843532,0.18828,5.12821,0.999,0.141448,0.0662982
166,690.529,1,5.35429,0.273902,22.5627,4.76875,26.3808,0.651407,0.229808,0.205912,0.822173,0.187212,4.99836,0.999,0.14132,0.0658748
167,694.053,1,5.34804,0.295888,22.4926,4.81369,26.278,0.686709,0.224071,0.206912,0.814466,0.189215,4.95101,0.999,0.140924,0.0669422
168,702.577,1,5.33564,0.3241,22.5205,4.64781,26.2927,0.701366,0.226622,0.20833,0.837805,0.189874,4.93705,0.999,0.145514,0.0657353
169,702.172,1,5.38226,0.310443,22.5671,4.73022,26.3488,0.699631,0.233136,0.20677,0.816591,0.188225,4.9888,0.999,0.144641,0.0682238
170,704.109,1,5.36458,0.318308,22.5772,4.79564,26.4058,0.73055,0.236743,0.205741,0.795915,0.188506,5.11001,0.999,0.143626,0.0689273
171,703.68,1,5.36519,0.327351,22.5313,4.84674,26.3797,0.701531,0.230748,0.204001,0.813791,0.186602,4.98063,0.999,0.143459,0.0686066
172,699.539,1,5.40349,0.349289,22.4127,4.92977,26.2667,0.694659,0.230413,0.200056,0.798168,0.182614,4.85451,0.999,0.146325,0.0679741
173,701.113,1,5.42645,0.325346,22.368,5.00966,26.223,0.635053,0.23202,0.19973,0.809145,0.181692,4.83048,0.999,0.146204,0.0670167
174,696.309,1,5.40068,0.322365,22.4179,4.82176,26.2562,0.702633,0.226145,0.200205,0.788657,0.183553,4.77243,0.999,0.145847,0.0664564
175,699.571,1,5.39877,0.32652,22.381,5.07654,26.1983,0.754532,0.228998,0.201453,0.768688,0.186258,4.91664,0.999,0.145366,0.0678814
176,706.94,1,5.38584,0.329876,22.3481,5.29572,26.1772,0.68714,0.226886,0.200336,0.812823,0.185203,4.93452,0.999,0.144525,0.0709469
177,702.33,1,5.39181,0.343544,22.3279,5.29848,26.1431,0.696153,0.230663,0.198927,0.795473,0.183933,4.85584,0.999,0.144274,0.0693125
178,698.388,1,5.40896,0.36151,22.2446,5.12589,26.0696,0.818444,0.230204,0.200096,0.775331,0.184508,4.98479,0.999,0.145194,0.0680519
