iteration,convergenceIndicator,phase,Cl_pop,V_pop,a1,a2,f_pop,omega_Cl,omega_V,omega_f
135,989.702,1,10.1563,53.6951,3.46548,3.19722,0.906831,0.242751,0.162573,0.195927
136,992.689,1,10.1089,54.9189,3.54864,3.15882,0.907321,0.237371,0.166823,0.200587
137,998.067,1,10.2545,55.4759,3.48291,3.26945,0.915262,0.252228,0.168968,0.202751
138,1008.22,1,10.3037,55.3507,3.52492,3.36448,0.921956,0.262769,0.188983,0.189272
139,1002.85,1,10.2203,55.4535,3.42844,3.34787,0.91412,0.263487,0.185761,0.19834
140,1002.2,1,10.2783,54.4173,3.53001,3.35115,0.911307,0.252401,0.166741,0.183253
141,990.665,1,10.069,53.8205,3.32606,3.33926,0.905734,0.252916,0.165676,0.187861
142,991.707,1,10.0264,54.8283,3.43387,3.27124,0.890958,0.261657,0.155056,0.186335
143,988.368,1,9.88398,55.503,3.42647,3.26554,0.904275,0.252369,0.145194,0.18809
144,994.674,1,10.0606,55.4906,3.51012,3.2405,0.89538,0.263821,0.14685,0.199105
145,992.412,1,10.0363,54.8447,3.50984,3.22542,0.89161,0.255171,0.154262,0.186728
146,995.36,1,10.2132,54.4352,3.51447,3.20794,0.917022,0.258433,0.153442,0.211827
147,994.232,1,10.0975,54.91,3.52559,3.19732,0.907271,0.256199,0.157508,0.200158
148,991.305,1,10.3554,55.1798,3.5268,3.22669,0.925676,0.24926,0.149428,0.183028
149,992.196,1,9.9861,54.6624,3.62722,3.15913,0.911321,0.23107,0.158423,0.183345
150,992.232,1,9.92171,53.6524,3.47357,3.28127,0.908377,0.246566,0.152274,0.185677
151,986.743,1,9.94031,54.2005,3.47509,3.17941,0.895173,0.247696,0.156538,0.182918
152,991.706,1,10.1691,53.8276,3.43651,3.22081,0.902468,0.257156,0.162263,0.20048
153,993.543,1,10.2657,54.3447,3.39939,3.21515,0.903739,0.271512,0.167199,0.214553
154,999.962,1,10.279,52.9755,3.3651,3.33167,0.900086,0.268576,0.174254,0.219807
155,993.247,1,10.1986,54.9115,3.38813,3.28449,0.910842,0.25774,0.169208,0.1953
156,986.6,1,10.1377,54.2179,3.31401,3.28124,0.907195,0.245279,0.171841,0.186736
157,992.775,1,10.2028,54.2662,3.32739,3.30796,0.916049,0.26025,0.175725,0.197439
158,984.963,1,10.1461,54.0399,3.29823,3.26703,0.90921,0.249995,0.167649,0.188558
159,986.688,1,10.1418,54.8541,3.33483,3.27821,0.900695,0.25622,0.151139,0.196562
160,984.191,1,9.94172,54.2242,3.45851,3.12475,0.895502,0.243357,0.152595,0.20291
161,988.058,1,9.9906,54.8934,3.47823,3.18128,0.900223,0.247928,0.143256,0.207154
162,990.442,1,10.0839,54.6665,3.47176,3.24165,0.897264,0.261027,0.138139,0.197825
163,989.44,1,10.0743,53.616,3.37152,3.29202,0.894282,0.258324,0.147979,0.198021
164,988.421,1,10.0753,54.5301,3.42051,3.24828,0.906131,0.260405,0.150098,0.185407
165,986.121,1,9.91734,55.3079,3.49623,3.15577,0.911713,0.251185,0.150981,0.184664
166,988.232,1,10.0387,55.0743,3.47447,3.2821,0.922563,0.246476,0.144769,0.168765
167,984.364,1,9.92986,55.3993,3.47697,3.2519,0.905177,0.251158,0.129645,0.170783
168,992.026,1,9.97065,55.393,3.58965,3.33193,0.905927,0.252715,0.109496,0.179708
169,990.722,1,10.0822,54.9981,3.45042,3.45504,0.911665,0.248325,0.117972,0.165705
170,989.912,1,10.0742,55.252,3.4433,3.35794,0.91408,0.256687,0.133803,0.169333
171,990.635,1,10.0057,54.8866,3.57347,3.33645,0.899908,0.25063,0.113284,0.170306
172,987.355,1,9.96747,55.3656,3.55641,3.22157,0.902632,0.253301,0.134664,0.16568
173,988.596,1,9.85146,54.7435,3.53206,3.30743,0.888141,0.248388,0.118855,0.175146
174,989.913,1,9.96641,53.6815,3.60531,3.27096,0.887154,0.243551,0.119349,0.174766
175,1000.79,1,10.0204,53.5386,3.59364,3.36647,0.87783,0.264403,0.121271,0.196127
176,999.972,1,10.1171,54.6848,3.53718,3.33476,0.887509,0.254671,0.150423,0.189617
177,1000.99,1,10.0097,54.5987,3.53523,3.40233,0.908685,0.239487,0.153197,0.179591
178,992.368,1,10.0362,53.8613,3.47656,3.41768,0.898779,0.233926,0.139712,0.161155
179,998.09,1,9.91807,54.3467,3.62349,3.37431,0.898454,0.238194,0.131957,0.168934
180,994.165,1,10.0083,55.1572,3.46989,3.32224,0.900862,0.251148,0.141425,0.194558
181,993.689,1,10.1724,55.6234,3.3488,3.36836,0.913379,0.256058,0.163325,0.18856
182,991.543,1,10.0835,54.9534,3.37984,3.27169,0.909873,0.260262,0.166929,0.192688
183,985.014,1,10.0198,54.249,3.33653,3.24202,0.899724,0.246441,0.162309,0.192758
184,990.071,1,10.1902,53.2464,3.42805,3.25282,0.899973,0.241817,0.167079,0.185611
185,989.259,1,10.2766,53.9802,3.44127,3.26118,0.914635,0.237687,0.160808,0.182388
186,984.767,1,9.92624,55.0788,3.51731,3.15507,0.907343,0.25213,0.14478,0.175682
187,990.819,1,10.118,53.9232,3.48466,3.25868,0.90544,0.241549,0.158325,0.177796
188,989.063,1,10.2195,54.7327,3.54854,3.21095,0.913074,0.24754,0.13877,0.181612
189,983.081,1,10.0697,54.5119,3.46922,3.15467,0.919842,0.237305,0.15807,0.177064
190,986.221,1,10.2512,55.176,3.43651,3.17516,0.938669,0.240452,0.169161,0.186467
191,985.156,1,10.2184,53.9962,3.33508,3.22985,0.921132,0.236937,0.178927,0.188129
192,984.827,1,10.1448,53.8324,3.33521,3.2247,0.917791,0.239209,0.177976,0.187141
193,985.07,1,10.2298,53.6603,3.23011,3.26582,0.905677,0.24139,0.196435,0.193527
194,991.735,1,10.0996,53.6829,3.3726,3.31847,0.897388,0.235017,0.171932,0.192054
195,989.447,1,10.0412,55.1113,3.4221,3.23055,0.895082,0.23111,0.175715,0.191573
196,997.657,1,10.0589,55.8564,3.4578,3.25472,0.897395,0.24783,0.193236,0.192734
197,996.799,1,10.0092,54.0633,3.42419,3.38164,0.895678,0.252304,0.161673,0.18261
198,995.408,1,10.076,54.0114,3.45827,3.34636,0.901466,0.254448,0.148814,0.185771
199,996.808,1,10.0185,53.9241,3.55188,3.28015,0.895674,0.239088,0.151423,0.195061
200,988.51,1,10.1479,55.4165,3.44976,3.23017,0.909585,0.255567,0.143489,0.194309
201,987.318,1,9.92324,55.4369,3.57981,3.19883,0.896187,0.250433,0.131786,0.171631
202,987.103,1,9.92819,55.6598,3.57445,3.18983,0.899067,0.245035,0.138393,0.170735
203,981.524,1,9.94063,55.0331,3.51273,3.17577,0.907518,0.254341,0.131026,0.165345
204,986.938,1,10.0102,55.3266,3.55463,3.21332,0.909468,0.247992,0.151476,0.151368
205,988.235,1,10.0404,53.8204,3.49368,3.26642,0.909764,0.250793,0.148013,0.161442
206,985.196,1,10.0399,54.2291,3.39199,3.26978,0.899287,0.242899,0.148539,0.181187
207,985.727,1,9.98603,54.0186,3.37257,3.23478,0.901803,0.25922,0.161992,0.177674
208,983.475,1,10.1718,54.3664,3.41928,3.17447,0.903668,0.243281,0.162438,0.180362
209,988.821,1,10.0365,54.7079,3.49096,3.16163,0.902852,0.251278,0.171472,0.178567
210,993.091,1,10.1302,54.3558,3.41832,3.27955,0.905973,0.240489,0.177115,0.18906
