standEta_fi_abscissa,standEta_fi_cdf,standEta_Cl_abscissa,standEta_Cl_cdf,standEta_V1_abscissa,standEta_V1_cdf,standEta_Q_abscissa,standEta_Q_cdf,standEta_V2_abscissa,standEta_V2_cdf,split
-0.442108,0.207143,-0.404229,0.207143,-0.809882,0.207143,-0.996394,0.207143,-0.69035,0.207143,All
-0.441568,0.214286,-0.399163,0.214286,-0.775923,0.214286,-0.994148,0.214286,-0.67631,0.214286,All
-0.440706,0.221429,-0.341904,0.221429,-0.710485,0.221429,-0.989684,0.221429,-0.66213,0.221429,All
-0.435116,0.228571,-0.33784,0.228571,-0.70005,0.228571,-0.975643,0.228571,-0.644648,0.228571,All
-0.407667,0.235714,-0.284234,0.235714,-0.693459,0.235714,-0.933978,0.235714,-0.643572,0.235714,All
-0.406115,0.242857,-0.271843,0.242857,-0.655487,0.242857,-0.91086,0.242857,-0.593971,0.242857,All
-0.405634,0.25,-0.267854,0.25,-0.654839,0.25,-0.903799,0.25,-0.581873,0.25,All
-0.379131,0.257143,-0.265258,0.257143,-0.648804,0.257143,-0.857594,0.257143,-0.563944,0.257143,All
-0.377604,0.264286,-0.245163,0.264286,-0.570357,0.264286,-0.775929,0.264286,-0.560457,0.264286,All
-0.364699,0.271429,-0.23652,0.271429,-0.568529,0.271429,-0.770187,0.271429,-0.461764,0.271429,All
-0.351937,0.278571,-0.229047,0.278571,-0.558262,0.278571,-0.740316,0.278571,-0.455266,0.278571,All
-0.349848,0.285714,-0.22834,0.285714,-0.531224,0.285714,-0.732883,0.285714,-0.440993,0.285714,All
-0.340884,0.292857,-0.227572,0.292857,-0.527769,0.292857,-0.674403,0.292857,-0.433499,0.292857,All
-0.32924,0.3,-0.217435,0.3,-0.524914,0.3,-0.672295,0.3,-0.429415,0.3,All
-0.311556,0.307143,-0.210747,0.307143,-0.504946,0.307143,-0.667061,0.307143,-0.39532,0.307143,All
-0.296743,0.314286,-0.209435,0.314286,-0.446054,0.314286,-0.65993,0.314286,-0.354086,0.314286,All
-0.285824,0.321429,-0.197979,0.321429,-0.426382,0.321429,-0.655017,0.321429,-0.342051,0.321429,All
-0.2843,0.328571,-0.187579,0.328571,-0.385777,0.328571,-0.642454,0.328571,-0.317663,0.328571,All
-0.261185,0.335714,-0.184964,0.335714,-0.381127,0.335714,-0.514227,0.335714,-0.290001,0.335714,All
-0.207724,0.342857,-0.184284,0.342857,-0.376221,0.342857,-0.512082,0.342857,-0.260178,0.342857,All
-0.202588,0.35,-0.179453,0.35,-0.362224,0.35,-0.487658,0.35,-0.251566,0.35,All
-0.175047,0.357143,-0.127226,0.357143,-0.328352,0.357143,-0.473226,0.357143,-0.245936,0.357143,All
-0.16805,0.364286,-0.108218,0.364286,-0.3125,0.364286,-0.464778,0.364286,-0.223015,0.364286,All
-0.142281,0.371429,-0.108138,0.371429,-0.311155,0.371429,-0.437008,0.371429,-0.202924,0.371429,All
-0.136794,0.378571,-0.105401,0.378571,-0.28842,0.378571,-0.436504,0.378571,-0.198834,0.378571,All
-0.0719146,0.385714,-0.0740586,0.385714,-0.238174,0.385714,-0.435284,0.385714,-0.195754,0.385714,All
-0.0420435,0.392857,-0.0716473,0.392857,-0.235805,0.392857,-0.434402,0.392857,-0.188601,0.392857,All
-0.0343408,0.4,-0.0679135,0.4,-0.23478,0.4,-0.426279,0.4,-0.174829,0.4,All
-0.0333365,0.407143,-0.0487137,0.407143,-0.214922,0.407143,-0.413419,0.407143,-0.162504,0.407143,All
-0.0268093,0.414286,-0.0465934,0.414286,-0.206282,0.414286,-0.38953,0.414286,-0.160905,0.414286,All
-0.022369,0.421429,-0.0414803,0.421429,-0.19214,0.421429,-0.329264,0.421429,-0.120596,0.421429,All
-0.0199397,0.428571,-0.0294824,0.428571,-0.166336,0.428571,-0.317375,0.428571,-0.101419,0.428571,All
-0.0130466,0.435714,-0.0179001,0.435714,-0.156818,0.435714,-0.256403,0.435714,-0.097855,0.435714,All
-0.00377039,0.442857,0.00271904,0.442857,-0.156722,0.442857,-0.231517,0.442857,-0.0655621,0.442857,All
-0.00367595,0.45,0.0388477,0.45,-0.153364,0.45,-0.217453,0.45,-0.0365444,0.45,All
0.00927145,0.457143,0.0510789,0.457143,-0.143235,0.457143,-0.207986,0.457143,-0.0272914,0.457143,All
0.0132876,0.464286,0.0511839,0.464286,-0.115703,0.464286,-0.199154,0.464286,-0.0181982,0.464286,All
0.0137745,0.471429,0.0519144,0.471429,-0.0810423,0.471429,-0.162195,0.471429,0.0184977,0.471429,All
0.0161153,0.478571,0.0624824,0.478571,-0.0628892,0.478571,-0.149436,0.478571,0.0208956,0.478571,All
0.0559892,0.485714,0.0757073,0.485714,-0.0584814,0.485714,-0.129681,0.485714,0.0241288,0.485714,All
0.0625422,0.492857,0.123628,0.492857,-0.053438,0.492857,-0.122309,0.492857,0.101145,0.492857,All
0.0789044,0.5,0.145095,0.5,-0.0488358,0.5,-0.122289,0.5,0.113741,0.5,All
0.0791455,0.507143,0.211943,0.507143,-0.0313557,0.507143,-0.105044,0.507143,0.127284,0.507143,All
0.0797282,0.514286,0.212146,0.514286,-0.0304233,0.514286,-0.0709609,0.514286,0.147079,0.514286,All
0.0812371,0.521429,0.214917,0.521429,0.0113823,0.521429,-0.000518389,0.521429,0.151375,0.521429,All
0.105093,0.528571,0.224826,0.528571,0.0479349,0.528571,0.0017388,0.528571,0.156428,0.528571,All
0.15544,0.535714,0.226831,0.535714,0.0541267,0.535714,0.0018829,0.535714,0.171055,0.535714,All
0.180838,0.542857,0.24865,0.542857,0.0818091,0.542857,0.0145618,0.542857,0.213086,0.542857,All
0.186771,0.55,0.309669,0.55,0.142306,0.55,0.0492827,0.55,0.22241,0.55,All
0.20881,0.557143,0.322174,0.557143,0.181547,0.557143,0.0633444,0.557143,0.254251,0.557143,All
0.222432,0.564286,0.32338,0.564286,0.182377,0.564286,0.0637895,0.564286,0.258321,0.564286,All
0.233111,0.571429,0.336367,0.571429,0.182928,0.571429,0.0712745,0.571429,0.263887,0.571429,All
0.234555,0.578571,0.349912,0.578571,0.237191,0.578571,0.120443,0.578571,0.274413,0.578571,All
0.235301,0.585714,0.352975,0.585714,0.262563,0.585714,0.139,0.585714,0.275469,0.585714,All
0.25062,0.592857,0.384617,0.592857,0.295869,0.592857,0.160848,0.592857,0.277508,0.592857,All
0.272554,0.6,0.409945,0.6,0.311545,0.6,0.180607,0.6,0.294331,0.6,All
0.302107,0.607143,0.523899,0.607143,0.313641,0.607143,0.18078,0.607143,0.295449,0.607143,All
0.303603,0.614286,0.52403,0.614286,0.319365,0.614286,0.183071,0.614286,0.303555,0.614286,All
0.321551,0.621429,0.546276,0.621429,0.335138,0.621429,0.198484,0.621429,0.308388,0.621429,All
0.322896,0.628571,0.556236,0.628571,0.363895,0.628571,0.210108,0.628571,0.317757,0.628571,All
0.32346,0.635714,0.556503,0.635714,0.380935,0.635714,0.210692,0.635714,0.337581,0.635714,All
0.327444,0.642857,0.561988,0.642857,0.38584,0.642857,0.226881,0.642857,0.368601,0.642857,All
0.358608,0.65,0.578138,0.65,0.394213,0.65,0.227576,0.65,0.378626,0.65,All
0.373403,0.657143,0.587082,0.657143,0.429242,0.657143,0.232233,0.657143,0.395451,0.657143,All
0.392878,0.664286,0.595772,0.664286,0.433951,0.664286,0.25587,0.664286,0.448631,0.664286,All
0.409732,0.671429,0.598712,0.671429,0.436612,0.671429,0.280365,0.671429,0.450749,0.671429,All
0.425781,0.678571,0.607398,0.678571,0.444816,0.678571,0.28593,0.678571,0.466107,0.678571,All
0.427433,0.685714,0.608168,0.685714,0.45019,0.685714,0.291812,0.685714,0.504192,0.685714,All
0.433806,0.692857,0.608308,0.692857,0.465765,0.692857,0.332372,0.692857,0.513098,0.692857,All
0.436337,0.7,0.62121,0.7,0.473567,0.7,0.406989,0.7,0.530597,0.7,All
0.447859,0.707143,0.623309,0.707143,0.480577,0.707143,0.415721,0.707143,0.547378,0.707143,All
0.453678,0.714286,0.631496,0.714286,0.490118,0.714286,0.419134,0.714286,0.549292,0.714286,All
0.560194,0.721429,0.652336,0.721429,0.503403,0.721429,0.489627,0.721429,0.564806,0.721429,All
0.560423,0.728571,0.664336,0.728571,0.508539,0.728571,0.523837,0.728571,0.567516,0.728571,All
0.562257,0.735714,0.66713,0.735714,0.561246,0.735714,0.571321,0.735714,0.572942,0.735714,All
0.580827,0.742857,0.681966,0.742857,0.573897,0.742857,0.576625,0.742857,0.588507,0.742857,All
0.642916,0.75,0.683632,0.75,0.578322,0.75,0.586741,0.75,0.593573,0.75,All
0.661901,0.757143,0.699327,0.757143,0.582761,0.757143,0.611441,0.757143,0.645681,0.757143,All
0.693752,0.764286,0.702471,0.764286,0.600368,0.764286,0.669832,0.764286,0.649581,0.764286,All
0.695908,0.771429,0.715422,0.771429,0.605343,0.771429,0.709604,0.771429,0.663012,0.771429,All
0.70824,0.778571,0.748778,0.778571,0.616074,0.778571,0.712139,0.778571,0.685805,0.778571,All
0.740948,0.785714,0.75524,0.785714,0.681338,0.785714,0.799663,0.785714,0.705791,0.785714,All
0.781662,0.792857,0.775949,0.792857,0.694668,0.792857,0.82292,0.792857,0.72276,0.792857,All
0.840475,0.8,0.780974,0.8,0.715947,0.8,0.82765,0.8,0.810245,0.8,All
0.897426,0.807143,0.789931,0.807143,0.731665,0.807143,0.845515,0.807143,0.821206,0.807143,All
0.918441,0.814286,0.804926,0.814286,0.768598,0.814286,0.884547,0.814286,0.827293,0.814286,All
0.928132,0.821429,0.82207,0.821429,0.839006,0.821429,0.893612,0.821429,0.886455,0.821429,All
0.934493,0.828571,0.832916,0.828571,0.866676,0.828571,0.911152,0.828571,0.955485,0.828571,All
0.949073,0.835714,0.846531,0.835714,0.899672,0.835714,0.918267,0.835714,0.958409,0.835714,All
0.954732,0.842857,0.849688,0.842857,0.950049,0.842857,0.952681,0.842857,0.969501,0.842857,All
1.00228,0.85,0.852466,0.85,0.9579,0.85,0.994445,0.85,1.02506,0.85,All
1.00819,0.857143,0.879793,0.857143,0.966706,0.857143,1.02365,0.857143,1.0351,0.857143,All
1.03938,0.864286,0.91354,0.864286,0.968038,0.864286,1.0888,0.864286,1.08707,0.864286,All
1.04692,0.871429,0.915224,0.871429,1.02704,0.871429,1.08904,0.871429,1.1852,0.871429,All
1.04931,0.878571,0.938921,0.878571,1.034,0.878571,1.11902,0.878571,1.18605,0.878571,All
1.05937,0.885714,0.957244,0.885714,1.03429,0.885714,1.15883,0.885714,1.24195,0.885714,All
1.06746,0.892857,0.960675,0.892857,1.12306,0.892857,1.16843,0.892857,1.24221,0.892857,All
1.09381,0.9,0.973976,0.9,1.14763,0.9,1.18603,0.9,1.24426,0.9,All
1.10404,0.907143,0.97842,0.907143,1.16398,0.907143,1.19262,0.907143,1.26716,0.907143,All
1.12015,0.914286,0.98187,0.914286,1.20809,0.914286,1.25673,0.914286,1.29663,0.914286,All
1.14012,0.921429,0.998426,0.921429,1.2279,0.921429,1.26391,0.921429,1.30373,0.921429,All
1.17199,0.928571,1.01197,0.928571,1.24627,0.928571,1.29331,0.928571,1.34297,0.928571,All
1.17563,0.935714,1.01852,0.935714,1.39267,0.935714,1.30309,0.935714,1.51456,0.935714,All
1.19952,0.942857,1.03483,0.942857,1.43231,0.942857,1.34183,0.942857,1.55903,0.942857,All
1.2126,0.95,1.05809,0.95,1.64827,0.95,1.36637,0.95,1.67546,0.95,All
1.30374,0.957143,1.07223,0.957143,1.81181,0.957143,1.41949,0.957143,1.73075,0.957143,All
1.30893,0.964286,1.13872,0.964286,2.01536,0.964286,1.65818,0.964286,1.75726,0.964286,All
1.34666,0.971429,1.15029,0.971429,2.1283,0.971429,1.7403,0.971429,1.78737,0.971429,All
1.37898,0.978571,1.15343,0.978571,2.19187,0.978571,1.97818,0.978571,1.84601,0.978571,All
1.40305,0.985714,1.21244,0.985714,2.2014,0.985714,2.15526,0.985714,1.92985,0.985714,All
1.40759,0.992857,1.2246,0.992857,2.22976,0.992857,2.53861,0.992857,1.97754,0.992857,All
1.42607,1,1.27533,1,2.29569,1,3.35939,1,2.46605,1,All
4,1,4,1,4,1,4,1,4,1,All
