V_abscissa,V_cdf,Cl_abscissa,Cl_cdf,split
54.6691,0.664286,11.9496,0.664286,All
54.762,0.671429,11.9497,0.671429,All
54.765,0.678571,11.973,0.678571,All
54.974,0.685714,11.9803,0.685714,All
55.143,0.692857,11.99,0.692857,All
55.2163,0.7,12.0058,0.7,All
55.5708,0.707143,12.0303,0.707143,All
55.9108,0.714286,12.0784,0.714286,All
56.1317,0.721429,12.1239,0.721429,All
56.1896,0.728571,12.1992,0.728571,All
56.3803,0.735714,12.2614,0.735714,All
56.7049,0.742857,12.3106,0.742857,All
57.1694,0.75,12.3311,0.75,All
57.317,0.757143,12.4049,0.757143,All
57.5483,0.764286,12.4409,0.764286,All
58.6421,0.771429,12.4571,0.771429,All
58.8782,0.778571,12.5384,0.778571,All
59.1648,0.785714,12.5415,0.785714,All
59.39,0.792857,12.6513,0.792857,All
59.4121,0.8,12.7689,0.8,All
59.9462,0.807143,12.775,0.807143,All
59.9629,0.814286,12.7913,0.814286,All
60.3588,0.821429,12.8195,0.821429,All
60.9423,0.828571,12.8267,0.828571,All
61.9135,0.835714,12.9058,0.835714,All
64.2735,0.842857,13.1224,0.842857,All
65.274,0.85,13.1533,0.85,All
65.6007,0.857143,13.1576,0.857143,All
65.851,0.864286,13.1822,0.864286,All
66.9934,0.871429,13.2338,0.871429,All
67.2336,0.878571,13.2842,0.878571,All
68.2742,0.885714,13.3368,0.885714,All
68.5445,0.892857,13.537,0.892857,All
70.2456,0.9,13.6585,0.9,All
70.7401,0.907143,13.7395,0.907143,All
72.9523,0.914286,13.9238,0.914286,All
73.4786,0.921429,13.9313,0.921429,All
73.758,0.928571,13.9327,0.928571,All
74.5724,0.935714,14.2135,0.935714,All
74.9305,0.942857,14.4683,0.942857,All
75.3774,0.95,14.513,0.95,All
78.0505,0.957143,14.7292,0.957143,All
78.3059,0.964286,14.866,0.964286,All
84.9021,0.971429,14.9906,0.971429,All
85.4943,0.978571,15.1894,0.978571,All
89.5756,0.985714,15.3852,0.985714,All
98.7881,0.992857,15.5947,0.992857,All
100.788,1,15.9937,1,All
131.136,1,28.1195,1,All
